type,file_name,url,publication_title,publication_slug
pdf,1966-census-general-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1966-census-general-report.pdf,1966 Census - Reports,/publications/1966-census-reports
pdf,1966-census-preliminary-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1966-census-preliminary-report.pdf,1966 Census - Reports,/publications/1966-census-reports
pdf,1966-census-questionnaire.pdf,https://www.nisra.gov.uk/files/nisra/publications/1966-census-questionnaire.pdf,1966 Census - Reports,/publications/1966-census-reports
pdf,1971-census-antrim-county-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1971-census-antrim-county-report.pdf,1971 Census - Reports,/publications/1971-census-reports
pdf,1971-census-armagh-county-report.PDF,https://www.nisra.gov.uk/files/nisra/publications/1971-census-armagh-county-report.PDF,1971 Census - Reports,/publications/1971-census-reports
pdf,1971-census-belfast-county-borough-report.PDF,https://www.nisra.gov.uk/files/nisra/publications/1971-census-belfast-county-borough-report.PDF,1971 Census - Reports,/publications/1971-census-reports
pdf,1971-census-down-county-report.PDF,https://www.nisra.gov.uk/files/nisra/publications/1971-census-down-county-report.PDF,1971 Census - Reports,/publications/1971-census-reports
pdf,1971-census-economic-activity-tables-part-1.PDF,https://www.nisra.gov.uk/files/nisra/publications/1971-census-economic-activity-tables-part-1.PDF,1971 Census - Reports,/publications/1971-census-reports
pdf,1971-census-economic-activity-tables-part-2.PDF,https://www.nisra.gov.uk/files/nisra/publications/1971-census-economic-activity-tables-part-2.PDF,1971 Census - Reports,/publications/1971-census-reports
pdf,1971-census-education-tables.PDF,https://www.nisra.gov.uk/files/nisra/publications/1971-census-education-tables.PDF,1971 Census - Reports,/publications/1971-census-reports
pdf,1971-census-fermanagh-county-report.PDF,https://www.nisra.gov.uk/files/nisra/publications/1971-census-fermanagh-county-report.PDF,1971 Census - Reports,/publications/1971-census-reports
pdf,1971-census-fertility-tables.PDF,https://www.nisra.gov.uk/files/nisra/publications/1971-census-fertility-tables.PDF,1971 Census - Reports,/publications/1971-census-reports
pdf,1971-census-household-composition-tables.PDF,https://www.nisra.gov.uk/files/nisra/publications/1971-census-household-composition-tables.PDF,1971 Census - Reports,/publications/1971-census-reports
pdf,1971-census-londonderry-county-borough-report.PDF,https://www.nisra.gov.uk/files/nisra/publications/1971-census-londonderry-county-borough-report.PDF,1971 Census - Reports,/publications/1971-census-reports
pdf,1971-census-migration-tables.pdf,https://www.nisra.gov.uk/files/nisra/publications/1971-census-migration-tables.pdf,1971 Census - Reports,/publications/1971-census-reports
pdf,1971-census-preliminary-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1971-census-preliminary-report.pdf,1971 Census - Reports,/publications/1971-census-reports
pdf,1971-census-questionnaire.PDF,https://www.nisra.gov.uk/files/nisra/publications/1971-census-questionnaire.PDF,1971 Census - Reports,/publications/1971-census-reports
pdf,1971-census-religion-tables.PDF,https://www.nisra.gov.uk/files/nisra/publications/1971-census-religion-tables.PDF,1971 Census - Reports,/publications/1971-census-reports
pdf,1971-census-summary-tables.pdf,https://www.nisra.gov.uk/files/nisra/publications/1971-census-summary-tables.pdf,1971 Census - Reports,/publications/1971-census-reports
pdf,1971-census-towns-villages-booklet.PDF,https://www.nisra.gov.uk/files/nisra/publications/1971-census-towns-villages-booklet.PDF,1971 Census - Reports,/publications/1971-census-reports
pdf,1971-census-tyrone-county-report.PDF,https://www.nisra.gov.uk/files/nisra/publications/1971-census-tyrone-county-report.PDF,1971 Census - Reports,/publications/1971-census-reports
pdf,1971-census-workplace-transport-tables.PDF,https://www.nisra.gov.uk/files/nisra/publications/1971-census-workplace-transport-tables.PDF,1971 Census - Reports,/publications/1971-census-reports
pdf,1981-Census-belfast-lgd-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1981-Census-belfast-lgd-report.pdf,1981 Census - Reports,/publications/1981-census-reports
pdf,1981-Census-economic-activity-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1981-Census-economic-activity-report.pdf,1981 Census - Reports,/publications/1981-census-reports
pdf,1981-Census-education-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1981-Census-education-report.pdf,1981 Census - Reports,/publications/1981-census-reports
pdf,1981-Census-household-composition-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1981-Census-household-composition-report.pdf,1981 Census - Reports,/publications/1981-census-reports
pdf,1981-Census-migration-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1981-Census-migration-report.pdf,1981 Census - Reports,/publications/1981-census-reports
pdf,1981-Census-preliminary-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1981-Census-preliminary-report.pdf,1981 Census - Reports,/publications/1981-census-reports
pdf,1981-Census-questionnaire.pdf,https://www.nisra.gov.uk/files/nisra/publications/1981-Census-questionnaire.pdf,1981 Census - Reports,/publications/1981-census-reports
pdf,1981-Census-religion-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1981-Census-religion-report.pdf,1981 Census - Reports,/publications/1981-census-reports
pdf,1981-Census-summary-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1981-Census-summary-report.pdf,1981 Census - Reports,/publications/1981-census-reports
pdf,1981-Census-towns-villages-booklet.pdf,https://www.nisra.gov.uk/files/nisra/publications/1981-Census-towns-villages-booklet.pdf,1981 Census - Reports,/publications/1981-census-reports
pdf,1981-Census-workplace-transport-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1981-Census-workplace-transport-report.pdf,1981 Census - Reports,/publications/1981-census-reports
ods,1991-census-table-age-by-four-broad-age-bands-sex.ods,https://www.nisra.gov.uk/files/nisra/publications/1991-census-table-age-by-four-broad-age-bands-sex.ods,1991 Census - Headcount and Household Estimates,/publications/1991-census-headcount-and-household-estimates
ods,1991-census-table-occupied-households-average-household-size.ods,https://www.nisra.gov.uk/files/nisra/publications/1991-census-table-occupied-households-average-household-size.ods,1991 Census - Headcount and Household Estimates,/publications/1991-census-headcount-and-household-estimates
pdf,1991-census-belfast-urban-area-report-part-1.pdf,https://www.nisra.gov.uk/files/nisra/publications/1991-census-belfast-urban-area-report-part-1.pdf,1991 Census - Reports,/publications/1991-census-reports
pdf,1991-census-belfast-urban-area-report-part-2.pdf,https://www.nisra.gov.uk/files/nisra/publications/1991-census-belfast-urban-area-report-part-2.pdf,1991 Census - Reports,/publications/1991-census-reports
pdf,1991-census-economic-activity-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1991-census-economic-activity-report.pdf,1991 Census - Reports,/publications/1991-census-reports
pdf,1991-census-education-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1991-census-education-report.pdf,1991 Census - Reports,/publications/1991-census-reports
pdf,1991-census-general-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1991-census-general-report.pdf,1991 Census - Reports,/publications/1991-census-reports
pdf,1991-census-household-composition-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1991-census-household-composition-report.pdf,1991 Census - Reports,/publications/1991-census-reports
pdf,1991-census-irish-language-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1991-census-irish-language-report.pdf,1991 Census - Reports,/publications/1991-census-reports
pdf,1991-census-migration-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1991-census-migration-report.pdf,1991 Census - Reports,/publications/1991-census-reports
pdf,1991-census-preliminary-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1991-census-preliminary-report.pdf,1991 Census - Reports,/publications/1991-census-reports
pdf,1991-census-questionnaire.pdf,https://www.nisra.gov.uk/files/nisra/publications/1991-census-questionnaire.pdf,1991 Census - Reports,/publications/1991-census-reports
pdf,1991-census-religion-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1991-census-religion-report.pdf,1991 Census - Reports,/publications/1991-census-reports
pdf,1991-census-summary-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1991-census-summary-report.pdf,1991 Census - Reports,/publications/1991-census-reports
pdf,1991-census-towns-villages-booklet.pdf,https://www.nisra.gov.uk/files/nisra/publications/1991-census-towns-villages-booklet.pdf,1991 Census - Reports,/publications/1991-census-reports
pdf,1991-census-workplace-transport-report.pdf,https://www.nisra.gov.uk/files/nisra/publications/1991-census-workplace-transport-report.pdf,1991 Census - Reports,/publications/1991-census-reports
