SA2011,Label,Population,Catholic_bg,Protestant_bg,Other_None_bg,Proj_UI_decided_pct,provenance
N00000037,Crumlin_1,285,80.4,17.2,2.4,71.7,modelled
N00000038,Crumlin_1,406,76.8,20.0,3.2,69.2,modelled
N00000039,Crumlin_1,1262,82.7,15.0,2.3,73.4,modelled
N00000040,Crumlin_2,265,75.1,20.8,4.1,68.2,modelled
N00000041,Crumlin_2,462,92.6,6.5,0.9,80.5,modelled
N00000042,Crumlin_2,410,78.3,19.3,2.4,70.1,modelled
N00000043,Crumlin_2,1245,80.3,17.7,2.0,71.5,modelled
N00000044,Crumlin_2,312,71.2,22.8,6.0,65.8,modelled
N00000045,Drumanaway,515,11.5,83.9,4.6,20.3,modelled
N00000046,Drumanaway,394,7.9,85.3,6.8,18.3,modelled
N00000047,Drumanaway,374,17.1,77.0,5.9,24.9,modelled
N00000048,Drumanaway,304,17.4,75.3,7.3,25.6,modelled
N00000049,Drumanaway,254,26.8,66.5,6.7,32.5,modelled
N00000050,Drumanaway,299,20.4,75.6,4.0,26.9,modelled
N00000051,Farranshane,313,78.0,14.1,7.9,71.5,modelled
N00000052,Farranshane,309,61.8,31.4,6.8,59.0,modelled
N00000053,Farranshane,261,57.5,28.4,14.1,57.9,modelled
N00000054,Farranshane,266,18.8,61.3,19.9,30.4,modelled
N00000055,Farranshane,266,20.3,74.4,5.3,27.2,modelled
N00000056,Farranshane,283,24.0,65.4,10.6,31.5,modelled
N00000057,Fountain Hill,279,21.5,63.4,15.1,31.0,modelled
N00000058,Fountain Hill,266,19.9,70.3,9.8,28.2,modelled
N00000059,Fountain Hill,226,20.4,60.6,19.0,31.3,modelled
N00000060,Fountain Hill,394,26.9,65.0,8.1,33.0,modelled
N00000061,Fountain Hill,273,23.8,67.4,8.8,30.9,modelled
N00000062,Fountain Hill,351,23.6,67.2,9.2,30.8,modelled
N00000063,Fountain Hill,431,18.1,67.1,14.8,28.3,modelled
N00000064,Greystone,279,57.3,30.5,12.2,57.2,modelled
N00000065,Greystone,389,32.4,60.2,7.4,36.9,modelled
N00000066,Greystone,264,43.2,48.9,7.9,45.2,modelled
N00000067,Greystone,316,46.8,39.2,14.0,49.8,modelled
N00000068,Greystone,371,24.5,63.3,12.2,32.4,modelled
N00000069,Greystone,334,50.0,39.5,10.5,51.1,modelled
N00000070,Massereene_1,243,42.4,54.7,2.9,43.1,modelled
N00000071,Massereene_1,283,44.5,47.0,8.5,46.4,modelled
N00000072,Massereene_1,1753,31.8,56.6,11.6,37.7,modelled
N00000073,Massereene_1,521,32.2,55.5,12.3,38.2,modelled
N00000074,Massereene_2,1047,42.2,48.5,9.3,44.9,modelled
N00000075,Massereene_2,410,40.0,47.3,12.7,44.2,modelled
N00000076,Massereene_2,344,43.6,48.3,8.1,45.6,modelled
N00000077,Massereene_2,275,54.9,41.8,3.3,52.7,modelled
N00000078,Massereene_2,488,45.7,42.4,11.9,48.3,modelled
N00000079,Parkgate,564,9.6,85.3,5.1,19.0,modelled
N00000080,Parkgate,424,6.6,84.4,9.0,17.9,modelled
N00000081,Parkgate,339,5.3,88.5,6.2,16.1,modelled
N00000082,Parkgate,342,9.1,88.3,2.6,17.9,modelled
N00000083,Parkgate,650,7.5,84.5,8.0,18.3,modelled
N00000084,Parkgate,456,3.7,88.8,7.5,15.3,modelled
N00000085,Randalstown_1,437,57.7,34.6,7.7,56.1,modelled
N00000086,Randalstown_1,395,82.0,13.7,4.3,73.5,modelled
N00000087,Randalstown_1,913,68.5,27.5,4.0,63.2,modelled
N00000088,Randalstown_2,216,17.1,79.6,3.3,24.2,modelled
N00000089,Randalstown_2,478,81.8,14.0,4.2,73.3,modelled
N00000090,Randalstown_2,392,82.1,13.5,4.4,73.6,modelled
N00000091,Randalstown_2,476,69.5,25.2,5.3,64.3,modelled
N00000092,Shilvodan,504,12.1,81.5,6.4,21.3,modelled
N00000093,Shilvodan,421,50.4,46.8,2.8,49.2,modelled
N00000094,Shilvodan,492,41.9,53.9,4.2,43.2,modelled
N00000095,Shilvodan,468,68.2,29.3,2.5,62.5,modelled
N00000096,Shilvodan,464,15.9,78.2,5.9,24.0,modelled
N00000097,Springfarm_1,850,37.1,51.3,11.6,41.7,modelled
N00000098,Springfarm_1,1192,36.8,49.9,13.3,42.0,modelled
N00000099,Springfarm_1,258,50.4,40.3,9.3,51.1,modelled
N00000100,Springfarm_1,341,60.7,26.7,12.6,59.8,modelled
N00000101,Springfarm_2,282,47.9,33.7,18.4,51.9,modelled
N00000102,Springfarm_2,318,38.1,47.8,14.1,43.2,modelled
N00000103,Springfarm_2,623,37.4,48.0,14.6,42.9,modelled
N00000104,Springfarm_2,322,54.7,32.9,12.4,55.3,modelled
N00000105,Steeple,327,19.9,70.9,9.2,28.0,modelled
N00000106,Steeple,198,10.6,77.8,11.6,21.7,modelled
N00000107,Steeple,269,16.0,71.4,12.6,26.1,modelled
N00000108,Steeple,243,19.3,78.6,2.1,25.5,modelled
N00000109,Steeple,512,23.6,65.6,10.8,31.3,modelled
N00000110,Steeple,258,18.2,66.3,15.5,28.6,modelled
N00000111,Stiles,356,38.5,48.3,13.2,43.3,modelled
N00000112,Stiles,402,33.1,54.7,12.2,38.9,modelled
N00000113,Stiles,309,38.8,49.2,12.0,43.1,modelled
N00000114,Stiles,318,45.3,46.2,8.5,47.0,modelled
N00000115,Stiles,302,46.4,40.1,13.5,49.3,modelled
N00000116,Stiles,287,32.4,52.6,15.0,39.2,modelled
N00000117,Stiles,168,27.4,61.9,10.7,34.1,modelled
N00000118,Templepatrick,333,12.9,74.2,12.9,23.8,modelled
N00000119,Templepatrick,289,5.9,85.1,9.0,17.4,modelled
N00000120,Templepatrick,323,17.0,78.3,4.7,24.5,modelled
N00000121,Templepatrick,293,9.9,79.9,10.2,20.8,modelled
N00000122,Templepatrick,481,18.5,70.3,11.2,27.6,modelled
N00000123,Templepatrick,351,14.2,81.8,4.0,22.2,modelled
N00000124,Templepatrick,369,15.7,77.5,6.8,24.1,modelled
N00000125,Toome,464,80.8,16.4,2.8,72.1,modelled
N00000126,Toome,481,96.3,3.3,0.4,83.1,modelled
N00000127,Toome,405,82.7,14.6,2.7,73.5,modelled
N00000128,Toome,991,91.9,6.6,1.5,80.1,modelled
N00000129,Toome,346,94.2,4.3,1.5,81.8,modelled
N00000130,Ballygowan_1,498,4.8,83.3,11.9,17.4,modelled
N00000131,Ballygowan_1,388,3.6,89.4,7.0,15.1,modelled
N00000132,Ballygowan_1,366,33.1,60.4,6.5,37.2,modelled
N00000133,Ballygowan_1,322,29.8,66.5,3.7,33.9,modelled
N00000134,Ballygowan_2,437,8.2,81.2,10.6,19.6,modelled
N00000135,Ballygowan_2,312,15.4,74.7,9.9,24.8,modelled
N00000136,Ballygowan_2,507,6.5,85.6,7.9,17.5,modelled
N00000137,Ballygowan_2,315,6.3,82.9,10.8,18.2,modelled
N00000138,Ballygowan_2,464,2.8,89.2,8.0,14.8,modelled
N00000139,Ballyrainey,301,9.6,80.7,9.7,20.4,modelled
N00000140,Ballyrainey,333,12.6,78.4,9.0,22.5,modelled
N00000141,Ballyrainey,443,7.9,83.5,8.6,18.8,modelled
N00000142,Ballyrainey,205,10.7,76.6,12.7,22.1,modelled
N00000143,Ballyrainey,215,9.3,79.5,11.2,20.6,modelled
N00000144,Ballyrainey,228,6.1,79.4,14.5,19.2,modelled
N00000145,Ballyrainey,124,8.1,82.3,9.6,19.2,modelled
N00000146,Ballyrainey,271,11.4,82.3,6.3,20.8,modelled
N00000147,Ballyrainey,227,9.3,76.2,14.5,21.6,modelled
N00000148,Ballywalter_1,676,3.3,86.2,10.5,15.9,modelled
N00000149,Ballywalter_1,432,2.3,89.6,8.1,14.4,modelled
N00000150,Ballywalter_1,365,1.6,90.1,8.3,13.9,modelled
N00000151,Ballywalter_1,283,5.3,83.7,11.0,17.5,modelled
N00000152,Ballywalter_1,270,2.2,90.7,7.1,14.0,modelled
N00000153,Ballywalter_2,250,5.2,85.2,9.6,17.1,modelled
N00000154,Ballywalter_2,259,5.8,88.8,5.4,16.3,modelled
N00000155,Ballywalter_2,337,10.1,78.9,11.0,21.2,modelled
N00000156,Ballywalter_2,301,6.0,86.0,8.0,17.2,modelled
N00000157,Ballywalter_2,368,14.4,72.6,13.0,25.0,modelled
N00000158,Ballywalter_2,678,6.0,80.7,13.3,18.8,modelled
N00000159,Bradshaw's Brae_1,221,8.6,77.8,13.6,20.8,modelled
N00000160,Bradshaw's Brae_1,322,9.9,82.0,8.1,20.2,modelled
N00000161,Bradshaw's Brae_1,342,5.3,85.4,9.3,17.0,modelled
N00000162,Bradshaw's Brae_1,242,9.9,80.2,9.9,20.7,modelled
N00000163,Bradshaw's Brae_1,311,10.9,73.3,15.8,23.2,modelled
N00000164,Bradshaw's Brae_2,288,2.8,90.3,6.9,14.4,modelled
N00000165,Bradshaw's Brae_2,325,9.5,85.2,5.3,19.0,modelled
N00000166,Bradshaw's Brae_2,273,7.0,83.5,9.5,18.4,modelled
N00000167,Bradshaw's Brae_2,379,5.0,87.9,7.1,16.2,modelled
N00000168,Bradshaw's Brae_2,345,6.7,84.1,9.2,18.1,modelled
N00000169,Carrowdore_1,704,4.1,87.4,8.5,15.9,modelled
N00000170,Carrowdore_1,370,1.4,85.1,13.5,15.3,modelled
N00000171,Carrowdore_1,416,4.8,86.3,8.9,16.5,modelled
N00000172,Carrowdore_2,772,4.0,83.4,12.6,17.0,modelled
N00000173,Carrowdore_2,373,0.8,92.8,6.4,12.8,modelled
N00000174,Carrowdore_2,393,3.1,84.5,12.4,16.3,modelled
N00000175,Carrowdore_2,373,2.9,90.1,7.0,14.5,modelled
N00000176,Central,474,10.3,79.1,10.6,21.2,modelled
N00000177,Central,323,14.9,73.1,12.0,25.1,modelled
N00000178,Central,667,14.8,72.9,12.3,25.1,modelled
N00000179,Central,852,10.8,74.2,15.0,22.9,modelled
N00000180,Central,280,5.7,84.3,10.0,17.5,modelled
N00000181,Central,274,11.3,75.9,12.8,22.6,modelled
N00000182,Comber East_1,228,3.5,89.0,7.5,15.1,modelled
N00000183,Comber East_1,293,6.5,75.1,18.4,20.6,modelled
N00000184,Comber East_1,372,7.8,78.8,13.4,20.1,modelled
N00000185,Comber East_1,211,1.9,92.9,5.2,13.3,modelled
N00000186,Comber East_1,299,4.0,83.9,12.1,16.9,modelled
N00000187,Comber East_1,255,7.1,80.0,12.9,19.5,modelled
N00000188,Comber East_2,347,3.2,83.9,12.9,16.5,modelled
N00000189,Comber East_2,341,1.2,89.4,9.4,14.0,modelled
N00000190,Comber East_2,304,0.0,93.1,6.9,12.3,modelled
N00000191,Comber East_2,303,4.3,90.8,4.9,15.0,modelled
N00000192,Comber North_1,302,9.3,79.1,11.6,20.7,modelled
N00000193,Comber North_1,291,6.9,75.6,17.5,20.7,modelled
N00000194,Comber North_1,255,6.3,83.9,9.8,17.9,modelled
N00000195,Comber North_1,246,3.7,88.2,8.1,15.5,modelled
N00000196,Comber North_1,237,7.2,83.1,9.7,18.6,modelled
N00000197,Comber North_2,326,6.7,85.3,8.0,17.7,modelled
N00000198,Comber North_2,287,5.9,84.0,10.1,17.7,modelled
N00000199,Comber North_2,350,5.7,84.9,9.4,17.4,modelled
N00000200,Comber North_2,331,3.0,90.6,6.4,14.4,modelled
N00000201,Comber West_1,294,0.0,92.2,7.8,12.6,modelled
N00000202,Comber West_1,304,4.3,89.1,6.6,15.5,modelled
N00000203,Comber West_1,334,8.7,80.2,11.1,20.1,modelled
N00000204,Comber West_1,393,3.6,83.5,12.9,16.8,modelled
N00000205,Comber West_2,303,8.6,79.9,11.5,20.2,modelled
N00000206,Comber West_2,390,5.4,83.1,11.5,17.8,modelled
N00000207,Comber West_2,253,5.5,84.2,10.3,17.5,modelled
N00000208,Comber West_2,316,1.3,93.0,5.7,12.9,modelled
N00000209,Comber West_2,356,2.5,84.8,12.7,15.9,modelled
N00000210,Donaghadee North_1,383,9.4,78.3,12.3,21.0,modelled
N00000211,Donaghadee North_1,528,8.7,81.1,10.2,19.9,modelled
N00000212,Donaghadee North_1,175,7.4,76.6,16.0,20.6,modelled
N00000213,Donaghadee North_1,281,8.2,79.0,12.8,20.3,modelled
N00000214,Donaghadee North_1,323,7.7,81.4,10.9,19.3,modelled
N00000215,Donaghadee North_2,400,6.8,82.5,10.7,18.6,modelled
N00000216,Donaghadee North_2,397,5.0,82.1,12.9,17.9,modelled
N00000217,Donaghadee North_2,479,9.0,86.4,4.6,18.4,modelled
N00000218,Donaghadee North_2,361,4.7,85.6,9.7,16.7,modelled
N00000219,Donaghadee South_1,245,5.3,82.0,12.7,18.0,modelled
N00000220,Donaghadee South_1,284,1.8,83.5,14.7,16.0,modelled
N00000221,Donaghadee South_1,262,2.7,88.9,8.4,14.8,modelled
N00000222,Donaghadee South_1,298,3.0,88.9,8.1,14.9,modelled
N00000223,Donaghadee South_1,319,5.6,87.1,7.3,16.7,modelled
N00000224,Donaghadee South_2,243,7.4,79.0,13.6,19.9,modelled
N00000225,Donaghadee South_2,147,6.1,87.8,6.1,16.7,modelled
N00000226,Donaghadee South_2,261,8.4,81.6,10.0,19.6,modelled
N00000227,Donaghadee South_2,195,6.2,82.6,11.2,18.3,modelled
N00000228,Donaghadee South_2,306,2.9,93.5,3.6,13.5,modelled
N00000229,Donaghadee South_2,395,4.6,85.6,9.8,16.7,modelled
N00000230,Glen_1,293,7.5,78.2,14.3,20.2,modelled
N00000231,Glen_1,324,5.9,67.9,26.2,22.5,modelled
N00000232,Glen_1,309,12.6,72.5,14.9,24.2,modelled
N00000233,Glen_1,258,6.6,76.0,17.4,20.4,modelled
N00000234,Glen_1,256,17.6,66.4,16.0,28.3,modelled
N00000235,Glen_2,323,10.2,79.6,10.2,21.0,modelled
N00000236,Glen_2,291,7.2,80.1,12.7,19.5,modelled
N00000237,Glen_2,416,5.8,81.7,12.5,18.4,modelled
N00000238,Glen_2,306,4.2,90.5,5.3,15.0,modelled
N00000239,Gregstown_1,254,2.8,78.7,18.5,17.9,modelled
N00000240,Gregstown_1,354,4.8,78.8,16.4,18.8,modelled
N00000241,Gregstown_1,424,9.2,80.2,10.6,20.4,modelled
N00000242,Gregstown_1,360,5.3,86.4,8.3,16.7,modelled
N00000243,Gregstown_2,265,10.2,76.6,13.2,21.9,modelled
N00000244,Gregstown_2,275,8.0,82.5,9.5,19.1,modelled
N00000245,Gregstown_2,314,9.2,79.0,11.8,20.7,modelled
N00000246,Gregstown_2,309,9.1,82.2,8.7,19.7,modelled
N00000247,Gregstown_2,309,7.1,83.5,9.4,18.4,modelled
N00000248,Gregstown_3,337,6.8,84.6,8.6,18.0,modelled
N00000249,Gregstown_3,386,8.3,76.7,15.0,21.0,modelled
N00000250,Gregstown_3,401,5.0,81.8,13.2,18.0,modelled
N00000251,Gregstown_3,456,5.7,81.6,12.7,18.3,modelled
N00000252,Killinchy_1,345,4.1,82.6,13.3,17.3,modelled
N00000253,Killinchy_1,499,4.0,90.6,5.4,14.9,modelled
N00000254,Killinchy_1,315,2.9,90.2,6.9,14.5,modelled
N00000255,Killinchy_1,351,10.8,79.8,9.4,21.2,modelled
N00000256,Killinchy_2,780,9.4,77.7,12.9,21.2,modelled
N00000257,Killinchy_2,447,4.3,85.9,9.8,16.4,modelled
N00000258,Killinchy_2,379,9.2,83.4,7.4,19.4,modelled
N00000259,Kircubbin_1,465,59.8,34.0,6.2,57.3,modelled
N00000260,Kircubbin_1,560,36.2,55.9,7.9,40.0,modelled
N00000261,Kircubbin_1,561,59.0,34.9,6.1,56.6,modelled
N00000262,Kircubbin_1,419,58.9,34.1,7.0,56.8,modelled
N00000263,Kircubbin_2,239,63.2,31.8,5.0,59.5,modelled
N00000264,Kircubbin_2,566,63.3,29.7,7.0,60.1,modelled
N00000265,Kircubbin_2,351,70.1,25.4,4.5,64.5,modelled
N00000266,Kircubbin_2,328,61.9,33.2,4.9,58.5,modelled
N00000267,Lisbane_1,431,3.2,87.2,9.6,15.5,modelled
N00000268,Lisbane_1,384,5.2,85.9,8.9,16.8,modelled
N00000269,Lisbane_1,347,4.6,89.9,5.5,15.4,modelled
N00000270,Lisbane_1,371,4.6,83.6,11.8,17.3,modelled
N00000271,Lisbane_2,380,6.3,85.5,8.2,17.5,modelled
N00000272,Lisbane_2,295,7.1,83.1,9.8,18.5,modelled
N00000273,Lisbane_2,460,6.1,81.1,12.8,18.7,modelled
N00000274,Lisbane_2,468,7.5,84.4,8.1,18.3,modelled
N00000275,Loughries_1,291,10.0,80.1,9.9,20.8,modelled
N00000276,Loughries_1,315,6.3,80.0,13.7,19.1,modelled
N00000277,Loughries_1,310,4.8,81.6,13.6,17.9,modelled
N00000278,Loughries_1,304,7.2,84.5,8.3,18.2,modelled
N00000279,Loughries_1,181,7.7,76.2,16.1,20.9,modelled
N00000280,Loughries_1,392,5.6,73.5,20.9,20.7,modelled
N00000281,Loughries_2,349,5.2,88.0,6.8,16.2,modelled
N00000282,Loughries_2,364,8.5,76.9,14.6,21.0,modelled
N00000283,Loughries_2,346,7.8,77.5,14.7,20.5,modelled
N00000284,Loughries_2,382,5.0,77.5,17.5,19.2,modelled
N00000285,Loughries_2,322,4.7,75.5,19.8,19.7,modelled
N00000286,Millisle_1,271,1.5,91.5,7.0,13.5,modelled
N00000287,Millisle_1,297,4.4,78.8,16.8,18.6,modelled
N00000288,Millisle_1,353,2.3,78.2,19.5,17.8,modelled
N00000289,Millisle_1,496,2.8,85.5,11.7,15.9,modelled
N00000290,Millisle_1,271,2.2,91.9,5.9,13.7,modelled
N00000291,Millisle_2,512,3.9,84.0,12.1,16.8,modelled
N00000292,Millisle_2,731,5.9,82.4,11.7,18.2,modelled
N00000293,Millisle_2,522,6.7,80.7,12.6,19.1,modelled
N00000294,Millisle_2,405,4.0,87.4,8.6,15.8,modelled
N00000295,Millisle_2,421,9.3,74.1,16.6,22.2,modelled
N00000296,Movilla_1,287,10.1,81.5,8.4,20.4,modelled
N00000297,Movilla_1,371,10.5,83.3,6.2,20.0,modelled
N00000298,Movilla_1,335,6.9,77.6,15.5,20.1,modelled
N00000299,Movilla_1,324,11.4,78.4,10.2,21.9,modelled
N00000300,Movilla_1,296,12.8,82.1,5.1,21.5,modelled
N00000301,Movilla_2,366,11.2,76.8,12.0,22.3,modelled
N00000302,Movilla_2,363,6.9,79.1,14.0,19.6,modelled
N00000303,Movilla_2,318,5.7,83.6,10.7,17.8,modelled
N00000304,Movilla_2,342,10.8,74.6,14.6,22.8,modelled
N00000305,Movilla_2,395,3.5,87.8,8.7,15.5,modelled
N00000306,Movilla_3,381,7.1,78.5,14.4,19.9,modelled
N00000307,Movilla_3,355,7.3,81.1,11.6,19.2,modelled
N00000308,Movilla_3,277,9.7,76.2,14.1,21.8,modelled
N00000309,Movilla_3,378,7.7,77.2,15.1,20.6,modelled
N00000310,Portaferry_1,408,66.4,30.4,3.2,61.4,modelled
N00000311,Portaferry_1,333,80.2,14.4,5.4,72.4,modelled
N00000312,Portaferry_1,512,68.4,26.0,5.6,63.6,modelled
N00000313,Portaferry_1,636,84.3,12.6,3.1,74.8,modelled
N00000314,Portaferry_2,358,86.6,9.8,3.6,76.7,modelled
N00000315,Portaferry_2,345,81.2,14.8,4.0,72.8,modelled
N00000316,Portaferry_2,374,89.3,7.2,3.5,78.7,modelled
N00000317,Portaferry_2,447,79.0,16.1,4.9,71.4,modelled
N00000318,Portavogie_1,344,4.1,87.8,8.1,15.8,modelled
N00000319,Portavogie_1,819,2.3,86.8,10.9,15.2,modelled
N00000320,Portavogie_1,318,5.3,88.4,6.3,16.1,modelled
N00000321,Portavogie_1,517,4.6,89.2,6.2,15.6,modelled
N00000322,Portavogie_1,389,4.1,86.4,9.5,16.2,modelled
N00000323,Portavogie_2,472,35.8,55.9,8.3,39.8,modelled
N00000324,Portavogie_2,376,36.7,56.1,7.2,40.1,modelled
N00000325,Portavogie_2,538,24.3,66.9,8.8,31.2,modelled
N00000326,Portavogie_2,946,6.3,79.6,14.1,19.2,modelled
N00000327,Scrabo_1,325,5.8,75.4,18.8,20.2,modelled
N00000328,Scrabo_1,291,4.8,81.8,13.4,17.9,modelled
N00000329,Scrabo_1,402,6.2,82.8,11.0,18.2,modelled
N00000330,Scrabo_1,539,5.4,81.1,13.5,18.4,modelled
N00000331,Scrabo_2,612,5.4,83.7,10.9,17.6,modelled
N00000332,Scrabo_2,284,7.0,75.4,17.6,20.8,modelled
N00000333,Scrabo_2,293,3.4,85.0,11.6,16.3,modelled
N00000334,Scrabo_2,294,5.8,75.2,19.0,20.3,modelled
N00000335,Whitespots_1,326,13.2,72.7,14.1,24.4,modelled
N00000336,Whitespots_1,330,10.9,80.3,8.8,21.1,modelled
N00000337,Whitespots_1,282,8.9,79.4,11.7,20.5,modelled
N00000338,Whitespots_1,308,18.2,74.0,7.8,26.3,modelled
N00000339,Whitespots_1,294,15.0,77.2,7.8,23.9,modelled
N00000340,Whitespots_2,427,10.5,83.4,6.1,20.0,modelled
N00000341,Whitespots_2,348,10.1,79.9,10.0,20.9,modelled
N00000342,Whitespots_2,359,7.2,83.3,9.5,18.5,modelled
N00000343,Whitespots_2,351,6.3,81.8,11.9,18.6,modelled
N00000344,Abbey Park,406,78.6,19.2,2.2,70.3,modelled
N00000345,Abbey Park,416,93.0,6.2,0.8,80.7,modelled
N00000346,Abbey Park,685,91.7,6.3,2.0,80.1,modelled
N00000347,Abbey Park,257,88.7,6.2,5.1,78.8,modelled
N00000348,Abbey Park,426,84.0,14.3,1.7,74.2,modelled
N00000349,Abbey Park,368,88.0,7.1,4.9,78.2,modelled
N00000350,Ballymartim,577,82.7,15.3,2.0,73.3,modelled
N00000351,Ballymartim,414,64.5,31.9,3.6,60.0,modelled
N00000352,Ballymartim,466,90.8,8.2,1.0,79.1,modelled
N00000353,Ballymartim,422,63.3,35.1,1.6,58.5,modelled
N00000354,Ballymartim,405,42.2,57.3,0.5,42.3,modelled
N00000355,Ballymartim,441,68.7,30.6,0.7,62.4,modelled
N00000356,Callan Bridge,414,94.2,2.2,3.6,82.5,modelled
N00000357,Callan Bridge,1212,90.5,4.3,5.2,80.1,modelled
N00000358,Callan Bridge,371,93.5,3.0,3.5,81.9,modelled
N00000359,Callan Bridge,820,71.1,19.6,9.3,66.7,modelled
N00000360,Carrigatuke,423,85.8,12.8,1.4,75.5,modelled
N00000361,Carrigatuke,413,58.4,37.0,4.6,55.7,modelled
N00000362,Carrigatuke,390,68.7,30.5,0.8,62.4,modelled
N00000363,Carrigatuke,484,88.8,10.7,0.5,77.5,modelled
N00000364,Carrigatuke,475,45.5,53.9,0.6,44.8,modelled
N00000365,Carrigatuke,255,77.3,21.6,1.1,69.0,modelled
N00000366,Charlemont,536,78.5,17.5,4.0,70.7,modelled
N00000367,Charlemont,351,91.2,8.0,0.8,79.4,modelled
N00000368,Charlemont,544,77.8,19.7,2.5,69.8,modelled
N00000369,Charlemont,411,44.8,50.1,5.1,45.6,modelled
N00000370,Charlemont,485,46.2,51.3,2.5,45.9,modelled
N00000371,Charlemont,447,54.1,43.4,2.5,51.9,modelled
N00000372,Demesne_1,380,65.5,28.9,5.6,61.4,modelled
N00000373,Demesne_1,437,56.5,35.9,7.6,55.2,modelled
N00000374,Demesne_1,348,60.3,35.9,3.8,56.9,modelled
N00000375,Demesne_1,303,56.8,39.3,3.9,54.3,modelled
N00000376,Demesne_2,261,50.2,47.5,2.3,48.9,modelled
N00000377,Demesne_2,268,44.8,52.6,2.6,44.9,modelled
N00000378,Demesne_2,289,57.4,40.1,2.5,54.4,modelled
N00000379,Demesne_2,490,50.4,46.5,3.1,49.2,modelled
N00000380,Derrynoose,532,92.5,7.3,0.2,80.2,modelled
N00000381,Derrynoose,979,88.5,9.8,1.7,77.6,modelled
N00000382,Derrynoose,557,89.6,9.7,0.7,78.1,modelled
N00000383,Derrynoose,472,53.4,45.1,1.5,51.0,modelled
N00000384,Derrynoose,490,89.0,10.0,1.0,77.8,modelled
N00000385,Derrynoose,445,61.6,36.0,2.4,57.5,modelled
N00000386,Downs,291,87.6,7.9,4.5,77.8,modelled
N00000387,Downs,227,90.3,7.5,2.2,79.1,modelled
N00000388,Downs,1602,90.8,7.4,1.8,79.4,modelled
N00000389,Downs,445,93.5,5.4,1.1,81.2,modelled
N00000390,Hamiltonsbawn_1,972,14.7,83.1,2.2,22.0,modelled
N00000391,Hamiltonsbawn_1,524,8.2,84.5,7.3,18.6,modelled
N00000392,Hamiltonsbawn_2,1399,6.3,87.8,5.9,16.8,modelled
N00000393,Hamiltonsbawn_2,459,5.0,91.9,3.1,15.0,modelled
N00000394,Hockley,406,10.3,83.0,6.7,20.0,modelled
N00000395,Hockley,508,27.2,69.3,3.5,31.8,modelled
N00000396,Hockley,376,25.3,71.3,3.4,30.4,modelled
N00000397,Hockley,520,36.2,58.7,5.1,39.1,modelled
N00000398,Hockley,463,5.2,93.1,1.7,14.7,modelled
N00000399,Hockley,304,3.6,93.1,3.3,14.0,modelled
N00000400,Keady,240,93.8,5.0,1.2,81.5,modelled
N00000401,Keady,286,94.1,3.5,2.4,82.0,modelled
N00000402,Keady,248,87.9,9.7,2.4,77.4,modelled
N00000403,Keady,522,89.1,9.4,1.5,78.0,modelled
