DZ21,Label,Population,Catholic_bg,Protestant_bg,Other_None_bg,Proj_UI_decided_pct,provenance
N20000248,Glengormley_Urban_L1,271,27.7,56.5,15.9,32.9,modelled
N20000249,Glengormley_Urban_J4,353,84.4,11.3,4.2,76.3,modelled
N20000250,Glengormley_Urban_J5,390,85.6,10.0,4.4,77.4,modelled
N20000251,Glengormley_Urban_L2,713,84.6,10.1,5.3,76.9,modelled
N20000252,Glengormley_Urban_L3,450,83.1,12.9,4.0,75.1,modelled
N20000253,Glengormley_Urban_K3,618,76.1,19.7,4.2,69.2,modelled
N20000254,Glengormley_Urban_K4,500,81.4,16.2,2.4,73.0,modelled
N20000255,Glengormley_Urban_L4,545,82.6,10.5,7.0,75.8,modelled
N20000256,Glengormley_Urban_L5,562,82.2,11.4,6.4,75.3,modelled
N20000257,Airport_A1,307,18.2,71.3,10.4,22.8,modelled
N20000258,Airport_B1,516,14.7,73.3,12.0,20.4,modelled
N20000259,Airport_A2,588,12.4,74.5,13.1,18.9,modelled
N20000260,Airport_A3,649,16.5,70.6,12.9,22.3,modelled
N20000261,Airport_C1,893,9.9,77.6,12.5,16.5,modelled
N20000262,Airport_C2,651,16.1,73.0,10.9,21.2,modelled
N20000263,Airport_B2,562,16.2,66.4,17.4,23.8,modelled
N20000264,Airport_B3,683,28.6,51.8,19.6,35.2,modelled
N20000265,Airport_D1,537,36.5,49.9,13.6,39.5,modelled
N20000266,Airport_C3,376,17.6,71.0,11.4,22.6,modelled
N20000267,Airport_D2,809,62.5,28.1,9.4,59.8,modelled
N20000268,Airport_F1,666,30.9,58.6,10.5,33.5,modelled
N20000269,Airport_D3,647,18.7,71.4,9.9,22.9,modelled
N20000270,Airport_E1,350,70.6,18.9,10.6,67.1,modelled
N20000271,Airport_D4,509,59.1,27.9,13.0,58.4,modelled
N20000272,Airport_E2,657,65.1,21.6,13.2,63.6,modelled
N20000273,Airport_E3,404,80.4,10.9,8.7,74.7,modelled
N20000274,Airport_G1,535,11.2,82.4,6.4,15.2,modelled
N20000275,Airport_E4,491,60.9,26.5,12.6,59.7,modelled
