election_key,date,body,constituency,absent_party,absent_party_contested,winner,parties_present
parliament-of-northern-ireland__1933-11-30,1933-11-30,parliament-of-northern-ireland,South Armagh,UUP,39/49,Irish Republican,Irish Republican | National League | Nationalist Party
parliament-of-northern-ireland__1933-11-30,1933-11-30,parliament-of-northern-ireland,South Down,UUP,39/49,Fianna Fáil,Fianna Fáil | Irish Republican
parliament-of-northern-ireland__1933-11-30,1933-11-30,parliament-of-northern-ireland,South Fermanagh,UUP,39/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1933-11-30,1933-11-30,parliament-of-northern-ireland,West Tyrone,UUP,39/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1938-02-09,1938-02-09,parliament-of-northern-ireland,Belfast Central,UUP,40/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1938-02-09,1938-02-09,parliament-of-northern-ireland,Belfast Falls,UUP,40/49,Nationalist Party,NI Labour | Nationalist Party
parliament-of-northern-ireland__1938-02-09,1938-02-09,parliament-of-northern-ireland,Foyle,UUP,40/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1938-02-09,1938-02-09,parliament-of-northern-ireland,Mid Londonderry,UUP,40/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1938-02-09,1938-02-09,parliament-of-northern-ireland,Mid Tyrone,UUP,40/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1938-02-09,1938-02-09,parliament-of-northern-ireland,South Armagh,UUP,40/49,NI Labour,NI Labour
parliament-of-northern-ireland__1938-02-09,1938-02-09,parliament-of-northern-ireland,South Down,UUP,40/49,Independent Unionist,Independent Unionist | NI Labour
parliament-of-northern-ireland__1938-02-09,1938-02-09,parliament-of-northern-ireland,South Fermanagh,UUP,40/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1938-02-09,1938-02-09,parliament-of-northern-ireland,West Tyrone,UUP,40/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1945-06-14,1945-06-14,parliament-of-northern-ireland,Belfast Central,UUP,38/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1945-06-14,1945-06-14,parliament-of-northern-ireland,Belfast Falls,UUP,38/49,Socialist Republican Party,Federation of Labour | Nationalist Party | Socialist Republican Party
parliament-of-northern-ireland__1945-06-14,1945-06-14,parliament-of-northern-ireland,Belfast Shankill,UUP,38/49,Independent Unionist,Independent Unionist
parliament-of-northern-ireland__1945-06-14,1945-06-14,parliament-of-northern-ireland,East Tyrone,UUP,38/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1945-06-14,1945-06-14,parliament-of-northern-ireland,Foyle,UUP,38/49,Nationalist Party,Independent Labour | Nationalist Party
parliament-of-northern-ireland__1945-06-14,1945-06-14,parliament-of-northern-ireland,Mid Londonderry,UUP,38/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1945-06-14,1945-06-14,parliament-of-northern-ireland,Mid Tyrone,UUP,38/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1945-06-14,1945-06-14,parliament-of-northern-ireland,Mourne,UUP,38/49,Nationalist Party,Independent Unionist | Nationalist Party
parliament-of-northern-ireland__1945-06-14,1945-06-14,parliament-of-northern-ireland,South Armagh,UUP,38/49,Nationalist Party,NI Labour | Nationalist Party
parliament-of-northern-ireland__1945-06-14,1945-06-14,parliament-of-northern-ireland,South Fermanagh,UUP,38/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1945-06-14,1945-06-14,parliament-of-northern-ireland,West Tyrone,UUP,38/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1949-02-10,1949-02-10,parliament-of-northern-ireland,Belfast Central,UUP,43/49,Independent Labour,Independent Labour
parliament-of-northern-ireland__1949-02-10,1949-02-10,parliament-of-northern-ireland,Belfast Falls,UUP,43/49,Socialist Republican Party,Socialist Republican Party
parliament-of-northern-ireland__1949-02-10,1949-02-10,parliament-of-northern-ireland,Belfast Shankill,UUP,43/49,Independent Unionist,Independent Unionist
parliament-of-northern-ireland__1949-02-10,1949-02-10,parliament-of-northern-ireland,Belfast Woodvale,UUP,43/49,Independent Unionist,Independent Unionist
parliament-of-northern-ireland__1949-02-10,1949-02-10,parliament-of-northern-ireland,Foyle,UUP,43/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1949-02-10,1949-02-10,parliament-of-northern-ireland,Mid Londonderry,UUP,43/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1953-10-22,1953-10-22,parliament-of-northern-ireland,Belfast Falls,UUP,41/49,Republican Labour,Independent Irish Labour | Irish Labour | Republican Labour
parliament-of-northern-ireland__1953-10-22,1953-10-22,parliament-of-northern-ireland,East Tyrone,UUP,41/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1953-10-22,1953-10-22,parliament-of-northern-ireland,Foyle,UUP,41/49,Nationalist Party,Independent Nationalist | Nationalist Party
parliament-of-northern-ireland__1953-10-22,1953-10-22,parliament-of-northern-ireland,Mid Londonderry,UUP,41/49,Nationalist Party,Anti-Partitionist | Nationalist Party
parliament-of-northern-ireland__1953-10-22,1953-10-22,parliament-of-northern-ireland,Mid Tyrone,UUP,41/49,Anti-Partitionist,Anti-Partitionist | Nationalist Party
parliament-of-northern-ireland__1953-10-22,1953-10-22,parliament-of-northern-ireland,South Armagh,UUP,41/49,Anti-Partitionist,Anti-Partitionist
parliament-of-northern-ireland__1953-10-22,1953-10-22,parliament-of-northern-ireland,South Fermanagh,UUP,41/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1953-10-22,1953-10-22,parliament-of-northern-ireland,West Tyrone,UUP,41/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1958-03-20,1958-03-20,parliament-of-northern-ireland,Belfast Falls,UUP,44/49,Republican Labour,Independent Irish Labour | Republican Labour
parliament-of-northern-ireland__1958-03-20,1958-03-20,parliament-of-northern-ireland,Foyle,UUP,44/49,Nationalist Party,Independent Labour | Nationalist Party
parliament-of-northern-ireland__1958-03-20,1958-03-20,parliament-of-northern-ireland,Mid Londonderry,UUP,44/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1958-03-20,1958-03-20,parliament-of-northern-ireland,South Armagh,UUP,44/49,Independent Nationalist,Independent Labour | Independent Nationalist
parliament-of-northern-ireland__1958-03-20,1958-03-20,parliament-of-northern-ireland,South Fermanagh,UUP,44/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1962-05-31,1962-05-31,parliament-of-northern-ireland,Belfast Central,UUP,42/49,Ind. Labour Group,Ind. Labour Group
parliament-of-northern-ireland__1962-05-31,1962-05-31,parliament-of-northern-ireland,Belfast Falls,UUP,42/49,Republican Labour,Ind. Labour Group | Republican Labour
parliament-of-northern-ireland__1962-05-31,1962-05-31,parliament-of-northern-ireland,Foyle,UUP,42/49,Nationalist Party,Independent Labour | Nationalist Party
parliament-of-northern-ireland__1962-05-31,1962-05-31,parliament-of-northern-ireland,Mid Londonderry,UUP,42/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1962-05-31,1962-05-31,parliament-of-northern-ireland,Mourne,UUP,42/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1962-05-31,1962-05-31,parliament-of-northern-ireland,South Down,UUP,42/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1962-05-31,1962-05-31,parliament-of-northern-ireland,South Fermanagh,UUP,42/49,Nationalist Party,Nationalist Party
house-of-commons-of-the-united-kingdom__1964-10-15,1964-10-15,house-of-commons-of-the-united-kingdom,Londonderry,NI Labour,10/12,UUP,Republican Clubs | UUP
house-of-commons-of-the-united-kingdom__1964-10-15,1964-10-15,house-of-commons-of-the-united-kingdom,North Antrim,NI Labour,10/12,UUP,Republican Clubs | UUP
parliament-of-northern-ireland__1965-11-25,1965-11-25,parliament-of-northern-ireland,Belfast Central,UUP,39/49,National Democratic Party,National Democratic Party
parliament-of-northern-ireland__1965-11-25,1965-11-25,parliament-of-northern-ireland,Belfast Falls,UUP,39/49,Republican Labour,Republican Labour
parliament-of-northern-ireland__1965-11-25,1965-11-25,parliament-of-northern-ireland,East Tyrone,UUP,39/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1965-11-25,1965-11-25,parliament-of-northern-ireland,Foyle,UUP,39/49,Nationalist Party,Independent Labour | Nationalist Party
parliament-of-northern-ireland__1965-11-25,1965-11-25,parliament-of-northern-ireland,Mid Londonderry,UUP,39/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1965-11-25,1965-11-25,parliament-of-northern-ireland,Mid Tyrone,UUP,39/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1965-11-25,1965-11-25,parliament-of-northern-ireland,Mourne,UUP,39/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1965-11-25,1965-11-25,parliament-of-northern-ireland,South Armagh,UUP,39/49,Nationalist Party,Independent Republican | Nationalist Party
parliament-of-northern-ireland__1965-11-25,1965-11-25,parliament-of-northern-ireland,South Fermanagh,UUP,39/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1965-11-25,1965-11-25,parliament-of-northern-ireland,West Tyrone,UUP,39/49,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1969-02-24,1969-02-24,parliament-of-northern-ireland,Belfast Central,UUP,43/52,Republican Labour,National Democratic Party | Republican Labour
parliament-of-northern-ireland__1969-02-24,1969-02-24,parliament-of-northern-ireland,Belfast Falls,UUP,43/52,NI Labour,NI Labour | Republican Labour
parliament-of-northern-ireland__1969-02-24,1969-02-24,parliament-of-northern-ireland,Foyle,UUP,43/52,Independent Nationalist,Independent Nationalist | NI Labour | Nationalist Party
parliament-of-northern-ireland__1969-02-24,1969-02-24,parliament-of-northern-ireland,Mid Tyrone,UUP,43/52,Nationalist Party,Nationalist Party | People's Progressive Party
parliament-of-northern-ireland__1969-02-24,1969-02-24,parliament-of-northern-ireland,Mourne,UUP,43/52,Nationalist Party,Nationalist Party
parliament-of-northern-ireland__1969-02-24,1969-02-24,parliament-of-northern-ireland,South Armagh,UUP,43/52,Independent Nationalist,Independent Nationalist | NI Labour | Nationalist Party
parliament-of-northern-ireland__1969-02-24,1969-02-24,parliament-of-northern-ireland,South Down,UUP,43/52,Nationalist Party,Nationalist Party | People's Democracy
parliament-of-northern-ireland__1969-02-24,1969-02-24,parliament-of-northern-ireland,South Fermanagh,UUP,43/52,Nationalist Party,Nationalist Party | People's Democracy
parliament-of-northern-ireland__1969-02-24,1969-02-24,parliament-of-northern-ireland,West Tyrone,UUP,43/52,Nationalist Party,Nationalist Party
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Antrim Area A,SDLP,61/98,Independent,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Antrim Area C corrected,SDLP,61/98,UUP,Alliance | Independent | UUP | Vanguard Unionist Progressive Party
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Ards Area C,SDLP,61/98,UUP,Alliance | Independent | UUP | Vanguard Unionist Progressive Party
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Ballymena Area A,SDLP,61/98,UUP,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Ballymena Area B,SDLP,61/98,Independent,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Ballymena Area C,SDLP,61/98,UUP,Alliance | DUP | Independent | Northern Ireland Labour Party | PUP | UUP | Vanguard Unionist Progressive Party
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Ballymena Area D,SDLP,61/98,UUP,Alliance | DUP | Independent | Northern Ireland Labour Party | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Ballymoney Area A,Alliance,97/98,Independent,DUP | Independent | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Ballymoney Area A,SDLP,61/98,Independent,DUP | Independent | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Ballymoney Area C,SDLP,61/98,Independent,Alliance | Independent | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Banbridge Area A,SDLP,61/98,UUP,Alliance | Independent | Northern Ireland Labour Party | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Belfast Area B,SDLP,61/98,UUP,Alliance | Northern Ireland Labour Party | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Carrickfergus Area A,SDLP,61/98,UUP,Alliance | Northern Ireland Labour Party | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Carrickfergus Area B,SDLP,61/98,UUP,Alliance | Independent | Northern Ireland Labour Party | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Carrickfergus Area C,SDLP,61/98,UUP,Alliance | Independent | Northern Ireland Labour Party | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Castlereagh Area A,SDLP,61/98,UUP,Alliance | Northern Ireland Labour Party | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Castlereagh Area B,SDLP,61/98,UUP,Alliance | Northern Ireland Labour Party | UUP | Vanguard Unionist Progressive Party
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Castlereagh Area C corrected,SDLP,61/98,UUP,Alliance | Independent | Northern Ireland Labour Party | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Coleraine Area C,SDLP,61/98,UUP,Alliance | Independent | Northern Ireland Labour Party | Republican Clubs | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Craigavon Area B,SDLP,61/98,UUP,Alliance | DUP | Independent | Northern Ireland Labour Party | Republican Clubs | UUP | Vanguard Unionist Progressive Party
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Craigavon Area D,SDLP,61/98,UUP,Alliance | DUP | UUP | Vanguard Unionist Progressive Party
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Derry Area A,UUP,83/98,SDLP,Alliance | Nationalist Party (Northern Ireland) | Northern Ireland Labour Party | Republican Clubs | SDLP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Derry Area B,UUP,83/98,SDLP,Alliance | Nationalist Party (Northern Ireland) | Republican Clubs | SDLP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Derry Area C,UUP,83/98,SDLP,Alliance | Nationalist Party (Northern Ireland) | Republican Clubs | SDLP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Derry Area D,UUP,83/98,SDLP,Alliance | Independent | Nationalist Party (Northern Ireland) | Republican Clubs | SDLP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Derry Area E,UUP,83/98,SDLP,Alliance | Independent | Nationalist Party (Northern Ireland) | Republican Clubs | SDLP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Fermanagh Area A,SDLP,61/98,Independent,Alliance | Independent | Unity (Northern Ireland)
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Fermanagh Area A,UUP,83/98,Independent,Alliance | Independent | Unity (Northern Ireland)
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Fermanagh Area B,SDLP,61/98,UUP,Alliance | DUP | UUP | Unity (Northern Ireland)
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Fermanagh Area C,SDLP,61/98,UUP,Alliance | DUP | Independent | UUP | Unity (Northern Ireland)
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Larne Area B,SDLP,61/98,UUP,Alliance | Independent | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Larne Area C,SDLP,61/98,Alliance,Alliance | Independent | Northern Ireland Labour Party
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Larne Area C,UUP,83/98,Alliance,Alliance | Independent | Northern Ireland Labour Party
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Limavady Area A,UUP,83/98,SDLP,Alliance | Independent | Republican Clubs | SDLP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Limavady Area B,UUP,83/98,SDLP,Alliance | Independent | Republican Clubs | SDLP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Limavady Area C,UUP,83/98,Alliance,Alliance | Independent | SDLP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Lisburn Area B,SDLP,61/98,UUP,Alliance | DUP | UUP | Vanguard Unionist Progressive Party
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Lisburn Area E,SDLP,61/98,UUP,Alliance | DUP | Northern Ireland Labour Party | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Moyle Area A,UUP,83/98,Independent,Alliance | Independent | SDLP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Moyle Area B,SDLP,61/98,UUP,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Newtownabbey Area A,SDLP,61/98,UUP,Alliance | DUP | Northern Ireland Labour Party | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Newtownabbey Area B,SDLP,61/98,UUP,Alliance | Communist Party of Ireland | Independent | Northern Ireland Labour Party | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Newtownabbey Area C,SDLP,61/98,UUP,Alliance | DUP | Northern Ireland Labour Party | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Omagh Area B,SDLP,61/98,Independent,Alliance | Independent | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,Omagh Area D,SDLP,61/98,Independent,Alliance | Independent | UUP | Unity (Northern Ireland)
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,lg73-NaM-Area-C,UUP,83/98,Independent,Alliance | Independent | Republican Clubs | SDLP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,lg73-NaM-Area-D,UUP,83/98,SDLP,Alliance | Independent | Irish Labour Party | Republican Clubs | SDLP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,lg73-NaM-Area-E,UUP,83/98,SDLP,Alliance | Independent | Republican Clubs | SDLP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,lg73-NaM-Area-F,UUP,83/98,Alliance,Alliance | Irish Labour Party | Republican Clubs | SDLP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,lg73-NoD-Area-A,SDLP,61/98,UUP,Alliance | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,lg73-NoD-Area-B,SDLP,61/98,UUP,Alliance | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,lg73-NoD-Area-C,SDLP,61/98,UUP,Alliance | Independent | Northern Ireland Labour Party | UUP
local-government-local-government-districts__1973-05-30,1973-05-30,local-government,lg73-NoD-Area-D,SDLP,61/98,Alliance,Alliance | Independent | UUP
northern-ireland-assembly__1973-06-28,1973-06-28,northern-ireland-assembly,Fermanagh and South Tyrone,NI Labour,8/11,SDLP,Alliance | DUP | Independent | Independent Unionist | Republican Clubs | SDLP | UUP | Vanguard Unionist Progressive Party
northern-ireland-assembly__1973-06-28,1973-06-28,northern-ireland-assembly,Londonderry,DUP,10/11,SDLP,Alliance | NI Labour | Nationalist Party | SDLP | UUP | Vanguard Unionist Progressive Party
northern-ireland-assembly__1973-06-28,1973-06-28,northern-ireland-assembly,Mid Ulster,NI Labour,8/11,SDLP,Alliance | DUP | Nationalist Party | Republican Clubs | SDLP | UUP | Vanguard Unionist Progressive Party
northern-ireland-assembly__1973-06-28,1973-06-28,northern-ireland-assembly,South Down,NI Labour,8/11,UUP,Alliance | DUP | Independent | Independent Nationalist | National Front | Republican Clubs | SDLP | UUP | Ulster Liberal | Vanguard Unionist Progressive Party
house-of-commons-of-the-united-kingdom__1974-02-28,1974-02-28,house-of-commons-of-the-united-kingdom,Belfast West,UUP,11/12,SDLP,DUP | Independent | NI Labour | Republican Clubs | SDLP
house-of-commons-of-the-united-kingdom__1974-10-10,1974-10-10,house-of-commons-of-the-united-kingdom,Belfast East,SDLP,9/12,Vanguard Unionist Progressive Party,NI Labour | UUP | Vanguard Unionist Progressive Party
house-of-commons-of-the-united-kingdom__1974-10-10,1974-10-10,house-of-commons-of-the-united-kingdom,Belfast South,UUP,8/12,Vanguard Unionist Progressive Party,Alliance | Independent Unionist | NI Labour | SDLP | Vanguard Unionist Progressive Party
house-of-commons-of-the-united-kingdom__1974-10-10,1974-10-10,house-of-commons-of-the-united-kingdom,Belfast West,UUP,8/12,SDLP,Communist Party of Ireland (Marxist-Leninist) | DUP | Republican Clubs | SDLP | Volunteer Political Party
house-of-commons-of-the-united-kingdom__1974-10-10,1974-10-10,house-of-commons-of-the-united-kingdom,Fermanagh and South Tyrone,SDLP,9/12,Independent Nationalist,Communist Party of Ireland (Marxist-Leninist) | Independent Nationalist | UUP
house-of-commons-of-the-united-kingdom__1974-10-10,1974-10-10,house-of-commons-of-the-united-kingdom,Mid Ulster,UUP,8/12,Vanguard Unionist Progressive Party,Republican Clubs | SDLP | Vanguard Unionist Progressive Party
house-of-commons-of-the-united-kingdom__1974-10-10,1974-10-10,house-of-commons-of-the-united-kingdom,North Antrim,UUP,8/12,DUP,Alliance | DUP | SDLP
house-of-commons-of-the-united-kingdom__1974-10-10,1974-10-10,house-of-commons-of-the-united-kingdom,North Down,SDLP,9/12,UUP,Alliance | UUP
northern-ireland-constitutional-convention__1975-05-01,1975-05-01,northern-ireland-constitutional-convention,Belfast East,Republican Clubs,8/12,Vanguard Unionist Progressive Party,Alliance | DUP | Independent Unionist | NI Labour | SDLP | UUP | Unionist Party of Northern Ireland | Vanguard Unionist Progressive Party
northern-ireland-constitutional-convention__1975-05-01,1975-05-01,northern-ireland-constitutional-convention,Belfast South,Republican Clubs,8/12,UUP,Alliance | DUP | NI Labour | SDLP | UUP | Unionist Party of Northern Ireland | Vanguard Unionist Progressive Party
northern-ireland-constitutional-convention__1975-05-01,1975-05-01,northern-ireland-constitutional-convention,Belfast West,Unionist Party of Northern Ireland,11/12,SDLP,Alliance | Communist Party of Ireland | DUP | Independent Unionist | Republican Clubs | SDLP | UUP | Vanguard Unionist Progressive Party
northern-ireland-constitutional-convention__1975-05-01,1975-05-01,northern-ireland-constitutional-convention,North Antrim,Republican Clubs,8/12,DUP,Alliance | DUP | SDLP | UUP | Unionist Party of Northern Ireland | Vanguard Unionist Progressive Party
northern-ireland-constitutional-convention__1975-05-01,1975-05-01,northern-ireland-constitutional-convention,North Down,Republican Clubs,8/12,UUP,Alliance | DUP | SDLP | UUP | Unionist Party of Northern Ireland | Vanguard Unionist Progressive Party
local-government-local-government-districts__1977-05-18,1977-05-18,local-government,Antrim Area A,SDLP,64/98,UUP,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1977-05-18,1977-05-18,local-government,Antrim Area C,SDLP,64/98,UUP,Alliance | DUP | Independent | UUP | Vanguard Unionist Progressive Party
local-government-local-government-districts__1977-05-18,1977-05-18,local-government,Ards Area B,SDLP,64/98,UUP,Alliance | DUP | Northern Ireland Labour Party | UUP | Unionist Party of Northern Ireland | Vanguard Unionist Progressive Party
local-government-local-government-districts__1977-05-18,1977-05-18,local-government,Ards Area C,SDLP,64/98,Independent,Alliance | DUP | Independent | UUP
local-government-local-government-districts__1977-05-18,1977-05-18,local-government,Armagh Area A,Alliance,83/98,UUP,DUP | SDLP | UUP
local-government-local-government-districts__1977-05-18,1977-05-18,local-government,Armagh Area C,DUP,64/98,SDLP,Alliance | SDLP | UUP
local-government-local-government-districts__1977-05-18,1977-05-18,local-government,Ballymena Area A,Alliance,83/98,DUP,DUP | Independent | UUP
local-government-local-government-districts__1977-05-18,1977-05-18,local-government,Ballymena Area A,SDLP,64/98,DUP,DUP | Independent | UUP
local-government-local-government-districts__1977-05-18,1977-05-18,local-government,Ballymena Area B,Alliance,83/98,D.U. U.U.U.C.,D.U. U.U.U.C. | Independent
local-government-local-government-districts__1977-05-18,1977-05-18,local-government,Ballymena Area B,DUP,64/98,D.U. U.U.U.C.,D.U. U.U.U.C. | Independent
local-government-local-government-districts__1977-05-18,1977-05-18,local-government,Ballymena Area B,SDLP,64/98,D.U. U.U.U.C.,D.U. U.U.U.C. | Independent
