id,title,sourceSlugOrId,provider,organisation,confidence,readiness
census-00103-b0109,2002 Population and Representatives Assigned to Each Local Electoral Area,B0109,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00104-vsa09,"Deaths and Death Rates per 1,000 population",VSA09,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00105-c0109,Population and Representatives Assigned to Each Local Electoral Area,C0109,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00106-cd118,Population and Representatives Assigned to Each Local Electoral Area,CD118,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00107-e2018,Population and Representatives Assigned to Each Local Electoral Area 2016,E2018,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00108-e2020,Population of Gaeltacht Electoral Divisions 2011 to 2016,E2020,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00110-pem07,Standardised Death Rates 2006/2007 for Population Aged 15 Years and Over Usually Resident and Present in the State by Carers,PEM07,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00111-pem08,Standardised Death Rates 2006/2007 for Population Aged 15 Years and Over Usually Resident and Present in the State by Marital Status,PEM08,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00112-pem06,Standardised Death Rates 2006/2007 for Population Usually Resident and Present in the State by Disability,PEM06,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00113-e3022,Top 25 Electoral Divisions Percentage of Population Aged 65 Years and Over 2016,E3022,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00114-cd222,Top 5 Electoral Division - Population aged 65 yrs and over,CD222,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00115-cd223,Top 5 Electoral Division - Population under 10 years of age,CD223,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00116-a0432,1996 Percentage of Population Born Outside County of Enumeration by Birthplace,A0432,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00117-b0435,2002 Percentage of Population Born Outside County of Enumeration by Birthplace,B0435,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00118-cd616,Percentage of Population Born Outside County of Enumeration by Birthplace,CD616,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00119-e7056,Percentage of Population Born Outside County of Enumeration by Birthplace 1991 to 2016,E7056,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00120-cna32,Population Born Outside County of Enumeration,CNA32,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00121-g0420,Population per County,G0420,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00122-g0104,"SDG 1.3.1 Proportion of the population receiving Social Welfare Payments by County, Year and Statistic",G0104,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00123-g0108,"SDG 1.4.2 Proportion of total adult population with secure tenure rights to land by County, Year and Statistic",G0108,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00127-ura45,"Average Travel Time of Population at Work, School or College",URA45,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00128-urlia41,"Average Travel Time of Population at Work, School or College",URLIA41,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00131-hhr04,Department of Social Protection (DSP) using Census 2022,HHR04,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00132-cdd20,Females Usually Resident and Present in the State on Census Night,CDD20,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00133-sap2016t12t3cty,General Health of Population,SAP2016T12T3CTY,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00134-sap2016t12t3sa,General Health of Population,SAP2016T12T3SA,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00135-sap2016t12t3prov,General Health of Population,SAP2016T12T3PROV,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00136-sap2016t12t3ed,General Health of Population,SAP2016T12T3ED,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00139-sap2016t12t3con13,General Health of Population,SAP2016T12T3CON13,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00140-sap2016t12t3nuts,General Health of Population,SAP2016T12T3NUTS,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00143-sap2016t12t3set,General Health of Population,SAP2016T12T3SET,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00144-sap2016t12t3con17,General Health of Population,SAP2016T12T3CON17,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00145-sap2011t12t3cty,General Health of Population,SAP2011T12T3CTY,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00146-sap2011t12t3ed,General Health of Population,SAP2011T12T3ED,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00147-sap2011t12t3prov,General Health of Population,SAP2011T12T3PROV,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00148-sap2022t12t3prov,General Health of Population,SAP2022T12T3PROV,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00149-sap2011t12t3sa,General Health of Population,SAP2011T12T3SA,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00150-sap2022t12t3sa,General Health of Population,SAP2022T12T3SA,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00151-sap2022t12t3cty,General Health of Population,SAP2022T12T3CTY,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00152-sap2022t12t3town22,General Health of Population,SAP2022T12T3TOWN22,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00154-sap2022t12t3nuts,General Health of Population,SAP2022T12T3NUTS,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00155-sap2022t12t3ed,General Health of Population,SAP2022T12T3ED,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00156-cpni24,General Health of Population Usually Resident,CPNI24,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00157-cpni25,General Health of Population Usually Resident,CPNI25,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00158-cpni26,General Health of Population Usually Resident,CPNI26,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00159-dhga10hr,General Health of the Population,DHGA10HR,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00160-dhga10iha,General Health of the Population,DHGA10IHA,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00161-dhga10cst,General Health of the Population,DHGA10CST,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00163-hgo16,Graduate Occupations in Census 2022,HGO16,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00164-hgo21,Graduate Occupations in Census 2022 by Gender,HGO21,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00165-hr008,Irish Psychiatric Units and Hospital Census,HR008,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00166-hr009,Irish Psychiatric Units and Hospital Census,HR009,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00183-sap2016t6t8cty,Occupancy Status of Permanent Dwellings on Census Night,SAP2016T6T8CTY,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00184-sap2016t6t8prov,Occupancy Status of Permanent Dwellings on Census Night,SAP2016T6T8PROV,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00185-sap2016t6t8ed,Occupancy Status of Permanent Dwellings on Census Night,SAP2016T6T8ED,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00187-sap2016t6t8con13,Occupancy Status of Permanent Dwellings on Census Night,SAP2016T6T8CON13,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00188-sap2016t6t8nuts,Occupancy Status of Permanent Dwellings on Census Night,SAP2016T6T8NUTS,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00189-sap2016t6t8sa,Occupancy Status of Permanent Dwellings on Census Night,SAP2016T6T8SA,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00191-sap2016t6t8set,Occupancy Status of Permanent Dwellings on Census Night,SAP2016T6T8SET,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00192-sap2016t6t8con17,Occupancy Status of Permanent Dwellings on Census Night,SAP2016T6T8CON17,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00193-sap2011t6t8ed,Occupancy Status of Permanent Dwellings on Census Night,SAP2011T6T8ED,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00194-sap2011t6t8prov,Occupancy Status of Permanent Dwellings on Census Night,SAP2011T6T8PROV,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00195-sap2011t6t8cty,Occupancy Status of Permanent Dwellings on Census Night,SAP2011T6T8CTY,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00199-sap2011t6t8dc07,Occupancy status of permanent dwellings on Census Night,SAP2011T6T8DC07,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00200-sap2011t6t8sa,Occupancy Status of Permanent Dwellings on Census Night,SAP2011T6T8SA,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00201-sap2022t6t8cty,Occupancy Status of Permanent Dwellings on Census Night,SAP2022T6T8CTY,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00202-sap2022t6t8town22,Occupancy Status of Permanent Dwellings on Census Night,SAP2022T6T8TOWN22,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00204-sap2022t6t8nuts,Occupancy Status of Permanent Dwellings on Census Night,SAP2022T6T8NUTS,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00206-sap2022t6t8prov,Occupancy Status of Permanent Dwellings on Census Night,SAP2022T6T8PROV,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00207-sap2022t6t8sa,Occupancy Status of Permanent Dwellings on Census Night,SAP2022T6T8SA,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00208-sap2022t6t8ed,Occupancy Status of Permanent Dwellings on Census Night,SAP2022T6T8ED,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00209-ura42,"Population aged 15 years and over at work, school or college",URA42,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00210-ura43,"Population aged 15 years and over at work, school or college",URA43,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00211-urlia38,"Population aged 15 years and over at work, school or college",URLIA38,CSO PXStat,Central Statistics Office,high,needs-concept-reconciliation
census-00212-sap2016t11t3ed,"Population aged 5 years and over by Journey Time to Work, School or College",SAP2016T11T3ED,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00213-sap2016t11t3prov,"Population aged 5 years and over by Journey Time to Work, School or College",SAP2016T11T3PROV,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00215-sap2016t11t3con13,"Population aged 5 years and over by Journey Time to Work, School or College",SAP2016T11T3CON13,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00216-sap2016t11t3nuts,"Population aged 5 years and over by journey time to work, school or college",SAP2016T11T3NUTS,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00220-sap2016t11t3set,"Population aged 5 years and over by Journey Time to Work, School or College",SAP2016T11T3SET,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00221-sap2011t11t3ed,"Population aged 5 years and over by Journey Time to Work, School or College",SAP2011T11T3ED,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00222-sap2016t11t3sa,"Population aged 5 years and over by Journey Time to Work, School or College",SAP2016T11T3SA,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00223-sap2016t11t3con17,"Population aged 5 years and over by Journey Time to Work, School or College",SAP2016T11T3CON17,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00224-sap2011t11t3prov,"Population aged 5 years and over by journey time to work, school or college",SAP2011T11T3PROV,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00225-sap2011t11t3cty,"Population aged 5 years and over by journey time to work, school or college",SAP2011T11T3CTY,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00229-sap2011t11t3dc2007,"Population aged 5 years and over by journey time to work, school or college",SAP2011T11T3DC2007,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00230-sap2022t11t3prov,"Population aged 5 years and over by Journey Time to Work, School or College",SAP2022T11T3PROV,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00231-sap2011t11t3sa,"Population aged 5 years and over by journey time to work, school or college",SAP2011T11T3SA,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00234-sap2022t11t3nuts,"Population aged 5 years and over by Journey Time to Work, School or College",SAP2022T11T3NUTS,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00235-sap2022t11t3cty,"Population aged 5 years and over by Journey Time to Work, School or College",SAP2022T11T3CTY,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00236-sap2022t11t3sa,"Population aged 5 years and over by Journey Time to Work, School or College",SAP2022T11T3SA,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00237-sap2022t11t3town22,"Population aged 5 years and over by Journey Time to Work, School or College",SAP2022T11T3TOWN22,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
census-00238-sap2022t11t3ed,"Population aged 5 years and over by Journey Time to Work, School or College",SAP2022T11T3ED,CSO PXStat,Central Statistics Office,high,ready-for-census-fact-normalisation
