id,title,organisation,provider,jurisdiction,attributionLicence
census-03059-census-2021-commissioned-table-ct0143,census 2021 commissioned table ct0143,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03060-census-2021-commissioned-table-ct0145,census 2021 commissioned table ct0145,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03061-census-2021-commissioned-table-ct0146,census 2021 commissioned table ct0146,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03062-census-2021-commissioned-table-ct0147,census 2021 commissioned table ct0147,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03063-census-2021-commissioned-table-ct0148,census 2021 commissioned table ct0148,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03064-census-2021-commissioned-table-ct0149,census 2021 commissioned table ct0149,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03065-census-2021-commissioned-table-ct0150,census 2021 commissioned table ct0150,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03066-census-2021-commissioned-table-ct0151,census 2021 commissioned table ct0151,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03067-census-2021-commissioned-table-ct0152,census 2021 commissioned table ct0152,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03068-census-2021-commissioned-table-ct0153,census 2021 commissioned table ct0153,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03069-census-2021-commissioned-table-ct0154,census 2021 commissioned table ct0154,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03070-census-2021-commissioned-table-ct0155,census 2021 commissioned table ct0155,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03071-census-2021-commissioned-table-ct0156,census 2021 commissioned table ct0156,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03072-census-2021-commissioned-table-ct0157-0,census 2021 commissioned table ct0157 0,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03073-census-2021-commissioned-table-ct0158,census 2021 commissioned table ct0158,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03074-census-2021-commissioned-table-ct0159,census 2021 commissioned table ct0159,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03075-census-2021-commissioned-table-ct0160,census 2021 commissioned table ct0160,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03076-census-2021-commissioned-table-ct0161,census 2021 commissioned table ct0161,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03077-census-2021-commissioned-table-ct0162,census 2021 commissioned table ct0162,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03078-census-2021-commissioned-table-ct0163,census 2021 commissioned table ct0163,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03079-census-2021-coverage-information-paper,census 2021 coverage information paper,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03080-census-2021-data-processing-overview,census 2021 data processing overview,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03081-census-2021-dt-0001,census 2021 dt 0001,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03082-census-2021-dt-0002,census 2021 dt 0002,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03083-census-2021-dt-0003,census 2021 dt 0003,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03084-census-2021-dt-0004,census 2021 dt 0004,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03085-census-2021-dt-0005,census 2021 dt 0005,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03086-census-2021-dt-0006,census 2021 dt 0006,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03087-census-2021-dt-0007,census 2021 dt 0007,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03088-census-2021-dt-0008,census 2021 dt 0008,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03089-census-2021-edit-and-imputation-processing-report,census 2021 edit and imputation processing report,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03090-census-2021-general-report,census 2021 general report,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03091-census-2021-guidance-note-on-use-of-religion-question-outputs,census 2021 guidance note on use of religion question outputs,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03092-census-2021-iiar-public-report-1-july-2019,census 2021 iiar public report 1 july 2019,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03093-census-2021-main-statistics-for-northern-ireland-phase-1-table-layouts,census 2021 main statistics for northern ireland phase 1 table layouts,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03094-census-2021-main-statistics-for-northern-ireland-phase-2-table-layouts,census 2021 main statistics for northern ireland phase 2 table layouts,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03095-census-2021-main-statistics-for-northern-ireland-phase-3-table-layouts,census 2021 main statistics for northern ireland phase 3 table layouts,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03096-census-2021-main-statistics-for-northern-ireland-supplemental-table-layouts,census 2021 main statistics for northern ireland supplemental table layouts,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03097-census-2021-ms-a24,census 2021 ms a24,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03098-census-2021-ms-a25,census 2021 ms a25,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03099-census-2021-ms-a26,census 2021 ms a26,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03100-census-2021-ms-a28,census 2021 ms a28,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03101-census-2021-nisra-flexible-table-builder-project-evaluation-v1,census 2021 nisra flexible table builder project evaluation v1,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03102-census-2021-operational-report,census 2021 operational report,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03103-census-2021-origin-destination-data-specifications,census 2021 origin destination data specifications,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03104-census-2021-origin-destination-for-northern-ireland-all-tables,census 2021 origin destination for northern ireland all tables,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03105-census-2021-outputs-and-dissemination-webinar-september-2023,census 2021 outputs and dissemination webinar september 2023,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03106-census-2021-outputs-consultation-response-tables,census 2021 outputs consultation response tables,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03107-census-2021-outputs-consultation-responses-a-to-c,census 2021 outputs consultation responses a to c,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03108-census-2021-outputs-consultation-responses-anonymous,census 2021 outputs consultation responses anonymous,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03109-census-2021-outputs-consultation-responses-d-to-g,census 2021 outputs consultation responses d to g,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03110-census-2021-outputs-consultation-responses-h-to-l,census 2021 outputs consultation responses h to l,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03111-census-2021-outputs-consultation-responses-m-to-q,census 2021 outputs consultation responses m to q,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03112-census-2021-outputs-consultation-responses-r-to-z,census 2021 outputs consultation responses r to z,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03113-census-2021-outputs-prospectus-pre-defined-table-specifications-for-main-statist,census 2021 outputs prospectus pre defined table specifications for main statistics,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03114-census-2021-outputs-prospectus-pre-defined-table-specifications-for-multivariate,census 2021 outputs prospectus pre defined table specifications for multivariate statistics draft,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03115-census-2021-outputs-prospectus-v38,census 2021 outputs prospectus v38,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03122-census-2021-selected-multivariate-tables-for-northern-ireland-table-layouts,census 2021 selected multivariate tables for northern ireland table layouts,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03123-census-2021-statement-about-data-quality,census 2021 statement about data quality,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03124-census-2021-student-information-paper,census 2021 student information paper,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03125-census-2021-updates-to-main-statistics-and-flexible-table-builder-ready-made-tab,census 2021 updates to main statistics and flexible table builder ready made tables,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03126-census-2021-variables-index,census 2021 variables index,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03127-census-area-explorer-2021-2011-data,census area explorer 2021 2011 data,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03128-census-area-explorer-area-information-data-2021,census area explorer area information data 2021,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03129-census-area-explorer-country-of-birth-and-nationality-data-2021,census area explorer country of birth and nationality data 2021,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03130-census-area-explorer-demography-data-2021,census area explorer demography data 2021,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03131-census-area-explorer-household-structure-data-2021,census area explorer household structure data 2021,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03132-census-area-explorer-housing-and-accommodation-data-2021,census area explorer housing and accommodation data 2021,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03133-census-area-explorer-labour-market-and-qualifications-data-2021,census area explorer labour market and qualifications data 2021,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03134-census-area-explorer-language-data-2021,census area explorer language data 2021,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03135-census-area-explorer-marital-and-civil-partnership-status-data-2021,census area explorer marital and civil partnership status data 2021,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03136-census-area-explorer-migration-data-2021,census area explorer migration data 2021,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03137-census-area-explorer-religion-and-ethnicity-data-2021,census area explorer religion and ethnicity data 2021,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03138-census-area-explorer-sexual-orientation-data-2021,census area explorer sexual orientation data 2021,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03139-census-area-explorer-travel-to-work-or-study-data-2021,census area explorer travel to work or study data 2021,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03140-northern-ireland-census-user-needs-consultation-document-irish,northern ireland census user needs consultation document irish,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03141-northern-ireland-census-user-needs-consultation-document-ulster-scots,northern ireland census user needs consultation document ulster scots,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03142-northern-ireland-census-user-needs-consultation-document-v2,northern ireland census user needs consultation document v2,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03143-northern-ireland-census-user-needs-consultation-moderation-policy,northern ireland census user needs consultation moderation policy,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03144-northern-ireland-census-user-needs-consultation-questionnaire,northern ireland census user needs consultation questionnaire,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03145-northern-ireland-census-user-needs-consultation-webinar,northern ireland census user needs consultation webinar,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03146-response-to-census-2021-outputs-consultation-for-northern-ireland-assessment-of-,response to census 2021 outputs consultation for northern ireland assessment of the responses received,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03147-response-to-census-2021-outputs-consultation-for-northern-ireland-executive-summ,response to census 2021 outputs consultation for northern ireland executive summary,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03148-statistical-disclosure-control-methodology-for-2021-census,statistical disclosure control methodology for 2021 census,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03178-drug-related-20and-20drug-20misuse-20deaths-20spn,Drug related%20and%20drug%20misuse%20deaths%20SPN,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03179-drug-related-20deaths-20in-20ni-2c-202013-2023-20-20final,Drug related%20deaths%20in%20NI%2C%202013 2023%20 %20FINAL,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03180-drug-related-20deaths-20in-20ni-2c-202013-2023-20-20ods,Drug related%20deaths%20in%20NI%2C%202013 2023%20 %20ODS,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03181-drug-20deaths-20in-20ni-202023,Drug%20Deaths%20in%20NI%202023,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03182-excess-20deaths-20-20change-20in-20methodology,Excess%20Deaths%20 %20Change%20in%20methodology,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03183-excess-20deaths-20information-20paper-20-20january-202025,Excess%20Deaths%20Information%20Paper%20 %20January%202025,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03184-excess-20deaths-20new-20method-20northern-20ireland-20-28corrected-29,Excess%20Deaths%20New%20Method%20Northern%20Ireland%20%28corrected%29,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03185-historical-20series-20flu-20and-20or-20pneumonia-20related-20deaths-20-202014-20,Historical%20series%20flu%20and%20or%20pneumonia%20related%20deaths%20 %202014%20to%202024%20 %20revised%20with%20qtr%204%202024,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03186-northern-20ireland-20death-20statistics-20quality-20assessment-20v0-2-20accessib,Northern%20Ireland%20death%20statistics%20quality%20assessment%20V0.2%20accessibility%20copy,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03187-section-204-20-20stillbirths-infantdeaths-tables-2024,Section%204%20 %20Stillbirths InfantDeaths Tables 2024,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03188-section-205-20-20death-tables-2024,Section%205%20 %20Death Tables 2024,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03189-statistics-press-notice-weekly-death-statistics-week-ending-31-january-2025,STATISTICS PRESS NOTICE WEEKLY DEATH STATISTICS Week ending 31 January 2025,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03190-statistics-20press-20notice-20-20weekly-20death-20statistics-20-28week-20ending-,STATISTICS%20PRESS%20NOTICE%20 %20WEEKLY%20DEATH%20STATISTICS%20%28Week%20ending%205th%20March%202021,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03191-weekly-deaths-20-20w-20e-2017-20april-202026,Weekly Deaths%20 %20w%20e%2017%20April%202026,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03192-weekly-deaths-20-20w-20e-2026-20december-202025-0,Weekly Deaths%20 %20w%20e%2026%20December%202025 0,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03193-weekly-deaths-20-20w-20e-2027-20december-202024-20-20revised,Weekly Deaths%20 %20w%20e%2027%20December%202024%20 %20revised,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03194-weekly-deaths-20-20w-20e-2029-20december-202023-0,Weekly Deaths%20 %20w%20e%2029%20December%202023 0,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03645-assumptions-20consultation-20paper-202022-based-20population-20projections-20for,Assumptions%20Consultation%20Paper%202022 based%20Population%20Projections%20for%20Areas,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03646-ct-population-estimate-march-2021,CT POPULATION ESTIMATE MARCH 2021,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03647-methodology-20paper-20-20population-20projections-20for-20areas-20within-20north,Methodology%20paper%20 %20population%20projections%20for%20areas%20within%20Northern%20Ireland%20%282022 based%29,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03648-nisra-20population-20statistics-20publication-20schedule-202026-2027,NISRA%20Population%20Statistics%20Publication%20Schedule%202026%2027,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03649-population-20projections-20infographics-202022,Population%20Projections%20Infographics%202022,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03650-press-20notice-20-202022-20population-20projections-20for-20northern-20ireland,Press%20Notice%20 %202022%20Population%20Projections%20for%20Northern%20Ireland,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03651-press-20notice-20-202024-20population-20projections-20for-20northern-20ireland,Press%20Notice%20 %202024%20Population%20Projections%20for%20Northern%20Ireland,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03652-statistical-20bulletin-20-202022-based-20population-20projections-20for-20northe,Statistical%20Bulletin%20 %202022 based%20Population%20Projections%20for%20Northern%20Ireland 1,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03653-statistical-20bulletin-20-20population-20projections-20for-20areas-20within-20ni,Statistical%20Bulletin%20 %20Population%20projections%20for%20areas%20within%20NI%202022,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03654-statistical-20bulletin-202024-based-20population-20projections-20for-20northern-,Statistical%20Bulletin%202024 based%20Population%20Projections%20for%20Northern%20Ireland,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-03655-sub-national-20population-20projections-202022-20-20summary-20quality-20report,Sub national%20population%20projections%202022%20 %20Summary%20Quality%20Report,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-04514-cpni12,Average Household Size - Ireland and Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-04967-cpni13,Change in Marital Status - Ireland and Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-05382-cpni04,Dependency Ratio - Ireland and Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-05384-cpni44,Destination of people usually resident in Northern Ireland and commuting to Ireland for work,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-05385-cpni42,Destination of people usually resident in the State at work and commuting to Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-07023-cpni09,Household Composition - Ireland and Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-07024-cpni10,Household Composition - Ireland and Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-07175-cpni11,Household Size - Ireland and Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-08521-cpni07,Marital Status - Ireland and Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-08678-cpni03,Median Age - Ireland and Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-08949-ita15,Northern Ireland trip details of overnight foreign resident visitors,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-08960-ibp08,Number and distance of private households in permanent housing units to Northern Ireland and at State level,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-09149-ibp07,Number of housing units and distance to Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-09324-cpni43,Origin of people usually resident in the State at work and commuting to Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-09369-ita14,Overnight Foreign Resident visitors who also visited Northern Ireland as part of their trip,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-10529-f7148,Persons Usually Resident and Present in the State at Work and Commuting to Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-11244-ibp09,Private Households in permanent housing units by distance to Northern Ireland and at State level,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-11371-cpni08,Proportion of Single People Aged 15 Years and Over - Ireland and Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-12059-eda98,Students from Ireland and Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-12060-eda03,Students from Ireland and Northern Ireland Enrolled in Third Level Institutions,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-12263-ibp05,Top five industries of persons aged 15 and over and at work in 2016 who lived within 10km of Northern Ireland,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-12468-cpni40,Usual residents aged 16 years and over commuting to Northern Ireland for work,Central Statistics Office,CSO PXStat,Northern Ireland,review-CSO-or-defer
census-12666-figure-1-sales-by-broad-destination-2011-2021,Figure 1 Sales by broad destination 2011 2021,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12667-figure-2-annual-rate-of-growth-of-sales-to-broad-destinations-2011-2021,Figure 2 Annual Rate of Growth of Sales to Broad Destinations 2011 2021,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12668-85andover-figure10,85AndOver Figure10,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12669-85andover-figure11,85AndOver Figure11,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12670-85andover-figure12,85AndOver Figure12,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12671-85andover23-quality-2,85AndOver23 quality 2,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12672-annual-summary-headline-tables-2023,Annual Summary Headline Tables 2023,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12673-ashe-2026-faqs,ASHE 2026 FAQs,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12674-baby-names-bulletin-2020,Baby Names Bulletin 2020,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12675-baby-names-bulletin-2021,Baby Names Bulletin 2021,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12676-baby-names-bulletin-2022,Baby Names Bulletin 2022,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12677-baby-names-bulletin-2023,Baby Names Bulletin 2023,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12678-baby-names-bulletin-2024-0,Baby Names Bulletin 2024 0,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12679-baby-20names-202020-20press-20release,Baby%20Names%202020%20Press%20Release,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12680-baby-20names-202021-20press-20release,Baby%20Names%202021%20Press%20Release,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12681-baby-20names-202022-20press-20release,Baby%20Names%202022%20Press%20Release,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12682-baby-20names-202024-20press-20release,Baby%20Names%202024%20Press%20Release,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12683-background-quality-report-burden-to-households-and-individuals-surveys-issued-by,Background Quality Report Burden to Households and Individuals Surveys issued by NI Depts%20%28August 2021%29 1,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12684-bd-data-for-published-charts-2023,BD Data for Published Charts 2023,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12685-beses-development-plan-2021,BESES development plan 2021,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12686-beses-quick-reference-guide,BESES Quick Reference Guide,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12687-beses-user-consultation-results,BESES User Consultation Results,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12688-breach-of-the-code-of-practice-notification-survey-burden-0,Breach of the Code of Practice Notification Survey Burden 0,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12689-breach-20of-20the-20code-20of-20practice-20for-20offical-20statistics,Breach%20of%20the%20Code%20of%20Practice%20for%20Offical%20Statistics,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12690-breach-20of-20the-20code-20of-20practice-20for-20statistics,Breach%20of%20the%20Code%20of%20Practice%20for%20Statistics,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12691-burden-to-households-and-individuals-of-completing-ni-government-statistical-sur,Burden to Households and Individuals of completing NI Government Statistical Surveys 2018 19,NISRA,NISRA,Northern Ireland,OGL-v3.0
census-12692-burden-to-households-and-individuals-of-completing-ni-government-statistical-sur,Burden to Households and Individuals of completing NI Government Statistical Surveys 2018 19 Downloadable%20Data%20v2,NISRA,NISRA,Northern Ireland,OGL-v3.0
