class,keep,drop,name,keep_years,drop_years
LGR-2014,105217,107765,Máirtín Ó Muilleoir,2014-2014,2011-2011
LGR-2014,103054,106241,Roy Beggs Jr,2001-2005,2023-2023
LGR-2014,33120,101609,Paul Michael,2014-2022,2001-2011
LGR-2014,101609,104691,Paul Michael,2001-2011,2023-2023
LGR-2014,104894,107261,Gordon Lyons,2014-2014,2011-2011
LGR-2014,101000,102323,Adrian Cochrane-Watson,1997-2011,2014-2019
LGR-2014,105272,107868,Gavin Robinson,2014-2014,2011-2011
LGR-2014,102203,106706,Patrick Brown,2014-2019,2011-2011
LGR-2014,100972,101367,Thomas Burns,1997-2011,2014-2023
LGR-2014,100911,102233,Eric Bullick,1985-2011,2014-2023
LGR-2014,101355,101612,Billy Hutchinson,2014-2023,1997-2005
LGR-2014,101754,105730,John Blair,1989-2011,2014-2014
LGR-2014,101398,108407,Timothy Gaston,2014-2023,2011-2011
FORUM-DUPLICATE,100809,100811,Conservative list,1996-1996,1996-1996
FORUM-DUPLICATE,100810,100811,Conservative list,1996-1996,1996-1996
FORUM-DUPLICATE,100811,101409,Conservative list,1996-1996,1996-1996
FORUM-DUPLICATE,100811,106324,Conservative list,1996-1996,1996-1996
FORUM-DUPLICATE,100811,106325,Conservative list,1996-1996,1996-1996
FORUM-DUPLICATE,100813,106328,Democratic Partnership list,1996-1996,1996-1996
FORUM-DUPLICATE,100814,106328,Democratic Partnership list,1996-1996,1996-1996
FORUM-DUPLICATE,106327,106328,Democratic Partnership list,1996-1996,1996-1996
FORUM-DUPLICATE,100818,100819,Labour Coalition list,1996-1996,1996-1996
FORUM-DUPLICATE,100818,100820,Labour Coalition list,1996-1996,1996-1996
FORUM-DUPLICATE,100818,102406,Labour Coalition list,1996-1996,1996-1996
FORUM-DUPLICATE,100818,102407,Labour Coalition list,1996-1996,1996-1996
FORUM-DUPLICATE,100818,102408,Labour Coalition list,1996-1996,1996-1996
FORUM-DUPLICATE,100818,106338,Labour Coalition list,1996-1996,1996-1996
LGR-2014,87584,102186,Marion Smith,1997-2011,2014-2019
LGR-2014,70499,101319,Paul Gallagher,1997-2011,2014-2023
LGR-2014,26565,104568,Denny Vitty,1981-2011,2014-2014
LGR-2014,53562,104666,Mary Hamilton,1997-2011,2014-2014
LGR-2014,78863,102263,Paul Fleming,1997-2011,2014-2019
LGR-2014,39592,105167,Davy Hyland,1993-2011,2014-2014
LGR-2014,60336,105228,Mark Robinson,1985-2001,2023-2023
LGR-2014,98924,101375,James McKeown,1973-2011,2014-2023
LGR-2014,101567,104911,Austin Kelly,1981-2011,2014-2014
LGR-2014,55552,106393,Liam Mackle,2014-2023,2011-2011
LGR-2014,101770,106029,Ann Gormley,1989-1997,2014-2014
LGR-2014,15357,106485,Sandra Duffy,2014-2023,2011-2011
LGR-2014,102381,103032,Ian Milne,2019-2023,2005-2011
LGR-2014,21765,102476,John Hiddleston,2014-2023,2001-2011
LGR-2014,102217,102578,Boyd Douglas,2014-2019,1997-2011
LGR-2014,101574,104928,Walter Millar,1985-2011,2014-2014
LGR-2014,42687,107016,Richard Holmes,2014-2023,2011-2011
LGR-2014,101749,105651,Gerry Mullan,2001-2011,2014-2014
LGR-2014,49678,102670,Thomas O'Hanlon,2014-2023,2005-2011
LGR-2014,48982,107335,Malachy Quinn,2014-2023,2011-2011
LGR-2014,8252,107344,Dermot Nicholl,2014-2023,2011-2011
LGR-2014,101462,105407,Éamonn McConvey,2001-2011,2014-2014
LGR-2014,29572,107361,Declan McAlinden,2014-2023,2011-2011
LGR-2014,65619,107672,Maureen Morrow,2014-2023,2011-2011
LGR-2014,31939,107676,Billy Webb,2014-2023,2011-2011
LGR-2014,38051,107689,John Coyle,2014-2023,2011-2011
LGR-2014,36218,102805,Gareth Wilson,2014-2023,2005-2011
LGR-2014,34129,107766,Eugene Reid,2014-2023,2011-2011
LGR-2014,102214,106905,Karen McKevitt,2019-2023,2005-2005
LGR-2014,75407,107998,Aaron McIntyre,2014-2023,2011-2011
LGR-2014,96848,101708,Noreen McClelland,2014-2023,2001-2011
LGR-2014,18206,102897,Hazel Legge,2014-2023,2005-2011
LGR-2014,10039,102922,David Taylor,2014-2023,2005-2011
LGR-2014,102535,104605,Paula Bradley,2005-2011,2023-2023
LGR-2014,102749,105090,Christopher Stalford,2005-2011,2014-2014
LGR-2014,21661,108288,Neil Kelly,2014-2023,2011-2011
LGR-2014,102164,106350,Alex Elliott,2014-2023,2011-2011
LGR-2014,102821,105245,Barney Fitzpatrick,2005-2011,2014-2014
LGR-2014,89333,101751,Robert Burgess,2014-2023,2001-2011
LGR-2014,82197,102988,Cara McShane,2014-2023,2005-2011
LGR-2014,57943,108305,Jennifer Gilmour,2014-2023,2011-2011
LGR-2014,7192,108493,Glenn Barr,2014-2023,2011-2011
LGR-2014,102350,108320,Rosemary Barton,2014-2023,2011-2011
LGR-2014,101474,104466,Sydney Anderson,2001-2011,2019-2019
LGR-2014,102177,106449,Brian Kingston,2014-2019,2011-2011
LGR-2014,104664,106860,Nichola Mallon,2014-2014,2011-2011
LGR-2014,102315,102863,Colm Cavanagh,2019-2023,2001-2011
LGR-2014,71199,104265,Linda Cleland,1997-2011,2014-2014
LGR-2014,10696,102207,Tom O'Reilly,2001-2011,2014-2019
LGR-2014,38317,104625,Evelyne Robinson,2001-2011,2014-2014
LGR-2014,96729,104648,James Malone,1977-2011,2014-2014
LGR-2014,91468,104658,Gerardine Mulvenna,2001-2011,2023-2023
LGR-2014,46735,104742,Brian Hanvey,2001-2011,2014-2014
LGR-2014,92371,104771,Gerard Diver,2001-2011,2014-2014
LGR-2014,6658,102238,Brian McMahon,2001-2011,2014-2019
LGR-2014,23901,102244,Gavin Walker,1993-2001,2014-2019
LGR-2014,72,105050,Fred Rodgers,1993-2011,2019-2019
LGR-2014,21045,102279,Michael Carr,2001-2011,2014-2019
LGR-2014,41273,102281,Freda Donnelly,2001-2011,2014-2019
LGR-2014,62002,105141,Kieran Corr,2001-2011,2014-2014
LGR-2014,91555,102285,Brian Heading,2001-2011,2014-2019
LGR-2014,48425,102331,Angus Carson,2001-2011,2014-2019
LGR-2014,101738,102341,Sean McGuigan,2001-2011,2019-2023
LGR-2014,101738,104769,Sean McGuigan,2001-2011,2014-2014
LGR-2014,22243,102395,Bert Wilson,2001-2011,2014-2019
FORUM-DUPLICATE,102157,103792,Independent (Thomas O'Brien) list,1996-1996,1996-1996
FORUM-DUPLICATE,103789,103792,Independent (Thomas O'Brien) list,1996-1996,1996-1996
FORUM-DUPLICATE,103790,103792,Independent (Thomas O'Brien) list,1996-1996,1996-1996
FORUM-DUPLICATE,103791,103792,Independent (Thomas O'Brien) list,1996-1996,1996-1996
FORUM-DUPLICATE,102158,103795,Ulster's Independent Voice list,1996-1996,1996-1996
FORUM-DUPLICATE,102159,103795,Ulster's Independent Voice list,1996-1996,1996-1996
LGR-2014,53308,106437,Deborah Girvan,2014-2019,2011-2011
LGR-2014,18846,106503,Deirdre Hargey,2014-2019,2011-2011
LGR-2014,15924,106714,Maolíosa McHugh,2014-2019,2011-2011
LGR-2014,104064,106479,Patrick Clarke,2014-2014,2011-2011
LGR-2014,88236,106899,Orla Beattie,2014-2019,2011-2011
LGR-2014,88340,107095,Tim Morrow,2014-2019,2011-2011
LGR-2014,102743,105077,Máire Hendron,2005-2011,2014-2014
LGR-2014,59262,102744,Alan Robinson,2014-2019,2005-2011
LGR-2014,43193,107533,Joe O'Neill,2014-2019,2011-2011
LGR-2014,102317,102874,Colin Kennedy,2014-2023,2005-2011
LGR-2014,102874,105423,Colin Kennedy,2005-2011,2019-2019
LGR-2014,102321,108436,Ciarán Archibald,2019-2023,2011-2011
LGR-2014,105973,108436,Ciaran Archibald,2014-2014,2011-2011
LGR-2014,41828,102920,Stephen Nicholl,2014-2019,2001-2005
LGR-2014,102358,108355,Denise Johnston,2019-2023,2011-2011
LGR-2014,102366,107816,Seán McGlinchey,2014-2019,2011-2011
LGR-2014,105237,107816,Sean McGlinchey,2023-2023,2011-2011
LGR-2014,51134,103018,Neil Johnston,2014-2019,2001-2005
LGR-2014,105300,107906,Hannah Su,2014-2014,2011-2011
LGR-2014,105034,107486,Jimmy Menagh,2019-2019,2011-2011
LGR-2014,103860,106371,Roy Ferguson,2014-2014,2011-2011
LGR-2014,104651,106835,Sheila McQuaid,2014-2014,2011-2011
LGR-2014,102401,103070,Sean McPeake,2019-2023,2005-2011
LGR-2014,103070,104671,Sean McPeake,2005-2011,2014-2014
FORUM-DUPLICATE,102405,106335,Independent (Oliver McMuIlan) list,1996-1996,1996-1996
FORUM-DUPLICATE,106334,106335,Independent (Oliver McMuIlan) list,1996-1996,1996-1996
FORUM-DUPLICATE,106335,106336,Independent (Oliver McMuIlan) list,1996-1996,1996-1996
FORUM-DUPLICATE,106335,106337,Independent (Oliver McMuIlan) list,1996-1996,1996-1996
LGR-2014,22802,104206,Alan Lawther,2005-2011,2014-2014
LGR-2014,78072,104819,Tim Attwood,2005-2011,2014-2014
LGR-2014,55049,105992,Sharon Haughey,2005-2011,2014-2014
LGR-2014,104632,106798,Sean Donnelly,2019-2019,2011-2011
LGR-2014,105140,106798,Seán Donnelly,2014-2014,2011-2011
LGR-2014,48665,107397,Steven Moore,2014-2014,2011-2011
LGR-2014,105539,108267,Colin Keenan,2014-2014,2011-2011
LGR-2014,105324,107952,Paddy Meehan,2014-2014,2011-2011
LGR-2014,105626,108453,Seán Doran,2014-2014,2011-2011
LGR-2014,106016,108453,Sean Doran,2019-2019,2011-2011
FORUM-DUPLICATE,106321,106323,Communist Party of Ireland list,1996-1996,1996-1996
FORUM-DUPLICATE,106322,106323,Communist Party of Ireland list,1996-1996,1996-1996
FORUM-DUPLICATE,106332,106333,Independent (Arthur Templeton) list,1996-1996,1996-1996
FORUM-DUPLICATE,108579,108580,Ulster Christian Democratic Party list,1996-1996,1996-1996
