code,label,pop,C,P,O,UI_v2,prov
N00001127,,639,23.3,70.4,6.3,29.2,modelled
N00001128,,251,9.2,83.3,7.5,18.9,modelled
N00001129,,450,30.0,64.4,5.6,34.1,modelled
N00001130,,179,19.0,60.3,20.7,30.8,modelled
N00001131,,1073,51.4,31.5,17.1,54.1,modelled
N00001132,,251,6.4,86.1,7.5,16.8,modelled
N00001133,,643,10.0,77.9,12.1,21.1,modelled
N00001134,,212,13.7,75.5,10.8,23.5,modelled
N00001135,,188,9.6,85.6,4.8,18.4,modelled
N00001136,,261,8.0,77.4,14.6,20.4,modelled
N00001137,,292,12.7,75.3,12.0,23.1,modelled
N00001138,,195,6.7,87.7,5.6,16.4,modelled
N00001139,,546,46.5,40.3,13.2,49.1,modelled
N00001140,,309,11.0,72.5,16.5,23.3,modelled
N00001141,,189,12.2,79.9,7.9,21.4,modelled
N00001142,,190,12.6,79.5,7.9,21.7,modelled
N00001143,,140,7.9,87.1,5.0,17.1,modelled
N00001144,,233,11.2,79.8,9.0,21.0,modelled
N00001145,,311,85.9,12.2,1.9,80.2,modelled
N00001146,,291,95.2,4.8,0,86.6,modelled
N00001147,,258,89.1,6.2,4.7,83.6,modelled
N00001148,,260,95.8,4.2,0.0,87.1,modelled
N00001149,,377,91.2,7.2,1.6,84.1,modelled
N00001150,,334,90.1,7.5,2.4,83.6,modelled
N00001151,,390,91.8,7.2,1.0,84.4,modelled
N00001152,,419,89.0,9.3,1.7,82.5,modelled
N00001153,,316,90.2,7.3,2.5,83.7,modelled
N00001154,,293,92.5,5.1,2.4,85.4,modelled
N00001155,,636,61.9,11.8,26.3,70.2,modelled
N00001156,,1299,91.6,6.1,2.3,84.7,modelled
N00001157,,280,96.4,1.8,1.8,88.1,modelled
N00001158,,266,96.2,2.3,1.5,87.9,modelled
N00001159,,365,95.3,3.0,1.7,87.3,modelled
N00001160,,357,95.2,2.8,2.0,87.3,modelled
N00001161,,250,84.0,8.0,8.0,80.8,modelled
N00001162,,169,86.4,3.0,10.6,83.5,modelled
N00001163,,336,95.8,3.0,1.2,87.5,modelled
N00001164,,342,93.0,4.1,2.9,85.9,modelled
N00001165,,322,98.4,0.9,0.7,89.3,modelled
N00001166,,593,94.4,3.9,1.7,86.6,modelled
N00001167,,342,94.7,3.2,2.1,86.9,modelled
N00001168,,353,95.8,3.4,0.8,87.3,modelled
N00001169,,320,94.4,3.4,2.2,86.7,modelled
N00001170,,333,95.2,3.9,0.9,86.9,modelled
N00001171,,408,93.6,2.9,3.5,86.6,modelled
N00001172,,307,95.8,2.9,1.3,87.5,modelled
N00001173,,262,10.7,75.2,14.1,32.5,modelled
N00001174,,343,58.9,31.8,9.3,67.4,modelled
N00001175,,306,61.1,29.7,9.2,69.0,modelled
N00001176,,241,9.5,83.8,6.7,29.1,modelled
N00001177,,266,14.7,74.8,10.5,34.3,modelled
N00001178,,406,80.3,14.3,5.4,82.3,modelled
N00001179,,342,91.2,7.3,1.5,89.2,modelled
N00001180,,157,55.4,35.0,9.6,64.8,modelled
N00001181,,295,38.6,53.2,8.2,51.6,modelled
N00001182,,352,93.8,4.8,1.4,91.2,modelled
N00001183,,444,39.6,47.5,12.9,53.9,modelled
N00001184,,283,37.1,58.7,4.2,49.2,modelled
N00001185,,268,17.9,74.6,7.5,35.7,modelled
N00001186,,267,21.7,62.9,15.4,41.2,modelled
N00001187,,323,63.5,26.9,9.6,70.9,modelled
N00001188,,806,73.9,20.0,6.1,67.5,modelled
N00001189,,304,45.7,47.7,6.6,46.3,modelled
N00001190,,278,17.6,72.7,9.7,26.0,modelled
N00001191,,245,5.7,83.7,10.6,17.3,modelled
N00001192,,256,13.3,78.5,8.2,22.3,modelled
N00001193,,232,20.3,67.2,12.5,29.0,modelled
N00001194,,269,5.9,91.1,3.0,14.9,modelled
N00001195,,184,38.0,45.7,16.3,43.7,modelled
N00001196,,354,8.8,81.1,10.1,19.5,modelled
N00001197,,266,24.1,59.8,16.1,33.1,modelled
N00001198,,467,51.6,43.7,4.7,50.1,modelled
N00001199,,194,18.0,70.1,11.9,27.1,modelled
N00001200,,395,70.9,20.5,8.6,66.1,modelled
N00001201,,311,85.9,9.6,4.5,76.0,modelled
N00001202,,323,85.4,10.5,4.1,80.6,modelled
N00001203,,315,96.5,3.5,0.0,87.6,modelled
N00001204,,956,97.1,1.9,1.0,88.4,modelled
N00001205,,564,95.7,2.8,1.5,87.5,modelled
N00001206,,229,90.8,4.4,4.8,84.9,modelled
N00001207,,400,98.8,1.0,0.2,89.4,modelled
N00001208,,339,95.6,3.8,0.6,87.1,modelled
N00001209,,254,95.7,2.8,1.5,87.5,modelled
N00001210,,332,96.4,2.4,1.2,87.9,modelled
N00001211,,285,94.4,3.9,1.7,86.6,modelled
N00001212,,301,97.7,1.7,0.6,88.7,modelled
N00001213,,299,97.3,1.7,1.0,88.5,modelled
N00001214,,289,92.7,4.8,2.5,85.6,modelled
N00001215,,281,90.7,5.3,4.0,84.5,modelled
N00001216,,406,95.3,2.5,2.2,87.4,modelled
N00001217,,413,9.0,81.6,9.4,24.5,modelled
N00001218,,279,8.2,82.4,9.4,23.9,modelled
N00001219,,301,8.0,83.4,8.6,23.4,modelled
N00001220,,231,3.5,87.9,8.6,20.0,modelled
N00001221,,258,7.8,87.2,5.0,22.1,modelled
N00001222,,213,5.2,86.4,8.4,21.2,modelled
N00001223,,300,9.0,86.0,5.0,23.0,modelled
N00001224,,265,8.3,81.9,9.8,24.1,modelled
N00001225,,242,2.5,88.4,9.1,19.4,modelled
N00001226,,236,4.2,87.7,8.1,20.4,modelled
N00001227,,246,2.4,92.3,5.3,18.1,modelled
N00001228,,212,12.7,83.5,3.8,25.4,modelled
N00001229,,255,72.5,24.3,3.2,70.5,modelled
N00001230,,298,83.6,13.4,3.0,78.8,modelled
N00001231,,401,85.5,13.2,1.3,79.7,modelled
N00001232,,375,93.6,4.3,2.1,86.1,modelled
N00001233,,421,94.5,3.6,1.9,86.7,modelled
N00001234,,351,98.0,1.4,0.6,88.9,modelled
N00001235,,953,94.6,4.5,0.9,86.5,modelled
N00001236,,372,92.7,5.9,1.4,85.2,modelled
N00001237,,289,95.8,2.4,1.8,87.7,modelled
N00001238,,297,98.0,1.7,0.3,88.8,modelled
N00001239,,313,96.5,1.6,1.9,88.2,modelled
N00001240,,1095,93.2,4.4,2.4,85.9,modelled
N00001241,,352,93.8,5.4,0.8,85.8,modelled
N00001242,,335,95.2,3.6,1.2,87.0,modelled
N00001243,,275,93.1,5.5,1.4,85.5,modelled
N00001244,,335,78.8,15.2,6.0,76.2,modelled
N00001245,,334,92.8,4.8,2.4,85.6,modelled
N00001246,,608,6.2,75.5,18.3,25.3,modelled
N00001247,,245,7.8,85.7,6.5,22.6,modelled
N00001248,,430,2.1,91.2,6.7,18.3,modelled
N00001249,,403,4.7,91.1,4.2,19.5,modelled
N00001250,,463,3.0,89.2,7.8,19.4,modelled
N00001251,,327,8.3,84.7,7.0,23.1,modelled
N00001252,,321,66.4,28.0,5.6,66.7,modelled
N00001253,,233,12.0,82.0,6.0,25.6,modelled
N00001254,,314,1.6,85.7,12.7,20.0,modelled
N00001255,,276,4.0,90.9,5.1,19.2,modelled
N00001256,,262,2.7,90.8,6.5,18.7,modelled
N00001257,,233,5.2,85.8,9.0,21.4,modelled
N00001258,,250,4.8,88.4,6.8,20.4,modelled
N00001259,,285,7.0,90.2,2.8,20.7,modelled
N00001260,,363,8.5,81.8,9.7,24.2,modelled
N00001261,,249,1.6,92.0,6.4,17.9,modelled
N00001262,,389,17.2,78.7,4.1,28.9,modelled
N00001263,,289,8.0,76.5,15.5,26.9,modelled
N00001264,,204,20.6,69.6,9.8,34.5,modelled
N00001265,,971,16.5,56.8,26.7,37.0,modelled
N00001266,,188,6.4,82.4,11.2,24.2,modelled
N00001267,,322,3.4,89.4,7.2,20.6,modelled
N00001268,,283,6.0,84.1,9.9,23.5,modelled
N00001269,,522,18.4,67.2,14.4,34.4,modelled
N00001270,,278,7.9,74.5,17.6,27.5,modelled
N00001271,,1514,16.2,67.4,16.4,33.4,modelled
N00001272,,222,16.2,73.4,10.4,31.4,modelled
N00001273,,221,14.0,73.3,12.7,30.5,modelled
N00001274,,238,2.5,89.1,8.4,20.3,modelled
N00001275,,210,5.7,81.9,12.4,24.1,modelled
N00001276,,218,4.6,80.3,15.1,24.2,modelled
N00001277,,266,6.8,80.5,12.7,25.0,modelled
N00001278,,291,19.9,63.2,16.9,36.4,modelled
N00001279,,168,6.5,81.5,12.0,24.6,modelled
N00001280,,213,5.2,86.4,8.4,22.4,modelled
N00001281,,334,22.8,66.8,10.4,36.4,modelled
N00001282,,330,13.3,71.5,15.2,30.8,modelled
N00001283,,338,18.0,70.4,11.6,33.1,modelled
N00001284,,352,11.6,74.4,14.0,29.1,modelled
N00001285,,331,6.6,81.3,12.1,24.7,modelled
N00001286,,348,8.0,80.7,11.3,25.5,modelled
N00001287,,295,4.1,87.8,8.1,21.5,modelled
N00001288,,289,2.4,89.6,8.0,20.1,modelled
N00001289,,288,6.2,85.8,8.0,23.0,modelled
N00001290,,318,1.9,92.1,6.0,19.1,modelled
N00001291,,344,92.4,6.1,1.5,85.0,modelled
N00001292,,878,92.8,5.0,2.2,85.5,modelled
N00001293,,358,97.8,1.1,1.1,89.0,modelled
N00001294,,335,95.8,0.3,3.9,88.4,modelled
N00001295,,312,96.5,2.6,0.9,87.9,modelled
N00001296,,273,54.2,39.9,5.9,57.5,modelled
N00001297,,384,95.8,2.3,1.9,87.7,modelled
N00001298,,394,17.0,62.9,20.1,34.1,modelled
N00001299,,319,59.2,33.9,6.9,61.7,modelled
N00001300,,287,96.2,3.1,0.7,87.6,modelled
N00001301,,375,96.8,0.0,3.2,88.9,modelled
N00001302,,745,92.6,3.9,3.5,85.8,modelled
N00001303,,333,91.6,5.1,3.3,85.0,modelled
N00001304,,322,96.9,3.1,0,87.9,modelled
N00001305,,325,96.6,2.2,1.2,88.1,modelled
N00001306,,214,54.2,39.3,6.5,57.7,modelled
N00001307,,321,96.0,1.6,2.4,88.0,modelled
N00001308,,486,21.6,72.0,6.4,28.0,modelled
N00001309,,368,78.0,16.8,5.2,70.3,modelled
N00001310,,981,84.5,11.7,3.8,74.8,modelled
N00001311,,326,90.5,7.4,2.1,78.7,modelled
N00001312,,654,81.8,10.9,7.3,73.9,modelled
N00001313,,417,54.9,35.7,9.4,54.2,modelled
N00001314,,401,50.9,44.9,4.2,49.4,modelled
N00001315,,246,5.3,86.6,8.1,16.2,modelled
N00001316,,352,10.2,81.0,8.8,20.1,modelled
N00001317,,267,4.9,90.6,4.5,14.7,modelled
N00001318,,287,7.7,80.1,12.2,19.4,modelled
N00001319,,285,47.0,46.0,7.0,47.4,modelled
N00001320,,253,18.2,77.5,4.3,24.7,modelled
N00001321,,274,75.9,20.4,3.7,68.2,modelled
N00001322,,274,10.9,77.0,12.1,21.8,modelled
N00001323,,295,19.0,73.9,7.1,26.2,modelled
N00001324,,243,20.6,72.8,6.6,27.3,modelled
N00001325,,1263,73.0,21.2,5.8,76.9,modelled
N00001326,,360,55.6,38.3,6.1,63.8,modelled
N00001327,,328,65.5,29.3,5.2,71.0,modelled
N00001328,,1036,59.7,31.9,8.4,67.7,modelled
N00001329,,281,65.8,28.1,6.1,71.5,modelled
N00001330,,322,66.1,28.6,5.3,71.5,modelled
N00001331,,274,43.1,49.3,7.6,54.8,modelled
N00001332,,186,57.0,30.6,12.4,67.0,modelled
N00001333,,337,54.0,34.4,11.6,64.4,modelled
N00001334,,354,47.7,35.6,16.7,61.3,modelled
N00001335,,194,55.2,24.2,20.6,68.3,modelled
N00001336,,318,59.7,31.8,8.5,67.7,modelled
N00001337,,302,57.3,31.8,10.9,66.7,modelled
N00001338,,303,22.1,65.0,12.9,40.7,modelled
N00001339,,370,14.6,76.5,8.9,33.7,modelled
N00001340,,779,18.9,70.3,10.8,37.6,modelled
N00001341,,329,97.3,2.4,0.3,93.5,modelled
N00001342,,388,93.6,5.2,1.2,90.9,modelled
N00001343,,293,93.9,3.4,2.7,91.7,modelled
N00001344,,330,93.6,4.2,2.2,91.3,modelled
N00001345,,250,95.2,2.4,2.4,92.6,modelled
N00001346,,820,48.2,43.0,8.8,59.1,modelled
N00001347,,513,77.8,16.4,5.8,80.5,modelled
N00001348,,304,74.0,21.1,4.9,77.3,modelled
N00001349,,248,77.4,14.5,8.1,81.0,modelled
N00001350,,919,90.0,7.8,2.2,78.4,modelled
N00001351,,390,91.5,6.4,2.1,79.5,modelled
N00001352,,303,79.2,11.9,8.9,72.4,modelled
N00001353,,358,79.1,17.9,3.0,70.4,modelled
N00001354,,756,93.1,5.3,1.6,80.5,modelled
N00001355,,287,90.2,8.0,1.8,78.4,modelled
N00001356,,280,92.5,5.7,1.8,80.1,modelled
N00001357,,155,94.8,3.2,2.0,82.0,modelled
N00001358,,344,88.7,2.9,8.4,79.5,modelled
N00001359,,294,90.8,8.2,1.0,78.6,modelled
N00001360,,276,84.4,7.6,8.0,76.1,modelled
N00001361,,295,89.5,7.8,2.7,78.2,modelled
N00001362,,293,92.8,6.5,0.7,80.0,modelled
N00001363,,263,5.7,78.3,16.0,25.3,modelled
N00001364,,539,19.9,67.3,12.8,35.0,modelled
N00001365,,387,16.8,71.3,11.9,32.3,modelled
N00001366,,252,15.5,68.7,15.8,32.7,modelled
N00001367,,353,11.3,73.1,15.6,29.4,modelled
N00001368,,295,7.8,83.7,8.5,24.4,modelled
N00001369,,365,11.5,79.5,9.0,27.4,modelled
N00001370,,369,8.4,78.9,12.7,26.2,modelled
N00001371,,313,13.1,74.4,12.5,29.7,modelled
N00001372,,584,8.2,80.3,11.5,25.7,modelled
N00001373,,293,7.5,79.2,13.3,25.8,modelled
N00001374,,297,4.4,84.5,11.1,22.7,modelled
N00001375,,338,8.0,82.8,9.2,24.8,modelled
N00001376,,191,8.9,75.4,15.7,27.6,modelled
N00001377,,276,7.6,82.2,10.2,24.8,modelled
N00001378,,258,13.2,75.2,11.6,29.5,modelled
N00001379,,246,13.8,77.2,9.0,29.1,modelled
N00001380,,381,60.1,29.4,10.5,68.7,modelled
N00001381,,395,50.1,33.2,16.7,63.2,modelled
N00001382,,316,52.5,36.4,11.1,63.1,modelled
N00001383,,344,51.5,39.8,8.7,61.6,modelled
N00001384,,287,26.1,59.2,14.7,44.3,modelled
N00001385,,359,62.7,29.0,8.3,69.9,modelled
N00001386,,532,31.2,51.7,17.1,49.0,modelled
N00001387,,263,31.9,47.5,20.6,50.7,modelled
N00001388,,270,10.7,78.5,10.8,31.4,modelled
N00001389,,188,36.2,48.9,14.9,52.0,modelled
N00001390,,287,29.6,59.6,10.8,45.7,modelled
N00001391,,286,25.9,62.6,11.5,43.1,modelled
N00001392,,263,36.5,51.3,12.2,51.4,modelled
N00001393,,269,55.4,32.3,12.3,65.7,modelled
N00001394,,284,34.5,48.6,16.9,51.4,modelled
N00001395,,277,23.8,58.8,17.4,43.5,modelled
N00001396,,607,48.4,37.6,14.0,61.0,modelled
N00001397,,183,23.0,67.2,9.8,40.3,modelled
N00001398,,250,29.6,54.4,16.0,47.4,modelled
N00001399,,889,61.4,30.3,8.3,68.9,modelled
N00001400,,330,53.9,35.5,10.6,64.0,modelled
N00001401,,851,37.8,43.0,19.2,54.7,modelled
N00001402,,652,64.9,25.6,9.5,72.0,modelled
N00001403,,377,69.8,16.7,13.5,77.0,modelled
N00001404,,706,62.0,26.5,11.5,70.4,modelled
N00001405,,235,23.4,68.5,8.1,40.1,modelled
N00001406,,216,32.4,56.9,10.7,47.8,modelled
N00001407,,256,71.1,16.4,12.5,77.7,modelled
N00001408,,467,64.0,28.7,7.3,70.6,modelled
N00001409,,292,70.5,18.5,11.0,76.7,modelled
N00001410,,294,74.1,21.4,4.5,77.3,modelled
N00001411,,280,76.1,18.2,5.7,79.2,modelled
N00001412,,164,56.7,37.2,6.1,64.6,modelled
N00001413,,277,63.9,28.5,7.6,70.6,modelled
N00001414,,278,68.3,25.5,6.2,73.5,modelled
N00001415,,275,96.0,2.5,1.5,92.9,modelled
N00001416,,947,48.4,16.4,35.2,68.0,modelled
N00001417,,277,15.5,78.0,6.5,33.6,modelled
N00001418,,662,65.7,19.8,14.5,74.2,modelled
N00001419,,248,66.9,20.6,12.5,74.5,modelled
N00001420,,243,13.6,65.4,21.0,36.9,modelled
N00001421,,1333,32.0,48.7,19.3,50.3,modelled
N00001422,,200,13.5,67.0,19.5,36.4,modelled
N00001423,,445,80.0,9.7,10.3,83.7,modelled
N00001424,,223,14.8,67.7,17.5,36.7,modelled
N00001425,,267,5.6,79.8,14.6,28.8,modelled
N00001426,,229,5.2,83.4,11.4,27.4,modelled
N00001427,,251,4.4,86.5,9.1,26.0,modelled
N00001428,,279,6.1,88.9,5.0,25.9,modelled
N00001429,,1073,21.0,58.2,20.8,42.5,modelled
N00001430,,262,9.5,85.9,4.6,28.4,modelled
N00001431,,326,2.1,90.5,7.4,18.6,modelled
N00001432,,281,4.6,89.3,6.1,20.0,modelled
N00001433,,254,3.1,84.6,12.3,21.0,modelled
N00001434,,302,4.0,91.4,4.6,19.1,modelled
N00001435,,233,3.0,91.4,5.6,18.6,modelled
N00001436,,301,24.3,69.1,6.6,35.1,modelled
N00001437,,201,10.4,74.1,15.5,27.6,modelled
N00001438,,291,5.8,86.6,7.6,21.4,modelled
N00001439,,270,14.8,75.2,10.0,29.1,modelled
N00001440,,251,2.8,91.6,5.6,18.5,modelled
N00001441,,282,10.3,83.3,6.4,24.4,modelled
N00001442,,347,11.5,81.0,7.5,25.7,modelled
N00001443,,209,6.2,86.1,7.7,21.8,modelled
N00001444,,268,4.9,88.4,6.7,20.5,modelled
N00001445,,371,5.7,85.4,8.9,22.9,modelled
N00001446,,304,6.9,83.6,9.5,24.0,modelled
N00001447,,315,5.7,87.3,7.0,22.3,modelled
N00001448,,350,11.1,82.9,6.0,26.1,modelled
N00001449,,323,11.8,76.2,12.0,28.6,modelled
N00001450,,263,7.6,82.9,9.5,24.6,modelled
N00001451,,248,18.5,71.8,9.7,32.9,modelled
N00001452,,324,13.9,75.3,10.8,29.8,modelled
N00001453,,372,10.5,85.2,4.3,25.0,modelled
N00001454,,319,7.5,80.3,12.2,25.4,modelled
N00001455,,261,15.3,67.8,16.9,32.9,modelled
N00001456,,334,11.7,78.1,10.2,27.9,modelled
N00001457,,318,14.2,74.5,11.3,30.2,modelled
N00001458,,376,17.3,68.4,14.3,33.5,modelled
N00001459,,471,20.0,62.4,17.6,36.7,modelled
N00001460,,599,20.7,62.6,16.7,36.9,modelled
N00001461,,317,49.2,40.1,10.7,60.5,modelled
N00001462,,357,47.9,39.5,12.6,60.1,modelled
N00001463,,385,53.0,39.2,7.8,62.4,modelled
N00001464,,345,46.7,38.0,15.3,60.1,modelled
N00001465,,422,53.8,37.4,8.8,63.3,modelled
N00001466,,280,45.4,40.7,13.9,58.7,modelled
N00001467,,1504,48.4,34.2,17.4,62.1,modelled
N00001468,,283,44.2,38.9,16.9,58.8,modelled
N00001469,,246,45.1,38.6,16.3,59.2,modelled
N00001470,,348,47.4,37.9,14.7,60.5,modelled
N00001471,,493,45.6,36.9,17.5,60.0,modelled
N00001472,,891,40.9,49.2,9.9,53.9,modelled
N00001473,,426,44.8,34.7,20.5,60.4,modelled
N00001474,,347,52.2,36.3,11.5,63.0,modelled
N00001475,,302,44.0,41.4,14.6,57.8,modelled
N00001476,,277,50.5,36.1,13.4,62.4,modelled
N00001477,,271,43.2,45.8,11.0,56.0,modelled
N00001478,,301,47.8,34.6,17.6,61.7,modelled
N00001479,,344,52.3,36.9,10.8,62.9,modelled
N00001480,,477,6.3,75.3,18.4,26.6,modelled
N00001481,,229,6.6,83.4,10.0,24.0,modelled
N00001482,,307,8.1,77.9,14.0,26.4,modelled
N00001483,,254,15.4,67.7,16.9,32.9,modelled
N00001484,,213,14.1,73.2,12.7,30.6,modelled
N00001485,,248,13.7,70.2,16.1,31.4,modelled
N00001486,,358,7.5,76.8,15.7,26.6,modelled
N00001487,,298,6.4,82.2,11.4,24.3,modelled
N00001488,,277,9.0,77.6,13.4,26.9,modelled
N00001489,,293,6.8,79.9,13.3,25.2,modelled
N00001490,,196,8.2,80.1,11.7,25.8,modelled
N00001491,,250,9.2,80.0,10.8,26.2,modelled
N00001492,,226,9.3,78.3,12.4,26.8,modelled
N00001493,,260,10.0,77.7,12.3,27.3,modelled
N00001494,,198,15.2,78.3,6.5,29.3,modelled
N00001495,,288,11.5,70.5,18.0,30.4,modelled
N00001496,,266,13.2,67.3,19.5,32.1,modelled
N00001497,,236,14.8,72.5,12.7,31.1,modelled
N00001498,,460,18.9,58.5,22.6,37.5,modelled
N00001499,,335,13.1,69.3,17.6,31.4,modelled
N00001500,,214,20.1,61.7,18.2,36.9,modelled
N00001501,,497,9.9,76.7,13.4,27.6,modelled
N00001502,,409,13.4,74.1,12.5,30.0,modelled
N00001503,,204,7.4,81.4,11.2,25.0,modelled
N00001504,,272,5.5,84.9,9.6,23.0,modelled
N00001505,,473,28.1,53.7,18.2,43.0,modelled
N00001506,,239,16.3,70.7,13.0,32.3,modelled
N00001507,,254,2.8,81.9,15.3,22.9,modelled
N00001508,,466,18.0,60.7,21.3,36.4,modelled
N00001509,,385,14.5,75.6,9.9,29.9,modelled
N00001510,,215,15.3,67.9,16.8,32.8,modelled
N00001511,,638,22.3,67.2,10.5,36.0,modelled
N00001512,,294,21.4,55.1,23.5,39.7,modelled
N00001513,,236,15.7,69.5,14.8,32.5,modelled
N00001514,,249,22.1,65.1,12.8,40.7,modelled
N00001515,,351,48.1,46.4,5.5,57.9,modelled
N00001516,,275,31.3,60.7,8.0,46.0,modelled
N00001517,,359,54.0,37.9,8.1,63.3,modelled
N00001518,,436,57.8,30.7,11.5,67.3,modelled
N00001519,,298,17.1,77.2,5.7,34.5,modelled
N00001520,,265,3.8,86.0,10.2,25.9,modelled
N00001521,,249,10.8,81.1,8.1,30.5,modelled
N00001522,,278,11.5,78.4,10.1,31.7,modelled
N00001523,,211,9.5,77.3,13.2,31.2,modelled
N00001524,,253,6.7,82.2,11.1,28.4,modelled
N00001525,,239,9.2,78.2,12.6,30.8,modelled
N00001526,,219,7.3,80.4,12.3,29.3,modelled
N00001527,,243,38.3,51.4,10.3,52.1,modelled
N00001528,,244,49.2,36.9,13.9,61.5,modelled
N00001529,,286,25.2,60.5,14.3,43.5,modelled
N00001530,,386,48.2,37.6,14.2,60.9,modelled
N00001531,,320,91.9,6.9,1.2,84.5,modelled
N00001532,,435,95.2,3.2,1.6,87.2,modelled
N00001533,,636,94.2,5.0,0.8,86.1,modelled
N00001534,,321,94.4,4.7,0.9,86.3,modelled
N00001535,,385,87.0,9.1,3.9,81.7,modelled
N00001536,,401,88.5,6.0,5.5,83.4,modelled
N00001537,,356,95.5,3.1,1.4,87.3,modelled
N00001538,,386,97.2,2.8,0.0,88.1,modelled
N00001539,,346,95.1,4.0,0.9,86.8,modelled
N00001540,,408,90.0,6.6,3.4,83.8,modelled
N00001541,,286,95.8,2.8,1.4,87.5,modelled
N00001542,,324,97.2,1.5,1.3,88.6,modelled
N00001543,,366,93.7,3.3,3.0,86.5,modelled
N00001544,,280,95.0,3.9,1.1,86.8,modelled
N00001545,,352,87.5,4.3,8.2,78.5,modelled
N00001546,,352,86.6,8.8,4.6,76.6,modelled
N00001547,,316,89.2,6.0,4.8,78.6,modelled
N00001548,,317,87.7,7.6,4.7,77.5,modelled
N00001549,,376,92.6,4.5,2.9,80.6,modelled
N00001550,,213,84.0,11.7,4.3,74.5,modelled
N00001551,,388,78.1,14.4,7.5,71.1,modelled
N00001552,,376,92.3,5.6,2.1,80.1,modelled
N00001553,,264,83.3,8.0,8.7,75.5,modelled
N00001554,,326,90.8,4.9,4.3,79.7,modelled
N00001555,,272,92.3,7.7,0.0,79.4,modelled
N00001556,,211,93.4,5.2,1.4,80.7,modelled
N00001557,,268,94.8,2.2,3.0,82.3,modelled
N00001558,,247,81.4,9.3,9.3,74.2,modelled
N00001559,,328,87.2,7.3,5.5,77.4,modelled
N00001560,,266,84.2,7.5,8.3,76.0,modelled
N00001561,,218,88.1,5.0,6.9,78.5,modelled
N00001562,,215,78.6,14.0,7.4,71.5,modelled
N00001563,,172,89.0,4.7,6.3,79.0,modelled
N00001564,,352,89.5,4.0,6.5,79.4,modelled
N00001565,,351,94.0,4.0,2.0,86.4,modelled
N00001566,,387,93.8,4.4,1.8,86.2,modelled
N00001567,,251,89.6,6.4,4.0,83.7,modelled
N00001568,,297,93.9,4.0,2.1,86.3,modelled
N00001569,,329,86.0,8.8,5.2,81.4,modelled
N00001570,,1119,95.2,2.8,2.0,87.3,modelled
N00001571,,493,92.3,4.3,3.4,85.6,modelled
N00001572,,355,96.9,3.1,0,87.9,modelled
N00001573,,444,92.8,5.4,1.8,85.4,modelled
N00001574,,310,94.5,4.8,0.7,86.3,modelled
N00001575,,317,90.5,7.3,2.2,83.8,modelled
N00001576,,365,91.2,5.2,3.6,84.8,modelled
N00001577,,364,95.1,4.7,0.2,86.6,modelled
N00001578,,312,92.0,6.7,1.3,84.6,modelled
N00001579,,317,44.8,39.7,15.5,58.8,modelled
N00001580,,328,54.3,30.5,15.2,65.8,modelled
N00001581,,306,50.3,42.5,7.2,60.2,modelled
N00001582,,293,58.7,35.8,5.5,65.9,modelled
N00001583,,234,56.4,31.6,12.0,66.4,modelled
N00001584,,184,48.4,37.5,14.1,61.0,modelled
N00001585,,444,45.5,32.7,21.8,61.4,modelled
N00001586,,254,42.1,33.1,24.8,59.8,modelled
N00001587,,333,49.8,30.6,19.6,63.9,modelled
N00001588,,290,42.4,41.7,15.9,57.1,modelled
N00001589,,318,38.7,51.3,10.0,52.3,modelled
N00001590,,356,44.9,39.3,15.8,58.9,modelled
N00001591,,275,44.4,30.9,24.7,61.5,modelled
N00001592,,305,29.8,48.5,21.7,49.5,modelled
N00001593,,518,33.4,47.1,19.5,51.4,modelled
N00001594,,364,28.6,48.6,22.8,48.9,modelled
N00001595,,289,37.4,43.9,18.7,54.2,modelled
N00001596,,395,34.9,48.4,16.7,51.7,modelled
N00001597,,271,37.6,36.2,26.2,56.9,modelled
N00001598,,381,40.4,42.0,17.6,56.1,modelled
N00001599,,445,35.3,48.1,16.6,51.9,modelled
N00001600,,317,38.2,40.7,21.1,55.6,modelled
N00001601,,277,38.6,44.0,17.4,54.7,modelled
N00001602,,342,37.7,42.4,19.9,54.8,modelled
N00001603,,305,44.3,38.4,17.3,59.0,modelled
N00001604,,276,17.8,62.0,20.2,39.9,modelled
N00001605,,283,16.3,70.3,13.4,36.5,modelled
N00001606,,197,22.3,59.9,17.8,42.5,modelled
N00001607,,262,19.1,65.6,15.3,39.2,modelled
N00001608,,238,24.8,64.3,10.9,42.1,modelled
N00001609,,243,17.7,60.5,21.8,40.3,modelled
N00001610,,220,25.5,54.1,20.4,45.8,modelled
N00001611,,292,13.0,72.6,14.4,34.3,modelled
N00001612,,295,13.2,74.6,12.2,33.7,modelled
N00001613,,691,16.6,66.7,16.7,37.8,modelled
N00001614,,245,17.6,59.6,22.8,40.6,modelled
N00001615,,318,27.7,52.8,19.5,47.1,modelled
N00001616,,299,15.4,64.5,20.1,38.0,modelled
N00001617,,258,37.6,50.0,12.4,52.3,modelled
N00001618,,236,21.6,59.7,18.7,42.2,modelled
N00001619,,278,8.3,77.0,14.7,30.8,modelled
N00001620,,333,23.1,53.5,23.4,44.9,modelled
N00001621,,241,16.2,66.0,17.8,37.9,modelled
N00001622,,240,21.7,61.2,17.1,41.8,modelled
N00001623,,287,9.8,81.2,9.0,19.9,modelled
N00001624,,150,3.3,89.3,7.4,14.4,modelled
N00001625,,253,11.9,76.3,11.8,22.4,modelled
