Geography Code,Geography Label,Measure,Response,Response Label,Breakdown Dimension,Breakdown Category,Base Type,Statistic,Unit,Value,Extraction Confidence
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,Age,NORTH,inc_DK,percent,%,22.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,Age,SOUTH,inc_DK,count,persons,85,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,Age,SOUTH,inc_DK,percent,%,32.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,Age,WEST,inc_DK,count,persons,74,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,Age,WEST,inc_DK,percent,%,47.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,Sinn Fein,inc_DK,count,persons,231,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,Sinn Fein,inc_DK,percent,%,87.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,DUP,inc_DK,count,persons,8,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,DUP,inc_DK,percent,%,4.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,Alliance,inc_DK,count,persons,4,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,Alliance,inc_DK,percent,%,3.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,UUP,inc_DK,count,persons,0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,UUP,inc_DK,percent,%,0.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,SDLP,inc_DK,count,persons,9,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,SDLP,inc_DK,percent,%,10.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,TUV,inc_DK,count,persons,0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,TUV,inc_DK,percent,%,0.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,Green,inc_DK,count,persons,2,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,Green,inc_DK,percent,%,9.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,Aontu,inc_DK,count,persons,4,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,Aontu,inc_DK,percent,%,22.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,PBP,inc_DK,count,persons,2,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,PBP,inc_DK,percent,%,15.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,"Others e.g. IRSP, NI Cons, Workers party",inc_DK,count,persons,0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,"Others e.g. IRSP, NI Cons, Workers party",inc_DK,percent,%,1.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,Non-Voters at the 2022 NIA election,inc_DK,count,persons,4,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,PastVote,Non-Voters at the 2022 NIA election,inc_DK,percent,%,13.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,ConstitutionalBloc,NATIONALIST/ REPUBLICAN,inc_DK,count,persons,247,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,ConstitutionalBloc,NATIONALIST/ REPUBLICAN,inc_DK,percent,%,62.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,ConstitutionalBloc,Constitutionally Neutral,inc_DK,count,persons,6,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - Base Results inc. Don't Know/Undecideds [MAINPollQuestion1IncUndecs],Sinn Féin,,ConstitutionalBloc,Constitutionally Neutral,inc_DK,percent,%,3.0,0.85
