contest,scale,year,area,party,n_cand,share,seats,lag_n,lag_share,exp_quotas,lag_exp_quotas
assembly,constituency,2022,Belfast South,UUP,1,6.52136861391623,5,1.0,8.972661603140315,0.39128211683497377,0.5383596961884188
assembly,constituency,2016,Belfast West,Alliance,1,0.8023602073453182,6,,,0.05616521451417228,
assembly,constituency,2017,Belfast West,Alliance,1,1.8515764425936942,5,1.0,0.8023602073453182,0.11109458655562164,0.0481416124407191
assembly,constituency,2022,Belfast West,Alliance,1,2.0772260901429096,5,1.0,1.8515764425936942,0.12463356540857458,0.11109458655562164
assembly,constituency,2016,Belfast West,Aontú,0,0.0,6,,,0.0,
assembly,constituency,2017,Belfast West,Aontú,0,0.0,5,0.0,0.0,0.0,0.0
assembly,constituency,2022,Belfast West,Aontú,1,4.014748992304874,5,0.0,0.0,0.24088493953829243,0.0
assembly,constituency,2016,Belfast West,DUP,1,10.383809418771369,6,,,0.7268666593139959,
assembly,constituency,2017,Belfast West,DUP,1,10.070890343049772,5,1.0,10.383809418771369,0.6042534205829864,0.6230285651262821
assembly,constituency,2022,Belfast West,DUP,1,9.541040674239648,5,1.0,10.070890343049772,0.5724624404543789,0.6042534205829864
assembly,constituency,2016,Belfast West,Green,1,0.9016212639241205,6,,,0.06311348847468844,
assembly,constituency,2017,Belfast West,Green,1,0.6221495141780686,5,1.0,0.9016212639241205,0.037328970850684116,0.05409727583544723
assembly,constituency,2022,Belfast West,Green,1,0.7030963722975448,5,1.0,0.6221495141780686,0.042185782337852695,0.037328970850684116
assembly,constituency,2016,Belfast West,Independent,0,0.0,6,,,0.0,
assembly,constituency,2017,Belfast West,Independent,0,0.0,5,0.0,0.0,0.0,0.0
assembly,constituency,2022,Belfast West,Independent,3,0.7947050201539025,5,0.0,0.0,0.047682301209234154,0.0
assembly,constituency,2016,Belfast West,Other,1,1.4668578361089666,6,,,0.10268004852762766,
assembly,constituency,2017,Belfast West,Other,1,1.028653579218719,5,1.0,1.4668578361089666,0.06171921475312314,0.088011470166538
assembly,constituency,2022,Belfast West,Other,2,2.9681201905459877,5,1.0,1.028653579218719,0.17808721143275924,0.06171921475312314
assembly,constituency,2016,Belfast West,PBP,1,22.882430792985552,6,,,1.6017701555089885,
assembly,constituency,2017,Belfast West,PBP,2,14.869621257188182,5,1.0,22.882430792985552,0.8921772754312909,1.372945847579133
assembly,constituency,2022,Belfast West,PBP,1,7.509618908024917,5,2.0,14.869621257188182,0.450577134481495,0.8921772754312909
assembly,constituency,2016,Belfast West,SDLP,1,7.298444910113599,6,,,0.5108911437079519,
assembly,constituency,2017,Belfast West,SDLP,1,8.556414832441007,5,1.0,7.298444910113599,0.5133848899464604,0.4379066946068159
assembly,constituency,2022,Belfast West,SDLP,1,5.789666544521803,5,1.0,8.556414832441007,0.34737999267130815,0.5133848899464604
assembly,constituency,2016,Belfast West,Sinn Féin,5,54.46123304290283,6,,,3.8122863130031983,
assembly,constituency,2017,Belfast West,Sinn Féin,4,61.796053936149114,5,5.0,54.46123304290283,3.7077632361689465,3.26767398257417
assembly,constituency,2022,Belfast West,Sinn Féin,4,63.679461341150606,5,4.0,61.796053936149114,3.8207676804690363,3.7077632361689465
assembly,constituency,2016,Belfast West,TUV,0,0.0,6,,,0.0,
assembly,constituency,2017,Belfast West,TUV,0,0.0,5,0.0,0.0,0.0,0.0
assembly,constituency,2022,Belfast West,TUV,1,1.8367533895199706,5,0.0,0.0,0.11020520337119823,0.0
assembly,constituency,2016,Belfast West,UUP,1,1.803242527848241,6,,,0.12622697694937687,
assembly,constituency,2017,Belfast West,UUP,1,1.2046400951814396,5,1.0,1.803242527848241,0.07227840571088637,0.10819455167089446
assembly,constituency,2022,Belfast West,UUP,1,1.085562477097838,5,1.0,1.2046400951814396,0.06513374862587028,0.07227840571088637
assembly,constituency,2016,East Antrim,Alliance,2,14.64626207151893,6,,,1.025238345006325,
assembly,constituency,2017,East Antrim,Alliance,2,16.02180418982471,5,2.0,14.64626207151893,0.9613082513894827,0.8787757242911357
assembly,constituency,2022,East Antrim,Alliance,2,23.071952280352928,5,2.0,16.02180418982471,1.3843171368211755,0.9613082513894827
assembly,constituency,2016,East Antrim,Aontú,0,0.0,6,,,0.0,
assembly,constituency,2017,East Antrim,Aontú,0,0.0,5,0.0,0.0,0.0,0.0
assembly,constituency,2022,East Antrim,Aontú,0,0.0,5,0.0,0.0,0.0,0.0
assembly,constituency,2016,East Antrim,DUP,3,36.10194069914535,6,,,2.5271358489401745,
assembly,constituency,2017,East Antrim,DUP,3,35.17528858486533,5,3.0,36.10194069914535,2.11051731509192,2.166116441948721
assembly,constituency,2022,East Antrim,DUP,2,29.620976761526034,5,3.0,35.17528858486533,1.777258605691562,2.11051731509192
assembly,constituency,2016,East Antrim,Green,1,2.1381629693622535,6,,,0.14967140785535774,
assembly,constituency,2017,East Antrim,Green,1,2.0762077811030353,5,1.0,2.1381629693622535,0.12457246686618212,0.1282897781617352
assembly,constituency,2022,East Antrim,Green,1,1.8739903069466881,5,1.0,2.0762077811030353,0.1124394184168013,0.12457246686618212
assembly,constituency,2016,East Antrim,Independent,0,0.0,6,,,0.0,
assembly,constituency,2017,East Antrim,Independent,1,0.28324070115433947,5,0.0,0.0,0.01699444206926037,0.0
assembly,constituency,2022,East Antrim,Independent,0,0.0,5,1.0,0.28324070115433947,0.0,0.01699444206926037
assembly,constituency,2016,East Antrim,Other,3,9.913301039770449,6,,,0.6939310727839314,
assembly,constituency,2017,East Antrim,Other,3,5.675502351432236,5,3.0,9.913301039770449,0.34053014108593416,0.5947980623862269
assembly,constituency,2022,East Antrim,Other,0,0.0,5,3.0,5.675502351432236,0.0,0.34053014108593416
assembly,constituency,2016,East Antrim,PBP,0,0.0,6,,,0.0,
assembly,constituency,2017,East Antrim,PBP,0,0.0,5,0.0,0.0,0.0,0.0
assembly,constituency,2022,East Antrim,PBP,0,0.0,5,0.0,0.0,0.0,0.0
assembly,constituency,2016,East Antrim,SDLP,1,3.791922495449076,6,,,0.26543457468143533,
assembly,constituency,2017,East Antrim,SDLP,1,4.07225309961522,5,1.0,3.791922495449076,0.24433518597691317,0.22751534972694457
assembly,constituency,2022,East Antrim,SDLP,1,2.98247794209022,5,1.0,4.07225309961522,0.1789486765254132,0.24433518597691317
assembly,constituency,2016,East Antrim,Sinn Féin,1,8.123785134676499,6,,,0.568664959427355,
assembly,constituency,2017,East Antrim,Sinn Féin,1,9.889375801624626,5,1.0,8.123785134676499,0.5933625480974776,0.4874271080805899
assembly,constituency,2022,East Antrim,Sinn Féin,1,9.1338386976513,5,1.0,9.889375801624626,0.548030321859078,0.5933625480974776
assembly,constituency,2016,East Antrim,TUV,1,5.069266607016137,6,,,0.35484866249112956,
assembly,constituency,2017,East Antrim,TUV,1,4.098973920478837,5,1.0,5.069266607016137,0.24593843522873024,0.30415599642096824
assembly,constituency,2022,East Antrim,TUV,1,9.099043121660246,5,1.0,4.098973920478837,0.5459425872996149,0.24593843522873024
assembly,constituency,2016,East Antrim,UUP,3,20.215358983061307,6,,,1.4150751288142913,
assembly,constituency,2017,East Antrim,UUP,2,22.707353569901667,5,3.0,20.215358983061307,1.3624412141941,1.2129215389836785
assembly,constituency,2022,East Antrim,UUP,2,24.217720889772586,5,2.0,22.707353569901667,1.4530632533863552,1.3624412141941
assembly,constituency,2016,East Londonderry,Alliance,1,3.654175993488183,6,,,0.2557923195441728,
assembly,constituency,2017,East Londonderry,Alliance,1,4.396627898645906,5,1.0,3.654175993488183,0.2637976739187543,0.21925055960929096
assembly,constituency,2022,East Londonderry,Alliance,1,7.524797114517583,5,1.0,4.396627898645906,0.45148782687105504,0.2637976739187543
assembly,constituency,2016,East Londonderry,Aontú,0,0.0,6,,,0.0,
assembly,constituency,2017,East Londonderry,Aontú,0,0.0,5,0.0,0.0,0.0,0.0
assembly,constituency,2022,East Londonderry,Aontú,1,2.46844003606853,5,0.0,0.0,0.1481064021641118,0.0
assembly,constituency,2016,East Londonderry,DUP,3,36.84409430506701,6,,,2.5790866013546907,
assembly,constituency,2017,East Londonderry,DUP,3,33.5299596398634,5,3.0,36.84409430506701,2.0117975783918043,2.2106456583040206
assembly,constituency,2022,East Londonderry,DUP,2,26.909377817853922,5,3.0,33.5299596398634,1.6145626690712354,2.0117975783918043
assembly,constituency,2016,East Londonderry,Green,1,1.2616645832727695,6,,,0.08831652082909386,
assembly,constituency,2017,East Londonderry,Green,1,0.7283929978745254,5,1.0,1.2616645832727695,0.04370357987247152,0.07569987499636617
assembly,constituency,2022,East Londonderry,Green,1,0.7822362488728585,5,1.0,0.7283929978745254,0.04693417493237151,0.04370357987247152
assembly,constituency,2016,East Londonderry,Independent,2,9.683421029681096,6,,,0.6778394720776767,
assembly,constituency,2017,East Londonderry,Independent,2,14.620399780288015,5,2.0,9.683421029681096,0.877223986817281,0.5810052617808658
assembly,constituency,2022,East Londonderry,Independent,4,12.95536519386835,5,2.0,14.620399780288015,0.7773219116321011,0.877223986817281
assembly,constituency,2016,East Londonderry,Other,4,5.51178813337597,6,,,0.3858251693363179,
assembly,constituency,2017,East Londonderry,Other,2,2.6222147923482915,5,4.0,5.51178813337597,0.1573328875408975,0.3307072880025582
assembly,constituency,2022,East Londonderry,Other,1,2.1032461677186656,5,2.0,2.6222147923482915,0.12619477006311994,0.1573328875408975
assembly,constituency,2016,East Londonderry,PBP,0,0.0,6,,,0.0,
assembly,constituency,2017,East Londonderry,PBP,1,1.1749814916533328,5,0.0,0.0,0.07049888949919997,0.0
assembly,constituency,2022,East Londonderry,PBP,1,0.7822362488728585,5,1.0,1.1749814916533328,0.04693417493237151,0.07049888949919997
assembly,constituency,2016,East Londonderry,SDLP,1,9.491554987063578,6,,,0.6644088490944504,
assembly,constituency,2017,East Londonderry,SDLP,1,7.92634872113295,5,1.0,9.491554987063578,0.47558092326797696,0.5694932992238146
assembly,constituency,2022,East Londonderry,SDLP,1,8.259693417493237,5,1.0,7.92634872113295,0.4955816050495942,0.47558092326797696
assembly,constituency,2016,East Londonderry,Sinn Féin,2,21.78842408209541,6,,,1.5251896857466787,
assembly,constituency,2017,East Londonderry,Sinn Féin,2,25.80182934110286,5,2.0,21.78842408209541,1.5481097604661715,1.3073054449257244
assembly,constituency,2022,East Londonderry,Sinn Féin,2,25.626690712353472,5,2.0,25.80182934110286,1.5376014427412081,1.5481097604661715
assembly,constituency,2016,East Londonderry,TUV,1,3.4623099508706647,6,,,0.24236169656094653,
assembly,constituency,2017,East Londonderry,TUV,1,2.4789243665369094,5,1.0,3.4623099508706647,0.14873546199221457,0.20773859705223988
assembly,constituency,2022,East Londonderry,TUV,1,6.6704238052299365,5,1.0,2.4789243665369094,0.40022542831379615,0.14873546199221457
assembly,constituency,2016,East Londonderry,UUP,2,8.302566935085322,6,,,0.5811796854559725,
assembly,constituency,2017,East Londonderry,UUP,1,6.720320970553818,5,2.0,8.302566935085322,0.40321925823322907,0.4981540161051193
assembly,constituency,2022,East Londonderry,UUP,1,5.917493237150586,5,1.0,6.720320970553818,0.3550495942290351,0.40321925823322907
assembly,constituency,2016,Fermanagh and South Tyrone,Alliance,1,1.1425058821035674,6,,,0.07997541174724972,
assembly,constituency,2017,Fermanagh and South Tyrone,Alliance,1,2.7495551346076574,5,1.0,1.1425058821035674,0.16497330807645944,0.06855035292621404
assembly,constituency,2022,Fermanagh and South Tyrone,Alliance,1,4.806207320023073,5,1.0,2.7495551346076574,0.28837243920138433,0.16497330807645944
assembly,constituency,2016,Fermanagh and South Tyrone,Aontú,0,0.0,6,,,0.0,
assembly,constituency,2017,Fermanagh and South Tyrone,Aontú,0,0.0,5,0.0,0.0,0.0,0.0
assembly,constituency,2022,Fermanagh and South Tyrone,Aontú,1,1.7248757977783153,5,0.0,0.0,0.10349254786669893,0.0
assembly,constituency,2016,Fermanagh and South Tyrone,DUP,2,32.64938423384276,6,,,2.285456896368993,
assembly,constituency,2017,Fermanagh and South Tyrone,DUP,2,29.81267818533188,5,2.0,32.64938423384276,1.7887606911199128,1.9589630540305654
assembly,constituency,2022,Fermanagh and South Tyrone,DUP,2,17.7269597901122,5,2.0,29.81267818533188,1.063617587406732,1.7887606911199128
assembly,constituency,2016,Fermanagh and South Tyrone,Green,1,1.9013502342243043,6,,,0.1330945163957013,
assembly,constituency,2017,Fermanagh and South Tyrone,Green,1,1.0523697453265217,5,1.0,1.9013502342243043,0.0631421847195913,0.11408101405345825
assembly,constituency,2022,Fermanagh and South Tyrone,Green,1,0.6233369927246339,5,1.0,1.0523697453265217,0.037400219563478034,0.0631421847195913
assembly,constituency,2016,Fermanagh and South Tyrone,Independent,0,0.0,6,,,0.0,
assembly,constituency,2017,Fermanagh and South Tyrone,Independent,0,0.0,5,0.0,0.0,0.0,0.0
assembly,constituency,2022,Fermanagh and South Tyrone,Independent,2,0.7014867052453343,5,0.0,0.0,0.04208920231472006,0.0
assembly,constituency,2016,Fermanagh and South Tyrone,Other,1,0.6041079339508659,6,,,0.042287555376560614,
assembly,constituency,2017,Fermanagh and South Tyrone,Other,2,1.3642538698505635,5,1.0,0.6041079339508659,0.0818552321910338,0.03624647603705196
assembly,constituency,2022,Fermanagh and South Tyrone,Other,1,1.120145879463372,5,2.0,1.3642538698505635,0.06720875276780232,0.0818552321910338
assembly,constituency,2016,Fermanagh and South Tyrone,PBP,0,0.0,6,,,0.0,
assembly,constituency,2017,Fermanagh and South Tyrone,PBP,0,0.0,5,0.0,0.0,0.0,0.0
assembly,constituency,2022,Fermanagh and South Tyrone,PBP,1,0.1916528664198128,5,0.0,0.0,0.011499171985188768,0.0
assembly,constituency,2016,Fermanagh and South Tyrone,SDLP,1,8.508383322381668,6,,,0.5955868325667167,
assembly,constituency,2017,Fermanagh and South Tyrone,SDLP,1,9.82339322273884,5,1.0,8.508383322381668,0.5894035933643305,0.5105029993429001
assembly,constituency,2022,Fermanagh and South Tyrone,SDLP,1,7.1376737435573006,5,1.0,9.82339322273884,0.42826042461343805,0.5894035933643305
assembly,constituency,2016,Fermanagh and South Tyrone,Sinn Féin,4,39.9495516883227,6,,,2.796468618182589,
assembly,constituency,2017,Fermanagh and South Tyrone,Sinn Féin,3,42.11009700935652,5,4.0,39.9495516883227,2.5266058205613913,2.396973101299362
assembly,constituency,2022,Fermanagh and South Tyrone,Sinn Féin,3,44.671864242785105,5,3.0,42.11009700935652,2.6803118545671065,2.5266058205613913
assembly,constituency,2016,Fermanagh and South Tyrone,TUV,1,2.4673039828730103,6,,,0.17271127880111073,
assembly,constituency,2017,Fermanagh and South Tyrone,TUV,1,1.4924516388267035,5,1.0,2.4673039828730103,0.08954709832960221,0.1480382389723806
assembly,constituency,2022,Fermanagh and South Tyrone,TUV,1,5.751446700035354,5,1.0,1.4924516388267035,0.3450868020021213,0.08954709832960221
assembly,constituency,2016,Fermanagh and South Tyrone,UUP,2,12.777412722301122,6,,,0.8944188905610786,
assembly,constituency,2017,Fermanagh and South Tyrone,UUP,1,11.59520119396131,5,2.0,12.777412722301122,0.6957120716376787,0.7666447633380673
assembly,constituency,2022,Fermanagh and South Tyrone,UUP,2,15.544349961855497,5,1.0,11.59520119396131,0.9326609977113298,0.6957120716376787
assembly,constituency,2016,Foyle,Alliance,1,0.5994660218628785,6,,,0.04196262153040149,
assembly,constituency,2017,Foyle,Alliance,1,2.519275596198673,5,1.0,0.5994660218628785,0.15115653577192037,0.035967961311772705
assembly,constituency,2022,Foyle,Alliance,1,4.737111642198703,5,1.0,2.519275596198673,0.2842266985319222,0.15115653577192037
assembly,constituency,2016,Foyle,Aontú,0,0.0,6,,,0.0,
assembly,constituency,2017,Foyle,Aontú,0,0.0,5,0.0,0.0,0.0,0.0
assembly,constituency,2022,Foyle,Aontú,1,4.267668146124957,5,0.0,0.0,0.2560600887674974,0.0
assembly,constituency,2016,Foyle,DUP,1,11.931388846909476,6,,,0.8351972192836634,
assembly,constituency,2017,Foyle,DUP,1,13.39205666128743,5,1.0,11.931388846909476,0.8035233996772458,0.7158833308145686
assembly,constituency,2022,Foyle,DUP,1,8.750853533629225,5,1.0,13.39205666128743,0.5250512120177535,0.8035233996772458
assembly,constituency,2016,Foyle,Green,1,0.3954460732456803,6,,,0.02768122512719762,
assembly,constituency,2017,Foyle,Green,1,0.5424063116370809,5,1.0,0.3954460732456803,0.03254437869822485,0.023726764394740817
assembly,constituency,2022,Foyle,Green,1,0.4587743257084329,5,1.0,0.5424063116370809,0.027526459542505974,0.03254437869822485
assembly,constituency,2016,Foyle,Independent,3,13.81542491562138,6,,,0.9670797440934966,
assembly,constituency,2017,Foyle,Independent,1,0.09861932938856016,5,3.0,13.81542491562138,0.005917159763313609,0.8289254949372828
assembly,constituency,2022,Foyle,Independent,1,1.8222942983953567,5,1.0,0.09861932938856016,0.10933765790372141,0.005917159763313609
assembly,constituency,2016,Foyle,Other,2,0.7430356153342401,6,,,0.05201249307339681,
