contest,scale,year,area,nat_pct,uni_pct,oth_pct,remain_pct,total
assembly,constituency,2022,Belfast North,45.06,39.98,14.96,,46027
assembly,constituency,2022,Strangford,9.9,63.99,26.11,,40865
assembly,constituency,2022,Fermanagh and South Tyrone,54.0,39.02,6.98,,53743
assembly,constituency,2022,Newry and Armagh,59.81,28.61,11.58,,58884
assembly,constituency,2022,Upper Bann,36.93,50.54,12.53,,56101
assembly,constituency,2022,East Antrim,12.12,62.94,24.95,,40235
assembly,constituency,2022,East Londonderry,39.74,50.57,9.68,,44360
westminster,constituency,2017,Belfast West,74.61,13.43,11.97,,40633
westminster,constituency,2017,Strangford,9.0,74.74,16.26,,38749
westminster,constituency,2017,Lagan Valley,11.02,77.37,11.61,,44926
westminster,constituency,2017,North Antrim,21.57,72.81,5.62,,48460
westminster,constituency,2017,East Antrim,12.67,71.73,15.6,,38143
westminster,constituency,2017,Belfast East,2.47,60.09,37.44,,42890
westminster,constituency,2017,Mid Ulster,64.29,33.37,2.34,,46694
westminster,constituency,2017,West Tyrone,63.69,32.13,4.19,,43486
westminster,constituency,2017,East Londonderry,37.3,56.51,6.19,,41030
westminster,constituency,2017,Newry and Armagh,64.8,32.85,2.34,,53579
westminster,constituency,2017,Fermanagh and South Tyrone,52.01,45.54,2.45,,53481
westminster,constituency,2017,Belfast North,46.97,46.24,6.79,,45936
westminster,constituency,2017,Upper Bann,36.53,58.95,4.52,,51258
westminster,constituency,2017,North Down,2.38,81.74,15.89,,39185
westminster,constituency,2017,South Down,75.08,21.36,3.56,,50893
westminster,constituency,2017,Foyle,79.07,16.09,4.84,,45965
westminster,constituency,2017,South Antrim,23.53,69.05,7.42,,43170
westminster,constituency,2017,Belfast South,42.21,34.49,23.31,,43705
westminster,constituency,2019,Belfast South,58.35,27.32,14.33,,47352
westminster,constituency,2019,Foyle,82.05,12.43,5.51,,47144
westminster,constituency,2019,Belfast West,65.72,13.46,20.82,,38782
westminster,constituency,2019,Belfast East,0.0,55.11,44.89,,42445
westminster,constituency,2019,North Antrim,19.47,66.39,14.14,,44051
westminster,constituency,2019,Strangford,6.8,62.72,30.48,,37485
westminster,constituency,2019,Belfast North,47.06,43.1,9.84,,49037
westminster,constituency,2019,Mid Ulster,61.74,30.36,7.9,,44620
westminster,constituency,2019,East Antrim,8.11,62.77,29.12,,37261
westminster,constituency,2019,North Down,0.0,54.83,45.17,,40643
westminster,constituency,2019,Fermanagh and South Tyrone,50.1,43.2,6.7,,50762
westminster,constituency,2019,Lagan Valley,6.29,64.89,28.82,,45405
westminster,constituency,2019,Upper Bann,33.8,53.35,12.85,,50045
westminster,constituency,2019,West Tyrone,60.33,28.75,10.93,,41186
westminster,constituency,2019,East Londonderry,35.66,49.27,15.07,,39302
westminster,constituency,2019,Newry and Armagh,61.77,29.94,8.29,,50779
westminster,constituency,2019,South Antrim,16.7,64.25,19.06,,42974
westminster,constituency,2019,South Down,64.15,21.96,13.9,,49762
westminster,constituency,2024,Mid Ulster,63.49,31.71,4.8,,45445
westminster,constituency,2024,Belfast West,66.0,17.05,16.95,,39743
westminster,constituency,2024,West Tyrone,67.08,27.69,5.23,,43695
westminster,constituency,2024,Belfast South and Mid Down,49.08,26.97,23.95,,43491
westminster,constituency,2024,Fermanagh and South Tyrone,54.35,39.69,5.96,,51076
westminster,constituency,2024,Newry and Armagh,65.28,28.86,5.86,,45942
westminster,constituency,2024,North Down,1.52,64.17,34.31,,43296
westminster,constituency,2024,Belfast East,1.45,55.33,43.22,,42706
westminster,constituency,2024,Upper Bann,33.22,53.43,13.35,,47358
westminster,constituency,2024,Belfast North,47.18,36.93,15.89,,40452
westminster,constituency,2024,South Down,68.33,23.65,8.03,,45243
westminster,constituency,2024,Foyle,76.41,13.91,9.68,,38358
westminster,constituency,2024,Strangford,11.76,58.57,29.67,,38909
westminster,constituency,2024,South Antrim,23.28,64.8,11.92,,42908
westminster,constituency,2024,Lagan Valley,2.09,59.09,38.82,,49081
westminster,constituency,2024,East Antrim,9.77,63.2,27.03,,39675
westminster,constituency,2024,North Antrim,23.86,64.91,11.23,,41185
westminster,constituency,2024,East Londonderry,42.71,47.16,10.12,,41277
local,dea,2014,Limavady,39.95,60.05,0.0,,5039
local,dea,2014,Benbradagh,67.7,32.3,0.0,,5913
local,dea,2014,Ards Peninsula,24.51,65.84,9.65,,7243
local,dea,2014,Erne West,53.21,29.52,17.26,,6923
local,dea,2014,Holywood and Clandeboye,5.56,48.83,45.6,,5535
local,dea,2014,West Tyrone,59.88,36.9,3.22,,7460
local,dea,2014,Cusher,21.19,60.45,18.36,,10493
local,dea,2014,Downshire East,0.0,76.85,23.15,,5996
local,dea,2014,Erne North,49.96,50.04,0.0,,5182
local,dea,2014,Armagh,67.74,31.03,1.23,,11413
local,dea,2014,Dungannon,29.4,47.78,22.82,,7411
local,dea,2014,Downpatrick,79.18,7.94,12.88,,6514
local,dea,2014,Airport,37.3,49.39,13.3,,6187
local,dea,2014,Moyola,64.55,35.45,0.0,,7405
local,dea,2014,Three Mile Water,0.0,76.72,23.28,,6606
local,dea,2014,Newry,82.04,4.69,13.26,,8187
local,dea,2014,Bangor East and Donaghadee,0.0,64.51,35.49,,6845
local,dea,2014,Slieve Gullion,85.49,14.51,0.0,,11154
local,dea,2014,Rowallane,26.97,59.69,13.34,,6944
local,dea,2014,Slieve Croob,57.33,31.07,11.6,,6906
local,dea,2014,Killultagh,23.97,62.84,13.19,,6475
local,dea,2014,Clogher Valley,46.54,53.46,0.0,,8528
local,dea,2014,Dunsilly,36.35,54.42,9.23,,5309
local,dea,2014,Derg,53.33,46.67,0.0,,7604
local,dea,2014,Newtownards,0.0,58.83,41.17,,8107
local,dea,2014,Foyleside,77.07,0.0,22.93,,6368
local,dea,2014,Coast Road,21.76,58.11,20.13,,5385
local,dea,2014,Lurgan,50.24,43.41,6.35,,11502
local,dea,2014,Banbridge,26.81,64.88,8.31,,11430
local,dea,2014,Comber,0.0,84.11,15.89,,6194
local,dea,2014,Balmoral,40.87,38.23,20.9,,8901
local,dea,2014,Bann,28.41,68.01,3.57,,6578
local,dea,2014,Mid Tyrone,67.63,27.69,4.69,,6830
local,dea,2014,Faughan,50.69,33.76,15.55,,5382
local,dea,2014,Larne Lough,2.25,72.1,25.65,,5685
local,dea,2014,Titanic,13.38,65.7,20.92,,9900
local,dea,2014,The Moor,78.94,0.0,21.06,,6015
local,dea,2014,Carntogher,75.74,24.26,0.0,,7519
local,dea,2014,Ballyclare,0.0,82.04,17.96,,5613
local,dea,2014,Portadown,25.37,71.8,2.83,,10536
local,dea,2014,The Mournes,63.77,31.65,4.58,,8906
local,dea,2014,Lisnasharragh,6.62,56.49,36.89,,9619
local,dea,2014,Cookstown,48.73,49.85,1.42,,8223
local,dea,2014,Craigavon,37.62,51.9,10.48,,8466
local,dea,2014,Knockagh,0.0,82.2,17.8,,5618
local,dea,2014,Erne East,64.16,35.84,0.0,,7852
local,dea,2014,Bangor West,5.06,63.83,31.11,,5220
local,dea,2014,Carrick Castle,0.0,66.28,33.72,,5824
local,dea,2014,Glengormley Urban,30.82,50.37,18.81,,7427
local,dea,2014,Lagan River,7.8,79.17,13.03,,7536
local,dea,2014,Ballymena,21.31,52.24,26.45,,6575
local,dea,2014,Magherafelt,45.12,46.8,8.08,,6983
local,dea,2014,Downshire West,4.62,76.08,19.3,,5004
local,dea,2014,Omagh,48.9,41.01,10.09,,4560
local,dea,2014,Lisburn North,15.77,62.69,21.54,,6082
local,dea,2014,Bannside,14.35,79.42,6.24,,7215
local,dea,2014,Castle,36.26,46.96,16.78,,9381
local,dea,2014,Ballyarnett,84.71,0.0,15.29,,7690
local,dea,2014,Castlereagh South,32.57,39.71,27.72,,8114
local,dea,2014,Collin,81.56,4.27,14.17,,11158
local,dea,2014,Torrent,68.12,23.77,8.11,,8225
local,dea,2014,Oldpark,54.95,31.89,13.16,,10535
local,dea,2014,Botanic,32.76,16.45,50.79,,5989
local,dea,2014,Court,31.43,63.82,4.75,,11505
local,dea,2014,Ormiston,1.15,62.05,36.79,,13074
local,dea,2014,Macedon,13.64,70.97,15.38,,5395
local,dea,2014,Crotlieve,77.97,11.84,10.2,,9789
local,dea,2014,Lisburn South,6.79,75.14,18.07,,6227
local,dea,2014,Castlereagh East,0.0,75.09,24.91,,6587
local,dea,2014,Antrim,20.89,63.17,15.94,,5936
local,dea,2014,Ballymoney,24.72,69.21,6.06,,8247
local,dea,2014,The Glens,53.91,21.55,24.54,,6487
local,dea,2014,Black Mountain,79.13,0.0,20.87,,13942
local,dea,2014,Causeway,9.43,70.33,20.23,,7409
local,dea,2014,Waterside,41.7,54.29,4.01,,8832
local,dea,2014,Coleraine,18.34,68.29,13.37,,6021
local,dea,2014,Enniskillen,31.22,52.65,16.13,,6737
local,dea,2014,Sperrin,52.5,29.49,18.01,,9264
local,dea,2014,Braid,14.14,82.47,3.39,,8814
local,dea,2014,Bangor Central,0.0,58.73,41.27,,6334
local,dea,2019,Ards Peninsula,23.18,62.13,14.69,,7837
local,dea,2019,Limavady,38.49,50.17,11.34,,4911
local,dea,2019,Antrim,20.3,47.85,31.84,,6432
local,dea,2019,Downshire West,4.94,65.45,29.61,,6234
local,dea,2019,Newtownards,0.0,49.63,50.37,,8341
local,dea,2019,Comber,0.0,69.96,30.04,,6527
local,dea,2019,Newry,66.08,3.44,30.47,,9900
local,dea,2019,Benbradagh,68.52,26.77,4.71,,7049
local,dea,2019,Dungannon,22.59,48.54,28.88,,7584
local,dea,2019,Magherafelt,54.8,45.2,0.0,,7560
local,dea,2019,Moyola,63.75,32.47,3.79,,7873
local,dea,2019,Coast Road,15.54,54.59,29.86,,5616
local,dea,2019,Carrick Castle,0.0,58.72,41.28,,5208
local,dea,2019,Downshire East,6.83,71.82,21.34,,6175
local,dea,2019,Lagan River,6.71,80.04,13.25,,8884
local,dea,2019,Clogher Valley,49.27,50.73,0.0,,9095
local,dea,2019,Knockagh,0.0,65.44,34.56,,5703
local,dea,2019,West Tyrone,59.84,34.99,5.17,,7547
local,dea,2019,Holywood and Clandeboye,0.0,37.49,62.51,,6330
local,dea,2019,Killultagh,22.48,55.82,21.7,,7515
local,dea,2019,Lisburn North,20.57,59.18,20.25,,7323
local,dea,2019,Bangor West,1.24,49.66,49.1,,5709
local,dea,2019,Balmoral,36.94,35.4,27.67,,9210
local,dea,2019,Ormiston,0.48,41.79,57.73,,11869
local,dea,2019,Court,29.24,58.06,12.7,,11311
local,dea,2019,Cusher,21.12,55.21,23.67,,11457
local,dea,2019,Bann,33.54,58.57,7.88,,6228
local,dea,2019,Larne Lough,0.0,66.05,33.95,,5986
local,dea,2019,Downpatrick,72.27,6.69,21.05,,7388
local,dea,2019,The Glens,57.42,23.77,18.81,,6736
local,dea,2019,Bannside,12.03,78.68,9.29,,8073
local,dea,2019,Coleraine,7.56,79.17,13.27,,5515
local,dea,2019,Ballyclare,0.0,64.28,35.72,,6758
local,dea,2019,Cookstown,56.9,43.1,0.0,,9241
local,dea,2019,Bangor Central,0.0,42.69,57.31,,6479
local,dea,2019,Rowallane,28.49,40.91,30.6,,6781
local,dea,2019,Collin,77.79,3.63,18.58,,12102
local,dea,2019,Erne West,51.92,25.46,22.63,,7385
local,dea,2019,Macedon,12.22,64.29,23.49,,6258
local,dea,2019,Castlereagh South,33.1,17.39,49.51,,7574
local,dea,2019,Torrent,62.17,21.07,16.76,,9098
local,dea,2019,The Moor,59.02,1.91,39.07,,7748
local,dea,2019,Carntogher,75.83,22.44,1.74,,7947
local,dea,2019,Three Mile Water,0.0,70.91,29.09,,7036
local,dea,2019,Bangor East and Donaghadee,0.0,58.98,41.02,,6834
local,dea,2019,Castlereagh East,0.0,69.24,30.76,,6982
local,dea,2019,Erne North,39.93,53.75,6.32,,6849
local,dea,2019,Airport,38.64,44.04,17.31,,7052
local,dea,2019,Glengormley Urban,33.97,44.79,21.24,,7939
local,dea,2019,Foyleside,71.41,0.0,28.59,,7358
local,dea,2019,Lurgan,53.25,35.78,10.97,,12046
local,dea,2019,Erne East,50.05,32.33,17.62,,8456
local,dea,2019,Dunsilly,38.66,46.16,15.18,,6514
local,dea,2019,Ballymoney,23.53,65.57,10.9,,8751
local,dea,2019,Black Mountain,80.89,0.0,19.11,,14053
local,dea,2019,Enniskillen,36.84,47.02,16.14,,7225
local,dea,2019,Armagh,68.27,26.21,5.52,,12723
local,dea,2019,Waterside,40.49,44.78,14.73,,9956
local,dea,2019,Lisnasharragh,14.52,41.07,44.41,,11066
local,dea,2019,Castle,36.41,34.16,29.43,,11300
local,dea,2019,Causeway,3.5,69.06,27.44,,7635
local,dea,2019,The Mournes,72.54,0.0,27.46,,8705
local,dea,2019,Omagh,42.34,27.0,30.66,,6363
local,dea,2019,Portadown,33.17,57.69,9.14,,9146
local,dea,2019,Oldpark,50.94,36.45,12.61,,8471
local,dea,2019,Slieve Gullion,84.32,12.79,2.88,,12522
local,dea,2019,Craigavon,47.0,45.78,7.22,,9675
local,dea,2019,Ballyarnett,81.15,0.0,18.85,,9575
local,dea,2019,Banbridge,24.91,63.35,11.74,,12138
local,dea,2019,Botanic,27.88,26.99,45.13,,9505
local,dea,2019,Derg,59.24,27.62,13.14,,6737
local,dea,2019,Titanic,13.06,48.89,38.05,,8441
local,dea,2019,Lisburn South,9.32,66.19,24.49,,6962
local,dea,2019,Slieve Croob,74.83,12.62,12.55,,6876
local,dea,2019,Ballymena,19.74,51.57,28.69,,6936
local,dea,2019,Mid Tyrone,61.51,23.62,14.87,,8088
local,dea,2019,Crotlieve,56.84,9.43,33.73,,11480
local,dea,2019,Braid,7.14,79.06,13.8,,8840
local,dea,2019,Faughan,51.48,15.48,33.04,,4588
local,dea,2019,Sperrin,46.01,23.76,30.24,,10881
local,dea,2023,Limavady,39.73,41.37,18.9,,6031
local,dea,2023,Downshire East,4.55,65.12,30.33,,6852
local,dea,2023,Foyleside,82.62,0.0,17.38,,7163
local,dea,2023,Carrick Castle,0.0,72.13,27.87,,6254
local,dea,2023,The Moor,64.96,0.0,35.04,,7397
local,dea,2023,Magherafelt,53.42,40.79,5.79,,8257
local,dea,2023,The Glens,70.58,19.9,9.52,,7699
local,dea,2023,Moyola,68.1,29.2,2.7,,9156
local,dea,2023,Benbradagh,70.71,23.32,5.97,,7853
local,dea,2023,Downshire West,4.21,57.45,38.35,,7179
local,dea,2023,Killultagh,27.71,49.15,23.15,,8381
local,dea,2023,Bangor East and Donaghadee,0.0,58.97,41.03,,8496
local,dea,2023,Ballyclare,1.2,70.77,28.03,,7184
local,dea,2023,Airport,47.04,36.2,16.75,,8016
local,dea,2023,Lagan River,7.22,75.16,17.62,,10000
local,dea,2023,Ballyarnett,88.06,0.0,11.94,,9740
local,dea,2023,Court,34.08,58.75,7.18,,12023
local,dea,2023,Erne North,45.01,49.94,5.04,,7100
local,dea,2023,Dungannon,36.26,37.23,26.5,,9610
local,dea,2023,Larne Lough,0.0,64.09,35.91,,6405
local,dea,2023,Carntogher,80.31,19.69,0.0,,8830
local,dea,2023,Castlereagh East,0.0,66.73,33.27,,7867
local,dea,2023,Cookstown,57.47,37.99,4.55,,10288
local,dea,2023,Erne East,58.2,29.78,12.02,,8478
local,dea,2023,Comber,0.0,63.41,36.59,,7286
local,dea,2023,Castle,46.18,32.51,21.31,,12300
local,dea,2023,Omagh,52.94,24.52,22.54,,6636
local,dea,2023,Three Mile Water,4.17,66.83,29.01,,7802
local,dea,2023,Coast Road,20.08,51.76,28.16,,5877
local,dea,2023,Ards Peninsula,24.22,59.2,16.58,,9184
local,dea,2023,Newry,87.33,2.73,9.94,,10451
local,dea,2023,Balmoral,43.04,28.17,28.79,,10229
local,dea,2023,Erne West,65.2,24.84,9.97,,7586
local,dea,2023,Derg,55.06,35.63,9.31,,8549
local,dea,2023,West Tyrone,65.0,29.49,5.51,,8301
local,dea,2023,Slieve Croob,61.99,23.63,14.38,,8911
local,dea,2023,Downpatrick,74.16,5.71,20.13,,8173
local,dea,2023,Mid Tyrone,68.58,20.42,11.0,,8542
local,dea,2023,Coleraine,16.06,61.7,22.24,,7392
local,dea,2023,Dunsilly,47.91,39.84,12.25,,7454
local,dea,2023,Macedon,18.63,57.07,24.3,,7118
local,dea,2023,Ormiston,1.96,45.95,52.09,,14292
local,dea,2023,Collin,82.47,0.0,17.53,,13962
local,dea,2023,Craigavon,45.09,41.88,13.03,,10687
local,dea,2023,Knockagh,0.0,56.24,43.76,,6486
local,dea,2023,Bangor West,4.57,46.16,49.27,,6505
local,dea,2023,Waterside,46.23,43.36,10.41,,10913
local,dea,2023,Ballymoney,28.08,61.54,10.38,,9971
local,dea,2023,Antrim,27.34,50.56,22.1,,7126
local,dea,2023,Botanic,42.96,26.1,30.94,,10593
local,dea,2023,Cusher,22.44,55.95,21.61,,12278
local,dea,2023,Rowallane,27.2,47.09,25.72,,8034
local,dea,2023,The Mournes,54.79,36.05,9.16,,13369
local,dea,2023,Lisnasharragh,23.47,36.17,40.36,,11975
local,dea,2023,Titanic,14.2,51.18,34.63,,9954
local,dea,2023,Sperrin,53.21,22.41,24.38,,11812
local,dea,2023,Bannside,17.12,74.13,8.75,,8780
local,dea,2023,Glengormley Urban,41.73,37.48,20.79,,8765
local,dea,2023,Bangor Central,0.0,37.68,62.32,,8450
local,dea,2023,Portadown,30.61,61.84,7.55,,12202
local,dea,2023,Bann,33.45,49.3,17.25,,7917
local,dea,2023,Armagh,71.5,23.94,4.56,,13584
local,dea,2023,Faughan,48.03,36.11,15.86,,8095
local,dea,2023,Holywood and Clandeboye,6.97,37.32,55.71,,7728
local,dea,2023,Torrent,60.64,17.72,21.64,,10633
local,dea,2023,Newtownards,0.0,52.36,47.64,,9285
local,dea,2023,Clogher Valley,45.53,41.79,12.68,,10731
local,dea,2023,Lurgan,55.63,31.03,13.33,,14078
local,dea,2023,Lisburn South,12.87,63.31,23.81,,7496
local,dea,2023,Oldpark,52.89,22.46,24.66,,12366
local,dea,2023,Causeway,13.22,60.28,26.5,,8811
local,dea,2023,Lisburn North,25.75,40.11,34.14,,8444
local,dea,2023,Black Mountain,90.29,0.0,9.71,,15971
local,dea,2023,Banbridge,30.22,55.43,14.34,,13671
local,dea,2023,Castlereagh South,38.21,22.51,39.27,,10185
local,dea,2023,Crotlieve,63.42,7.99,28.59,,13118
local,dea,2023,Ballymena,23.73,49.96,26.32,,7296
local,dea,2023,Braid,13.76,75.5,10.74,,9463
local,dea,2023,Enniskillen,41.55,41.74,16.71,,7676
local,dea,2023,Slieve Gullion,86.9,10.6,2.5,,14691
euref,constituency,2016,Belfast East,,,,48.6,42646
euref,constituency,2016,Belfast North,,,,50.36,39972
euref,constituency,2016,Belfast South,,,,69.49,44556
euref,constituency,2016,Belfast West,,,,74.06,31191
euref,constituency,2016,East Antrim,,,,44.81,41545
euref,constituency,2016,East Londonderry,,,,52.03,40553
euref,constituency,2016,Fermanagh and South Tyrone,,,,58.56,48158
euref,constituency,2016,Foyle,,,,78.26,40969
euref,constituency,2016,Lagan Valley,,,,46.91,48414
euref,constituency,2016,Mid Ulster,,,,60.39,42411
euref,constituency,2016,Newry and Armagh,,,,63.14,50622
euref,constituency,2016,North Antrim,,,,37.78,49720
euref,constituency,2016,North Down,,,,52.36,44177
euref,constituency,2016,South Antrim,,,,49.36,43553
euref,constituency,2016,South Down,,,,67.24,47701
euref,constituency,2016,Strangford,,,,44.47,42110
euref,constituency,2016,Upper Bann,,,,47.38,51812
euref,constituency,2016,West Tyrone,,,,66.85,40039
