area,rel__Catholic,rel__Protestant and Other Christian (including Christian rel,rel__Other religions,rel__None,natid__British only,natid__Irish only,natid__Northern Irish only,natid__British and Irish only,natid__British and Northern Irish only,natid__Irish and Northern Irish only,"natid__British, Irish and Northern Irish only",natid__Other,pass__United Kingdom only,pass__Ireland only,pass__United Kingdom and Ireland only,pass__United Kingdom and other (not Ireland),pass__Ireland and other (not United Kingdom),"pass__United Kingdom, Ireland and other",pass__Other only (not United Kingdom or Ireland),pass__No passport,"irish__Understands but does not read, write or speak Irish",irish__Speaks but does not read or write Irish,irish__Speaks and reads but does not write Irish,"irish__Speaks, reads, writes and understands Irish",irish__Other combination of skills,irish__No ability in Irish,irish__No code required,ten__Owner occupied: Owns outright,ten__Owner occupied: Owns with a mortgage or loan or shared ,ten__Social rented: Northern Ireland Housing Executive,ten__Social rented: Housing association or charitable trust,ten__Private rented: Private landlord or letting agency,ten__Private rented: Other private rented,ten__Lives rent free,ten__No code required,"nssec__L1, L2, L3: Higher managerial, administrative and pro","nssec__L4, L5, L6: Lower managerial, administrative and prof",nssec__L7: Intermediate occupations,"nssec__L8, L9: Small employers and own account workers","nssec__L10, L11: Lower supervisory and technical occupations",nssec__L12: Semi-routine occupations,nssec__L13: Routine occupations,"nssec__L14.1, L14.2: Never worked and long-term unemployed",nssec__L15: Full-time students,nssec__No code required,qual__No qualifications,"qual__Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 ","qual__Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (pass",qual__Apprenticeship,"qual__Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ ","qual__Level 4 and above: Degree (BA, BSc), foundation degree","qual__Other: Other qualifications, equivalent unknown",qual__No code required,econ__Economically active: Employee (including full-time stu,econ__Economically active: Self-employed (including full-tim,econ__Economically active: Unemployed (including full-time s,econ__Economically inactive: Retired,econ__Economically inactive: Student,econ__Economically inactive: Looking after home or family,econ__Economically inactive: Long-term sick or disabled,econ__Economically inactive: Other,econ__No code required,age__0-15 years,age__16-24 years,age__25-34 years,age__35-44 years,age__45-54 years,age__55-64 years,age__65+ years,sex__Female,sex__Male,hlth__Very good health,hlth__Good health,hlth__Fair health,hlth__Bad health,hlth__Very bad health,cob__Europe: United Kingdom: Northern Ireland,cob__Europe: United Kingdom: England,cob__Europe: United Kingdom: Scotland,cob__Europe: United Kingdom: Wales,cob__Europe: Republic of Ireland,cob__Europe: Other EU countries,cob__Europe: Other Non-EU countries,cob__Africa,cob__Middle East and Asia,"cob__North America, Central America and Caribbean",cob__South America,"cob__Antarctica, Oceania and Other"
Lurgan,60.717,30.306,1.249,7.728,23.365,38.334,19.09,0.487,5.348,2.003,1.052,10.32,37.73,33.499,4.401,0.267,0.134,0.047,8.006,15.917,6.246,2.267,0.605,4.686,1.251,80.945,4.0,26.928,42.34,7.097,2.463,18.26,1.128,1.385,0.398,6.752,13.695,9.2,6.542,4.948,9.558,14.493,7.98,5.168,21.664,21.271,4.527,11.281,5.129,12.231,22.086,1.812,21.664,40.474,5.288,1.977,14.491,3.233,3.898,6.553,2.422,21.664,21.664,9.862,14.268,13.318,13.561,12.15,15.177,50.291,49.709,50.45,27.635,13.616,6.252,2.047,86.112,2.872,0.618,0.089,1.209,6.877,0.249,0.367,1.155,0.194,0.113,0.147
Macedon,23.984,59.812,1.781,14.423,47.766,12.32,18.879,0.541,11.297,0.984,1.786,6.426,63.485,11.795,4.182,0.285,0.084,0.039,4.266,15.864,2.136,0.871,0.187,1.57,0.487,91.232,3.518,22.492,33.155,16.631,8.198,15.613,0.935,1.683,1.294,6.313,12.892,10.26,4.601,4.488,13.124,13.188,10.166,4.832,20.136,22.609,6.647,11.951,5.132,12.242,19.209,2.076,20.134,37.701,3.7,2.642,16.563,3.39,4.335,8.572,2.962,20.135,20.138,9.636,13.11,13.809,12.638,13.095,17.574,51.966,48.034,43.163,29.661,16.164,8.08,2.933,88.582,3.312,0.881,0.108,0.773,2.978,0.167,0.674,2.013,0.31,0.094,0.108
Magherafelt,55.398,38.515,1.178,4.91,28.731,32.837,20.898,0.426,5.793,2.362,0.95,8.004,40.665,28.162,4.661,0.176,0.265,0.073,5.99,20.008,6.887,2.46,0.618,4.521,1.048,80.438,4.028,33.162,38.192,6.031,1.334,18.167,0.841,1.635,0.638,7.059,13.978,7.049,9.452,4.386,9.109,12.691,8.108,5.953,22.215,20.155,4.303,10.485,5.201,12.182,23.907,1.552,22.215,39.174,8.278,1.889,12.653,4.1,4.339,5.107,2.247,22.213,22.214,10.557,13.458,13.713,13.344,12.181,14.533,50.55,49.45,52.517,29.124,12.13,4.692,1.536,88.42,2.704,0.576,0.13,1.235,4.827,0.182,0.301,1.168,0.239,0.073,0.145
Mid Tyrone,75.998,21.279,0.318,2.405,14.913,54.233,20.86,0.381,3.525,2.286,0.483,3.32,28.078,45.93,4.969,0.171,0.483,0.045,2.052,18.272,10.637,4.19,1.097,8.266,1.563,70.29,3.957,40.293,41.157,2.143,0.62,12.745,0.978,1.575,0.489,6.703,14.241,7.089,11.995,4.127,7.794,9.136,8.516,6.845,23.553,17.931,3.428,9.744,5.213,12.558,26.174,1.399,23.553,35.026,10.352,1.569,13.451,4.446,4.161,5.082,2.359,23.553,23.553,11.444,11.001,13.269,13.269,12.024,15.441,49.619,50.381,55.566,25.964,12.621,4.247,1.603,91.586,2.797,0.335,0.057,2.297,1.603,0.04,0.119,0.284,0.694,0.04,0.148
Moyola,67.126,29.447,0.5,2.927,23.028,45.906,20.284,0.436,4.003,2.098,0.586,3.659,33.532,38.525,4.879,0.151,0.221,0.048,2.48,20.164,8.157,3.32,0.791,6.172,1.351,76.19,4.019,36.979,42.629,3.427,0.99,12.456,0.812,1.738,0.968,6.493,13.808,7.456,11.56,4.551,7.321,11.592,7.558,6.009,23.653,18.867,3.875,10.122,6.382,12.253,23.468,1.372,23.661,37.012,9.905,1.555,13.123,3.955,4.138,4.649,2.007,23.658,23.658,10.648,11.826,13.51,13.844,11.051,15.463,49.898,50.102,55.103,26.847,12.283,4.288,1.48,93.086,2.271,0.506,0.043,1.141,2.018,0.081,0.108,0.237,0.301,0.038,0.172
Newry,87.862,7.0,1.157,3.98,5.901,59.125,17.921,0.405,0.96,2.447,0.434,12.808,19.539,50.638,4.496,0.24,0.315,0.107,10.342,14.323,8.688,3.5,0.914,5.983,1.856,75.252,3.808,27.741,32.982,9.655,4.622,20.683,1.351,1.641,1.326,6.807,13.223,7.495,6.553,4.704,9.884,13.535,11.013,5.768,21.019,21.886,4.034,10.042,5.793,11.425,23.892,1.91,21.019,37.051,5.506,2.397,13.9,3.966,5.392,7.538,3.231,21.019,21.021,10.29,13.289,13.343,13.454,12.759,15.844,50.575,49.425,49.5,27.912,13.929,6.216,2.443,78.873,3.311,0.451,0.09,5.529,8.84,0.534,0.405,1.154,0.484,0.186,0.143
Newtownards,8.678,71.039,1.708,18.575,52.497,2.841,20.416,0.578,15.792,0.524,1.96,5.392,69.366,5.603,5.283,0.344,0.058,0.061,2.987,16.299,1.048,0.333,0.088,0.51,0.245,94.761,3.014,28.991,38.681,13.429,3.994,11.714,0.796,1.555,0.84,7.321,15.611,12.155,6.31,4.854,12.219,10.277,7.487,5.232,18.533,18.854,6.202,12.944,5.698,13.353,22.409,2.007,18.534,38.689,5.021,2.497,19.996,3.606,4.011,5.613,2.034,18.533,18.534,9.835,11.941,12.472,14.115,13.217,19.885,51.577,48.423,44.365,31.118,15.958,6.396,2.164,88.997,4.124,1.031,0.228,0.84,2.613,0.177,0.344,1.072,0.371,0.061,0.143
Oldpark,63.277,26.22,2.425,8.078,24.058,43.978,16.791,0.626,4.515,1.735,0.716,7.581,40.463,32.301,2.961,0.227,0.125,0.076,5.001,18.846,6.273,3.092,0.6,5.365,1.24,79.229,4.201,16.703,25.966,23.232,15.224,14.962,0.795,2.061,1.057,3.729,9.406,8.789,4.355,3.808,11.761,12.821,15.804,6.233,23.295,26.237,5.543,11.513,4.532,11.464,15.88,1.537,23.294,32.144,3.473,3.027,11.309,4.614,6.32,11.734,4.084,23.294,23.293,11.222,14.913,13.256,12.083,12.182,13.05,51.718,48.282,42.923,26.499,16.249,10.32,4.009,88.272,2.393,0.594,0.07,1.193,3.362,0.178,1.47,1.898,0.375,0.082,0.114
Omagh,69.821,23.734,1.174,5.271,19.013,37.202,25.0,0.606,3.638,2.436,0.839,11.266,34.19,31.787,4.876,0.244,0.238,0.076,8.718,19.871,7.045,2.419,0.763,4.6,1.239,80.595,3.339,28.611,27.069,12.03,2.035,25.413,1.099,2.002,1.743,6.196,14.199,8.122,6.369,4.827,10.4,14.064,11.461,5.747,18.615,22.673,4.697,10.671,5.119,11.688,24.183,2.354,18.615,36.19,5.244,2.067,17.689,3.972,4.513,8.133,3.577,18.615,18.617,10.185,12.344,13.362,12.956,13.762,18.774,51.347,48.653,45.152,29.026,16.78,6.824,2.219,82.596,3.805,0.601,0.157,2.684,7.755,0.184,0.227,1.358,0.4,0.076,0.157
Ormiston,12.656,70.195,1.531,15.618,43.194,6.662,23.178,0.887,13.983,1.82,3.681,6.596,64.912,9.638,10.906,0.705,0.139,0.179,3.58,9.941,1.517,0.462,0.246,0.985,0.433,93.288,3.068,31.882,43.093,9.408,1.858,10.37,0.607,1.153,1.63,15.367,20.76,11.287,5.119,3.331,8.043,6.997,5.443,5.067,18.585,13.399,4.302,9.932,4.163,10.978,36.851,1.791,18.584,40.978,6.0,1.693,20.93,3.617,2.75,3.897,1.551,18.584,18.584,7.812,12.11,13.107,14.057,13.589,20.74,52.18,47.82,50.389,29.967,13.124,4.787,1.733,87.26,4.18,1.054,0.188,1.442,2.317,0.217,0.653,1.742,0.569,0.139,0.24
Portadown,37.068,51.822,1.503,9.606,37.226,18.335,15.59,0.355,8.58,1.06,0.832,18.022,46.362,17.658,3.441,0.328,0.137,0.061,14.988,17.026,4.115,1.68,0.407,3.207,0.86,86.081,3.651,28.364,33.554,8.75,2.557,23.228,1.148,1.795,0.604,5.61,12.173,8.048,7.134,5.488,9.324,17.245,8.197,5.057,21.724,23.954,4.996,10.445,5.087,10.903,20.452,2.439,21.724,39.455,5.898,2.178,14.642,3.477,3.854,5.922,2.849,21.724,21.724,10.074,13.239,13.907,12.99,11.921,16.145,50.035,49.965,49.414,29.499,13.652,5.713,1.722,79.223,2.785,0.553,0.146,1.069,11.675,0.34,1.297,2.257,0.316,0.231,0.109
Rowallane,34.501,54.044,0.819,10.636,40.782,15.593,24.087,0.88,9.746,1.733,2.363,4.816,56.577,16.012,7.599,0.391,0.094,0.151,2.472,16.704,2.674,0.956,0.226,1.86,0.645,90.306,3.333,34.873,38.343,7.119,1.742,13.936,1.012,1.709,1.266,9.195,17.001,10.179,9.75,4.473,9.12,8.908,7.006,5.325,19.044,16.464,4.892,11.398,6.088,13.404,26.944,1.766,19.044,38.145,8.202,1.813,19.124,3.757,3.475,4.331,2.109,19.044,19.044,9.76,11.718,11.568,13.842,14.256,19.812,51.257,48.743,49.75,29.765,14.054,5.061,1.37,89.75,4.011,0.998,0.184,1.257,2.053,0.174,0.334,0.574,0.414,0.071,0.179
Slieve Croob,67.303,26.544,0.454,5.7,21.858,38.442,27.029,0.809,4.535,2.296,1.412,3.619,38.056,35.554,6.195,0.224,0.238,0.056,1.651,18.025,5.994,2.516,0.622,4.69,1.099,81.694,3.385,35.127,43.216,3.488,1.898,12.039,1.295,1.763,1.174,7.229,14.771,8.772,12.489,4.447,8.571,8.37,7.275,5.915,22.163,15.944,4.32,10.829,6.999,13.751,24.584,1.412,22.162,35.732,10.888,1.828,14.568,3.932,3.698,5.091,2.104,22.16,22.163,10.572,11.007,13.022,14.135,12.807,16.295,50.068,49.932,53.481,27.952,12.409,4.517,1.641,91.499,3.596,0.697,0.098,1.538,1.333,0.108,0.262,0.29,0.407,0.028,0.145
Slieve Gullion,84.152,12.157,0.488,3.203,9.34,67.059,13.688,0.231,1.724,2.582,0.387,4.989,18.302,59.312,3.324,0.111,0.387,0.059,3.587,14.919,10.779,3.988,0.872,7.927,1.9,70.235,4.3,34.745,40.007,5.792,2.569,13.351,1.024,2.153,0.358,5.835,12.365,7.331,9.52,4.091,8.238,10.681,10.398,6.508,25.033,19.13,3.545,9.611,6.14,12.011,23.137,1.392,25.033,33.942,7.881,2.124,11.882,4.82,5.38,5.884,3.051,25.036,25.033,11.152,11.835,13.897,12.762,11.357,13.962,50.285,49.715,56.448,25.45,11.552,4.804,1.747,85.041,3.145,0.41,0.078,7.026,3.061,0.068,0.166,0.329,0.475,0.046,0.156
Sperrin,72.743,24.09,0.534,2.633,19.03,50.39,21.405,0.405,3.16,2.274,0.485,2.852,29.709,45.016,3.414,0.178,0.15,0.065,1.185,20.283,6.4,2.346,0.578,5.255,1.339,80.368,3.714,35.655,34.219,10.445,2.006,13.968,1.023,2.136,0.546,5.336,12.415,7.694,9.648,3.985,10.049,11.663,12.702,5.599,20.91,25.121,4.814,10.283,4.883,11.994,20.595,1.4,20.91,33.835,7.752,2.816,15.241,4.001,4.859,7.578,3.006,20.913,20.91,10.522,11.61,12.379,14.122,13.062,17.395,50.663,49.337,49.947,26.667,14.608,6.343,2.435,88.968,3.038,1.011,0.065,5.04,1.096,0.085,0.125,0.19,0.279,0.016,0.085
The Glens,68.336,26.2,0.458,5.007,21.948,41.813,24.19,0.606,4.188,2.489,1.053,3.713,34.651,36.843,5.768,0.2,0.166,0.092,1.305,20.976,7.724,3.01,0.652,6.134,1.316,77.805,3.359,38.531,34.274,7.055,2.546,13.275,1.196,2.043,1.081,6.785,15.023,7.838,13.043,4.416,8.518,9.76,9.296,5.515,19.805,19.007,4.354,10.905,5.968,13.102,25.295,1.562,19.808,32.5,10.768,1.974,18.373,3.879,4.646,5.602,2.449,19.809,19.809,9.595,11.066,12.165,13.761,13.761,19.843,49.78,50.22,49.608,29.099,14.592,5.15,1.551,89.918,4.87,1.31,0.086,1.614,0.927,0.143,0.292,0.332,0.343,0.029,0.137
The Moor,91.114,5.137,1.074,2.674,4.91,75.035,13.709,0.274,0.724,2.09,0.327,2.931,14.573,63.765,1.979,0.128,0.245,0.041,1.501,17.767,7.467,2.995,0.718,6.008,1.465,78.036,3.31,19.206,24.658,25.196,12.609,14.256,1.354,2.323,0.397,4.455,10.089,8.034,5.149,3.918,11.519,12.85,18.373,5.552,20.061,28.357,4.595,10.696,4.093,11.706,19.238,1.255,20.061,30.609,3.976,3.906,12.669,4.145,6.358,13.597,4.682,20.06,20.061,10.509,13.872,12.751,12.588,15.081,15.139,51.174,48.826,44.261,25.508,16.207,10.089,3.935,91.167,2.493,0.689,0.058,3.024,0.893,0.187,0.199,0.741,0.432,0.047,0.07
The Mournes,57.7,35.808,0.665,5.827,26.759,34.271,22.485,0.801,6.234,2.232,1.202,6.016,41.781,31.586,5.791,0.315,0.361,0.083,3.05,17.033,6.4,3.241,0.656,4.549,1.328,79.879,3.947,36.498,36.128,4.787,2.496,15.69,1.202,1.973,1.225,6.129,14.026,7.238,12.053,4.546,9.871,10.871,8.337,5.291,21.638,18.458,4.367,10.261,7.334,12.932,23.216,1.795,21.637,32.775,9.949,1.953,17.124,3.986,4.42,5.691,2.463,21.637,21.637,9.936,11.85,12.327,12.664,12.568,19.018,50.553,49.447,52.061,27.59,13.181,5.394,1.775,88.385,4.414,0.758,0.169,2.132,2.52,0.192,0.245,0.401,0.473,0.063,0.248
Three Mile Water,13.727,69.709,1.491,15.073,48.949,6.372,20.616,0.581,14.932,1.085,2.285,5.181,69.652,8.506,7.048,0.479,0.16,0.073,2.943,11.139,1.38,0.533,0.174,0.876,0.266,93.793,2.978,31.085,45.65,9.301,1.709,8.609,0.581,1.114,1.951,11.496,17.132,11.418,5.341,3.995,10.242,8.895,5.917,6.644,18.919,15.722,5.394,11.272,4.842,13.693,28.383,1.777,18.917,41.118,4.915,2.247,18.888,4.309,3.263,4.576,1.767,18.917,18.917,10.599,11.868,12.681,14.129,13.175,18.632,51.339,48.661,49.291,30.465,12.952,5.471,1.821,89.546,3.607,0.867,0.145,1.089,1.869,0.208,0.499,1.559,0.387,0.087,0.136
Titanic,21.912,54.742,4.172,19.174,40.059,12.181,17.28,0.565,9.806,1.47,1.954,16.685,54.917,11.575,4.471,0.628,0.169,0.075,12.796,15.37,2.688,0.999,0.316,2.118,0.767,89.561,3.552,13.784,23.673,17.687,13.302,27.936,1.246,1.675,0.698,8.391,14.194,9.41,4.651,4.275,11.512,13.043,10.775,5.008,18.74,21.931,5.072,10.127,4.698,10.93,26.574,1.93,18.739,41.944,4.623,3.211,11.342,3.391,4.676,8.621,3.452,18.739,18.739,9.822,20.544,15.691,12.051,10.971,12.181,50.969,49.031,43.726,29.795,15.586,8.155,2.738,77.878,4.142,1.058,0.147,1.282,9.183,0.363,1.772,2.901,0.642,0.396,0.238
Torrent,78.659,18.305,0.308,2.728,13.358,53.736,19.787,0.382,2.876,2.485,0.639,6.738,27.502,43.84,4.709,0.217,0.226,0.056,5.456,17.993,9.878,4.062,1.168,9.309,1.859,69.424,4.3,33.11,40.934,4.696,2.276,15.039,0.908,2.202,0.834,6.056,12.619,6.868,10.626,4.639,8.193,11.829,9.683,6.203,23.284,20.388,4.01,10.413,5.604,12.355,22.494,1.451,23.285,36.993,9.006,1.638,11.504,4.001,4.683,6.191,2.698,23.286,23.284,11.169,13.141,13.658,13.532,11.06,14.157,49.965,50.035,53.543,26.93,12.65,5.074,1.803,90.053,2.267,0.365,0.083,1.555,4.426,0.165,0.152,0.361,0.391,0.074,0.109
Waterside,50.291,41.615,1.987,6.108,30.185,35.646,18.531,0.761,5.991,1.973,1.074,5.839,42.685,33.386,4.203,0.238,0.248,0.083,3.277,15.881,4.431,1.649,0.468,3.34,1.043,85.285,3.784,24.978,37.621,11.11,3.112,19.167,0.895,1.394,1.721,7.819,15.5,9.915,5.564,3.904,10.538,10.015,10.28,5.391,21.073,19.26,4.49,10.473,3.994,12.488,26.6,1.622,21.074,37.905,5.123,2.723,15.363,3.749,4.104,7.217,2.741,21.075,21.074,9.162,13.307,14.367,13.947,12.012,16.13,51.307,48.693,49.718,28.054,13.886,6.263,2.08,84.802,4.652,1.047,0.114,3.674,1.939,0.148,0.53,2.534,0.355,0.09,0.117
West Tyrone,66.416,30.362,0.693,2.53,21.851,41.77,24.544,0.385,4.915,2.156,0.632,3.746,34.96,37.322,4.735,0.193,0.187,0.108,1.982,20.513,7.252,3.252,0.825,4.903,1.301,78.57,3.897,43.275,37.048,4.053,0.313,11.161,0.879,2.68,0.59,6.583,13.883,7.613,13.467,3.933,8.053,9.384,8.504,5.878,22.701,20.069,4.035,10.275,5.198,11.769,24.646,1.307,22.701,34.576,11.576,1.385,14.31,3.891,4.017,5.071,2.475,22.699,22.701,10.046,11.149,12.751,13.546,12.624,17.184,49.16,50.84,54.906,26.254,12.835,4.493,1.512,91.332,2.945,0.56,0.048,2.349,1.662,0.181,0.199,0.163,0.337,0.024,0.199
