SA2011,nat_2001,nat_2023,nat_2001_on2021demog,pop,change,swing_political,swing_demographic,label,dea
N00000098,15.41092592026412,21.699416410102074,19.511450775688896,386.9999726285788,6.2884904898379546,2.187965634413178,4.100524855424776,Antrim_B2,ANTRIM
N00000099,71.3092997200185,32.788736662189166,32.28440575517622,294.9999591341575,-38.520563057829335,0.5043309070129425,-39.02489396484228,Antrim_D3,ANTRIM
N00000100,61.180603613702594,63.071576193975766,62.28017905006594,333.99989156880275,1.8909725802731714,0.7913971439098262,1.0995754363633452,Antrim_G1,ANTRIM
N00000101,26.3088331328717,40.753500173061745,50.27944418761157,362.99990544959945,14.444667040190044,-9.525944014549822,23.970611054739866,Antrim_A3,ANTRIM
N00000102,17.020357401496543,38.678426204016404,46.589191664934326,356.9998842572438,21.65806880251986,-7.910765460917922,29.568834263437783,Antrim_A3,ANTRIM
N00000103,37.05319264339103,36.7575962914288,37.25291900219423,402.9999736012729,-0.29559635196223155,-0.49532271076543566,0.1997263588032041,Antrim_B1,ANTRIM
N00000104,32.257129913506496,43.69302238622828,49.606520536911326,333.9999106185717,11.435892472721783,-5.913498150683047,17.34939062340483,Antrim_A1,ANTRIM
N00000105,14.923366117985234,11.522784067266857,13.269510033812404,332.9998702078072,-3.400582050718377,-1.7467259665455472,-1.6538560841728298,Antrim_D4,ANTRIM
N00000106,25.440050281029478,15.63323287677387,16.24675392137785,216.9999173007452,-9.806817404255607,-0.6135210446039778,-9.19329635965163,Antrim_E1,ANTRIM
N00000107,24.367644706256073,16.51350545182955,18.12379248831316,278.9999461169418,-7.854139254426524,-1.6102870364836122,-6.243852217942912,Antrim_E1,ANTRIM
N00000108,14.94708445061515,17.30616671766774,15.977794827761896,243.99990976145384,2.359082267052589,1.3283718899058439,1.030710377146745,Antrim_D3,ANTRIM
N00000109,20.508794040267844,17.70799934605453,15.120164849113504,321.99992441372297,-2.8007946942133124,2.587834496941028,-5.38862919115434,Antrim_D2,ANTRIM
N00000110,14.942707103984459,17.646482144888623,16.49938430239575,266.999892400551,2.703775040904164,1.1470978424928724,1.5566771984112915,Antrim_E1,ANTRIM
N00000111,13.119093660424992,26.018035762260347,23.976506404981816,390.99988874847736,12.898942101835354,2.041529357278531,10.857412744556823,Antrim_J3,ANTRIM
N00000112,24.757878364129198,25.114917658490253,23.849701816489493,453.9998851288064,0.35703929436105497,1.2652158420007602,-0.9081765476397052,Antrim_E4,ANTRIM
N00000113,38.323645452115926,35.26686037370723,22.934822323895855,338.99992721529566,-3.0567850784086943,12.332038049811377,-15.388823128220071,Antrim_F3,ANTRIM
N00000114,13.418312948181825,20.69989336938125,18.955911948866223,350.9998758462306,7.2815804211994255,1.743981420515027,5.5375990006843985,Antrim_J2,ANTRIM
N00000115,39.63828517951667,39.56916021983224,37.55356178198301,329.9999255546605,-0.06912495968443011,2.015598437849235,-2.084723397533665,Antrim_E2,ANTRIM
N00000116,32.122816404226974,31.745802706598163,33.22319766639896,322.9999112455547,-0.37701369762881143,-1.4773949598007974,1.100381262171986,Antrim_E2,ANTRIM
N00000117,51.310286035715265,31.41361132758648,31.50876862711344,216.9999396294749,-19.896674708128785,-0.09515729952696006,-19.801517408601825,Antrim_E2,ANTRIM
N00000118,6.295936473140282,14.710540010125106,6.145921335405079,325.9999772333119,8.414603536984824,8.564618674720027,-0.15001513773520259,Airport_B1,AIRPORT
N00000119,5.218912561397361,9.21953864758598,5.845372812273742,335.99995038824244,4.0006260861886185,3.3741658353122377,0.6264602508763808,Airport_A3,AIRPORT
N00000120,5.843603074581761,10.95901628455799,4.501602314227548,349.99999103108144,5.115413209976229,6.457413970330442,-1.342000760354213,Airport_C1,AIRPORT
N00000121,6.644591473702237,13.521473563370337,5.788914538652805,301.9999605412526,6.876882089668101,7.732559024717532,-0.8556769350494315,Airport_B1,AIRPORT
N00000122,6.55119687248016,10.884436462515655,4.925156370477931,354.99998811052745,4.333239590035495,5.959280092037724,-1.6260405020022288,Airport_B1,AIRPORT
N00000123,11.174839844869902,10.313250630267618,5.764867861294965,360.9999648101984,-0.8615892146022848,4.548382768972653,-5.409971983574938,Airport_B1,AIRPORT
N00000124,8.227119676636065,11.271709037053652,5.572893093453103,356.99998487591904,3.0445893604175875,5.698815943600549,-2.654226583182962,Airport_B1,AIRPORT
N00000125,85.6761588484053,92.19716227768672,88.22690621086007,416.9999867210448,6.521003429281421,3.97025606682665,2.5507473624547714,Dunsilly_C1,DUNSILLY
N00000126,89.74624720090834,93.85558851891822,88.44875751411054,462.999984531686,4.109341318009882,5.406831004807685,-1.2974896867978032,Dunsilly_C1,DUNSILLY
N00000127,91.60049416261411,91.71126655212187,88.57817271525468,369.99998388355925,0.11077238950775836,3.1330938368671895,-3.022321447359431,Dunsilly_C4,DUNSILLY
N00000128,91.3302006142768,89.98041973222254,86.38283139479437,953.003286771288,-1.3497808820542616,3.597588337428178,-4.9473692194824395,Dunsilly_F7,DUNSILLY
N00000129,82.17531853829024,95.14012912185233,87.8016274205275,361.9999532458553,12.964810583562084,7.33850170132483,5.626308882237254,Dunsilly_C2,DUNSILLY
N00000130,0.0,0.0,0.0,427.99994965651064,0.0,0.0,0.0,Comber_F2,COMBER
N00000131,0.0,0.00011286892220158195,7.942486080690266e-05,434.99998271214605,0.00011286892220158195,3.3444061394679285e-05,7.942486080690266e-05,Comber_E3,COMBER
N00000132,0.0004201431610554946,0.0009525789537689656,0.0009616798227420864,395.00315759435193,0.000532435792713471,-9.100868973120732e-06,0.0005415366616865917,Comber_H2,COMBER
N00000133,0.0,0.0,0.0,341.999972237319,0.0,0.0,0.0,Comber_H2,COMBER
N00000134,0.0,0.0,0.0,343.99992008941086,0.0,0.0,0.0,Comber_E2,COMBER
N00000135,0.0,0.0,0.0,350.9999720661483,0.0,0.0,0.0,Comber_E2,COMBER
N00000136,0.0,0.0,0.0,393.9999113369771,0.0,0.0,0.0,Comber_H2,COMBER
N00000137,0.0,0.0,0.0,337.9999140267706,0.0,0.0,0.0,Comber_G2,COMBER
N00000138,0.0,0.0,0.0,373.9999070496431,0.0,0.0,0.0,Comber_G5,COMBER
N00000139,0.0,0.0,0.0,303.99997301076735,0.0,0.0,0.0,Newtownards_N3,NEWTOWNARDS
N00000140,0.0,0.0,0.0,408.9999647940942,0.0,0.0,0.0,Newtownards_N3,NEWTOWNARDS
N00000141,0.0,0.0,0.0,442.99976291530436,0.0,0.0,0.0,Newtownards_P1,NEWTOWNARDS
N00000142,0.0,0.0,0.0,236.99991026994928,0.0,0.0,0.0,Newtownards_P2,NEWTOWNARDS
N00000143,0.0,0.0,0.0,213.99993687867843,0.0,0.0,0.0,Newtownards_P4,NEWTOWNARDS
N00000144,0.0,0.0,0.0,226.999945189902,0.0,0.0,0.0,Newtownards_P4,NEWTOWNARDS
N00000145,0.0,0.0,0.0,159.9999463356873,0.0,0.0,0.0,Newtownards_P4,NEWTOWNARDS
N00000146,0.0,0.0,6.594943456653975e-05,279.9999901852779,0.0,-6.594943456653975e-05,6.594943456653975e-05,Newtownards_N2,NEWTOWNARDS
N00000147,0.0,0.0,0.0,211.99992146189692,0.0,0.0,0.0,Newtownards_P1,NEWTOWNARDS
N00000148,1.5923069194498585,9.099709917313424,2.7328163193995083,308.9999776836795,7.507402997863566,6.366893597913916,1.14050939994965,Ards_Peninsula_F2,ARDS PENINSULA
N00000149,1.5312420327680218,8.88011970867773,2.3701366304191755,275.99996942134186,7.3488776759097085,6.509983078258555,0.8388945976511533,Ards_Peninsula_D6,ARDS PENINSULA
N00000150,1.0604109355099784,7.828219961628483,2.2319087969653815,320.9999624011306,6.767809026118504,5.596311164663102,1.1714978614554026,Ards_Peninsula_D6,ARDS PENINSULA
N00000151,1.5862974357564563,8.525314350588202,2.451298106598725,317.9998895621635,6.939016914831745,6.074016243989477,0.8650006708422682,Ards_Peninsula_E4,ARDS PENINSULA
N00000152,2.5510959292710162,9.414200795151256,2.3051107614947406,293.9999292225035,6.86310486588024,7.109090033656516,-0.24598516777627566,Ards_Peninsula_D6,ARDS PENINSULA
N00000153,1.968709590105288,10.670296474999514,2.973342818525562,262.99992801541606,8.701586884894226,7.696953656473951,1.0046332284202748,Ards_Peninsula_F1,ARDS PENINSULA
N00000154,1.4986504350219805,8.214645875977036,2.4160218084615184,289.9999358338136,6.715995440955055,5.798624067515517,0.9173713734395381,Ards_Peninsula_D7,ARDS PENINSULA
N00000155,1.8177933809155042,9.682365207463938,2.8264940795896725,319.999987468364,7.864571826548434,6.855871127874266,1.0087006986741676,Ards_Peninsula_D6,ARDS PENINSULA
