year,date,body,byelection,contest,area,council,name,party,tier,votes,valid,seats,share,quotas,elected
1974,1974-10-10,Westminster,False,1974 UK general election in Northern Ireland,Fermanagh and South Tyrone,,Frank Maguire,Independent Nationalist,A,32795.0,63265.0,1,51.83750889117206,1.0367501778234411,True
1974,1974-10-10,Westminster,False,1974 UK general election in Northern Ireland,Londonderry,,Richard Foster,Independent,A,846.0,64632.0,1,1.3089491273672484,0.026178982547344968,False
1979,1979-05-03,Westminster,False,1979 UK general election in Northern Ireland,Belfast South,,Jeffrey Dudgeon,Independent Unionist,A,692.0,46790.0,1,1.4789484932677923,0.029578969865355846,False
1979,1979-05-03,Westminster,False,1979 UK general election in Northern Ireland,Fermanagh and South Tyrone,,Frank Maguire,Independent Nationalist,A,22398.0,62271.0,1,35.96858890976538,0.7193717781953076,True
1979,1979-05-03,Westminster,False,1979 UK general election in Northern Ireland,Fermanagh and South Tyrone,,Austin Currie,Independent Nationalist,A,10785.0,62271.0,1,17.319458495929084,0.34638916991858165,False
1979,1979-05-03,Westminster,False,1979 UK general election in Northern Ireland,South Down,,Francis Rice,Independent,A,216.0,64476.0,1,0.33500837520938026,0.006700167504187605,False
1979,1979-05-03,Westminster,False,1979 UK general election in Northern Ireland,South Down,,Peter Courtney,Independent Other,A,31.0,64476.0,1,0.04807990570134624,0.0009615981140269248,False
1981,1981-04-09,Westminster,True,1981 Fermanagh and South Tyrone by-election,Fermanagh and South Tyrone,,Bobby Sands,Anti H-Block,B,30493.0,59539.0,1,51.21516988864442,1.0243033977728884,True
1981,1981-08-20,Westminster,True,1981 Fermanagh and South Tyrone by-election,Fermanagh and South Tyrone,,Owen Carron,Anti H-Block,B,31278.0,63727.0,1,49.08123715222747,0.9816247430445495,True
1981,1981-08-20,Westminster,True,1981 Fermanagh and South Tyrone by-election,Fermanagh and South Tyrone,,Martin Green,Independent Other,A,249.0,63727.0,1,0.3907292042619298,0.007814584085238597,False
1981,1981-08-20,Westminster,True,1981 Fermanagh and South Tyrone by-election,Fermanagh and South Tyrone,,Simon Hall-Raleigh,Independent Other,A,90.0,63727.0,1,0.14122742322720355,0.0028245484645440713,False
1982,1982-03-04,Westminster,True,1982 Belfast South by-election,Belfast South,,Jagat Narain,Independent Other,A,137.0,43534.0,1,0.31469655901134747,0.00629393118022695,False
1982,1982-03-04,Westminster,True,1982 Belfast South by-election,Belfast South,,Simon Hall-Raleigh,Independent Other,A,12.0,43534.0,1,0.02756466210318372,0.0005512932420636743,False
1983,1983-06-09,Westminster,False,1983 UK general election in Northern Ireland,Belfast East,,Herbert Boyd,Independent,A,59.0,38911.0,1,0.1516280743234561,0.003032561486469122,False
1983,1983-06-09,Westminster,False,1983 UK general election in Northern Ireland,Belfast North,,William Gault,Independent Unionist,A,1134.0,42419.0,1,2.673330347250053,0.05346660694500106,False
1983,1983-06-09,Westminster,False,1983 UK general election in Northern Ireland,Belfast West,,Gerry Fitt,Independent Other,A,10326.0,44366.0,1,23.274579633052337,0.4654915926610467,False
1983,1983-06-09,Westminster,False,1983 UK general election in Northern Ireland,East Antrim,,William Cunning,Independent,A,741.0,38208.0,1,1.9393844221105527,0.03878768844221105,False
1983,1983-06-09,Westminster,False,1983 UK general election in Northern Ireland,Strangford,,Samuel Heath,Independent Other,A,430.0,39116.0,1,1.0992944063810206,0.021985888127620413,False
1986,1986-01-23,Westminster,False,1986 UK general election in Northern Ireland,East Londonderry,,Wesley Williamson,Independent Other,A,2001.0,32923.0,1,6.07781793882696,0.1215563587765392,False
1986,1986-01-23,Westminster,False,1986 UK general election in Northern Ireland,North Antrim,,Wesley Williamson,Independent Other,A,913.0,34850.0,1,2.619799139167862,0.05239598278335724,False
1986,1986-01-23,Westminster,False,1986 UK general election in Northern Ireland,South Antrim,,Wesley Williamson,Independent Other,A,1870.0,31957.0,1,5.851613105109991,0.11703226210219983,False
1986,1986-01-23,Westminster,False,1986 UK general election in Northern Ireland,Strangford,,Wesley Williamson,Independent Other,A,1993.0,34620.0,1,5.756787983824379,0.11513575967648759,False
1987,1987-06-11,Westminster,False,1987 UK general election in Northern Ireland,Belfast North,,George Seawright,Independent Unionist,A,5671.0,36816.0,1,15.403628857018688,0.3080725771403738,False
1987,1987-06-11,Westminster,False,1987 UK general election in Northern Ireland,North Down,,Robert McCartney,Independent Unionist,A,14467.0,40819.0,1,35.441828560229304,0.7088365712045861,False
1990,1990-05-17,Westminster,True,1990 Upper Bann by-election,Upper Bann,,Erskine Holmes,Independent Other,A,235.0,35446.0,1,0.6629803080742538,0.013259606161485075,False
1992,1992-04-09,Westminster,False,1992 UK general election in Northern Ireland,Fermanagh and South Tyrone,,Davy Kettyles,Independent Nationalist,A,1094.0,55128.0,1,1.984472500362792,0.03968945000725584,False
1992,1992-04-09,Westminster,False,1992 UK general election in Northern Ireland,Mid Ulster,,Johnny McLaughlin,Independent,A,1996.0,54763.0,1,3.6447966692840055,0.07289593338568011,False
1992,1992-04-09,Westminster,False,1992 UK general election in Northern Ireland,South Antrim,,Denis Martin,Independent,A,442.0,42239.0,1,1.0464262885011482,0.020928525770022962,False
1995,1995-06-15,Westminster,True,1995 North Down by-election,North Down,,Alan Chambers,Independent Unionist,A,2170.0,27388.0,1,7.923178034175551,0.15846356068351103,False
1995,1995-06-15,Westminster,True,1995 North Down by-election,North Down,,Michael Brooks,Independent Unionist,A,108.0,27388.0,1,0.3943332846502118,0.007886665693004235,False
1995,1995-06-15,Westminster,True,1995 North Down by-election,North Down,,Chris Carter,Independent Unionist,A,101.0,27388.0,1,0.3687746458302906,0.007375492916605813,False
1997,1997-05-01,Westminster,False,1997 UK general election in Northern Ireland,Belfast East,,Derek Dougan,Independent,A,541.0,39029.0,1,1.386148761177586,0.02772297522355172,False
1997,1997-05-01,Westminster,False,1997 UK general election in Northern Ireland,Belfast South,,Niall Cusack,Independent Other,A,292.0,39484.0,1,0.7395400668625266,0.014790801337250532,False
1997,1997-05-01,Westminster,False,1997 UK general election in Northern Ireland,Belfast West,,Liam Kennedy,Independent,A,102.0,45885.0,1,0.22229486760379208,0.0044458973520758414,False
1997,1997-05-01,Westminster,False,1997 UK general election in Northern Ireland,East Antrim,,Lindsay Mason,Independent Unionist,A,1145.0,34347.0,1,3.333624479576091,0.06667248959152182,False
1997,1997-05-01,Westminster,False,1997 UK general election in Northern Ireland,North Down,,Robert Mooney,Independent - Northern Ireland independence,A,57.0,36556.0,1,0.15592515592515593,0.0031185031185031187,False
2001,2001-06-07,Westminster,False,2001 UK general election in Northern Ireland,East Antrim,,Lindsay Mason,Independent Unionist,A,1092.0,36000.0,1,3.033333333333333,0.06066666666666667,False
2001,2001-06-07,Westminster,False,2001 UK general election in Northern Ireland,Fermanagh and South Tyrone,,Jim Dixon,Independent,A,6843.0,51974.0,1,13.166198483857313,0.2633239696771463,False
2001,2001-06-07,Westminster,False,2001 UK general election in Northern Ireland,North Down,,Chris Carter,Independent Unionist,A,444.0,37189.0,1,1.1939014224636317,0.023878028449272636,False
2005,2005-05-05,Westminster,False,2005 UK general election in Northern Ireland,Belfast West,,Liam Kennedy,Independent,A,147.0,34545.0,1,0.425531914893617,0.00851063829787234,False
2005,2005-05-05,Westminster,False,2005 UK general election in Northern Ireland,East Londonderry,,Malcolm Samuel,Independent Other,A,71.0,35504.0,1,0.19997746732762506,0.003999549346552501,False
2005,2005-05-05,Westminster,False,2005 UK general election in Northern Ireland,Newry and Armagh,,Gerry Markey,Independent,A,625.0,50696.0,1,1.2328388827520909,0.024656777655041817,False
2005,2005-05-05,Westminster,False,2005 UK general election in Northern Ireland,North Down,,Chris Carter,Independent Unionist,A,211.0,32290.0,1,0.6534530814493651,0.013069061628987301,False
2005,2005-05-05,Westminster,False,2005 UK general election in Northern Ireland,West Tyrone,,Kieran Deeny,Independent Other,A,11905.0,43487.0,1,27.37599742451767,0.5475199484903535,False
2010,2010-05-06,Westminster,False,2010 UK general election in Northern Ireland,Belfast North,,Martin McAuley,Independent Nationalist,A,403.0,36993.0,1,1.0893952910010003,0.021787905820020007,False
2010,2010-05-06,Westminster,False,2010 UK general election in Northern Ireland,Fermanagh and South Tyrone,,Rodney Connor,Independent Unionist,A,21300.0,46803.0,1,45.509903211332606,0.9101980642266522,False
2010,2010-05-06,Westminster,False,2010 UK general election in Northern Ireland,Fermanagh and South Tyrone,,John Stevenson,Independent,A,188.0,46803.0,1,0.4016836527573019,0.008033673055146039,False
2010,2010-05-06,Westminster,False,2010 UK general election in Northern Ireland,Newry and Armagh,,Willie Frazer,Independent Unionist,A,656.0,44906.0,1,1.460829287845722,0.02921658575691444,False
2010,2010-05-06,Westminster,False,2010 UK general election in Northern Ireland,Newry and Armagh,,Willie Frazer,Independent Unionist,A,656.0,44906.0,1,1.460829287845722,0.02921658575691444,False
2010,2010-05-06,Westminster,False,2010 UK general election in Northern Ireland,North Antrim,,Lyle Cubitt,Independent Unionist,A,606.0,42397.0,1,1.4293464160200013,0.028586928320400027,False
2010,2010-05-06,Westminster,False,2010 UK general election in Northern Ireland,North Down,,Sylvia Hermon,Independent Unionist,A,21181.0,33481.0,1,63.262746035064666,1.2652549207012933,True
2010,2010-05-06,Westminster,False,2010 UK general election in Northern Ireland,West Tyrone,,Ciaran McClean,Independent Other,A,508.0,37275.0,1,1.362843729040912,0.02725687458081824,False
2013,2013-03-07,Westminster,True,2013 Mid Ulster by-election,Mid Ulster,,Nigel Lutton,Independent Unionist,A,12781.0,37208.0,1,34.35013975489142,0.6870027950978285,False
2015,2015-05-07,Westminster,False,2015 UK general election in Northern Ireland,Belfast North,,Fra Hughes,Independent Nationalist,A,529.0,40593.0,1,1.3031803512920948,0.026063607025841894,False
2015,2015-05-07,Westminster,False,2015 UK general election in Northern Ireland,Lagan Valley,,Jonny Orr,Independent Other,A,756.0,39795.0,1,1.8997361477572559,0.03799472295514512,False
2015,2015-05-07,Westminster,False,2015 UK general election in Northern Ireland,North Antrim,,Thomas Palmer,Independent Unionist,A,57.0,41907.0,1,0.136015462810509,0.00272030925621018,False
2015,2015-05-07,Westminster,False,2015 UK general election in Northern Ireland,North Down,,Sylvia Hermon,Independent Unionist,A,17689.0,35947.0,1,49.20855704231229,0.9841711408462459,True
2015,2015-05-07,Westminster,False,2015 UK general election in Northern Ireland,West Tyrone,,Susan-Anne White,Independent Other,A,166.0,38654.0,1,0.4294510270605888,0.008589020541211776,False
2017,2017-06-08,Westminster,False,2017 UK general election in Northern Ireland,Belfast East,,Bobby Beck,Independent,A,54.0,42890.0,1,0.12590347400326415,0.002518069480065283,False
2017,2017-06-08,Westminster,False,2017 UK general election in Northern Ireland,Lagan Valley,,Jonny Orr,Independent Other,A,222.0,44926.0,1,0.4941459288607933,0.009882918577215866,False
2017,2017-06-08,Westminster,False,2017 UK general election in Northern Ireland,North Down,,Sylvia Hermon,Independent Unionist,A,16148.0,39185.0,1,41.20964654842414,0.8241929309684828,True
2017,2017-06-08,Westminster,False,2017 UK general election in Northern Ireland,North Down,,Gavan Reynolds,Independent,A,37.0,39185.0,1,0.09442388669133597,0.0018884777338267194,False
2019,2019-12-12,Westminster,False,2019 UK general election in Northern Ireland,Fermanagh and South Tyrone,,Caroline Wheeler,Independent Other,A,751.0,50762.0,1,1.4794531342342698,0.029589062684685398,False
2019,2019-12-12,Westminster,False,2019 UK general election in Northern Ireland,Mid Ulster,,Conor Rafferty,Independent Nationalist,A,690.0,44620.0,1,1.5463917525773196,0.030927835051546393,False
2019,2019-12-12,Westminster,False,2019 UK general election in Northern Ireland,North Antrim,,Thomas Palmer,Independent Unionist,A,246.0,44051.0,1,0.5584436221652176,0.011168872443304351,False
2024,2024-07-04,Westminster,False,2024 UK general election in Northern Ireland,Belfast East,,Ryan North,Independent,A,162.0,42706.0,1,0.3793377979674987,0.007586755959349974,False
2024,2024-07-04,Westminster,False,2024 UK general election in Northern Ireland,Belfast West,,Tony Mallon,Independent Other,A,161.0,39743.0,1,0.4051027853961704,0.008102055707923408,False
2024,2024-07-04,Westminster,False,2024 UK general election in Northern Ireland,Foyle,,Anne McCloskey,Independent Nationalist,A,1519.0,38358.0,1,3.9600604828197508,0.07920120965639502,False
2024,2024-07-04,Westminster,False,2024 UK general election in Northern Ireland,Mid Ulster,,John Kelly,Independent,A,181.0,45445.0,1,0.3982836395643085,0.00796567279128617,False
2024,2024-07-04,Westminster,False,2024 UK general election in Northern Ireland,North Antrim,,Tristan Morrow,Independent Other,A,136.0,41185.0,1,0.330217312128202,0.00660434624256404,False
2024,2024-07-04,Westminster,False,2024 UK general election in Northern Ireland,North Down,,Alex Easton,Independent Unionist,A,20913.0,43296.0,1,48.30238359201774,0.9660476718403548,True
2024,2024-07-04,Westminster,False,2024 UK general election in Northern Ireland,North Down,,Chris Carter,Independent Unionist,A,117.0,43296.0,1,0.27023281596452325,0.0054046563192904655,False
2024,2024-07-04,Westminster,False,2024 UK general election in Northern Ireland,Strangford,,Garreth Falls,Independent,A,256.0,38909.0,1,0.6579454624893983,0.013158909249787966,False
2024,2024-07-04,Westminster,False,2024 UK general election in Northern Ireland,Strangford,,Gareth Burns,Independent Other,A,157.0,38909.0,1,0.40350561566732634,0.008070112313346527,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Antrim Area A,Antrim,Hugh O'Donnell,Independent,A,645.0,4621.0,5,13.958017745076823,0.8374810647046094,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Antrim Area A,Antrim,John Heffron,Independent,A,584.0,4621.0,5,12.637957152131573,0.7582774291278943,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Antrim Area A,Antrim,R. C. Rainey,Independent,A,407.0,4621.0,5,8.807617398831422,0.5284570439298854,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Antrim Area A,Antrim,James Totten,Independent,A,392.0,4621.0,5,8.483012334992425,0.5089807400995455,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Antrim Area C corrected,Antrim,Thomas Simpson,Independent,A,397.0,5434.0,5,7.305852042694148,0.4383511225616488,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Antrim Area C corrected,Antrim,Peter Neish,Independent,A,238.0,5434.0,5,4.37983069562017,0.26278984173721015,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ards Area C,Ards,James Caughey,Independent,A,895.0,5516.0,4,16.22552574329224,0.811276287164612,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Armagh Area A,Armagh,D. Magee,Independent,A,483.0,4334.0,4,11.14443931702815,0.5572219658514075,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Armagh Area A,Armagh,P. Fox,Independent,A,24.0,4334.0,4,0.5537609598523304,0.027688047992616524,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Armagh Area B,Armagh,Robert Newell,Independent,A,97.0,7437.0,6,1.3042893639908566,0.09130025547935997,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Armagh Area C,Armagh,E. Conroy,Independent,A,489.0,5439.0,5,8.990623276337562,0.5394373965802537,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Armagh Area D,Armagh,Patrick Agnew,Unity (Northern Ireland),B,153.0,5720.0,5,2.674825174825175,0.1604895104895105,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Armagh Area D,Armagh,G. R. Mackey,Independent,A,37.0,5720.0,5,0.6468531468531469,0.038811188811188814,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymena Area A,Ballymena,Clifford Davison,Independent,A,894.0,6232.0,6,14.345314505776637,1.0041720154043645,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymena Area A,Ballymena,J. J. O'Hagan,Independent,A,773.0,6232.0,6,12.40372272143774,0.8682605905006417,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymena Area B,Ballymena,A. Simpson,Independent,A,1390.0,6232.0,6,22.30423620025674,1.5612965340179716,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymena Area B,Ballymena,Hugh Simpson,Independent,A,467.0,6232.0,6,7.493581514762516,0.5245507060333761,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymena Area B,Ballymena,Thomas Smyth,Independent,A,376.0,6232.0,6,6.033376123234916,0.4223363286264441,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymena Area B,Ballymena,W. R. McNeilly,Independent,A,235.0,6232.0,6,3.770860077021823,0.2639602053915276,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymena Area C,Ballymena,William Simpson,Independent,A,212.0,5662.0,5,3.7442599788060758,0.22465559872836455,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymena Area C,Ballymena,Robert McCosh,Independent,A,193.0,5662.0,5,3.408689509007418,0.20452137054044506,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymena Area C,Ballymena,J. Montgomery,Independent,A,144.0,5662.0,5,2.5432709290003532,0.1525962557400212,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymena Area D,Ballymena,Patrick Burke,Independent,A,782.0,6753.0,6,11.580038501406783,0.8106026950984747,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymoney Area A,Ballymoney,Kenneth Bamford,Independent,A,453.0,2005.0,4,22.59351620947631,1.1296758104738154,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymoney Area A,Ballymoney,T. L. McElderry,Independent,A,207.0,2005.0,4,10.324189526184538,0.516209476309227,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymoney Area A,Ballymoney,W. Campbell,Independent,A,184.0,2005.0,4,9.17705735660848,0.45885286783042395,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymoney Area A,Ballymoney,M. A. Hunter,Independent,A,132.0,2005.0,4,6.58354114713217,0.32917705735660846,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymoney Area B corrected,Ballymoney,Edward McClements,Independent,A,702.0,4274.0,8,16.424894712213383,1.4782405240992045,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymoney Area B corrected,Ballymoney,Joe Gaston,Independent,A,603.0,4274.0,8,14.10856340664483,1.2697707065980348,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymoney Area B corrected,Ballymoney,William Logan,Independent,A,442.0,4274.0,8,10.341600374356574,0.9307440336920917,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymoney Area C,Ballymoney,Robert McComb,Independent,A,753.0,2536.0,4,29.69242902208202,1.484621451104101,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymoney Area C,Ballymoney,Frederick Holland,Independent,A,400.0,2536.0,4,15.772870662460567,0.7886435331230284,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymoney Area C,Ballymoney,Mary Holmes,Independent,A,359.0,2536.0,4,14.156151419558359,0.7078075709779179,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymoney Area C,Ballymoney,G. S. H. Hughes,Independent,A,151.0,2536.0,4,5.954258675078864,0.2977129337539432,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Ballymoney Area C,Ballymoney,J. Pollock,Independent,A,91.0,2536.0,4,3.588328075709779,0.17941640378548895,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Banbridge Area A,Banbridge,Daniel Lennon,Independent,A,680.0,7121.0,7,9.54922061508215,0.763937649206572,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Banbridge Area A,Banbridge,Laurence McCartan,Independent,A,673.0,7121.0,7,9.450919814632776,0.7560735851706221,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Banbridge Area A,Banbridge,Hugh Anderson,Independent,A,283.0,7121.0,7,3.974160932453307,0.31793287459626457,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Banbridge Area A,Banbridge,D. Toman,Independent,A,197.0,7121.0,7,2.7664653840752704,0.22131723072602164,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Banbridge Area A,Banbridge,R. G. Quail,Independent,A,143.0,7121.0,7,2.0081449234658053,0.16065159387726444,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Banbridge Area A,Banbridge,P. Reavey,Independent,A,141.0,7121.0,7,1.9800589804802695,0.15840471843842155,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Banbridge Area A,Banbridge,W. Cross,Independent,A,97.0,7121.0,7,1.3621682347984834,0.10897345878387867,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Banbridge Area A,Banbridge,J. Hozack,Independent,A,73.0,7121.0,7,1.0251369189720545,0.08201095351776436,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Banbridge Area B,Banbridge,J. McGrehan,Independent,A,278.0,7676.0,8,3.6216779572694113,0.32595101615424704,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Banbridge Area B,Banbridge,J. S. Higginson,Independent,A,239.0,7676.0,8,3.1136008337675873,0.28022407503908286,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Banbridge Area B,Banbridge,P. B. Hillen,Independent,A,168.0,7676.0,8,2.188639916623241,0.1969775924960917,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Belfast Area A,Belfast,J. Keenan,Independent,A,432.0,24814.0,7,1.7409526879987105,0.13927621503989684,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Belfast Area C,Belfast,D. Donaghy,Independent,A,610.0,21136.0,6,2.8860711582134746,0.2020249810749432,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Belfast Area E,Belfast,Hugh Smyth,Independent,A,2145.0,19748.0,6,10.861859428802918,0.7603301600162042,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Belfast Area E,Belfast,J. Moore,Independent,A,88.0,19748.0,6,0.44561474579704274,0.031193032205792993,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Belfast Area G,Belfast,Samuel Millar,Independent,A,2291.0,17378.0,6,13.183335251467373,0.9228334676027161,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Belfast Area G,Belfast,Moya Saunders,Independent,A,52.0,17378.0,6,0.2992289101162389,0.020946023708136724,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Belfast Area G,Belfast,J. P. Rigby,Independent,A,13.0,17378.0,6,0.07480722752905973,0.005236505927034181,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Belfast Area H,Belfast,J. N. McCauley,Independent,A,129.0,24811.0,7,0.5199306759098787,0.0415944540727903,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Belfast Area H,Belfast,S. Daly,Independent,A,115.0,24811.0,7,0.46350409092741124,0.0370803272741929,False
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Carrickfergus Area B,Carrickfergus,S. Campbell,Independent,A,408.0,4130.0,5,9.878934624697337,0.5927360774818402,True
1973,1973-05-30,Local,False,1973 Northern Ireland local elections,Carrickfergus Area B,Carrickfergus,S. Niblock,Independent,A,255.0,4130.0,5,6.174334140435835,0.3704600484261501,False
