area,dep__mdm_pct,dep__income_pct,dep__employment_pct
N20000363,54.33091684987859,43.00962395096897,57.45427882415916
N20000364,68.17458228959858,38.38837576294951,80.04933663305764
N20000365,71.20623885106372,75.05150622204833,74.69347098949568
N20000366,47.96120784659467,22.81243112188671,74.12387039894203
N20000367,56.694625460865936,46.19805644085893,60.642401385785945
N20000369,57.81353317169936,49.966938505620455,58.43068106678422
N20000371,20.946489882946988,42.16756893311756,12.970517319076228
N20000372,39.30840417230102,43.07041502600242,28.494614848483046
N20000373,32.400264491955035,44.89750936742341,23.605906986995812
N20000375,0.9918448313863787,1.1681728014106239,3.6147233854970247
N20000376,5.7527000220409965,5.333921093233414,12.739695834251709
N20000377,31.761075600617147,19.10954375137756,52.63389905223716
N20000378,49.52611858055984,53.824112849900814,40.202777165527884
N20000379,19.50536624319317,19.26207026218927,25.78944440493183
N20000382,18.02953493497906,16.707075159797224,29.44677099404893
N20000383,50.30771297112629,35.27571047773859,63.54229804937182
N20000384,58.47393132358262,47.92345142302319,51.17759549146716
N20000385,35.94290085441274,51.87257711107366,42.05759182667998
N20000386,21.42384835794578,21.600176327970026,21.13731540665638
N20000387,7.185364778487988,5.091470134450077,16.26625523473661
N20000388,13.125995850078501,13.07283529744179,20.18707659683134
N20000389,18.249944897509366,6.171478950848578,41.89993387701124
N20000390,20.938946440379105,32.70883843949746,18.800969803835134
N20000392,22.988759091910953,63.98501212254794,14.87767247079568
N20000393,17.6989199911836,24.20101388582764,27.639409301300418
N20000396,12.512174448080644,8.483707551757693,20.688014777626666
N20000397,86.28849660368284,86.76131221092508,76.70405251640392
N20000398,13.544998575399022,5.758434264968614,31.265780367744163
N20000399,17.434428036147235,20.718536477848797,15.384615384615385
N20000401,64.93277496142825,43.26647564469914,83.71170376901036
N20000402,38.794561588257864,25.428574927142265,39.53448599580405
N20000403,9.255986320892262,3.848823407811822,30.024491516954456
N20000404,26.9781794137095,33.03945338329292,26.030416574829182
N20000405,73.82578197388891,70.94269126983957,56.328440802805844
N20000407,55.49922856513114,64.07317610756006,63.67643817500551
N20000408,42.8036147233855,34.62640511351113,43.72933656601278
N20000409,50.34163544192197,56.843729336566014,26.95613841745647
N20000411,49.041216662993165,25.214899713467048,53.118800969803836
N20000412,56.463428757149316,39.30059062398435,70.522720282324
N20000413,45.580780251267356,19.79281463522151,50.91470134450077
