contest,year,area,method,actual,pred,correct,tvd
assembly,2016,FOYLE,B_affinity,SDLP,Sinn Féin,0,35.66166301788458
assembly,2016,FOYLE,C_field_features,SDLP,Sinn Féin,0,32.05491214023925
assembly,2016,LAGAN VALLEY,A_proportional,DUP,DUP,1,13.770955950391306
assembly,2016,LAGAN VALLEY,B_affinity,DUP,DUP,1,13.772161192328632
assembly,2016,LAGAN VALLEY,C_field_features,DUP,DUP,1,11.087115806341064
assembly,2016,MID ULSTER,A_proportional,Sinn Féin,Sinn Féin,1,3.7905316476174558
assembly,2016,MID ULSTER,B_affinity,Sinn Féin,Sinn Féin,1,4.02540127656223
assembly,2016,MID ULSTER,C_field_features,Sinn Féin,Sinn Féin,1,4.4873865990592146
assembly,2016,NEWRY AND ARMAGH,A_proportional,Sinn Féin,Sinn Féin,1,10.781652651075834
assembly,2016,NEWRY AND ARMAGH,B_affinity,Sinn Féin,Sinn Féin,1,10.031180116787684
assembly,2016,NEWRY AND ARMAGH,C_field_features,Sinn Féin,Sinn Féin,1,6.711282190789701
assembly,2016,NORTH ANTRIM,A_proportional,DUP,DUP,1,18.315118245069392
assembly,2016,NORTH ANTRIM,B_affinity,DUP,DUP,1,18.502948375002134
assembly,2016,NORTH ANTRIM,C_field_features,DUP,DUP,1,16.081160152142232
assembly,2016,NORTH DOWN,A_proportional,DUP,DUP,1,19.162674311892033
assembly,2016,NORTH DOWN,B_affinity,DUP,DUP,1,19.28487730270805
assembly,2016,NORTH DOWN,C_field_features,DUP,DUP,1,15.608584800923317
assembly,2016,SOUTH ANTRIM,A_proportional,DUP,DUP,1,10.784707954159769
assembly,2016,SOUTH ANTRIM,B_affinity,DUP,DUP,1,10.459415888187248
assembly,2016,SOUTH ANTRIM,C_field_features,DUP,DUP,1,9.915672892394994
assembly,2016,SOUTH DOWN,A_proportional,SDLP,Sinn Féin,0,21.021357761713666
assembly,2016,SOUTH DOWN,B_affinity,SDLP,Sinn Féin,0,20.641736105062577
assembly,2016,SOUTH DOWN,C_field_features,SDLP,DUP,0,22.655965399415365
assembly,2016,STRANGFORD,A_proportional,DUP,DUP,1,9.571453803085978
assembly,2016,STRANGFORD,B_affinity,DUP,DUP,1,9.473625743169016
assembly,2016,STRANGFORD,C_field_features,DUP,DUP,1,10.108130475958951
assembly,2016,UPPER BANN,A_proportional,DUP,DUP,1,9.809159699251882
assembly,2016,UPPER BANN,B_affinity,DUP,DUP,1,9.855690833049955
assembly,2016,UPPER BANN,C_field_features,DUP,DUP,1,10.687340814396224
assembly,2016,WEST TYRONE,A_proportional,Sinn Féin,Sinn Féin,1,17.951158192917156
assembly,2016,WEST TYRONE,B_affinity,Sinn Féin,Sinn Féin,1,16.633332425562593
assembly,2016,WEST TYRONE,C_field_features,Sinn Féin,Sinn Féin,1,13.970316656724536
assembly,2017,BELFAST EAST,A_proportional,DUP,DUP,1,26.218692296778066
assembly,2017,BELFAST EAST,B_affinity,DUP,DUP,1,26.237914461246206
assembly,2017,BELFAST EAST,C_field_features,DUP,DUP,1,23.24930022406152
assembly,2017,BELFAST NORTH,A_proportional,DUP,Sinn Féin,0,10.663148837412551
assembly,2017,BELFAST NORTH,B_affinity,DUP,Sinn Féin,0,10.144915708680099
assembly,2017,BELFAST NORTH,C_field_features,DUP,Sinn Féin,0,12.310804960224818
assembly,2017,BELFAST SOUTH,A_proportional,DUP,SDLP,0,26.15023693221416
assembly,2017,BELFAST SOUTH,B_affinity,DUP,SDLP,0,25.94939160837595
assembly,2017,BELFAST SOUTH,C_field_features,DUP,SDLP,0,28.543315518719034
assembly,2017,BELFAST WEST,A_proportional,Sinn Féin,Sinn Féin,1,11.04103599340582
assembly,2017,BELFAST WEST,B_affinity,Sinn Féin,Sinn Féin,1,10.888606067933091
assembly,2017,BELFAST WEST,C_field_features,Sinn Féin,Sinn Féin,1,15.84993352712959
assembly,2017,EAST ANTRIM,A_proportional,DUP,DUP,1,18.308343629788663
assembly,2017,EAST ANTRIM,B_affinity,DUP,DUP,1,18.26346083416393
assembly,2017,EAST ANTRIM,C_field_features,DUP,DUP,1,17.3601582020321
assembly,2017,EAST LONDONDERRY,A_proportional,DUP,DUP,1,17.307443945126664
assembly,2017,EAST LONDONDERRY,B_affinity,DUP,DUP,1,17.2823649189444
assembly,2017,EAST LONDONDERRY,C_field_features,DUP,DUP,1,17.635739746211797
assembly,2017,FERMANAGH AND SOUTH TYRONE,A_proportional,Sinn Féin,Sinn Féin,1,6.936013143935537
assembly,2017,FERMANAGH AND SOUTH TYRONE,B_affinity,Sinn Féin,Sinn Féin,1,7.192750493110451
assembly,2017,FERMANAGH AND SOUTH TYRONE,C_field_features,Sinn Féin,Sinn Féin,1,6.2742955509648315
assembly,2017,FOYLE,A_proportional,Sinn Féin,Sinn Féin,1,25.870682606814963
assembly,2017,FOYLE,B_affinity,Sinn Féin,Sinn Féin,1,25.777591172235276
assembly,2017,FOYLE,C_field_features,Sinn Féin,Sinn Féin,1,23.828615284991177
assembly,2017,LAGAN VALLEY,A_proportional,DUP,DUP,1,10.364539579199679
assembly,2017,LAGAN VALLEY,B_affinity,DUP,DUP,1,10.33556443517903
assembly,2017,LAGAN VALLEY,C_field_features,DUP,DUP,1,10.337500311645854
assembly,2017,MID ULSTER,A_proportional,Sinn Féin,Sinn Féin,1,4.807085995160113
assembly,2017,MID ULSTER,B_affinity,Sinn Féin,Sinn Féin,1,5.00827559580342
assembly,2017,MID ULSTER,C_field_features,Sinn Féin,Sinn Féin,1,3.894517462403378
assembly,2017,NEWRY AND ARMAGH,A_proportional,Sinn Féin,Sinn Féin,1,8.797457165127817
assembly,2017,NEWRY AND ARMAGH,B_affinity,Sinn Féin,Sinn Féin,1,8.366369856506028
assembly,2017,NEWRY AND ARMAGH,C_field_features,Sinn Féin,Sinn Féin,1,4.504090050033853
assembly,2017,NORTH ANTRIM,A_proportional,DUP,DUP,1,15.564844744542091
assembly,2017,NORTH ANTRIM,B_affinity,DUP,DUP,1,15.806131995431748
assembly,2017,NORTH ANTRIM,C_field_features,DUP,DUP,1,13.657777349649137
assembly,2017,NORTH DOWN,A_proportional,DUP,DUP,1,18.33089772915432
assembly,2017,NORTH DOWN,B_affinity,DUP,DUP,1,17.89691788036277
assembly,2017,NORTH DOWN,C_field_features,DUP,DUP,1,16.605772690213165
assembly,2017,SOUTH ANTRIM,A_proportional,DUP,DUP,1,13.735858918056644
assembly,2017,SOUTH ANTRIM,B_affinity,DUP,DUP,1,13.636347002926962
assembly,2017,SOUTH ANTRIM,C_field_features,DUP,DUP,1,10.880821302361031
assembly,2017,SOUTH DOWN,A_proportional,Sinn Féin,Sinn Féin,1,16.619001126218674
assembly,2017,SOUTH DOWN,B_affinity,Sinn Féin,Sinn Féin,1,16.40083477816042
assembly,2017,SOUTH DOWN,C_field_features,Sinn Féin,Sinn Féin,1,18.902328093116314
assembly,2017,STRANGFORD,A_proportional,DUP,DUP,1,12.659047131355901
assembly,2017,STRANGFORD,B_affinity,DUP,DUP,1,12.545186943105069
assembly,2017,STRANGFORD,C_field_features,DUP,DUP,1,13.325485256283583
assembly,2017,UPPER BANN,A_proportional,DUP,Sinn Féin,0,10.981890873564236
assembly,2017,UPPER BANN,B_affinity,DUP,Sinn Féin,0,11.047366738479175
assembly,2017,UPPER BANN,C_field_features,DUP,DUP,1,8.361350037788336
assembly,2017,WEST TYRONE,A_proportional,Sinn Féin,Sinn Féin,1,10.698912649630625
assembly,2017,WEST TYRONE,B_affinity,Sinn Féin,Sinn Féin,1,10.678523827413608
assembly,2017,WEST TYRONE,C_field_features,Sinn Féin,Sinn Féin,1,5.21848797710598
assembly,2022,BELFAST EAST,A_proportional,Alliance,DUP,0,17.578317861714286
assembly,2022,BELFAST EAST,B_affinity,Alliance,DUP,0,17.88490447600163
assembly,2022,BELFAST EAST,C_field_features,Alliance,DUP,0,15.69225920034375
assembly,2022,BELFAST NORTH,A_proportional,Sinn Féin,Sinn Féin,1,7.194971731628752
assembly,2022,BELFAST NORTH,B_affinity,Sinn Féin,Sinn Féin,1,7.194971731628756
assembly,2022,BELFAST NORTH,C_field_features,Sinn Féin,Sinn Féin,1,8.793473022843411
assembly,2022,BELFAST SOUTH,A_proportional,Alliance,SDLP,0,25.702423943323442
assembly,2022,BELFAST SOUTH,B_affinity,Alliance,SDLP,0,25.702423943323446
assembly,2022,BELFAST SOUTH,C_field_features,Alliance,SDLP,0,28.20308952750052
assembly,2022,BELFAST WEST,A_proportional,Sinn Féin,Sinn Féin,1,8.497630330562423
assembly,2022,BELFAST WEST,B_affinity,Sinn Féin,Sinn Féin,1,8.497630330562423
assembly,2022,BELFAST WEST,C_field_features,Sinn Féin,Sinn Féin,1,9.906019337576941
assembly,2022,EAST ANTRIM,A_proportional,DUP,DUP,1,13.493618073282388
assembly,2022,EAST ANTRIM,B_affinity,DUP,DUP,1,13.243446573979174
assembly,2022,EAST ANTRIM,C_field_features,DUP,DUP,1,16.168424922498538
assembly,2022,EAST LONDONDERRY,A_proportional,DUP,DUP,1,15.125703500184036
assembly,2022,EAST LONDONDERRY,B_affinity,DUP,DUP,1,15.125703500184036
assembly,2022,EAST LONDONDERRY,C_field_features,DUP,Sinn Féin,0,14.721664972902673
assembly,2022,FERMANAGH AND SOUTH TYRONE,A_proportional,Sinn Féin,Sinn Féin,1,5.473416641890078
assembly,2022,FERMANAGH AND SOUTH TYRONE,B_affinity,Sinn Féin,Sinn Féin,1,5.4734166418900765
assembly,2022,FERMANAGH AND SOUTH TYRONE,C_field_features,Sinn Féin,Sinn Féin,1,7.797733910849709
assembly,2022,FOYLE,A_proportional,Sinn Féin,Sinn Féin,1,30.619590996424183
assembly,2022,FOYLE,B_affinity,Sinn Féin,Sinn Féin,1,30.619590996424183
assembly,2022,FOYLE,C_field_features,Sinn Féin,Sinn Féin,1,29.310409234664185
assembly,2022,LAGAN VALLEY,A_proportional,DUP,Alliance,0,11.32083886201357
assembly,2022,LAGAN VALLEY,B_affinity,DUP,Alliance,0,11.199669845382166
assembly,2022,LAGAN VALLEY,C_field_features,DUP,DUP,1,11.181166153608926
assembly,2022,MID ULSTER,A_proportional,Sinn Féin,Sinn Féin,1,7.488702860934387
assembly,2022,MID ULSTER,B_affinity,Sinn Féin,Sinn Féin,1,7.488702860934387
assembly,2022,MID ULSTER,C_field_features,Sinn Féin,Sinn Féin,1,7.655107707700744
assembly,2022,NEWRY AND ARMAGH,A_proportional,Sinn Féin,Sinn Féin,1,17.650023344657754
assembly,2022,NEWRY AND ARMAGH,B_affinity,Sinn Féin,Sinn Féin,1,17.642072107583996
assembly,2022,NEWRY AND ARMAGH,C_field_features,Sinn Féin,Sinn Féin,1,13.090183159579999
assembly,2022,NORTH ANTRIM,A_proportional,DUP,DUP,1,14.814904839060178
assembly,2022,NORTH ANTRIM,B_affinity,DUP,DUP,1,15.168893741514278
assembly,2022,NORTH ANTRIM,C_field_features,DUP,DUP,1,14.671750986333365
assembly,2022,NORTH DOWN,A_proportional,Alliance,Alliance,1,26.8943022394396
assembly,2022,NORTH DOWN,B_affinity,Alliance,Alliance,1,26.87942961685074
assembly,2022,NORTH DOWN,C_field_features,Alliance,Alliance,1,26.759982251573806
assembly,2022,SOUTH ANTRIM,A_proportional,DUP,DUP,1,13.362585964754095
assembly,2022,SOUTH ANTRIM,B_affinity,DUP,DUP,1,13.155753120435628
assembly,2022,SOUTH ANTRIM,C_field_features,DUP,DUP,1,9.396022611267263
assembly,2022,SOUTH DOWN,A_proportional,Sinn Féin,Sinn Féin,1,19.215502255879983
assembly,2022,SOUTH DOWN,B_affinity,Sinn Féin,Sinn Féin,1,19.329783403041798
assembly,2022,SOUTH DOWN,C_field_features,Sinn Féin,Sinn Féin,1,17.747538967399112
assembly,2022,STRANGFORD,A_proportional,DUP,DUP,1,7.833867791235395
assembly,2022,STRANGFORD,B_affinity,DUP,DUP,1,7.738379705958046
assembly,2022,STRANGFORD,C_field_features,DUP,DUP,1,9.602401267055543
assembly,2022,UPPER BANN,A_proportional,Sinn Féin,Sinn Féin,1,10.559548986065064
assembly,2022,UPPER BANN,B_affinity,Sinn Féin,Sinn Féin,1,10.427935545056485
assembly,2022,UPPER BANN,C_field_features,Sinn Féin,Sinn Féin,1,8.753083455939844
assembly,2022,WEST TYRONE,A_proportional,Sinn Féin,Sinn Féin,1,13.996049987507394
assembly,2022,WEST TYRONE,B_affinity,Sinn Féin,Sinn Féin,1,13.996049987507385
assembly,2022,WEST TYRONE,C_field_features,Sinn Féin,Sinn Féin,1,11.931615507508553
westminster,2017,BELFAST EAST,A_proportional,DUP,DUP,1,21.881966253083228
westminster,2017,BELFAST EAST,B_affinity,DUP,DUP,1,21.92814606388642
westminster,2017,BELFAST EAST,C_field_features,DUP,DUP,1,20.72978420887335
westminster,2017,BELFAST NORTH,A_proportional,DUP,Sinn Féin,0,7.387305333120908
westminster,2017,BELFAST NORTH,B_affinity,DUP,Sinn Féin,0,8.834149313629075
westminster,2017,BELFAST NORTH,C_field_features,DUP,Sinn Féin,0,6.186031310083779
westminster,2017,BELFAST SOUTH,A_proportional,DUP,SDLP,0,19.80946377994108
westminster,2017,BELFAST SOUTH,B_affinity,DUP,SDLP,0,19.590570893035284
westminster,2017,BELFAST SOUTH,C_field_features,DUP,SDLP,0,20.308109506948632
westminster,2017,BELFAST WEST,A_proportional,Sinn Féin,Sinn Féin,1,7.561881720356865
westminster,2017,BELFAST WEST,B_affinity,Sinn Féin,Sinn Féin,1,8.02374611950367
westminster,2017,BELFAST WEST,C_field_features,Sinn Féin,Sinn Féin,1,7.480795049226337
westminster,2017,EAST ANTRIM,A_proportional,DUP,DUP,1,8.010096279963117
westminster,2017,EAST ANTRIM,B_affinity,DUP,DUP,1,7.025309322071305
westminster,2017,EAST ANTRIM,C_field_features,DUP,DUP,1,6.7613756263229225
westminster,2017,EAST LONDONDERRY,A_proportional,DUP,DUP,1,6.078836854204529
westminster,2017,EAST LONDONDERRY,B_affinity,DUP,DUP,1,6.725615304159177
westminster,2017,EAST LONDONDERRY,C_field_features,DUP,DUP,1,4.599067639766137
westminster,2017,FERMANAGH AND SOUTH TYRONE,A_proportional,Sinn Féin,Sinn Féin,1,36.696302645561545
westminster,2017,FERMANAGH AND SOUTH TYRONE,B_affinity,Sinn Féin,Sinn Féin,1,15.97484985367307
westminster,2017,FERMANAGH AND SOUTH TYRONE,C_field_features,Sinn Féin,Sinn Féin,1,34.906800455186584
westminster,2017,FOYLE,A_proportional,Sinn Féin,Sinn Féin,1,27.44506322830704
westminster,2017,FOYLE,B_affinity,Sinn Féin,Sinn Féin,1,26.5437085654414
westminster,2017,FOYLE,C_field_features,Sinn Féin,Sinn Féin,1,30.6733795811892
westminster,2017,LAGAN VALLEY,A_proportional,DUP,DUP,1,15.402940715985554
westminster,2017,LAGAN VALLEY,B_affinity,DUP,DUP,1,15.897771027946172
westminster,2017,LAGAN VALLEY,C_field_features,DUP,DUP,1,16.035022832951245
westminster,2017,MID ULSTER,A_proportional,Sinn Féin,Sinn Féin,1,7.756078129007175
westminster,2017,MID ULSTER,B_affinity,Sinn Féin,Sinn Féin,1,7.420420424995633
westminster,2017,MID ULSTER,C_field_features,Sinn Féin,Sinn Féin,1,8.278156649030862
westminster,2017,NEWRY AND ARMAGH,A_proportional,Sinn Féin,Sinn Féin,1,14.95841563776283
westminster,2017,NEWRY AND ARMAGH,B_affinity,Sinn Féin,Sinn Féin,1,14.781818984364907
westminster,2017,NEWRY AND ARMAGH,C_field_features,Sinn Féin,Sinn Féin,1,9.858511687291415
westminster,2017,NORTH ANTRIM,A_proportional,DUP,DUP,1,15.624803845529021
westminster,2017,NORTH ANTRIM,B_affinity,DUP,DUP,1,16.77151324538971
westminster,2017,NORTH ANTRIM,C_field_features,DUP,DUP,1,9.792444936367128
westminster,2017,NORTH DOWN,A_proportional,Independent,DUP,0,45.021046883010776
westminster,2017,NORTH DOWN,B_affinity,Independent,DUP,0,45.48860338017039
westminster,2017,NORTH DOWN,C_field_features,Independent,DUP,0,44.391497282957246
westminster,2017,SOUTH ANTRIM,A_proportional,DUP,DUP,1,27.10009394320339
westminster,2017,SOUTH ANTRIM,B_affinity,DUP,DUP,1,26.772418497877908
westminster,2017,SOUTH ANTRIM,C_field_features,DUP,DUP,1,23.47359709231342
westminster,2017,SOUTH DOWN,A_proportional,Sinn Féin,Sinn Féin,1,15.921130766974947
westminster,2017,SOUTH DOWN,B_affinity,Sinn Féin,Sinn Féin,1,16.12879876664658
westminster,2017,SOUTH DOWN,C_field_features,Sinn Féin,Sinn Féin,1,17.122167136467233
westminster,2017,STRANGFORD,A_proportional,DUP,DUP,1,9.8724844412816
westminster,2017,STRANGFORD,B_affinity,DUP,DUP,1,9.781657932467366
westminster,2017,STRANGFORD,C_field_features,DUP,DUP,1,11.176806305034592
westminster,2017,UPPER BANN,A_proportional,DUP,Sinn Féin,0,17.198081985252458
westminster,2017,UPPER BANN,B_affinity,DUP,Sinn Féin,0,16.884706092631586
westminster,2017,UPPER BANN,C_field_features,DUP,DUP,1,11.684621034772448
westminster,2017,WEST TYRONE,A_proportional,Sinn Féin,Sinn Féin,1,14.61677714290479
westminster,2017,WEST TYRONE,B_affinity,Sinn Féin,Sinn Féin,1,14.320322848067255
westminster,2017,WEST TYRONE,C_field_features,Sinn Féin,Sinn Féin,1,10.011418745724422
westminster,2019,BELFAST EAST,A_proportional,DUP,DUP,1,11.868685421175963
westminster,2019,BELFAST EAST,B_affinity,DUP,DUP,1,9.341800156625151
westminster,2019,BELFAST EAST,C_field_features,DUP,DUP,1,13.543917960980327
westminster,2019,BELFAST NORTH,A_proportional,Sinn Féin,DUP,0,15.415052501260764
westminster,2019,BELFAST NORTH,B_affinity,Sinn Féin,DUP,0,15.020222564442985
westminster,2019,BELFAST NORTH,C_field_features,Sinn Féin,DUP,0,18.15783533158324
westminster,2019,BELFAST SOUTH,A_proportional,SDLP,Alliance,0,26.65851248868836
westminster,2019,BELFAST SOUTH,B_affinity,SDLP,Alliance,0,26.35280759223251
westminster,2019,BELFAST SOUTH,C_field_features,SDLP,SDLP,1,22.143834153836355
westminster,2019,BELFAST WEST,A_proportional,Sinn Féin,Sinn Féin,1,14.845379143684497
westminster,2019,BELFAST WEST,B_affinity,Sinn Féin,Sinn Féin,1,15.596943614339962
westminster,2019,BELFAST WEST,C_field_features,Sinn Féin,Sinn Féin,1,15.33680392079995
westminster,2019,EAST ANTRIM,A_proportional,DUP,DUP,1,7.123242366036212
westminster,2019,EAST ANTRIM,B_affinity,DUP,DUP,1,6.7283034531494454
westminster,2019,EAST ANTRIM,C_field_features,DUP,DUP,1,4.594467623119395
westminster,2019,EAST LONDONDERRY,A_proportional,DUP,DUP,1,5.78961520484647
westminster,2019,EAST LONDONDERRY,B_affinity,DUP,DUP,1,5.22317108721805
westminster,2019,EAST LONDONDERRY,C_field_features,DUP,DUP,1,4.292400576937345
westminster,2019,FERMANAGH AND SOUTH TYRONE,A_proportional,Sinn Féin,Sinn Féin,1,26.2617589605669
westminster,2019,FERMANAGH AND SOUTH TYRONE,B_affinity,Sinn Féin,UUP,0,17.639475805067967
westminster,2019,FERMANAGH AND SOUTH TYRONE,C_field_features,Sinn Féin,Sinn Féin,1,23.620445229732603
westminster,2019,FOYLE,A_proportional,SDLP,Sinn Féin,0,45.151814792074205
westminster,2019,FOYLE,B_affinity,SDLP,Sinn Féin,0,44.779421727918816
westminster,2019,FOYLE,C_field_features,SDLP,Sinn Féin,0,43.64230958537383
westminster,2019,LAGAN VALLEY,A_proportional,DUP,Alliance,0,10.792663219933889
westminster,2019,LAGAN VALLEY,B_affinity,DUP,Alliance,0,11.782508721092448
westminster,2019,LAGAN VALLEY,C_field_features,DUP,DUP,1,7.528864803337927
westminster,2019,MID ULSTER,A_proportional,Sinn Féin,Sinn Féin,1,7.366240952012183
westminster,2019,MID ULSTER,B_affinity,Sinn Féin,Sinn Féin,1,7.659559963387732
westminster,2019,MID ULSTER,C_field_features,Sinn Féin,Sinn Féin,1,9.57945654265033
westminster,2019,NEWRY AND ARMAGH,A_proportional,Sinn Féin,Sinn Féin,1,10.955105408914637
westminster,2019,NEWRY AND ARMAGH,B_affinity,Sinn Féin,Sinn Féin,1,10.449497912933635
westminster,2019,NEWRY AND ARMAGH,C_field_features,Sinn Féin,Sinn Féin,1,7.2220002163571415
westminster,2019,NORTH ANTRIM,A_proportional,DUP,DUP,1,5.699689516965444
westminster,2019,NORTH ANTRIM,B_affinity,DUP,DUP,1,5.9233676105173645
westminster,2019,NORTH ANTRIM,C_field_features,DUP,DUP,1,4.538642624907838
westminster,2019,NORTH DOWN,A_proportional,Alliance,Alliance,1,13.477972538516001
westminster,2019,NORTH DOWN,B_affinity,Alliance,Alliance,1,14.315584867647669
westminster,2019,NORTH DOWN,C_field_features,Alliance,Alliance,1,6.657092403669939
westminster,2019,SOUTH ANTRIM,A_proportional,DUP,DUP,1,18.62771571027104
westminster,2019,SOUTH ANTRIM,B_affinity,DUP,DUP,1,18.336988039554114
westminster,2019,SOUTH ANTRIM,C_field_features,DUP,DUP,1,15.02823798397585
westminster,2019,SOUTH DOWN,A_proportional,Sinn Féin,DUP,0,17.91498665627306
westminster,2019,SOUTH DOWN,B_affinity,Sinn Féin,DUP,0,17.012025666471914
westminster,2019,SOUTH DOWN,C_field_features,Sinn Féin,DUP,0,17.694137445177002
westminster,2019,STRANGFORD,A_proportional,DUP,DUP,1,12.605496080363126
westminster,2019,STRANGFORD,B_affinity,DUP,DUP,1,12.293823526260256
westminster,2019,STRANGFORD,C_field_features,DUP,DUP,1,13.687691652316923
westminster,2019,UPPER BANN,A_proportional,DUP,DUP,1,13.398901347181184
westminster,2019,UPPER BANN,B_affinity,DUP,DUP,1,13.152522902504739
westminster,2019,UPPER BANN,C_field_features,DUP,DUP,1,12.305743727830691
westminster,2019,WEST TYRONE,A_proportional,Sinn Féin,Sinn Féin,1,7.943012707645702
westminster,2019,WEST TYRONE,B_affinity,Sinn Féin,Sinn Féin,1,7.474590824274887
westminster,2019,WEST TYRONE,C_field_features,Sinn Féin,Sinn Féin,1,6.3021742960710245
westminster,2024,BELFAST EAST,A_proportional,DUP,DUP,1,10.587592182953005
westminster,2024,BELFAST EAST,B_affinity,DUP,DUP,1,12.944735015844584
westminster,2024,BELFAST EAST,C_field_features,DUP,DUP,1,15.552843842572953
westminster,2024,BELFAST NORTH,A_proportional,Sinn Féin,Sinn Féin,1,16.50067825197211
westminster,2024,BELFAST NORTH,B_affinity,Sinn Féin,Sinn Féin,1,17.673244564657764
westminster,2024,BELFAST NORTH,C_field_features,Sinn Féin,Sinn Féin,1,18.53324826403811
westminster,2024,BELFAST SOUTH AND MID DOWN,A_proportional,SDLP,Alliance,0,21.907782602887032
westminster,2024,BELFAST SOUTH AND MID DOWN,B_affinity,SDLP,Alliance,0,19.319232960988238
westminster,2024,BELFAST SOUTH AND MID DOWN,C_field_features,SDLP,Alliance,0,23.459206505007327
westminster,2024,BELFAST WEST,A_proportional,Sinn Féin,Sinn Féin,1,12.126142414471992
westminster,2024,BELFAST WEST,B_affinity,Sinn Féin,Sinn Féin,1,11.95709981640618
westminster,2024,BELFAST WEST,C_field_features,Sinn Féin,Sinn Féin,1,13.380035567941311
westminster,2024,EAST ANTRIM,A_proportional,DUP,DUP,1,12.218317264407295
westminster,2024,EAST ANTRIM,B_affinity,DUP,DUP,1,12.003735072357557
westminster,2024,EAST ANTRIM,C_field_features,DUP,DUP,1,11.806363404423793
westminster,2024,EAST LONDONDERRY,A_proportional,DUP,DUP,1,12.752542709608198
westminster,2024,EAST LONDONDERRY,B_affinity,DUP,DUP,1,13.077415318475579
westminster,2024,EAST LONDONDERRY,C_field_features,DUP,DUP,1,9.75615449832815
westminster,2024,FERMANAGH AND SOUTH TYRONE,A_proportional,Sinn Féin,Sinn Féin,1,24.609177742789083
westminster,2024,FERMANAGH AND SOUTH TYRONE,B_affinity,Sinn Féin,Sinn Féin,1,19.161140000051986
westminster,2024,FERMANAGH AND SOUTH TYRONE,C_field_features,Sinn Féin,Sinn Féin,1,23.088545995317226
westminster,2024,FOYLE,A_proportional,SDLP,Sinn Féin,0,32.68122899038444
westminster,2024,FOYLE,B_affinity,SDLP,Sinn Féin,0,32.547975363928
westminster,2024,FOYLE,C_field_features,SDLP,Sinn Féin,0,29.78672655666807
westminster,2024,LAGAN VALLEY,A_proportional,Alliance,Alliance,1,11.750850024692571
westminster,2024,LAGAN VALLEY,B_affinity,Alliance,Alliance,1,14.419177453669874
westminster,2024,LAGAN VALLEY,C_field_features,Alliance,DUP,0,13.045032457798436
westminster,2024,MID ULSTER,A_proportional,Sinn Féin,Sinn Féin,1,17.119628110470597
westminster,2024,MID ULSTER,B_affinity,Sinn Féin,Sinn Féin,1,17.399399814903
westminster,2024,MID ULSTER,C_field_features,Sinn Féin,Sinn Féin,1,16.513373741997274
westminster,2024,NEWRY AND ARMAGH,A_proportional,Sinn Féin,Sinn Féin,1,11.59252954184494
westminster,2024,NEWRY AND ARMAGH,B_affinity,Sinn Féin,Sinn Féin,1,11.614587961040982
westminster,2024,NEWRY AND ARMAGH,C_field_features,Sinn Féin,Sinn Féin,1,7.444571849221447
westminster,2024,NORTH ANTRIM,A_proportional,TUV,DUP,0,20.46881680513326
westminster,2024,NORTH ANTRIM,B_affinity,TUV,DUP,0,20.56639197362276
westminster,2024,NORTH ANTRIM,C_field_features,TUV,DUP,0,19.15124246601942
westminster,2024,NORTH DOWN,A_proportional,Independent,Alliance,0,47.43519853460967
westminster,2024,NORTH DOWN,B_affinity,Independent,Alliance,0,47.54325717863646
westminster,2024,NORTH DOWN,C_field_features,Independent,Alliance,0,46.69342761120177
