DZ21,label,catholic_bg_pct,proj_unity_pct,provenance
N20000175,Macedon_C4,22.7,35.9,modelled
N20000176,Macedon_C5,9.5,26.9,modelled
N20000177,Macedon_B5,51.0,53.0,modelled
N20000178,Macedon_E1,53.5,54.0,modelled
N20000179,Macedon_E2,14.0,28.4,modelled
N20000180,Macedon_D2,2.3,21.2,modelled
N20000181,Macedon_F1,6.4,23.4,modelled
N20000182,Macedon_D3,3.9,23.1,modelled
N20000183,Macedon_F2,5.7,22.8,modelled
N20000184,Macedon_F3,3.7,24.5,modelled
N20000185,Macedon_E3,10.2,26.1,modelled
N20000186,Macedon_H1,30.0,38.6,modelled
N20000187,Macedon_F4,3.0,21.1,modelled
N20000188,Macedon_H2,21.6,31.7,modelled
N20000189,Macedon_J1,2.0,21.2,modelled
N20000190,Macedon_G1,6.9,24.8,modelled
N20000191,Macedon_E4,6.6,23.1,modelled
N20000193,Macedon_G3,4.3,20.8,modelled
N20000194,Macedon_K1,3.9,24.4,modelled
N20000196,Macedon_J2,6.1,21.8,modelled
N20000197,Macedon_K2,7.9,24.4,modelled
N20000198,Macedon_K3,5.8,21.4,modelled
N20000200,Macedon_K4,6.8,23.6,modelled
N20000201,Macedon_J3,40.3,44.9,modelled
N20000203,Macedon_J4,35.4,42.7,modelled
N20000204,Macedon_J5,33.2,41.6,modelled
N20000205,Macedon_H3,21.1,32.9,modelled
N20000206,Macedon_H4,22.7,33.2,modelled
N20000207,Macedon_L1,87.6,75.5,modelled
N20000208,Macedon_L2,79.0,71.2,modelled
N20000209,Macedon_L3,86.1,76.1,modelled
N20000210,Macedon_L4,85.5,74.5,modelled
N20000211,Glengormley_Urban_C1,29.8,38.1,modelled
N20000212,Glengormley_Urban_A1,5.8,24.7,modelled
N20000214,Glengormley_Urban_B1,10.6,23.8,modelled
N20000215,Glengormley_Urban_C2,26.8,36.2,modelled
N20000216,Glengormley_Urban_B2,13.5,26.7,modelled
N20000217,Glengormley_Urban_A3,17.6,30.2,modelled
N20000218,Glengormley_Urban_B3,17.0,28.7,modelled
N20000219,Glengormley_Urban_C3,45.6,48.4,modelled
N20000220,Glengormley_Urban_B4,19.7,29.8,modelled
N20000221,Glengormley_Urban_D1,16.9,29.1,modelled
N20000222,Glengormley_Urban_E1,20.2,31.7,modelled
N20000223,Glengormley_Urban_D2,27.4,37.2,modelled
N20000224,Glengormley_Urban_B5,36.8,41.3,modelled
N20000225,Glengormley_Urban_E2,12.2,30.0,modelled
N20000226,Glengormley_Urban_D3,27.4,36.6,modelled
N20000227,Glengormley_Urban_C4,32.9,40.5,modelled
N20000228,Glengormley_Urban_E3,16.5,30.4,modelled
N20000229,Glengormley_Urban_E4,12.7,29.5,modelled
N20000230,Glengormley_Urban_D4,31.2,39.6,modelled
N20000231,Glengormley_Urban_F1,44.6,48.0,modelled
N20000232,Glengormley_Urban_G1,51.2,50.8,modelled
N20000233,Glengormley_Urban_F2,53.9,54.1,modelled
N20000234,Glengormley_Urban_G2,55.6,54.9,modelled
N20000235,Glengormley_Urban_G3,44.6,49.2,modelled
N20000236,Glengormley_Urban_H1,37.0,42.5,modelled
