DZ21,label,con,yes_raw,yes,pop
N20002500,Castlereagh_East_A1,BELFAST EAST,9.98,21.2,767.0
N20001232,Balmoral_P3,BELFAST SOUTH,21.26,32.5,464.0
N20002843,Carntogher_A3,MID ULSTER,47.52,58.7,529.0
N20001181,Balmoral_A3,BELFAST SOUTH,44.21,55.4,242.0
N20002214,Omagh_C6,WEST TYRONE,62.0,73.2,350.0
N20000238,Glengormley_Urban_F3,BELFAST NORTH,47.72,59.0,492.0
N20000346,Armagh_K2,NEWRY AND ARMAGH,51.59,62.8,501.0
N20001319,Black_Mountain_J2,BELFAST WEST,71.71,82.9,272.0
N20002547,Castlereagh_East_J5,STRANGFORD,16.04,27.3,505.0
N20000809,Castle_G3,BELFAST NORTH,34.47,45.7,429.0
N20000802,Castle_F1,BELFAST NORTH,66.15,77.4,421.0
N20003430,Downpatrick_K2,SOUTH DOWN,57.89,69.1,351.0
N20000934,Titanic_Y1,BELFAST SOUTH,31.77,43.0,416.0
N20000690,Cusher_G3,NEWRY AND ARMAGH,10.09,21.3,430.0
N20000397,Portadown_H3,UPPER BANN,8.9,20.1,623.0
N20001526,Bann_D1,EAST LONDONDERRY,13.7,24.9,409.0
N20003712,Bangor_East_and_Donaghadee_H2,NORTH DOWN,13.95,25.2,540.0
N20003289,The_Mournes_J2,SOUTH DOWN,41.36,52.6,443.0
N20001629,Causeway_G4,EAST LONDONDERRY,22.58,33.8,276.0
N20000121,Ballyclare_F5,SOUTH ANTRIM,11.45,22.7,578.0
N20001246,Collin_F1,BELFAST WEST,76.46,87.7,617.0
N20002656,Braid_D2,NORTH ANTRIM,8.77,20.0,420.0
N20001163,Botanic_T5,BELFAST SOUTH,38.94,50.2,253.0
N20000771,Oldpark_S1,BELFAST NORTH,64.7,75.9,347.0
N20002444,Downshire_East_E4,LAGAN VALLEY,13.08,24.3,460.0
N20000172,Macedon_B4,EAST ANTRIM,30.99,42.2,458.0
N20001794,Foyleside_D7,FOYLE,58.94,70.2,267.0
N20002957,Cookstown_F2,MID ULSTER,51.5,62.7,477.0
N20001192,Balmoral_D2,BELFAST SOUTH,69.44,80.7,435.0
N20001593,Coleraine_J6,EAST LONDONDERRY,16.24,27.5,465.0
N20000161,Three_Mile_Water_K3,EAST ANTRIM,21.38,32.6,422.0
N20003092,Clogher_Valley_E7,FERMANAGH AND SOUTH TYRONE,36.44,47.7,513.0
N20000524,Lurgan_L2,UPPER BANN,52.11,63.3,446.0
N20002507,Castlereagh_East_C5,BELFAST EAST,11.79,23.0,203.0
N20000020,Dunsilly_D5,SOUTH ANTRIM,35.13,46.4,452.0
N20000928,Titanic_S4,BELFAST SOUTH,21.94,33.2,252.0
N20001399,Court_H4,BELFAST NORTH,8.25,19.5,445.0
N20002564,Bannside_A4,NORTH ANTRIM,10.47,21.7,575.0
N20002082,Enniskillen_A2,FERMANAGH AND SOUTH TYRONE,14.53,25.8,346.0
N20002117,Enniskillen_G3,FERMANAGH AND SOUTH TYRONE,13.13,24.4,376.0
N20002429,Downshire_East_B2,LAGAN VALLEY,10.45,21.7,394.0
N20000236,Glengormley_Urban_H1,BELFAST NORTH,27.21,38.4,392.0
N20000383,Portadown_R2,UPPER BANN,23.64,34.9,521.0
N20002418,Lisburn_North_K1,LAGAN VALLEY,21.43,32.7,355.0
N20002462,Castlereagh_South_C2,BELFAST SOUTH,22.26,33.5,388.0
N20003451,Comber_D2,STRANGFORD,11.9,23.1,337.0
N20002198,Omagh_D3,WEST TYRONE,51.02,62.3,311.0
N20003499,Newtownards_J1,STRANGFORD,17.64,28.9,270.0
N20001127,Botanic_N2,BELFAST SOUTH,60.12,71.4,482.0
N20002384,Lisburn_North_B3,LAGAN VALLEY,16.01,27.2,382.0
N20002193,Omagh_C3,WEST TYRONE,55.17,66.4,434.0
N20002439,Downshire_East_D2,LAGAN VALLEY,16.82,28.1,596.0
N20001172,Botanic_Y3,BELFAST SOUTH,35.31,46.5,806.0
N20003351,Rowallane_B1,STRANGFORD,17.69,28.9,306.0
N20001174,Botanic_Y5,BELFAST SOUTH,43.51,54.7,433.0
N20003551,Holywood_and_Clandeboye_D3,NORTH DOWN,22.04,33.3,374.0
N20000788,Castle_A2,BELFAST NORTH,60.31,71.5,571.0
N20000971,Ormiston_F4,BELFAST EAST,17.04,28.3,429.0
N20002126,Erne_North_A3,FERMANAGH AND SOUTH TYRONE,18.88,30.1,443.0
N20001642,Causeway_L2,NORTH ANTRIM,6.95,18.2,383.0
N20001103,Botanic_H2,BELFAST SOUTH,44.35,55.6,489.0
N20000444,Craigavon_F4,UPPER BANN,33.95,45.2,290.0
N20002055,Erne_East_F3,FERMANAGH AND SOUTH TYRONE,56.64,67.9,600.0
N20002466,Castlereagh_South_C3,BELFAST SOUTH,33.87,45.1,201.0
N20000967,Ormiston_F3,BELFAST EAST,20.51,31.7,381.0
N20000786,Oldpark_U5,BELFAST NORTH,49.87,61.1,237.0
N20001034,Lisnasharragh_B6,BELFAST EAST,13.82,25.1,445.0
N20001076,Lisnasharragh_R3,BELFAST SOUTH,51.24,62.5,514.0
N20002798,Carrick_Castle_J1,EAST ANTRIM,17.04,28.3,350.0
N20000526,Lurgan_K4,UPPER BANN,18.25,29.5,280.0
N20000728,Oldpark_F1,BELFAST NORTH,12.44,23.7,353.0
N20001906,Waterside_P4,FOYLE,61.41,72.6,274.0
N20003243,Crotlieve_H4,SOUTH DOWN,63.94,75.2,450.0
N20003272,The_Mournes_E1,SOUTH DOWN,52.62,63.9,463.0
N20002006,Derg_C5,WEST TYRONE,46.61,57.8,439.0
N20003313,Slieve_Croob_D1,SOUTH DOWN,41.32,52.6,473.0
N20003374,Rowallane_F4,STRANGFORD,24.89,36.1,255.0
N20003111,Slieve_Gullion_E1,NEWRY AND ARMAGH,62.23,73.5,468.0
N20003631,Bangor_Central_F1,NORTH DOWN,22.31,33.5,314.0
N20000654,Banbridge_N5,NEWRY AND ARMAGH,52.0,63.2,367.0
N20002387,Lisburn_North_C4,LAGAN VALLEY,29.61,40.8,487.0
N20001396,Court_K1,BELFAST WEST,11.31,22.5,336.0
N20001045,Lisnasharragh_G2,BELFAST EAST,13.89,25.1,322.0
N20003588,Bangor_West_B3,NORTH DOWN,14.9,26.1,330.0
N20002150,West_Tyrone_A1,WEST TYRONE,20.71,31.9,320.0
N20000453,Craigavon_G4,UPPER BANN,54.1,65.3,363.0
N20000807,Castle_J1,BELFAST NORTH,59.45,70.7,495.0
N20001252,Collin_E4,BELFAST WEST,73.38,84.6,408.0
N20001505,Limavady_G1,EAST LONDONDERRY,30.97,42.2,455.0
N20000177,Macedon_B5,EAST ANTRIM,34.14,45.4,292.0
N20002361,Lisburn_South_G3,LAGAN VALLEY,29.09,40.3,269.0
N20000993,Ormiston_K3,BELFAST EAST,13.51,24.7,450.0
N20002478,Castlereagh_South_D5,BELFAST SOUTH,40.82,52.1,673.0
N20003354,Rowallane_B3,STRANGFORD,18.51,29.7,363.0
N20000931,Titanic_T5,BELFAST SOUTH,19.75,31.0,398.0
N20003264,The_Mournes_C1,SOUTH DOWN,53.18,64.4,383.0
N20003276,The_Mournes_F3,SOUTH DOWN,64.94,76.2,485.0
N20002374,Lisburn_South_K5,LAGAN VALLEY,13.63,24.9,390.0
N20001813,Ballyarnett_B2,FOYLE,66.92,78.2,313.0
N20000643,Banbridge_K5,UPPER BANN,30.18,41.4,399.0
N20002658,Braid_H1,NORTH ANTRIM,21.56,32.8,505.0
N20000187,Macedon_F4,BELFAST NORTH,8.95,20.2,304.0
N20000797,Castle_C3,BELFAST NORTH,45.36,56.6,447.0
N20002768,Carrick_Castle_C1,EAST ANTRIM,10.32,21.6,673.0
N20003443,Comber_A3,STRANGFORD,12.97,24.2,396.0
N20000976,Ormiston_H3,BELFAST EAST,23.84,35.1,447.0
N20003719,Bangor_East_and_Donaghadee_H6,NORTH DOWN,13.76,25.0,605.0
N20000065,Antrim_J3,SOUTH ANTRIM,26.7,37.9,414.0
N20003171,Newry_C4,NEWRY AND ARMAGH,59.11,70.3,260.0
N20002502,Castlereagh_East_C1,BELFAST EAST,10.32,21.6,357.0
N20003408,Downpatrick_E5,SOUTH DOWN,46.34,57.6,223.0
N20002219,Omagh_H6,WEST TYRONE,55.04,66.3,495.0
N20002982,Torrent_D1,MID ULSTER,63.95,75.2,486.0
N20003250,Crotlieve_J3,SOUTH DOWN,65.84,77.1,424.0
N20002894,Magherafelt_A1,MID ULSTER,57.25,68.5,504.0
N20001064,Lisnasharragh_K5,BELFAST SOUTH,42.46,53.7,291.0
N20002560,Bannside_D1,NORTH ANTRIM,28.23,39.5,292.0
N20002392,Lisburn_North_E3,LAGAN VALLEY,46.4,57.6,545.0
N20001923,Faughan_E1,EAST LONDONDERRY,55.49,66.7,530.0
N20002774,Carrick_Castle_E2,EAST ANTRIM,11.45,22.7,641.0
N20002893,Moyola_H4,MID ULSTER,56.31,67.5,413.0
N20003556,Holywood_and_Clandeboye_G2,NORTH DOWN,13.71,24.9,366.0
N20002411,Lisburn_North_J3,LAGAN VALLEY,23.14,34.4,494.0
N20001220,Balmoral_N2,BELFAST SOUTH,17.49,28.7,435.0
N20003229,Crotlieve_F3,SOUTH DOWN,64.98,76.2,439.0
N20002744,Larne_Lough_D2,EAST ANTRIM,10.0,21.2,638.0
N20003373,Rowallane_F3,STRANGFORD,24.36,35.6,366.0
N20003553,Holywood_and_Clandeboye_E2,NORTH DOWN,25.76,37.0,660.0
N20000277,Airport_E6,SOUTH ANTRIM,65.16,76.4,308.0
N20003560,Holywood_and_Clandeboye_K2,NORTH DOWN,22.67,33.9,291.0
N20001936,Faughan_E4,EAST LONDONDERRY,39.22,50.5,519.0
N20000251,Glengormley_Urban_L2,SOUTH ANTRIM,62.29,73.5,540.0
N20001573,Coleraine_F3,EAST LONDONDERRY,26.99,38.2,422.0
N20001379,Court_J1,BELFAST WEST,11.49,22.7,413.0
N20000631,Banbridge_E6,UPPER BANN,23.93,35.2,298.0
N20002825,Knockagh_G1,EAST ANTRIM,15.13,26.4,578.0
N20001561,Coleraine_E1,EAST LONDONDERRY,16.78,28.0,397.0
N20003652,Bangor_Central_J2,NORTH DOWN,13.98,25.2,450.0
N20003306,The_Mournes_P4,SOUTH DOWN,13.26,24.5,368.0
N20000930,Titanic_U2,BELFAST SOUTH,18.51,29.7,204.0
N20000261,Airport_C1,SOUTH ANTRIM,11.87,23.1,705.0
N20002274,Downshire_West_E2,LAGAN VALLEY,14.52,25.8,420.0
N20000800,Castle_E2,BELFAST NORTH,15.79,27.0,474.0
N20002646,Braid_C2,NORTH ANTRIM,31.51,42.7,582.0
N20003410,Downpatrick_E6,SOUTH DOWN,53.87,65.1,373.0
N20003755,Ards_Peninsula_F2,STRANGFORD,12.51,23.7,395.0
N20001167,Botanic_X2,BELFAST SOUTH,43.47,54.7,560.0
N20000627,Banbridge_H3,UPPER BANN,28.45,39.7,400.0
N20001313,Black_Mountain_E2,BELFAST WEST,74.87,86.1,409.0
N20001658,The_Glens_C2,NORTH ANTRIM,16.56,27.8,485.0
N20003074,Clogher_Valley_B5,FERMANAGH AND SOUTH TYRONE,39.32,50.6,535.0
N20001111,Botanic_G2,BELFAST SOUTH,15.75,27.0,303.0
N20002742,Larne_Lough_D1,EAST ANTRIM,10.88,22.1,672.0
N20000198,Macedon_K3,BELFAST NORTH,10.13,21.4,327.0
N20003399,Downpatrick_C3,SOUTH DOWN,59.51,70.7,491.0
N20001144,Botanic_S2,BELFAST SOUTH,42.18,53.4,478.0
N20000005,Dunsilly_B2,SOUTH ANTRIM,10.4,21.6,556.0
N20002494,Castlereagh_South_H3,BELFAST SOUTH,39.81,51.0,319.0
N20000445,Craigavon_E5,UPPER BANN,43.92,55.1,389.0
N20003494,Newtownards_E3,STRANGFORD,11.88,23.1,418.0
N20001807,Ballyarnett_A4,FOYLE,74.16,85.4,478.0
N20002234,Mid_Tyrone_D2,WEST TYRONE,56.38,67.6,381.0
N20002904,Magherafelt_B2,MID ULSTER,42.12,53.3,505.0
N20002713,Coast_Road_J1,EAST ANTRIM,15.38,26.6,393.0
N20003740,Ards_Peninsula_C4,STRANGFORD,10.91,22.1,424.0
N20000601,Banbridge_B3,UPPER BANN,27.86,39.1,364.0
N20002102,Enniskillen_F3,FERMANAGH AND SOUTH TYRONE,41.28,52.5,439.0
N20002431,Downshire_East_B3,LAGAN VALLEY,12.7,23.9,308.0
N20003447,Comber_C7,STRANGFORD,10.44,21.7,283.0
N20001402,Court_L1,BELFAST WEST,15.03,26.3,440.0
N20001913,Faughan_A5,FOYLE,60.58,71.8,436.0
N20001680,The_Glens_G2,EAST ANTRIM,65.97,77.2,474.0
N20001042,Lisnasharragh_F4,BELFAST SOUTH,42.2,53.4,393.0
N20002839,Carntogher_B2,MID ULSTER,54.84,66.1,473.0
N20003265,The_Mournes_B2,SOUTH DOWN,50.1,61.3,365.0
N20000239,Glengormley_Urban_G4,BELFAST NORTH,34.73,46.0,400.0
N20001856,Waterside_B3,FOYLE,9.05,20.3,388.0
N20003282,The_Mournes_G2,SOUTH DOWN,48.28,59.5,574.0
N20000293,Airport_F4,SOUTH ANTRIM,43.7,54.9,446.0
N20000433,Craigavon_C2,UPPER BANN,40.15,51.4,532.0
N20001008,Ormiston_P5,BELFAST EAST,14.46,25.7,450.0
N20000848,Castle_U2,BELFAST NORTH,54.48,65.7,328.0
N20003109,Slieve_Gullion_D1,NEWRY AND ARMAGH,44.95,56.2,356.0
N20002800,Carrick_Castle_J3,EAST ANTRIM,14.37,25.6,472.0
N20002458,Castlereagh_South_B1,BELFAST SOUTH,44.16,55.4,486.0
N20003328,Slieve_Croob_D4,SOUTH DOWN,46.45,57.7,618.0
N20000233,Glengormley_Urban_F2,BELFAST NORTH,41.07,52.3,393.0
N20000463,Craigavon_K1,UPPER BANN,10.87,22.1,369.0
N20000944,Titanic_Y4,BELFAST SOUTH,42.8,54.0,322.0
N20000422,Craigavon_A2,UPPER BANN,57.67,68.9,633.0
N20003063,Clogher_Valley_B1,MID ULSTER,74.13,85.4,767.0
N20001951,Sperrin_B4,WEST TYRONE,34.85,46.1,462.0
N20002427,Downshire_East_A4,LAGAN VALLEY,22.92,34.2,443.0
N20000456,Craigavon_H2,UPPER BANN,14.94,26.2,322.0
N20003540,Holywood_and_Clandeboye_A3,NORTH DOWN,16.93,28.2,317.0
N20003624,Bangor_Central_A3,NORTH DOWN,21.13,32.4,516.0
N20003297,The_Mournes_L1,SOUTH DOWN,30.07,41.3,475.0
N20000385,Portadown_G1,UPPER BANN,13.76,25.0,263.0
N20001359,Black_Mountain_P3,BELFAST WEST,74.11,85.3,429.0
N20001242,Collin_C2,BELFAST WEST,69.58,80.8,563.0
N20001147,Botanic_T4,BELFAST SOUTH,24.98,36.2,332.0
N20000885,Titanic_B4,BELFAST EAST,20.62,31.9,312.0
N20000373,Portadown_D2,UPPER BANN,64.06,75.3,427.0
N20000890,Titanic_K2,BELFAST EAST,23.87,35.1,378.0
N20001095,Botanic_F2,BELFAST SOUTH,14.89,26.1,442.0
N20001635,Causeway_H4,EAST LONDONDERRY,30.73,42.0,506.0
N20000952,Ormiston_C1,BELFAST EAST,15.23,26.5,361.0
N20000210,Macedon_L4,BELFAST NORTH,59.72,71.0,500.0
N20002588,Ballymena_A2,NORTH ANTRIM,37.18,48.4,415.0
N20001577,Coleraine_H1,EAST LONDONDERRY,23.88,35.1,247.0
N20000052,Antrim_F2,SOUTH ANTRIM,23.97,35.2,399.0
N20000242,Glengormley_Urban_H3,BELFAST NORTH,18.53,29.8,366.0
N20002941,Cookstown_D1,MID ULSTER,40.03,51.3,501.0
N20003126,Slieve_Gullion_F2,NEWRY AND ARMAGH,71.98,83.2,627.0
N20001988,Sperrin_K1,WEST TYRONE,50.52,61.8,572.0
N20002814,Knockagh_C5,EAST ANTRIM,11.18,22.4,556.0
N20000228,Glengormley_Urban_E3,BELFAST NORTH,15.44,26.7,349.0
N20003741,Ards_Peninsula_D1,STRANGFORD,9.16,20.4,344.0
N20002296,Killultagh_B3,SOUTH ANTRIM,29.4,40.6,518.0
N20000107,Ballyclare_D5,SOUTH ANTRIM,12.69,23.9,323.0
N20001175,Botanic_Z1,BELFAST SOUTH,38.78,50.0,290.0
N20000267,Airport_D2,SOUTH ANTRIM,44.56,55.8,572.0
N20002715,Coast_Road_E5,EAST ANTRIM,21.97,33.2,442.0
N20003581,Bangor_West_A4,NORTH DOWN,23.84,35.1,569.0
N20001786,Foyleside_C4,FOYLE,72.52,83.8,372.0
N20002164,West_Tyrone_F1,WEST TYRONE,41.8,53.0,652.0
N20001373,Court_A3,BELFAST NORTH,35.91,47.1,486.0
N20002342,Lisburn_South_G1,LAGAN VALLEY,22.49,33.7,370.0
N20001283,Collin_P2,BELFAST WEST,67.72,79.0,293.0
N20003213,Crotlieve_A5,SOUTH DOWN,46.05,57.3,654.0
N20003591,Bangor_West_E1,NORTH DOWN,16.0,27.2,217.0
N20000049,Antrim_G1,SOUTH ANTRIM,35.44,46.7,489.0
N20001667,The_Glens_E1,NORTH ANTRIM,63.4,74.6,363.0
N20000103,Ballyclare_C2,SOUTH ANTRIM,10.99,22.2,312.0
N20000553,Lagan_River_G1,UPPER BANN,12.64,23.9,547.0
N20000380,Portadown_C4,UPPER BANN,53.72,65.0,277.0
N20001075,Lisnasharragh_P5,BELFAST SOUTH,48.05,59.3,358.0
N20001221,Balmoral_N3,BELFAST SOUTH,38.31,49.5,348.0
N20001486,Limavady_B1,EAST LONDONDERRY,30.5,41.7,353.0
N20000035,Antrim_A1,SOUTH ANTRIM,30.49,41.7,495.0
N20000314,Armagh_B4,NEWRY AND ARMAGH,23.21,34.4,280.0
N20002265,Downshire_West_D2,LAGAN VALLEY,14.97,26.2,228.0
N20003406,Downpatrick_E3,SOUTH DOWN,48.61,59.8,335.0
N20003567,Holywood_and_Clandeboye_K4,NORTH DOWN,22.38,33.6,460.0
N20000474,Craigavon_P2,UPPER BANN,15.77,27.0,596.0
N20002607,Ballymena_F1,NORTH ANTRIM,14.6,25.8,270.0
N20000163,Three_Mile_Water_K4,EAST ANTRIM,17.27,28.5,396.0
N20001875,Waterside_F2,FOYLE,24.42,35.7,516.0
N20001114,Botanic_J2,BELFAST SOUTH,57.1,68.3,395.0
N20001136,Botanic_Q1,BELFAST SOUTH,43.21,54.4,475.0
N20002461,Castlereagh_South_C1,BELFAST SOUTH,33.04,44.3,610.0
N20001234,Balmoral_P4,LAGAN VALLEY,27.64,38.9,355.0
N20001418,Court_Q2,BELFAST WEST,36.36,47.6,370.0
N20002174,West_Tyrone_G4,WEST TYRONE,50.88,62.1,490.0
N20003532,Newtownards_S3,STRANGFORD,12.12,23.4,402.0
N20000846,Castle_U1,BELFAST NORTH,63.46,74.7,317.0
N20001054,Lisnasharragh_J4,BELFAST EAST,17.06,28.3,381.0
N20000761,Oldpark_L4,BELFAST NORTH,67.92,79.1,383.0
N20003703,Bangor_East_and_Donaghadee_G3,NORTH DOWN,13.93,25.2,309.0
N20002846,Carntogher_A4,MID ULSTER,13.17,24.4,526.0
N20002720,Coast_Road_J2,EAST ANTRIM,27.22,38.5,353.0
N20001529,Bann_D4,EAST LONDONDERRY,9.86,21.1,333.0
N20002473,Castlereagh_South_D1,BELFAST SOUTH,39.64,50.9,361.0
N20003260,The_Mournes_A4,SOUTH DOWN,70.15,81.4,409.0
N20000695,Cusher_K2,NEWRY AND ARMAGH,14.3,25.5,525.0
N20001659,The_Glens_B3,NORTH ANTRIM,45.04,56.3,312.0
N20003043,Dungannon_F5,FERMANAGH AND SOUTH TYRONE,33.87,45.1,495.0
N20000006,Dunsilly_A4,SOUTH ANTRIM,28.16,39.4,357.0
N20003629,Bangor_Central_E2,NORTH DOWN,15.88,27.1,420.0
N20001914,Faughan_B1,FOYLE,44.18,55.4,358.0
N20002953,Cookstown_D4,MID ULSTER,46.5,57.7,471.0
N20003774,Ards_Peninsula_L3,STRANGFORD,41.5,52.7,350.0
N20000334,Armagh_H3,NEWRY AND ARMAGH,42.1,53.3,463.0
N20000646,Banbridge_N1,UPPER BANN,40.11,51.3,428.0
N20000298,Armagh_A4,NEWRY AND ARMAGH,69.22,80.5,515.0
N20000826,Castle_N1,BELFAST NORTH,28.59,39.8,269.0
N20002970,Cookstown_K1,MID ULSTER,65.71,76.9,474.0
N20003442,Comber_A2,STRANGFORD,9.85,21.1,277.0
N20000825,Castle_Q1,BELFAST NORTH,43.8,55.0,268.0
N20001643,Causeway_J5,NORTH ANTRIM,10.84,22.1,304.0
N20002747,Larne_Lough_F3,EAST ANTRIM,10.68,21.9,496.0
N20001708,Ballymoney_A4,NORTH ANTRIM,12.56,23.8,390.0
N20002782,Carrick_Castle_E4,EAST ANTRIM,9.73,21.0,310.0
N20003452,Comber_D3,STRANGFORD,9.37,20.6,401.0
N20001998,Derg_C1,WEST TYRONE,61.74,73.0,507.0
N20002405,Lisburn_North_H2,LAGAN VALLEY,23.39,34.6,404.0
N20003210,Crotlieve_A4,SOUTH DOWN,51.67,62.9,387.0
N20001491,Limavady_D1,EAST LONDONDERRY,30.42,41.6,485.0
N20001718,Ballymoney_H2,NORTH ANTRIM,64.08,75.3,258.0
N20001189,Balmoral_E1,BELFAST SOUTH,53.67,64.9,371.0
N20000304,Armagh_C2,NEWRY AND ARMAGH,44.54,55.8,403.0
N20003332,Slieve_Croob_G1,SOUTH DOWN,60.49,71.7,388.0
N20003012,Torrent_F5,MID ULSTER,69.7,80.9,378.0
N20002084,Enniskillen_A4,FERMANAGH AND SOUTH TYRONE,24.83,36.1,442.0
N20003355,Rowallane_B4,STRANGFORD,27.59,38.8,501.0
N20001554,Coleraine_A5,EAST LONDONDERRY,13.03,24.3,394.0
N20002247,Mid_Tyrone_G2,WEST TYRONE,45.74,57.0,472.0
N20000965,Ormiston_C5,BELFAST EAST,14.48,25.7,405.0
N20003018,Dungannon_D1,MID ULSTER,54.12,65.4,365.0
N20003683,Bangor_East_and_Donaghadee_B1,NORTH DOWN,11.63,22.9,270.0
N20002667,Braid_J1,NORTH ANTRIM,12.03,23.3,289.0
N20000545,Lurgan_S3,UPPER BANN,10.37,21.6,373.0
N20003129,Slieve_Gullion_F3,NEWRY AND ARMAGH,76.75,88.0,595.0
N20000137,Three_Mile_Water_B2,EAST ANTRIM,11.32,22.6,407.0
N20002832,Knockagh_G4,EAST ANTRIM,14.99,26.2,410.0
N20002403,Lisburn_North_D4,LAGAN VALLEY,22.02,33.3,343.0
N20003133,Slieve_Gullion_G3,NEWRY AND ARMAGH,76.88,88.1,680.0
N20002946,Cookstown_C4,MID ULSTER,48.16,59.4,305.0
N20003611,Bangor_West_J1,NORTH DOWN,13.49,24.7,364.0
