contest,year,area,str__turnout,str__n_nat_cands,str__n_uni_cands,str__n_total_cands,str__sf_sdlp_both,str__uni_single
westminster,2017,East Antrim,60.83,2,3,6,1,0
westminster,2017,Fermanagh and South Tyrone,76.07,2,1,5,1,1
westminster,2017,North Down,61.04,2,3,8,1,0
westminster,2017,Upper Bann,64.15,2,2,5,1,0
westminster,2017,South Down,67.49,2,2,5,1,0
westminster,2017,Belfast West,65.4,3,1,6,1,1
westminster,2017,North Antrim,64.2,2,3,6,1,0
westminster,2017,Belfast South,66.31,2,3,7,1,0
westminster,2017,West Tyrone,68.23,2,2,7,1,0
westminster,2017,Lagan Valley,62.23,2,3,7,1,0
westminster,2017,East Londonderry,61.39,2,3,6,1,0
westminster,2017,Newry and Armagh,68.87,2,2,5,1,0
westminster,2017,Strangford,60.36,2,3,7,1,0
westminster,2017,Belfast East,67.7,2,3,8,1,0
westminster,2017,Foyle,65.61,2,1,5,1,1
westminster,2017,Mid Ulster,68.59,2,2,5,1,0
westminster,2017,Belfast North,67.54,3,1,6,1,1
westminster,2019,South Antrim,60.23,2,2,5,1,0
westminster,2019,East Antrim,57.74,2,3,7,1,0
westminster,2019,Fermanagh and South Tyrone,70.13,2,1,5,1,1
westminster,2019,North Down,60.83,0,3,4,0,0
westminster,2019,Upper Bann,60.74,2,2,5,1,0
westminster,2019,South Down,63.11,3,2,6,1,0
westminster,2019,Belfast West,59.39,3,1,6,1,1
westminster,2019,North Antrim,57.5,2,3,6,1,0
westminster,2019,Belfast South,67.91,2,2,5,0,0
westminster,2019,West Tyrone,62.44,3,2,7,1,0
westminster,2019,Lagan Valley,60.2,2,4,7,1,0
westminster,2019,East Londonderry,57.04,3,2,6,1,0
westminster,2019,Newry and Armagh,62.94,3,2,6,1,0
westminster,2019,Strangford,56.27,2,4,8,1,0
westminster,2019,Belfast East,64.33,0,2,3,0,0
westminster,2019,Foyle,63.72,3,2,7,1,0
westminster,2019,Mid Ulster,63.83,3,2,6,1,0
westminster,2019,Belfast North,68.43,1,1,3,0,1
westminster,2024,South Antrim,55.92,3,3,8,1,0
westminster,2024,East Antrim,54.32,2,3,7,1,0
westminster,2024,Fermanagh and South Tyrone,65.96,3,1,6,1,1
westminster,2024,Belfast South and Mid Down,58.54,1,3,6,0,0
westminster,2024,North Down,58.83,1,3,6,0,0
westminster,2024,Upper Bann,58.58,2,2,5,1,0
westminster,2024,South Down,59.64,3,4,9,1,0
westminster,2024,Belfast West,53.09,3,3,10,1,0
westminster,2024,North Antrim,55.37,3,3,8,1,0
westminster,2024,West Tyrone,59.19,3,4,8,1,0
westminster,2024,Lagan Valley,59.91,1,3,6,0,0
westminster,2024,East Londonderry,54.73,3,4,9,1,0
westminster,2024,Newry and Armagh,59.09,3,4,8,1,0
westminster,2024,Strangford,52.39,2,4,10,1,0
westminster,2024,Belfast East,58.82,1,3,7,0,0
westminster,2024,Foyle,52.61,4,2,8,1,0
westminster,2024,Mid Ulster,61.74,3,3,8,1,0
westminster,2024,Belfast North,54.88,2,2,7,1,0
assembly,1998,South Antrim,64.24,3,7,14,1,0
assembly,1998,East Antrim,60.87,2,11,16,1,0
assembly,1998,Fermanagh and South Tyrone,79.41,5,6,14,1,0
assembly,1998,North Down,60.17,1,12,19,0,0
assembly,1998,Upper Bann,72.3,5,9,18,1,0
assembly,1998,South Down,73.72,7,5,17,1,0
assembly,1998,Belfast West,70.47,8,4,15,1,0
assembly,1998,North Antrim,69.03,5,10,18,1,0
assembly,1998,Belfast South,67.42,4,10,19,1,0
assembly,1998,West Tyrone,79.4,7,3,15,1,0
assembly,1998,Lagan Valley,65.69,3,9,15,1,0
assembly,1998,East Londonderry,67.66,4,8,14,1,0
assembly,1998,Newry and Armagh,77.28,6,4,14,1,0
assembly,1998,Strangford,61.59,3,13,22,1,0
assembly,1998,Belfast East,66.64,3,11,20,1,0
assembly,1998,Foyle,72.01,8,3,15,1,0
assembly,1998,Mid Ulster,84.38,6,4,13,1,0
assembly,1998,Belfast North,67.26,6,8,18,1,0
assembly,2003,South Antrim,59.49,3,9,14,1,0
assembly,2003,East Antrim,56.5,2,10,19,1,0
assembly,2003,Fermanagh and South Tyrone,72.86,5,5,12,1,0
assembly,2003,North Down,54.54,2,10,19,1,0
assembly,2003,Upper Bann,64.15,5,7,14,1,0
assembly,2003,South Down,65.59,8,4,16,1,0
assembly,2003,Belfast West,65.92,8,4,14,1,0
assembly,2003,North Antrim,63.32,3,8,12,1,0
assembly,2003,Belfast South,62.59,4,7,17,1,0
assembly,2003,West Tyrone,73.24,5,5,12,1,0
assembly,2003,Lagan Valley,61.44,3,8,13,1,0
assembly,2003,East Londonderry,61.75,4,8,14,1,0
assembly,2003,Newry and Armagh,70.18,6,4,11,1,0
assembly,2003,Strangford,57.06,2,8,13,1,0
assembly,2003,Belfast East,60.7,3,8,15,1,0
assembly,2003,Foyle,63.45,7,2,13,1,0
assembly,2003,Mid Ulster,74.92,7,4,12,1,0
assembly,2003,Belfast North,62.31,5,7,16,1,0
assembly,2007,South Antrim,58.61,4,8,14,1,0
assembly,2007,East Antrim,53.46,2,8,14,1,0
assembly,2007,Fermanagh and South Tyrone,71.16,6,5,13,1,0
assembly,2007,North Down,53.77,2,10,16,1,0
assembly,2007,Upper Bann,61.14,5,8,16,1,0
assembly,2007,South Down,65.02,6,6,16,1,0
assembly,2007,Belfast West,67.41,9,2,14,1,0
assembly,2007,North Antrim,61.33,3,7,13,1,0
assembly,2007,Belfast South,62.41,4,8,18,1,0
assembly,2007,West Tyrone,71.68,7,4,12,1,0
assembly,2007,Lagan Valley,60,3,9,14,1,0
assembly,2007,East Londonderry,60.92,5,7,15,1,0
assembly,2007,Newry and Armagh,70.83,5,4,12,1,0
assembly,2007,Strangford,54.53,2,10,15,1,0
assembly,2007,Belfast East,60.04,3,8,15,1,0
assembly,2007,Foyle,63.89,8,3,14,1,0
assembly,2007,Mid Ulster,73.06,6,4,12,1,0
assembly,2007,Belfast North,60.9,5,6,14,1,0
westminster,1997,South Antrim,58.04,2,2,6,1,0
westminster,1997,East Antrim,58.34,2,5,9,1,0
westminster,1997,Fermanagh and South Tyrone,75.17,2,1,5,1,1
westminster,1997,North Down,58.09,1,3,8,0,0
westminster,1997,Upper Bann,67.95,3,3,8,1,0
westminster,1997,South Down,71.07,2,1,5,1,1
westminster,1997,Belfast West,74.49,3,1,6,1,1
westminster,1997,North Antrim,63.87,2,2,7,1,0
westminster,1997,Belfast South,62.43,3,3,10,1,0
westminster,1997,West Tyrone,79.65,3,1,6,1,1
westminster,1997,Lagan Valley,62.3,3,3,8,1,0
westminster,1997,East Londonderry,64.84,2,3,8,1,0
westminster,1997,Newry and Armagh,90.43,2,1,5,1,1
westminster,1997,Strangford,59.51,2,3,7,1,0
westminster,1997,Belfast East,63.32,3,3,9,1,0
westminster,1997,Foyle,70.74,2,1,5,1,1
westminster,1997,Mid Ulster,86.02,3,1,6,1,1
westminster,1997,Belfast North,64.32,3,1,7,1,1
westminster,2001,South Antrim,62.78,2,3,6,1,0
westminster,2001,East Antrim,59.65,2,4,7,1,0
westminster,2001,Fermanagh and South Tyrone,79.03,2,1,4,1,1
westminster,2001,North Down,59.13,2,4,6,1,0
westminster,2001,Upper Bann,70.79,3,2,5,1,0
westminster,2001,South Down,71.61,2,2,5,1,0
westminster,2001,Belfast West,69.94,3,3,7,1,0
westminster,2001,North Antrim,66.55,2,2,5,1,0
westminster,2001,Belfast South,64.25,3,2,8,1,0
westminster,2001,West Tyrone,80.61,2,1,3,1,1
westminster,2001,Lagan Valley,63.6,2,2,5,1,0
westminster,2001,East Londonderry,66.87,2,2,5,1,0
westminster,2001,Newry and Armagh,77.56,2,2,4,1,0
westminster,2001,Strangford,60.29,2,3,6,1,0
westminster,2001,Belfast East,63.35,3,4,9,1,0
westminster,2001,Foyle,69.6,2,2,5,1,0
westminster,2001,Mid Ulster,82.08,3,1,4,1,1
westminster,2001,Belfast North,67.79,3,2,6,1,0
westminster,2005,South Antrim,57.34,2,2,5,1,0
westminster,2005,East Antrim,55.16,2,2,6,1,0
westminster,2005,Fermanagh and South Tyrone,74.31,2,2,4,1,0
westminster,2005,North Down,54.69,2,4,7,1,0
westminster,2005,Upper Bann,62.46,3,2,6,1,0
westminster,2005,South Down,66.51,2,2,5,1,0
westminster,2005,Belfast West,65.24,3,1,7,1,1
westminster,2005,North Antrim,62.52,2,2,5,1,0
westminster,2005,Belfast South,61.74,3,2,7,1,0
westminster,2005,West Tyrone,73.54,2,2,5,1,0
westminster,2005,Lagan Valley,61.01,2,2,5,1,0
westminster,2005,East Londonderry,61.25,2,2,6,1,0
westminster,2005,Newry and Armagh,71.51,2,2,5,1,0
westminster,2005,Strangford,54.28,2,3,6,1,0
westminster,2005,Belfast East,58.64,3,3,8,1,0
westminster,2005,Foyle,67.01,2,2,6,1,0
westminster,2005,Mid Ulster,73.92,3,2,5,1,0
westminster,2005,Belfast North,58.61,3,2,7,1,0
westminster,2010,South Antrim,54.15,2,2,6,1,0
westminster,2010,East Antrim,50.89,2,2,6,1,0
westminster,2010,Fermanagh and South Tyrone,69.31,2,1,5,1,1
westminster,2010,North Down,55.26,2,2,7,1,0
westminster,2010,Upper Bann,55.77,2,1,5,1,1
westminster,2010,South Down,60.52,2,2,7,1,0
westminster,2010,Belfast West,54.91,2,1,5,1,1
westminster,2010,Newry And Armagh,,2,2,6,1,0
westminster,2010,North Antrim,58.06,2,3,7,1,0
westminster,2010,Belfast South,57.72,1,1,5,0,1
westminster,2010,West Tyrone,61.54,2,1,6,1,1
westminster,2010,Lagan Valley,56.21,2,2,6,1,0
westminster,2010,East Londonderry,55.5,2,2,6,1,0
westminster,2010,Newry and Armagh,,2,2,6,1,0
westminster,2010,Strangford,53.85,2,2,7,1,0
westminster,2010,Belfast East,58.66,2,2,6,1,0
westminster,2010,Foyle,58,2,1,6,1,1
westminster,2010,Mid Ulster,63.69,2,2,6,1,0
westminster,2010,Belfast North,56.84,3,1,6,1,1
local,2014,Erne West,68.21,4,2,7,1,0
local,2014,Braid,53.81,2,10,13,1,0
local,2014,Lagan River,52.11,2,6,11,1,0
local,2014,Magherafelt,56.89,4,4,11,1,0
local,2014,Black Mountain,56.91,9,0,13,1,0
local,2014,Balmoral,52.8,3,5,14,1,0
local,2014,Titanic,47.06,3,7,15,1,0
local,2014,Carntogher,65.62,5,3,8,1,0
local,2014,Court,56.55,4,8,16,1,0
local,2014,Limavady,50.73,4,6,10,1,0
local,2014,Waterside,48.51,4,9,15,1,0
local,2014,Erne North,60.89,4,4,8,1,0
local,2014,Three Mile Water,47.9,0,9,12,0,0
local,2014,Benbradagh,50.45,5,2,7,1,0
local,2014,Castlereagh South,50.27,3,5,12,1,0
local,2014,Bannside,56.42,1,7,9,0,0
local,2014,Clogher Valley,61.76,3,4,7,1,0
local,2014,Coleraine,42.99,2,8,13,1,0
local,2014,Mid Tyrone,63.63,5,2,9,1,0
local,2014,Ballyarnett,49.19,7,0,9,1,0
local,2014,Lisnasharragh,53.04,1,5,11,0,0
local,2014,Cusher,60.58,2,4,7,1,0
local,2014,Bangor East and Donaghadee,40.78,0,9,13,0,0
local,2014,Omagh,49.25,3,3,8,0,0
local,2014,Dunsilly,50.81,3,3,7,1,0
local,2014,Foyleside,51.39,6,0,9,1,0
local,2014,Ballymena,42.5,3,7,14,1,0
local,2014,Macedon,45.76,2,7,10,1,0
local,2014,Glengormley Urban,48.67,3,5,11,1,0
local,2014,Castlereagh East,49.03,0,7,13,0,0
local,2014,Collin,56.75,7,1,11,1,1
local,2014,Botanic,47.2,3,3,12,1,0
local,2014,Craigavon,49.12,5,5,12,1,0
local,2014,The Glens,54.53,6,3,12,1,0
local,2014,Enniskillen,54.23,3,6,13,1,0
local,2014,Castle,51.26,4,4,11,1,0
local,2014,Ballyclare,45.81,0,7,11,0,0
local,2014,Antrim,41.92,2,6,11,1,0
local,2014,Coast Road,43.81,2,5,12,1,0
local,2014,The Moor,56.6,6,0,8,1,0
local,2014,Sperrin,59.62,6,3,11,1,0
local,2014,Torrent,57,6,2,9,1,0
local,2014,Bangor West,40.42,1,5,10,0,0
local,2014,Armagh,55.27,5,4,10,1,0
local,2014,Bann,54.66,2,5,8,1,0
local,2014,Newtownards,41.35,0,8,14,0,0
local,2014,Lurgan,49,8,7,17,1,0
local,2014,Rowallane,48.34,2,5,10,1,0
local,2014,Downshire West,49.96,1,7,12,0,0
local,2014,Holywood and Clandeboye,44,1,4,10,0,0
local,2014,Banbridge,49.58,4,6,12,1,0
local,2014,Downpatrick,47.23,5,2,8,1,0
local,2014,Dungannon,53.93,3,5,10,1,0
local,2014,Lisburn North,47.08,2,7,13,1,0
local,2014,Ballymoney,49.67,4,9,15,1,0
local,2014,Slieve Croob,50.44,5,3,10,1,0
local,2014,Larne Lough,44.89,1,6,10,0,0
local,2014,West Tyrone,64.33,5,3,10,1,0
local,2014,Comber,45.84,0,8,10,0,0
local,2014,Moyola,62.18,4,2,6,1,0
local,2014,Oldpark,51.67,6,5,14,1,0
local,2014,Causeway,45.37,1,10,15,0,0
local,2014,Faughan,49.52,5,3,10,1,0
local,2014,Downshire East,52.43,0,8,11,0,0
local,2014,Carrick Castle,45.76,0,7,12,0,0
local,2014,Crotlieve,54.36,7,2,11,1,0
local,2014,Erne East,69.75,5,3,8,1,0
local,2014,Lisburn South,43.4,1,7,12,0,0
local,2014,Bangor Central,38.84,0,9,16,0,0
local,2014,Portadown,52.21,3,8,13,1,0
local,2014,Airport,48.74,3,4,9,1,0
local,2014,Slieve Gullion,57.33,7,2,9,1,0
local,2014,Derg,61.59,5,4,9,1,0
local,2014,Newry,48.78,6,1,9,1,1
local,2014,Killultagh,50.8,2,4,8,1,0
local,2014,The Mournes,55.19,4,3,9,1,0
local,2014,Knockagh,47.01,0,10,13,0,0
local,2014,Cookstown,56.81,4,6,11,1,0
local,2014,Ormiston,63.18,2,10,19,1,0
local,2014,Ards Peninsula,44.24,2,6,11,1,0
local,2019,Erne West,69.03,4,2,8,1,0
local,2019,Braid,52.72,1,8,12,0,0
local,2019,Lagan River,51.94,2,7,11,1,0
local,2019,Magherafelt,58.31,4,3,7,1,0
local,2019,Black Mountain,55.33,9,0,12,1,0
local,2019,Balmoral,52.21,3,4,10,1,0
local,2019,Titanic,42.61,1,6,11,0,0
local,2019,Carntogher,65.16,6,2,9,1,0
local,2019,Court,52.13,4,6,14,1,0
local,2019,Limavady,50.16,3,4,8,1,0
local,2019,Waterside,51.82,4,4,10,1,0
local,2019,Erne North,63.2,3,5,10,1,0
local,2019,Three Mile Water,48.35,0,7,10,0,0
local,2019,Benbradagh,56.7,5,3,9,1,0
local,2019,Castlereagh South,52.62,3,4,11,1,0
local,2019,Bannside,56.76,1,7,9,0,0
local,2019,Clogher Valley,62.66,3,4,7,1,0
local,2019,Coleraine,45.39,1,7,9,0,0
local,2019,Mid Tyrone,65.32,7,2,11,1,0
local,2019,Ballyarnett,56.09,8,0,11,1,0
local,2019,Lisnasharragh,53.8,2,7,15,1,0
local,2019,Cusher,62.55,2,4,9,1,0
local,2019,Bangor East and Donaghadee,44.19,0,5,8,0,0
local,2019,Omagh,50.73,6,3,16,1,0
local,2019,Dunsilly,52.64,3,4,8,1,0
local,2019,Foyleside,56.83,6,0,9,1,0
local,2019,Ballymena,44.18,2,8,14,1,0
local,2019,Macedon,46.58,1,7,10,0,0
local,2019,Glengormley Urban,50.89,3,5,10,1,0
local,2019,Castlereagh East,47.1,0,6,8,0,0
local,2019,Collin,52.89,8,2,13,1,0
local,2019,Botanic,44.76,4,5,14,1,0
local,2019,Craigavon,52.4,5,4,10,1,0
local,2019,The Glens,54.47,4,2,7,1,0
local,2019,Enniskillen,56.04,3,5,11,1,0
local,2019,Castle,51.37,5,3,13,1,0
local,2019,Ballyclare,51.71,0,6,9,0,0
local,2019,Antrim,43.27,2,6,10,1,0
local,2019,Coast Road,45.75,1,4,7,0,0
local,2019,The Moor,60.37,6,1,11,1,1
local,2019,Sperrin,61.43,6,3,15,1,0
local,2019,Torrent,59.75,5,2,8,1,0
local,2019,Bangor West,42.65,1,4,8,0,0
local,2019,Armagh,58.75,6,2,10,1,0
local,2019,Bann,57.46,2,6,9,1,0
local,2019,Newtownards,41.38,0,6,11,0,0
local,2019,Lurgan,48.53,6,3,10,1,0
local,2019,Rowallane,52.62,3,3,9,1,0
local,2019,Downshire West,50.88,1,6,9,0,0
local,2019,Holywood and Clandeboye,45.87,0,4,7,0,0
local,2019,Banbridge,50.27,3,6,10,1,0
local,2019,Downpatrick,51.12,6,2,11,1,0
local,2019,Dungannon,56.16,2,4,9,0,0
local,2019,Lisburn North,48.27,2,7,10,1,0
local,2019,Ballymoney,51.62,2,8,12,0,0
local,2019,Slieve Croob,55.84,6,1,8,1,1
local,2019,Larne Lough,46.36,0,5,8,0,0
local,2019,West Tyrone,62.81,6,2,9,1,0
local,2019,Comber,46.24,0,6,9,0,0
local,2019,Moyola,62.73,5,2,8,1,0
local,2019,Oldpark,52.42,5,4,12,0,0
local,2019,Causeway,48.59,1,8,12,0,0
local,2019,Faughan,53.28,4,1,7,1,1
local,2019,Downshire East,50.94,1,5,7,0,0
local,2019,Carrick Castle,42.94,0,5,9,0,0
local,2019,Crotlieve,58.65,7,2,13,1,0
local,2019,Erne East,71.62,6,2,10,1,0
local,2019,Lisburn South,45.38,1,8,12,0,0
local,2019,Bangor Central,41.01,0,6,12,0,0
local,2019,Portadown,52.76,3,6,11,1,0
local,2019,Airport,50.71,3,4,8,1,0
local,2019,Slieve Gullion,61.45,7,2,10,1,0
local,2019,Derg,62.48,4,2,8,1,0
local,2019,Newry,52.05,6,1,9,1,1
local,2019,Killultagh,52.86,2,5,9,1,0
local,2019,The Mournes,58.35,5,0,7,1,0
local,2019,Knockagh,46.89,0,6,8,0,0
local,2019,Cookstown,57.03,4,5,9,1,0
local,2019,Ormiston,52.43,1,6,11,0,0
local,2019,Ards Peninsula,45.25,2,6,10,1,0
local,2023,Erne West,68.35,4,2,8,1,0
local,2023,Braid,53.64,1,7,9,0,0
local,2023,Lagan River,54.76,2,6,9,1,0
local,2023,Magherafelt,60.51,3,4,8,1,0
local,2023,Black Mountain,59.98,10,0,13,1,0
local,2023,Balmoral,55.51,4,3,10,1,0
local,2023,Titanic,42.31,2,5,10,1,0
local,2023,Carntogher,69.92,6,2,8,1,0
local,2023,Court,51.62,5,5,14,1,0
local,2023,Limavady,52.35,3,4,10,1,0
local,2023,Waterside,52.33,4,4,10,1,0
local,2023,Erne North,62.5,3,5,9,1,0
local,2023,Three Mile Water,50.71,1,6,10,0,0
local,2023,Benbradagh,59.35,5,2,9,1,0
local,2023,Castlereagh South,56.73,4,3,12,1,0
local,2023,Bannside,58.31,2,6,9,1,0
local,2023,Clogher Valley,68.4,4,3,8,1,0
local,2023,Coleraine,44.38,2,6,11,1,0
local,2023,Mid Tyrone,66.2,5,2,9,1,0
local,2023,Ballyarnett,51.88,7,0,9,1,0
local,2023,Lisnasharragh,56.27,2,4,11,1,0
local,2023,Cusher,63.9,2,5,9,1,0
local,2023,Bangor East and Donaghadee,47.55,0,5,10,0,0
local,2023,Omagh,50.75,4,2,10,1,0
local,2023,Dunsilly,56.56,4,4,9,1,0
local,2023,Foyleside,54.58,6,0,8,1,0
local,2023,Ballymena,45.36,2,5,9,1,0
local,2023,Macedon,49.49,1,6,10,0,0
local,2023,Glengormley Urban,54.08,4,4,12,1,0
local,2023,Castlereagh East,48.85,0,6,9,0,0
local,2023,Collin,57.01,8,0,13,1,0
local,2023,Botanic,46.66,4,5,14,1,0
local,2023,Craigavon,53.45,4,3,8,1,0
local,2023,The Glens,59.18,5,2,8,1,0
local,2023,Enniskillen,56.99,4,5,11,1,0
local,2023,Castle,52.47,4,3,10,1,0
local,2023,Ballyclare,51.22,1,5,9,0,0
local,2023,Antrim,43.33,2,6,11,1,0
local,2023,Coast Road,46.39,1,5,9,0,0
local,2023,The Moor,56.69,6,0,9,1,0
local,2023,Sperrin,62.66,6,3,14,1,0
local,2023,Torrent,65.63,5,2,10,1,0
local,2023,Bangor West,45.48,1,5,11,0,0
local,2023,Armagh,60.48,7,2,10,1,0
local,2023,Bann,59.84,4,5,12,1,0
local,2023,Newtownards,43.51,0,5,11,0,0
local,2023,Lurgan,53.34,5,3,9,1,0
local,2023,Rowallane,51.15,2,4,9,1,0
local,2023,Downshire West,54.58,1,5,9,0,0
local,2023,Holywood and Clandeboye,48.93,1,4,9,0,0
local,2023,Banbridge,54.16,3,6,10,1,0
local,2023,Downpatrick,52.81,6,2,11,1,0
local,2023,Dungannon,60.1,4,4,12,1,0
local,2023,Lisburn North,51.28,2,4,9,1,0
local,2023,Ballymoney,55.69,3,6,11,1,0
local,2023,Slieve Croob,56.99,6,2,10,1,0
local,2023,Larne Lough,47.39,0,5,8,0,0
local,2023,West Tyrone,66.5,5,2,8,1,0
local,2023,Comber,48.84,0,4,9,0,0
local,2023,Moyola,68.37,5,3,9,1,0
local,2023,Oldpark,52.61,6,3,13,1,0
local,2023,Causeway,50.56,2,6,13,1,0
local,2023,Faughan,56.34,4,3,10,1,0
local,2023,Downshire East,54.66,1,5,8,0,0
local,2023,Carrick Castle,45.55,0,7,9,0,0
local,2023,Crotlieve,62.21,7,2,15,1,0
local,2023,Erne East,70.82,4,2,9,1,0
local,2023,Lisburn South,45.11,2,6,10,1,0
local,2023,Bangor Central,44.15,0,6,12,0,0
local,2023,Portadown,55.63,3,6,10,1,0
local,2023,Airport,52.14,3,2,7,1,0
local,2023,Slieve Gullion,65.79,9,2,13,1,0
local,2023,Derg,63.34,5,2,10,1,0
local,2023,Newry,53.38,8,1,11,1,1
local,2023,Killultagh,52.95,2,4,8,1,0
local,2023,The Mournes,60.95,5,4,11,1,0
local,2023,Knockagh,49.5,0,5,8,0,0
local,2023,Cookstown,60.75,4,5,11,1,0
local,2023,Ormiston,54.64,2,5,13,1,0
local,2023,Ards Peninsula,52.24,2,6,11,1,0
euref,2016,South Antrim,63.1,0,0,2,0,0
euref,2016,East Antrim,65,0,0,2,0,0
euref,2016,Fermanagh and South Tyrone,67.8,0,0,2,0,0
euref,2016,North Down,67.3,0,0,2,0,0
euref,2016,Upper Bann,63.6,0,0,2,0,0
euref,2016,South Down,62.2,0,0,2,0,0
euref,2016,Belfast West,48.9,0,0,2,0,0
euref,2016,North Antrim,64.7,0,0,2,0,0
euref,2016,Belfast South,66.9,0,0,2,0,0
euref,2016,West Tyrone,61.7,0,0,2,0,0
euref,2016,Lagan Valley,66.3,0,0,2,0,0
euref,2016,East Londonderry,59.7,0,0,2,0,0
euref,2016,Newry and Armagh,63.9,0,0,2,0,0
euref,2016,Strangford,64.2,0,0,2,0,0
euref,2016,Belfast East,66.2,0,0,2,0,0
euref,2016,Foyle,57.2,0,0,2,0,0
euref,2016,Mid Ulster,61.6,0,0,2,0,0
euref,2016,Belfast North,57.4,0,0,2,0,0
