DZ21,con,catholic_bg_pct,soft,unity,lo90,hi90,band90_width,p_below50,maj_uncert
N20000293,SOUTH ANTRIM,59.8,0.663,55.1,46.8,63.4,16.6,0.158,0.158
N20000294,SOUTH ANTRIM,88.9,0.907,71.5,60.6,82.5,21.9,0.001,0.001
N20000295,NEWRY AND ARMAGH,62.5,0.677,56.6,48.2,65.0,16.8,0.1,0.1
N20000296,NEWRY AND ARMAGH,54.6,0.609,52.1,44.4,59.9,15.5,0.325,0.325
N20000297,NEWRY AND ARMAGH,87.6,0.893,70.8,60.0,81.6,21.6,0.001,0.001
N20000298,NEWRY AND ARMAGH,90.3,0.916,72.3,61.3,83.4,22.1,0.0,0.0
N20000299,NEWRY AND ARMAGH,68.5,0.729,60.0,51.0,69.0,18.0,0.034,0.034
N20000300,NEWRY AND ARMAGH,84.9,0.87,69.3,58.8,79.8,21.0,0.001,0.001
N20000301,NEWRY AND ARMAGH,76.3,0.796,64.4,54.7,74.1,19.4,0.007,0.007
N20000303,NEWRY AND ARMAGH,92.3,0.934,73.5,62.3,84.7,22.4,0.0,0.0
N20000304,NEWRY AND ARMAGH,60.7,0.661,55.6,47.3,63.9,16.6,0.134,0.134
N20000305,NEWRY AND ARMAGH,24.3,0.348,35.0,29.8,40.2,10.4,1.0,0.0
N20000306,NEWRY AND ARMAGH,51.9,0.586,50.6,43.1,58.1,15.0,0.447,0.447
N20000307,NEWRY AND ARMAGH,50.3,0.572,49.7,42.4,57.0,14.6,0.527,0.473
N20000308,NEWRY AND ARMAGH,50.3,0.572,49.7,42.4,57.0,14.6,0.527,0.473
N20000310,NEWRY AND ARMAGH,59.5,0.651,54.9,46.7,63.1,16.4,0.162,0.162
