DZ21,con,catholic_bg_pct,soft,unity,lo90,hi90,band90_width,p_below50,maj_uncert
N20001813,FOYLE,91.0,0.925,72.7,61.6,83.9,22.3,0.0,0.0
N20001815,FOYLE,93.9,0.949,74.4,63.0,85.8,22.8,0.0,0.0
N20001817,FOYLE,92.2,0.935,73.4,62.2,84.6,22.4,0.0,0.0
N20001819,FOYLE,94.9,0.958,74.9,63.5,86.4,22.9,0.0,0.0
N20001820,FOYLE,93.9,0.949,74.4,63.0,85.8,22.8,0.0,0.0
N20001823,FOYLE,91.3,0.928,72.9,61.8,84.1,22.3,0.0,0.0
N20001824,FOYLE,95.1,0.959,75.1,63.6,86.5,22.9,0.0,0.0
N20001825,FOYLE,92.9,0.941,73.8,62.5,85.1,22.6,0.0,0.0
N20001826,FOYLE,90.0,0.917,72.2,61.1,83.2,22.1,0.0,0.0
N20001827,FOYLE,92.2,0.935,73.4,62.2,84.6,22.4,0.0,0.0
N20001829,FOYLE,94.7,0.956,74.8,63.4,86.3,22.9,0.0,0.0
N20001831,FOYLE,94.0,0.95,74.4,63.0,85.8,22.8,0.0,0.0
N20001833,FOYLE,89.6,0.914,71.9,61.0,82.9,21.9,0.001,0.001
N20001834,FOYLE,92.8,0.94,73.8,62.5,85.0,22.5,0.0,0.0
N20001838,FOYLE,93.8,0.949,74.3,62.9,85.7,22.8,0.0,0.0
N20001840,FOYLE,90.5,0.921,72.5,61.4,83.5,22.1,0.0,0.0
N20001841,FOYLE,95.0,0.958,75.0,63.5,86.5,23.0,0.0,0.0
N20001844,FOYLE,95.8,0.965,75.5,63.9,87.0,23.1,0.0,0.0
N20001847,FOYLE,94.2,0.952,74.5,63.1,86.0,22.9,0.0,0.0
N20001850,FOYLE,55.8,0.633,52.8,44.8,60.8,16.0,0.281,0.281
N20001851,FOYLE,68.1,0.735,59.8,50.7,68.8,18.1,0.038,0.038
N20001852,FOYLE,31.7,0.433,39.2,33.2,45.1,11.9,0.999,0.001
N20001853,FOYLE,10.8,0.259,27.3,22.9,31.8,8.9,1.0,0.0
N20001854,FOYLE,49.6,0.581,49.3,41.9,56.7,14.8,0.561,0.439
N20001855,FOYLE,43.7,0.532,46.0,39.0,52.9,13.9,0.83,0.17
N20001856,FOYLE,7.0,0.228,25.2,21.0,29.4,8.4,1.0,0.0
N20001857,FOYLE,15.2,0.296,29.8,25.1,34.6,9.5,1.0,0.0
N20001858,FOYLE,67.8,0.733,59.6,50.6,68.6,18.0,0.04,0.04
N20001859,FOYLE,50.0,0.585,49.5,42.1,57.0,14.9,0.541,0.459
N20001860,FOYLE,55.2,0.628,52.5,44.6,60.4,15.8,0.304,0.304
N20001861,FOYLE,71.6,0.764,61.8,52.4,71.1,18.7,0.02,0.02
N20001862,FOYLE,22.3,0.355,33.9,28.6,39.1,10.5,1.0,0.0
N20001863,FOYLE,45.1,0.544,46.8,39.7,53.8,14.1,0.775,0.225
N20001864,FOYLE,28.3,0.405,37.2,31.6,42.9,11.3,1.0,0.0
N20001865,FOYLE,25.1,0.378,35.4,30.0,40.9,10.9,1.0,0.0
N20001866,FOYLE,13.8,0.284,29.0,24.4,33.7,9.3,1.0,0.0
N20001867,FOYLE,44.1,0.536,46.2,39.2,53.2,14.0,0.815,0.185
N20001868,FOYLE,17.3,0.313,31.0,26.2,35.9,9.7,1.0,0.0
N20001869,FOYLE,10.9,0.26,27.4,23.0,31.8,8.8,1.0,0.0
N20001870,FOYLE,59.0,0.66,54.6,46.4,62.9,16.5,0.179,0.179
N20001871,FOYLE,36.5,0.473,41.9,35.5,48.2,12.7,0.982,0.018
N20001872,FOYLE,56.6,0.64,53.3,45.2,61.3,16.1,0.253,0.253
N20001873,FOYLE,25.2,0.379,35.5,30.0,40.9,10.9,1.0,0.0
N20001874,FOYLE,73.9,0.783,63.1,53.5,72.6,19.1,0.013,0.013
N20001875,FOYLE,31.1,0.428,38.8,32.9,44.7,11.8,0.999,0.001
N20001876,FOYLE,9.0,0.244,26.3,22.0,30.6,8.6,1.0,0.0
N20001877,FOYLE,64.6,0.706,57.8,49.0,66.5,17.5,0.072,0.072
N20001878,FOYLE,50.7,0.591,49.9,42.4,57.5,15.1,0.506,0.494
N20001879,FOYLE,27.3,0.396,36.7,31.1,42.3,11.2,1.0,0.0
N20001880,FOYLE,17.4,0.314,31.1,26.2,36.0,9.8,1.0,0.0
N20001882,FOYLE,65.6,0.714,58.4,49.5,67.2,17.7,0.06,0.06
N20001883,FOYLE,80.8,0.841,67.0,56.8,77.2,20.4,0.003,0.003
N20001884,FOYLE,58.9,0.659,54.6,46.3,62.8,16.5,0.182,0.182
N20001885,FOYLE,50.0,0.585,49.5,42.1,57.0,14.9,0.541,0.459
N20001886,FOYLE,55.4,0.63,52.6,44.6,60.5,15.9,0.297,0.297
N20001888,FOYLE,56.7,0.64,53.3,45.3,61.4,16.1,0.249,0.249
N20001889,FOYLE,83.7,0.865,68.6,58.2,79.1,20.9,0.002,0.002
N20001891,FOYLE,66.7,0.723,59.0,50.1,67.9,17.8,0.05,0.05
N20001892,FOYLE,92.1,0.934,73.4,62.1,84.6,22.5,0.0,0.0
N20001894,FOYLE,22.7,0.358,34.1,28.8,39.3,10.5,1.0,0.0
N20001895,FOYLE,76.0,0.801,64.2,54.5,74.0,19.5,0.008,0.008
N20001896,FOYLE,88.8,0.907,71.5,60.6,82.4,21.8,0.001,0.001
N20001898,FOYLE,22.5,0.356,34.0,28.7,39.2,10.5,1.0,0.0
N20001899,FOYLE,4.7,0.209,23.9,19.8,28.0,8.2,1.0,0.0
N20001900,FOYLE,76.1,0.802,64.3,54.5,74.1,19.6,0.008,0.008
N20001901,FOYLE,91.2,0.927,72.8,61.7,84.0,22.3,0.0,0.0
N20001902,FOYLE,28.9,0.41,37.6,31.9,43.3,11.4,1.0,0.0
N20001903,FOYLE,47.3,0.562,48.0,40.8,55.2,14.4,0.675,0.325
N20001904,FOYLE,87.5,0.896,70.8,60.0,81.6,21.6,0.001,0.001
N20001905,FOYLE,5.7,0.217,24.5,20.3,28.6,8.3,1.0,0.0
N20001906,FOYLE,93.1,0.943,73.9,62.6,85.2,22.6,0.0,0.0
N20001907,FOYLE,42.6,0.523,45.3,38.5,52.2,13.7,0.868,0.132
N20001908,FOYLE,50.8,0.591,50.0,42.4,57.5,15.1,0.501,0.499
N20001909,FOYLE,88.6,0.905,71.4,60.5,82.3,21.8,0.001,0.001
N20001912,FOYLE,81.8,0.849,67.5,57.2,77.8,20.6,0.003,0.003
N20001913,FOYLE,82.4,0.854,67.9,57.5,78.2,20.7,0.002,0.002
N20001914,FOYLE,62.1,0.685,56.4,47.9,64.9,17.0,0.11,0.11
N20001916,FOYLE,56.8,0.641,53.4,45.3,61.4,16.1,0.246,0.246
N20001917,FOYLE,45.9,0.551,47.2,40.1,54.3,14.2,0.74,0.26
N20001919,FOYLE,60.3,0.67,55.4,47.0,63.7,16.7,0.147,0.147
N20001920,FOYLE,61.1,0.677,55.8,47.4,64.2,16.8,0.129,0.129
N20001921,FOYLE,61.2,0.678,55.9,47.4,64.3,16.9,0.127,0.127
N20001922,FOYLE,31.1,0.428,38.8,32.9,44.7,11.8,0.999,0.001
N20001923,EAST LONDONDERRY,77.3,0.802,65.0,55.2,74.8,19.6,0.006,0.006
N20001924,EAST LONDONDERRY,91.1,0.922,72.8,61.7,83.9,22.2,0.0,0.0
N20001925,FOYLE,90.0,0.917,72.2,61.1,83.2,22.1,0.0,0.0
N20001926,FOYLE,80.5,0.838,66.8,56.6,77.0,20.4,0.003,0.003
N20001927,EAST LONDONDERRY,73.3,0.767,62.7,53.3,72.1,18.8,0.013,0.013
N20001928,FOYLE,52.5,0.606,50.9,43.3,58.6,15.3,0.42,0.42
N20001929,FOYLE,46.5,0.556,47.5,40.4,54.7,14.3,0.712,0.288
N20001932,FOYLE,6.8,0.226,25.1,20.9,29.3,8.4,1.0,0.0
N20001933,FOYLE,4.7,0.209,23.9,19.8,28.0,8.2,1.0,0.0
N20001935,FOYLE,48.2,0.57,48.5,41.2,55.8,14.6,0.631,0.369
N20001936,EAST LONDONDERRY,50.7,0.569,49.9,42.6,57.2,14.6,0.507,0.493
N20001937,EAST LONDONDERRY,56.9,0.623,53.4,45.6,61.3,15.7,0.237,0.237
N20001938,FOYLE,80.3,0.836,66.7,56.5,76.8,20.3,0.004,0.004
N20001939,WEST TYRONE,10.4,0.193,27.1,23.2,31.1,7.9,1.0,0.0
N20001940,FOYLE,8.8,0.243,26.2,21.9,30.5,8.6,1.0,0.0
N20001943,EAST LONDONDERRY,69.8,0.736,60.7,51.7,69.8,18.1,0.026,0.026
N20001944,EAST LONDONDERRY,73.1,0.765,62.6,53.2,72.0,18.8,0.014,0.014
N20001946,EAST LONDONDERRY,60.4,0.654,55.4,47.2,63.6,16.4,0.139,0.139
N20001947,WEST TYRONE,19.8,0.278,32.4,27.9,37.0,9.1,1.0,0.0
N20001948,EAST LONDONDERRY,18.6,0.289,31.8,27.1,36.4,9.3,1.0,0.0
N20001949,EAST LONDONDERRY,63.9,0.685,57.4,48.9,65.9,17.0,0.077,0.077
N20001950,WEST TYRONE,21.9,0.297,33.6,28.9,38.4,9.5,1.0,0.0
N20001951,WEST TYRONE,47.9,0.531,48.3,41.4,55.3,13.9,0.653,0.347
N20001952,WEST TYRONE,16.4,0.247,30.5,26.2,34.9,8.7,1.0,0.0
N20001954,EAST LONDONDERRY,61.1,0.66,55.8,47.6,64.1,16.5,0.124,0.124
N20001956,EAST LONDONDERRY,87.4,0.89,70.7,60.0,81.4,21.4,0.001,0.001
N20001957,WEST TYRONE,40.7,0.466,44.3,38.0,50.5,12.5,0.933,0.067
N20001958,WEST TYRONE,18.2,0.264,31.5,27.1,36.0,8.9,1.0,0.0
N20001959,WEST TYRONE,58.9,0.63,54.6,46.6,62.5,15.9,0.173,0.173
N20001960,WEST TYRONE,82.0,0.838,67.6,57.5,77.8,20.3,0.002,0.002
N20001961,WEST TYRONE,57.5,0.617,53.8,46.0,61.6,15.6,0.214,0.214
N20001962,WEST TYRONE,86.2,0.876,70.0,59.4,80.6,21.2,0.001,0.001
N20001963,WEST TYRONE,84.6,0.861,69.1,58.7,79.5,20.8,0.001,0.001
N20001964,WEST TYRONE,92.1,0.929,73.4,62.2,84.5,22.3,0.0,0.0
N20001965,WEST TYRONE,81.8,0.836,67.5,57.4,77.7,20.3,0.002,0.002
N20001966,WEST TYRONE,88.5,0.896,71.3,60.5,82.1,21.6,0.001,0.001
N20001969,WEST TYRONE,88.7,0.898,71.4,60.6,82.3,21.7,0.001,0.001
N20001970,WEST TYRONE,94.3,0.949,74.6,63.2,86.0,22.8,0.0,0.0
N20001971,WEST TYRONE,73.2,0.759,62.7,53.4,72.0,18.6,0.013,0.013
N20001972,WEST TYRONE,92.0,0.928,73.3,62.2,84.4,22.2,0.0,0.0
N20001974,WEST TYRONE,93.1,0.938,73.9,62.7,85.2,22.5,0.0,0.0
N20001977,WEST TYRONE,89.1,0.902,71.7,60.8,82.5,21.7,0.001,0.001
N20001980,WEST TYRONE,87.1,0.884,70.5,59.9,81.2,21.3,0.001,0.001
N20001982,WEST TYRONE,94.8,0.953,74.9,63.5,86.3,22.8,0.0,0.0
N20001983,WEST TYRONE,95.6,0.96,75.3,63.8,86.8,23.0,0.0,0.0
N20001984,WEST TYRONE,93.5,0.941,74.2,62.9,85.4,22.5,0.0,0.0
N20001985,WEST TYRONE,92.2,0.93,73.4,62.2,84.6,22.4,0.0,0.0
N20001986,WEST TYRONE,95.7,0.961,75.4,63.9,86.9,23.0,0.0,0.0
N20001988,WEST TYRONE,67.1,0.704,59.2,50.5,67.9,17.4,0.042,0.042
N20001989,WEST TYRONE,71.8,0.746,61.9,52.7,71.0,18.3,0.017,0.017
N20001990,WEST TYRONE,60.2,0.642,55.3,47.2,63.4,16.2,0.14,0.14
N20001992,WEST TYRONE,66.3,0.697,58.8,50.1,67.4,17.3,0.048,0.048
N20001993,WEST TYRONE,82.4,0.842,67.9,57.7,78.1,20.4,0.002,0.002
N20001994,WEST TYRONE,91.5,0.923,73.0,61.9,84.1,22.2,0.0,0.0
N20001996,WEST TYRONE,94.9,0.954,74.9,63.5,86.4,22.9,0.0,0.0
N20001997,WEST TYRONE,92.3,0.931,73.5,62.3,84.6,22.3,0.0,0.0
N20001998,WEST TYRONE,84.0,0.856,68.8,58.4,79.1,20.7,0.001,0.001
N20002000,WEST TYRONE,57.5,0.617,53.8,46.0,61.6,15.6,0.214,0.214
N20002001,WEST TYRONE,67.9,0.711,59.7,50.9,68.5,17.6,0.036,0.036
N20002002,WEST TYRONE,68.0,0.712,59.7,50.9,68.5,17.6,0.035,0.035
N20002006,WEST TYRONE,64.3,0.679,57.6,49.2,66.1,16.9,0.07,0.07
N20002007,WEST TYRONE,34.9,0.414,41.0,35.2,46.8,11.6,0.995,0.005
N20002008,WEST TYRONE,29.3,0.364,37.8,32.5,43.1,10.6,1.0,0.0
N20002009,WEST TYRONE,65.5,0.689,58.3,49.7,66.9,17.2,0.056,0.056
N20002010,WEST TYRONE,39.0,0.451,43.3,37.2,49.4,12.2,0.963,0.037
N20002012,WEST TYRONE,89.0,0.901,71.6,60.8,82.5,21.7,0.001,0.001
N20002014,WEST TYRONE,85.5,0.869,69.6,59.1,80.1,21.0,0.001,0.001
N20002015,WEST TYRONE,26.5,0.338,36.2,31.1,41.3,10.2,1.0,0.0
N20002016,WEST TYRONE,57.2,0.615,53.6,45.8,61.4,15.6,0.224,0.224
N20002017,WEST TYRONE,37.1,0.434,42.2,36.3,48.2,11.9,0.984,0.016
N20002018,WEST TYRONE,82.5,0.842,67.9,57.7,78.1,20.4,0.002,0.002
N20002019,WEST TYRONE,58.0,0.622,54.1,46.2,61.9,15.7,0.198,0.198
N20002020,WEST TYRONE,41.6,0.474,44.8,38.4,51.1,12.7,0.911,0.089
N20002021,WEST TYRONE,35.4,0.418,41.3,35.4,47.1,11.7,0.993,0.007
N20002022,WEST TYRONE,19.2,0.273,32.1,27.6,36.6,9.0,1.0,0.0
N20002023,WEST TYRONE,84.8,0.863,69.2,58.8,79.7,20.9,0.001,0.001
N20002024,WEST TYRONE,14.3,0.229,29.3,25.1,33.5,8.4,1.0,0.0
N20002027,WEST TYRONE,28.7,0.358,37.5,32.2,42.7,10.5,1.0,0.0
N20002029,FERMANAGH AND SOUTH TYRONE,34.1,0.419,40.5,34.7,46.4,11.7,0.996,0.004
N20002030,FERMANAGH AND SOUTH TYRONE,18.0,0.278,31.4,26.8,36.0,9.2,1.0,0.0
N20002031,FERMANAGH AND SOUTH TYRONE,52.8,0.584,51.1,43.6,58.6,15.0,0.403,0.403
N20002032,FERMANAGH AND SOUTH TYRONE,30.1,0.384,38.3,32.8,43.8,11.0,1.0,0.0
N20002033,FERMANAGH AND SOUTH TYRONE,26.1,0.349,36.0,30.8,41.2,10.4,1.0,0.0
N20002034,FERMANAGH AND SOUTH TYRONE,45.4,0.519,46.9,40.1,53.7,13.6,0.771,0.229
N20002035,FERMANAGH AND SOUTH TYRONE,41.8,0.487,44.9,38.4,51.4,13.0,0.902,0.098
N20002036,FERMANAGH AND SOUTH TYRONE,47.3,0.536,48.0,41.0,55.0,14.0,0.681,0.319
N20002038,FERMANAGH AND SOUTH TYRONE,95.8,0.963,75.5,63.9,87.0,23.1,0.0,0.0
N20002039,FERMANAGH AND SOUTH TYRONE,42.8,0.496,45.5,38.9,52.0,13.1,0.872,0.128
N20002040,FERMANAGH AND SOUTH TYRONE,76.4,0.792,64.5,54.8,74.1,19.3,0.007,0.007
N20002041,FERMANAGH AND SOUTH TYRONE,50.9,0.567,50.0,42.7,57.3,14.6,0.496,0.496
N20002043,FERMANAGH AND SOUTH TYRONE,75.4,0.783,63.9,54.3,73.5,19.2,0.009,0.009
N20002044,FERMANAGH AND SOUTH TYRONE,71.7,0.751,61.8,52.6,71.0,18.4,0.018,0.018
N20002045,FERMANAGH AND SOUTH TYRONE,75.4,0.783,63.9,54.3,73.5,19.2,0.009,0.009
N20002046,FERMANAGH AND SOUTH TYRONE,66.6,0.706,58.9,50.2,67.7,17.5,0.047,0.047
N20002047,FERMANAGH AND SOUTH TYRONE,69.8,0.734,60.7,51.7,69.8,18.1,0.026,0.026
N20002048,FERMANAGH AND SOUTH TYRONE,90.9,0.92,72.7,61.6,83.7,22.1,0.0,0.0
N20002049,FERMANAGH AND SOUTH TYRONE,89.2,0.905,71.7,60.8,82.6,21.8,0.001,0.001
N20002050,FERMANAGH AND SOUTH TYRONE,63.3,0.677,57.1,48.6,65.5,16.9,0.085,0.085
N20002051,FERMANAGH AND SOUTH TYRONE,71.5,0.749,61.7,52.5,70.9,18.4,0.019,0.019
N20002052,FERMANAGH AND SOUTH TYRONE,56.5,0.617,53.2,45.4,61.0,15.6,0.25,0.25
N20002054,FERMANAGH AND SOUTH TYRONE,88.6,0.9,71.4,60.5,82.2,21.7,0.001,0.001
N20002055,FERMANAGH AND SOUTH TYRONE,71.8,0.752,61.9,52.6,71.1,18.5,0.017,0.017
N20002056,FERMANAGH AND SOUTH TYRONE,78.0,0.806,65.4,55.6,75.2,19.6,0.005,0.005
N20002059,FERMANAGH AND SOUTH TYRONE,84.1,0.86,68.8,58.4,79.2,20.8,0.001,0.001
N20002060,FERMANAGH AND SOUTH TYRONE,78.2,0.808,65.5,55.7,75.3,19.6,0.005,0.005
N20002061,FERMANAGH AND SOUTH TYRONE,42.6,0.494,45.3,38.8,51.9,13.1,0.878,0.122
N20002062,FERMANAGH AND SOUTH TYRONE,68.7,0.724,60.1,51.2,69.1,17.9,0.032,0.032
N20002063,FERMANAGH AND SOUTH TYRONE,72.9,0.761,62.5,53.2,71.8,18.6,0.014,0.014
N20002064,FERMANAGH AND SOUTH TYRONE,69.1,0.728,60.3,51.4,69.3,17.9,0.029,0.029
N20002065,FERMANAGH AND SOUTH TYRONE,30.7,0.389,38.6,33.1,44.2,11.1,1.0,0.0
N20002066,FERMANAGH AND SOUTH TYRONE,87.9,0.893,71.0,60.2,81.7,21.5,0.001,0.001
N20002067,FERMANAGH AND SOUTH TYRONE,67.1,0.71,59.2,50.4,68.0,17.6,0.043,0.043
N20002069,FERMANAGH AND SOUTH TYRONE,64.2,0.685,57.6,49.1,66.1,17.0,0.073,0.073
N20002070,FERMANAGH AND SOUTH TYRONE,53.0,0.586,51.2,43.7,58.7,15.0,0.394,0.394
N20002071,FERMANAGH AND SOUTH TYRONE,53.8,0.593,51.7,44.1,59.2,15.1,0.358,0.358
N20002072,FERMANAGH AND SOUTH TYRONE,57.8,0.628,53.9,46.0,61.9,15.9,0.207,0.207
N20002074,FERMANAGH AND SOUTH TYRONE,88.9,0.902,71.5,60.7,82.4,21.7,0.001,0.001
N20002077,FERMANAGH AND SOUTH TYRONE,89.8,0.91,72.1,61.1,83.0,21.9,0.0,0.0
N20002078,FERMANAGH AND SOUTH TYRONE,74.9,0.779,63.6,54.1,73.1,19.0,0.009,0.009
N20002079,FERMANAGH AND SOUTH TYRONE,90.4,0.915,72.4,61.4,83.4,22.0,0.0,0.0
N20002081,FERMANAGH AND SOUTH TYRONE,41.5,0.485,44.7,38.3,51.2,12.9,0.91,0.09
N20002082,FERMANAGH AND SOUTH TYRONE,13.2,0.235,28.7,24.5,33.0,8.5,1.0,0.0
N20002083,FERMANAGH AND SOUTH TYRONE,26.1,0.349,36.0,30.8,41.2,10.4,1.0,0.0
N20002084,FERMANAGH AND SOUTH TYRONE,29.7,0.381,38.0,32.6,43.5,10.9,1.0,0.0
N20002085,FERMANAGH AND SOUTH TYRONE,58.3,0.633,54.2,46.3,62.2,15.9,0.192,0.192
N20002086,FERMANAGH AND SOUTH TYRONE,76.8,0.796,64.7,55.0,74.4,19.4,0.006,0.006
N20002087,FERMANAGH AND SOUTH TYRONE,55.1,0.604,52.4,44.7,60.1,15.4,0.303,0.303
N20002088,FERMANAGH AND SOUTH TYRONE,66.0,0.7,58.6,49.9,67.3,17.4,0.052,0.052
N20002090,FERMANAGH AND SOUTH TYRONE,54.6,0.6,52.1,44.5,59.8,15.3,0.323,0.323
N20002091,FERMANAGH AND SOUTH TYRONE,79.9,0.823,66.5,56.5,76.5,20.0,0.003,0.003
N20002092,FERMANAGH AND SOUTH TYRONE,59.6,0.644,55.0,46.9,63.1,16.2,0.157,0.157
N20002093,FERMANAGH AND SOUTH TYRONE,47.8,0.54,48.3,41.3,55.3,14.0,0.656,0.344
N20002094,FERMANAGH AND SOUTH TYRONE,68.9,0.726,60.2,51.3,69.2,17.9,0.031,0.031
N20002095,FERMANAGH AND SOUTH TYRONE,87.4,0.889,70.7,60.0,81.4,21.4,0.001,0.001
N20002096,FERMANAGH AND SOUTH TYRONE,75.5,0.784,64.0,54.4,73.5,19.1,0.008,0.008
N20002097,FERMANAGH AND SOUTH TYRONE,46.7,0.53,47.7,40.7,54.6,13.9,0.71,0.29
N20002098,FERMANAGH AND SOUTH TYRONE,66.2,0.702,58.7,50.0,67.4,17.4,0.051,0.051
N20002099,FERMANAGH AND SOUTH TYRONE,63.3,0.677,57.1,48.6,65.5,16.9,0.085,0.085
N20002100,FERMANAGH AND SOUTH TYRONE,55.3,0.606,52.5,44.8,60.2,15.4,0.295,0.295
N20002101,FERMANAGH AND SOUTH TYRONE,69.8,0.734,60.7,51.7,69.8,18.1,0.026,0.026
N20002102,FERMANAGH AND SOUTH TYRONE,54.7,0.601,52.2,44.6,59.8,15.2,0.319,0.319
N20002103,FERMANAGH AND SOUTH TYRONE,72.3,0.756,62.2,52.9,71.4,18.5,0.016,0.016
N20002104,FERMANAGH AND SOUTH TYRONE,63.5,0.678,57.2,48.7,65.6,16.9,0.082,0.082
N20002105,FERMANAGH AND SOUTH TYRONE,49.6,0.556,49.3,42.1,56.5,14.4,0.563,0.437
N20002106,FERMANAGH AND SOUTH TYRONE,51.8,0.575,50.5,43.2,57.9,14.7,0.451,0.451
N20002107,FERMANAGH AND SOUTH TYRONE,56.4,0.616,53.2,45.4,60.9,15.5,0.254,0.254
N20002108,FERMANAGH AND SOUTH TYRONE,39.9,0.471,43.8,37.5,50.1,12.6,0.946,0.054
N20002109,FERMANAGH AND SOUTH TYRONE,40.2,0.473,44.0,37.6,50.3,12.7,0.94,0.06
N20002110,FERMANAGH AND SOUTH TYRONE,26.5,0.352,36.2,31.0,41.4,10.4,1.0,0.0
N20002111,FERMANAGH AND SOUTH TYRONE,49.1,0.552,49.0,41.9,56.2,14.3,0.589,0.411
N20002112,FERMANAGH AND SOUTH TYRONE,61.2,0.658,55.9,47.6,64.1,16.5,0.121,0.121
N20002113,FERMANAGH AND SOUTH TYRONE,54.1,0.596,51.9,44.3,59.4,15.1,0.344,0.344
N20002114,FERMANAGH AND SOUTH TYRONE,68.4,0.722,59.9,51.0,68.9,17.9,0.034,0.034
N20002116,FERMANAGH AND SOUTH TYRONE,60.1,0.648,55.2,47.1,63.4,16.3,0.145,0.145
N20002117,FERMANAGH AND SOUTH TYRONE,11.7,0.222,27.9,23.7,32.0,8.3,1.0,0.0
N20002118,FERMANAGH AND SOUTH TYRONE,13.0,0.234,28.6,24.4,32.8,8.4,1.0,0.0
N20002119,FERMANAGH AND SOUTH TYRONE,12.6,0.23,28.4,24.2,32.6,8.4,1.0,0.0
N20002120,FERMANAGH AND SOUTH TYRONE,32.0,0.401,39.3,33.7,45.0,11.3,0.999,0.001
N20002121,FERMANAGH AND SOUTH TYRONE,39.1,0.463,43.4,37.1,49.6,12.5,0.959,0.041
N20002122,FERMANAGH AND SOUTH TYRONE,39.1,0.463,43.4,37.1,49.6,12.5,0.959,0.041
N20002123,FERMANAGH AND SOUTH TYRONE,26.6,0.353,36.3,31.1,41.5,10.4,1.0,0.0
N20002124,FERMANAGH AND SOUTH TYRONE,84.0,0.859,68.8,58.4,79.2,20.8,0.002,0.002
N20002125,FERMANAGH AND SOUTH TYRONE,56.8,0.619,53.4,45.5,61.2,15.7,0.24,0.24
N20002126,FERMANAGH AND SOUTH TYRONE,23.5,0.326,34.5,29.6,39.5,9.9,1.0,0.0
N20002127,FERMANAGH AND SOUTH TYRONE,21.7,0.31,33.5,28.7,38.4,9.7,1.0,0.0
N20002129,FERMANAGH AND SOUTH TYRONE,60.4,0.651,55.4,47.3,63.6,16.3,0.138,0.138
N20002130,FERMANAGH AND SOUTH TYRONE,26.2,0.35,36.1,30.9,41.2,10.3,1.0,0.0
N20002132,FERMANAGH AND SOUTH TYRONE,76.7,0.795,64.6,54.9,74.3,19.4,0.007,0.007
N20002133,FERMANAGH AND SOUTH TYRONE,71.7,0.751,61.8,52.6,71.0,18.4,0.018,0.018
N20002134,FERMANAGH AND SOUTH TYRONE,77.8,0.804,65.3,55.5,75.1,19.6,0.005,0.005
N20002135,FERMANAGH AND SOUTH TYRONE,62.7,0.671,56.7,48.3,65.1,16.8,0.094,0.094
N20002136,FERMANAGH AND SOUTH TYRONE,65.2,0.693,58.1,49.5,66.7,17.2,0.061,0.061
N20002138,FERMANAGH AND SOUTH TYRONE,77.1,0.798,64.9,55.1,74.6,19.5,0.006,0.006
N20002139,FERMANAGH AND SOUTH TYRONE,35.4,0.431,41.3,35.3,47.2,11.9,0.992,0.008
N20002142,FERMANAGH AND SOUTH TYRONE,52.5,0.582,50.9,43.5,58.4,14.9,0.417,0.417
N20002143,FERMANAGH AND SOUTH TYRONE,8.1,0.19,25.8,21.9,29.8,7.9,1.0,0.0
N20002145,FERMANAGH AND SOUTH TYRONE,37.1,0.446,42.2,36.1,48.3,12.2,0.982,0.018
N20002146,FERMANAGH AND SOUTH TYRONE,70.1,0.737,60.9,51.8,70.0,18.2,0.024,0.024
N20002147,FERMANAGH AND SOUTH TYRONE,29.8,0.382,38.1,32.6,43.6,11.0,1.0,0.0
N20002148,FERMANAGH AND SOUTH TYRONE,41.5,0.485,44.7,38.3,51.2,12.9,0.91,0.09
N20002149,FERMANAGH AND SOUTH TYRONE,65.9,0.7,58.5,49.9,67.2,17.3,0.053,0.053
N20002150,WEST TYRONE,21.5,0.293,33.4,28.7,38.1,9.4,1.0,0.0
N20002151,WEST TYRONE,51.3,0.562,50.3,43.0,57.5,14.5,0.476,0.476
N20002152,WEST TYRONE,57.7,0.619,53.9,46.1,61.7,15.6,0.208,0.208
N20002153,WEST TYRONE,29.4,0.364,37.9,32.6,43.2,10.6,1.0,0.0
N20002154,WEST TYRONE,77.4,0.797,65.0,55.3,74.8,19.5,0.006,0.006
N20002156,WEST TYRONE,61.8,0.656,56.2,48.0,64.4,16.4,0.108,0.108
N20002157,WEST TYRONE,78.6,0.807,65.7,55.9,75.5,19.6,0.004,0.004
N20002158,WEST TYRONE,43.3,0.49,45.7,39.2,52.2,13.0,0.859,0.141
N20002159,WEST TYRONE,87.7,0.889,70.9,60.1,81.6,21.5,0.001,0.001
N20002160,WEST TYRONE,80.1,0.821,66.6,56.6,76.5,19.9,0.003,0.003
N20002161,WEST TYRONE,59.5,0.635,54.9,46.9,62.9,16.0,0.157,0.157
N20002162,WEST TYRONE,80.4,0.824,66.7,56.7,76.7,20.0,0.003,0.003
N20002163,WEST TYRONE,78.1,0.803,65.4,55.7,75.2,19.5,0.005,0.005
N20002164,WEST TYRONE,57.5,0.617,53.8,46.0,61.6,15.6,0.214,0.214
N20002165,WEST TYRONE,46.3,0.517,47.4,40.7,54.2,13.5,0.733,0.267
N20002166,WEST TYRONE,76.5,0.788,64.5,54.9,74.2,19.3,0.007,0.007
N20002167,WEST TYRONE,86.2,0.876,70.0,59.4,80.6,21.2,0.001,0.001
N20002168,WEST TYRONE,54.1,0.587,51.9,44.4,59.3,14.9,0.343,0.343
N20002169,WEST TYRONE,75.1,0.776,63.7,54.2,73.2,19.0,0.009,0.009
