DZ21,yes,pop
N20000750,51.2,436.01
N20001620,23.0,294.05
N20002319,16.4,552.98
N20003285,19.8,352.99
N20003494,11.2,418.02
N20003300,13.0,553.0
N20000164,22.0,445.01
N20001462,50.9,512.0
N20002288,52.3,630.99
N20000305,18.6,434.99
N20003704,9.4,444.96
N20001504,32.6,423.98
N20000277,52.7,308.0
N20001795,50.1,435.0
N20000651,40.3,570.02
N20001958,16.2,182.03
N20002591,24.4,316.0
N20000787,52.4,420.99
N20000068,25.4,369.02
N20003549,19.6,518.02
N20002216,46.8,524.96
N20001142,30.5,601.98
N20001296,22.7,346.97
N20000756,52.3,328.0
N20000978,19.5,328.98
N20000769,45.3,324.97
N20003575,19.8,300.99
N20000490,55.9,607.0
N20001569,17.4,295.0
N20003580,17.5,423.01
N20000360,30.9,312.06
N20003648,12.3,389.0
N20000587,12.5,570.02
N20003170,50.9,333.93
N20003342,54.8,508.93
N20002512,12.6,386.02
N20001545,46.6,374.01
N20001085,26.7,453.04
N20001253,55.7,581.98
N20001275,41.1,335.0
N20003568,10.6,521.02
N20002923,33.2,379.98
N20001793,47.2,261.99
N20003129,56.4,595.01
N20000623,22.4,364.98
N20003569,13.1,717.02
N20001081,37.9,318.05
N20000361,39.1,495.02
N20001496,43.3,207.02
N20002573,8.4,409.04
N20003256,47.0,402.99
N20002238,53.8,496.97
N20000881,15.2,404.96
N20003405,54.1,485.0
N20003305,16.0,267.04
N20001473,55.3,477.03
N20001944,44.6,416.04
N20000308,33.9,335.02
N20003669,13.2,497.98
N20002716,19.0,525.96
N20001303,52.2,398.04
N20001185,35.8,420.0
N20002833,12.4,321.97
N20001514,14.0,637.06
N20002322,10.3,519.98
N20003718,12.1,383.99
N20000251,51.0,540.01
N20000827,47.1,405.02
N20002396,23.3,305.01
N20000332,37.1,381.02
N20001889,50.8,374.01
N20002339,13.3,372.01
N20002582,10.4,521.01
N20001557,18.1,459.99
N20002537,9.2,295.02
N20002600,12.8,490.99
N20003683,10.7,270.01
N20000038,27.9,491.02
N20003715,10.9,241.99
N20000960,11.4,432.98
N20000304,38.4,402.96
N20000976,22.1,447.0
N20001202,43.1,315.97
N20001974,54.9,361.0
N20000416,23.5,521.96
N20000800,14.0,473.99
N20001858,42.5,344.02
N20002804,9.6,552.96
N20003389,27.4,332.01
N20001590,16.9,415.98
N20003668,11.4,367.97
N20003489,12.8,304.98
N20001674,14.2,506.02
N20003268,40.1,476.07
N20000563,20.1,568.0
N20002750,9.0,263.02
N20000619,38.6,297.03
N20001138,35.9,386.0
N20003555,17.0,410.0
N20003147,53.7,424.05
N20003629,14.5,420.01
N20000109,8.5,439.03
N20003414,48.2,570.03
N20002257,26.5,519.95
N20001972,54.5,317.98
N20000531,10.4,327.06
N20000562,10.6,357.99
N20001176,37.1,365.01
N20003452,8.9,401.02
N20001208,9.0,417.0
N20002652,10.8,495.98
N20002717,26.1,251.98
N20000080,20.0,508.99
N20003505,12.4,506.0
N20000426,56.4,378.0
N20000097,8.9,501.99
N20001033,11.8,440.0
N20001078,30.7,241.0
N20003210,41.9,386.97
N20001719,55.9,412.01
N20001799,54.6,519.97
N20003153,55.8,522.99
N20003742,9.1,284.94
N20002088,41.1,409.03
N20003371,17.5,563.97
N20002427,19.0,443.01
N20002634,16.6,370.0
N20003238,50.7,416.95
N20003424,42.9,393.04
N20002190,51.3,500.99
N20002900,43.1,293.99
N20001029,25.9,301.95
N20001456,54.3,438.04
N20001038,14.9,469.95
N20001740,54.4,410.99
N20001518,16.6,680.0
N20001151,32.7,519.97
N20001825,54.7,268.01
N20002456,36.3,543.02
N20003373,26.9,366.01
N20000987,10.7,408.99
N20000635,25.6,489.05
N20000445,41.5,389.02
N20000869,13.6,320.02
N20002412,23.9,361.98
N20002904,38.8,505.0
N20000792,50.2,345.0
N20001189,43.5,370.98
N20001611,17.3,466.99
N20000440,18.3,316.01
N20002407,12.4,199.99
N20003326,41.8,447.96
N20001919,37.7,530.03
N20002779,11.1,341.99
N20000868,14.3,292.01
N20000052,23.5,398.97
N20001227,12.7,242.03
N20002527,10.1,497.95
N20002499,27.0,544.0
N20001879,20.3,434.0
N20003600,14.0,333.07
N20001099,26.9,317.99
N20003586,24.3,562.99
N20001172,28.1,805.96
N20002467,28.6,534.97
N20001153,31.5,631.95
N20002534,12.5,440.0
N20002223,55.4,426.96
N20003631,18.6,314.01
N20002948,54.0,603.01
N20002830,15.9,421.0
N20001285,41.4,271.02
N20001485,21.3,389.01
N20001781,54.3,413.01
N20000179,14.3,483.98
N20000115,9.7,593.01
N20001562,19.5,297.96
N20000171,15.2,378.99
N20001806,54.8,580.97
N20001883,49.2,446.05
N20001197,54.9,367.0
N20001909,52.7,382.99
N20000658,19.3,386.97
N20003723,9.2,282.94
N20001506,25.7,377.97
N20002401,19.7,300.0
N20002221,42.7,435.03
N20001297,54.2,375.99
N20002843,39.0,529.0
N20003587,14.6,352.01
N20000977,15.1,369.03
N20003509,12.5,324.03
N20001430,49.9,241.03
N20003295,48.7,437.03
N20001537,19.1,477.02
N20002071,34.3,519.97
N20000629,18.8,391.0
N20000840,49.1,301.01
N20001191,43.2,340.03
N20002424,20.7,428.02
N20000311,39.2,384.01
N20001200,33.6,387.94
N20001923,46.6,530.05
N20000287,52.9,558.96
N20003357,38.5,401.02
N20001626,23.8,402.0
N20000256,49.4,417.05
N20001179,39.3,252.01
N20000895,17.4,207.05
N20001957,27.7,196.99
N20003260,55.7,408.96
N20002525,10.7,302.99
N20003576,18.9,381.98
N20001271,50.0,361.01
N20000397,8.5,623.0
N20000990,10.3,302.98
N20002743,8.9,722.99
N20000173,29.6,515.95
N20001526,14.7,409.0
N20002291,47.8,285.03
N20001418,31.4,369.97
N20000614,18.9,646.99
N20001015,12.7,526.01
N20001164,40.9,453.98
N20000559,9.1,373.03
N20003364,35.7,304.98
N20003639,12.0,386.02
N20001330,54.7,327.98
N20001196,38.3,327.0
N20001263,55.4,389.98
N20000953,11.9,481.95
N20001046,13.4,650.97
N20000211,22.4,482.05
N20002676,11.5,556.95
N20000483,55.3,464.96
N20001383,11.1,414.02
N20002070,33.8,334.99
N20003387,25.2,498.02
N20000829,14.0,278.98
N20000120,7.8,343.99
N20001840,53.7,368.98
N20002720,29.5,353.0
N20003027,27.3,348.01
N20000564,11.7,415.97
N20001408,8.9,242.0
N20002763,9.3,377.03
N20001676,40.3,417.02
N20002081,28.0,420.96
N20002814,11.9,556.0
N20003018,45.0,364.96
N20003261,40.7,518.99
N20003564,22.7,331.0
N20002461,28.3,609.99
N20001786,55.1,371.95
N20000404,16.0,518.99
N20001860,35.0,307.99
N20000794,50.6,431.97
N20000276,42.6,392.99
N20002214,54.6,350.04
N20000280,14.4,522.98
N20002910,35.8,431.05
N20000427,54.9,491.0
N20000444,36.2,289.96
N20001313,56.2,408.97
N20001005,14.9,437.97
N20000931,18.8,398.04
N20002031,33.7,568.99
N20002803,11.3,390.0
N20002913,16.3,359.0
N20002143,10.5,445.01
N20002134,47.3,359.98
N20002170,48.1,295.02
N20002593,41.3,522.98
N20001852,22.8,441.98
N20000838,46.0,383.98
N20001446,22.0,403.0
N20002762,16.6,548.0
N20003124,56.5,551.0
N20001120,41.7,577.99
N20001956,52.1,480.01
N20003012,55.1,378.01
N20003349,24.7,603.05
N20002764,11.0,438.03
N20001144,33.4,477.97
N20002352,16.7,455.04
N20000632,27.7,330.95
N20002383,25.6,400.02
N20000538,53.4,475.99
N20000573,17.3,566.98
N20000631,26.0,297.98
N20000092,10.2,619.0
N20002859,56.2,582.02
N20000191,10.2,316.01
N20001731,35.5,522.99
N20003265,48.6,364.98
N20003464,10.5,270.99
N20000033,51.1,415.03
N20003480,10.8,405.02
N20001090,22.5,568.97
N20002459,30.0,410.98
N20001267,52.2,394.01
N20003741,8.6,344.01
N20002267,17.2,262.0
N20003556,14.9,365.99
N20002635,12.3,310.03
N20000190,10.7,273.01
N20002988,41.0,389.0
N20000698,20.4,188.01
N20001917,30.1,427.99
N20001385,14.2,307.02
N20003303,31.5,297.02
N20001180,39.2,235.99
N20000993,12.3,450.01
N20003229,50.8,439.02
N20002324,11.0,554.94
N20001949,39.7,667.02
N20002381,27.5,360.01
N20000212,10.4,383.01
N20000571,16.7,492.97
N20000625,34.2,364.01
N20003697,11.7,460.97
N20000633,17.9,336.99
N20000496,52.5,545.0
N20001912,49.6,446.99
N20002770,11.4,520.03
N20001702,18.7,582.98
N20003680,11.6,444.01
N20000243,44.7,287.02
N20002878,55.8,343.98
N20000638,19.0,419.01
N20000160,20.5,242.01
N20001042,36.2,392.97
N20001658,15.9,484.98
N20000045,32.1,385.99
N20000709,43.6,542.01
N20003756,33.0,435.99
N20000380,44.7,277.02
N20003771,32.0,605.02
N20002133,44.1,400.02
N20001805,53.8,607.89
N20001102,23.4,251.01
N20001824,56.2,511.0
N20002097,30.8,398.99
N20000918,15.9,273.02
N20000764,43.2,310.01
N20002261,13.0,353.02
N20003336,53.8,591.01
N20000411,27.1,428.02
N20002196,36.3,582.01
N20003774,36.2,349.98
N20001796,55.6,432.99
N20000728,12.3,352.95
N20000294,53.0,584.0
N20001230,41.0,495.99
N20003419,54.0,480.96
N20000726,32.3,444.0
N20000408,17.1,271.97
N20002931,19.3,422.97
N20003467,9.8,713.04
N20003157,55.4,466.97
N20001260,54.7,364.96
N20003598,13.1,281.02
N20003050,33.8,678.01
N20003540,15.0,317.02
N20002699,19.5,463.0
N20002881,24.2,460.98
N20002768,9.7,672.98
N20000259,12.9,518.96
N20000740,52.1,362.98
N20000260,15.2,523.96
N20000377,23.6,388.0
N20001239,55.0,367.99
N20003063,54.4,766.99
N20001924,54.6,446.01
N20000112,10.2,261.95
N20002415,18.3,359.01
N20003652,14.3,450.01
N20002953,39.2,471.01
N20001971,44.3,548.99
N20002001,41.6,418.99
N20001505,28.6,454.98
N20000176,12.4,337.01
N20003272,43.2,463.03
N20003363,12.9,354.02
N20003483,10.5,347.99
N20003215,39.0,526.03
N20003062,42.5,753.01
N20000637,19.9,468.02
N20001209,29.1,330.02
N20000114,8.7,368.0
N20000643,26.5,398.99
N20000274,11.8,428.97
N20001001,14.6,388.99
N20001060,15.2,337.04
N20001339,56.3,595.01
N20001266,55.2,402.99
N20000170,11.3,365.0
N20000209,51.6,362.01
N20001127,44.3,482.02
N20001203,17.5,360.04
N20002201,18.6,263.98
N20002098,42.0,546.03
N20000554,12.3,348.07
N20002086,47.3,596.02
N20000373,54.7,427.04
N20000826,28.4,269.02
N20002114,41.3,300.01
N20003315,51.9,502.98
N20000636,21.1,444.02
N20000152,21.2,332.98
N20002817,10.5,314.02
N20003332,51.1,387.97
N20002370,12.0,329.0
N20002581,20.9,512.02
N20003092,29.3,513.03
N20001960,49.1,320.98
N20003541,10.5,302.06
N20002650,11.4,323.99
N20001052,17.2,364.01
N20000462,10.7,405.02
N20000558,11.4,514.03
N20001927,44.3,627.04
N20002715,23.7,441.98
N20001521,17.5,446.01
N20000432,54.7,421.97
N20002580,15.6,421.99
N20002912,32.8,550.98
N20002993,52.8,558.0
N20002023,50.7,454.0
N20002343,15.6,294.0
N20002256,17.6,368.98
N20001578,20.6,232.97
N20001629,21.0,276.0
N20003589,16.2,421.98
N20001171,32.0,264.98
N20002009,40.5,328.97
N20002869,53.8,466.98
N20001528,10.5,519.01
N20002242,41.4,525.04
N20002562,33.2,450.0
N20001540,49.4,366.99
N20002192,39.8,477.01
N20003403,46.5,313.01
N20001399,8.3,444.97
N20002454,17.4,431.02
N20003056,27.5,612.98
N20003501,10.9,413.95
N20000703,11.5,477.01
N20001017,16.0,278.01
N20002056,47.0,370.02
N20001061,40.5,475.97
N20002278,9.8,323.01
N20001642,7.3,383.02
N20001892,54.4,353.05
N20002472,30.0,383.0
N20001546,54.0,239.0
N20000510,13.4,471.01
N20000627,27.7,400.02
N20000712,47.6,298.01
N20000816,44.1,496.01
N20002561,41.9,330.99
N20002971,37.7,586.0
N20000963,17.2,259.03
N20002245,33.0,549.99
N20001699,12.8,427.01
N20001291,55.6,385.98
N20002793,11.3,277.0
N20002643,32.8,388.05
N20003656,12.0,324.98
N20000748,54.3,467.99
N20000105,12.1,321.99
N20002509,12.4,423.97
N20000649,24.8,589.98
N20000810,48.6,338.97
N20000854,28.3,302.99
N20000875,19.8,350.03
N20000988,13.8,608.04
N20000272,41.3,444.99
N20002824,16.0,212.0
N20003074,31.4,535.0
N20000263,16.5,457.01
N20001530,22.9,599.03
N20002937,25.5,515.97
N20000524,46.3,445.97
N20000812,53.1,252.01
N20001128,20.9,214.97
N20001907,28.9,328.96
N20002463,34.1,353.99
N20001280,45.0,263.02
N20002587,36.5,251.99
N20001790,43.2,661.98
