DZ21,con,catholic_bg_pct,p_soft,soft_v11b,soft_v11c,band_v11b,band_v11c
N20000048,SOUTH ANTRIM,44.4,0.385,0.534,0.706,13.9,17.5
N20000049,SOUTH ANTRIM,59.7,0.385,0.662,0.787,16.6,19.2
N20000051,SOUTH ANTRIM,71.1,0.385,0.758,0.847,18.6,20.5
N20000052,SOUTH ANTRIM,32.2,0.385,0.431,0.642,11.9,16.1
N20000053,SOUTH ANTRIM,43.3,0.385,0.524,0.7,13.7,17.4
N20000054,SOUTH ANTRIM,13.9,0.385,0.278,0.545,9.2,14.1
N20000055,SOUTH ANTRIM,12.9,0.385,0.27,0.54,9.0,14.0
N20000056,SOUTH ANTRIM,29.6,0.385,0.41,0.628,11.5,15.8
N20000057,SOUTH ANTRIM,47.8,0.385,0.562,0.724,14.5,17.9
N20000058,SOUTH ANTRIM,18.8,0.385,0.319,0.571,9.8,14.7
N20000059,SOUTH ANTRIM,53.9,0.385,0.613,0.756,15.5,18.6
N20000060,SOUTH ANTRIM,41.3,0.385,0.508,0.69,13.4,17.1
N20000061,SOUTH ANTRIM,26.9,0.385,0.387,0.614,11.0,15.5
N20000062,SOUTH ANTRIM,18.6,0.385,0.317,0.57,9.8,14.6
N20000063,SOUTH ANTRIM,37.7,0.385,0.478,0.671,12.8,16.7
N20000064,SOUTH ANTRIM,32.8,0.385,0.436,0.645,12.0,16.2
N20000065,SOUTH ANTRIM,41.3,0.385,0.508,0.69,13.4,17.1
N20000066,SOUTH ANTRIM,53.4,0.385,0.609,0.754,15.4,18.5
N20000067,SOUTH ANTRIM,45.8,0.385,0.545,0.714,14.1,17.6
N20000068,SOUTH ANTRIM,35.8,0.385,0.462,0.661,12.5,16.5
N20000069,SOUTH ANTRIM,33.3,0.385,0.441,0.648,12.1,16.2
N20000070,SOUTH ANTRIM,31.4,0.385,0.425,0.637,11.8,16.0
N20000071,SOUTH ANTRIM,37.8,0.385,0.478,0.671,12.8,16.8
N20000072,SOUTH ANTRIM,26.1,0.385,0.38,0.609,10.9,15.5
N20000073,SOUTH ANTRIM,16.5,0.385,0.3,0.559,9.5,14.4
N20000074,SOUTH ANTRIM,13.9,0.385,0.278,0.545,9.2,14.1
N20000075,SOUTH ANTRIM,33.4,0.385,0.441,0.648,12.1,16.3
N20000076,SOUTH ANTRIM,44.1,0.385,0.531,0.705,13.8,17.5
N20000077,SOUTH ANTRIM,25.6,0.385,0.376,0.607,10.8,15.4
N20000078,SOUTH ANTRIM,17.4,0.385,0.307,0.563,9.6,14.5
N20000079,SOUTH ANTRIM,6.4,0.385,0.215,0.505,8.2,13.3
N20000080,SOUTH ANTRIM,24.7,0.385,0.369,0.602,10.7,15.3
N20000081,SOUTH ANTRIM,27.1,0.385,0.389,0.615,11.1,15.6
N20000082,SOUTH ANTRIM,9.0,0.385,0.237,0.519,8.5,13.6
N20000083,SOUTH ANTRIM,32.0,0.385,0.43,0.641,11.8,16.1
N20000084,SOUTH ANTRIM,39.2,0.385,0.49,0.679,13.0,16.9
N20000085,SOUTH ANTRIM,26.0,0.385,0.379,0.609,10.9,15.4
N20000086,SOUTH ANTRIM,3.5,0.385,0.191,0.49,7.9,13.0
N20000087,SOUTH ANTRIM,4.6,0.385,0.2,0.496,8.0,13.1
N20000088,SOUTH ANTRIM,3.2,0.385,0.188,0.488,7.9,13.0
N20000089,SOUTH ANTRIM,7.5,0.385,0.224,0.511,8.3,13.4
N20000090,SOUTH ANTRIM,6.2,0.385,0.213,0.504,8.2,13.3
N20000091,SOUTH ANTRIM,2.3,0.385,0.181,0.484,7.8,12.9
N20000092,SOUTH ANTRIM,6.9,0.385,0.219,0.508,8.3,13.4
N20000093,SOUTH ANTRIM,3.0,0.385,0.187,0.487,7.8,13.0
N20000094,SOUTH ANTRIM,5.7,0.385,0.209,0.502,8.1,13.3
N20000096,SOUTH ANTRIM,3.7,0.385,0.192,0.491,7.9,13.0
N20000097,SOUTH ANTRIM,4.8,0.385,0.202,0.497,8.0,13.2
N20000100,SOUTH ANTRIM,4.2,0.385,0.197,0.494,8.0,13.1
N20000101,SOUTH ANTRIM,3.0,0.385,0.187,0.487,7.8,13.0
N20000102,SOUTH ANTRIM,7.1,0.385,0.221,0.509,8.3,13.4
N20000103,SOUTH ANTRIM,7.2,0.385,0.222,0.51,8.3,13.4
N20000104,SOUTH ANTRIM,4.5,0.385,0.199,0.495,8.0,13.1
N20000105,SOUTH ANTRIM,7.5,0.385,0.224,0.511,8.3,13.4
N20000106,SOUTH ANTRIM,7.0,0.385,0.22,0.509,8.3,13.4
N20000107,SOUTH ANTRIM,12.0,0.385,0.262,0.535,8.9,13.9
N20000108,SOUTH ANTRIM,7.0,0.385,0.22,0.509,8.3,13.4
N20000109,SOUTH ANTRIM,4.0,0.385,0.195,0.493,7.9,13.1
N20000110,SOUTH ANTRIM,3.6,0.385,0.192,0.491,7.9,13.0
N20000111,SOUTH ANTRIM,3.6,0.385,0.192,0.491,7.9,13.0
N20000112,SOUTH ANTRIM,6.9,0.385,0.219,0.508,8.3,13.4
N20000113,SOUTH ANTRIM,5.5,0.385,0.207,0.501,8.1,13.2
N20000114,SOUTH ANTRIM,3.8,0.385,0.193,0.492,7.9,13.1
N20000115,SOUTH ANTRIM,5.7,0.385,0.209,0.502,8.1,13.3
N20000116,SOUTH ANTRIM,7.5,0.385,0.224,0.511,8.3,13.4
N20000117,SOUTH ANTRIM,3.4,0.385,0.19,0.489,7.9,13.0
N20000118,SOUTH ANTRIM,3.3,0.385,0.189,0.489,7.9,13.0
N20000119,SOUTH ANTRIM,2.6,0.385,0.183,0.485,7.8,12.9
N20000120,SOUTH ANTRIM,2.6,0.385,0.183,0.485,7.8,12.9
N20000121,SOUTH ANTRIM,6.9,0.385,0.219,0.508,8.3,13.4
N20000122,SOUTH ANTRIM,4.3,0.385,0.197,0.494,8.0,13.1
N20000123,SOUTH ANTRIM,6.1,0.385,0.213,0.504,8.2,13.3
N20000124,SOUTH ANTRIM,10.1,0.385,0.246,0.525,8.7,13.7
N20000125,SOUTH ANTRIM,6.6,0.385,0.217,0.506,8.2,13.3
N20000126,EAST ANTRIM,16.6,0.805,0.298,0.841,9.5,20.4
N20000127,SOUTH ANTRIM,4.3,0.385,0.197,0.494,8.0,13.1
N20000128,EAST ANTRIM,14.8,0.805,0.283,0.838,9.2,20.3
N20000129,SOUTH ANTRIM,6.2,0.385,0.213,0.504,8.2,13.3
N20000130,SOUTH ANTRIM,7.8,0.385,0.227,0.513,8.4,13.5
N20000131,SOUTH ANTRIM,7.2,0.385,0.222,0.51,8.3,13.4
N20000132,EAST ANTRIM,23.4,0.805,0.355,0.854,10.5,20.7
N20000133,EAST ANTRIM,13.9,0.805,0.275,0.836,9.1,20.3
N20000134,EAST ANTRIM,23.9,0.805,0.36,0.855,10.5,20.7
N20000135,SOUTH ANTRIM,16.3,0.385,0.298,0.558,9.5,14.4
N20000136,SOUTH ANTRIM,9.1,0.385,0.238,0.52,8.5,13.6
N20000137,EAST ANTRIM,6.5,0.805,0.213,0.822,8.2,20.0
N20000138,EAST ANTRIM,4.8,0.805,0.199,0.819,8.0,19.9
N20000139,SOUTH ANTRIM,8.0,0.385,0.228,0.514,8.4,13.5
N20000140,EAST ANTRIM,31.0,0.805,0.419,0.869,11.6,21.0
N20000141,SOUTH ANTRIM,18.4,0.385,0.316,0.569,9.8,14.6
N20000143,EAST ANTRIM,21.3,0.805,0.338,0.85,10.2,20.6
N20000144,SOUTH ANTRIM,14.0,0.385,0.279,0.546,9.2,14.1
N20000145,SOUTH ANTRIM,6.2,0.385,0.213,0.504,8.2,13.3
N20000146,EAST ANTRIM,5.4,0.805,0.204,0.82,8.1,19.9
N20000149,EAST ANTRIM,20.6,0.805,0.332,0.849,10.1,20.6
N20000150,EAST ANTRIM,2.4,0.805,0.179,0.814,7.7,19.8
N20000151,SOUTH ANTRIM,12.2,0.385,0.264,0.536,8.9,13.9
N20000152,EAST ANTRIM,26.1,0.805,0.378,0.859,10.9,20.8
N20000153,EAST ANTRIM,2.4,0.805,0.179,0.814,7.7,19.8
N20000154,SOUTH ANTRIM,4.0,0.385,0.195,0.493,7.9,13.1
N20000156,SOUTH ANTRIM,14.3,0.385,0.281,0.547,9.2,14.2
N20000157,SOUTH ANTRIM,17.0,0.385,0.304,0.561,9.6,14.5
N20000158,EAST ANTRIM,18.8,0.805,0.317,0.846,9.8,20.5
N20000159,EAST ANTRIM,2.9,0.805,0.183,0.815,7.8,19.8
N20000160,EAST ANTRIM,26.9,0.805,0.385,0.861,11.0,20.8
N20000161,EAST ANTRIM,26.0,0.805,0.377,0.859,10.9,20.8
N20000162,EAST ANTRIM,19.6,0.805,0.323,0.847,9.9,20.5
N20000163,EAST ANTRIM,19.1,0.805,0.319,0.846,9.8,20.5
N20000164,BELFAST NORTH,29.3,0.67,0.438,0.795,12.0,19.4
N20000165,BELFAST NORTH,8.8,0.67,0.275,0.735,9.1,18.1
N20000166,EAST ANTRIM,23.6,0.805,0.357,0.855,10.5,20.7
N20000167,EAST ANTRIM,23.6,0.805,0.357,0.855,10.5,20.7
N20000168,BELFAST NORTH,6.2,0.67,0.255,0.728,8.8,17.9
N20000169,EAST ANTRIM,58.3,0.805,0.649,0.921,16.3,22.1
N20000170,BELFAST NORTH,7.9,0.67,0.268,0.733,9.0,18.1
N20000171,EAST ANTRIM,14.6,0.805,0.281,0.838,9.2,20.3
N20000172,EAST ANTRIM,41.2,0.805,0.505,0.888,13.3,21.4
N20000173,BELFAST NORTH,44.1,0.67,0.556,0.838,14.3,20.3
N20000174,BELFAST NORTH,2.1,0.67,0.222,0.716,8.3,17.7
N20000175,BELFAST NORTH,22.7,0.67,0.386,0.776,11.0,19.0
N20000176,BELFAST NORTH,9.5,0.67,0.281,0.737,9.2,18.2
N20000177,EAST ANTRIM,51.0,0.805,0.588,0.907,15.0,21.8
N20000178,BELFAST NORTH,53.5,0.67,0.631,0.865,15.9,20.9
N20000179,BELFAST NORTH,14.0,0.67,0.317,0.75,9.8,18.4
N20000180,BELFAST NORTH,2.3,0.67,0.224,0.716,8.3,17.7
N20000181,BELFAST NORTH,6.4,0.67,0.256,0.728,8.8,18.0
N20000182,BELFAST NORTH,3.9,0.67,0.236,0.721,8.5,17.8
N20000183,BELFAST NORTH,5.7,0.67,0.251,0.726,8.7,17.9
N20000184,BELFAST NORTH,3.7,0.67,0.235,0.72,8.5,17.8
N20000185,BELFAST NORTH,10.2,0.67,0.287,0.739,9.3,18.2
N20000186,BELFAST NORTH,30.0,0.67,0.444,0.797,12.1,19.4
N20000187,BELFAST NORTH,3.0,0.67,0.229,0.718,8.4,17.7
N20000188,BELFAST NORTH,21.6,0.67,0.377,0.772,10.9,18.9
N20000189,BELFAST NORTH,2.0,0.67,0.221,0.715,8.3,17.7
N20000190,BELFAST NORTH,6.9,0.67,0.26,0.73,8.9,18.0
N20000191,BELFAST NORTH,6.6,0.67,0.258,0.729,8.8,18.0
N20000193,BELFAST NORTH,4.3,0.67,0.24,0.722,8.6,17.8
N20000194,BELFAST NORTH,3.9,0.67,0.236,0.721,8.5,17.8
N20000196,BELFAST NORTH,6.1,0.67,0.254,0.727,8.8,17.9
N20000197,BELFAST NORTH,7.9,0.67,0.268,0.733,9.0,18.1
N20000198,BELFAST NORTH,5.8,0.67,0.252,0.726,8.7,17.9
N20000200,BELFAST NORTH,6.8,0.67,0.26,0.729,8.9,18.0
N20000201,BELFAST NORTH,40.3,0.67,0.526,0.827,13.7,20.1
N20000203,BELFAST NORTH,35.4,0.67,0.487,0.812,13.0,19.8
N20000204,BELFAST NORTH,33.2,0.67,0.469,0.806,12.6,19.6
N20000205,BELFAST NORTH,21.1,0.67,0.373,0.771,10.8,18.9
N20000206,BELFAST NORTH,22.7,0.67,0.386,0.776,11.0,19.0
N20000207,BELFAST NORTH,87.6,0.67,0.901,0.964,21.7,23.1
N20000208,BELFAST NORTH,79.0,0.67,0.833,0.939,20.2,22.5
N20000209,BELFAST NORTH,86.1,0.67,0.89,0.96,21.5,23.0
N20000210,BELFAST NORTH,85.5,0.67,0.885,0.958,21.3,23.0
N20000211,SOUTH ANTRIM,29.8,0.385,0.411,0.629,11.5,15.9
N20000212,SOUTH ANTRIM,5.8,0.385,0.21,0.502,8.1,13.3
N20000214,SOUTH ANTRIM,10.6,0.385,0.25,0.528,8.7,13.8
N20000215,SOUTH ANTRIM,26.8,0.385,0.386,0.613,11.0,15.5
N20000216,SOUTH ANTRIM,13.5,0.385,0.275,0.543,9.1,14.1
N20000217,SOUTH ANTRIM,17.6,0.385,0.309,0.565,9.7,14.5
N20000218,SOUTH ANTRIM,17.0,0.385,0.304,0.561,9.6,14.5
N20000219,SOUTH ANTRIM,45.6,0.385,0.544,0.713,14.1,17.6
N20000220,SOUTH ANTRIM,19.7,0.385,0.327,0.576,10.0,14.8
N20000221,SOUTH ANTRIM,16.9,0.385,0.303,0.561,9.6,14.5
N20000222,BELFAST NORTH,20.2,0.67,0.366,0.768,10.7,18.8
N20000223,SOUTH ANTRIM,27.4,0.385,0.391,0.616,11.1,15.6
N20000224,SOUTH ANTRIM,36.8,0.385,0.47,0.666,12.6,16.6
N20000225,BELFAST NORTH,12.2,0.67,0.302,0.745,9.6,18.3
N20000226,SOUTH ANTRIM,27.4,0.385,0.391,0.616,11.1,15.6
N20000227,BELFAST NORTH,32.9,0.67,0.467,0.805,12.6,19.6
N20000228,BELFAST NORTH,16.5,0.67,0.337,0.758,10.1,18.6
N20000229,BELFAST NORTH,12.7,0.67,0.306,0.746,9.6,18.4
N20000230,BELFAST NORTH,31.2,0.67,0.453,0.8,12.3,19.5
N20000231,BELFAST NORTH,44.6,0.67,0.56,0.839,14.4,20.4
N20000232,BELFAST NORTH,51.2,0.67,0.612,0.858,15.5,20.8
N20000233,BELFAST NORTH,53.9,0.67,0.634,0.866,16.0,20.9
N20000234,BELFAST NORTH,55.6,0.67,0.647,0.871,16.2,21.0
N20000235,BELFAST NORTH,44.6,0.67,0.56,0.839,14.4,20.4
N20000236,BELFAST NORTH,37.0,0.67,0.499,0.817,13.2,19.9
N20000237,BELFAST NORTH,31.1,0.67,0.453,0.8,12.3,19.5
N20000238,BELFAST NORTH,67.7,0.67,0.743,0.906,18.3,21.8
N20000239,BELFAST NORTH,42.5,0.67,0.543,0.833,14.1,20.2
N20000240,BELFAST NORTH,57.1,0.67,0.659,0.875,16.5,21.1
N20000241,BELFAST NORTH,28.9,0.67,0.435,0.794,12.0,19.4
N20000242,BELFAST NORTH,23.8,0.67,0.395,0.779,11.2,19.0
N20000243,BELFAST NORTH,72.5,0.67,0.782,0.92,19.1,22.1
N20000244,BELFAST NORTH,76.4,0.67,0.812,0.931,19.8,22.4
N20000245,BELFAST NORTH,88.9,0.67,0.912,0.968,21.9,23.2
N20000246,BELFAST NORTH,77.4,0.67,0.82,0.934,19.9,22.4
N20000247,BELFAST NORTH,67.9,0.67,0.745,0.907,18.3,21.8
N20000249,BELFAST NORTH,82.8,0.67,0.863,0.95,20.9,22.8
N20000250,BELFAST NORTH,85.0,0.67,0.881,0.956,21.3,22.9
N20000251,SOUTH ANTRIM,85.0,0.385,0.874,0.921,21.1,22.1
N20000252,BELFAST NORTH,82.3,0.67,0.859,0.949,20.8,22.7
N20000254,BELFAST NORTH,80.0,0.67,0.841,0.942,20.4,22.6
N20000255,BELFAST NORTH,83.6,0.67,0.87,0.952,21.0,22.8
N20000256,BELFAST NORTH,81.9,0.67,0.856,0.947,20.7,22.7
N20000257,SOUTH ANTRIM,16.7,0.385,0.301,0.56,9.5,14.4
N20000258,SOUTH ANTRIM,13.6,0.385,0.275,0.543,9.1,14.1
N20000259,SOUTH ANTRIM,12.2,0.385,0.264,0.536,8.9,13.9
N20000260,SOUTH ANTRIM,16.8,0.385,0.302,0.56,9.5,14.4
N20000261,SOUTH ANTRIM,9.0,0.385,0.237,0.519,8.5,13.6
N20000262,SOUTH ANTRIM,14.2,0.385,0.28,0.547,9.2,14.2
N20000263,SOUTH ANTRIM,18.0,0.385,0.312,0.567,9.7,14.6
N20000264,SOUTH ANTRIM,28.3,0.385,0.399,0.621,11.3,15.7
N20000265,SOUTH ANTRIM,35.6,0.385,0.46,0.66,12.4,16.5
N20000266,SOUTH ANTRIM,17.4,0.385,0.307,0.563,9.6,14.5
N20000267,SOUTH ANTRIM,61.0,0.385,0.673,0.794,16.8,19.4
N20000268,SOUTH ANTRIM,29.7,0.385,0.41,0.628,11.5,15.9
N20000270,SOUTH ANTRIM,68.4,0.385,0.735,0.833,18.1,20.2
N20000271,SOUTH ANTRIM,57.3,0.385,0.642,0.774,16.1,19.0
N20000272,SOUTH ANTRIM,65.9,0.385,0.714,0.82,17.7,19.9
N20000273,SOUTH ANTRIM,79.2,0.385,0.826,0.89,20.1,21.5
N20000274,SOUTH ANTRIM,11.0,0.385,0.254,0.53,8.8,13.8
N20000275,SOUTH ANTRIM,61.7,0.385,0.679,0.798,16.9,19.5
N20000276,SOUTH ANTRIM,68.3,0.385,0.734,0.832,18.1,20.2
N20000277,SOUTH ANTRIM,88.6,0.385,0.904,0.94,21.8,22.6
N20000278,SOUTH ANTRIM,17.0,0.385,0.304,0.561,9.6,14.5
N20000279,SOUTH ANTRIM,24.0,0.385,0.363,0.598,10.6,15.2
N20000280,SOUTH ANTRIM,15.4,0.385,0.291,0.553,9.4,14.3
N20000282,SOUTH ANTRIM,54.5,0.385,0.618,0.76,15.6,18.6
N20000283,SOUTH ANTRIM,75.4,0.385,0.794,0.87,19.4,21.0
N20000284,SOUTH ANTRIM,79.8,0.385,0.831,0.893,20.2,21.5
N20000285,SOUTH ANTRIM,34.5,0.385,0.451,0.654,12.3,16.4
N20000286,SOUTH ANTRIM,86.1,0.385,0.883,0.927,21.3,22.3
N20000287,SOUTH ANTRIM,89.1,0.385,0.909,0.942,21.9,22.6
N20000288,SOUTH ANTRIM,63.4,0.385,0.693,0.807,17.2,19.6
N20000289,SOUTH ANTRIM,74.4,0.385,0.785,0.865,19.2,20.9
N20000290,SOUTH ANTRIM,70.9,0.385,0.756,0.846,18.6,20.5
N20000291,SOUTH ANTRIM,67.9,0.385,0.731,0.83,18.0,20.2
N20000292,SOUTH ANTRIM,87.0,0.385,0.891,0.931,21.5,22.4
N20000293,SOUTH ANTRIM,59.8,0.385,0.663,0.788,16.6,19.2
N20000294,SOUTH ANTRIM,88.9,0.385,0.907,0.941,21.8,22.6
N20000295,NEWRY AND ARMAGH,62.5,0.58,0.677,0.858,16.9,20.8
N20000296,NEWRY AND ARMAGH,54.6,0.58,0.609,0.828,15.4,20.1
N20000297,NEWRY AND ARMAGH,87.6,0.58,0.893,0.953,21.5,22.8
N20000298,NEWRY AND ARMAGH,90.3,0.58,0.916,0.963,22.0,23.1
N20000299,NEWRY AND ARMAGH,68.5,0.58,0.729,0.881,18.0,21.3
N20000300,NEWRY AND ARMAGH,84.9,0.58,0.87,0.943,21.0,22.6
N20000301,NEWRY AND ARMAGH,76.3,0.58,0.796,0.91,19.4,21.9
N20000303,NEWRY AND ARMAGH,92.3,0.58,0.934,0.971,22.4,23.2
N20000304,NEWRY AND ARMAGH,60.7,0.58,0.661,0.851,16.5,20.6
N20000305,NEWRY AND ARMAGH,24.3,0.58,0.348,0.714,10.3,17.7
N20000306,NEWRY AND ARMAGH,51.9,0.58,0.586,0.818,15.0,19.9
N20000307,NEWRY AND ARMAGH,50.3,0.58,0.572,0.812,14.7,19.8
N20000308,NEWRY AND ARMAGH,50.3,0.58,0.572,0.812,14.7,19.8
N20000310,NEWRY AND ARMAGH,59.5,0.58,0.651,0.847,16.3,20.5
N20000311,NEWRY AND ARMAGH,62.4,0.58,0.676,0.858,16.9,20.8
N20000312,NEWRY AND ARMAGH,78.5,0.58,0.815,0.919,19.8,22.1
N20000313,NEWRY AND ARMAGH,71.1,0.58,0.751,0.891,18.5,21.5
N20000314,NEWRY AND ARMAGH,25.5,0.58,0.358,0.718,10.5,17.7
N20000315,NEWRY AND ARMAGH,43.9,0.58,0.517,0.788,13.6,19.2
N20000316,NEWRY AND ARMAGH,82.9,0.58,0.853,0.935,20.6,22.5
N20000317,NEWRY AND ARMAGH,86.7,0.58,0.885,0.95,21.4,22.8
N20000318,NEWRY AND ARMAGH,87.7,0.58,0.894,0.953,21.6,22.9
N20000319,NEWRY AND ARMAGH,71.1,0.58,0.751,0.891,18.5,21.5
N20000320,NEWRY AND ARMAGH,27.6,0.58,0.376,0.726,10.8,17.9
N20000321,NEWRY AND ARMAGH,92.7,0.58,0.937,0.972,22.5,23.3
N20000322,NEWRY AND ARMAGH,91.4,0.58,0.926,0.967,22.2,23.2
N20000323,NEWRY AND ARMAGH,75.7,0.58,0.791,0.908,19.3,21.9
N20000324,NEWRY AND ARMAGH,48.1,0.58,0.553,0.804,14.3,19.6
N20000325,NEWRY AND ARMAGH,47.9,0.58,0.551,0.803,14.3,19.6
N20000326,NEWRY AND ARMAGH,9.4,0.58,0.22,0.657,8.3,16.5
N20000328,NEWRY AND ARMAGH,52.2,0.58,0.588,0.819,15.0,19.9
N20000329,NEWRY AND ARMAGH,88.5,0.58,0.901,0.957,21.7,22.9
N20000330,NEWRY AND ARMAGH,84.2,0.58,0.864,0.94,20.9,22.6
N20000331,NEWRY AND ARMAGH,84.7,0.58,0.868,0.942,21.0,22.6
N20000332,NEWRY AND ARMAGH,58.6,0.58,0.643,0.843,16.2,20.4
N20000334,NEWRY AND ARMAGH,53.5,0.58,0.599,0.824,15.2,20.0
N20000335,NEWRY AND ARMAGH,83.7,0.58,0.86,0.938,20.8,22.5
N20000336,NEWRY AND ARMAGH,65.8,0.58,0.705,0.871,17.5,21.0
N20000337,NEWRY AND ARMAGH,67.4,0.58,0.719,0.877,17.8,21.2
N20000338,NEWRY AND ARMAGH,25.7,0.58,0.36,0.719,10.6,17.8
N20000339,NEWRY AND ARMAGH,65.2,0.58,0.7,0.868,17.4,21.0
N20000340,NEWRY AND ARMAGH,32.4,0.58,0.418,0.744,11.6,18.3
N20000341,NEWRY AND ARMAGH,71.7,0.58,0.756,0.893,18.6,21.5
N20000342,NEWRY AND ARMAGH,87.8,0.58,0.895,0.954,21.6,22.9
N20000343,NEWRY AND ARMAGH,54.3,0.58,0.606,0.827,15.4,20.1
N20000344,NEWRY AND ARMAGH,55.7,0.58,0.618,0.832,15.6,20.2
N20000346,NEWRY AND ARMAGH,65.5,0.58,0.703,0.87,17.4,21.0
N20000348,NEWRY AND ARMAGH,89.1,0.58,0.906,0.959,21.8,23.0
N20000350,NEWRY AND ARMAGH,91.4,0.58,0.926,0.967,22.2,23.2
N20000351,NEWRY AND ARMAGH,87.0,0.58,0.888,0.951,21.4,22.8
N20000352,NEWRY AND ARMAGH,83.9,0.58,0.861,0.939,20.8,22.5
N20000353,NEWRY AND ARMAGH,84.9,0.58,0.87,0.943,21.0,22.6
N20000354,NEWRY AND ARMAGH,78.6,0.58,0.816,0.919,19.8,22.1
N20000355,NEWRY AND ARMAGH,94.3,0.58,0.951,0.978,22.8,23.4
N20000356,UPPER BANN,53.2,0.27,0.608,0.709,15.4,17.6
N20000357,FERMANAGH AND SOUTH TYRONE,6.5,0.585,0.176,0.645,7.7,16.2
N20000358,UPPER BANN,36.9,0.27,0.471,0.608,12.6,15.4
N20000360,UPPER BANN,47.9,0.27,0.563,0.676,14.5,16.9
N20000361,FERMANAGH AND SOUTH TYRONE,63.2,0.585,0.676,0.86,16.8,20.8
N20000362,FERMANAGH AND SOUTH TYRONE,20.3,0.585,0.298,0.697,9.5,17.3
N20000364,UPPER BANN,33.6,0.27,0.443,0.588,12.1,15.0
N20000366,UPPER BANN,23.9,0.27,0.362,0.527,10.6,13.8
N20000367,NEWRY AND ARMAGH,40.9,0.58,0.491,0.776,13.0,19.0
N20000368,UPPER BANN,15.6,0.27,0.292,0.476,9.4,12.7
N20000371,UPPER BANN,90.1,0.27,0.917,0.939,22.1,22.5
N20000372,UPPER BANN,89.6,0.27,0.913,0.935,22.0,22.5
N20000373,UPPER BANN,92.7,0.27,0.939,0.955,22.5,22.9
N20000375,UPPER BANN,85.7,0.27,0.88,0.911,21.2,21.9
N20000377,UPPER BANN,30.5,0.27,0.417,0.568,11.6,14.6
N20000378,UPPER BANN,94.0,0.27,0.95,0.963,22.8,23.1
