DZ21,label,con,margin_rate,prot_pct,old65_pct,pop
N20002807,Knockagh_C3,EAST ANTRIM,6.06,86.62,36.06,269.0
N20003588,Bangor_West_B3,NORTH DOWN,6.06,74.85,41.82,330.0
N20003684,Bangor_East_and_Donaghadee_B2,NORTH DOWN,6.06,80.27,50.78,451.0
N20000019,Dunsilly_D4,SOUTH ANTRIM,6.05,46.15,33.05,351.0
N20002512,Castlereagh_East_E2,BELFAST EAST,6.05,71.76,31.09,386.0
N20000397,Portadown_H3,UPPER BANN,6.05,86.2,38.36,623.0
N20003715,Bangor_East_and_Donaghadee_J4,NORTH DOWN,6.04,77.69,46.69,242.0
N20002758,Larne_Lough_F5,EAST ANTRIM,6.04,74.93,37.33,375.0
N20002267,Downshire_West_D3,LAGAN VALLEY,6.03,69.85,35.88,262.0
N20000063,Antrim_G3,SOUTH ANTRIM,6.03,41.46,20.25,316.0
N20000965,Ormiston_C5,BELFAST EAST,6.03,76.54,34.81,405.0
N20003648,Bangor_Central_H1,NORTH DOWN,6.03,78.66,47.81,389.0
N20003580,Bangor_West_A3,NORTH DOWN,6.03,70.69,43.5,423.0
N20000537,Lurgan_S1,UPPER BANN,6.02,79.38,29.38,422.0
N20002507,Castlereagh_East_C5,BELFAST EAST,6.02,80.79,40.39,203.0
N20003706,Bangor_East_and_Donaghadee_F5,NORTH DOWN,6.02,80.86,36.57,350.0
N20003598,Bangor_West_C4,NORTH DOWN,6.02,78.65,35.59,281.0
N20000112,Ballyclare_C6,SOUTH ANTRIM,6.02,82.44,35.5,262.0
N20000135,Three_Mile_Water_D2,SOUTH ANTRIM,6.01,76.56,32.04,465.0
N20003593,Bangor_West_D3,NORTH DOWN,6.01,67.44,37.98,258.0
N20000549,Lurgan_S5,UPPER BANN,6.01,85.09,33.96,530.0
N20002653,Braid_C5,NORTH ANTRIM,6.0,87.39,30.63,444.0
N20000964,Ormiston_E1,BELFAST EAST,6.0,80.57,40.0,350.0
N20003704,Bangor_East_and_Donaghadee_C4,NORTH DOWN,6.0,84.94,38.2,445.0
N20000953,Ormiston_C2,BELFAST EAST,6.0,81.54,38.8,482.0
N20002792,Carrick_Castle_G2,EAST ANTRIM,6.0,75.67,36.5,411.0
N20002789,Carrick_Castle_F4,EAST ANTRIM,6.0,76.03,42.92,459.0
N20002749,Larne_Lough_G1,EAST ANTRIM,5.99,84.72,34.72,288.0
N20000377,Portadown_F1,UPPER BANN,5.99,51.8,19.59,388.0
N20001490,Limavady_B3,EAST LONDONDERRY,5.99,50.0,28.95,304.0
N20003487,Newtownards_C2,STRANGFORD,5.99,82.24,37.76,490.0
N20002623,Ballymena_F6,NORTH ANTRIM,5.99,80.39,45.42,306.0
N20003044,Dungannon_H1,FERMANAGH AND SOUTH TYRONE,5.98,38.24,17.0,353.0
N20002625,Ballymena_J1,NORTH ANTRIM,5.98,78.26,16.3,276.0
N20002600,Ballymena_B5,NORTH ANTRIM,5.98,80.45,36.86,491.0
N20002940,Cookstown_C2,MID ULSTER,5.98,49.25,14.29,469.0
N20000111,Ballyclare_E3,SOUTH ANTRIM,5.98,84.53,34.96,472.0
N20003650,Bangor_Central_J1,NORTH DOWN,5.98,72.83,38.73,692.0
N20002417,Lisburn_North_G6,LAGAN VALLEY,5.98,74.44,46.41,446.0
N20002599,Ballymena_B4,NORTH ANTRIM,5.98,68.25,33.53,337.0
N20002508,Castlereagh_East_D1,BELFAST EAST,5.98,64.49,22.66,459.0
N20001484,Limavady_A4,EAST LONDONDERRY,5.98,71.29,48.11,634.0
N20003038,Dungannon_C3,FERMANAGH AND SOUTH TYRONE,5.97,20.9,10.93,421.0
N20002126,Erne_North_A3,FERMANAGH AND SOUTH TYRONE,5.97,68.85,32.05,443.0
N20003498,Newtownards_G2,STRANGFORD,5.97,72.2,27.12,295.0
N20003306,The_Mournes_P4,SOUTH DOWN,5.97,79.89,24.73,368.0
N20002372,Lisburn_South_J3,LAGAN VALLEY,5.97,65.21,43.04,618.0
N20002605,Ballymena_C5,NORTH ANTRIM,5.97,38.86,21.59,440.0
N20003731,Ards_Peninsula_C2,STRANGFORD,5.97,81.36,38.46,338.0
N20000065,Antrim_J3,SOUTH ANTRIM,5.97,51.21,42.51,414.0
N20003626,Bangor_Central_D1,NORTH DOWN,5.97,74.88,44.7,434.0
N20000314,Armagh_B4,NEWRY AND ARMAGH,5.97,59.64,41.07,280.0
N20002595,Ballymena_B2,NORTH ANTRIM,5.96,64.1,37.73,493.0
N20000188,Macedon_H2,BELFAST NORTH,5.96,69.2,38.16,435.0
N20003639,Bangor_Central_D3,NORTH DOWN,5.96,77.46,40.41,386.0
N20001052,Lisnasharragh_N4,BELFAST SOUTH,5.95,68.68,25.0,364.0
N20002715,Coast_Road_E5,EAST ANTRIM,5.95,60.18,40.27,442.0
N20003647,Bangor_Central_G3,NORTH DOWN,5.95,70.47,40.09,464.0
N20000119,Ballyclare_G4,SOUTH ANTRIM,5.94,82.22,31.11,270.0
N20000218,Glengormley_Urban_B3,SOUTH ANTRIM,5.94,73.22,43.35,519.0
N20003351,Rowallane_B1,STRANGFORD,5.94,71.24,43.46,306.0
N20003476,Newtownards_A3,STRANGFORD,5.94,82.54,29.37,504.0
N20002762,Larne_Lough_J4,EAST ANTRIM,5.94,67.52,39.05,548.0
N20003756,Ards_Peninsula_F3,STRANGFORD,5.94,39.22,26.83,436.0
N20002631,Ballymena_H4,NORTH ANTRIM,5.94,83.43,30.18,338.0
N20000097,Ballyclare_B5,SOUTH ANTRIM,5.93,87.45,37.25,502.0
N20001611,Causeway_E2,EAST LONDONDERRY,5.93,70.88,42.18,467.0
N20003755,Ards_Peninsula_F2,STRANGFORD,5.93,79.24,29.11,395.0
N20002814,Knockagh_C5,EAST ANTRIM,5.93,80.04,26.44,556.0
N20000850,Castle_T4,BELFAST NORTH,5.93,64.71,24.37,238.0
N20003451,Comber_D2,STRANGFORD,5.93,78.04,30.56,337.0
N20001864,Waterside_D3,FOYLE,5.93,65.32,28.28,297.0
N20003469,Comber_F6,STRANGFORD,5.92,76.84,34.82,626.0
N20002708,Coast_Road_E4,EAST ANTRIM,5.92,68.71,27.89,294.0
N20002520,Castlereagh_East_C6,BELFAST EAST,5.92,80.0,36.0,425.0
N20003040,Dungannon_E2,FERMANAGH AND SOUTH TYRONE,5.92,48.32,19.63,596.0
N20000988,Ormiston_N2,BELFAST EAST,5.92,73.36,45.07,608.0
N20002330,Lisburn_South_C1,LAGAN VALLEY,5.92,72.23,38.15,443.0
N20001603,Causeway_B2,EAST LONDONDERRY,5.91,56.53,41.19,352.0
N20002669,Braid_G3,NORTH ANTRIM,5.91,78.47,24.01,404.0
N20000162,Three_Mile_Water_G5,EAST ANTRIM,5.91,71.41,39.72,647.0
N20000139,Three_Mile_Water_B3,SOUTH ANTRIM,5.91,82.5,33.5,400.0
N20003354,Rowallane_B3,STRANGFORD,5.91,73.55,29.75,363.0
N20003540,Holywood_and_Clandeboye_A3,NORTH DOWN,5.91,68.14,43.85,317.0
N20002724,Coast_Road_J5,EAST ANTRIM,5.9,58.42,24.37,279.0
N20000404,Portadown_N1,UPPER BANN,5.9,71.48,29.09,519.0
N20003602,Bangor_West_D5,NORTH DOWN,5.9,68.42,28.81,361.0
N20001514,Bann_A1,EAST LONDONDERRY,5.9,75.82,39.4,637.0
N20001562,Coleraine_D1,EAST LONDONDERRY,5.9,62.42,27.18,298.0
N20001396,Court_K1,BELFAST WEST,5.9,83.93,31.25,336.0
N20002780,Carrick_Castle_D4,EAST ANTRIM,5.9,76.24,39.88,484.0
N20002283,Downshire_West_F5,LAGAN VALLEY,5.89,71.65,43.81,194.0
N20001614,Causeway_E4,EAST LONDONDERRY,5.89,71.36,29.85,412.0
N20001591,Coleraine_H5,EAST LONDONDERRY,5.89,69.64,27.33,494.0
N20001691,Ballymoney_C3,NORTH ANTRIM,5.89,76.11,42.18,339.0
N20003578,Bangor_West_A1,NORTH DOWN,5.89,73.15,40.9,555.0
N20000117,Ballyclare_G2,SOUTH ANTRIM,5.89,86.99,31.16,292.0
N20002736,Larne_Lough_B6,EAST ANTRIM,5.89,79.46,28.57,336.0
N20000954,Ormiston_A5,BELFAST EAST,5.89,81.29,33.09,278.0
N20002541,Castlereagh_East_J2,BELFAST EAST,5.88,82.18,31.12,376.0
N20002696,Coast_Road_D2,EAST ANTRIM,5.88,61.14,32.0,350.0
N20000396,Portadown_K2,UPPER BANN,5.88,73.67,18.81,319.0
N20002656,Braid_D2,NORTH ANTRIM,5.88,90.0,32.62,420.0
N20003452,Comber_D3,STRANGFORD,5.88,85.29,30.42,401.0
N20000994,Ormiston_K4,BELFAST EAST,5.88,85.86,31.97,488.0
N20003694,Bangor_East_and_Donaghadee_D2,NORTH DOWN,5.87,77.62,33.43,353.0
N20000237,Glengormley_Urban_H2,BELFAST NORTH,5.87,54.68,33.53,331.0
N20000630,Banbridge_G2,UPPER BANN,5.87,55.28,33.33,360.0
N20003691,Bangor_East_and_Donaghadee_B7,NORTH DOWN,5.87,76.27,37.57,354.0
N20002728,Larne_Lough_A3,EAST ANTRIM,5.87,65.55,27.44,328.0
N20003456,Comber_E2,STRANGFORD,5.87,85.04,31.12,421.0
N20002699,Coast_Road_F1,EAST ANTRIM,5.87,67.17,25.49,463.0
N20002735,Larne_Lough_B5,EAST ANTRIM,5.87,66.67,30.89,450.0
N20003682,Bangor_East_and_Donaghadee_A3,NORTH DOWN,5.87,80.43,38.84,327.0
N20002206,Omagh_E4,WEST TYRONE,5.87,67.21,28.74,247.0
N20000468,Craigavon_K3,UPPER BANN,5.87,66.58,22.01,368.0
N20000257,Airport_A1,SOUTH ANTRIM,5.87,75.29,40.3,263.0
N20003698,Bangor_East_and_Donaghadee_G1,NORTH DOWN,5.86,75.97,29.26,516.0
N20000986,Ormiston_J4,BELFAST EAST,5.86,83.7,28.99,276.0
N20000385,Portadown_G1,UPPER BANN,5.86,74.14,26.24,263.0
N20001572,Coleraine_E4,EAST LONDONDERRY,5.86,62.31,36.83,467.0
N20000551,Lagan_River_C1,UPPER BANN,5.86,85.09,35.18,523.0
N20003531,Newtownards_S2,STRANGFORD,5.86,78.75,42.23,367.0
N20000900,Titanic_N2,BELFAST EAST,5.86,76.43,18.21,280.0
N20000259,Airport_A2,SOUTH ANTRIM,5.86,77.26,42.0,519.0
N20001584,Coleraine_J2,EAST LONDONDERRY,5.85,68.37,40.66,332.0
N20002543,Castlereagh_East_J4,STRANGFORD,5.85,81.86,34.51,226.0
N20000669,Cusher_B3,NEWRY AND ARMAGH,5.85,81.84,29.92,391.0
N20003687,Bangor_East_and_Donaghadee_B4,NORTH DOWN,5.85,77.78,36.73,324.0
N20001617,Causeway_J2,EAST LONDONDERRY,5.85,90.95,29.9,398.0
N20003046,Dungannon_E4,FERMANAGH AND SOUTH TYRONE,5.85,35.55,11.43,481.0
N20000191,Macedon_E4,BELFAST NORTH,5.85,80.7,28.48,316.0
N20003551,Holywood_and_Clandeboye_D3,NORTH DOWN,5.85,64.17,38.77,374.0
N20002143,Erne_North_E3,FERMANAGH AND SOUTH TYRONE,5.84,84.49,25.62,445.0
N20001599,Causeway_B1,EAST LONDONDERRY,5.84,54.24,25.99,354.0
N20002302,Killultagh_G2,LAGAN VALLEY,5.84,75.34,31.1,373.0
N20003503,Newtownards_J2,STRANGFORD,5.84,59.71,28.53,340.0
N20000046,Antrim_D2,SOUTH ANTRIM,5.84,64.57,19.28,446.0
N20002672,Braid_J3,NORTH ANTRIM,5.84,76.29,34.02,194.0
N20001555,Coleraine_B3,EAST LONDONDERRY,5.84,63.74,31.64,433.0
N20003732,Ards_Peninsula_A1,NORTH DOWN,5.84,78.43,35.54,408.0
N20001398,Court_K2,BELFAST WEST,5.83,82.65,26.87,294.0
N20002531,Castlereagh_East_G1,BELFAST EAST,5.83,78.35,27.84,291.0
N20000462,Craigavon_N1,UPPER BANN,5.83,82.72,26.17,405.0
N20001574,Coleraine_G2,EAST LONDONDERRY,5.83,40.62,16.56,453.0
N20003759,Ards_Peninsula_F4,STRANGFORD,5.83,28.41,29.53,359.0
N20001624,Causeway_F4,EAST LONDONDERRY,5.83,64.15,36.66,371.0
N20002602,Ballymena_C4,NORTH ANTRIM,5.83,27.22,21.78,349.0
N20000137,Three_Mile_Water_B2,EAST ANTRIM,5.83,81.82,31.45,407.0
N20001558,Coleraine_B4,EAST LONDONDERRY,5.83,68.24,34.91,444.0
N20000960,Ormiston_C4,BELFAST EAST,5.83,78.98,34.87,433.0
N20003579,Bangor_West_A2,NORTH DOWN,5.83,67.48,35.66,286.0
N20003459,Comber_F3,STRANGFORD,5.82,88.27,29.32,324.0
N20003577,Holywood_and_Clandeboye_L6,NORTH DOWN,5.82,59.46,25.53,333.0
N20002263,Downshire_West_D1,LAGAN VALLEY,5.82,67.13,29.01,362.0
N20001570,Coleraine_D3,EAST LONDONDERRY,5.82,50.12,23.84,411.0
N20000958,Ormiston_D2,BELFAST EAST,5.82,76.64,29.76,578.0
N20002338,Lisburn_South_C5,LAGAN VALLEY,5.82,66.22,41.89,222.0
N20003449,Comber_B5,STRANGFORD,5.82,71.71,26.34,205.0
N20000464,Craigavon_N2,UPPER BANN,5.82,74.45,30.17,411.0
N20001489,Limavady_C2,EAST LONDONDERRY,5.82,63.67,36.51,567.0
N20002443,Downshire_East_E3,LAGAN VALLEY,5.82,83.04,33.92,342.0
N20002779,Carrick_Castle_B3,EAST ANTRIM,5.81,77.19,22.81,342.0
N20000845,Castle_S3,BELFAST NORTH,5.81,65.68,13.65,271.0
N20000918,Titanic_P3,BELFAST SOUTH,5.81,66.3,24.91,273.0
N20000860,Titanic_C1,BELFAST EAST,5.81,86.38,30.99,426.0
N20001565,Coleraine_E3,EAST LONDONDERRY,5.81,68.11,25.95,370.0
N20001597,Causeway_A1,NORTH ANTRIM,5.81,91.82,30.44,611.0
N20000517,Lurgan_J2,UPPER BANN,5.81,80.7,25.56,399.0
N20002573,Bannside_E7,NORTH ANTRIM,5.81,90.46,29.1,409.0
N20003582,Bangor_West_C1,NORTH DOWN,5.81,68.19,44.2,371.0
N20003305,The_Mournes_P3,SOUTH DOWN,5.81,71.91,32.21,267.0
N20002451,Downshire_East_G1,LAGAN VALLEY,5.81,89.74,29.18,497.0
N20003529,Newtownards_R4,STRANGFORD,5.81,61.4,22.81,285.0
N20000183,Macedon_F2,BELFAST NORTH,5.81,79.55,30.68,352.0
N20003445,Comber_B4,STRANGFORD,5.81,77.2,28.99,307.0
N20002355,Lisburn_South_H2,LAGAN VALLEY,5.81,40.1,20.55,399.0
N20002217,Omagh_G4,WEST TYRONE,5.81,79.8,35.61,396.0
N20000856,Titanic_A1,BELFAST EAST,5.8,81.49,26.24,362.0
N20001098,Botanic_E3,BELFAST SOUTH,5.8,64.72,11.66,326.0
N20001689,Ballymoney_C2,NORTH ANTRIM,5.8,77.22,33.52,540.0
N20003312,Slieve_Croob_A2,SOUTH DOWN,5.8,77.98,34.56,327.0
N20001696,Ballymoney_E1,NORTH ANTRIM,5.8,81.44,23.9,431.0
N20001038,Lisnasharragh_E2,BELFAST EAST,5.8,72.77,32.77,470.0
N20003494,Newtownards_E3,STRANGFORD,5.8,81.58,38.52,418.0
N20000185,Macedon_E3,BELFAST NORTH,5.8,73.91,22.22,207.0
N20002678,Braid_H6,NORTH ANTRIM,5.8,84.74,28.57,511.0
N20000544,Lurgan_T1,UPPER BANN,5.8,81.35,25.17,445.0
N20000411,Portadown_L4,UPPER BANN,5.8,42.06,14.95,428.0
N20002564,Bannside_A4,NORTH ANTRIM,5.8,87.3,32.17,575.0
N20003457,Comber_F1,STRANGFORD,5.8,82.52,31.0,429.0
N20002513,Castlereagh_East_B3,BELFAST EAST,5.8,75.16,29.87,318.0
N20003743,Ards_Peninsula_C5,STRANGFORD,5.8,83.2,30.08,625.0
N20002339,Lisburn_South_C6,LAGAN VALLEY,5.79,77.15,34.95,372.0
N20001590,Coleraine_H4,EAST LONDONDERRY,5.79,73.32,37.26,416.0
N20003358,Rowallane_D1,STRANGFORD,5.79,78.73,36.19,583.0
N20000083,Antrim_N4,SOUTH ANTRIM,5.79,55.0,27.92,240.0
N20000073,Antrim_F4,SOUTH ANTRIM,5.79,71.69,26.75,385.0
N20002410,Lisburn_North_H4,LAGAN VALLEY,5.79,66.37,38.3,342.0
N20000826,Castle_N1,BELFAST NORTH,5.79,48.33,21.56,269.0
N20003455,Comber_D6,STRANGFORD,5.79,77.69,21.92,260.0
N20000143,Three_Mile_Water_E3,EAST ANTRIM,5.79,68.08,31.92,520.0
N20003595,Bangor_West_C3,NORTH DOWN,5.79,72.35,36.38,481.0
N20002516,Castlereagh_East_D2,BELFAST EAST,5.79,68.7,20.38,476.0
N20000992,Ormiston_P1,BELFAST EAST,5.79,77.07,36.31,314.0
N20003585,Bangor_West_B1,NORTH DOWN,5.79,78.5,45.08,386.0
N20001561,Coleraine_E1,EAST LONDONDERRY,5.79,67.25,21.66,397.0
N20002741,Larne_Lough_F1,EAST ANTRIM,5.79,86.07,26.87,402.0
N20001856,Waterside_B3,FOYLE,5.78,87.63,21.91,388.0
N20002597,Ballymena_B3,NORTH ANTRIM,5.78,53.62,31.3,345.0
N20000952,Ormiston_C1,BELFAST EAST,5.78,75.62,36.57,361.0
N20001039,Lisnasharragh_G1,BELFAST EAST,5.78,75.73,29.71,478.0
N20000149,Three_Mile_Water_E4,EAST ANTRIM,5.78,68.54,33.4,515.0
N20002939,Cookstown_E3,MID ULSTER,5.78,74.78,20.35,226.0
N20000935,Titanic_X2,BELFAST EAST,5.78,87.04,25.66,378.0
N20002613,Ballymena_E3,NORTH ANTRIM,5.78,56.73,10.61,594.0
N20002677,Braid_F4,NORTH ANTRIM,5.78,86.86,34.53,472.0
N20000983,Ormiston_G4,BELFAST EAST,5.78,72.35,43.73,510.0
N20002407,Lisburn_North_J1,LAGAN VALLEY,5.78,75.5,21.0,200.0
N20003453,Comber_D4,STRANGFORD,5.77,84.83,27.86,402.0
N20003375,Rowallane_H3,STRANGFORD,5.77,57.14,29.74,343.0
N20001576,Coleraine_G4,EAST LONDONDERRY,5.77,47.95,19.56,317.0
N20000527,Lurgan_Q1,UPPER BANN,5.77,50.75,15.17,402.0
N20000829,Castle_K4,BELFAST NORTH,5.77,63.8,16.49,279.0
N20003721,Bangor_East_and_Donaghadee_E3,NORTH DOWN,5.77,78.51,25.21,349.0
N20003701,Bangor_East_and_Donaghadee_F3,NORTH DOWN,5.77,78.3,25.28,447.0
N20001380,Court_E1,BELFAST WEST,5.77,86.27,21.89,539.0
N20000631,Banbridge_E6,UPPER BANN,5.77,56.38,23.83,298.0
N20001699,Ballymoney_C4,NORTH ANTRIM,5.77,80.56,38.17,427.0
N20002751,Larne_Lough_E3,EAST ANTRIM,5.77,85.24,28.07,481.0
N20003483,Newtownards_E1,STRANGFORD,5.77,80.75,29.31,348.0
N20002327,Lisburn_South_A2,LAGAN VALLEY,5.76,80.69,37.69,321.0
N20000978,Ormiston_J2,BELFAST EAST,5.76,62.92,19.15,329.0
N20000968,Ormiston_E3,BELFAST EAST,5.76,66.14,27.77,443.0
N20001649,Causeway_L6,NORTH ANTRIM,5.76,83.22,24.83,286.0
N20000260,Airport_A3,SOUTH ANTRIM,5.76,75.0,28.44,524.0
N20000574,Lagan_River_F4,LAGAN VALLEY,5.76,71.71,27.3,608.0
N20001013,Ormiston_S3,BELFAST EAST,5.76,80.18,28.83,444.0
N20000947,Ormiston_A2,BELFAST EAST,5.76,77.78,30.98,297.0
N20002264,Downshire_West_C2,LAGAN VALLEY,5.76,77.22,34.17,439.0
N20000728,Oldpark_F1,BELFAST NORTH,5.76,80.74,30.59,353.0
N20003547,Holywood_and_Clandeboye_C2,NORTH DOWN,5.76,68.06,37.33,576.0
N20000258,Airport_B1,SOUTH ANTRIM,5.76,76.04,34.1,434.0
N20003746,Ards_Peninsula_D5,STRANGFORD,5.76,80.85,27.66,423.0
N20002279,Downshire_West_F2,LAGAN VALLEY,5.76,72.37,46.49,228.0
N20002447,Downshire_East_F1,LAGAN VALLEY,5.76,83.82,28.22,482.0
N20003567,Holywood_and_Clandeboye_K4,NORTH DOWN,5.76,62.17,32.17,460.0
N20000668,Cusher_B2,NEWRY AND ARMAGH,5.76,79.56,32.04,181.0
N20001228,Balmoral_P1,BELFAST SOUTH,5.75,76.54,33.33,324.0
N20002082,Enniskillen_A2,FERMANAGH AND SOUTH TYRONE,5.75,81.21,28.32,346.0
N20000946,Ormiston_A1,NORTH DOWN,5.75,73.63,21.61,273.0
N20003458,Comber_F2,STRANGFORD,5.75,87.59,35.17,290.0
N20000684,Cusher_F3,NEWRY AND ARMAGH,5.75,70.63,25.41,303.0
N20000557,Lagan_River_B1,UPPER BANN,5.75,85.9,24.2,376.0
N20002554,Bannside_B1,NORTH ANTRIM,5.75,84.42,23.19,276.0
N20003523,Newtownards_N2,STRANGFORD,5.75,84.22,31.77,469.0
N20003510,Newtownards_J4,STRANGFORD,5.75,67.72,31.01,158.0
N20003478,Newtownards_A4,STRANGFORD,5.75,87.23,37.59,415.0
N20003548,Holywood_and_Clandeboye_D1,NORTH DOWN,5.75,68.79,34.21,535.0
N20003439,Comber_C6,STRANGFORD,5.75,89.38,29.11,292.0
N20003389,Rowallane_G6,STRANGFORD,5.74,52.71,28.92,332.0
N20003697,Bangor_East_and_Donaghadee_F2,NORTH DOWN,5.74,75.92,34.06,461.0
N20003649,Bangor_Central_H2,NORTH DOWN,5.74,65.12,20.53,453.0
N20001626,Causeway_G3,EAST LONDONDERRY,5.74,58.21,34.58,402.0
N20000167,Macedon_B2,EAST ANTRIM,5.74,67.68,35.74,263.0
N20003627,Bangor_Central_E1,NORTH DOWN,5.74,77.03,37.03,370.0
N20002763,Carrick_Castle_A1,EAST ANTRIM,5.74,86.74,22.55,377.0
N20003583,Bangor_West_A5,NORTH DOWN,5.74,50.62,36.34,322.0
N20001629,Causeway_G4,EAST LONDONDERRY,5.74,60.14,49.64,276.0
N20002756,Larne_Lough_H2,EAST ANTRIM,5.74,68.13,29.69,320.0
N20002777,Carrick_Castle_E3,EAST ANTRIM,5.74,84.75,23.45,354.0
N20001526,Bann_D1,EAST LONDONDERRY,5.74,77.75,23.96,409.0
N20001043,Lisnasharragh_J1,BELFAST EAST,5.74,77.99,21.53,209.0
N20000993,Ormiston_K3,BELFAST EAST,5.74,77.78,26.44,450.0
N20003461,Comber_E3,STRANGFORD,5.74,87.88,30.64,297.0
N20003705,Bangor_East_and_Donaghadee_G4,NORTH DOWN,5.74,76.09,28.28,389.0
N20003587,Bangor_West_B2,NORTH DOWN,5.74,69.89,38.35,352.0
N20002718,Coast_Road_G4,EAST ANTRIM,5.73,51.38,30.58,399.0
N20001643,Causeway_J5,NORTH ANTRIM,5.73,86.51,26.97,304.0
N20000628,Banbridge_J3,UPPER BANN,5.73,72.02,25.55,411.0
N20003039,Dungannon_E1,FERMANAGH AND SOUTH TYRONE,5.73,36.78,9.81,571.0
N20002280,Downshire_West_F3,LAGAN VALLEY,5.73,80.77,29.12,364.0
N20000049,Antrim_G1,SOUTH ANTRIM,5.73,30.27,26.18,489.0
N20003549,Holywood_and_Clandeboye_D2,NORTH DOWN,5.73,66.02,38.42,518.0
N20002798,Carrick_Castle_J1,EAST ANTRIM,5.73,57.71,19.14,350.0
