DZ21,DEA2014,u_open_1972,n_open_1972,u_open_1984,n_open_1984,u_open_1993,n_open_1993,u_open_2012,n_open_2012,u_open_mean,n_open_mean,n_vintages_u
N20000704,Cusher,0.2,,,,1.6,1.4,,13.6,0.9,7.5,2
N20000708,Cusher,0.2,,,,1.6,1.4,,13.6,0.9,7.5,2
N20000706,Cusher,,,,,,1.1,,13.6,,7.3,0
N20000709,Cusher,,,,,,1.1,,13.6,,7.3,0
N20003104,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003119,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20000710,Cusher,,,,,,1.1,,13.6,,7.3,0
N20000355,Armagh,,,,,,1.1,2.5,6.5,2.5,3.8,1
N20000354,Armagh,,,,,,1.1,2.5,6.5,2.5,3.8,1
N20000705,Cusher,,,,,,1.1,,13.6,,7.3,0
N20000350,Armagh,,,,,,1.1,2.5,6.5,2.5,3.8,1
N20000352,Armagh,,,,,,1.1,2.5,6.5,2.5,3.8,1
N20000349,Armagh,,,,,,1.1,2.5,6.5,2.5,3.8,1
N20000348,Armagh,,,,,,1.1,2.5,6.5,2.5,3.8,1
N20000351,Armagh,,,,,,1.1,2.5,6.5,2.5,3.8,1
N20000353,Armagh,,,,,,1.1,2.5,6.5,2.5,3.8,1
N20000707,Cusher,,,,,,1.1,,13.6,,7.3,0
N20000701,Cusher,0.2,,,,,1.1,,13.6,0.2,7.3,1
N20000343,Armagh,,,,,,1.1,2.5,6.5,2.5,3.8,1
N20000346,Armagh,,,,,,1.1,2.5,6.5,2.5,3.8,1
N20000344,Armagh,,,,,,1.1,2.5,6.5,2.5,3.8,1
N20000345,Armagh,,,,,,1.1,2.5,6.5,2.5,3.8,1
N20000338,Armagh,,,,,,1.1,2.5,6.5,2.5,3.8,1
N20000341,Armagh,,,,,,1.1,2.5,6.5,2.5,3.8,1
N20000337,Armagh,0.2,,0.5,10.6,1.2,14.1,2.5,6.5,1.1,10.4,4
N20000336,Armagh,0.2,,0.5,10.6,1.2,14.1,2.5,6.5,1.1,10.4,4
N20000339,Armagh,0.2,,,,,1.1,2.5,6.5,1.4,3.8,2
N20000335,Armagh,0.2,,,,,1.1,2.5,6.5,1.4,3.8,2
N20000329,Armagh,2.4,7.3,0.5,10.6,1.2,14.1,2.5,6.5,1.6,9.6,4
N20000327,Armagh,2.4,7.3,0.5,10.6,1.2,14.1,2.5,6.5,1.6,9.6,4
N20000330,Armagh,2.4,7.3,0.5,10.6,1.2,14.1,2.5,6.5,1.6,9.6,4
N20000325,Armagh,2.4,7.3,0.5,10.6,1.2,14.1,2.5,6.5,1.6,9.6,4
N20000331,Armagh,2.4,7.3,0.5,10.6,1.2,14.1,2.5,6.5,1.6,9.6,4
N20000334,Armagh,2.4,7.3,0.5,10.6,1.2,14.1,2.5,6.5,1.6,9.6,4
N20000332,Armagh,0.2,,0.5,10.6,1.2,14.1,2.5,6.5,1.1,10.4,4
N20000328,Armagh,2.4,7.3,0.5,10.6,1.2,14.1,2.5,6.5,1.6,9.6,4
N20000324,Armagh,2.4,7.3,0.5,10.6,1.2,14.1,2.5,6.5,1.6,9.6,4
N20000326,Armagh,2.4,7.3,0.5,10.6,1.2,14.1,2.5,6.5,1.6,9.6,4
N20000333,Armagh,0.2,,0.5,10.6,1.2,14.1,2.5,6.5,1.1,10.4,4
N20000688,Cusher,0.2,,,,1.6,1.4,,13.6,0.9,7.5,2
N20000693,Cusher,0.2,,,,1.6,1.4,,13.6,0.9,7.5,2
N20000699,Cusher,0.2,,,,1.6,1.4,,13.6,0.9,7.5,2
N20000702,Cusher,0.2,,,,1.6,1.4,,13.6,0.9,7.5,2
N20000697,Cusher,0.2,,,,1.6,1.4,,13.6,0.9,7.5,2
N20000698,Cusher,0.2,,,,1.6,1.4,,13.6,0.9,7.5,2
N20000696,Cusher,0.2,,,,1.6,1.4,,13.6,0.9,7.5,2
N20000700,Cusher,0.2,,,,1.6,1.4,,13.6,0.9,7.5,2
N20000703,Cusher,0.2,,,,1.6,1.4,,13.6,0.9,7.5,2
N20000695,Cusher,0.2,,,,1.6,1.4,,13.6,0.9,7.5,2
N20000691,Cusher,0.2,,,,1.6,1.4,,13.6,0.9,7.5,2
N20000690,Cusher,0.2,,,,1.6,1.4,,13.6,0.9,7.5,2
N20000689,Cusher,0.2,,,,1.6,1.4,,13.6,0.9,7.5,2
N20000687,Cusher,0.2,,,,1.6,1.4,,13.6,0.9,7.5,2
N20000692,Cusher,0.2,,,,1.6,1.4,,13.6,0.9,7.5,2
N20000644,Banbridge,13.2,,2.0,22.9,3.5,100.0,5.7,10.8,6.1,44.6,4
N20000642,Banbridge,13.2,,2.0,22.9,3.5,100.0,5.7,10.8,6.1,44.6,4
N20000646,Banbridge,13.2,,2.0,22.9,3.5,100.0,5.7,10.8,6.1,44.6,4
N20000647,Banbridge,13.2,,2.0,22.9,3.5,100.0,5.7,10.8,6.1,44.6,4
N20000649,Banbridge,13.2,,2.0,22.9,3.5,100.0,5.7,10.8,6.1,44.6,4
N20000652,Banbridge,13.2,,2.0,22.9,3.5,100.0,5.7,10.8,6.1,44.6,4
N20000654,Banbridge,0.2,,,,1.6,1.4,5.7,10.8,2.5,6.1,3
N20000694,Cusher,0.2,,,,1.6,1.4,,13.6,0.9,7.5,2
N20003101,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003102,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003103,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003121,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003111,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003122,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003116,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003118,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003123,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003117,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003110,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003113,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003109,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003105,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003212,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003108,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003115,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003120,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003114,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003157,Newry,,,,,,,,2.6,,2.6,0
N20003162,Newry,,,,,,,,2.6,,2.6,0
N20003166,Newry,,,,,,,,2.6,,2.6,0
N20003164,Newry,,,,,,,,2.6,,2.6,0
N20003159,Newry,,,,,,,,2.6,,2.6,0
N20003161,Newry,,,,,,,,2.6,,2.6,0
N20003154,Newry,,,,,,,,2.6,,2.6,0
N20003112,Slieve Gullion,,,,,,,,2.4,,2.4,0
N20003156,Newry,,,,,,,,2.6,,2.6,0
N20003158,Newry,,,,,,,,2.6,,2.6,0
N20003163,Newry,,,,,,,,2.6,,2.6,0
N20003160,Newry,,,,,,,,2.6,,2.6,0
N20003165,Newry,,,,,,,,2.6,,2.6,0
N20003155,Newry,,,,,,,,2.6,,2.6,0
N20003215,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003211,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003207,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003210,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003208,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003209,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003214,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003216,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003219,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003217,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003218,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003220,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20003213,Crotlieve,,,,,,,41.7,11.0,41.7,11.0,1
N20000661,Banbridge,,,,,3.5,100.0,5.7,10.8,4.6,55.4,2
N20000663,Banbridge,,,,,3.5,100.0,5.7,10.8,4.6,55.4,2
N20000659,Banbridge,,,,,3.5,100.0,5.7,10.8,4.6,55.4,2
N20000662,Banbridge,,,,,3.5,100.0,5.7,10.8,4.6,55.4,2
N20000660,Banbridge,,,,,3.5,100.0,5.7,10.8,4.6,55.4,2
N20000657,Banbridge,1.9,,2.0,22.9,3.5,100.0,5.7,10.8,3.3,44.6,4
N20000658,Banbridge,1.9,,2.0,22.9,3.5,100.0,5.7,10.8,3.3,44.6,4
N20000651,Banbridge,1.9,,2.0,22.9,3.5,100.0,5.7,10.8,3.3,44.6,4
N20000653,Banbridge,1.9,,2.0,22.9,3.5,100.0,5.7,10.8,3.3,44.6,4
N20000645,Banbridge,1.9,,2.0,22.9,3.5,100.0,5.7,10.8,3.3,44.6,4
N20000648,Banbridge,1.9,,2.0,22.9,3.5,100.0,5.7,10.8,3.3,44.6,4
N20000643,Banbridge,13.2,,,,35.2,,5.7,10.8,18.0,10.8,3
N20000641,Banbridge,13.2,,,,35.2,,5.7,10.8,18.0,10.8,3
N20000640,Banbridge,13.2,,,,35.2,,5.7,10.8,18.0,10.8,3
N20000639,Banbridge,13.2,,,,35.2,,5.7,10.8,18.0,10.8,3
N20000638,Banbridge,13.2,,,,35.2,,5.7,10.8,18.0,10.8,3
N20000636,Banbridge,13.2,,,,35.2,,5.7,10.8,18.0,10.8,3
N20000632,Banbridge,13.2,,,,35.2,,5.7,10.8,18.0,10.8,3
N20000630,Banbridge,13.2,,,,35.2,,5.7,10.8,18.0,10.8,3
N20000634,Banbridge,13.2,,,,35.2,,5.7,10.8,18.0,10.8,3
N20000637,Banbridge,13.2,,,,35.2,,5.7,10.8,18.0,10.8,3
N20000631,Banbridge,13.2,,,,35.2,,5.7,10.8,18.0,10.8,3
N20000633,Banbridge,13.2,,,,35.2,,5.7,10.8,18.0,10.8,3
N20000635,Banbridge,13.2,,,,35.2,,5.7,10.8,18.0,10.8,3
N20000592,Lagan River,1.9,,2.0,22.9,3.5,100.0,3.5,65.3,2.7,62.7,4
N20000588,Lagan River,1.9,,0.7,,,18.5,3.5,65.3,2.0,41.9,3
N20000614,Banbridge,1.9,,2.0,22.9,3.5,100.0,5.7,10.8,3.3,44.6,4
N20000628,Banbridge,13.2,,,,35.2,,5.7,10.8,18.0,10.8,3
