DZ21,yes,pop
N20002283,19.1,193.97
N20001926,43.3,368.97
N20002408,22.0,481.97
N20003196,45.1,351.0
N20003667,17.3,425.94
N20001023,20.3,376.99
N20003175,46.0,385.03
N20000890,21.4,378.01
N20000481,47.4,528.0
N20001444,48.6,482.04
N20001474,46.7,262.99
N20003622,16.3,402.99
N20000659,31.2,316.06
N20002902,32.7,397.02
N20000789,39.8,397.99
N20002487,39.2,623.99
N20001106,22.9,455.04
N20000478,43.1,470.02
N20003579,19.5,285.98
N20000652,27.8,441.98
N20002441,17.5,475.02
N20001174,33.6,433.0
N20000019,29.7,350.99
N20000784,48.0,275.01
N20001136,31.9,474.97
N20000578,19.3,524.03
N20001289,33.5,314.02
N20003022,45.1,477.98
N20003487,15.3,490.0
N20002051,39.4,567.99
N20001425,43.3,252.03
N20000434,33.8,424.99
N20003274,39.4,591.0
N20000971,18.5,429.03
N20001727,34.1,463.03
N20003381,27.4,437.01
N20002119,16.5,374.0
N20001002,16.1,224.03
N20003636,21.2,243.01
N20001649,16.1,286.0
N20000122,13.6,551.04
N20002922,29.7,393.96
N20003582,19.8,370.99
N20001850,33.6,492.0
N20001482,32.1,598.98
N20000257,18.7,262.95
N20002403,20.7,343.02
N20002879,29.6,814.01
N20000356,32.3,559.01
N20003766,14.6,489.01
N20001758,48.6,350.99
N20003696,16.6,491.01
N20003045,30.9,417.02
N20002613,23.9,594.02
N20000946,18.2,272.99
N20001779,48.3,455.98
N20000758,48.0,417.04
N20001193,41.1,289.99
N20001058,14.8,434.97
N20002492,21.2,289.0
N20002433,20.4,318.98
N20000850,19.0,238.0
N20001268,47.6,382.02
N20000836,42.0,407.01
N20003408,40.4,222.98
N20002497,36.3,371.97
N20003051,30.1,323.01
N20000917,22.5,368.01
N20002599,21.9,336.99
N20002419,24.4,230.96
N20000001,15.8,593.99
N20001847,48.3,502.0
N20000165,16.5,377.04
N20000151,17.5,512.99
N20000006,25.7,356.99
N20002851,43.9,625.03
N20001168,33.2,436.02
N20001905,13.5,329.97
N20000552,15.5,483.0
N20000986,15.9,275.96
N20000780,44.4,157.02
N20002483,33.9,671.05
N20003007,44.0,319.03
N20001228,16.4,323.98
N20003678,18.5,352.99
N20001788,49.1,598.02
N20003154,32.2,568.97
N20002385,39.7,482.0
N20001718,47.8,257.99
N20002905,31.4,362.96
N20000364,24.5,433.99
N20000070,24.4,373.04
N20000084,27.4,262.01
N20000083,25.2,240.03
N20002672,16.6,194.01
N20000512,41.9,397.03
N20001986,48.6,560.98
N20003110,39.8,545.99
N20001025,19.1,222.04
N20001484,21.3,634.02
N20000023,34.7,401.03
N20002677,14.8,471.98
N20002263,21.3,362.0
N20003691,16.4,353.99
N20001771,46.0,533.96
N20000817,35.5,624.0
N20002543,16.5,226.02
N20001948,18.7,543.03
N20003457,14.4,429.0
N20001162,32.3,2084.0
N20002897,36.5,195.0
N20002457,32.4,399.04
N20003244,47.5,472.0
N20003675,16.9,323.03
N20000830,36.1,309.99
N20003081,30.3,479.99
N20000771,45.3,346.99
N20002484,30.6,705.01
N20000956,16.4,708.01
N20001165,36.2,384.01
N20001659,36.3,312.02
N20002274,17.1,420.02
N20002281,17.7,525.04
N20001638,27.3,521.98
N20003057,29.8,551.98
N20000220,19.8,375.02
N20001833,46.6,287.98
N20000008,32.2,511.99
N20003354,20.7,362.99
N20003714,15.2,516.0
N20003773,37.3,567.0
N20003421,48.0,564.97
N20002746,13.5,571.99
N20000553,16.8,547.02
N20003503,22.2,339.96
N20003601,19.7,255.0
N20001772,47.6,408.98
N20001170,33.3,382.98
N20000922,18.2,338.95
N20002006,36.4,439.0
N20000565,20.5,455.99
N20003632,23.9,508.02
N20001352,48.3,418.02
N20001813,47.0,313.0
N20002700,22.8,336.97
N20001431,47.0,222.99
N20002999,47.3,366.95
N20000879,20.7,242.99
N20000041,27.6,734.99
N20001450,34.4,458.99
N20002884,32.7,478.04
N20000657,20.6,499.95
N20001262,47.7,333.98
N20000135,18.4,465.0
N20002406,27.3,472.01
N20003543,16.0,328.01
N20003514,15.3,497.03
N20001422,38.2,254.94
N20000545,15.3,373.0
N20002737,22.9,431.97
N20003395,33.9,556.02
N20000549,15.2,529.99
N20002442,16.7,430.99
N20002145,26.2,473.04
N20003237,46.0,454.04
N20002430,21.0,318.96
N20002017,26.2,462.09
N20001966,46.1,492.98
N20001906,48.0,274.0
N20002940,27.0,469.04
N20001283,47.1,293.01
N20000606,30.7,343.0
N20001119,35.6,402.01
N20000429,47.0,284.99
N20002199,38.0,242.98
N20002935,15.8,261.04
N20001215,17.8,527.0
N20001891,37.5,448.98
N20003694,16.6,353.07
N20003134,47.6,272.98
N20000339,37.2,423.98
N20003528,14.5,421.98
N20001750,45.7,193.99
N20001226,29.6,368.95
N20000166,21.8,330.02
N20002078,41.4,362.04
N20000670,15.1,359.97
N20003625,16.4,416.02
N20001163,33.7,253.03
N20001257,49.0,403.98
N20003709,17.7,478.98
N20000646,34.1,428.04
N20002027,22.7,325.03
N20002198,43.9,311.02
N20002348,21.5,328.0
N20001623,23.7,381.97
N20003701,17.0,446.99
N20001373,28.8,486.03
N20003289,33.7,443.02
N20003287,13.3,439.99
N20001150,32.3,322.99
N20000350,47.3,443.03
N20003314,17.9,339.02
N20000103,15.9,311.96
N20001853,16.3,431.01
N20000351,45.9,345.02
N20002160,42.7,554.03
N20001675,48.2,478.97
N20002431,17.5,308.02
N20002395,38.7,294.0
N20003338,35.7,504.99
N20000593,21.1,463.03
N20003372,24.1,253.98
N20000808,44.0,400.99
N20001501,29.4,500.04
N20001273,47.8,246.99
N20001838,48.2,383.01
N20003396,39.6,527.03
N20003739,16.6,636.98
N20002680,14.5,338.99
N20000005,14.4,556.03
N20002411,23.1,493.97
N20002662,15.0,516.02
N20002968,17.9,313.98
N20002742,16.1,672.0
N20000746,46.1,474.01
N20000846,45.8,317.05
N20003365,26.3,446.97
N20001988,37.6,571.97
N20002649,22.5,339.01
N20002930,42.9,531.99
N20003433,14.4,405.01
N20002769,16.9,411.0
N20000866,19.8,325.02
N20002658,23.1,504.99
N20002266,19.3,403.99
N20002065,24.0,579.0
N20000124,16.1,384.99
N20003111,44.5,468.05
N20001617,13.3,398.01
N20002718,26.9,398.97
N20002822,16.9,463.99
N20003560,22.2,291.01
N20000477,46.4,431.98
N20001449,33.1,374.99
N20000239,28.8,400.06
N20000265,26.5,427.97
N20002364,29.5,349.98
N20003120,46.1,369.0
N20003034,40.6,299.02
N20003686,17.6,268.01
N20003550,21.4,500.98
N20001723,23.6,541.97
N20002625,16.7,275.99
N20000464,18.0,411.0
N20000954,16.2,278.01
N20002342,23.7,370.03
N20000143,20.8,520.0
N20002802,13.3,757.01
N20001489,24.5,566.95
N20000981,18.6,401.99
N20003390,39.7,288.02
N20000254,42.6,430.99
N20001217,25.1,466.98
N20001871,26.3,457.01
N20000474,17.9,596.0
N20003495,18.7,333.03
N20003554,17.5,953.0
N20000283,41.2,534.02
N20000516,45.9,395.02
N20000580,18.9,637.0
N20002174,37.3,490.01
N20002033,21.7,241.99
N20002886,29.8,406.99
N20000997,19.7,533.01
N20002135,36.2,285.98
N20003397,36.0,599.01
N20001147,24.3,332.01
N20001494,30.9,363.99
N20000653,24.8,520.01
N20003283,39.7,477.97
N20003615,17.0,551.95
N20001329,48.0,238.04
N20000822,44.4,206.02
N20002113,32.8,404.0
N20002648,14.1,554.03
N20002733,23.4,316.98
N20003611,18.0,364.02
N20002418,23.6,354.97
N20003361,22.6,376.01
N20001182,35.5,374.98
N20000888,21.7,430.99
N20000739,16.5,260.95
N20002280,17.1,363.97
N20001555,22.5,432.99
N20000048,29.9,487.0
N20002474,30.7,601.98
N20003133,48.4,680.01
N20003546,18.4,477.99
N20000899,22.9,352.98
N20002178,44.3,394.99
N20001809,47.1,411.95
N20002246,23.5,413.02
N20003197,47.3,619.0
N20000684,18.7,302.96
N20000906,20.8,193.0
N20002446,14.3,499.0
N20000463,14.8,368.99
N20002723,18.8,313.0
N20000520,15.2,529.03
N20003262,40.2,441.95
N20002410,20.9,341.99
N20001247,46.4,409.0
N20001648,16.3,249.99
N20000679,15.6,587.96
N20002384,20.0,382.01
N20000791,35.1,396.02
N20001681,47.7,372.99
N20003726,14.5,274.03
N20002413,21.7,244.0
N20003449,17.8,205.0
N20002696,25.0,350.0
N20001411,14.8,327.96
N20002236,41.5,488.96
N20002289,35.3,738.0
N20003777,46.4,360.98
N20001585,21.4,411.98
N20001610,20.8,446.05
N20003645,17.4,513.02
N20001234,24.3,355.06
N20001062,40.7,233.97
N20003010,47.0,421.01
N20000437,34.8,304.0
N20000677,13.6,268.99
N20002840,28.8,519.02
N20000688,19.7,530.0
N20001882,37.4,277.96
N20003461,14.3,297.0
N20000577,17.5,371.0
N20001141,36.7,277.03
N20002378,35.1,437.02
N20000378,48.3,336.97
N20002302,19.1,373.02
N20003330,28.8,467.0
N20000488,33.5,424.02
N20000961,16.5,342.02
N20001614,20.2,412.0
N20002584,20.8,532.01
N20003311,25.7,513.93
N20002470,30.7,536.0
N20002120,24.3,436.01
N20002633,19.1,413.01
N20003551,21.9,374.0
N20000759,38.2,306.99
N20002681,14.9,460.06
N20001539,31.8,607.06
N20002516,19.8,475.99
N20002914,26.8,468.03
N20000973,20.4,259.01
N20003717,17.6,331.99
N20001080,29.7,1429.0
N20000860,13.9,426.02
N20003728,15.4,563.02
N20000424,43.9,633.04
N20000861,17.3,352.04
N20001737,47.4,271.0
N20001662,39.2,357.96
N20002473,32.5,361.01
N20001548,26.1,652.96
N20001510,31.8,437.0
N20000111,14.1,472.0
N20001571,25.5,177.02
N20000965,17.6,404.97
N20003021,41.6,394.0
N20002399,27.1,578.98
N20000723,16.8,458.98
N20002896,35.6,293.04
N20000799,43.4,440.98
N20002095,45.9,446.03
N20001536,17.0,311.99
N20002514,15.6,477.0
N20001453,38.4,355.0
N20001134,36.8,517.04
N20001615,23.6,484.0
N20002938,15.5,491.0
N20002698,29.6,337.0
N20000645,29.5,521.0
N20001114,39.4,395.06
N20002567,13.7,429.99
N20001173,31.5,330.0
N20000661,29.0,417.01
N20003327,40.3,526.95
N20003409,46.5,377.01
N20003109,35.3,356.02
N20000617,26.0,253.01
N20000278,18.3,429.03
N20003548,20.2,535.01
N20002316,17.6,254.98
N20001139,31.7,620.06
N20000641,27.5,546.99
N20000139,15.6,400.0
N20003003,45.3,253.99
N20003293,27.8,638.99
N20002435,19.3,527.98
N20002392,35.3,545.02
N20001725,38.3,446.97
N20000844,14.5,403.98
N20000543,48.1,375.01
N20000802,46.2,420.99
N20002577,32.5,479.02
N20003204,47.5,630.02
N20002047,38.9,319.02
N20003458,14.1,289.99
N20002753,14.2,339.01
N20003083,32.6,342.02
N20002705,21.1,318.97
N20000939,26.9,279.97
N20001314,48.9,499.04
N20001577,24.9,247.01
N20001066,33.1,525.97
N20003439,13.8,292.06
N20002941,33.3,501.01
N20003299,41.8,447.99
N20003496,17.0,487.01
N20002563,15.4,569.0
N20001800,44.4,337.96
N20003475,15.4,478.03
N20000022,47.8,307.0
N20000848,37.5,328.05
N20002640,46.2,526.01
N20001513,32.8,418.98
N20001789,43.5,367.0
N20002182,41.3,442.02
N20002318,28.7,799.01
N20002482,36.6,464.97
N20001447,34.4,257.95
N20000584,17.8,508.0
N20000226,23.3,500.08
N20001797,40.7,312.0
N20000743,41.7,315.04
N20002819,15.9,446.98
N20001584,21.3,331.97
N20003608,16.9,208.97
N20000979,18.9,437.98
N20003020,45.2,472.98
N20000337,38.5,347.0
N20000801,17.2,409.01
N20000249,43.8,249.98
N20000767,42.6,439.05
N20003671,18.5,284.0
N20001900,41.6,399.0
N20001490,28.7,304.0
N20002826,16.0,481.0
N20003282,36.8,574.03
N20001145,34.9,211.99
N20002598,41.0,314.0
N20002388,16.0,383.98
N20001148,28.3,365.01
N20001161,34.4,401.96
N20000009,19.1,313.01
N20003039,33.7,571.0
N20002604,36.5,600.03
N20002532,16.8,387.0
N20001634,18.7,539.97
N20001854,31.1,422.96
N20002479,35.9,270.97
N20003498,18.1,295.01
N20001994,47.3,424.01
N20003510,18.3,158.04
N20000229,18.5,369.98
N20000718,15.6,304.99
N20001933,13.5,466.05
N20001013,15.5,444.0
N20001124,32.3,581.98
N20001020,17.0,484.03
N20002969,20.5,403.0
N20001687,19.4,420.0
N20003703,18.3,309.01
N20001736,48.4,461.03
N20000071,27.6,266.0
N20002117,16.3,376.02
N20000123,14.6,386.01
N20002821,16.2,486.99
N20000419,20.8,420.95
N20003469,16.4,626.06
N20002439,18.8,596.04
N20001098,20.0,325.96
N20002485,41.8,336.07
N20002749,14.7,287.97
N20003025,45.8,441.01
N20000750,45.3,436.01
N20001620,24.5,294.05
N20002319,19.7,552.98
N20003285,22.0,352.99
N20003494,15.9,418.02
N20003300,17.0,553.0
N20000164,23.8,445.01
N20001462,44.7,512.0
N20002288,45.8,630.99
N20000305,21.0,434.99
N20003704,14.5,444.96
N20001504,31.5,423.98
N20000277,46.2,308.0
N20001795,44.5,435.0
N20000651,37.1,570.02
N20001958,19.6,182.03
N20002591,25.4,316.0
N20000787,45.9,420.99
N20000068,26.2,369.02
N20003549,22.1,518.02
N20002216,41.8,524.96
N20001142,30.9,601.98
N20001296,24.5,346.97
N20000756,45.9,328.0
N20000978,22.1,328.98
N20000769,41.6,324.97
N20003575,22.3,300.99
N20000490,48.4,607.0
N20001569,20.3,295.0
N20003580,20.5,423.01
N20000360,30.1,312.06
N20003648,16.8,389.0
N20000587,17.0,570.02
N20003170,45.0,333.93
N20003342,47.6,508.93
N20002512,17.3,386.02
N20001545,41.5,374.01
N20001085,29.5,453.04
N20001253,48.3,581.98
N20001275,37.8,335.0
N20003568,15.6,521.02
N20002923,31.9,379.98
N20001793,42.7,261.99
N20003129,48.8,595.01
N20000623,24.1,364.98
N20003569,17.2,717.02
N20001081,36.1,318.05
N20000361,36.2,495.02
N20001496,39.3,207.02
N20002573,13.6,409.04
N20003256,41.9,402.99
N20002238,46.8,496.97
N20000881,19.2,404.96
N20003405,47.1,485.0
N20003305,19.4,267.04
N20001473,48.1,477.03
N20001944,40.2,416.04
N20000308,32.9,335.02
N20003669,17.6,497.98
N20002716,21.9,525.96
N20001303,45.9,398.04
N20001185,34.0,420.0
N20002833,17.1,321.97
N20001514,18.0,637.06
N20002322,15.3,519.98
N20003718,16.7,383.99
N20000251,44.9,540.01
N20000827,42.1,405.02
N20002396,24.8,305.01
N20000332,34.8,381.02
N20001889,44.9,374.01
N20002339,17.4,372.01
N20002582,15.1,521.01
N20001557,20.9,459.99
N20002537,14.4,295.02
N20002600,16.9,490.99
N20003683,15.5,270.01
N20000038,28.4,491.02
N20003715,15.9,241.99
N20000960,16.2,432.98
N20000304,35.8,402.96
N20000976,24.3,447.0
N20001202,39.3,315.97
N20001974,47.6,361.0
N20000416,24.7,521.96
N20000800,18.0,473.99
N20001858,39.0,344.02
N20002804,14.6,552.96
N20003389,27.7,332.01
N20001590,19.9,415.98
N20003668,16.8,367.97
N20003489,17.5,304.98
N20001674,17.9,506.02
N20003268,37.0,476.07
N20000563,22.3,568.0
N20002750,14.3,263.02
N20000619,36.1,297.03
N20001138,34.7,386.0
N20003555,20.3,410.0
N20003147,46.8,424.05
N20003629,18.6,420.01
N20000109,13.8,439.03
N20003414,42.9,570.03
N20002257,27.1,519.95
N20001972,47.4,317.98
N20000531,15.3,327.06
N20000562,15.3,357.99
N20001176,34.8,365.01
N20003452,14.2,401.02
N20001208,14.5,417.0
N20002652,15.6,495.98
N20002717,26.9,251.98
N20000080,22.6,508.99
N20003505,17.2,506.0
N20000426,48.8,378.0
N20000097,14.1,501.99
N20001033,16.5,440.0
N20001078,30.2,241.0
N20003210,38.1,386.97
N20001719,48.4,412.01
N20001799,47.5,519.97
N20003153,48.4,522.99
N20003742,14.5,284.94
N20002088,37.7,409.03
N20003371,20.6,563.97
N20002427,21.5,443.01
N20002634,20.0,370.0
N20003238,44.8,416.95
N20003424,39.0,393.04
N20002190,45.2,500.99
N20002900,39.2,293.99
N20001029,27.2,301.95
N20001456,47.3,438.04
N20001038,18.7,469.95
N20001740,47.4,410.99
N20001518,19.8,680.0
N20001151,32.3,519.97
N20001825,47.5,268.01
N20002456,34.3,543.02
N20003373,27.5,366.01
N20000987,15.6,408.99
N20000635,26.3,489.05
N20000445,38.3,389.02
N20000869,18.1,320.02
N20002412,25.5,361.98
N20002904,36.2,505.0
N20000792,44.5,345.0
N20001189,39.4,370.98
N20001611,20.3,466.99
N20000440,21.6,316.01
N20002407,17.0,199.99
N20003326,38.1,447.96
N20001919,35.1,530.03
N20002779,16.1,341.99
N20000868,18.8,292.01
N20000052,25.0,398.97
N20001227,17.4,242.03
N20002527,15.5,497.95
N20002499,27.4,544.0
N20001879,22.3,434.0
N20003600,17.9,333.07
N20001099,28.7,317.99
N20003586,25.8,562.99
N20001172,28.4,805.96
N20002467,28.7,534.97
N20001153,31.1,631.95
N20002534,17.1,440.0
N20002223,48.0,426.96
N20003631,22.2,314.01
N20002948,47.1,603.01
N20002830,19.6,421.0
N20001285,38.1,271.02
N20001485,23.1,389.01
N20001781,47.3,413.01
N20000179,18.4,483.98
N20000115,14.9,593.01
N20001562,22.2,297.96
N20000171,19.2,378.99
N20001806,47.7,580.97
N20001883,43.8,446.05
N20001197,47.8,367.0
N20001909,46.1,382.99
N20000658,21.6,386.97
N20003723,14.8,282.94
N20001506,26.3,377.97
N20002401,22.2,300.0
N20002221,38.9,435.03
N20001297,47.3,375.99
N20002843,36.0,529.0
N20003587,18.7,352.01
N20000977,18.9,369.03
N20003509,17.8,324.03
N20001430,44.6,241.03
N20003295,43.3,437.03
N20001537,21.5,477.02
N20002071,32.6,519.97
N20000629,21.3,391.0
N20000840,43.8,301.01
N20001191,39.3,340.03
N20002424,22.8,428.02
N20000311,36.3,384.01
N20001200,32.4,387.94
N20001923,41.6,530.05
N20000287,46.3,558.96
N20003357,35.9,401.02
N20001626,25.1,402.0
N20000256,43.8,417.05
N20001179,36.9,252.01
N20000895,21.0,207.05
N20001957,27.7,196.99
N20003260,48.3,408.96
N20002525,15.7,302.99
N20003576,22.6,381.98
N20001271,44.2,361.01
N20000397,13.9,623.0
N20000990,15.2,302.98
N20002743,14.3,722.99
N20000173,29.4,515.95
N20001526,18.3,409.0
N20002291,42.7,285.03
N20001418,31.2,369.97
N20000614,21.3,646.99
N20001015,17.1,526.01
N20001164,38.0,453.98
N20000559,14.2,373.03
N20003364,33.9,304.98
N20003639,16.6,386.02
N20001330,47.8,327.98
N20001196,35.8,327.0
N20001263,48.1,389.98
N20000953,16.3,481.95
N20001046,17.8,650.97
N20000211,24.1,482.05
N20002676,16.0,556.95
N20000483,48.0,464.96
N20001383,15.8,414.02
N20002070,32.2,334.99
N20003387,26.2,498.02
N20000829,18.6,278.98
N20000120,13.4,343.99
N20001840,46.8,368.98
N20002720,29.4,353.0
N20003027,27.8,348.01
N20000564,16.4,415.97
N20001408,14.0,242.0
N20002763,14.4,377.03
N20001676,36.9,417.02
N20002081,28.0,420.96
N20002814,16.4,556.0
N20003018,40.5,364.96
N20003261,37.2,518.99
N20003564,25.1,331.0
N20002461,28.7,609.99
N20001786,47.9,371.95
N20000404,19.5,518.99
N20001860,33.2,307.99
N20000794,44.8,431.97
N20000276,39.0,392.99
N20002214,47.5,350.04
N20000280,18.2,522.98
N20002910,33.8,431.05
N20000427,47.7,491.0
N20000444,34.8,289.96
N20001313,48.6,408.97
N20001005,18.4,437.97
N20000931,22.2,398.04
N20002031,32.1,568.99
N20002803,16.1,390.0
N20002913,19.4,359.0
N20002143,15.3,445.01
N20002134,42.3,359.98
N20002170,42.8,295.02
N20002593,38.0,522.98
N20001852,24.1,441.98
N20000838,41.7,383.98
N20001446,23.6,403.0
N20002762,20.1,548.0
N20003124,48.8,551.0
N20001120,38.8,577.99
N20001956,45.6,480.01
N20003012,48.0,378.01
N20003349,25.8,603.05
N20002764,15.8,438.03
N20001144,33.1,477.97
N20002352,19.9,455.04
N20000632,28.0,330.95
N20002383,26.9,400.02
N20000538,46.6,475.99
N20000573,20.6,566.98
N20000631,26.6,297.98
N20000092,15.1,619.0
N20002859,48.6,582.02
N20000191,15.3,316.01
N20001731,33.4,522.99
N20003265,43.2,364.98
N20003464,15.5,270.99
N20000033,44.9,415.03
N20003480,16.2,405.02
N20001090,26.1,568.97
N20002459,29.7,410.98
N20001267,45.9,394.01
N20003741,14.2,344.01
N20002267,20.3,262.0
N20003556,19.0,365.99
N20002635,16.6,310.03
N20000190,15.8,273.01
N20002988,37.4,389.0
N20000698,22.4,188.01
N20001917,29.5,427.99
N20001385,18.2,307.02
N20003303,30.9,297.02
N20001180,36.5,235.99
N20000993,16.8,450.01
N20003229,44.6,439.02
N20002324,15.6,554.94
N20001949,36.5,667.02
N20002381,27.9,360.01
N20000212,15.6,383.01
N20000571,20.1,492.97
N20000625,33.1,364.01
N20003697,16.5,460.97
N20000633,20.6,336.99
N20000496,46.2,545.0
N20001912,44.0,446.99
N20002770,16.2,520.03
N20001702,21.2,582.98
N20003680,16.5,444.01
N20000243,40.4,287.02
N20002878,48.3,343.98
N20000638,21.4,419.01
N20000160,22.6,242.01
N20001042,34.1,392.97
N20001658,19.2,484.98
N20000045,31.2,385.99
N20000709,39.4,542.01
N20003756,32.0,435.99
N20000380,40.4,277.02
N20003771,31.2,605.02
N20002133,39.8,400.02
N20001805,46.9,607.89
N20001102,25.6,251.01
N20001824,48.7,511.0
N20002097,30.2,398.99
N20000918,19.7,273.02
N20000764,39.8,310.01
N20002261,17.1,353.02
N20003336,46.9,591.01
N20000411,28.1,428.02
N20002196,34.3,582.01
N20003774,34.1,349.98
N20001796,48.3,432.99
N20000728,16.6,352.95
N20000294,46.4,584.0
N20001230,37.8,495.99
N20003419,47.1,480.96
N20000726,31.5,444.0
N20000408,20.1,271.97
N20002931,21.5,422.97
N20003467,15.0,713.04
N20003157,48.1,466.97
N20001260,47.7,364.96
N20003598,17.2,281.02
N20003050,32.4,678.01
N20003540,19.0,317.02
N20002699,21.9,463.0
N20002881,25.3,460.98
N20002768,14.8,672.98
N20000259,17.2,518.96
N20000740,45.8,362.98
N20000260,18.7,523.96
N20000377,25.3,388.0
N20001239,47.8,367.99
N20003063,47.4,766.99
N20001924,47.6,446.01
N20000112,15.2,261.95
N20002415,21.3,359.01
N20003652,18.4,450.01
N20002953,36.4,471.01
N20001971,39.9,548.99
N20002001,37.9,418.99
N20001505,28.4,454.98
N20000176,17.2,337.01
N20003272,39.4,463.03
N20003363,17.1,354.02
N20003483,15.5,347.99
N20003215,36.1,526.03
N20003062,38.6,753.01
N20000637,22.2,468.02
N20001209,28.8,330.02
N20000114,14.1,368.0
N20000643,27.0,398.99
N20000274,16.2,428.97
N20001001,18.3,388.99
N20001060,19.2,337.04
N20001339,48.7,595.01
N20001266,47.9,402.99
N20000170,16.3,365.0
N20000209,45.4,362.01
N20001127,40.6,482.02
N20001203,20.9,360.04
N20002201,21.1,263.98
N20002098,38.7,546.03
N20000554,16.6,348.07
N20002086,42.4,596.02
N20000373,47.6,427.04
N20000826,28.6,269.02
N20002114,37.8,300.01
N20003315,45.6,502.98
N20000636,23.1,444.02
N20000152,23.6,332.98
N20002817,16.0,314.02
N20003332,45.0,387.97
N20002370,17.0,329.0
N20002581,22.8,512.02
N20003092,29.0,513.03
N20001960,43.5,320.98
N20003541,15.3,302.06
N20002650,15.8,323.99
N20001052,20.4,364.01
N20000462,15.5,405.02
N20000558,16.0,514.03
N20001927,39.8,627.04
N20002715,25.0,441.98
N20001521,20.3,446.01
N20000432,47.6,421.97
N20002580,18.9,421.99
N20002912,31.6,550.98
N20002993,46.1,558.0
N20002023,44.5,454.0
N20002343,19.3,294.0
N20002256,20.6,368.98
N20001578,23.0,232.97
N20001629,23.2,276.0
N20003589,19.8,421.98
N20001171,31.5,264.98
N20002009,37.2,328.97
N20002869,46.8,466.98
N20001528,15.3,519.01
N20002242,37.8,525.04
N20002562,32.0,450.0
N20001540,43.8,366.99
N20002192,36.7,477.01
N20003403,41.9,313.01
N20001399,13.9,444.97
N20002454,20.5,431.02
N20003056,27.6,612.98
N20003501,15.6,413.95
N20000703,15.8,477.01
N20001017,19.6,278.01
N20002056,41.9,370.02
N20001061,38.0,475.97
N20002278,14.7,323.01
N20001642,12.8,383.02
N20001892,47.3,353.05
N20002472,29.7,383.0
N20001546,47.1,239.0
N20000510,17.7,471.01
N20000627,27.9,400.02
N20000712,42.5,298.01
N20000816,39.9,496.01
N20002561,38.3,330.99
N20002971,35.1,586.0
N20000963,20.6,259.03
N20002245,31.7,549.99
N20001699,17.0,427.01
N20001291,48.2,385.98
N20002793,15.9,277.0
N20002643,31.5,388.05
N20003656,17.0,324.98
N20000748,47.4,467.99
N20000105,17.2,321.99
N20002509,17.2,423.97
N20000649,25.6,589.98
N20000810,43.2,338.97
N20000854,30.0,302.99
N20000875,22.8,350.03
N20000988,18.0,608.04
N20000272,37.9,444.99
N20002824,19.8,212.0
N20003074,30.3,535.0
N20000263,20.0,457.01
N20001530,24.4,599.03
N20002937,26.2,515.97
N20000524,41.7,445.97
N20000812,46.5,252.01
N20001128,23.9,214.97
N20001907,28.7,328.96
N20002463,32.8,353.99
N20001280,40.6,263.02
N20002587,34.6,251.99
N20001790,39.6,661.98
