DZ21,con,catholic_bg_pct,unity,lo90,hi90
N20000043,SOUTH ANTRIM,34.6,36.7,33.5,40.0
N20000044,SOUTH ANTRIM,39.5,39.5,36.3,42.7
N20000045,SOUTH ANTRIM,48.2,44.4,41.3,47.6
N20000046,SOUTH ANTRIM,19.7,28.3,25.0,31.6
N20000047,SOUTH ANTRIM,29.7,33.9,30.8,37.2
N20000048,SOUTH ANTRIM,44.4,42.2,39.2,45.4
N20000049,SOUTH ANTRIM,59.7,50.9,47.7,54.4
N20000051,SOUTH ANTRIM,71.1,57.4,54.0,61.0
N20000052,SOUTH ANTRIM,32.2,35.3,32.2,38.6
N20000053,SOUTH ANTRIM,43.3,41.6,38.5,44.8
N20000054,SOUTH ANTRIM,13.9,25.0,21.5,28.4
N20000055,SOUTH ANTRIM,12.9,24.4,20.9,27.9
N20000056,SOUTH ANTRIM,29.6,33.9,30.8,37.1
N20000057,SOUTH ANTRIM,47.8,44.2,41.1,47.4
N20000058,SOUTH ANTRIM,18.8,27.8,24.4,31.2
N20000059,SOUTH ANTRIM,53.9,47.6,44.5,50.9
N20000060,SOUTH ANTRIM,41.3,40.5,37.4,43.7
N20000061,SOUTH ANTRIM,26.9,32.3,29.2,35.6
N20000062,SOUTH ANTRIM,18.6,27.6,24.3,31.1
N20000063,SOUTH ANTRIM,37.7,38.5,35.3,41.7
N20000064,SOUTH ANTRIM,32.8,35.7,32.5,38.9
N20000065,SOUTH ANTRIM,41.3,40.5,37.4,43.7
N20000066,SOUTH ANTRIM,53.4,47.3,44.3,50.7
N20000067,SOUTH ANTRIM,45.8,43.0,39.9,46.2
N20000068,SOUTH ANTRIM,35.8,37.4,34.2,40.7
N20000069,SOUTH ANTRIM,33.3,36.0,32.8,39.2
N20000070,SOUTH ANTRIM,31.4,34.9,31.7,38.1
N20000071,SOUTH ANTRIM,37.8,38.5,35.3,41.7
N20000072,SOUTH ANTRIM,26.1,31.9,28.8,35.1
N20000073,SOUTH ANTRIM,16.5,26.5,23.0,29.9
N20000074,SOUTH ANTRIM,13.9,25.0,21.5,28.4
N20000075,SOUTH ANTRIM,33.4,36.0,32.8,39.2
N20000076,SOUTH ANTRIM,44.1,42.1,39.0,45.3
N20000077,SOUTH ANTRIM,25.6,31.6,28.4,34.9
N20000078,SOUTH ANTRIM,17.4,27.0,23.6,30.5
N20000079,SOUTH ANTRIM,6.4,20.7,17.0,24.3
N20000080,SOUTH ANTRIM,24.7,31.1,27.9,34.3
N20000081,SOUTH ANTRIM,27.1,32.5,29.4,35.7
N20000082,SOUTH ANTRIM,9.0,22.2,18.6,25.7
N20000083,SOUTH ANTRIM,32.0,35.2,32.1,38.5
N20000084,SOUTH ANTRIM,39.2,39.3,36.2,42.5
N20000085,SOUTH ANTRIM,26.0,31.8,28.7,35.1
N20000086,SOUTH ANTRIM,3.5,19.1,15.3,22.7
N20000087,SOUTH ANTRIM,4.6,19.7,15.9,23.3
N20000088,SOUTH ANTRIM,3.2,18.9,15.1,22.6
N20000089,SOUTH ANTRIM,7.5,21.4,17.7,24.9
N20000090,SOUTH ANTRIM,6.2,20.6,16.9,24.2
N20000091,SOUTH ANTRIM,2.3,18.4,14.6,22.1
N20000092,SOUTH ANTRIM,6.9,21.0,17.3,24.6
N20000093,SOUTH ANTRIM,3.0,18.8,15.0,22.5
N20000094,SOUTH ANTRIM,5.7,20.3,16.6,24.0
N20000096,SOUTH ANTRIM,3.7,19.2,15.4,22.8
N20000097,SOUTH ANTRIM,4.8,19.8,16.0,23.5
N20000100,SOUTH ANTRIM,4.2,19.5,15.7,23.1
N20000101,SOUTH ANTRIM,3.0,18.8,15.0,22.5
N20000102,SOUTH ANTRIM,7.1,21.1,17.4,24.7
N20000103,SOUTH ANTRIM,7.2,21.2,17.5,24.7
N20000104,SOUTH ANTRIM,4.5,19.7,15.9,23.3
N20000105,SOUTH ANTRIM,7.5,21.4,17.7,24.9
N20000106,SOUTH ANTRIM,7.0,21.1,17.4,24.6
N20000107,SOUTH ANTRIM,12.0,23.9,20.4,27.4
N20000108,SOUTH ANTRIM,7.0,21.1,17.4,24.6
N20000109,SOUTH ANTRIM,4.0,19.4,15.6,23.0
N20000110,SOUTH ANTRIM,3.6,19.1,15.3,22.8
N20000111,SOUTH ANTRIM,3.6,19.1,15.3,22.8
N20000112,SOUTH ANTRIM,6.9,21.0,17.3,24.6
N20000113,SOUTH ANTRIM,5.5,20.2,16.5,23.8
N20000114,SOUTH ANTRIM,3.8,19.3,15.5,22.9
N20000115,SOUTH ANTRIM,5.7,20.3,16.6,24.0
N20000116,SOUTH ANTRIM,7.5,21.4,17.7,24.9
N20000117,SOUTH ANTRIM,3.4,19.0,15.2,22.7
N20000118,SOUTH ANTRIM,3.3,19.0,15.2,22.6
N20000119,SOUTH ANTRIM,2.6,18.6,14.8,22.3
N20000120,SOUTH ANTRIM,2.6,18.6,14.8,22.3
N20000121,SOUTH ANTRIM,6.9,21.0,17.3,24.6
N20000122,SOUTH ANTRIM,4.3,19.5,15.7,23.2
N20000123,SOUTH ANTRIM,6.1,20.6,16.8,24.2
N20000124,SOUTH ANTRIM,10.1,22.8,19.2,26.3
N20000125,SOUTH ANTRIM,6.6,20.8,17.1,24.4
N20000126,EAST ANTRIM,16.6,26.5,23.1,30.0
N20000127,SOUTH ANTRIM,4.3,19.5,15.7,23.2
N20000128,EAST ANTRIM,14.8,25.5,22.1,28.9
N20000129,SOUTH ANTRIM,6.2,20.6,16.9,24.2
N20000130,SOUTH ANTRIM,7.8,21.5,17.8,25.0
N20000131,SOUTH ANTRIM,7.2,21.2,17.5,24.7
N20000132,EAST ANTRIM,23.4,30.4,27.2,33.6
N20000133,EAST ANTRIM,13.9,25.0,21.5,28.4
N20000134,EAST ANTRIM,23.9,30.6,27.5,33.9
N20000135,SOUTH ANTRIM,16.3,26.3,22.9,29.8
N20000136,SOUTH ANTRIM,9.1,22.3,18.6,25.8
N20000137,EAST ANTRIM,6.5,20.8,17.1,24.4
N20000138,EAST ANTRIM,4.8,19.8,16.0,23.5
N20000139,SOUTH ANTRIM,8.0,21.6,18.0,25.1
N20000140,EAST ANTRIM,31.0,34.7,31.5,37.9
N20000141,SOUTH ANTRIM,18.4,27.5,24.2,31.0
N20000143,EAST ANTRIM,21.3,29.2,25.9,32.5
N20000144,SOUTH ANTRIM,14.0,25.0,21.6,28.5
N20000145,SOUTH ANTRIM,6.2,20.6,16.9,24.2
N20000146,EAST ANTRIM,5.4,20.2,16.4,23.8
N20000149,EAST ANTRIM,20.6,28.8,25.5,32.1
N20000150,EAST ANTRIM,2.4,18.5,14.7,22.2
N20000151,SOUTH ANTRIM,12.2,24.0,20.5,27.5
N20000152,EAST ANTRIM,26.1,31.9,28.8,35.1
N20000153,EAST ANTRIM,2.4,18.5,14.7,22.2
N20000154,SOUTH ANTRIM,4.0,19.4,15.6,23.0
N20000156,SOUTH ANTRIM,14.3,25.2,21.8,28.7
N20000157,SOUTH ANTRIM,17.0,26.7,23.3,30.2
N20000158,EAST ANTRIM,18.8,27.8,24.4,31.2
N20000159,EAST ANTRIM,2.9,18.8,14.9,22.4
N20000160,EAST ANTRIM,26.9,32.3,29.2,35.6
N20000161,EAST ANTRIM,26.0,31.8,28.7,35.1
N20000162,EAST ANTRIM,19.6,28.2,24.9,31.6
N20000163,EAST ANTRIM,19.1,27.9,24.6,31.3
N20000164,BELFAST NORTH,29.3,33.7,30.6,36.9
N20000165,BELFAST NORTH,8.8,22.1,18.4,25.6
N20000166,EAST ANTRIM,23.6,30.5,27.3,33.7
N20000167,EAST ANTRIM,23.6,30.5,27.3,33.7
N20000168,BELFAST NORTH,6.2,20.6,16.9,24.2
N20000169,EAST ANTRIM,58.3,50.1,47.0,53.6
N20000170,BELFAST NORTH,7.9,21.6,17.9,25.1
N20000171,EAST ANTRIM,14.6,25.4,22.0,28.8
N20000172,EAST ANTRIM,41.2,40.4,37.3,43.6
N20000173,BELFAST NORTH,44.1,42.1,39.0,45.3
N20000174,BELFAST NORTH,2.1,18.3,14.5,22.0
N20000175,BELFAST NORTH,22.7,30.0,26.7,33.2
N20000176,BELFAST NORTH,9.5,22.5,18.9,26.0
N20000177,EAST ANTRIM,51.0,46.0,43.0,49.3
N20000178,BELFAST NORTH,53.5,47.4,44.3,50.7
N20000179,BELFAST NORTH,14.0,25.0,21.6,28.5
N20000180,BELFAST NORTH,2.3,18.4,14.6,22.1
N20000181,BELFAST NORTH,6.4,20.7,17.0,24.3
N20000182,BELFAST NORTH,3.9,19.3,15.5,22.9
N20000183,BELFAST NORTH,5.7,20.3,16.6,24.0
N20000184,BELFAST NORTH,3.7,19.2,15.4,22.8
N20000185,BELFAST NORTH,10.2,22.9,19.3,26.4
N20000186,BELFAST NORTH,30.0,34.1,31.0,37.3
N20000187,BELFAST NORTH,3.0,18.8,15.0,22.5
N20000188,BELFAST NORTH,21.6,29.3,26.1,32.6
N20000189,BELFAST NORTH,2.0,18.2,14.4,22.0
N20000190,BELFAST NORTH,6.9,21.0,17.3,24.6
N20000191,BELFAST NORTH,6.6,20.8,17.1,24.4
N20000193,BELFAST NORTH,4.3,19.5,15.7,23.2
N20000194,BELFAST NORTH,3.9,19.3,15.5,22.9
N20000196,BELFAST NORTH,6.1,20.6,16.8,24.2
N20000197,BELFAST NORTH,7.9,21.6,17.9,25.1
N20000198,BELFAST NORTH,5.8,20.4,16.6,24.0
N20000200,BELFAST NORTH,6.8,21.0,17.2,24.5
N20000201,BELFAST NORTH,40.3,39.9,36.8,43.1
N20000203,BELFAST NORTH,35.4,37.2,34.0,40.4
N20000204,BELFAST NORTH,33.2,35.9,32.7,39.1
N20000205,BELFAST NORTH,21.1,29.1,25.8,32.4
N20000206,BELFAST NORTH,22.7,30.0,26.7,33.2
N20000207,BELFAST NORTH,87.6,66.7,63.0,70.4
N20000208,BELFAST NORTH,79.0,61.8,58.5,65.4
N20000209,BELFAST NORTH,86.1,65.9,62.3,69.5
N20000210,BELFAST NORTH,85.5,65.5,62.0,69.2
N20000211,SOUTH ANTRIM,29.8,34.0,30.9,37.2
N20000212,SOUTH ANTRIM,5.8,20.4,16.6,24.0
N20000214,SOUTH ANTRIM,10.6,23.1,19.5,26.6
N20000215,SOUTH ANTRIM,26.8,32.3,29.2,35.5
N20000216,SOUTH ANTRIM,13.5,24.8,21.3,28.2
N20000217,SOUTH ANTRIM,17.6,27.1,23.7,30.6
N20000218,SOUTH ANTRIM,17.0,26.7,23.3,30.2
N20000219,SOUTH ANTRIM,45.6,42.9,39.8,46.1
N20000220,SOUTH ANTRIM,19.7,28.3,25.0,31.6
N20000221,SOUTH ANTRIM,16.9,26.7,23.3,30.2
N20000222,BELFAST NORTH,20.2,28.5,25.3,31.9
N20000223,SOUTH ANTRIM,27.4,32.6,29.5,35.9
N20000224,SOUTH ANTRIM,36.8,37.9,34.8,41.2
N20000225,BELFAST NORTH,12.2,24.0,20.5,27.5
N20000226,SOUTH ANTRIM,27.4,32.6,29.5,35.9
N20000227,BELFAST NORTH,32.9,35.7,32.6,39.0
N20000228,BELFAST NORTH,16.5,26.5,23.0,29.9
N20000229,BELFAST NORTH,12.7,24.3,20.8,27.8
N20000230,BELFAST NORTH,31.2,34.8,31.6,38.0
N20000231,BELFAST NORTH,44.6,42.4,39.3,45.5
N20000232,BELFAST NORTH,51.2,46.1,43.1,49.4
N20000233,BELFAST NORTH,53.9,47.6,44.5,50.9
N20000234,BELFAST NORTH,55.6,48.6,45.5,51.9
N20000235,BELFAST NORTH,44.6,42.4,39.3,45.5
N20000236,BELFAST NORTH,37.0,38.1,34.9,41.3
N20000237,BELFAST NORTH,31.1,34.7,31.6,37.9
N20000238,BELFAST NORTH,67.7,55.4,52.2,59.0
N20000239,BELFAST NORTH,42.5,41.2,38.1,44.4
N20000240,BELFAST NORTH,57.1,49.4,46.3,52.8
N20000241,BELFAST NORTH,28.9,33.5,30.4,36.7
N20000242,BELFAST NORTH,23.8,30.6,27.4,33.8
N20000243,BELFAST NORTH,72.5,58.2,54.8,61.8
N20000244,BELFAST NORTH,76.4,60.4,57.0,64.0
N20000245,BELFAST NORTH,88.9,67.4,63.7,71.1
N20000246,BELFAST NORTH,77.4,60.9,57.6,64.6
N20000247,BELFAST NORTH,67.9,55.6,52.3,59.2
N20000249,BELFAST NORTH,82.8,64.0,60.5,67.6
N20000250,BELFAST NORTH,85.0,65.2,61.7,68.9
N20000251,SOUTH ANTRIM,85.0,65.2,61.7,68.9
N20000252,BELFAST NORTH,82.3,63.7,60.2,67.3
N20000254,BELFAST NORTH,80.0,62.4,59.0,66.0
N20000255,BELFAST NORTH,83.6,64.4,61.0,68.1
N20000256,BELFAST NORTH,81.9,63.5,60.0,67.1
N20000257,SOUTH ANTRIM,16.7,26.6,23.2,30.1
N20000258,SOUTH ANTRIM,13.6,24.8,21.3,28.3
N20000259,SOUTH ANTRIM,12.2,24.0,20.5,27.5
N20000260,SOUTH ANTRIM,16.8,26.6,23.2,30.1
N20000261,SOUTH ANTRIM,9.0,22.2,18.6,25.7
N20000262,SOUTH ANTRIM,14.2,25.1,21.7,28.6
N20000263,SOUTH ANTRIM,18.0,27.3,23.9,30.8
N20000264,SOUTH ANTRIM,28.3,33.1,30.0,36.4
N20000265,SOUTH ANTRIM,35.6,37.3,34.1,40.6
N20000266,SOUTH ANTRIM,17.4,27.0,23.6,30.5
N20000267,SOUTH ANTRIM,61.0,51.6,48.5,55.1
N20000268,SOUTH ANTRIM,29.7,33.9,30.8,37.2
N20000270,SOUTH ANTRIM,68.4,55.8,52.6,59.4
N20000271,SOUTH ANTRIM,57.3,49.6,46.4,53.0
N20000272,SOUTH ANTRIM,65.9,54.4,51.2,58.0
N20000273,SOUTH ANTRIM,79.2,61.9,58.6,65.6
N20000274,SOUTH ANTRIM,11.0,23.3,19.8,26.8
N20000275,SOUTH ANTRIM,61.7,52.0,48.9,55.5
N20000276,SOUTH ANTRIM,68.3,55.8,52.5,59.4
N20000277,SOUTH ANTRIM,88.6,67.3,63.5,71.0
N20000278,SOUTH ANTRIM,17.0,26.7,23.3,30.2
N20000279,SOUTH ANTRIM,24.0,30.7,27.5,33.9
N20000280,SOUTH ANTRIM,15.4,25.8,22.4,29.3
N20000282,SOUTH ANTRIM,54.5,48.0,44.9,51.3
N20000283,SOUTH ANTRIM,75.4,59.8,56.4,63.4
N20000284,SOUTH ANTRIM,79.8,62.3,58.9,65.9
N20000285,SOUTH ANTRIM,34.5,36.6,33.5,39.9
N20000286,SOUTH ANTRIM,86.1,65.9,62.3,69.5
N20000287,SOUTH ANTRIM,89.1,67.6,63.8,71.3
N20000288,SOUTH ANTRIM,63.4,53.0,49.8,56.5
N20000289,SOUTH ANTRIM,74.4,59.2,55.9,62.8
N20000290,SOUTH ANTRIM,70.9,57.3,53.9,60.9
N20000291,SOUTH ANTRIM,67.9,55.6,52.3,59.2
N20000292,SOUTH ANTRIM,87.0,66.4,62.7,70.0
N20000293,SOUTH ANTRIM,59.8,51.0,47.8,54.4
N20000294,SOUTH ANTRIM,88.9,67.4,63.7,71.1
N20000295,NEWRY AND ARMAGH,62.5,52.5,49.3,56.0
N20000296,NEWRY AND ARMAGH,54.6,48.0,44.9,51.4
N20000297,NEWRY AND ARMAGH,87.6,66.7,63.0,70.4
N20000298,NEWRY AND ARMAGH,90.3,68.2,64.5,72.0
N20000299,NEWRY AND ARMAGH,68.5,55.9,52.6,59.5
N20000300,NEWRY AND ARMAGH,84.9,65.2,61.6,68.8
N20000301,NEWRY AND ARMAGH,76.3,60.3,57.0,63.9
N20000303,NEWRY AND ARMAGH,92.3,69.4,65.6,73.1
N20000304,NEWRY AND ARMAGH,60.7,51.5,48.3,54.9
N20000305,NEWRY AND ARMAGH,24.3,30.9,27.7,34.1
N20000306,NEWRY AND ARMAGH,51.9,46.5,43.4,49.8
N20000307,NEWRY AND ARMAGH,50.3,45.6,42.5,48.8
N20000308,NEWRY AND ARMAGH,50.3,45.6,42.5,48.8
N20000310,NEWRY AND ARMAGH,59.5,50.8,47.6,54.2
N20000311,NEWRY AND ARMAGH,62.4,52.4,49.3,56.0
N20000312,NEWRY AND ARMAGH,78.5,61.6,58.2,65.2
N20000313,NEWRY AND ARMAGH,71.1,57.4,54.0,61.0
N20000314,NEWRY AND ARMAGH,25.5,31.5,28.4,34.8
N20000315,NEWRY AND ARMAGH,43.9,42.0,38.9,45.2
N20000316,NEWRY AND ARMAGH,82.9,64.0,60.6,67.6
N20000317,NEWRY AND ARMAGH,86.7,66.2,62.6,69.9
N20000318,NEWRY AND ARMAGH,87.7,66.8,63.1,70.4
N20000319,NEWRY AND ARMAGH,71.1,57.4,54.0,61.0
N20000320,NEWRY AND ARMAGH,27.6,32.7,29.7,36.0
N20000321,NEWRY AND ARMAGH,92.7,69.6,65.8,73.3
N20000322,NEWRY AND ARMAGH,91.4,68.9,65.1,72.6
N20000323,NEWRY AND ARMAGH,75.7,60.0,56.6,63.6
N20000324,NEWRY AND ARMAGH,48.1,44.3,41.3,47.5
N20000325,NEWRY AND ARMAGH,47.9,44.2,41.2,47.4
N20000326,NEWRY AND ARMAGH,9.4,22.4,18.8,25.9
N20000328,NEWRY AND ARMAGH,52.2,46.7,43.6,50.0
N20000329,NEWRY AND ARMAGH,88.5,67.2,63.5,70.9
N20000330,NEWRY AND ARMAGH,84.2,64.8,61.3,68.4
N20000331,NEWRY AND ARMAGH,84.7,65.1,61.5,68.7
N20000332,NEWRY AND ARMAGH,58.6,50.3,47.1,53.7
N20000334,NEWRY AND ARMAGH,53.5,47.4,44.3,50.7
N20000335,NEWRY AND ARMAGH,83.7,64.5,61.0,68.1
N20000336,NEWRY AND ARMAGH,65.8,54.4,51.1,57.9
N20000337,NEWRY AND ARMAGH,67.4,55.3,52.0,58.9
N20000338,NEWRY AND ARMAGH,25.7,31.7,28.5,34.9
N20000339,NEWRY AND ARMAGH,65.2,54.0,50.8,57.6
N20000340,NEWRY AND ARMAGH,32.4,35.5,32.3,38.7
N20000341,NEWRY AND ARMAGH,71.7,57.7,54.4,61.3
N20000342,NEWRY AND ARMAGH,87.8,66.8,63.1,70.5
N20000343,NEWRY AND ARMAGH,54.3,47.9,44.8,51.2
N20000344,NEWRY AND ARMAGH,55.7,48.6,45.5,52.0
N20000346,NEWRY AND ARMAGH,65.5,54.2,51.0,57.7
N20000348,NEWRY AND ARMAGH,89.1,67.6,63.8,71.3
N20000350,NEWRY AND ARMAGH,91.4,68.9,65.1,72.6
N20000351,NEWRY AND ARMAGH,87.0,66.4,62.7,70.0
N20000352,NEWRY AND ARMAGH,83.9,64.6,61.1,68.2
N20000353,NEWRY AND ARMAGH,84.9,65.2,61.6,68.8
N20000354,NEWRY AND ARMAGH,78.6,61.6,58.3,65.2
N20000355,NEWRY AND ARMAGH,94.3,70.5,66.6,74.3
N20000356,UPPER BANN,53.2,47.2,44.1,50.5
N20000357,FERMANAGH AND SOUTH TYRONE,6.5,20.8,17.1,24.4
N20000358,UPPER BANN,36.9,38.0,34.8,41.2
N20000360,UPPER BANN,47.9,44.2,41.2,47.4
N20000361,FERMANAGH AND SOUTH TYRONE,63.2,52.9,49.7,56.4
N20000362,FERMANAGH AND SOUTH TYRONE,20.3,28.6,25.3,32.0
N20000364,UPPER BANN,33.6,36.1,33.0,39.4
N20000366,UPPER BANN,23.9,30.6,27.5,33.9
N20000367,NEWRY AND ARMAGH,40.9,40.3,37.1,43.5
N20000368,UPPER BANN,15.6,25.9,22.5,29.4
N20000371,UPPER BANN,90.1,68.1,64.4,71.8
N20000372,UPPER BANN,89.6,67.8,64.1,71.5
N20000373,UPPER BANN,92.7,69.6,65.8,73.3
N20000375,UPPER BANN,85.7,65.6,62.1,69.3
N20000377,UPPER BANN,30.5,34.4,31.2,37.6
N20000378,UPPER BANN,94.0,70.3,66.5,74.1
N20000379,UPPER BANN,79.6,62.2,58.8,65.8
N20000380,UPPER BANN,72.0,57.9,54.5,61.5
N20000381,UPPER BANN,84.2,64.8,61.3,68.4
N20000382,UPPER BANN,75.1,59.6,56.3,63.2
N20000383,UPPER BANN,29.0,33.5,30.4,36.8
N20000384,UPPER BANN,11.1,23.4,19.8,26.9
N20000385,UPPER BANN,12.9,24.4,20.9,27.9
N20000386,UPPER BANN,78.3,61.4,58.1,65.1
N20000387,UPPER BANN,11.8,23.8,20.2,27.3
N20000388,UPPER BANN,11.3,23.5,19.9,27.0
N20000389,UPPER BANN,17.1,26.8,23.4,30.3
N20000390,UPPER BANN,17.8,27.2,23.8,30.7
N20000392,UPPER BANN,9.3,22.4,18.8,25.9
N20000393,UPPER BANN,25.8,31.7,28.6,35.0
N20000395,UPPER BANN,42.4,41.1,38.0,44.3
N20000396,UPPER BANN,10.6,23.1,19.5,26.6
N20000397,UPPER BANN,3.9,19.3,15.5,22.9
N20000398,UPPER BANN,31.7,35.1,31.9,38.3
N20000400,UPPER BANN,42.5,41.2,38.1,44.4
N20000401,NEWRY AND ARMAGH,69.2,56.3,53.0,59.9
N20000402,UPPER BANN,16.8,26.6,23.2,30.1
N20000403,UPPER BANN,40.7,40.2,37.0,43.3
N20000404,UPPER BANN,17.7,27.1,23.8,30.6
N20000405,UPPER BANN,29.0,33.5,30.4,36.8
N20000407,UPPER BANN,14.5,25.3,21.9,28.8
N20000408,NEWRY AND ARMAGH,20.5,28.7,25.4,32.1
N20000409,UPPER BANN,5.7,20.3,16.6,24.0
N20000410,UPPER BANN,16.4,26.4,23.0,29.9
N20000411,UPPER BANN,37.1,38.1,34.9,41.3
N20000412,UPPER BANN,20.0,28.4,25.1,31.8
N20000413,UPPER BANN,23.6,30.5,27.3,33.7
N20000414,UPPER BANN,19.0,27.9,24.5,31.3
N20000415,UPPER BANN,19.2,28.0,24.7,31.4
N20000416,NEWRY AND ARMAGH,33.3,36.0,32.8,39.2
N20000417,UPPER BANN,8.5,21.9,18.3,25.4
N20000418,NEWRY AND ARMAGH,38.1,38.7,35.5,41.9
N20000419,UPPER BANN,23.4,30.4,27.2,33.6
N20000420,UPPER BANN,18.0,27.3,23.9,30.8
N20000422,UPPER BANN,77.6,61.0,57.7,64.7
N20000423,UPPER BANN,93.0,69.8,66.0,73.5
N20000424,UPPER BANN,82.4,63.8,60.3,67.4
N20000425,UPPER BANN,78.7,61.7,58.3,65.3
N20000426,UPPER BANN,95.8,71.3,67.4,75.2
N20000427,UPPER BANN,92.9,69.7,65.9,73.5
N20000428,UPPER BANN,91.7,69.0,65.2,72.8
N20000429,UPPER BANN,91.5,68.9,65.1,72.6
N20000430,UPPER BANN,22.6,29.9,26.7,33.2
N20000431,UPPER BANN,90.7,68.5,64.7,72.2
N20000432,UPPER BANN,92.4,69.4,65.6,73.2
N20000433,UPPER BANN,61.5,51.9,48.8,55.4
N20000434,UPPER BANN,54.8,48.1,45.0,51.5
N20000435,UPPER BANN,75.7,60.0,56.6,63.6
N20000436,UPPER BANN,60.3,51.2,48.1,54.7
N20000437,UPPER BANN,55.6,48.6,45.5,51.9
N20000438,UPPER BANN,51.7,46.4,43.3,49.7
N20000439,UPPER BANN,91.5,68.9,65.1,72.6
N20000440,UPPER BANN,20.5,28.7,25.4,32.1
N20000441,UPPER BANN,70.2,56.9,53.5,60.5
N20000442,UPPER BANN,76.5,60.4,57.1,64.0
N20000443,UPPER BANN,37.1,38.1,34.9,41.3
N20000444,UPPER BANN,53.6,47.5,44.4,50.8
N20000445,UPPER BANN,65.9,54.4,51.2,58.0
N20000446,UPPER BANN,33.6,36.1,33.0,39.4
N20000447,UPPER BANN,42.8,41.3,38.2,44.5
N20000448,UPPER BANN,84.5,65.0,61.4,68.6
N20000449,UPPER BANN,79.4,62.1,58.7,65.7
N20000450,UPPER BANN,8.6,22.0,18.3,25.5
N20000451,UPPER BANN,26.1,31.9,28.8,35.1
N20000452,UPPER BANN,82.6,63.9,60.4,67.5
N20000453,UPPER BANN,81.3,63.1,59.7,66.7
N20000454,UPPER BANN,80.1,62.5,59.0,66.1
N20000455,UPPER BANN,22.8,30.0,26.8,33.3
N20000456,UPPER BANN,14.2,25.1,21.7,28.6
N20000457,UPPER BANN,14.0,25.0,21.6,28.5
N20000458,UPPER BANN,41.4,40.5,37.4,43.7
N20000459,UPPER BANN,18.4,27.5,24.2,31.0
N20000460,UPPER BANN,18.8,27.8,24.4,31.2
N20000461,UPPER BANN,16.7,26.6,23.2,30.1
N20000462,UPPER BANN,8.8,22.1,18.4,25.6
N20000463,UPPER BANN,7.3,21.2,17.5,24.8
N20000464,UPPER BANN,14.0,25.0,21.6,28.5
N20000465,UPPER BANN,47.2,43.8,40.7,47.0
N20000466,UPPER BANN,8.2,21.8,18.1,25.3
N20000467,UPPER BANN,47.2,43.8,40.7,47.0
N20000468,UPPER BANN,17.2,26.8,23.5,30.4
N20000469,UPPER BANN,10.4,23.0,19.4,26.5
N20000470,UPPER BANN,8.7,22.0,18.4,25.5
N20000472,UPPER BANN,12.8,24.4,20.8,27.9
N20000473,UPPER BANN,30.7,34.5,31.4,37.7
N20000474,UPPER BANN,15.6,25.9,22.5,29.4
N20000475,UPPER BANN,9.4,22.4,18.8,25.9
N20000476,UPPER BANN,79.7,62.2,58.8,65.8
N20000477,UPPER BANN,89.4,67.7,64.0,71.4
N20000478,UPPER BANN,80.6,62.7,59.3,66.3
N20000481,UPPER BANN,91.9,69.1,65.3,72.9
