id,title,provider,licenseTitle,scope
already-on-site-review:104,District Electoral Divisions Boundaries,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:105,Electoral Divisions DLR,data.gov.ie,cc-by,already-on-site-review
already-on-site-review:106,Fingal County Boundary,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:107,Glenveagh National Park Boundary Map,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:108,Killarney National Park Boundary Map,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:109,Municipal District Boundaries,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:110,National Planning Applications,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:111,National Survey of Limestone Pavement and Associated Habitats in Ireland,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:112,Planning Application Boundaries - Roscommon,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:113,Planning Application Points,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:114,Planning Application Sites,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:115,Planning Exemptions - Local Authorities,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:116,Planning Exemptions - Settlements,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:117,Small Areas (Census 2011) FCC,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:118,Small Areas (Census 2011)FCC,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:119,South Dublin County Boundary SDCC,data.gov.ie,cc-by,already-on-site-review
already-on-site-review:120,The Badger and Habitat Survey of Ireland 1989 - 1995,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:121,Townland Boundaries,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:123,Townlands 2015 SDCC,data.gov.ie,cc-zero,already-on-site-review
already-on-site-review:124,TownlandsFCC,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:125,Wicklow Mountains National Park Boundary Map,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:126,Wild Nephin National Park Boundary Map,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:129,Co. Wicklow Local Electoral Areas,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:130,Electoral Areas - Roscommon,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:135,Flood Studies Update (FSU) Catchment Boundaries (ungauged),data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:136,Co. Wicklow Polling Districts,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:137,Co. Wicklow Polling Stations,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:138,Galway County Council Polling Stations,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:139,Local Election Areas,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:140,Local Election Results 2014 - Roscommon,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:141,Local Election Results 2019 - Roscommon,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:142,Polling Districts - Roscommon,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:143,Polling Districts 2019 SDCC,data.gov.ie,cc-by,already-on-site-review
already-on-site-review:144,Polling Station Locations 2024 SDCC,data.gov.ie,cc-by,already-on-site-review
already-on-site-review:145,Polling Stations - Roscommon,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:146,Bedrock boundary,Open Data NI,UK Open Government Licence (OGL),already-on-site-review
already-on-site-review:147,Bedrock boundary,Open Data NI,UK Open Government Licence (OGL),already-on-site-review
already-on-site-review:148,Boundary Commission for Northern Ireland - Final Recommendations,Open Data NI,UK Open Government Licence (OGL),already-on-site-review
already-on-site-review:149,Boundary Commission for Northern Ireland - Revised Proposals,Open Data NI,UK Open Government Licence (OGL),already-on-site-review
already-on-site-review:150,Boundary Line,Open Data NI,UK Open Government Licence (OGL),already-on-site-review
already-on-site-review:151,Boundary Line,Open Data NI,UK Open Government Licence (OGL),already-on-site-review
already-on-site-review:152,Causeway Coast and Glens Borough Council Boundary,Open Data NI,UK Open Government Licence (OGL),already-on-site-review
already-on-site-review:153,Causeway Coast and Glens District Council Boundary,Open Data NI,UK Open Government Licence (OGL),already-on-site-review
already-on-site-review:154,Mid Ulster Council Townlands,Open Data NI,UK Open Government Licence (OGL),already-on-site-review
already-on-site-review:155,NISRA Open Data Boundaries - Super Output Areas 2001,Open Data NI,UK Open Government Licence (OGL),already-on-site-review
already-on-site-review:156,OSNI Open Data - 50K Boundaries - NI Counties,Open Data NI,UK Open Government Licence (OGL),already-on-site-review
already-on-site-review:157,OSNI Open Data - 50K Boundaries - NI Outline,Open Data NI,UK Open Government Licence (OGL),already-on-site-review
already-on-site-review:158,OSNI Open Data - Largescale Boundaries - NI Outline,Open Data NI,UK Open Government Licence (OGL),already-on-site-review
already-on-site-review:159,Admin Boundaries - National 250K Map Of Ireland,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:160,Admin Boundary Areas - National 250K Map Of Ireland,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:161,Boundaries Seawater Area - National 250K Map Of Ireland,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:162,Boundaries Seawater Line - National 1m Map Of Ireland,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:163,Counties - National Statutory Boundaries - 2019 - Generalised 20m,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
