id,title,provider,bestMatchScore,bestMatchCandidateTitle,titleJaccard,autoDecision,reason
already-on-site-review:697,Translink Bus Stop List,Open Data NI,0.67,Translink Bus Stops 2024,0.400,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.67, jaccard 0.40)"
already-on-site-review:494,Trees DLR 2019,data.gov.ie,0.67,Trees And Woodlands (DLR),0.667,duplicate-skip,near-identical title (jaccard 0.67) + score 0.67
already-on-site-review:1032,National Indicative Fluvial Mapping (NIFM) River Flood Depth - Current Scenario,data.gov.ie,0.67,NIFM River Flood Extents ? Current Scenario,0.455,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.67, jaccard 0.45)"
already-on-site-review:1003,Noise maps from traffic sources in DCC,data.gov.ie,0.67,Noise Maps From Traffic Sources In Dublin City Council (DCC),0.667,duplicate-skip,near-identical title (jaccard 0.67) + score 0.67
already-on-site-review:945,Counties_RoI,Local standalone source,0.67,Ulster (ROI) Electoral Divisions 1926,0.200,duplicate-skip,"tool bucket ""safe-related-source-enrichment-review"" (variant/source; score 0.67, jaccard 0.20)"
already-on-site-review:774,Settlement Boundary Data,Open Data NI,0.67,NI Border Crossings 2018 (Lines),0.000,publish-new,"low title overlap (jaccard 0.00) in ""hold-context-overlap""; tool: context/low-confidence not enough for a dupe"
already-on-site-review:1112,Tellus_Electromagnetics_ESRIGRID,Tellus airborne standalone,0.67,Tellus Electromagnetic ? 14 kHz Apparent Conductivity,0.125,publish-new,"low title overlap (jaccard 0.13) in ""hold-context-overlap""; tool: context/low-confidence not enough for a dupe"
already-on-site-review:1113,Tellus_Magnetics_ESRIGRID,Tellus airborne standalone,0.67,Tellus Magnetic ? RTP Tilt Derivative,0.143,publish-new,"low title overlap (jaccard 0.14) in ""hold-context-overlap""; tool: context/low-confidence not enough for a dupe"
already-on-site-review:1114,Tellus_Radiometrics_ESRIGRID,Tellus airborne standalone,0.67,Tellus Radiometric ? K/Th/U Ternary RGB,0.111,publish-new,"low title overlap (jaccard 0.11) in ""hold-context-overlap""; tool: context/low-confidence not enough for a dupe"
already-on-site-review:601,Antrim and Newtownabbey Borough Council Assets,Open Data NI,0.67,Rural and Urban Districts 4 July 1966,0.000,publish-new,weak-match bucket; no existing target (score 0.67)
already-on-site-review:1070,census-2011,Local standalone source,0.67,Catholic Dioceses,0.000,publish-new,"low title overlap (jaccard 0.00) in ""hold-context-overlap""; tool: context/low-confidence not enough for a dupe"
already-on-site-review:1071,census-2021,Local standalone source,0.67,Census Grid 2021 (1km),0.333,escalate,"partial title overlap (jaccard 0.33) in ""hold-context-overlap"" — signals ambiguous"
already-on-site-review:25,Baronies - National Statutory Boundaries - Ungeneralised 2026,Tailte/OSI/data.gov.ie,0.64,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.64, jaccard 0.00)"
already-on-site-review:4,Coastal Flood Boundary Extreme Sea Levels (2018) - NI Extract,Open Data NI,0.64,Coastal Flood Boundary ? Extreme Sea Levels (2018),0.714,duplicate-skip,near-identical title (jaccard 0.71) + score 0.64
already-on-site-review:357,Development Plan 2022-2028 - Land Use Zoning DLR,data.gov.ie,0.64,Dlr Development Plan 2016 2022 Zoning Objectives (DLR),0.571,duplicate-skip,near-identical title (jaccard 0.57) + score 0.64
already-on-site-review:363,Development Plan 2022-2028 - Specific Local Objectives Point DLR,data.gov.ie,0.64,Dlr Development Plan 2016 2022 Zoning Objectives (DLR),0.500,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.64, jaccard 0.50)"
already-on-site-review:364,Development Plan 2022-2028 - Specific Local Objectives Polygon DLR,data.gov.ie,0.64,Dlr Development Plan 2016 2022 Zoning Objectives (DLR),0.500,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.64, jaccard 0.50)"
already-on-site-review:249,DLR Roads and Streets,data.gov.ie,0.64,Dlr Roads Schedule (DLR),0.500,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.64, jaccard 0.50)"
already-on-site-review:135,Flood Studies Update (FSU) Catchment Boundaries (ungauged),data.gov.ie,0.64,FSU Catchment Boundaries ? Gauged 2025,0.286,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.64, jaccard 0.29)"
already-on-site-review:262,Northern Ireland Catchment Stakeholder Groups,Open Data NI,0.64,NIEA Catchment Stakeholder Groups,0.500,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.64, jaccard 0.50)"
already-on-site-review:417,"Parking Meters, Signs & Runs DLR",data.gov.ie,0.64,Parking Meters (DLR),0.600,duplicate-skip,near-identical title (jaccard 0.60) + score 0.64
already-on-site-review:23,Baronies - National Statutory Boundaries - 2019 - Generalised 20m,Tailte/OSI/data.gov.ie,0.62,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.62, jaccard 0.00)"
already-on-site-review:3,Boundary Commission for Northern Ireland - Provisional Proposals for Parliamentary Constituencies,Open Data NI,0.62,Parliamentary Constituencies 2023,0.286,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.62, jaccard 0.29)"
already-on-site-review:165,Counties -National Statutory Boundaries - Ungeneralised 2026,Tailte/OSI/data.gov.ie,0.62,Counties of Ireland,0.200,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.62, jaccard 0.20)"
already-on-site-review:356,Development Plan 2022-2028 - Institutional Lands DLR,data.gov.ie,0.62,Dlr Development Plan 2016 2022 Zoning Objectives (DLR),0.429,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.62, jaccard 0.43)"
already-on-site-review:360,Development Plan 2022-2028 - Protected Structures DLR,data.gov.ie,0.62,Dlr Development Plan 2016 2022 Zoning Objectives (DLR),0.429,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.62, jaccard 0.43)"
already-on-site-review:362,Development Plan 2022-2028 - Right of Way DLR,data.gov.ie,0.62,Dlr Development Plan 2016 2022 Zoning Objectives (DLR),0.429,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.62, jaccard 0.43)"
already-on-site-review:367,Development Plan 2022-2028 - Traveller Accommodation DLR,data.gov.ie,0.62,Dlr Development Plan 2016 2022 Zoning Objectives (DLR),0.429,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.62, jaccard 0.43)"
already-on-site-review:369,Development Plan 2022-2028 - Trees and Woodlands DLR,data.gov.ie,0.62,Dlr Development Plan 2016 2022 Zoning Objectives (DLR),0.429,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.62, jaccard 0.43)"
already-on-site-review:370,Development Plan 2022-2028 - Views & Prospects DLR,data.gov.ie,0.62,Dlr Development Plan 2016 2022 Zoning Objectives (DLR),0.429,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.62, jaccard 0.43)"
already-on-site-review:6,Mid Ulster Council District Electoral Areas,Open Data NI,0.62,District Electoral Areas 2012,0.500,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.62, jaccard 0.50)"
already-on-site-review:858,National Indicative Fluvial Mapping (NIFM) Model Nodes - Current Scenario,data.gov.ie,0.62,NIFM River Flood Extents ? Current Scenario,0.250,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.62, jaccard 0.25)"
already-on-site-review:544,National Indicative Fluvial Mapping (NIFM) River Flood Extents - High-End Future Scenario,data.gov.ie,0.62,NIFM River Flood Extents ? Current Scenario,0.385,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.62, jaccard 0.38)"
already-on-site-review:545,National Indicative Fluvial Mapping (NIFM) River Flood Extents - Mid-Range Future Scenario,data.gov.ie,0.62,NIFM River Flood Extents ? Current Scenario,0.385,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.62, jaccard 0.38)"
already-on-site-review:481,Theatres DLR,data.gov.ie,0.62,Wifi4eu Access Points (DLR),0.200,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.62, jaccard 0.20)"
already-on-site-review:1002,Libraries DCC,data.gov.ie,0.62,Dublin City Libraries (DCC),0.500,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.62, jaccard 0.50)"
already-on-site-review:912,National Road Network 2013,data.gov.ie,0.62,NI Pedestrian Crossings,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.62, jaccard 0.00)"
already-on-site-review:1004,Public Artworks DCC,data.gov.ie,0.62,Public Artworks In Dublin City (DCC),0.600,duplicate-skip,near-identical title (jaccard 0.60) + score 0.62
already-on-site-review:775,census-2011-boundary-files,data.gov.ie,0.62,Catholic Dioceses,0.000,publish-new,"low title overlap (jaccard 0.00) in ""hold-context-overlap""; tool: context/low-confidence not enough for a dupe"
already-on-site-review:951,OSNI OpenData - Parliamentary Constituencies 2023 - Belfast South and Mid Down,Open Data NI,0.62,Parliamentary Constituencies 2023,0.250,publish-new,"low title overlap (jaccard 0.25) in ""hold-context-overlap""; tool: context/low-confidence not enough for a dupe"
already-on-site-review:24,Baronies - National Statutory Boundaries - Ungeneralised - 2024,Tailte/OSI/data.gov.ie,0.60,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.60, jaccard 0.00)"
already-on-site-review:316,Bicycle Counts DLR,data.gov.ie,0.60,Bicycle Parking Stands (DLR),0.400,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.60, jaccard 0.40)"
already-on-site-review:31,Civil Parishes -National Statutory Boundaries - Ungeneralised 2026,Tailte/OSI/data.gov.ie,0.60,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.60, jaccard 0.00)"
already-on-site-review:163,Counties - National Statutory Boundaries - 2019 - Generalised 20m,Tailte/OSI/data.gov.ie,0.60,Counties of Ireland,0.167,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.60, jaccard 0.17)"
already-on-site-review:5,Department of Health trust boundaries,Open Data NI,0.60,Health and Social Care Trusts 2007,0.167,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.60, jaccard 0.17)"
already-on-site-review:227,Development Plan 2022-2028 - Cherrywood Adapted Planning Scheme DLR,data.gov.ie,0.60,Cherrywood Adapted Planning Scheme (DLR),0.714,duplicate-skip,near-identical title (jaccard 0.71) + score 0.60
already-on-site-review:235,Development Plan 2022-2028 - Industrial Heritage Survey Sites DLR,data.gov.ie,0.60,Industrial Heritage Survey Sites (DLR),0.714,duplicate-skip,near-identical title (jaccard 0.71) + score 0.60
already-on-site-review:110,National Planning Applications,data.gov.ie,0.60,ROI National Planning Applications,0.750,duplicate-skip,near-identical title (jaccard 0.75) + score 0.60
already-on-site-review:437,Recycling Centres in DLR,data.gov.ie,0.60,Leisure Centres (DLR),0.500,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.60, jaccard 0.50)"
already-on-site-review:942,Trees,data.gov.ie,0.60,Trees (Fingal),0.500,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.60, jaccard 0.50)"
already-on-site-review:979,Electromagnetics,Tellus airborne standalone,0.60,Tellus Electromagnetic ? raw airborne flight-line data,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.60, jaccard 0.00)"
already-on-site-review:980,Magnetics,Tellus airborne standalone,0.60,Tellus Magnetic ? raw airborne flight-line data,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.60, jaccard 0.00)"
already-on-site-review:773,OSNI Open Data - 1:1Million Raster - County Boundaries,Open Data NI,0.60,OSNI 1:1M Thematic ? Natural Environment,0.182,publish-new,"low title overlap (jaccard 0.18) in ""hold-context-overlap""; tool: context/low-confidence not enough for a dupe"
already-on-site-review:955,OSNI OpenData - Parliamentary Constituencies 2023 - Fermanagh and South Tyrone,Open Data NI,0.60,Parliamentary Constituencies 2023,0.286,publish-new,"low title overlap (jaccard 0.29) in ""hold-context-overlap""; tool: context/low-confidence not enough for a dupe"
already-on-site-review:257,Cork City Boundary,data.gov.ie,0.60,2023,0.000,publish-new,weak-match bucket; no existing target (score 0.60)
already-on-site-review:30,Civil Parishes - National Statutory Boundaries - 2019 - Generalised 20m,Tailte/OSI/data.gov.ie,0.59,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.59, jaccard 0.00)"
already-on-site-review:799,Community-Scale Coastal Flood Extents - Current Scenario,data.gov.ie,0.58,National Coastal Flood Extents 2021 ? Current Scenario,0.625,duplicate-skip,near-identical title (jaccard 0.63) + score 0.58
already-on-site-review:538,Community-Scale River Flood Extents - Current Scenario,data.gov.ie,0.58,NIFM River Flood Extents ? Current Scenario,0.625,duplicate-skip,near-identical title (jaccard 0.63) + score 0.58
already-on-site-review:717,Geographical Names - National 250k Map Of Ireland,Tailte/OSI/data.gov.ie,0.58,Counties of Ireland,0.143,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.58, jaccard 0.14)"
already-on-site-review:719,High Value Dataset - Buildings,Tailte/OSI/data.gov.ie,0.58,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.58, jaccard 0.00)"
already-on-site-review:722,High Value Dataset - Locales,Tailte/OSI/data.gov.ie,0.58,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.58, jaccard 0.00)"
already-on-site-review:726,High Value Dataset - Sites,Tailte/OSI/data.gov.ie,0.58,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.58, jaccard 0.00)"
already-on-site-review:727,High Value Dataset - Water,Tailte/OSI/data.gov.ie,0.58,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.58, jaccard 0.00)"
already-on-site-review:732,High Value Dataset - Ways,Tailte/OSI/data.gov.ie,0.58,Counties of Ireland,0.000,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.58, jaccard 0.00)"
already-on-site-review:737,Islands - National 1m Map Of Ireland,Tailte/OSI/data.gov.ie,0.58,Counties of Ireland,0.167,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.58, jaccard 0.17)"
already-on-site-review:242,Monthly River Quality Data SDCC,data.gov.ie,0.58,Monthly River Quality Data1 (SDCC),0.667,duplicate-skip,near-identical title (jaccard 0.67) + score 0.58
already-on-site-review:746,Mountains - National 1m Map Of Ireland,Tailte/OSI/data.gov.ie,0.58,Counties of Ireland,0.167,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.58, jaccard 0.17)"
already-on-site-review:415,Outdoor Gyms DLR,data.gov.ie,0.58,Trim Trails (DLR),0.200,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.58, jaccard 0.20)"
already-on-site-review:753,Sea - National 1m Map Of Ireland,Tailte/OSI/data.gov.ie,0.58,Counties of Ireland,0.167,duplicate-skip,"tool bucket ""probable-variant-or-source-enrichment"" (variant/source; score 0.58, jaccard 0.17)"
already-on-site-review:1090,National Coastal Flood Depths 2021 - Current Scenario,data.gov.ie,0.58,National Coastal Flood Extents 2021 ? Current Scenario,0.714,duplicate-skip,near-identical title (jaccard 0.71) + score 0.58
