rank,party,votes,share_pct,candidacies,contests,first_year,last_year,votes_outside_recorded_lifespan
35,Northern Ireland Labour Party,26538,0.0778,89,4,1973,1985,0
36,IIP,23086,0.0676,4,1,1979,1979,0
37,NI21,22047,0.0646,49,2,2014,2014,0
38,Socialist Environmental Alliance,16581,0.0486,10,5,2003,2007,0
39,Unity (Northern Ireland),15434,0.0452,33,2,1973,1977,0
40,Protestant Unionist,15118,0.0443,2,1,1970,1970,0
41,Ulster Liberal,13813,0.0405,8,4,1970,1982,0
42,Ulster Independence Movement,12728,0.0373,25,5,1990,1998,0
43,National Democratic Party,10349,0.0303,2,1,1970,1970,0
44,Natural Law,9014,0.0264,69,8,1992,2000,0
45,IRSP,8757,0.0257,15,5,1981,2023,0
46,Labour Coalition,8733,0.0256,38,2,1996,1997,0
47,United Labour Party,8320,0.0244,3,3,1979,1982,0
48,Northern Ireland Women's Coalition,7419,0.0217,29,3,1997,2005,0
49,Cross-Community Labour Alternative,6826,0.02,13,6,2016,2024,0
50,Labour Party of Northern Ireland,6444,0.0189,17,5,1985,2007,0
51,Nationalist Party (Northern Ireland),6422,0.0188,24,2,1973,1977,0
52,CISTA,6130,0.018,13,5,2015,2019,0
53,NIUP,4962,0.0145,12,3,2001,2003,0
54,Socialist Party,4954,0.0145,24,9,1998,2023,0
55,People's Democracy (Ireland),4865,0.0143,3,2,1981,1985,0
56,Ecology,4188,0.0123,13,6,1981,1989,0
57,Éirígí,3818,0.0112,4,2,2011,2014,0
58,Labour and Trade Union Group,3566,0.0104,7,4,1974,1992,0
59,Democratic Left,3348,0.0098,20,2,1992,1996,0
60,Democratic Left (Ireland),2848,0.0083,11,2,1993,1997,0
61,Volunteer Political Party,2690,0.0079,1,1,1974,1974,0
62,Republican Labour Party,2594,0.0076,12,1,1973,1973,0
63,Republican Sinn Féin,2522,0.0074,6,1,2007,2007,0
64,Communist Party of Ireland,1966,0.0058,21,8,1973,1996,0
65,BNP,1916,0.0056,9,3,2011,2014,0
66,Labour '87,1761,0.0052,5,2,1989,1989,0
67,Vote For Yourself / Rainbow Dream Ticket / Make Politicians History,1653,0.0048,17,4,2001,2007,0
68,Northern Ireland Labour Representation Committee,1577,0.0046,8,1,2016,2016,0
69,Democratic Partnership,1046,0.0031,9,1,1996,1996,0
70,Democrats and Veterans,975,0.0029,4,2,2018,2019,0
71,Independent (Oliver McMuIlan),927,0.0027,5,1,1996,1996,0
72,Ulster Liberal Party,739,0.0022,5,2,1973,1985,0
73,Ulster Third Way,703,0.0021,3,3,1994,2003,0
74,Derry Labour and Trade Union Party,639,0.0019,1,1,1979,1979,0
75,National Front,591,0.0017,1,1,1973,1973,0
76,Independent (Alan Chambers),567,0.0017,18,1,1996,1996,0
77,Newtownabbey Labour,560,0.0016,1,1,1982,1982,0
78,Communist Party of Ireland (Marxist-Leninist),540,0.0016,3,1,1974,1974,0
79,Republican Network for Unity,502,0.0015,2,1,2014,2014,0
80,Independent - Northern Ireland independence,457,0.0013,2,2,1994,1997,0
81,People's Democracy,442,0.0013,2,1,1982,1982,0
82,Independent (Thomas O'Brien),388,0.0011,5,1,1996,1996,0
83,South Belfast Unionists,351,0.001,1,1,2016,2016,0
84,Independent (Arthur Templeton),350,0.001,1,1,1996,1996,0
85,Irish Labour Party,290,0.0008,3,1,1973,1973,0
86,Ulster's Independent Voice,276,0.0008,5,2,1996,1998,0
87,Animal Welfare Party,224,0.0007,1,1,2016,2016,0
88,Ulster Constitution Party,202,0.0006,1,1,1973,1973,0
89,SDP,154,0.0005,1,1,1990,1990,0
90,Heritage Party,128,0.0004,1,1,2022,2022,0
91,Democracy First,124,0.0004,1,1,2016,2016,0
92,National Democrats (UK),81,0.0002,1,1,1997,1997,0
93,National Front (UK),68,0.0002,2,1,1989,1989,0
94,Natural Law Party,67,0.0002,4,1,1997,1997,0
95,Procapitalism,51,0.0001,2,2,2007,2011,0
96,Northern Ireland First,32,0.0001,1,1,2016,2016,0
97,Ulster Christian Democratic Party,31,0.0001,1,1,1996,1996,0
98,Third Way (UK organisation),28,0.0001,1,1,2001,2001,0
99,Resume NI,13,0.0,1,1,2022,2022,0
