Geography Code,Geography Label,Measure,Response,Response Label,Breakdown Dimension,Breakdown Category,Base Type,Statistic,Unit,Value,Extraction Confidence
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",Base,respondents,Religion,Other,inc_DK,count,persons,136,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",Base,respondents,Religion,None,inc_DK,count,persons,278,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",C,No Opinion,Religion,Protestant,inc_DK,count,persons,43,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",C,No Opinion,Religion,Roman Catholic,inc_DK,count,persons,32,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",C,No Opinion,Religion,Other,inc_DK,count,persons,18,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",C,No Opinion,Religion,None,inc_DK,count,persons,61,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",A,Yes,Sector,Public Sector,inc_DK,count,persons,393,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",A,Yes,Sector,Private Sector,inc_DK,count,persons,317,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",B,No,Sector,Public Sector,inc_DK,count,persons,165,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",B,No,Sector,Private Sector,inc_DK,count,persons,38,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",Base,respondents,Sector,Public Sector,inc_DK,count,persons,646,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",Base,respondents,Sector,Private Sector,inc_DK,count,persons,401,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",C,No Opinion,Sector,Public Sector,inc_DK,count,persons,88,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",C,No Opinion,Sector,Private Sector,inc_DK,count,persons,46,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",A,Yes,SocialGrade,AB,inc_DK,count,persons,159,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",A,Yes,SocialGrade,C1,inc_DK,count,persons,182,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",A,Yes,SocialGrade,C2,inc_DK,count,persons,229,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",A,Yes,SocialGrade,DE,inc_DK,count,persons,224,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",B,No,SocialGrade,AB,inc_DK,count,persons,27,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",B,No,SocialGrade,C1,inc_DK,count,persons,56,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",B,No,SocialGrade,C2,inc_DK,count,persons,64,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",B,No,SocialGrade,DE,inc_DK,count,persons,56,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",Base,respondents,SocialGrade,AB,inc_DK,count,persons,207,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",Base,respondents,SocialGrade,C1,inc_DK,count,persons,291,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",Base,respondents,SocialGrade,C2,inc_DK,count,persons,339,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",Base,respondents,SocialGrade,DE,inc_DK,count,persons,309,0.9
