id,roiGroup,provider,organisation,category,title,cleanTitle,jurisdiction,topic,featureUnit,formats,proposedAction,proposedPlacement,runtimeDesired,runtimeConversion,confidence,bestExistingMatchType,bestExistingMatchId,bestExistingMatchTitle,bestExistingMatchScore,bestExistingMatchStillPresent,residualBlockerCount,residualBlockers,resolvedBlockers,currentProviderUrl,waybackUrl,sourcePlacement,sourceProvenanceDraft,approvalState
medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-largescale-boundaries-local-government-districts-1993:00011,4. Open Data NI boundary and statistical-geography files,Open Data NI,Land & Property Services – Ordnance Survey of Northern Ireland,spatial,OSNI Open Data - Largescale Boundaries - Local Government Districts (1993),OSNI Open Data - Largescale Boundaries - Local Government Districts (1993),Northern Ireland,boundary,Local Government Districts,CSV|GEOJSON|KML|ZIP,variant-child-map,Maps > boundary/geography variant,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.,45,,,,,false,0,,"duplicate-or-variant-review: classified as variant-child-map | geography-crosswalk-and-versioning: geography family inferred | large-or-special-format-review: normal source package; no special-format hold | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://admin.opendatani.gov.uk/dataset/osni-open-data-largescale-boundaries-local-government-districts-1993,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/osni-open-data-largescale-boundaries-local-government-districts-1993,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Land & Property Services – Ordnance Survey of Northern Ireland | OSNI Open Data - Largescale Boundaries - Local Government Districts (1993) | formats: CSV, GEOJSON, KML, ZIP | current URL: https://admin.opendatani.gov.uk/dataset/osni-open-data-largescale-boundaries-local-government-districts-1993 | IA mirror/download link pending; do not expose local drive paths.",ready-for-approval
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-national-statutory-boundaries-20191:00012,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Administrative Areas - National Statutory Boundaries - 2019,Administrative Areas - National Statutory Boundaries - 2019,Republic of Ireland,boundary,features,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,hold-special-format,Books/Tables/Sources source/download record,download/source viewport first,Do not convert until size/format review approves an interactive derivative.,45,,,,,false,3,duplicate-or-variant-review: no existing match candidate | geography-crosswalk-and-versioning: needs exact geography crosswalk | large-or-special-format-review: size/format decision remains before runtime publication,"map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/administrative-areas-national-statutory-boundaries-20191,https://web.archive.org/web/*/https://data.gov.ie/dataset/administrative-areas-national-statutory-boundaries-20191,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Administrative Areas - National Statutory Boundaries - 2019 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/administrative-areas-national-statutory-boundaries-20191 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-national-statutory-boundaries-2019-generalised-20m1:00013,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Administrative Areas - National Statutory Boundaries - 2019 - Generalised 20m,Administrative Areas - National Statutory Boundaries - 2019 - Generalised 20m,Republic of Ireland,boundary,features,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,hold-special-format,Books/Tables/Sources source/download record,download/source viewport first,Do not convert until size/format review approves an interactive derivative.,45,,,,,false,3,duplicate-or-variant-review: no existing match candidate | geography-crosswalk-and-versioning: needs exact geography crosswalk | large-or-special-format-review: size/format decision remains before runtime publication,"map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/administrative-areas-national-statutory-boundaries-2019-generalised-20m1,https://web.archive.org/web/*/https://data.gov.ie/dataset/administrative-areas-national-statutory-boundaries-2019-generalised-20m1,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Administrative Areas - National Statutory Boundaries - 2019 - Generalised 20m | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/administrative-areas-national-statutory-boundaries-2019-generalised-20m1 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-generalised-100m-national-statutory-boundaries-20151:00014,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Administrative Areas Generalised 100m - National Statutory Boundaries - 2015,Administrative Areas Generalised 100m - National Statutory Boundaries - 2015,Republic of Ireland,boundary,features,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,hold-special-format,Books/Tables/Sources source/download record,download/source viewport first,Do not convert until size/format review approves an interactive derivative.,45,,,,,false,3,duplicate-or-variant-review: no existing match candidate | geography-crosswalk-and-versioning: needs exact geography crosswalk | large-or-special-format-review: size/format decision remains before runtime publication,"map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/administrative-areas-generalised-100m-national-statutory-boundaries-20151,https://web.archive.org/web/*/https://data.gov.ie/dataset/administrative-areas-generalised-100m-national-statutory-boundaries-20151,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Administrative Areas Generalised 100m - National Statutory Boundaries - 2015 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/administrative-areas-generalised-100m-national-statutory-boundaries-20151 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-generalised-20m-national-statutory-boundaries-20151:00015,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Administrative Areas Generalised 20m - National Statutory Boundaries - 2015,Administrative Areas Generalised 20m - National Statutory Boundaries - 2015,Republic of Ireland,boundary,features,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,hold-special-format,Books/Tables/Sources source/download record,download/source viewport first,Do not convert until size/format review approves an interactive derivative.,45,,,,,false,3,duplicate-or-variant-review: no existing match candidate | geography-crosswalk-and-versioning: needs exact geography crosswalk | large-or-special-format-review: size/format decision remains before runtime publication,"map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/administrative-areas-generalised-20m-national-statutory-boundaries-20151,https://web.archive.org/web/*/https://data.gov.ie/dataset/administrative-areas-generalised-20m-national-statutory-boundaries-20151,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Administrative Areas Generalised 20m - National Statutory Boundaries - 2015 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/administrative-areas-generalised-20m-national-statutory-boundaries-20151 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-generalised-50m-national-statutory-boundaries-20151:00016,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Administrative Areas Generalised 50m - National Statutory Boundaries - 2015,Administrative Areas Generalised 50m - National Statutory Boundaries - 2015,Republic of Ireland,boundary,features,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,hold-special-format,Books/Tables/Sources source/download record,download/source viewport first,Do not convert until size/format review approves an interactive derivative.,45,,,,,false,3,duplicate-or-variant-review: no existing match candidate | geography-crosswalk-and-versioning: needs exact geography crosswalk | large-or-special-format-review: size/format decision remains before runtime publication,"map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/administrative-areas-generalised-50m-national-statutory-boundaries-20151,https://web.archive.org/web/*/https://data.gov.ie/dataset/administrative-areas-generalised-50m-national-statutory-boundaries-20151,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Administrative Areas Generalised 50m - National Statutory Boundaries - 2015 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/administrative-areas-generalised-50m-national-statutory-boundaries-20151 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-ungeneralised-national-statutory-boundaries-20151:00017,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Administrative Areas Ungeneralised - National Statutory Boundaries - 2015,Administrative Areas Ungeneralised - National Statutory Boundaries - 2015,Republic of Ireland,boundary,features,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,hold-special-format,Books/Tables/Sources source/download record,download/source viewport first,Do not convert until size/format review approves an interactive derivative.,45,,,,,false,3,duplicate-or-variant-review: no existing match candidate | geography-crosswalk-and-versioning: needs exact geography crosswalk | large-or-special-format-review: size/format decision remains before runtime publication,"map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/administrative-areas-ungeneralised-national-statutory-boundaries-20151,https://web.archive.org/web/*/https://data.gov.ie/dataset/administrative-areas-ungeneralised-national-statutory-boundaries-20151,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Administrative Areas Ungeneralised - National Statutory Boundaries - 2015 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/administrative-areas-ungeneralised-national-statutory-boundaries-20151 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:baronies-national-placenames-gazetteer1:00018,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Baronies - National Placenames Gazetteer,Baronies - National Placenames Gazetteer,Republic of Ireland,source-data,features,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,hold-special-format,Books/Tables/Sources source/download record,download/source viewport first,Do not convert until size/format review approves an interactive derivative.,45,,,,,false,3,duplicate-or-variant-review: no existing match candidate | geography-crosswalk-and-versioning: needs exact geography crosswalk | large-or-special-format-review: size/format decision remains before runtime publication,"map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/baronies-national-placenames-gazetteer1,https://web.archive.org/web/*/https://data.gov.ie/dataset/baronies-national-placenames-gazetteer1,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Baronies - National Placenames Gazetteer | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/baronies-national-placenames-gazetteer1 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:baronies-national-statutory-boundaries-20191:00019,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Baronies - National Statutory Boundaries - 2019,Baronies - National Statutory Boundaries - 2019,Republic of Ireland,boundary,features,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,hold-special-format,Books/Tables/Sources source/download record,download/source viewport first,Do not convert until size/format review approves an interactive derivative.,45,,,,,false,3,duplicate-or-variant-review: no existing match candidate | geography-crosswalk-and-versioning: needs exact geography crosswalk | large-or-special-format-review: size/format decision remains before runtime publication,"map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/baronies-national-statutory-boundaries-20191,https://web.archive.org/web/*/https://data.gov.ie/dataset/baronies-national-statutory-boundaries-20191,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Baronies - National Statutory Boundaries - 2019 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/baronies-national-statutory-boundaries-20191 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:baronies-national-statutory-boundaries-2019-generalised-20m1:00020,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Baronies - National Statutory Boundaries - 2019 - Generalised 20m,Baronies - National Statutory Boundaries - 2019 - Generalised 20m,Republic of Ireland,boundary,features,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,hold-special-format,Books/Tables/Sources source/download record,download/source viewport first,Do not convert until size/format review approves an interactive derivative.,45,,,,,false,3,duplicate-or-variant-review: no existing match candidate | geography-crosswalk-and-versioning: needs exact geography crosswalk | large-or-special-format-review: size/format decision remains before runtime publication,"map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",https://data.gov.ie/dataset/baronies-national-statutory-boundaries-2019-generalised-20m1,https://web.archive.org/web/*/https://data.gov.ie/dataset/baronies-national-statutory-boundaries-2019-generalised-20m1,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Baronies - National Statutory Boundaries - 2019 - Generalised 20m | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/baronies-national-statutory-boundaries-2019-generalised-20m1 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review
