DZ21,population,DUP,Sinn Féin,UUP,SDLP,Alliance,TUV,Green,PBP,Aontú,Independent,Other
N20000027,558.0,55.14357629071982,2.0198957763948413,20.016119522263807,15.74650203790426,7.073906372378961,2.080662060123251e-12,1.6745510680742922e-11,4.5052130548300104e-11,2.3553284812673265e-10,1.3876555814670247e-12,3.750000240143346e-11
N20000028,550.0,11.628882249455243,33.86872080316344,19.68155051279295,22.674751429770517,12.146095003259415,9.013583733943234e-11,2.4155956577936706e-10,3.721064991587882e-10,3.5553883525928067e-10,3.7829502969981777e-10,1.2079820823575388e-10
N20000029,552.0,24.538186490249707,24.954629079066393,35.5901846627025,6.443448653390529,8.473551111800548,8.749221578956043e-10,3.0303909263140194e-10,7.06739545178525e-10,8.938944717809647e-11,7.231970942461945e-10,9.304823909129651e-11
N20000030,496.0,50.539176699038144,1.0603866274781004,37.2605362822519,2.3093471572568016,8.830553232994376,3.41116355262849e-10,2.8716513518609423e-10,1.4934058184636558e-10,4.536555001896613e-11,9.740808031667831e-11,6.030863549346826e-11
N20000031,531.0,37.764383435804305,0.8435609511021562,12.906724039024525,0.28419424931570136,48.20113732153363,2.3693629621048853e-09,1.5416182538128123e-10,3.033866337007211e-10,1.3235847997128213e-11,2.5460349788516703e-10,1.2494398433822713e-10
N20000032,459.0,1.7145793473169968,85.37399942720695,3.674712808543347,6.426290460975142,2.8104179555933606,9.430482976452967e-12,4.8435785959699754e-11,9.1772308085068e-11,1.775689633331799e-10,6.867593114882442e-12,3.012577821370382e-11
N20000033,536.0,3.4889499333584886,76.7091714369571,3.272415105519403,15.142075642853644,1.387387880591946,3.5644938151882626e-11,2.2439214220539487e-11,1.965216430732654e-10,9.650201672052559e-11,3.584271367803713e-10,9.877952965447818e-12
N20000034,439.0,7.2197598684544495,35.96357860912371,7.8993227403976185,46.654091315794645,2.263247464819011,4.68088583081404e-11,5.856245310338388e-11,2.250662046660925e-10,6.648936983812663e-10,3.9599721587351253e-10,1.9224821020247488e-11
N20000035,671.0,19.8713428341421,13.137077658242283,23.04487889415262,17.28710108264352,23.890282295183066,1.6443750675001856,1.491777218585605e-11,1.2038756067242724e-10,4.793123695120644e-10,1.1249421673471498,1.7445601674109878e-10
N20000036,374.0,25.148625956061345,22.51346098420056,14.02081198679492,25.687694432126623,11.67878108745559,0.6293569553404355,1.5885854719660277e-10,1.5656101221530655e-10,1.884445767506389e-09,0.3212685908049473,5.015717099356931e-09
N20000037,423.0,52.70612838531987,8.290084673218942,8.210954199737488,28.070282846742856,2.056809567851838,0.3054091241219553,5.300468306173828e-11,2.8605154243952773e-10,9.434092760886335e-10,0.36033120019472736,1.5298429756995995e-09
N20000038,628.0,47.52296541663724,3.5419053766886575,13.12891213527774,11.757066778891973,23.535727822942004,0.4608291897281557,1.6956499290642609e-10,2.603754977513647e-10,6.883467884083122e-10,0.05259327858240917,1.3352974841694363e-10
N20000039,499.0,25.07661958283467,4.99781383853345,9.334438092644014,7.632527815748615,47.84993264746702,2.689161801191148,5.068753344933192e-10,3.685931264872247e-10,3.62626128068587e-10,2.4195062203035227,3.944563973511155e-11
N20000040,371.0,3.5491573243130334,2.816082194060571,4.4737552655810875,87.86335218876505,0.6714461030371125,0.061083205221864625,9.051468461334623e-12,2.554457953264811e-11,5.084178126288489e-10,0.5651237183041383,1.7413066734832645e-10
N20000041,931.0,17.013663813466238,2.8279095984719036,20.95075028901454,4.834793428270532,48.80718970408668,2.4272765543449637,5.962756283153227e-11,2.495435248705784e-10,5.328918368966595e-10,3.138416611380221,1.2284835878636578e-10
N20000042,661.0,48.32495170851268,2.69789780735689,17.95200393589388,17.518111761810236,13.141204720598285,0.185449439555748,3.7299525344855843e-11,1.2012626204627272e-10,4.728432554108981e-10,0.1803806256132384,2.877230568203465e-11
N20000043,820.0,38.58687305379125,5.172900392470357,26.040260557003254,21.236129043019677,8.83359120714583,0.08829934154845806,2.2042998231346046e-11,6.71989574349987e-11,3.580546220863479e-10,0.04194640449179975,8.206652672439284e-11
N20000044,493.0,40.31014206061486,5.206471355624534,11.38008153580788,13.084110367567659,29.442337159843042,0.4814608833020607,1.0274979226000416e-10,5.201552982380249e-10,5.417145372766971e-10,0.09539663601775943,5.758467618283587e-11
N20000045,466.0,11.493583466501292,2.8070128426344207,14.095283706796504,14.937390513439135,48.03507226323753,2.4832576781370173,2.2998474838148372e-10,2.086749853230438e-10,6.038834444310582e-10,6.148399528162584,4.8970296458892406e-11
N20000046,570.0,42.2230897288709,9.992404147331662,22.85845267643014,4.514988731697322,8.721110339874258,10.199413045443087,1.6162114489912958e-10,6.172289469893069e-10,4.70078428427272e-10,1.4905413281611122,9.425903414945704e-10
N20000047,516.0,16.538505380338314,8.52903583123072,9.401854416218953,1.9864797809484698,61.174749565816185,1.6818698305990716,6.088660242673053e-11,1.5017054672688838e-10,1.9632867159736104e-10,0.6875051942175902,2.2330600007569622e-10
N20000048,562.0,7.558955556786478,5.142708911138144,12.448991702801283,11.567853851995826,39.10554543561487,7.316479030885589,1.093031126605785e-09,1.1209374815137374e-09,2.821540442245847e-10,16.85946550813704,1.4463189544449084e-10
N20000049,554.0,18.326152643035375,23.7237065064272,4.8929546974247815,6.460192960056667,30.603145527932124,11.450626220543075,8.492615925664763e-11,4.97023158257332e-10,1.8187533526661202e-10,4.543221443541515,2.7543497138813636e-10
N20000050,425.0,41.430309695236886,6.629512409546351,10.889626231813406,6.929510346274467,5.65541808469117,4.6065322356638845,8.490555504011577e-11,6.425127207320653e-10,2.1363315201409299e-10,23.859090994965186,8.676209860495657e-10
N20000051,493.0,7.422568724947213,24.263673001360715,4.685799699828598,49.08610905717142,5.0805170876288575,0.1812367641116743,6.082057060523699e-11,6.061822331506942e-10,1.2058063542484183e-09,9.28009566279929,2.7942721845690295e-10
N20000052,501.0,33.420111690262914,14.677752262258165,20.301851481841762,5.495015987259201,16.652646770781473,5.618825763500828,1.2236562298062947e-10,8.607897069060127e-10,6.724792526467285e-10,3.833796040857248,1.582766770206e-09
N20000053,408.0,26.058437789773365,20.98187711182333,15.3520666208593,13.84123814442332,19.402971427700543,2.313141943632941,2.2856250511184224e-10,3.370150081128484e-10,2.3293578089545606e-09,2.050266956371376,2.520910232962599e-09
N20000054,517.0,30.823765274246,5.285639697250167,21.518748219204088,1.5186832532966832,8.305840831974592,21.793207957827498,3.5233781455730934e-11,2.2193736005303222e-10,4.0559011454424456e-10,10.754114764627166,9.110404501280953e-10
N20000055,336.0,34.855647825672264,15.784109925139491,7.842184503687669,9.564896000276049,17.583082912638346,13.75204430131684,8.881505179071852e-11,1.256728892096265e-09,1.794365355757673e-09,0.6180345241003035,4.029133968105805e-09
N20000056,483.0,37.11925436956231,14.561489999758436,15.804084821917689,19.21487144457031,2.3233812661185715,2.9740516802603683,8.307388350103559e-11,2.98114224029782e-10,2.000305101888394e-09,8.002866414569317,8.615041241900523e-10
N20000057,465.0,7.127455880872621,10.40111068548699,16.13245900020221,1.1626268210979835,49.52015091568662,7.513819735323116,9.8700201175893e-10,3.0400322247054924e-10,3.2047404539231787e-10,8.142376958788994,9.299800466395426e-10
N20000058,415.0,42.6383039067172,12.225659063675879,12.159900848793486,14.282732327993116,13.488145916622127,3.1341677076063195,1.0658820534016347e-10,1.0122581938859047e-09,3.3638193955254594e-09,2.071090222150163,1.9590301133842112e-09
N20000059,413.0,20.73371703618111,27.764238970190387,7.778857806724412,31.92628315413883,7.69447477071007,1.665388781488285,1.803140099784801e-10,3.470559604639061e-10,6.435765122682792e-10,2.4370394789638503,4.321132302927172e-10
N20000060,355.0,20.94901586985663,4.180868995663848,26.42012708348363,1.6226999566923659,40.91083732440109,3.848241355309639,4.962513924318515e-11,8.027506778226637e-11,5.453276721803998e-10,2.0682094136977995,2.1977233020642703e-10
N20000061,382.0,29.867083818342955,11.36118361490041,18.89195461597766,5.242475543241387,17.202415103941807,10.694358356588234,2.0118863405702752e-10,7.352942643375155e-10,7.865422788854177e-10,6.7405289441633816,1.121144402275827e-09
N20000062,597.0,27.973059290556957,14.547075287384562,11.783461075933372,13.73382913568113,18.87657782259434,8.013639229812577,1.4610805136099314e-10,1.1941865185297861e-09,1.0632631964701532e-09,5.072358153182459,2.4510389949413934e-09
N20000063,354.0,24.734104131081516,9.738119795253764,8.501383611560719,5.8804757911194825,41.25572364265883,6.921095768099435,1.2642779811743336e-10,1.2451257707559854e-10,1.2183291616209802e-10,2.9690972596599745,1.9352684120605667e-10
N20000064,391.0,10.009351490488463,2.8538855410998667,10.712620277238344,1.8512378898517,56.682920872079855,11.946407140946881,2.4538120579174427e-10,2.8103423353487904e-10,1.3678829932162993e-10,5.943576787503255,1.2841810993506163e-10
N20000065,491.0,21.393330984542597,3.109689903736282,34.044320317678114,7.21488599120992,25.788439281040336,2.78374807397372,1.9382100213130373e-09,2.5072931069745636e-10,4.480093805033783e-10,5.665585444886316,2.9575520908040913e-10
N20000066,325.0,23.74784484177021,35.65002268391431,12.565980594867826,19.53231236591936,6.237639316524237,0.16116486092916013,8.086635853953525e-11,1.4434516441268687e-10,1.473380117425601e-09,2.1050353310597174,3.3165724801119028e-09
N20000067,521.0,35.53812827873274,18.779342668369992,7.750580017317557,28.25417650429283,5.495140291102322,1.5114708162739865,5.749743108101116e-11,1.0213311895745115e-09,3.565638501751726e-09,2.6711614171803495,2.0857381356199424e-09
N20000068,423.0,18.10719742128662,12.656903665493433,1.9166158285082169,7.117994756844465,30.32656749878718,19.3881240108734,3.399255886304047e-09,4.8439138924089545e-09,1.2034431629064051e-09,10.486596804918397,3.841669785773076e-09
N20000069,461.0,22.592203008828633,7.608476407234746,21.689433163656723,3.9578921683842654,42.19993578649405,0.6230717109916515,5.098711292551783e-11,1.0051648416387207e-10,3.0993067186421537e-10,1.3289877539059949,4.250139346936619e-11
N20000070,426.0,14.68590669196528,2.1503691305672032,20.60044090123818,2.869657003020775,32.00355833449427,18.994885877208414,1.0225892102042208e-09,5.666353013825921e-10,4.13812401507218e-10,8.69518205929236,2.1050913002234182e-10
N20000071,337.0,7.618787637385754,2.1925120968051015,9.735781881017248,1.7812717676647032,77.86561268899,0.25591711376762283,1.667163577669386e-10,1.2132706087077773e-10,4.721734782090505e-10,0.550116813268409,3.409439871371435e-10
N20000072,559.0,20.090277368297706,2.6829697247442588,16.896088550030754,5.0672434172264955,51.805673454617185,2.7328265781034125,5.052006904643917e-10,2.728717364861616e-10,3.352860475427959e-10,0.7249209057808916,8.593332167039728e-11
N20000073,473.0,30.971737724874526,7.389691725146181,27.55903850753934,3.2243407229292496,17.501321843228798,10.623682193635245,1.252507139735589e-10,3.5289005164920523e-10,3.3088398237242844e-10,2.730187281503625,3.3401152487779977e-10
N20000074,468.0,26.410065511660562,4.556263507590904,19.117455297839197,1.9183016673604847,12.676392477683477,25.221927366665,1.3179294986930771e-10,5.427592691660374e-10,2.948025792278972e-10,10.099594169103998,1.1270328370797104e-09
N20000075,432.0,15.883079984566963,2.4712881431175395,21.248599907585387,5.007418863805243,53.55067742749641,0.4954809460615314,2.1638596297164363e-11,1.1505193913823369e-10,2.2210412363396101e-10,1.3434547269256887,8.246370882755997e-11
N20000076,373.0,20.96963477170852,7.677482797070981,35.13977846332191,6.085326776600844,21.75847353398181,2.9085304607835636,2.734211442177496e-10,1.6352509464969296e-10,2.0811376267096603e-10,5.4607731956599626,2.2735962513841124e-10
N20000077,306.0,19.59171691547299,6.368759483820336,10.210858389940055,1.467734720273036,14.983007573651244,10.057124371314744,1.4341169898035589e-10,3.28577880010233e-10,6.695369537582251e-11,37.320798544715444,2.732219332477826e-10
N20000078,324.0,40.78869472055026,12.823549073805745,10.370125472586214,0.9133366781569054,5.548756540904062,16.473863484609854,3.161734072093302e-11,1.5724819399098268e-10,4.4903504568613305e-11,13.08167402908453,6.866750680801524e-11
N20000079,387.0,54.412639235844715,6.1338201067316875,19.869720019544534,5.745219764939585,4.013958000666883,3.661948990247485,7.71562397171054e-11,6.199332757128128e-10,5.622181617405343e-10,6.162693878607802,2.157986222247546e-09
N20000080,633.0,16.858791339458623,1.0457585793513797,22.467720526405127,1.8452450528037223,52.55651136955773,4.367883305470478,2.1564442974523052e-10,2.2881890165879112e-10,3.605071826661496e-10,0.8580898260008407,1.471424515035067e-10
N20000081,334.0,26.070531960331518,17.339119171936613,20.499809577633897,4.77440070869714,28.343249445047896,1.1756876836100432,2.9842095264841394e-11,1.0783551045119005e-10,1.173405720819078e-10,1.7972014521672877,3.206006466404544e-10
N20000082,452.0,62.68196828120908,10.331025647365005,15.72089953789779,1.6301113828937959,3.7104927466251705,4.08580151989923,5.942078398369537e-11,5.559843723353774e-10,1.0092328727575852e-10,1.8397008825035377,8.900539795633922e-10
N20000083,270.0,4.868111265076238,1.0759721360120778,14.52335849636498,0.22990848144169018,36.427962116945544,1.2219258250572371,6.545111626140362e-11,4.207464147239594e-11,8.282891559533174e-11,41.65276167788316,1.0287063314376743e-09
N20000084,288.0,11.376062927362126,1.8565163783030592,6.045148579290666,2.984905909657887,17.302609160971887,9.86134927814341,4.809877703844652e-10,4.532343599614787e-10,2.1380116270710517e-10,50.57340776499265,1.3028696758885627e-10
N20000085,594.0,19.419097867126027,1.3745288024897562,20.029243768504625,2.2937642376922636,51.01623813133143,4.378287401079744,3.5608406102607294e-11,1.690499653844456e-10,1.7767495745730988e-10,1.488839791301591,9.22305818607555e-11
N20000086,611.0,42.29093280706141,2.2544993661873678e-10,38.63674182185913,9.053868945880041e-11,14.381781468034028,1.4045180934197148e-10,9.672127327143796e-11,2.2761554744623047e-10,9.911505007505254e-11,4.690543901945342,2.2019118205601966e-10
N20000087,473.0,23.478781449776196,1.0315708112541903e-10,26.32262072638395,1.3921696572864713e-10,4.008110550626267,6.267454175507189e-10,1.1393338297940855e-10,2.1236981125820933e-10,1.1467026206723038e-10,46.1904872718561,4.7389743204320905e-11
N20000088,485.0,26.494635662894204,2.2021931804561513e-10,58.590094941050275,8.880120142256367e-11,11.133898315920867,4.677972553411896e-10,2.0733898062940776e-10,3.9622106867169643e-10,3.860372014355193e-10,3.7813710781879473,1.8028722351602733e-10
N20000089,680.0,33.70807074076354,1.9983204933855392e-10,54.26050672110061,1.612406654760513e-10,3.247893285534029,2.2695004960375528e-10,8.482592115917001e-11,1.2796109130731218e-10,2.526237879323157e-10,8.783529251402411,1.4596601527477887e-10
N20000090,804.0,27.88932192789383,2.1833175611663122e-10,44.34350947170777,3.4503154835540336e-10,17.637753007298425,3.2062047470760455e-10,8.875918291830058e-11,4.280733479567985e-10,9.430829396246539e-10,10.129415590647751,1.08323016593457e-10
N20000091,509.0,20.664928649455383,4.157050538178526e-10,42.42757747203156,2.7155226201300183e-11,36.215096657620464,1.2429080794098608e-10,1.6630768109470745e-11,5.4439398079644927e-11,1.3166556312235105e-10,0.6923972199979269,1.2479000360900107e-10
N20000092,802.0,32.29625958377787,1.46593450860592e-10,37.902258505357835,1.6435154657803196e-10,22.713255870483216,3.164928222159817e-10,4.8791345066355945e-11,3.403211369453052e-10,6.071130471787359e-10,7.088226038602315,1.5510284168115306e-10
N20000093,408.0,12.90982855964447,3.7364990689071546e-10,4.896127976001133,9.661829375692654e-11,0.8096899357544481,5.979709236308058e-10,5.198387990048625e-11,6.078824801897934e-10,7.558326517725942e-11,81.38435352648288,3.133723700422555e-10
N20000094,427.0,54.766608898437866,1.480397912719531e-10,39.05541948855799,1.335015719570061e-10,5.877549257301184,2.2478126805748e-12,1.195865235316686e-10,5.355240436888745e-11,6.464448582770258e-10,0.30042235440847753,1.9110258824088772e-10
N20000095,397.0,61.755772033564526,2.2506160388961837e-09,18.057230112039623,1.884622199069228e-09,2.2552648363960586,2.4505950222520836e-10,2.7586948929891646e-11,6.116626806434549e-10,1.5662758176714128e-09,17.931733009780228,1.6337297319629612e-09
N20000096,582.0,40.73134051908162,8.991675856488042e-10,45.66687056409434,2.3303435873935747e-10,5.63521248434741,1.1471964546858167e-09,1.850880249497207e-11,2.6605049053125575e-10,6.148855134656489e-10,7.966576429160311,1.3748196716837895e-10
N20000097,574.0,25.50492156397698,8.484382396460645e-10,45.34672421101447,1.1633830673272473e-10,15.454396645342875,4.458304789439892e-09,8.878036807153883e-10,5.490095910778583e-10,4.081427396747244e-10,13.69395757181047,5.871759303398298e-10
N20000098,383.0,16.34011207722105,1.9533049164423547e-10,40.63203057553486,2.875801626790013e-11,18.84317385940278,9.64062612449068e-10,3.0778753776501757e-10,3.3842525024655656e-10,3.7465591601758914e-10,24.184683485166687,4.6558848722762315e-10
N20000099,464.0,29.909435688454888,4.949254934799427e-10,48.43978137179889,7.584809670083214e-11,19.741156535682126,3.5277809402374525e-10,1.2638187978894735e-10,9.836722265524662e-11,3.675143748050855e-10,1.9096264022442182,3.0406394380297497e-10
N20000100,705.0,22.678777922299368,1.850870055230138e-10,41.82375160740236,1.1432608754288206e-10,10.853375345955993,3.3152991696490882e-09,2.7569308346603775e-10,4.2546226253757364e-10,2.6094630092515977e-10,24.644095119660975,1.0449867953730224e-10
N20000101,463.0,13.430177318404477,5.023919622176343e-11,15.210860578836977,1.4051474510980368e-10,27.09024090659161,3.7593587034177077e-10,1.4553608886294974e-11,1.654692754241198e-10,2.065324469730473e-10,44.2687211951825,3.118904086418964e-11
N20000102,475.0,49.55263716304911,8.333631511313464e-10,40.30943160251323,1.4821233998455047e-10,8.82635018009379,3.6402125404373393e-10,1.3850340850390617e-10,4.0056836395488723e-10,7.496377225832085e-10,1.3115810514081492,3.014301885407605e-10
N20000103,353.0,2.431459414683098,5.0314031538680177e-11,1.9667463919316577,1.900361862112037e-11,0.5500428706029097,1.0138400228227777e-10,3.033413232973544e-11,6.244360710332316e-11,2.016987115275693e-11,95.05175132241767,8.103559504606866e-11
N20000104,533.0,66.54812457700578,4.1752999138553446e-09,27.83846999553468,8.306022191781492e-10,1.0694920590630497,7.553833670643826e-10,8.44480408367224e-11,8.893960123202665e-10,2.087059340621168e-09,4.543913357964278,1.6100183855086449e-09
N20000105,408.0,86.44921879437942,2.1304538765697086e-09,9.996675700615764,4.1912036424081096e-10,2.174377292264524,1.9062822988425848e-10,3.976599349421098e-11,4.1423891524849347e-10,4.116822475083602e-10,1.3797282089340925,2.003192897541863e-10
N20000106,413.0,9.321413936622193,5.767951898129761e-11,29.05256896315707,1.5747156682426605e-10,7.72519993681222,2.270777814895135e-10,5.7362347045470306e-11,1.3622541263418187e-10,2.482945056461739e-10,53.90081716240004,1.2437255676929568e-10
N20000107,402.0,14.900623121433776,3.872813331559741e-10,12.456361535651427,7.095363955469477e-11,1.8563410828097582,3.981814598956569e-10,3.967373754105069e-11,3.147216680755619e-10,5.938940480840589e-11,70.78667425861184,2.2299923853417333e-10
N20000108,349.0,5.509590887747766,3.9320782742812113e-10,1.5594872173248424,1.628053800977774e-10,2.566115653796507,4.888050203024049e-10,3.991509563241647e-10,7.245815978118101e-10,2.3624845040193074e-10,90.36480623807945,6.466183353554855e-10
N20000109,552.0,18.241783225223838,2.9151305270190955e-11,24.029375301416746,1.6028877447319994e-10,5.956461732890824,1.1394530933373899e-10,9.198663777310747e-11,1.6850443403892658e-10,2.838381728263506e-10,51.77237973952036,1.005098697293014e-10
N20000110,661.0,32.427838587904475,1.7507399632555358e-10,53.275787252671805,1.303699116861008e-10,8.121967581161728,4.3020928513655876e-10,5.933531912860931e-11,2.2033935594696723e-10,5.957630360827342e-10,6.174406576517695,1.3319649011564274e-10
N20000111,557.0,39.60893090420347,1.4252763261263964e-10,29.906867786183543,3.287715100305281e-10,9.254952452016267,5.798631715356556e-10,4.230712109895775e-10,4.91858803893665e-10,4.5714710688056374e-10,21.229248854841256,3.3222263771939707e-10
N20000112,323.0,29.133225419640414,1.9662973320089156e-10,21.921377448566552,1.5255181594736163e-10,0.4144491652515192,2.43895282180989e-10,1.1165334306179507e-10,1.19727308944729e-10,2.46764975430508e-10,48.53094796487451,5.957838554634371e-10
N20000113,402.0,39.28593503334458,2.1608464140096968e-10,36.20859136822961,3.590812195740951e-10,13.258889485890343,5.076282366538562e-10,9.00380746311437e-10,6.465716681554939e-10,2.1454023543816208e-09,11.246584106835144,9.251859243534615e-10
N20000114,439.0,7.801049048717735,2.882475923226993e-11,20.333822103639815,2.7840041470932336e-11,11.650423185786936,4.5657497999082136e-10,1.8561391850335116e-10,1.80219434590421e-10,2.858600615367638e-10,60.214705660540425,1.5014486082560775e-10
N20000115,727.0,16.120126609178588,1.1786356495766575e-10,33.104126645552746,2.446819777647918e-11,13.66901625872761,2.521335623821586e-09,6.507692625358448e-11,2.695220589072854e-10,2.368599638065491e-10,37.106730483138456,1.6747259917763357e-10
N20000116,311.0,17.577464778906222,2.620817701031051e-10,48.20878481333753,2.4965725473666308e-11,27.09234652841055,1.819416131625059e-10,1.2340299626488136e-10,4.850254538031833e-11,1.0797746307837619e-10,7.121403878177716,4.1912494666295046e-10
N20000117,343.0,31.171486882274834,2.4681014293587224e-10,48.07416677027171,2.9030080355897976e-10,13.474525861775572,1.3093811043421453e-09,1.526200709058094e-09,1.5388576266392787e-09,4.028931509367165e-10,7.279820480000593,3.6285900827227366e-10
N20000118,418.0,44.083963910525156,3.381617441796423e-10,24.500251139411365,7.465980184724008e-11,12.780698747598807,9.838745300282655e-10,1.2184934891501363e-10,5.006763777385324e-10,3.314162356318948e-10,18.63508619973901,3.7502467283005374e-10
