DZ21,population,DUP,Sinn Féin,UUP,SDLP,Alliance,TUV,Green,PBP,Aontú,Independent,Other
N20000720,389.0,52.31332857633231,1.2078625094457187,12.862677152834397,0.020704281703456007,5.974746674882626,14.734361046210307,2.380443390159415e-10,2.601560155258447e-10,2.1145108068043625e-10,0.6856106747681654,12.200709083113361
N20000721,359.0,61.56472382621815,3.2944611459432114,9.75967799685957,0.14868039382320813,8.296578483787963,14.40604965516494,2.910444124136247e-10,2.547436879263053e-10,3.06696069122216e-10,0.6833232124255048,1.846505284924977
N20000722,412.0,59.516961883672536,4.560245705697088,11.27648335582122,0.18410639334341464,9.562457155831007,10.276353720478854,2.3110675328128724e-10,2.7712052249779316e-10,2.335209911418759e-10,0.7406321183019094,3.882759666112217
N20000723,570.0,37.54575486668262,3.4868199947692116,6.890692525751771,0.27860914785327273,3.487592937059028,3.8768016031003008,2.0485446898691675e-10,3.2719745906214983e-10,2.3185401887863963e-10,1.1808550858304554,43.25287383818942
N20000724,446.0,14.23014462576902,73.87464784036372,2.013712965394138,3.912757844317411,0.46869665127139104,0.08935225390559265,3.6083901192608835e-10,1.251090043870534e-10,1.4169955336721337e-10,0.017566620072158416,5.393121198278911
N20000725,372.0,1.9182883695313901,53.457810253093804,1.7473813282640174,19.61846553445007,1.1345788060373736,0.3399719238415999,1.2196940929650436e-09,6.18159280849889e-10,5.088442779289543e-10,15.786269788575233,5.997233993859798
N20000726,536.0,42.40791093237746,6.632795718293371,13.404954898788585,0.9141972310836805,10.088131095750166,1.278399587275638,2.442525888071084e-10,5.200411710775231e-10,3.0256084860368123e-10,0.4807842272641205,24.792826308100135
N20000727,390.0,62.41710872297699,2.6870594006400927,17.875958745126937,0.19130184348967802,1.990413425795842,3.5878889780254846,2.1961276448278365e-10,2.2658039295328417e-10,2.4236141279469376e-10,0.7763442273613957,10.473924655895024
N20000728,427.0,48.669482357691436,1.6360371574337507,6.392190691478366,0.4259888318832823,13.294181888536377,7.456871626123773,6.71471696205553e-10,6.080341954308584e-10,3.9910855849332027e-10,1.5966488848678386,20.528598560306545
N20000729,359.0,32.96180042110702,11.905390546000179,3.740301027355141,0.6328476523077828,1.0287618304516186,10.468710193667834,1.1148303194288515e-10,4.6249722058885667e-10,3.6484526915734574e-10,1.198882672081123,38.0633056560905
N20000730,702.0,40.715776673745246,9.23285802053285,5.3831890301650445,1.0264501644179425,2.193706105258836,4.346237428103155,9.134652668977183e-10,4.101287048179565e-10,3.5659655251118083e-10,0.2127539482651422,36.889028627831586
N20000731,728.0,49.867207366560386,29.422627269303685,7.304215873623638,6.495556654872356,4.46046320272562,0.40902291941088625,5.191678452170816e-10,2.3216351963008175e-10,1.9086635755640887e-10,0.8948055315506052,1.1461011810106172
N20000732,516.0,18.417190374561674,59.95720733029999,7.780611503352898,2.731228394931574,4.636449037168576,0.16392139091750377,2.4148878664754855e-09,5.887311375537731e-10,5.645844220109099e-10,2.2852837673020088,4.028108197897577
