SA2011,catholic_bg_pct,proj_unity_pct,provenance
N00000510,9.0,24.4,modelled
N00000511,28.3,33.8,modelled
N00000512,25.1,31.6,modelled
N00000513,17.4,26.9,modelled
N00000514,19.0,27.2,modelled
N00000515,19.1,28.3,modelled
N00000516,12.1,23.0,modelled
N00000517,16.2,26.5,modelled
N00000518,11.6,23.7,modelled
N00000519,6.2,18.8,modelled
N00000520,2.5,17.4,modelled
N00000521,7.0,20.8,modelled
N00000522,5.3,18.8,modelled
N00000523,4.0,18.1,modelled
N00000524,6.8,20.3,modelled
N00000525,3.2,17.9,modelled
N00000526,41.2,42.6,modelled
N00000527,24.1,33.3,modelled
N00000528,32.4,36.8,modelled
N00000529,35.7,38.8,modelled
N00000530,41.8,41.6,modelled
N00000531,58.0,53.2,modelled
N00000532,55.1,50.3,modelled
N00000533,20.6,27.7,modelled
N00000534,5.5,19.2,modelled
N00000535,3.9,18.2,modelled
N00000536,9.9,22.1,modelled
N00000537,1.7,16.3,modelled
N00000538,6.3,19.2,modelled
N00000539,13.4,24.3,modelled
N00000540,1.7,16.0,modelled
N00000541,1.7,16.6,modelled
N00000542,1.5,16.6,modelled
N00000543,3.1,19.3,modelled
N00000544,8.4,21.4,modelled
N00000545,4.5,19.4,modelled
N00000546,6.1,19.6,modelled
N00000547,2.1,17.9,modelled
N00000548,6.7,21.0,modelled
N00000549,47.9,47.0,modelled
N00000550,48.7,48.2,modelled
N00000551,50.9,50.3,modelled
N00000552,60.6,54.6,modelled
N00000553,58.5,54.5,modelled
N00000554,64.0,57.4,modelled
N00000555,67.7,60.3,modelled
N00000556,57.5,53.8,modelled
N00000557,34.1,37.7,modelled
N00000558,4.1,18.3,modelled
N00000559,7.1,20.5,modelled
N00000560,1.9,16.4,modelled
N00000561,31.2,34.9,modelled
N00000562,4.1,18.9,modelled
N00000563,54.8,51.7,modelled
N00000564,62.8,55.8,modelled
N00000565,36.2,38.6,modelled
N00000566,66.6,57.9,modelled
N00000567,5.8,19.7,modelled
N00000568,0.8,17.1,modelled
N00000569,2.9,17.8,modelled
N00000570,5.3,20.1,modelled
N00000571,1.3,15.9,modelled
N00000572,10.5,22.9,modelled
N00000573,18.7,27.5,modelled
N00000574,10.3,22.9,modelled
N00000575,11.3,22.1,modelled
N00000576,94.5,75.4,modelled
N00000577,78.6,65.0,modelled
N00000578,90.5,73.0,modelled
N00000579,87.5,72.0,modelled
N00000580,9.1,21.0,modelled
N00000581,47.5,46.6,modelled
N00000582,3.2,17.5,modelled
N00000583,14.4,24.5,modelled
N00000584,11.2,22.9,modelled
N00000585,4.8,19.2,modelled
N00000586,22.0,29.1,modelled
N00000587,25.4,32.7,modelled
N00000588,5.3,18.7,modelled
N00000589,78.7,65.7,modelled
N00000590,2.2,17.1,modelled
N00000591,41.6,41.9,modelled
N00000592,13.8,24.8,modelled
N00000593,76.2,64.1,modelled
N00000594,7.5,20.3,modelled
N00000595,27.8,33.3,modelled
N00000596,8.9,21.5,modelled
N00000597,6.4,20.1,modelled
N00000598,18.8,29.3,modelled
N00000599,6.7,20.5,modelled
N00000600,8.9,21.6,modelled
N00000601,6.4,19.6,modelled
N00000602,2.3,16.1,modelled
N00000603,5.3,18.3,modelled
N00000604,2.9,17.9,modelled
N00000605,5.1,19.3,modelled
N00000606,6.0,20.4,modelled
N00000607,1.9,17.9,modelled
N00000608,10.1,22.2,modelled
N00000609,7.5,20.2,modelled
N00000610,5.7,20.0,modelled
N00000611,1.3,16.6,modelled
N00000612,6.6,20.4,modelled
N00000613,9.3,22.2,modelled
N00000614,5.5,18.9,modelled
N00000615,7.9,21.1,modelled
N00000616,6.3,20.5,modelled
N00000617,7.7,21.5,modelled
N00000618,27.7,34.9,modelled
N00000619,40.4,40.7,modelled
N00000620,35.5,38.8,modelled
N00000621,39.2,41.2,modelled
N00000622,35.6,39.6,modelled
N00000623,42.5,42.0,modelled
N00000624,4.9,18.2,modelled
N00000625,61.5,54.4,modelled
N00000626,45.9,44.5,modelled
N00000627,32.2,35.8,modelled
N00000628,25.8,31.6,modelled
N00000629,40.0,40.8,modelled
N00000630,44.9,43.6,modelled
N00000631,6.7,20.0,modelled
N00000632,13.7,25.2,modelled
N00000633,10.2,22.3,modelled
N00000634,3.0,18.2,modelled
N00000635,28.3,33.5,modelled
N00000636,12.5,23.4,modelled
N00000637,56.1,51.7,modelled
N00000638,58.3,53.4,modelled
N00000639,81.6,67.0,modelled
N00000640,76.4,65.8,modelled
N00000641,78.9,65.5,modelled
N00000642,61.4,55.1,modelled
N00000643,94.3,75.1,modelled
N00000644,94.0,74.9,modelled
N00000645,89.6,72.3,modelled
N00000646,86.6,70.9,modelled
N00000647,5.7,19.0,modelled
N00000648,10.8,23.4,modelled
N00000649,4.9,18.9,modelled
N00000650,4.2,19.2,modelled
N00000651,17.6,29.2,modelled
N00000652,16.1,26.0,modelled
N00000653,16.2,26.2,modelled
N00000654,14.9,25.2,modelled
N00000655,19.0,28.2,modelled
N00000656,16.5,25.4,modelled
N00000657,32.2,36.1,modelled
N00000658,62.4,55.0,modelled
N00000659,37.3,39.7,modelled
N00000660,31.5,35.6,modelled
N00000661,14.1,24.3,modelled
N00000662,8.2,21.6,modelled
N00000663,11.4,23.2,modelled
N00000664,7.7,20.3,modelled
N00000665,89.5,72.3,modelled
N00000666,37.1,39.2,modelled
N00000667,94.2,75.8,modelled
N00000668,95.4,75.6,modelled
N00000669,93.9,75.3,modelled
N00000670,15.8,25.6,modelled
N00000671,9.6,21.2,modelled
N00000672,34.3,37.2,modelled
