id,provider,title,proposedAction,currentProviderUrl,waybackUrl,internetArchiveStatus,sourceProvenanceDraft
medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:osni-open-data-largescale-boundaries-local-government-districts-1993:00011,Open Data NI,OSNI Open Data - Largescale Boundaries - Local Government Districts (1993),variant-child-map,https://admin.opendatani.gov.uk/dataset/osni-open-data-largescale-boundaries-local-government-districts-1993,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/osni-open-data-largescale-boundaries-local-government-districts-1993,pending-upload-or-linking,"Land & Property Services – Ordnance Survey of Northern Ireland | OSNI Open Data - Largescale Boundaries - Local Government Districts (1993) | formats: CSV, GEOJSON, KML, ZIP | current URL: https://admin.opendatani.gov.uk/dataset/osni-open-data-largescale-boundaries-local-government-districts-1993 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-national-statutory-boundaries-20191:00012,Tailte/OSI/data.gov.ie,Administrative Areas - National Statutory Boundaries - 2019,hold-special-format,https://data.gov.ie/dataset/administrative-areas-national-statutory-boundaries-20191,https://web.archive.org/web/*/https://data.gov.ie/dataset/administrative-areas-national-statutory-boundaries-20191,pending-upload-or-linking,"Tailte Éireann | Administrative Areas - National Statutory Boundaries - 2019 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/administrative-areas-national-statutory-boundaries-20191 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-national-statutory-boundaries-2019-generalised-20m1:00013,Tailte/OSI/data.gov.ie,Administrative Areas - National Statutory Boundaries - 2019 - Generalised 20m,hold-special-format,https://data.gov.ie/dataset/administrative-areas-national-statutory-boundaries-2019-generalised-20m1,https://web.archive.org/web/*/https://data.gov.ie/dataset/administrative-areas-national-statutory-boundaries-2019-generalised-20m1,pending-upload-or-linking,"Tailte Éireann | Administrative Areas - National Statutory Boundaries - 2019 - Generalised 20m | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/administrative-areas-national-statutory-boundaries-2019-generalised-20m1 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-generalised-100m-national-statutory-boundaries-20151:00014,Tailte/OSI/data.gov.ie,Administrative Areas Generalised 100m - National Statutory Boundaries - 2015,hold-special-format,https://data.gov.ie/dataset/administrative-areas-generalised-100m-national-statutory-boundaries-20151,https://web.archive.org/web/*/https://data.gov.ie/dataset/administrative-areas-generalised-100m-national-statutory-boundaries-20151,pending-upload-or-linking,"Tailte Éireann | Administrative Areas Generalised 100m - National Statutory Boundaries - 2015 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/administrative-areas-generalised-100m-national-statutory-boundaries-20151 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-generalised-20m-national-statutory-boundaries-20151:00015,Tailte/OSI/data.gov.ie,Administrative Areas Generalised 20m - National Statutory Boundaries - 2015,hold-special-format,https://data.gov.ie/dataset/administrative-areas-generalised-20m-national-statutory-boundaries-20151,https://web.archive.org/web/*/https://data.gov.ie/dataset/administrative-areas-generalised-20m-national-statutory-boundaries-20151,pending-upload-or-linking,"Tailte Éireann | Administrative Areas Generalised 20m - National Statutory Boundaries - 2015 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/administrative-areas-generalised-20m-national-statutory-boundaries-20151 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-generalised-50m-national-statutory-boundaries-20151:00016,Tailte/OSI/data.gov.ie,Administrative Areas Generalised 50m - National Statutory Boundaries - 2015,hold-special-format,https://data.gov.ie/dataset/administrative-areas-generalised-50m-national-statutory-boundaries-20151,https://web.archive.org/web/*/https://data.gov.ie/dataset/administrative-areas-generalised-50m-national-statutory-boundaries-20151,pending-upload-or-linking,"Tailte Éireann | Administrative Areas Generalised 50m - National Statutory Boundaries - 2015 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/administrative-areas-generalised-50m-national-statutory-boundaries-20151 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-ungeneralised-national-statutory-boundaries-20151:00017,Tailte/OSI/data.gov.ie,Administrative Areas Ungeneralised - National Statutory Boundaries - 2015,hold-special-format,https://data.gov.ie/dataset/administrative-areas-ungeneralised-national-statutory-boundaries-20151,https://web.archive.org/web/*/https://data.gov.ie/dataset/administrative-areas-ungeneralised-national-statutory-boundaries-20151,pending-upload-or-linking,"Tailte Éireann | Administrative Areas Ungeneralised - National Statutory Boundaries - 2015 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/administrative-areas-ungeneralised-national-statutory-boundaries-20151 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:baronies-national-placenames-gazetteer1:00018,Tailte/OSI/data.gov.ie,Baronies - National Placenames Gazetteer,hold-special-format,https://data.gov.ie/dataset/baronies-national-placenames-gazetteer1,https://web.archive.org/web/*/https://data.gov.ie/dataset/baronies-national-placenames-gazetteer1,pending-upload-or-linking,"Tailte Éireann | Baronies - National Placenames Gazetteer | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/baronies-national-placenames-gazetteer1 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:baronies-national-statutory-boundaries-20191:00019,Tailte/OSI/data.gov.ie,Baronies - National Statutory Boundaries - 2019,hold-special-format,https://data.gov.ie/dataset/baronies-national-statutory-boundaries-20191,https://web.archive.org/web/*/https://data.gov.ie/dataset/baronies-national-statutory-boundaries-20191,pending-upload-or-linking,"Tailte Éireann | Baronies - National Statutory Boundaries - 2019 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/baronies-national-statutory-boundaries-20191 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:baronies-national-statutory-boundaries-2019-generalised-20m1:00020,Tailte/OSI/data.gov.ie,Baronies - National Statutory Boundaries - 2019 - Generalised 20m,hold-special-format,https://data.gov.ie/dataset/baronies-national-statutory-boundaries-2019-generalised-20m1,https://web.archive.org/web/*/https://data.gov.ie/dataset/baronies-national-statutory-boundaries-2019-generalised-20m1,pending-upload-or-linking,"Tailte Éireann | Baronies - National Statutory Boundaries - 2019 - Generalised 20m | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/baronies-national-statutory-boundaries-2019-generalised-20m1 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:baronies-national-statutory-boundaries-ungeneralised-20241:00021,Tailte/OSI/data.gov.ie,Baronies - National Statutory Boundaries - Ungeneralised - 2024,hold-special-format,https://data.gov.ie/dataset/baronies-national-statutory-boundaries-ungeneralised-20241,https://web.archive.org/web/*/https://data.gov.ie/dataset/baronies-national-statutory-boundaries-ungeneralised-20241,pending-upload-or-linking,"Tailte Éireann | Baronies - National Statutory Boundaries - Ungeneralised - 2024 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/baronies-national-statutory-boundaries-ungeneralised-20241 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:baronies-national-statutory-boundaries-ungeneralised-2026:00022,Tailte/OSI/data.gov.ie,Baronies - National Statutory Boundaries - Ungeneralised 2026,hold-special-format,https://data.gov.ie/dataset/baronies-national-statutory-boundaries-ungeneralised-2026,https://web.archive.org/web/*/https://data.gov.ie/dataset/baronies-national-statutory-boundaries-ungeneralised-2026,pending-upload-or-linking,"Tailte Éireann | Baronies - National Statutory Boundaries - Ungeneralised 2026 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/baronies-national-statutory-boundaries-ungeneralised-2026 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:civil-parishes-urban-areas-national-statutory-boundaries-ungeneralised-20241:00023,Tailte/OSI/data.gov.ie,Civil Parishes (Urban Areas) - National Statutory Boundaries - Ungeneralised - 2024,hold-special-format,https://data.gov.ie/dataset/civil-parishes-urban-areas-national-statutory-boundaries-ungeneralised-20241,https://web.archive.org/web/*/https://data.gov.ie/dataset/civil-parishes-urban-areas-national-statutory-boundaries-ungeneralised-20241,pending-upload-or-linking,"Tailte Éireann | Civil Parishes (Urban Areas) - National Statutory Boundaries - Ungeneralised - 2024 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/civil-parishes-urban-areas-national-statutory-boundaries-ungeneralised-20241 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:civil-parishes-national-placenames-gazetteer1:00024,Tailte/OSI/data.gov.ie,Civil Parishes - National Placenames Gazetteer,hold-special-format,https://data.gov.ie/dataset/civil-parishes-national-placenames-gazetteer1,https://web.archive.org/web/*/https://data.gov.ie/dataset/civil-parishes-national-placenames-gazetteer1,pending-upload-or-linking,"Tailte Éireann | Civil Parishes - National Placenames Gazetteer | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/civil-parishes-national-placenames-gazetteer1 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:civil-parishes-national-statutory-boundaries-20191:00025,Tailte/OSI/data.gov.ie,Civil Parishes - National Statutory Boundaries - 2019,hold-special-format,https://data.gov.ie/dataset/civil-parishes-national-statutory-boundaries-20191,https://web.archive.org/web/*/https://data.gov.ie/dataset/civil-parishes-national-statutory-boundaries-20191,pending-upload-or-linking,"Tailte Éireann | Civil Parishes - National Statutory Boundaries - 2019 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/civil-parishes-national-statutory-boundaries-20191 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:civil-parishes-national-statutory-boundaries-2019-generalised-20m1:00026,Tailte/OSI/data.gov.ie,Civil Parishes - National Statutory Boundaries - 2019 - Generalised 20m,hold-special-format,https://data.gov.ie/dataset/civil-parishes-national-statutory-boundaries-2019-generalised-20m1,https://web.archive.org/web/*/https://data.gov.ie/dataset/civil-parishes-national-statutory-boundaries-2019-generalised-20m1,pending-upload-or-linking,"Tailte Éireann | Civil Parishes - National Statutory Boundaries - 2019 - Generalised 20m | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/civil-parishes-national-statutory-boundaries-2019-generalised-20m1 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:civil-parishes-national-statutory-boundaries-ungeneralised-2026:00027,Tailte/OSI/data.gov.ie,Civil Parishes -National Statutory Boundaries - Ungeneralised 2026,hold-special-format,https://data.gov.ie/dataset/civil-parishes-national-statutory-boundaries-ungeneralised-2026,https://web.archive.org/web/*/https://data.gov.ie/dataset/civil-parishes-national-statutory-boundaries-ungeneralised-2026,pending-upload-or-linking,"Tailte Éireann | Civil Parishes -National Statutory Boundaries - Ungeneralised 2026 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/civil-parishes-national-statutory-boundaries-ungeneralised-2026 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-generalised-100m-national-electoral-boundaries-20171:00028,Tailte/OSI/data.gov.ie,Constituency Boundaries - Generalised 100m - National Electoral Boundaries - 2017,new-interactive-map,https://data.gov.ie/dataset/constituency-boundaries-generalised-100m-national-electoral-boundaries-20171,https://web.archive.org/web/*/https://data.gov.ie/dataset/constituency-boundaries-generalised-100m-national-electoral-boundaries-20171,pending-upload-or-linking,"Tailte Éireann | Constituency Boundaries - Generalised 100m - National Electoral Boundaries - 2017 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/constituency-boundaries-generalised-100m-national-electoral-boundaries-20171 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-generalised-20m-national-electoral-boundaries-20171:00029,Tailte/OSI/data.gov.ie,Constituency Boundaries - Generalised 20m - National Electoral Boundaries - 2017,new-interactive-map,https://data.gov.ie/dataset/constituency-boundaries-generalised-20m-national-electoral-boundaries-20171,https://web.archive.org/web/*/https://data.gov.ie/dataset/constituency-boundaries-generalised-20m-national-electoral-boundaries-20171,pending-upload-or-linking,"Tailte Éireann | Constituency Boundaries - Generalised 20m - National Electoral Boundaries - 2017 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/constituency-boundaries-generalised-20m-national-electoral-boundaries-20171 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-national-electoral-boundaries-ungeneralised-2026:00030,Tailte/OSI/data.gov.ie,Constituency Boundaries - National Electoral Boundaries - Ungeneralised - 2026,new-interactive-map,https://data.gov.ie/dataset/constituency-boundaries-national-electoral-boundaries-ungeneralised-2026,https://web.archive.org/web/*/https://data.gov.ie/dataset/constituency-boundaries-national-electoral-boundaries-ungeneralised-2026,pending-upload-or-linking,"Tailte Éireann | Constituency Boundaries - National Electoral Boundaries - Ungeneralised - 2026 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/constituency-boundaries-national-electoral-boundaries-ungeneralised-2026 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-generalised-20m-national-electoral-boundaries-20131:00031,Tailte/OSI/data.gov.ie,Constituency Boundaries Generalised 20m - National Electoral Boundaries - 2013,new-interactive-map,https://data.gov.ie/dataset/constituency-boundaries-generalised-20m-national-electoral-boundaries-20131,https://web.archive.org/web/*/https://data.gov.ie/dataset/constituency-boundaries-generalised-20m-national-electoral-boundaries-20131,pending-upload-or-linking,"Tailte Éireann | Constituency Boundaries Generalised 20m - National Electoral Boundaries - 2013 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/constituency-boundaries-generalised-20m-national-electoral-boundaries-20131 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-generalised-50m-national-electoral-boundaries-20171:00032,Tailte/OSI/data.gov.ie,Constituency Boundaries Generalised 50m - National Electoral Boundaries - 2017,new-interactive-map,https://data.gov.ie/dataset/constituency-boundaries-generalised-50m-national-electoral-boundaries-20171,https://web.archive.org/web/*/https://data.gov.ie/dataset/constituency-boundaries-generalised-50m-national-electoral-boundaries-20171,pending-upload-or-linking,"Tailte Éireann | Constituency Boundaries Generalised 50m - National Electoral Boundaries - 2017 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/constituency-boundaries-generalised-50m-national-electoral-boundaries-20171 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-ungeneralised-national-electoral-boundaries-20131:00033,Tailte/OSI/data.gov.ie,Constituency Boundaries Ungeneralised - National Electoral Boundaries - 2013,new-interactive-map,https://data.gov.ie/dataset/constituency-boundaries-ungeneralised-national-electoral-boundaries-20131,https://web.archive.org/web/*/https://data.gov.ie/dataset/constituency-boundaries-ungeneralised-national-electoral-boundaries-20131,pending-upload-or-linking,"Tailte Éireann | Constituency Boundaries Ungeneralised - National Electoral Boundaries - 2013 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/constituency-boundaries-ungeneralised-national-electoral-boundaries-20131 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-ungeneralised-national-electoral-boundaries-20171:00034,Tailte/OSI/data.gov.ie,Constituency Boundaries Ungeneralised - National Electoral Boundaries - 2017,new-interactive-map,https://data.gov.ie/dataset/constituency-boundaries-ungeneralised-national-electoral-boundaries-20171,https://web.archive.org/web/*/https://data.gov.ie/dataset/constituency-boundaries-ungeneralised-national-electoral-boundaries-20171,pending-upload-or-linking,"Tailte Éireann | Constituency Boundaries Ungeneralised - National Electoral Boundaries - 2017 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/constituency-boundaries-ungeneralised-national-electoral-boundaries-20171 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-ungeneralised-national-electoral-boundaries-20231:00035,Tailte/OSI/data.gov.ie,Constituency Boundaries Ungeneralised - National Electoral Boundaries - 2023,new-interactive-map,https://data.gov.ie/dataset/constituency-boundaries-ungeneralised-national-electoral-boundaries-20231,https://web.archive.org/web/*/https://data.gov.ie/dataset/constituency-boundaries-ungeneralised-national-electoral-boundaries-20231,pending-upload-or-linking,"Tailte Éireann | Constituency Boundaries Ungeneralised - National Electoral Boundaries - 2023 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/constituency-boundaries-ungeneralised-national-electoral-boundaries-20231 | IA mirror/download link pending; do not expose local drive paths."
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:cso-electoral-divisions-national-statistical-boundaries-2022-generalised-100m1:00036,Tailte/OSI/data.gov.ie,CSO Electoral Divisions - National Statistical Boundaries - 2022 - Generalised 100m,hold-special-format,https://data.gov.ie/dataset/cso-electoral-divisions-national-statistical-boundaries-2022-generalised-100m1,https://web.archive.org/web/*/https://data.gov.ie/dataset/cso-electoral-divisions-national-statistical-boundaries-2022-generalised-100m1,pending-upload-or-linking,"Tailte Éireann | CSO Electoral Divisions - National Statistical Boundaries - 2022 - Generalised 100m | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/cso-electoral-divisions-national-statistical-boundaries-2022-generalised-100m1 | IA mirror/download link pending; do not expose local drive paths."
