DZ2021_cd,OA_CODE_dominant,OA_CODE_point
N20000098,95WW030005,95WW030005
N20000099,95WW130007,95WW130007
N20000100,95WW060006,95WW060006
N20000101,95WW030011,95WW030011
N20000102,95WW030003,95WW030005
N20000103,95WW020004,95WW020004
N20000104,95WW020005,95WW020005
N20000105,95WW020007,95WW020007
N20000106,95WW030007,95WW030007
N20000107,95WW030008,95WW030008
N20000108,95WW030006,95WW030004
N20000109,95WW020006,95WW020006
N20000110,95WW020006,95WW020006
N20000111,95WW070003,95WW070003
N20000112,95WW030006,95WW030009
N20000113,95WW070002,95WW070006
N20000114,95WW070005,95WW070007
N20000115,95WW070007,95WW070007
N20000116,95WW130002,95WW130002
N20000117,95WW130001,95WW130001
N20000118,95WW130003,95WW130003
N20000119,95WW130004,95WW130004
N20000120,95WW070008,95WW070009
N20000121,95WW060007,95WW060007
N20000122,95WW070009,95WW070009
N20000123,95WW070009,95WW070009
N20000124,95WW070001,95WW070001
N20000125,95WW060001,95WW060001
N20000126,95WW190002,95WW190002
N20000127,95WW220005,95WW220005
N20000128,95WW190005,95WW190002
N20000129,95WW220002,95WW220002
N20000130,95WW220005,95WW220004
N20000131,95WW220006,95WW220004
N20000132,95WW190006,95WW190006
N20000133,95WW190008,95WW190005
N20000134,95WW190007,95WW190007
N20000135,95WW220001,95WW170002
N20000136,95WW170004,95WW170001
N20000137,95WW190012,95WW190012
N20000138,95WW190014,95WW190014
N20000139,95WW170003,95WW170003
N20000140,95HH080005,95HH080005
N20000141,95WW220002,95WW220002
N20000142,95WW170007,95WW170002
N20000143,95WW190010,95WW190010
N20000144,95WW220008,95WW220008
N20000145,95WW170008,95WW170005
N20000146,95WW210010,95WW210003
N20000147,95WW170008,95WW170006
N20000148,95WW040006,95WW040006
N20000149,95WW190001,95WW190001
N20000150,95WW210004,95WW210004
N20000151,95WW040007,95WW040007
N20000152,95WW230003,95WW230003
N20000153,95WW210002,95WW210001
N20000154,95WW040004,95WW040004
N20000155,95WW210006,95WW210006
N20000156,95WW040005,95WW040005
N20000157,95WW090006,95WW040003
N20000158,95WW230010,95WW230002
N20000159,95WW210005,95WW210005
N20000160,95WW190001,95WW190001
N20000161,95WW210002,95WW210006
N20000162,95WW230003,95WW230001
N20000163,95WW210007,95WW210007
N20000164,95WW100004,95WW100004
N20000165,95WW100002,95WW100002
N20000166,95WW230004,95WW230004
N20000167,95WW230007,95WW230007
N20000168,95WW100005,95WW100005
N20000169,95WW230007,95WW230006
N20000170,95WW100006,95WW100007
N20000171,95WW210009,95WW210009
N20000172,95WW230008,95WW230008
N20000173,95WW100001,95WW100001
N20000174,95WW100009,95WW100009
N20000175,95WW010005,95WW010008
N20000176,95WW100008,95WW100008
N20000177,95WW230009,95WW230008
N20000178,95WW010010,95WW010009
N20000179,95WW010007,95WW010007
N20000180,95WW100001,95WW100001
N20000181,95WW120001,95WW120003
N20000182,95WW140008,95WW140008
N20000183,95WW120004,95WW120004
N20000184,95WW120005,95WW120005
N20000185,95WW010007,95WW010007
N20000186,95WW010001,95WW010001
N20000187,95WW120006,95WW120008
N20000188,95WW010001,95WW010001
N20000189,95WW140002,95WW140003
N20000190,95WW140004,95WW140004
N20000191,95WW010001,95WW010001
N20000192,95WW140004,95WW140004
N20000193,95WW250005,95WW250005
N20000194,95WW250009,95WW250009
N20000195,95WW140006,95WW140006
N20000196,95WW140003,95WW140003
N20000197,95WW250007,95WW250007
N20000198,95WW010001,95WW010001
N20000199,95WW240003,95WW240003
N20000200,95WW250010,95WW250010
N20000201,95WW240002,95WW240002
N20000202,95WW250002,95WW250002
N20000203,95WW240004,95WW240004
N20000204,95WW240005,95WW240005
N20000205,95WW250003,95WW240006
N20000206,95WW010003,95WW010003
N20000207,95WW240008,95WW240008
N20000208,95WW010003,95WW010003
N20000209,95WW240009,95WW240009
N20000210,95WW240011,95WW240011
N20000211,95WW200010,95WW200010
N20000212,95WW090009,95WW090009
N20000213,95WW090004,95WW090009
N20000214,95WW090004,95WW040002
N20000215,95WW200013,95WW200013
N20000216,95WW090005,95WW090005
N20000217,95WW200012,95WW200012
N20000218,95WW080001,95WW080001
N20000219,95WW200001,95WW200013
N20000220,95WW080006,95WW080006
N20000221,95WW080008,95WW080008
N20000222,95WW050005,95WW050005
N20000223,95WW080002,95WW080002
N20000224,95WW090008,95WW090008
N20000225,95WW050008,95WW050008
N20000226,95WW080004,95WW080004
N20000227,95WW050009,95WW050010
N20000228,95WW050002,95WW050008
N20000229,95WW160001,95WW160001
N20000230,95WW160007,95WW160007
N20000231,95WW150009,95WW150001
N20000232,95WW050010,95WW050010
N20000233,95WW160008,95WW160008
N20000234,95WW050003,95WW050003
N20000235,95WW050002,95WW050002
N20000236,95WW050001,95WW050001
N20000237,95WW180001,95WW180001
N20000238,95WW150002,95WW150002
N20000239,95WW180007,95WW180007
N20000240,95WW160003,95WW160003
N20000241,95WW180002,95WW180002
N20000242,95WW180003,95WW180001
N20000243,95WW160004,95WW160004
N20000244,95WW150004,95WW150004
N20000245,95WW160005,95WW160005
N20000246,95WW110005,95WW110005
N20000247,95WW180004,95WW180004
N20000248,95WW200008,95WW200008
N20000249,95WW110006,95WW110006
N20000250,95WW150007,95WW150007
N20000251,95WW200008,95WW200009
N20000252,95WW110002,95WW110007
N20000253,95WW110008,95WW110008
N20000254,95WW110001,95WW110001
N20000255,95WW110002,95WW110002
N20000256,95WW110004,95WW110004
N20000257,95AA180001,95AA180001
N20000258,95AA180005,95AA180007
N20000259,95AA180001,95AA180006
N20000260,95AA180002,95AA180002
N20000261,95AA040006,95AA180003
N20000262,95WW200010,95WW200010
N20000263,95AA010006,95AA010006
N20000264,95AA010008,95AA010008
N20000265,95WW200005,95WW200005
N20000266,95WW200004,95WW200004
N20000267,95WW200002,95WW200002
N20000268,95AA010004,95AA010004
N20000269,95WW200005,95WW200005
N20000270,95WW200008,95WW200008
N20000271,95WW200003,95WW200003
N20000272,95WW200003,95WW200003
N20000273,95WW200008,95WW200008
N20000274,95AA010006,95AA040001
N20000275,95WW200003,95WW200003
N20000276,95WW200003,95WW200003
N20000277,95WW200008,95WW200008
N20000278,95AA040007,95AA040007
N20000279,95AA010011,95AA010011
N20000280,95AA040002,95AA040001
N20000281,95AA010002,95AA010002
N20000282,95AA010003,95AA010003
N20000283,95AA010001,95AA010001
N20000284,95AA060008,95AA060008
N20000285,95AA040007,95AA040004
N20000286,95AA040005,95AA040005
N20000287,95AA060008,95AA060007
N20000288,95AA060011,95AA060002
N20000289,95AA060001,95AA060001
N20000290,95AA060007,95AA060007
N20000291,95AA060005,95AA060005
N20000292,95AA060003,95AA060003
N20000293,95AA060004,95AA060004
N20000294,95AA060006,95AA060006
N20000295,95CC050004,95CC050004
N20000296,95CC050006,95CC050006
N20000297,95CC050001,95CC050001
N20000298,95CC050003,95CC050003
N20000299,95CC020005,95CC020002
N20000300,95CC020003,95CC020003
N20000301,95CC020001,95CC020002
N20000302,95CC020004,95CC020004
N20000303,95CC010001,95CC010001
N20000304,95CC180005,95CC180005
N20000305,95CC020005,95CC020005
N20000306,95CC180001,95CC180004
N20000307,95CC180003,95CC180003
N20000308,95CC180006,95CC180006
N20000309,95CC010004,95CC010005
N20000310,95CC020006,95CC020006
N20000311,95CC180004,95CC180004
N20000312,95CC010006,95CC010006
N20000313,95CC180006,95CC180007
N20000314,95CC220004,95CC220004
N20000315,95CC220005,95CC220005
N20000316,95CC030003,95CC030003
N20000317,95CC030003,95CC030003
N20000318,95CC030006,95CC030006
N20000319,95CC030005,95CC030005
N20000320,95CC030005,95CC030005
N20000321,95CC030007,95CC080001
N20000322,95CC030001,95CC030001
N20000323,95CC080002,95CC080002
N20000324,95CC220003,95CC220003
N20000325,95CC060004,95CC060004
N20000326,95CC220002,95CC220002
N20000327,95CC080004,95CC080004
N20000328,95CC060005,95CC060006
N20000329,95CC080003,95CC080005
N20000330,95CC080006,95CC080006
N20000331,95CC060005,95CC060005
N20000332,95CC060008,95CC060008
N20000333,95CC060007,95CC060007
N20000334,95CC060003,95CC060003
N20000335,95CC170001,95CC170001
N20000336,95CC060003,95CC060003
N20000337,95CC060002,95CC060002
N20000338,95CC170003,95CC170003
N20000339,95CC170001,95CC170001
N20000340,95CC130004,95CC130002
N20000341,95CC170003,95CC170003
N20000342,95CC130001,95CC130001
N20000343,95CC170002,95CC170002
N20000344,95CC130006,95CC130006
N20000345,95CC170004,95CC170004
N20000346,95CC130002,95CC130003
N20000347,95CC130003,95CC130003
N20000348,95CC110004,95CC110004
N20000349,95CC110005,95CC110004
N20000350,95CC070007,95CC070002
N20000351,95CC070006,95CC110003
N20000352,95CC110003,95CC110003
N20000353,95CC070003,95CC070003
N20000354,95CC070001,95CC070001
N20000355,95CC070005,95CC070005
N20000356,95LL240005,95LL240005
N20000357,95OO170004,95OO170004
N20000358,95LL240007,95LL240007
N20000359,95LL240007,95LL240007
N20000360,95LL240008,95LL240008
N20000361,95OO190003,95OO190003
N20000362,95OO170002,95OO170002
N20000363,95CC150005,95LL240002
N20000364,95LL040001,95LL240001
N20000365,95LL240001,95LL040002
N20000366,95LL240004,95LL240004
N20000367,95CC150001,95CC150006
N20000368,95LL240003,95LL240003
N20000369,95CC050005,95CC050005
N20000370,95LL040002,95LL040002
N20000371,95LL040004,95LL040004
N20000372,95LL040001,95LL040007
N20000373,95LL040002,95LL040002
N20000374,95LL040007,95LL040007
N20000375,95LL080008,95LL080008
N20000376,95LL080007,95LL080007
N20000377,95LL150008,95LL150008
N20000378,95LL080009,95LL080009
N20000379,95LL080003,95LL080003
N20000380,95LL040007,95LL040007
N20000381,95LL080001,95LL080001
N20000382,95LL080002,95LL080002
N20000383,95LL240004,95LL240004
N20000384,95LL150010,95LL150010
N20000385,95LL030001,95LL030001
N20000386,95LL080004,95LL080004
N20000387,95LL080005,95LL080005
N20000388,95LL030006,95LL030006
N20000389,95LL030003,95LL030008
N20000390,95LL030003,95LL030003
N20000391,95LL230004,95LL230004
N20000392,95LL150002,95LL150002
N20000393,95LL020001,95LL020001
N20000394,95LL030006,95LL030006
N20000395,95LL020001,95LL020001
N20000396,95LL230005,95LL230005
N20000397,95LL150004,95LL150004
N20000398,95LL020002,95LL020002
N20000399,95LL230004,95LL230004
N20000400,95LL020003,95LL020003
N20000401,95CC150002,95CC150002
N20000402,95LL030005,95LL030005
N20000403,95LL020008,95LL020005
N20000404,95LL230008,95LL230002
N20000405,95LL230008,95LL230008
N20000406,95LL060002,95LL060002
N20000407,95LL060007,95LL060007
N20000408,95CC150004,95CC150004
N20000409,95LL060004,95LL060004
N20000410,95LL060003,95LL060003
N20000411,95LL020007,95LL020007
N20000412,95LL060008,95LL060006
N20000413,95LL060009,95LL060011
N20000414,95LL020009,95LL060011
N20000415,95LL020009,95LL020009
N20000416,95CC100003,95CC100003
N20000417,95LL060009,95LL060009
N20000418,95CC100002,95CC100002
N20000419,95LL060009,95LL060009
N20000420,95LL020010,95LL020010
N20000421,95LL100011,95LL100011
N20000422,95LL100004,95LL100010
N20000423,95LL100005,95LL100005
N20000424,95LL100006,95LL100002
N20000425,95LL100007,95LL100007
N20000426,95LL100003,95LL100003
N20000427,95LL100003,95LL100003
N20000428,95LL100003,95LL100003
N20000429,95LL220001,95LL220001
N20000430,95LL160006,95LL160006
N20000431,95LL120004,95LL120004
N20000432,95LL120003,95LL120005
N20000433,95LL130001,95LL130001
N20000434,95LL130002,95LL130002
N20000435,95LL130004,95LL130004
N20000436,95LL160010,95LL160010
N20000437,95LL130007,95LL130007
N20000438,95LL160009,95LL160009
N20000439,95LL120007,95LL120007
N20000440,95LL160007,95LL160007
N20000441,95LL160003,95LL160003
N20000442,95LL120008,95LL120008
N20000443,95LL160010,95LL160010
N20000444,95LL160010,95LL160010
N20000445,95LL120008,95LL120008
N20000446,95LL160008,95LL160008
N20000447,95LL160010,95LL160010
N20000448,95LL120009,95LL120009
N20000449,95LL120001,95LL120001
N20000450,95LL160011,95LL160011
N20000451,95LL160004,95LL160004
N20000452,95LL120009,95LL120009
N20000453,95LL120002,95LL120002
N20000454,95LL120002,95LL120002
N20000455,95LL160010,95LL160003
N20000456,95LL160002,95LL160002
N20000457,95LL160003,95LL160003
N20000458,95LL160003,95LL160003
N20000459,95LL160001,95LL160001
N20000460,95LL170007,95LL170007
N20000461,95LL160003,95LL160003
N20000462,95LL160005,95LL160005
N20000463,95LL170007,95LL170009
N20000464,95LL160005,95LL160003
N20000465,95LL050001,95LL050008
N20000466,95LL170003,95LL170003
N20000467,95LL050001,95LL050001
N20000468,95LL170004,95LL170004
N20000469,95LL160003,95LL160003
N20000470,95LL050010,95LL050010
N20000471,95LL050010,95LL050010
N20000472,95LL050010,95LL150006
N20000473,95LL050009,95LL050009
N20000474,95LL050005,95LL050009
N20000475,95LL050003,95LL050003
N20000476,95LL010007,95LL010007
N20000477,95LL010008,95LL010008
N20000478,95LL010009,95LL010009
N20000479,95LL010001,95LL010001
N20000480,95LL010003,95LL010003
N20000481,95LL010002,95LL010002
N20000482,95LL010004,95LL010004
N20000483,95LL010005,95LL010005
N20000484,95LL010005,95LL010006
N20000485,95LL010005,95LL010005
N20000486,95LL190007,95LL190007
N20000487,95LL260006,95LL260006
N20000488,95LL190007,95LL190007
N20000489,95LL140002,95LL140002
N20000490,95LL140006,95LL140004
N20000491,95LL140005,95LL140005
N20000492,95LL260009,95LL260009
N20000493,95LL260005,95LL260007
N20000494,95LL140008,95LL140007
N20000495,95LL210009,95LL210009
N20000496,95LL100007,95LL100007
N20000497,95LL100007,95LL100007
N20000498,95LL260010,95LL260010
N20000499,95LL210009,95LL210009
N20000500,95LL260008,95LL260008
N20000501,95LL190008,95LL190008
N20000502,95LL190011,95LL190011
N20000503,95LL210009,95LL210009
N20000504,95LL260004,95LL260004
N20000505,95LL260001,95LL260003
N20000506,95LL260002,95LL260002
N20000507,95LL190011,95LL190011
N20000508,95LL090007,95LL090009
N20000509,95LL090005,95LL090005
N20000510,95LL190003,95LL190003
N20000511,95LL090006,95LL090006
N20000512,95LL210001,95LL210001
N20000513,95LL190011,95LL190011
N20000514,95LL210004,95LL210004
N20000515,95LL210002,95LL210002
N20000516,95LL090010,95LL090010
N20000517,95LL190006,95LL190006
N20000518,95LL190001,95LL190001
N20000519,95LL210004,95LL210002
N20000520,95LL190002,95LL190003
N20000521,95LL190011,95LL190011
N20000522,95LL090011,95LL090011
N20000523,95LL210004,95LL210007
N20000524,95LL090012,95LL090002
N20000525,95LL090003,95LL090003
N20000526,95LL210003,95LL210003
N20000527,95LL070005,95LL070004
N20000528,95LL220007,95LL220007
N20000529,95LL210006,95LL210006
N20000530,95LL220001,95LL220001
N20000531,95LL190002,95LL190002
N20000532,95LL220006,95LL200008
N20000533,95LL210008,95LL210008
N20000534,95LL070005,95LL070005
N20000535,95LL220001,95LL220001
N20000536,95LL090004,95LL200008
N20000537,95LL180008,95LL180009
N20000538,95LL220001,95LL220001
N20000539,95LL070007,95LL070001
N20000540,95LL070008,95LL070008
N20000541,95LL200007,95LL200007
N20000542,95LL180006,95LL180006
N20000543,95LL120003,95LL120003
N20000544,95LL200004,95LL200004
N20000545,95LL180004,95LL180004
N20000546,95LL200006,95LL200006
N20000547,95LL180002,95LL180002
N20000548,95LL200005,95LL200005
N20000549,95LL180003,95LL180003
N20000550,95LL200006,95LL200006
N20000551,95LL110004,95LL110004
N20000552,95LL250003,95LL250003
N20000553,95LL250002,95LL250002
N20000554,95LL250006,95LL250005
N20000555,95LL250007,95LL250007
N20000556,95LL250004,95LL250004
N20000557,95LL250009,95LL250007
N20000558,95LL250005,95LL250009
N20000559,95LL110005,95LL110005
N20000560,95FF140001,95FF140001
N20000561,95LL250001,95LL250001
N20000562,95LL110004,95FF140002
N20000563,95FF140001,95FF050001
N20000564,95LL110005,95LL110005
N20000565,95FF050005,95FF050005
N20000566,95FF050003,95FF050003
N20000567,95LL110001,95LL110008
N20000568,95FF050001,95FF050005
N20000569,95LL110003,95LL250002
N20000570,95FF050006,95FF050006
N20000571,95FF050008,95FF050005
N20000572,95LL110002,95LL110002
N20000573,95FF050006,95FF060006
N20000574,95FF060005,95FF060005
N20000575,95FF060004,95FF060004
N20000576,95FF060010,95FF060010
N20000577,95FF060002,95FF060002
N20000578,95FF060003,95FF060003
N20000579,95FF140002,95FF140002
N20000580,95LL110003,95LL110002
N20000581,95LL110001,95LL110001
N20000582,95FF100004,95FF100004
N20000583,95FF060001,95FF100004
N20000584,95FF100003,95FF100003
N20000585,95FF140006,95FF120004
N20000586,95FF140006,95FF140005
N20000587,95FF100001,95FF100001
N20000588,95FF140005,95FF140005
N20000589,95FF100007,95FF100001
N20000590,95FF100003,95FF100007
N20000591,95FF100002,95FF110006
N20000592,95FF110006,95FF110006
N20000593,95FF110002,95FF110002
N20000594,95LL050005,95LL050005
N20000595,95FF090004,95FF090002
N20000596,95FF120006,95FF120006
N20000597,95FF120001,95FF120001
N20000598,95FF090005,95FF090005
N20000599,95FF120004,95FF120001
N20000600,95FF090002,95FF090007
N20000601,95FF090004,95FF090004
N20000602,95FF090002,95FF090002
N20000603,95FF160001,95FF160001
N20000604,95FF160002,95FF160004
N20000605,95FF120002,95FF120005
N20000606,95FF120005,95FF120005
N20000607,95FF160004,95FF120002
N20000608,95FF160003,95FF160003
N20000609,95FF010010,95FF010010
N20000610,95FF160007,95FF160007
N20000611,95FF070003,95FF070003
N20000612,95FF170003,95FF170003
N20000613,95FF010001,95FF010001
N20000614,95FF040001,95FF040001
N20000615,95FF120002,95FF120002
N20000616,95FF070008,95FF070004
N20000617,95FF010001,95FF010001
N20000618,95FF170006,95FF170006
N20000619,95FF070001,95FF070001
N20000620,95FF170006,95FF170004
N20000621,95FF070007,95FF070007
N20000622,95FF030005,95FF030005
N20000623,95FF010003,95FF010003
N20000624,95FF080007,95FF080007
N20000625,95FF030006,95FF030006
N20000626,95FF010004,95FF010004
N20000627,95FF030007,95FF030007
N20000628,95FF010002,95FF010002
N20000629,95FF090001,95FF090001
N20000630,95FF080002,95FF080002
N20000631,95FF170001,95FF170001
N20000632,95FF030008,95FF030008
N20000633,95FF010005,95FF010005
N20000634,95FF080004,95FF080004
N20000635,95FF010007,95FF010007
N20000636,95FF030003,95FF030003
N20000637,95FF010005,95FF080001
N20000638,95FF080003,95FF080003
N20000639,95FF030004,95FF030004
N20000640,95FF080005,95FF080005
N20000641,95FF010005,95FF010005
N20000642,95FF130001,95FF130001
N20000643,95FF010008,95FF010008
N20000644,95FF130006,95FF130006
N20000645,95FF040002,95FF040002
N20000646,95FF130003,95FF130003
N20000647,95FF130002,95FF130002
N20000648,95FF040003,95FF040003
N20000649,95FF130005,95FF130005
N20000650,95FF110003,95FF020005
N20000651,95FF110002,95FF110002
N20000652,95FF130002,95FF130002
N20000653,95FF040005,95FF040005
N20000654,95CC190003,95CC190003
N20000655,95FF110003,95FF110003
N20000656,95FF110004,95FF110004
N20000657,95FF110005,95FF110005
N20000658,95FF110005,95FF110004
N20000659,95FF150002,95FF150001
N20000660,95FF150004,95FF150003
N20000661,95FF150005,95FF150005
N20000662,95FF150002,95FF150007
N20000663,95FF150007,95FF150007
N20000664,95CC100005,95CC100006
N20000665,95CC100005,95CC100005
N20000666,95CC200008,95CC200008
N20000667,95CC140004,95CC140004
N20000668,95CC200009,95CC200009
N20000669,95CC200007,95CC200001
N20000670,95CC140004,95CC140004
N20000671,95CC200002,95CC200002
N20000672,95CC210005,95CC210005
N20000673,95CC200004,95CC200005
N20000674,95CC100002,95CC100002
N20000675,95CC140006,95CC140006
N20000676,95CC090007,95CC090007
N20000677,95CC200005,95CC200005
N20000678,95CC140001,95CC210006
N20000679,95CC210007,95CC210007
N20000680,95CC140007,95CC140007
N20000681,95CC090002,95CC200005
N20000682,95CC210001,95CC210001
N20000683,95CC210002,95CC210002
N20000684,95CC210008,95CC210008
N20000685,95CC140002,95CC140002
N20000686,95CC210003,95CC210003
N20000687,95CC090004,95CC090004
N20000688,95CC120007,95CC120007
N20000689,95CC090006,95CC090006
N20000690,95CC090006,95CC090006
N20000691,95CC090005,95CC090005
N20000692,95CC190004,95CC190002
N20000693,95CC120004,95CC120007
N20000694,95CC190001,95CC190001
N20000695,95CC160007,95CC160007
N20000696,95CC160004,95CC160004
N20000697,95CC160005,95CC160005
N20000698,95CC160006,95CC160003
N20000699,95CC120001,95CC120001
N20000700,95CC160007,95CC160007
N20000701,95CC040003,95CC040003
N20000702,95CC120002,95CC120002
N20000703,95CC160001,95CC160001
N20000704,95CC190004,95CC190004
N20000705,95CC040002,95CC040002
N20000706,95CC040004,95CC040004
N20000707,95CC040001,95CC040001
N20000708,95CC160002,95CC160002
N20000709,95CC040005,95CC040005
N20000710,95CC040005,95CC040005
N20000711,95GG320004,95GG320004
N20000712,95GG320006,95GG320006
N20000713,95GG320004,95GG320004
N20000714,95GG060020,95GG060020
N20000715,95GG320006,95GG320006
N20000716,95GG060005,95GG060005
N20000717,95GG060006,95GG060006
N20000718,95GG060008,95GG060008
N20000719,95GG320009,95GG320008
N20000720,95GG060004,95GG060004
N20000721,95GG320007,95GG320007
N20000722,95GG060013,95GG060013
N20000723,95GG060016,95GG060010
N20000724,95GG320006,95GG320006
N20000725,95GG320009,95GG320009
N20000726,95GG170013,95GG170013
N20000727,95GG060015,95GG060015
N20000728,95GG320010,95GG320010
N20000729,95GG060018,95GG060018
N20000730,95GG060019,95GG060019
N20000731,95GG320012,95GG320012
N20000732,95GG170007,95GG170007
N20000733,95GG170001,95GG170001
N20000734,95GG470017,95GG470017
N20000735,95GG170007,95GG170007
N20000736,95GG320016,95GG320016
N20000737,95GG320015,95GG320015
N20000738,95GG470017,95GG470017
N20000739,95GG170008,95GG170008
N20000740,95GG170004,95GG170004
N20000741,95GG170003,95GG170012
N20000742,95GG320017,95GG320017
N20000743,95GG020017,95GG170008
N20000744,95GG170009,95GG170009
N20000745,95GG470003,95GG470003
N20000746,95GG170006,95GG170006
N20000747,95GG470003,95GG470003
N20000748,95GG020018,95GG020018
N20000749,95GG170006,95GG170006
N20000750,95GG470005,95GG470005
N20000751,95GG020008,95GG020008
N20000752,95GG020020,95GG020020
N20000753,95GG020019,95GG020019
N20000754,95GG470004,95GG470005
N20000755,95GG020006,95GG020006
N20000756,95GG320003,95GG020005
N20000757,95GG470008,95GG470008
N20000758,95GG020007,95GG020007
N20000759,95GG470010,95GG470010
N20000760,95GG020011,95GG020012
N20000761,95GG470007,95GG470007
N20000762,95GG020015,95GG020015
N20000763,95GG190007,95GG190007
N20000764,95GG470011,95GG470011
N20000765,95GG020009,95GG020009
N20000766,95GG350007,95GG350007
N20000767,95GG190008,95GG190008
N20000768,95GG020009,95GG020001
N20000769,95GG350006,95GG350006
N20000770,95GG190014,95GG190014
N20000771,95GG350009,95GG350010
N20000772,95GG470011,95GG470011
N20000773,95GG350013,95GG350013
N20000774,95GG470014,95GG470014
N20000775,95GG470015,95GG470012
N20000776,95GG190009,95GG190009
N20000777,95GG350010,95GG350010
N20000778,95GG350015,95GG350015
N20000779,95GG350014,95GG350012
N20000780,95GG350014,95GG350014
N20000781,95GG350001,95GG350001
N20000782,95GG350016,95GG350016
N20000783,95GG470015,95GG350016
N20000784,95GG350003,95GG350003
N20000785,95GG350005,95GG350005
N20000786,95GG350004,95GG350004
N20000787,95GG080012,95GG080012
N20000788,95GG080015,95GG080015
N20000789,95GG080015,95GG080015
N20000790,95GG080005,95GG080002
N20000791,95GG080008,95GG080002
N20000792,95GG080003,95GG080003
N20000793,95GG080006,95GG080006
N20000794,95GG080010,95GG080009
N20000795,95GG080001,95GG080001
N20000796,95GG140008,95GG140008
N20000797,95GG130010,95GG130012
N20000798,95GG130011,95GG130011
N20000799,95GG130010,95GG130010
N20000800,95GG130016,95GG130016
N20000801,95GG130002,95GG130002
N20000802,95GG140013,95GG140013
N20000803,95GG130001,95GG130001
N20000804,95GG130003,95GG130003
N20000805,95GG140015,95GG140015
N20000806,95GG140008,95GG140008
N20000807,95GG140014,95GG140014
N20000808,95GG140001,95GG140001
N20000809,95GG140003,95GG140003
N20000810,95GG130006,95GG130006
N20000811,95GG130005,95GG130007
N20000812,95GG240015,95GG240015
N20000813,95GG130008,95GG130008
N20000814,95GG140004,95GG140004
N20000815,95GG160005,95GG160005
N20000816,95GG140005,95GG140005
N20000817,95GG240014,95GG240003
N20000818,95GG160004,95GG160004
N20000819,95GG060003,95GG060003
N20000820,95GG060001,95GG060007
