SA2011,SOA2011,dea_1972,dea_1984,dea_1993,dea_2012
N00001114,95GG18S2,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N00001108,95GG18S1,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N00001115,95GG18S2,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N00000931,95GG07S2,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N00000932,95GG07S2,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N00000933,95GG07S2,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N00000939,95GG07S3,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N00000940,95GG07S3,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N00001568,95GG48S1,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N00000926,95GG07S1,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N00000928,95GG07S1,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N00000929,95GG07S1,BELFAST AREA D,UPPER FALLS,LOWER FALLS,Black Mountain
N00000930,95GG07S1,BELFAST AREA D,UPPER FALLS,LOWER FALLS,Black Mountain
N00000927,95GG07S1,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N00000935,95GG07S2,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N00000934,95GG07S2,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Black Mountain
N00001147,95GG21S1,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N00000986,95GG10S2,BELFAST AREA F,BALMORAL,BALMORAL,Botanic
N00000989,95GG10S2,BELFAST AREA F,BALMORAL,BALMORAL,Botanic
N00000990,95GG10S2,BELFAST AREA F,BALMORAL,BALMORAL,Botanic
N00000988,95GG10S2,BELFAST AREA F,BALMORAL,BALMORAL,Botanic
N00000987,95GG10S2,BELFAST AREA F,BALMORAL,BALMORAL,Botanic
N00000985,95GG10S2,BELFAST AREA F,BALMORAL,BALMORAL,Botanic
N00000983,95GG10S2,BELFAST AREA F,BALMORAL,BALMORAL,Botanic
N00001148,95GG21S1,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N00001116,95GG18S2,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N00001145,95GG21S1,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N00001146,95GG21S1,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N00001153,95GG21S2,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N00001151,95GG21S2,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N00001436,95GG40S1,BELFAST AREA G,COURT,COURT,Court
N00001435,95GG40S1,BELFAST AREA G,COURT,COURT,Court
N00001113,95GG18S2,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N00001106,95GG18S1,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N00001111,95GG18S1,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N00001112,95GG18S1,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N00001107,95GG18S1,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N00000936,95GG07S3,BELFAST AREA D,LOWER FALLS,LOWER FALLS,Court
N00001109,95GG18S1,BELFAST AREA E,LOWER FALLS,LOWER FALLS,Court
N00001110,95GG18S1,BELFAST AREA F,LOWER FALLS,LOWER FALLS,Court
N00001433,95GG40S1,BELFAST AREA E,COURT,COURT,Court
N00001623,95GG51S1,BELFAST AREA E,COURT,COURT,Court
N00001626,95GG51S1,BELFAST AREA E,COURT,COURT,Court
N00001627,95GG51S1,BELFAST AREA E,COURT,COURT,Court
N00001628,95GG51S1,BELFAST AREA E,COURT,COURT,Court
N00001625,95GG51S1,BELFAST AREA E,COURT,COURT,Court
N00001634,95GG51S2,BELFAST AREA E,COURT,COURT,Court
N00001624,95GG51S1,BELFAST AREA E,COURT,COURT,Court
N00001122,95GG19S1,BELFAST AREA E,COURT,COURT,Court
N00001118,95GG19S1,BELFAST AREA G,COURT,COURT,Court
N00001432,95GG40S1,BELFAST AREA G,COURT,COURT,Court
N00001431,95GG40S1,BELFAST AREA G,COURT,COURT,Court
N00001434,95GG40S1,BELFAST AREA G,COURT,COURT,Court
N00001119,95GG19S1,BELFAST AREA G,COURT,COURT,Court
N00001123,95GG19S1,BELFAST AREA G,COURT,COURT,Court
N00001120,95GG19S1,BELFAST AREA G,COURT,COURT,Court
N00001117,95GG19S1,BELFAST AREA G,COURT,COURT,Court
N00001121,95GG19S1,BELFAST AREA G,COURT,COURT,Court
N00001124,95GG19S2,BELFAST AREA G,COURT,COURT,Court
N00001125,95GG19S2,BELFAST AREA G,COURT,COURT,Court
N00001129,95GG19S2,BELFAST AREA E,COURT,COURT,Court
N00001639,95GG51S3,BELFAST AREA E,COURT,COURT,Court
N00001127,95GG19S2,BELFAST AREA G,COURT,COURT,Oldpark
N00000854,95GG02S3,BELFAST AREA G,OLDPARK,OLDPARK,Oldpark
N00001555,95GG47S2,BELFAST AREA G,OLDPARK,OLDPARK,Oldpark
N00000853,95GG02S3,BELFAST AREA G,OLDPARK,OLDPARK,Oldpark
N00000847,95GG02S2,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000846,95GG02S1,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000845,95GG02S1,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000852,95GG02S3,BELFAST AREA G,OLDPARK,OLDPARK,Oldpark
N00000849,95GG02S2,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000851,95GG02S2,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000848,95GG02S2,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000841,95GG02S1,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000844,95GG02S1,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000843,95GG02S1,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000842,95GG02S1,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00001230,95GG26S2,BELFAST AREA E,COURT,COURT,Court
N00001635,95GG51S3,BELFAST AREA E,COURT,COURT,Court
N00001225,95GG26S2,BELFAST AREA E,COURT,COURT,Court
N00001637,95GG51S3,BELFAST AREA E,COURT,COURT,Court
N00001636,95GG51S3,BELFAST AREA E,COURT,COURT,Court
N00001638,95GG51S3,BELFAST AREA E,COURT,COURT,Court
N00001630,95GG51S2,BELFAST AREA E,COURT,COURT,Court
N00001640,95GG51S3,BELFAST AREA E,COURT,COURT,Court
N00001632,95GG51S2,BELFAST AREA E,COURT,COURT,Court
N00001633,95GG51S2,BELFAST AREA E,COURT,COURT,Court
N00001631,95GG51S2,BELFAST AREA E,COURT,COURT,Court
N00001629,95GG51S2,BELFAST AREA E,COURT,COURT,Court
N00001224,95GG26S2,BELFAST AREA E,COURT,COURT,Court
N00001226,95GG26S2,BELFAST AREA E,COURT,COURT,Court
N00001217,95GG26S1,BELFAST AREA E,COURT,COURT,Court
N00001218,95GG26S1,BELFAST AREA E,COURT,COURT,Court
N00001256,95GG28S2,BELFAST AREA E,COURT,COURT,Court
N00001249,95GG28S1,BELFAST AREA E,COURT,COURT,Court
N00001223,95GG26S1,BELFAST AREA E,COURT,COURT,Court
N00001228,95GG26S2,BELFAST AREA E,COURT,COURT,Court
N00001229,95GG26S2,BELFAST AREA E,COURT,COURT,Court
N00001319,95GG32S3,BELFAST AREA E,OLDPARK,OLDPARK,Court
N00001321,95GG32S3,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00001324,95GG32S3,BELFAST AREA E,OLDPARK,OLDPARK,Court
N00001323,95GG32S3,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00001322,95GG32S3,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00001318,95GG32S2,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00001320,95GG32S3,BELFAST AREA E,OLDPARK,OLDPARK,Court
N00001222,95GG26S1,BELFAST AREA E,COURT,COURT,Court
N00001221,95GG26S1,BELFAST AREA E,COURT,COURT,Court
N00001227,95GG26S2,BELFAST AREA E,COURT,COURT,Court
N00001220,95GG26S1,BELFAST AREA E,COURT,COURT,Court
N00001313,95GG32S1,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00001312,95GG32S1,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00001315,95GG32S2,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00001316,95GG32S2,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000912,95GG06S1,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00001317,95GG32S2,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000911,95GG06S1,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000909,95GG06S1,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000910,95GG06S1,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000908,95GG06S1,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000917,95GG06S2,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000918,95GG06S2,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00001099,95GG17S2,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N00000919,95GG06S2,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00001104,95GG17S3,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N00001101,95GG17S3,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00001102,95GG17S3,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00001103,95GG17S3,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000850,95GG02S2,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00001105,95GG17S3,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N00001097,95GG17S2,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N00001094,95GG17S1,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N00001092,95GG17S1,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N00001093,95GG17S1,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N00001095,95GG17S1,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N00001091,95GG17S1,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N00001096,95GG17S2,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N00001089,95GG16S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001098,95GG17S2,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N00001100,95GG17S2,BELFAST AREA H,OLDPARK,OLDPARK,Oldpark
N00001090,95GG16S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001086,95GG16S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001050,95GG14S1,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001048,95GG14S1,BELFAST AREA H,CASTLE,CASTLE,Castle
N00000922,95GG06S3,BELFAST AREA H,CASTLE,OLDPARK,Castle
N00000915,95GG06S2,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000924,95GG06S3,BELFAST AREA H,CASTLE,OLDPARK,Castle
N00000916,95GG06S2,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000914,95GG06S2,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000913,95GG06S2,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000925,95GG06S3,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000923,95GG06S3,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000920,95GG06S3,BELFAST AREA H,CASTLE,OLDPARK,Castle
N00000921,95GG06S3,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00001060,95GG14S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001049,95GG14S1,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001047,95GG14S1,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001046,95GG14S1,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001059,95GG14S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001057,95GG14S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001056,95GG14S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001308,95GG32S1,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00001309,95GG32S1,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000907,95GG06S1,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00000906,95GG06S1,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00001314,95GG32S2,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00001311,95GG32S1,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00001310,95GG32S1,BELFAST AREA E,OLDPARK,OLDPARK,Oldpark
N00004061,95WW20S2,NEWTOWNABBEY AREA A,BALLYCLARE,ANTRIM LINE,Glengormley Urban
N00003974,95WW11S1,NEWTOWNABBEY AREA D,ANTRIM LINE,ANTRIM LINE,Glengormley Urban
N00003975,95WW11S1,NEWTOWNABBEY AREA D,ANTRIM LINE,ANTRIM LINE,Glengormley Urban
N00003973,95WW11S1,NEWTOWNABBEY AREA D,ANTRIM LINE,ANTRIM LINE,Glengormley Urban
N00003980,95WW11S2,NEWTOWNABBEY AREA D,ANTRIM LINE,ANTRIM LINE,Glengormley Urban
N00003976,95WW11S1,NEWTOWNABBEY AREA D,ANTRIM LINE,ANTRIM LINE,Glengormley Urban
N00003978,95WW11S2,NEWTOWNABBEY AREA D,ANTRIM LINE,ANTRIM LINE,Glengormley Urban
N00003977,95WW11S2,NEWTOWNABBEY AREA D,ANTRIM LINE,ANTRIM LINE,Glengormley Urban
N00003979,95WW11S2,NEWTOWNABBEY AREA D,ANTRIM LINE,ANTRIM LINE,Glengormley Urban
N00004011,95WW15S1,NEWTOWNABBEY AREA D,ANTRIM LINE,ANTRIM LINE,Glengormley Urban
N00000942,95GG08S1,BELFAST AREA H,CASTLE,CASTLE,Castle
N00000944,95GG08S1,BELFAST AREA H,CASTLE,CASTLE,Castle
N00000943,95GG08S1,BELFAST AREA H,CASTLE,CASTLE,Castle
N00004097,95WW24S2,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00004005,95WW14W1,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00004002,95WW14W1,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00004001,95WW14W1,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00004003,95WW14W1,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00004004,95WW14W1,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00004006,95WW14W1,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00004096,95WW24S2,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00004108,95WW25W1,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00004105,95WW25W1,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00003986,95WW12W1,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00003989,95WW12W1,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00004104,95WW25W1,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00003887,95WW01S1,NEWTOWNABBEY AREA B,SHORE ROAD,MACEDON,Macedon
N00004107,95WW25W1,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00004106,95WW25W1,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00004109,95WW25W1,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00004101,95WW25W1,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00004103,95WW25W1,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00004102,95WW25W1,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00004098,95WW24S2,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00004099,95WW24S2,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00004094,95WW24S1,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00004092,95WW24S1,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00004093,95WW24S1,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00003888,95WW01S1,NEWTOWNABBEY AREA B,SHORE ROAD,MACEDON,Macedon
N00004095,95WW24S1,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00000947,95GG08S2,BELFAST AREA H,CASTLE,CASTLE,Castle
N00000949,95GG08S2,BELFAST AREA H,CASTLE,CASTLE,Castle
N00000948,95GG08S2,BELFAST AREA H,CASTLE,CASTLE,Castle
N00000953,95GG08S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00000955,95GG08S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00000952,95GG08S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00000954,95GG08S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00004100,95WW24S2,NEWTOWNABBEY AREA B,DOAGH ROAD,MACEDON,Macedon
N00000956,95GG08S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00000945,95GG08S1,BELFAST AREA H,CASTLE,CASTLE,Castle
N00000941,95GG08S1,BELFAST AREA H,CASTLE,CASTLE,Castle
N00000951,95GG08S2,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001039,95GG13S2,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001042,95GG13S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001053,95GG14S2,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001058,95GG14S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001055,95GG14S2,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001054,95GG14S2,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001051,95GG14S2,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001052,95GG14S2,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001088,95GG16S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001087,95GG16S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001084,95GG16S2,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001083,95GG16S2,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001189,95GG24S1,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001198,95GG24S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001036,95GG13S1,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001035,95GG13S1,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001200,95GG24S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001201,95GG24S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001038,95GG13S2,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001037,95GG13S2,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001040,95GG13S2,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001032,95GG13S1,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001034,95GG13S1,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001033,95GG13S1,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001197,95GG24S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001045,95GG13S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001044,95GG13S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001043,95GG13S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001041,95GG13S3,BELFAST AREA H,CASTLE,CASTLE,Castle
N00000946,95GG08S2,BELFAST AREA H,CASTLE,CASTLE,Castle
N00000950,95GG08S2,BELFAST AREA H,CASTLE,CASTLE,Castle
N00001133,95GG20S1,BELFAST AREA G,CASTLE,CASTLE,Castle
N00004219,95XX12W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004242,95XX14W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004236,95XX14W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004237,95XX14W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004239,95XX14W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004240,95XX14W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004241,95XX14W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004283,95XX19W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004284,95XX19W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004235,95XX14W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004278,95XX18W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004277,95XX18W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004288,95XX20S1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004289,95XX20S1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004276,95XX18W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004279,95XX19W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004285,95XX19W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004280,95XX19W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004281,95XX19W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004238,95XX14W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004282,95XX19W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004271,95XX18W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004275,95XX18W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004274,95XX18W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004272,95XX18W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004273,95XX18W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004293,95XX20S2,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004292,95XX20S2,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004270,95XX18W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004287,95XX20S1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004291,95XX20S1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004294,95XX20S2,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00000968,95GG09S3,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N00000970,95GG09S3,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N00000969,95GG09S3,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N00000973,95GG09S3,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N00000971,95GG09S3,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N00000972,95GG09S3,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N00000974,95GG09S3,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N00001446,95GG41S1,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N00000963,95GG09S2,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N00000967,95GG09S2,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N00000964,95GG09S2,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N00000957,95GG09S1,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N00001447,95GG41S1,BELFAST AREA B,VICTORIA,VICTORIA,Ormiston
N00004290,95XX20S1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00004286,95XX19W1,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N00001824,95II09S1,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N00001820,95II09S1,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N00001829,95II09S2,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N00001828,95II09S2,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N00001827,95II09S2,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N00001826,95II09S2,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N00001780,95II04S1,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N00001781,95II04S1,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N00001782,95II04S1,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N00001783,95II04S1,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N00001860,95II13W1,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N00001858,95II13W1,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N00001859,95II13W1,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N00001786,95II04S2,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N00001784,95II04S2,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N00001789,95II04S2,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N00001778,95II04S1,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N00001788,95II04S2,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N00001787,95II04S2,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N00001785,95II04S2,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N00001832,95II10W1,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
