SA2011,SOA2011,dea_1972,dea_1984,dea_1993,dea_2012
N00003715,95VV07S1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003716,95VV07S1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003713,95VV07S1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003719,95VV07S2,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003718,95VV07S2,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003720,95VV07S2,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003789,95VV16W1,NEWRY AND MOURNE AREA D,SLIEVE GULLION,SLIEVE GULLION,Newry
N00003784,95VV16W1,NEWRY AND MOURNE AREA D,SLIEVE GULLION,SLIEVE GULLION,Newry
N00003785,95VV16W1,NEWRY AND MOURNE AREA D,SLIEVE GULLION,SLIEVE GULLION,Newry
N00003790,95VV16W1,NEWRY AND MOURNE AREA D,SLIEVE GULLION,SLIEVE GULLION,Newry
N00003702,95VV05S2,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003747,95VV11S1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003746,95VV11S1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Newry
N00003868,95VV27W1,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003867,95VV27W1,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003745,95VV11S1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003744,95VV11S1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003743,95VV11S1,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003752,95VV11S2,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N00003871,95VV28S1,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003883,95VV30S1,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003870,95VV28S1,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003869,95VV28S1,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003864,95VV27W1,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003873,95VV28S2,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003866,95VV27W1,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003865,95VV27W1,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003769,95VV14S1,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N00003774,95VV14S2,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N00003736,95VV10S1,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N00003734,95VV10S1,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N00003735,95VV10S1,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N00003738,95VV10S2,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003772,95VV14S2,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N00003773,95VV14S2,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N00003863,95VV27W1,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003741,95VV10S2,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003872,95VV28S2,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003779,95VV15S1,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003681,95VV02W1,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003778,95VV15S1,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N00003682,95VV02W1,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N00003679,95VV02W1,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N00003678,95VV02W1,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N00003739,95VV10S2,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N00003742,95VV10S2,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N00003737,95VV10S1,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N00003740,95VV10S2,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N00003756,95VV12S1,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Newry
N00003754,95VV12S1,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Slieve Gullion
N00003755,95VV12S1,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Newry
N00003786,95VV16W1,NEWRY AND MOURNE AREA D,NEWRY TOWN,SLIEVE GULLION,Newry
N00003775,95VV14S2,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N00003770,95VV14S1,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N00003771,95VV14S1,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N00003768,95VV14S1,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N00003788,95VV16W1,NEWRY AND MOURNE AREA D,SLIEVE GULLION,SLIEVE GULLION,Newry
N00003787,95VV16W1,NEWRY AND MOURNE AREA D,SLIEVE GULLION,SLIEVE GULLION,Newry
N00003710,95VV06W1,NEWRY AND MOURNE AREA E,THE FEWS,THE FEWS,Slieve Gullion
N00003708,95VV06W1,NEWRY AND MOURNE AREA E,THE FEWS,THE FEWS,Slieve Gullion
N00003707,95VV06W1,NEWRY AND MOURNE AREA E,THE FEWS,THE FEWS,Slieve Gullion
N00003853,95VV25S2,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003711,95VV06W1,NEWRY AND MOURNE AREA D,SLIEVE GULLION,THE FEWS,Slieve Gullion
N00003792,95VV17S1,NEWRY AND MOURNE AREA D,SLIEVE GULLION,SLIEVE GULLION,Newry
N00003791,95VV17S1,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003798,95VV17S2,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003795,95VV17S2,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003796,95VV17S2,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003797,95VV17S2,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003794,95VV17S1,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003793,95VV17S1,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003849,95VV25S1,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003850,95VV25S1,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003723,95VV08W1,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003726,95VV08W1,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003725,95VV08W1,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003721,95VV08W1,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003722,95VV08W1,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003731,95VV09W1,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N00003732,95VV09W1,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
