SA2011,DZ2021_cd_dominant,DZ2021_cd_point
N00001859,N20002511,N20002511
N00001860,N20002510,N20002510
N00001861,N20002517,N20002517
N00001862,N20002520,N20002520
N00001863,N20002525,N20002525
N00001864,N20001074,N20001074
N00001865,N20001078,N20001077
N00001866,N20001050,N20001052
N00001867,N20001052,N20001052
N00001868,N20001050,N20001050
N00001869,N20001074,N20001074
N00001870,N20001077,N20001077
N00001871,N20002479,N20002479
N00001872,N20002482,N20002482
N00001873,N20002482,N20002482
N00001874,N20002472,N20002472
N00001875,N20002475,N20002475
N00001876,N20002468,N20002468
N00001877,N20002468,N20002468
N00001878,N20002472,N20002472
N00001879,N20002468,N20002468
N00001880,N20001051,N20001051
N00001881,N20001038,N20001038
N00001882,N20001060,N20001051
N00001883,N20001049,N20001049
N00001884,N20001048,N20001048
N00001885,N20001014,N20001014
N00001886,N20001012,N20001015
N00001887,N20001014,N20001014
N00001888,N20001039,N20001039
N00001889,N20001015,N20001015
N00001890,N20001045,N20001045
N00001891,N20001067,N20001067
N00001892,N20001039,N20001039
N00001893,N20001224,N20001224
N00001894,N20001232,N20001232
N00001895,N20001228,N20001228
N00001896,N20001231,N20001231
N00001897,N20001217,N20001217
N00001898,N20001225,N20001225
N00001899,N20001217,N20001217
N00001900,N20002499,N20002499
N00001901,N20002543,N20002543
N00001902,N20002547,N20002547
N00001903,N20002547,N20002547
N00001904,N20002547,N20002498
N00001905,N20002543,N20002543
N00001906,N20002541,N20002541
N00001907,N20002541,N20002541
N00001908,N20002547,N20002547
N00001909,N20002546,N20002546
N00001910,N20002545,N20002545
N00001911,N20002462,N20002462
N00001912,N20001200,N20001200
N00001913,N20002461,N20002461
N00001914,N20002470,N20002466
N00001915,N20002461,N20002470
N00001916,N20002461,N20002461
N00001917,N20002461,N20002462
N00001918,N20002463,N20002463
N00001919,N20001004,N20001004
N00001920,N20000991,N20000991
N00001921,N20000989,N20000989
N00001922,N20000996,N20000996
N00001923,N20001007,N20001007
N00001924,N20001007,N20000999
N00001925,N20000996,N20000996
N00001926,N20001004,N20001004
N00001927,N20001011,N20001011
N00001928,N20001011,N20001011
N00001929,N20002540,N20002540
N00001930,N20001011,N20001011
N00001931,N20001016,N20001016
N00001932,N20001047,N20001047
N00001933,N20001015,N20001015
N00001934,N20001013,N20001013
N00001935,N20001068,N20001068
N00001936,N20001075,N20001075
N00001937,N20001076,N20001076
N00001938,N20001065,N20001065
N00001939,N20001065,N20001065
N00001940,N20001071,N20001071
N00001941,N20001069,N20001069
N00001942,N20001528,N20001528
N00001943,N20001530,N20001530
N00001944,N20001530,N20001530
N00001945,N20001539,N20001539
N00001946,N20001539,N20001539
N00001947,N20001526,N20001526
N00001948,N20001612,N20001612
N00001949,N20001634,N20001634
N00001950,N20001634,N20001634
N00001951,N20001616,N20001616
N00001952,N20001620,N20001620
N00001953,N20001622,N20001622
N00001954,N20001624,N20001624
N00001955,N20001634,N20001634
N00001956,N20001550,N20001550
N00001957,N20001547,N20001547
N00001958,N20001547,N20001551
N00001959,N20001551,N20001551
N00001960,N20001551,N20001550
N00001961,N20001552,N20001552
N00001962,N20001551,N20001551
N00001963,N20001553,N20001553
N00001964,N20001553,N20001553
N00001965,N20001517,N20001517
N00001966,N20001520,N20001520
N00001967,N20001520,N20001520
N00001968,N20001519,N20001519
N00001969,N20001517,N20001517
N00001970,N20001517,N20001517
N00001971,N20001516,N20001516
N00001972,N20001516,N20001516
N00001973,N20001567,N20001567
N00001974,N20001576,N20001576
N00001975,N20001567,N20001567
N00001976,N20001572,N20001572
N00001977,N20001561,N20001561
N00001978,N20001572,N20001572
N00001979,N20001578,N20001578
N00001980,N20001574,N20001574
N00001981,N20001571,N20001571
N00001982,N20001521,N20001521
N00001983,N20001574,N20001574
N00001984,N20001573,N20001574
N00001985,N20001575,N20001575
N00001986,N20001572,N20001572
N00001987,N20001557,N20001557
N00001988,N20001556,N20001556
N00001989,N20001557,N20001557
N00001990,N20001563,N20001563
N00001991,N20001559,N20001559
N00001992,N20001564,N20001564
N00001993,N20001563,N20001563
N00001994,N20001634,N20001634
N00001995,N20001627,N20001627
N00001996,N20001640,N20001640
N00001997,N20001647,N20001647
N00001998,N20001634,N20001634
N00001999,N20001634,N20001634
N00002000,N20001634,N20001634
N00002001,N20001640,N20001640
N00002002,N20001602,N20001602
N00002003,N20001627,N20001627
N00002004,N20001641,N20001641
N00002005,N20001602,N20001602
N00002006,N20001598,N20001598
N00002007,N20001602,N20001602
N00002008,N20001542,N20001542
N00002009,N20001538,N20001538
N00002010,N20001538,N20001538
N00002011,N20001542,N20001544
N00002012,N20001546,N20001546
N00002013,N20001534,N20001534
N00002014,N20001627,N20001627
N00002015,N20001609,N20001611
N00002016,N20001607,N20001607
N00002017,N20001611,N20001611
N00002018,N20001614,N20001615
N00002019,N20001610,N20001610
N00002020,N20001611,N20001611
N00002021,N20001544,N20001544
N00002022,N20001539,N20001539
N00002023,N20001545,N20001545
N00002024,N20001539,N20001539
N00002025,N20001540,N20001540
N00002026,N20001543,N20001543
N00002027,N20001541,N20001541
N00002028,N20001595,N20001595
N00002029,N20001595,N20001585
N00002030,N20001595,N20001595
N00002031,N20001591,N20001591
N00002032,N20001596,N20001596
N00002033,N20001594,N20001594
N00002034,N20001594,N20001594
N00002035,N20001586,N20001586
N00002036,N20001521,N20001516
N00002037,N20001525,N20001525
N00002038,N20001521,N20001521
N00002039,N20001523,N20001523
N00002040,N20001525,N20001525
N00002041,N20001527,N20001527
N00002042,N20001582,N20001577
N00002043,N20001572,N20001572
N00002044,N20001582,N20001582
N00002045,N20001582,N20001582
N00002046,N20001590,N20001590
N00002047,N20001621,N20001628
N00002048,N20001626,N20001626
N00002049,N20001629,N20001629
N00002050,N20001626,N20001626
N00002051,N20001621,N20001621
N00002052,N20001621,N20001621
N00002053,N20001622,N20001622
N00002054,N20001527,N20001527
N00002055,N20001532,N20001532
N00002056,N20001529,N20001529
N00002057,N20001534,N20001534
N00002058,N20001532,N20001538
N00002059,N20001608,N20001607
N00002060,N20001604,N20001604
N00002061,N20001617,N20001617
N00002062,N20001608,N20001608
N00002063,N20001634,N20001634
N00002064,N20001635,N20001635
N00002065,N20001628,N20001628
N00002066,N20001634,N20001634
N00002067,N20001631,N20001630
N00002068,N20001632,N20001632
N00002069,N20001524,N20001524
N00002070,N20001521,N20001593
N00002071,N20001584,N20001584
N00002072,N20001521,N20001521
N00002073,N20001581,N20001581
N00002074,N20001581,N20001581
N00002075,N20001521,N20001521
N00002076,N20001588,N20001588
N00002077,N20001521,N20001521
N00002078,N20001554,N20001554
N00002079,N20001555,N20001555
N00002080,N20001554,N20001554
N00002081,N20001561,N20001561
N00002082,N20001548,N20001548
N00002083,N20001558,N20001558
N00002084,N20001560,N20001560
N00002085,N20001560,N20001518
N00002086,N20001521,N20001521
N00002087,N20001567,N20001567
N00002088,N20001568,N20001568
N00002089,N20001518,N20001518
N00002090,N20002959,N20002959
N00002091,N20002975,
N00002092,N20002976,N20002976
N00002093,N20002933,N20002933
N00002094,N20002933,N20002933
N00002095,N20002942,N20002942
N00002096,N20002951,N20002951
N00002097,N20002942,N20002942
N00002098,N20002930,N20002930
N00002099,N20002930,N20002930
N00002100,N20002929,N20002929
N00002101,N20002948,N20002948
N00002102,N20002948,N20002948
N00002103,N20002961,N20002961
N00002104,N20002962,N20002962
N00002105,N20002963,N20002963
N00002106,N20002965,N20002967
N00002107,N20002944,N20002955
N00002108,N20002956,N20002956
N00002109,N20002980,
N00002110,N20002977,N20002977
N00002111,N20002982,N20002977
N00002112,N20002982,
N00002113,N20002984,N20002984
N00002114,N20002968,N20002968
N00002115,N20002954,N20002954
N00002116,N20002960,N20002960
N00002117,N20002968,N20002958
N00002118,N20002964,N20002964
N00002119,N20002954,N20002954
N00002120,N20002920,N20002931
N00002121,N20002920,N20002920
N00002122,N20002918,N20002918
N00002123,N20002920,N20002920
N00002124,N20002926,N20002926
N00002125,N20002928,N20002928
N00002126,N20002919,N20002919
N00002127,N20002928,N20002928
N00002128,N20002942,N20002934
N00002129,N20002937,N20002940
N00002130,N20002954,N20002954
N00002131,N20002967,N20002967
N00002132,N20002971,N20002971
N00002133,N20002931,N20002931
N00002134,N20002944,N20002944
N00002135,N20002971,N20002971
N00002136,N20002940,N20002940
N00002137,N20002938,N20002938
N00002138,N20002946,N20002945
N00002139,N20002941,N20002941
N00002140,N20002932,N20002932
N00002141,N20002935,N20002935
N00002142,N20002938,N20002938
N00002143,N20002973,N20002973
N00002144,N20002970,N20002970
N00002145,N20002974,N20002974
N00002146,N20002974,N20002974
N00002147,N20002972,N20002972
N00002148,N20002971,N20002971
N00002149,N20002985,N20002985
N00002150,N20002968,N20002968
N00002151,N20002969,N20002969
N00002152,N20002969,N20002969
N00002153,N20002979,N20002979
N00002154,N20002981,N20002981
N00002155,N20002988,N20002988
N00002156,N20002983,N20002983
N00002157,N20002983,N20002983
N00002158,N20002927,N20002927
N00002159,N20002928,N20002928
N00002160,N20002925,N20002925
N00002161,N20002925,
N00002162,N20002917,N20002914
N00002163,N20002917,N20002917
N00002164,N20002957,N20002957
N00002165,N20002955,N20002955
N00002166,N20002949,N20002949
N00002167,N20002949,N20002946
N00002168,N20002955,N20002955
N00002169,N20002953,N20002953
N00002170,N20000482,N20000479
N00002171,N20000481,N20000481
N00002172,N20000482,N20000482
N00002173,N20000482,N20000482
N00002174,N20000478,N20000478
N00002175,N20000481,
N00002176,N20000484,N20000484
N00002177,N20000476,
N00002178,N20000477,
N00002179,N20000411,N20000411
N00002180,N20000420,N20000420
N00002181,N20000420,N20000420
N00002182,N20000420,N20000420
N00002183,N20000393,N20000395
N00002184,N20000398,N20000398
N00002185,N20000395,N20000393
N00002186,N20000403,N20000403
N00002187,N20000411,N20000411
N00002188,N20000385,N20000385
N00002189,N20000380,N20000389
N00002190,N20000389,N20000389
N00002191,N20000388,N20000388
N00002192,N20000419,N20000419
N00002193,N20000388,N20000388
N00002194,N20000402,N20000390
N00002195,N20000383,N20000383
N00002196,N20000364,N20000364
N00002197,N20000365,N20000365
N00002198,N20000373,N20000375
N00002199,N20000371,N20000371
N00002200,N20000372,N20000372
N00002201,N20000371,N20000371
N00002202,N20000372,N20000372
N00002203,N20000475,N20000475
N00002204,N20000594,N20000594
N00002205,N20000475,N20000475
N00002206,N20000473,N20000467
N00002207,N20000458,N20000458
N00002208,N20000474,N20000474
N00002209,N20000467,N20000467
N00002210,N20000473,N20000473
N00002211,N20000419,N20000419
N00002212,N20000413,N20000413
N00002213,N20000419,N20000419
N00002214,N20000419,N20000417
N00002215,N20000404,N20000404
N00002216,N20000402,N20000402
N00002217,N20000409,N20000409
N00002218,N20000413,N20000407
N00002219,N20000412,N20000412
N00002220,N20000412,N20000412
N00002221,N20000540,N20000539
N00002222,N20000515,N20000515
N00002223,N20000519,N20000519
N00002224,N20000527,N20000527
N00002225,N20000534,N20000534
N00002226,N20000527,N20000527
N00002227,N20000539,N20000539
N00002228,N20000540,N20000534
N00002229,N20000378,N20000378
N00002230,N20000376,N20000376
N00002231,N20000375,N20000375
N00002232,N20000382,N20000382
N00002233,N20000379,N20000379
N00002234,N20000386,N20000386
N00002235,N20000379,N20000379
N00002236,N20000516,N20000516
N00002237,N20000508,N20000508
N00002238,N20000509,N20000509
N00002239,N20000508,N20000508
N00002240,N20000524,N20000524
N00002241,N20000536,N20000536
N00002242,N20000511,N20000511
N00002243,N20000516,N20000516
N00002244,N20000522,N20000522
N00002245,N20000524,N20000524
N00002246,N20000424,N20000424
N00002247,N20000424,N20000424
N00002248,N20000428,N20000428
N00002249,N20000424,N20000425
N00002250,N20000424,N20000424
N00002251,N20000496,N20000496
N00002252,N20000422,
N00002253,N20000423,N20000423
N00002254,N20000424,N20000424
N00002255,N20000421,N20000421
N00002256,N20000580,N20000580
N00002257,N20000567,N20000567
N00002258,N20000559,N20000559
N00002259,N20000567,N20000567
N00002260,N20000562,N20000562
N00002261,N20000580,N20000580
N00002262,N20000551,N20000551
N00002263,N20000559,N20000559
N00002264,N20000449,N20000448
N00002265,N20000453,N20000453
N00002266,N20000439,N20000439
N00002267,N20000442,N20000442
N00002268,N20000439,N20000439
N00002269,N20000543,N20000543
N00002270,N20000431,N20000431
N00002271,N20000435,N20000431
N00002272,N20000439,N20000439
N00002273,N20000433,N20000433
N00002274,N20000428,N20000428
N00002275,N20000434,N20000434
N00002276,N20000433,N20000441
N00002277,N20000435,N20000435
N00002278,N20000442,N20000442
N00002279,N20000437,N20000437
N00002280,N20000437,N20000441
N00002281,N20000490,N20000490
N00002282,N20000490,N20000490
N00002283,N20000494,N20000494
N00002284,N20000494,N20000494
N00002285,N20000486,N20000486
N00002286,N20000489,N20000489
N00002287,N20000485,N20000485
N00002288,N20000491,N20000491
N00002289,N20000384,N20000384
N00002290,N20000397,N20000384
N00002291,N20000377,N20000377
N00002292,N20000384,N20000384
N00002293,N20000392,N20000392
N00002294,N20000397,N20000397
N00002295,N20000470,N20000470
N00002296,N20000472,N20000472
N00002297,N20000397,N20000397
N00002298,N20000459,N20000459
N00002299,N20000450,N20000450
N00002300,N20000458,N20000458
N00002301,N20000457,N20000451
N00002302,N20000464,N20000470
N00002303,N20000424,N20000430
N00002304,N20000441,N20000440
N00002305,N20000450,N20000446
N00002306,N20000447,N20000447
N00002307,N20000424,N20000424
N00002308,N20000462,N20000462
N00002309,N20000466,N20000466
N00002310,N20000466,N20000466
N00002311,N20000468,N20000468
N00002312,N20000468,N20000468
N00002313,N20000460,N20000460
N00002314,N20000460,N20000460
N00002315,N20000460,N20000460
N00002316,N20000463,N20000463
N00002317,N20000542,N20000542
N00002318,N20000547,N20000547
N00002319,N20000549,N20000549
N00002320,N20000537,N20000537
N00002321,N20000537,N20000537
N00002322,N20000531,N20000531
N00002323,N20000549,N20000549
N00002324,N20000542,N20000542
N00002325,N20000553,N20000553
N00002326,N20000518,N20000518
N00002327,N20000521,N20000521
N00002328,N20000518,N20000518
N00002329,N20000517,N20000517
N00002330,N20000521,N20000488
N00002331,N20000488,N20000488
N00002332,N20000501,N20000507
N00002333,N20000521,N20000521
N00002334,N20000507,N20000507
N00002335,N20000521,N20000521
N00002336,N20000544,N20000544
N00002337,N20000543,N20000543
N00002338,N20000548,N20000548
N00002339,N20000544,N20000544
N00002340,N20000548,N20000548
N00002341,N20000550,N20000550
N00002342,N20000541,N20000541
N00002343,N20000536,N20000536
N00002344,N20000512,N20000512
N00002345,N20000515,N20000515
N00002346,N20000526,N20000526
N00002347,N20000488,N20000514
N00002348,N20000529,N20000529
N00002349,N20000523,N20000523
N00002350,N20000533,N20000533
N00002351,N20000499,N20000499
N00002352,N20000503,N20000503
N00002353,N20000522,N20000530
N00002354,N20000428,N20000429
N00002355,N20000543,N20000541
N00002356,N20000435,N20000435
N00002357,N20000543,N20000543
N00002358,N20000528,N20000528
N00002359,N20000532,N20000532
N00002360,N20000405,N20000405
N00002361,N20000404,N20000404
N00002362,N20000387,N20000387
N00002363,N20000399,N20000399
N00002364,N20000396,N20000396
N00002365,N20000399,N20000396
N00002366,N20000398,N20000398
N00002367,N20000405,N20000405
N00002368,N20000365,N20000365
N00002369,N20000366,N20000366
N00002370,N20000366,N20000366
N00002371,N20000360,N20000360
N00002372,N20000363,N20000363
N00002373,N20000356,
N00002374,N20000356,N20000356
N00002375,N20000358,N20000358
N00002376,N20000569,N20000569
N00002377,N20000551,N20000551
N00002378,N20000569,N20000569
N00002379,N20000551,N20000551
N00002380,N20000569,N20000569
N00002381,N20000559,N20000561
N00002382,N20000551,N20000552
N00002383,N20000555,N20000555
N00002384,N20000558,N20000558
N00002385,N20000559,N20000557
N00002386,N20000498,N20000498
N00002387,N20000506,N20000506
N00002388,N20000504,N20000504
N00002389,N20000498,N20000498
N00002390,N20000506,N20000506
N00002391,N20000483,N20000483
N00002392,N20000487,N20000487
N00002393,N20000483,N20000483
N00002394,N20000500,N20000500
N00002395,N20000492,N20000492
N00002396,N20001903,N20001929
N00002397,N20001906,N20001906
N00002398,N20001905,N20001905
N00002399,N20001903,N20001903
N00002400,N20001894,N20001894
N00002401,N20001888,N20001888
N00002402,N20001888,N20001888
N00002403,N20001894,N20001899
N00002404,N20001893,N20001893
N00002405,N20001898,N20001898
N00002406,N20001781,N20001781
N00002407,N20001772,N20001772
N00002408,N20001812,N20001812
N00002409,N20001847,N20001847
N00002410,N20001847,N20001847
N00002411,N20001812,N20001812
N00002412,N20001812,N20001812
N00002413,N20001834,N20001834
N00002414,N20001834,N20001834
N00002415,N20001840,N20001840
N00002416,N20001946,N20001946
N00002417,N20001949,N20001949
N00002418,N20001956,N20001956
N00002419,N20001949,N20001949
N00002420,N20001981,N20001981
N00002421,N20001954,N20001954
N00002422,N20001948,N20001948
N00002423,N20001737,N20001737
N00002424,N20001735,N20001735
N00002425,N20001735,N20001737
N00002426,N20001740,N20001740
N00002427,N20001739,N20001739
N00002428,N20001747,N20001747
N00002429,N20001734,N20001734
N00002430,N20001765,N20001765
N00002431,N20001759,N20001759
N00002432,N20001750,N20001750
N00002433,N20001759,N20001759
N00002434,N20001751,N20001751
N00002435,N20001758,N20001758
N00002436,N20001842,N20001842
N00002437,N20001846,N20001846
N00002438,N20001845,N20001845
N00002439,N20001848,N20001848
N00002440,N20001843,N20001843
N00002441,N20001848,N20001848
N00002442,N20001843,N20001843
N00002443,N20001848,N20001848
N00002444,N20001855,N20001855
N00002445,N20001854,N20001854
N00002446,N20001853,N20001853
N00002447,N20001856,N20001856
N00002448,N20001857,N20001857
N00002449,N20001852,N20001852
N00002450,N20001852,N20001852
N00002451,N20001887,N20001887
N00002452,N20001885,N20001885
N00002453,N20001886,N20001886
N00002454,N20001886,N20001886
N00002455,N20001891,N20001891
N00002456,N20001896,N20001896
N00002457,N20001891,N20001891
N00002458,N20001944,N20001944
N00002459,N20001936,N20001936
N00002460,N20001927,N20001927
N00002461,N20001927,N20001927
N00002462,N20001927,N20001927
N00002463,N20001936,N20001936
N00002464,N20001937,N20001936
N00002465,N20001736,N20001736
N00002466,N20001753,N20001753
N00002467,N20001742,N20001742
N00002468,N20001736,N20001736
N00002469,N20001736,N20001736
N00002470,N20001736,N20001736
N00002471,N20001753,N20001753
N00002472,N20001757,N20001755
N00002473,N20001755,N20001755
N00002474,N20001757,N20001757
N00002475,N20001762,N20001762
N00002476,N20001762,N20001762
N00002477,N20001768,N20001768
N00002478,N20001768,N20001768
N00002479,N20001767,N20001733
N00002480,N20001767,N20001767
N00002481,N20001773,N20001773
N00002482,N20001774,N20001774
N00002483,N20001774,N20001774
N00002484,N20001779,N20001779
N00002485,N20001780,N20001780
N00002486,N20001782,N20001782
N00002487,N20001780,N20001780
N00002488,N20001733,N20001733
N00002489,N20001807,N20001807
N00002490,N20001803,N20001803
N00002491,N20001827,N20001827
N00002492,N20001831,N20001831
N00002493,N20001827,N20001827
N00002494,N20001831,N20001831
N00002495,N20001809,N20001814
N00002496,N20001819,N20001819
N00002497,N20001826,N20001826
N00002498,N20001812,N20001812
N00002499,N20001812,N20001812
N00002500,N20001814,N20001814
N00002501,N20001807,N20001806
N00002502,N20001812,N20001812
N00002503,N20001854,N20001854
N00002504,N20001860,N20001860
N00002505,N20001854,N20001866
N00002506,N20001854,N20001866
N00002507,N20001869,N20001869
N00002508,N20001877,N20001877
N00002509,N20001870,N20001870
N00002510,N20001874,N20001874
N00002511,N20001870,N20001870
N00002512,N20001915,N20001915
N00002513,N20001922,N20001922
N00002514,N20001922,N20001923
N00002515,N20001908,N20001908
N00002516,N20001927,N20001927
N00002517,N20001916,N20001916
N00002518,N20001923,N20001923
N00002519,N20001916,N20001916
N00002520,N20001918,N20001920
N00002521,N20001908,N20001908
N00002522,N20001908,N20001909
N00002523,N20001910,N20001910
N00002524,N20001921,N20001912
N00002525,N20001922,N20001922
N00002526,N20001921,N20001921
N00002527,N20001850,N20001850
N00002528,N20001788,N20001788
N00002529,N20001785,N20001785
N00002530,N20001785,N20001785
N00002531,N20001788,N20001788
N00002532,N20001783,N20001783
N00002533,N20001796,N20001796
N00002534,N20001787,N20001787
N00002535,N20001792,N20001792
N00002536,N20001935,N20001935
N00002537,N20001929,N20001938
N00002538,N20001935,N20001935
N00002539,N20001892,N20001892
N00002540,N20001935,N20001907
N00002541,N20001871,N20001871
N00002542,N20001867,N20001867
N00002543,N20001867,N20001867
N00002544,N20001863,N20001863
N00002545,N20001859,N20001859
N00002546,N20001859,N20001859
N00002547,N20001862,N20001865
N00002548,N20001864,N20001864
N00002549,N20001875,N20001875
N00002550,N20001875,N20001875
N00002551,N20001876,N20001876
N00002552,N20001876,N20001876
N00002553,N20001873,N20001873
N00002554,N20001884,N20001884
N00002555,N20001932,N20001932
N00002556,N20001933,N20001933
N00002557,N20001940,N20001940
N00002558,N20001930,N20001930
N00002559,N20001940,N20001940
N00002560,N20001928,N20001926
N00002561,N20001935,N20001935
N00002562,N20001926,N20001926
N00002563,N20001926,N20001926
N00002564,N20001935,N20001935
N00002565,N20001784,N20001775
N00002566,N20001775,N20001775
N00002567,N20001784,N20001784
N00002568,N20001777,N20001777
N00002569,N20001781,N20001781
N00002570,N20001781,N20001781
N00002571,N20001777,N20001777
N00002572,N20001772,N20001772
N00002573,N20001795,N20001795
N00002574,N20001799,N20001799
N00002575,N20001796,N20001796
N00002576,N20001800,N20001800
N00002577,N20001796,N20001795
N00002578,N20001796,N20001799
N00002579,N20001838,N20001838
N00002580,N20001844,N20001844
N00002581,N20001844,N20001844
N00002582,N20001836,N20001836
N00002583,N20001837,N20001837
N00002584,N20001837,N20001837
N00002585,N20001841,N20001841
N00002586,N20001837,N20001837
N00002587,N20001832,N20001822
N00002588,N20001835,N20001835
N00002589,N20001842,N20001842
N00002590,N20001812,N20001812
N00002591,N20001823,N20001823
N00002592,N20001820,N20001820
N00002593,N20001839,N20001839
N00002594,N20001770,N20001770
N00002595,N20001773,N20001773
N00002596,N20001776,N20001776
N00002597,N20001778,N20001778
N00002598,N20001770,N20001770
N00002599,N20001775,N20001775
N00002600,N20001769,N20001769
N00002601,N20001769,N20001769
N00002602,N20001769,N20001769
N00002603,N20001801,N20001802
N00002604,N20001797,N20001797
N00002605,N20001741,N20001741
N00002606,N20001741,N20001741
N00002607,N20001745,N20001745
N00002608,N20001789,N20001789
N00002609,N20001790,N20001790
N00002610,N20001789,N20001789
N00002611,N20001789,N20001789
N00002612,N20001790,N20001790
N00002613,N20001750,N20001756
N00002614,N20001764,N20001764
N00002615,N20001764,N20001764
N00002616,N20001764,N20001764
N00002617,N20001764,N20001764
N00002618,N20001766,N20001766
N00002619,N20001877,N20001877
N00002620,N20001882,N20001882
N00002621,N20001880,N20001880
N00002622,N20001889,N20001889
N00002623,N20001885,N20001885
N00002624,N20001883,N20001882
N00002625,N20001890,N20001890
N00002626,N20001889,N20001889
N00002627,N20001746,N20001746
N00002628,N20001747,N20001748
N00002629,N20001746,N20001746
N00002630,N20001753,N20001753
N00002631,N20001748,N20001748
N00002632,N20003424,N20003427
N00002633,N20003427,N20003427
N00002634,N20003424,N20003424
N00002635,N20003428,N20003428
N00002636,N20003423,N20003423
N00002637,N20003414,N20003414
N00002638,N20003423,N20003423
N00002639,N20003420,N20003420
N00002640,N20003409,N20003405
N00002641,N20003402,N20003402
N00002642,N20003405,N20003405
N00002643,N20003402,N20003402
N00002644,N20003403,N20003403
N00002645,N20003407,N20003407
N00002646,N20003369,N20003369
N00002647,N20003378,N20003311
N00002648,N20003389,N20003389
N00002649,N20003362,N20003362
N00002650,N20003362,N20003362
N00002651,N20003370,N20003370
N00002652,N20003369,N20003369
N00002653,N20003413,N20003409
N00002654,N20003411,N20003411
N00002655,N20003408,N20003408
N00002656,N20003411,N20003411
N00002657,N20003413,N20003413
N00002658,N20003422,N20003422
N00002659,N20003416,N20003416
N00002660,N20003367,N20003367
N00002661,N20003379,N20003379
N00002662,N20003373,N20003373
N00002663,N20003380,N20003380
N00002664,N20003380,N20003380
N00002665,N20003385,N20003385
N00002666,N20003389,N20003389
N00002667,N20003342,N20003342
N00002668,N20003346,N20003346
N00002669,N20003327,N20003327
N00002670,N20003336,N20003336
N00002671,N20003421,N20003421
N00002672,N20003419,N20003419
N00002673,N20003395,N20003395
N00002674,N20003417,N20003417
N00002675,N20003365,N20003365
N00002676,N20003383,N20003384
N00002677,N20003371,N20003371
N00002678,N20003365,N20003387
N00002679,N20003388,N20003388
N00002680,N20003392,N20003392
N00002681,N20003395,N20003392
N00002682,N20003352,N20003352
N00002683,N20003359,N20003359
N00002684,N20003352,N20003352
N00002685,N20003359,N20003359
N00002686,N20003358,N20003358
N00002687,N20003358,N20003358
N00002688,N20003371,N20003365
N00002689,N20003358,N20003358
N00002690,N20003278,N20003278
N00002691,N20003277,N20003277
N00002692,N20003281,N20003281
N00002693,N20003278,N20003278
N00002694,N20003275,N20003275
N00002695,N20003272,N20003272
N00002696,N20003274,N20003273
N00002697,N20003274,N20003274
N00002698,N20003273,N20003273
N00002699,N20003318,N20003318
N00002700,N20003313,N20003313
N00002701,N20003317,N20003317
N00002702,N20003315,N20003315
N00002703,N20003319,N20003319
N00002704,N20003321,N20003321
N00002705,N20003319,N20003319
N00002706,N20003313,N20003313
N00002707,N20003337,N20003337
N00002708,N20003333,N20003333
N00002709,N20003337,N20003337
N00002710,N20003337,N20003337
N00002711,N20003337,N20003337
N00002712,N20003333,N20003333
N00002713,N20003325,N20003325
N00002714,N20003316,N20003316
N00002715,N20003317,N20003317
N00002716,N20003316,N20003316
N00002717,N20003320,N20003325
N00002718,N20003311,N20003311
N00002719,N20003314,N20003314
N00002720,N20003424,N20003424
N00002721,N20003429,N20003429
N00002722,N20003422,N20003422
N00002723,N20003429,N20003431
N00002724,N20003430,N20003430
N00002725,N20003429,N20003429
N00002726,N20003335,N20003335
N00002727,N20003371,N20003371
N00002728,N20003371,N20003371
N00002729,N20003358,N20003358
N00002730,N20003358,N20003358
N00002731,N20003371,N20003371
N00002732,N20003371,N20003371
N00002733,N20003375,
N00002734,N20003356,N20003360
N00002735,N20003356,N20003356
N00002736,N20003360,N20003363
N00002737,N20003356,N20003356
N00002738,N20003361,N20003361
N00002739,N20003363,N20003363
N00002740,N20003387,N20003361
N00002741,N20003387,N20003387
N00002742,N20003275,N20003262
N00002743,N20003259,N20003259
N00002744,N20003265,N20003265
N00002745,N20003263,N20003263
N00002746,N20003262,N20003262
N00002747,N20003266,N20003266
N00002748,N20003259,N20003343
N00002749,N20003401,N20003401
N00002750,N20003403,N20003403
N00002751,N20003404,N20003404
N00002752,N20003395,N20003395
N00002753,N20003398,N20003399
N00002754,N20003394,N20003394
N00002755,N20003393,N20003393
N00002756,N20003351,N20003351
N00002757,N20003349,N20003350
N00002758,N20003353,N20003355
N00002759,N20003353,N20003353
N00002760,N20003350,N20003350
N00002761,N20003361,N20003361
N00002762,N20003356,N20003356
N00002763,N20003347,N20003347
N00002764,N20003324,N20003324
N00002765,N20003321,N20003321
N00002766,N20003324,N20003324
N00002767,N20003326,N20003329
N00002768,N20003330,N20003330
N00002769,N20003328,N20003328
N00002770,N20003328,N20003328
N00002771,N20003269,N20003269
N00002772,N20003274,N20003274
N00002773,N20003267,N20003267
N00002774,N20003275,N20003268
N00002775,N20003268,N20003268
N00002776,N20003270,N20003269
N00002777,N20003269,N20003269
N00002778,N20003271,N20003271
N00002779,N20003414,N20003393
N00002780,N20003391,N20003391
N00002781,N20003393,N20003396
N00002782,N20003393,N20003393
N00002783,N20003414,N20003414
N00002784,N20003420,N20003420
N00002785,N20003276,N20003276
N00002786,N20003257,N20003275
N00002787,N20003257,N20003257
N00002788,N20003275,N20003275
N00002789,N20003259,N20003259
N00002790,N20003258,N20003258
N00002791,N20003259,N20003258
N00002792,N20003065,N20003007
