SA2011,DZ2021_cd_dominant,DZ2021_cd_point
N00000429,N20000367,N20000367
N00000430,N20000703,N20000703
N00000431,N20000708,N20000708
N00000432,N20000691,N20000691
N00000433,N20000696,N20000696
N00000434,N20000689,N20000689
N00000435,N20000700,N20000700
N00000436,N20000695,N20000695
N00000437,N20000343,N20000343
N00000438,N20000343,N20000343
N00000439,N20000338,N20000338
N00000440,N20000345,N20000345
N00000441,N20000341,N20000341
N00000442,N20000341,N20000339
N00000443,N20000302,N20000302
N00000444,N20000304,N20000304
N00000445,N20000307,N20000307
N00000446,N20000311,N20000311
N00000447,N20000304,N20000304
N00000448,N20000313,N20000313
N00000449,N20000694,N20000694
N00000450,N20000692,N20000692
N00000451,N20000654,N20000654
N00000452,N20000692,N20000692
N00000453,N20000704,N20000704
N00000454,N20000694,N20000694
N00000455,N20000689,N20000689
N00000456,N20000681,N20000681
N00000457,N20000689,N20000689
N00000458,N20000665,N20000665
N00000459,N20000671,N20000671
N00000460,N20000669,N20000671
N00000461,N20000665,N20000665
N00000462,N20000681,N20000668
N00000463,N20000692,N20000694
N00000464,N20000672,N20000672
N00000465,N20000692,N20000692
N00000466,N20000420,N20000672
N00000467,N20000678,N20000678
N00000468,N20000679,N20000672
N00000469,N20000684,N20000684
N00000470,N20000324,N20000325
N00000471,N20000326,N20000326
N00000472,N20000324,N20000324
N00000473,N20000314,N20000314
N00000474,N20000315,N20000315
N00000475,N20000315,N20000315
N00000476,N20000326,N20000326
N00000477,N20002609,N20002609
N00000478,N20002615,N20002615
N00000479,N20002623,N20002623
N00000480,N20002609,N20002609
N00000481,N20002618,N20002618
N00000482,N20002578,N20002575
N00000483,N20002572,N20002572
N00000484,N20002580,N20002580
N00000485,N20002571,N20002572
N00000486,N20002572,N20002572
N00000487,N20002564,N20002564
N00000488,N20002564,N20002564
N00000489,N20002564,N20002564
N00000490,N20002581,N20002581
N00000491,N20002581,N20002581
N00000492,N20002581,N20002581
N00000493,N20002633,N20002633
N00000494,N20002634,N20002634
N00000495,N20002634,N20002633
N00000496,N20002635,N20002635
N00000497,N20002638,N20002638
N00000498,N20002624,N20002624
N00000499,N20002669,N20002669
N00000500,N20002671,N20002671
N00000501,N20002671,N20002669
N00000502,N20002671,N20002671
N00000503,N20002671,N20002671
N00000504,N20002673,N20002673
N00000505,N20002632,N20002632
N00000506,N20002632,N20002632
N00000507,N20002622,N20002622
N00000508,N20002631,N20002631
N00000509,N20002612,N20002612
N00000510,N20002632,N20002632
N00000511,N20002606,N20002603
N00000512,N20002595,N20002595
N00000513,N20002600,N20002600
N00000514,N20002599,N20002599
N00000515,N20002603,N20002603
N00000516,N20002600,N20002600
N00000517,N20002603,N20002603
N00000518,N20002658,N20002658
N00000519,N20002661,N20002661
N00000520,N20002663,N20002660
N00000521,N20002663,N20002663
N00000522,N20002648,N20002648
N00000523,N20002648,N20002654
N00000524,N20002646,N20002646
N00000525,N20002659,N20002659
N00000526,N20002613,N20002613
N00000527,N20002617,N20002617
N00000528,N20002620,N20002617
N00000529,N20002612,N20002616
N00000530,N20002612,N20002612
N00000531,N20002604,N20002604
N00000532,N20002611,N20002611
N00000533,N20002616,N20002616
N00000534,N20002645,N20002645
N00000535,N20002647,N20002647
N00000536,N20002650,N20002650
N00000537,N20002653,N20002653
N00000538,N20002650,N20002655
N00000539,N20002658,N20002658
N00000540,N20002564,N20002564
N00000541,N20002564,N20002564
N00000542,N20002555,N20002555
N00000543,N20002557,N20002557
N00000544,N20002554,N20002554
N00000545,N20002554,N20002554
N00000546,N20002556,N20002556
N00000547,N20002558,N20002558
N00000548,N20002559,N20002559
N00000549,N20002594,N20002594
N00000550,N20002655,N20002655
N00000551,N20002587,N20002588
N00000552,N20002658,N20002658
N00000553,N20002587,N20002587
N00000554,N20002588,N20002588
N00000555,N20002594,N20002594
N00000556,N20002594,N20002594
N00000557,N20002550,N20002550
N00000558,N20002549,N20002549
N00000559,N20002551,N20002551
N00000560,N20002563,N20002563
N00000561,N20002548,N20002548
N00000562,N20002548,N20002549
N00000563,N20002601,N20002605
N00000564,N20002605,N20002605
N00000565,N20002608,N20002601
N00000566,N20002604,N20002602
N00000567,N20002564,N20002564
N00000568,N20002567,N20002567
N00000569,N20002567,N20002567
N00000570,N20002573,N20002573
N00000571,N20002582,N20002581
N00000572,N20002564,N20002564
N00000573,N20002570,N20002570
N00000574,N20002582,N20002582
N00000575,N20002639,N20002639
N00000576,N20002639,N20002639
N00000577,N20002639,N20002639
N00000578,N20002642,N20002642
N00000579,N20002643,N20002643
N00000580,N20002643,N20002643
N00000581,N20002646,N20002646
N00000582,N20002679,N20002679
N00000583,N20002674,N20002674
N00000584,N20002676,N20002675
N00000585,N20002668,N20002668
N00000586,N20002679,N20002662
N00000587,N20002676,N20002676
N00000588,N20002663,N20002663
N00000589,N20002585,N20002585
N00000590,N20002582,N20002582
N00000591,N20002580,N20002580
N00000592,N20002584,N20002584
N00000593,N20002583,N20002583
N00000594,N20002582,N20002582
N00000595,N20002586,N20002584
N00000596,N20002672,N20002674
N00000597,N20002625,N20002625
N00000598,N20002628,N20002628
N00000599,N20002620,N20002620
N00000600,N20002670,N20002670
N00000601,N20002672,N20002667
N00000602,N20002670,N20002670
N00000603,N20002684,N20002683
N00000604,N20002684,N20002684
N00000605,N20002677,N20002677
N00000606,N20002682,N20002682
N00000607,N20002680,N20002680
N00000608,N20002678,N20002678
N00000609,N20002684,N20002684
N00000610,N20002684,N20002684
N00000611,N20002678,N20002678
N00000612,N20002666,N20002665
N00000613,N20002629,N20002629
N00000614,N20002631,N20002631
N00000615,N20002612,N20002612
N00000616,N20002626,N20002626
N00000617,N20002631,N20002631
N00000618,N20002613,N20002613
N00000619,N20002591,N20002591
N00000620,N20002597,N20002597
N00000621,N20002597,N20002597
N00000622,N20002606,N20002606
N00000623,N20002563,N20002563
N00000624,N20002563,N20002563
N00000625,N20002577,N20002577
N00000626,N20002577,N20002577
N00000627,N20002552,N20002552
N00000628,N20002553,N20002553
N00000629,N20002552,N20002552
N00000630,N20002560,N20002560
N00000631,N20002662,N20002662
N00000632,N20002664,N20002651
N00000633,N20002663,N20002663
N00000634,N20002642,N20002642
N00000635,N20002662,N20002649
N00000636,N20002642,N20002642
N00000637,N20002590,N20002593
N00000638,N20002593,N20002593
N00000639,N20002604,N20002604
N00000640,N20002612,N20002612
N00000641,N20002598,N20002598
N00000642,N20002593,N20002593
N00000643,N20001678,N20001678
N00000644,N20001676,N20001676
N00000645,N20001683,N20001683
N00000646,N20001683,N20001683
N00000647,N20001645,N20001645
N00000648,N20001636,N20001643
N00000649,N20001643,N20001643
N00000650,N20001644,N20001641
N00000651,N20001701,N20001701
N00000652,N20001692,N20001692
N00000653,N20001692,N20001692
N00000654,N20001695,N20001695
N00000655,N20001697,N20001697
N00000656,N20001696,N20001696
N00000657,N20001725,N20001725
N00000658,N20001725,N20001725
N00000659,N20001715,N20001715
N00000660,N20001715,N20001715
N00000661,N20001685,N20001685
N00000662,N20001650,N20001650
N00000663,N20001712,N20001712
N00000664,N20001645,N20001645
N00000665,N20001716,N20001718
N00000666,N20001722,N20001722
N00000667,N20001716,N20001725
N00000668,N20001718,N20001718
N00000669,N20001724,N20001724
N00000670,N20001706,N20001706
N00000671,N20001706,N20001706
N00000672,N20001702,N20001702
N00000673,N20001712,N20001712
N00000674,N20001689,N20001689
N00000675,N20001686,N20001686
N00000676,N20001689,N20001689
N00000677,N20001698,N20001698
N00000678,N20001722,N20001722
N00000679,N20001720,N20001720
N00000680,N20001727,N20001727
N00000681,N20001714,N20001714
N00000682,N20001731,N20001731
N00000683,N20001730,N20001730
N00000684,N20001731,N20001731
N00000685,N20001727,N20001727
N00000686,N20001715,N20001716
N00000687,N20001649,N20001649
N00000688,N20001715,N20001715
N00000689,N20001716,N20001716
N00000690,N20001690,N20001690
N00000691,N20001693,N20001693
N00000692,N20001693,N20001693
N00000693,N20001695,N20001695
N00000694,N20001687,N20001694
N00000695,N20001688,N20001688
N00000696,N20001703,N20001700
N00000697,N20001708,N20001708
N00000698,N20001708,N20001708
N00000699,N20001700,N20001700
N00000700,N20001703,N20001703
N00000701,N20001705,N20001705
N00000702,N20001708,N20001708
N00000703,N20001685,N20001685
N00000704,N20001705,N20001705
N00000705,N20001714,N20001714
N00000706,N20001674,N20001674
N00000707,N20001674,N20001674
N00000708,N20001674,N20001674
N00000709,N20001672,N20001672
N00000710,N20001714,N20001714
N00000711,N20001705,N20001705
N00000712,N20001726,N20001726
N00000713,N20001726,N20001720
N00000714,N20001726,N20001727
N00000715,N20000613,N20000613
N00000716,N20000628,N20000628
N00000717,N20000623,N20000623
N00000718,N20000648,N20000648
N00000719,N20000614,N20000614
N00000720,N20000614,N20000614
N00000721,N20003331,N20003331
N00000722,N20000655,N20003331
N00000723,N20003336,N20003336
N00000724,N20003322,N20003322
N00000725,N20003323,N20003331
N00000726,N20003327,N20003327
N00000727,N20000632,N20000632
N00000728,N20000642,N20000642
N00000729,N20000636,N20000639
N00000730,N20000642,N20000639
N00000731,N20000622,N20000622
N00000732,N20000625,N20000642
N00000733,N20000627,N20000627
N00000734,N20000632,N20000632
N00000735,N20000614,N20000614
N00000736,N20000645,N20000645
N00000737,N20000648,N20000648
N00000738,N20000645,N20000645
N00000739,N20000653,N20000653
N00000740,N20000653,N20000653
N00000741,N20000563,N20000563
N00000742,N20000565,N20000565
N00000743,N20000566,N20000566
N00000744,N20000573,N20000573
N00000745,N20000565,N20000565
N00000746,N20000573,N20000570
N00000747,N20000571,N20000571
N00000748,N20000578,N20000578
N00000749,N20000574,N20000574
N00000750,N20000573,N20000573
N00000751,N20000583,N20000583
N00000752,N20000576,N20000576
N00000753,N20000563,N20000563
N00000754,N20000583,N20000583
N00000755,N20000575,N20000575
N00000756,N20000583,N20000583
N00000757,N20000576,N20000576
N00000758,N20000619,N20000619
N00000759,N20000621,N20000621
N00000760,N20000611,N20000611
N00000761,N20000616,N20000611
N00000762,N20000624,N20000624
N00000763,N20000607,N20000607
N00000764,N20000605,N20000605
N00000765,N20000616,N20000616
N00000766,N20000624,N20000630
N00000767,N20000638,N20000638
N00000768,N20000634,N20000634
N00000769,N20000640,N20000640
N00000770,N20000642,N20000640
N00000771,N20000630,N20000630
N00000772,N20000629,N20000629
N00000773,N20000595,N20000595
N00000774,N20000595,N20000595
N00000775,N20000595,N20000595
N00000776,N20000600,N20000600
N00000777,N20000588,N20000589
N00000778,N20003323,N20000590
N00000779,N20000590,N20000587
N00000780,N20000582,N20000582
N00000781,N20000582,N20000582
N00000782,N20000589,N20000589
N00000783,N20000592,N20000592
N00000784,N20000593,N20000593
N00000785,N20000655,N20000655
N00000786,N20000656,N20000656
N00000787,N20000657,N20000657
N00000788,N20000592,N20000593
N00000789,N20000580,N20000595
