SA2011,sex,religion_brought_up_in,count
N00001731,Male,Other religions and none,16
N00001731,Female,Catholic,10
N00001731,Female,Protestant and Other Christian,84
N00001731,Female,Other religions and none,15
N00001732,Male,Catholic,52
N00001732,Male,Protestant and Other Christian,422
N00001732,Male,Other religions and none,53
N00001732,Female,Catholic,53
N00001732,Female,Protestant and Other Christian,460
N00001732,Female,Other religions and none,49
N00001733,Male,Catholic,20
N00001733,Male,Protestant and Other Christian,80
N00001733,Male,Other religions and none,22
N00001733,Female,Catholic,21
N00001733,Female,Protestant and Other Christian,117
N00001733,Female,Other religions and none,22
N00001734,Male,Catholic,9
N00001734,Male,Protestant and Other Christian,112
N00001734,Male,Other religions and none,17
N00001734,Female,Catholic,8
N00001734,Female,Protestant and Other Christian,130
N00001734,Female,Other religions and none,11
N00001735,Male,Catholic,4
N00001735,Male,Protestant and Other Christian,96
N00001735,Male,Other religions and none,11
N00001735,Female,Catholic,9
N00001735,Female,Protestant and Other Christian,136
N00001735,Female,Other religions and none,12
N00001736,Male,Catholic,16
N00001736,Male,Protestant and Other Christian,115
N00001736,Male,Other religions and none,12
N00001736,Female,Catholic,23
N00001736,Female,Protestant and Other Christian,178
N00001736,Female,Other religions and none,8
N00001737,Male,Catholic,22
N00001737,Male,Protestant and Other Christian,104
N00001737,Male,Other religions and none,27
N00001737,Female,Catholic,25
N00001737,Female,Protestant and Other Christian,141
N00001737,Female,Other religions and none,33
N00001738,Male,Catholic,27
N00001738,Male,Protestant and Other Christian,96
N00001738,Male,Other religions and none,22
N00001738,Female,Catholic,44
N00001738,Female,Protestant and Other Christian,100
N00001738,Female,Other religions and none,28
N00001739,Male,Catholic,22
N00001739,Male,Protestant and Other Christian,126
N00001739,Male,Other religions and none,26
N00001739,Female,Catholic,32
N00001739,Female,Protestant and Other Christian,128
N00001739,Female,Other religions and none,18
N00001740,Male,Catholic,52
N00001740,Male,Protestant and Other Christian,248
N00001740,Male,Other religions and none,29
N00001740,Female,Catholic,72
N00001740,Female,Protestant and Other Christian,263
N00001740,Female,Other religions and none,30
N00001741,Male,Catholic,19
N00001741,Male,Protestant and Other Christian,85
N00001741,Male,Other religions and none,24
N00001741,Female,Catholic,27
N00001741,Female,Protestant and Other Christian,113
N00001741,Female,Other religions and none,16
N00001742,Male,Catholic,28
N00001742,Male,Protestant and Other Christian,62
N00001742,Male,Other religions and none,25
N00001742,Female,Catholic,29
N00001742,Female,Protestant and Other Christian,63
N00001742,Female,Other religions and none,22
N00001743,Male,Catholic,26
N00001743,Male,Protestant and Other Christian,90
N00001743,Male,Other religions and none,20
N00001743,Female,Catholic,37
N00001743,Female,Protestant and Other Christian,88
N00001743,Female,Other religions and none,22
N00001744,Male,Catholic,10
N00001744,Male,Protestant and Other Christian,151
N00001744,Male,Other religions and none,14
N00001744,Female,Catholic,10
N00001744,Female,Protestant and Other Christian,131
N00001744,Female,Other religions and none,9
N00001745,Male,Catholic,3
N00001745,Male,Protestant and Other Christian,139
N00001745,Male,Other religions and none,27
N00001745,Female,Catholic,12
N00001745,Female,Protestant and Other Christian,140
N00001745,Female,Other religions and none,15
N00001746,Male,Catholic,9
N00001746,Male,Protestant and Other Christian,127
N00001746,Male,Other religions and none,12
N00001746,Female,Catholic,11
N00001746,Female,Protestant and Other Christian,129
N00001746,Female,Other religions and none,7
N00001747,Male,Catholic,29
N00001747,Male,Protestant and Other Christian,284
N00001747,Male,Other religions and none,37
N00001747,Female,Catholic,31
N00001747,Female,Protestant and Other Christian,325
N00001747,Female,Other religions and none,36
N00001748,Male,Catholic,11
N00001748,Male,Protestant and Other Christian,191
N00001748,Male,Other religions and none,19
N00001748,Female,Catholic,12
N00001748,Female,Protestant and Other Christian,205
N00001748,Female,Other religions and none,18
N00001749,Male,Catholic,3
N00001749,Male,Protestant and Other Christian,146
N00001749,Male,Other religions and none,10
N00001749,Female,Catholic,9
N00001749,Female,Protestant and Other Christian,150
N00001749,Female,Other religions and none,7
N00001750,Male,Catholic,4
N00001750,Male,Protestant and Other Christian,116
N00001750,Male,Other religions and none,15
N00001750,Female,Catholic,5
N00001750,Female,Protestant and Other Christian,101
N00001750,Female,Other religions and none,15
N00001751,Male,Catholic,4
N00001751,Male,Protestant and Other Christian,126
N00001751,Male,Other religions and none,20
N00001751,Female,Catholic,7
N00001751,Female,Protestant and Other Christian,147
N00001751,Female,Other religions and none,14
N00001752,Male,Catholic,7
N00001752,Male,Protestant and Other Christian,128
N00001752,Male,Other religions and none,15
N00001752,Female,Catholic,5
N00001752,Female,Protestant and Other Christian,132
N00001752,Female,Other religions and none,12
N00001753,Male,Catholic,10
N00001753,Male,Protestant and Other Christian,115
N00001753,Male,Other religions and none,28
N00001753,Female,Catholic,12
N00001753,Female,Protestant and Other Christian,133
N00001753,Female,Other religions and none,23
N00001754,Male,Catholic,16
N00001754,Male,Protestant and Other Christian,142
N00001754,Male,Other religions and none,14
N00001754,Female,Catholic,17
N00001754,Female,Protestant and Other Christian,154
N00001754,Female,Other religions and none,13
N00001755,Male,Catholic,6
N00001755,Male,Protestant and Other Christian,176
N00001755,Male,Other religions and none,7
N00001755,Female,Catholic,7
N00001755,Female,Protestant and Other Christian,175
N00001755,Female,Other religions and none,9
N00001756,Male,Catholic,5
N00001756,Male,Protestant and Other Christian,152
N00001756,Male,Other religions and none,17
N00001756,Female,Catholic,1
N00001756,Female,Protestant and Other Christian,137
N00001756,Female,Other religions and none,14
N00001757,Male,Catholic,12
N00001757,Male,Protestant and Other Christian,92
N00001757,Male,Other religions and none,13
N00001757,Female,Catholic,8
N00001757,Female,Protestant and Other Christian,108
N00001757,Female,Other religions and none,10
N00001758,Male,Catholic,5
N00001758,Male,Protestant and Other Christian,108
N00001758,Male,Other religions and none,7
N00001758,Female,Catholic,6
N00001758,Female,Protestant and Other Christian,134
N00001758,Female,Other religions and none,12
N00001759,Male,Catholic,5
N00001759,Male,Protestant and Other Christian,135
N00001759,Male,Other religions and none,16
N00001759,Female,Catholic,7
N00001759,Female,Protestant and Other Christian,143
N00001759,Female,Other religions and none,7
N00001760,Male,Catholic,350
N00001760,Male,Protestant and Other Christian,282
N00001760,Male,Other religions and none,64
N00001760,Female,Catholic,304
N00001760,Female,Protestant and Other Christian,234
N00001760,Female,Other religions and none,44
N00001761,Male,Catholic,123
N00001761,Male,Protestant and Other Christian,75
N00001761,Male,Other religions and none,23
N00001761,Female,Catholic,132
N00001761,Female,Protestant and Other Christian,137
N00001761,Female,Other religions and none,13
N00001762,Male,Catholic,7
N00001762,Male,Protestant and Other Christian,104
N00001762,Male,Other religions and none,29
N00001762,Female,Catholic,11
N00001762,Female,Protestant and Other Christian,102
N00001762,Female,Other religions and none,22
N00001763,Male,Catholic,240
N00001763,Male,Protestant and Other Christian,370
N00001763,Male,Other religions and none,83
N00001763,Female,Catholic,245
N00001763,Female,Protestant and Other Christian,425
N00001763,Female,Other religions and none,62
N00001764,Male,Catholic,4
N00001764,Male,Protestant and Other Christian,99
N00001764,Male,Other religions and none,7
N00001764,Female,Catholic,6
N00001764,Female,Protestant and Other Christian,107
N00001764,Female,Other religions and none,11
N00001765,Male,Catholic,111
N00001765,Male,Protestant and Other Christian,305
N00001765,Male,Other religions and none,60
N00001765,Female,Catholic,128
N00001765,Female,Protestant and Other Christian,342
N00001765,Female,Other religions and none,44
N00001766,Male,Catholic,6
N00001766,Male,Protestant and Other Christian,101
N00001766,Male,Other religions and none,18
N00001766,Female,Catholic,8
N00001766,Female,Protestant and Other Christian,110
N00001766,Female,Other religions and none,13
N00001767,Male,Catholic,69
N00001767,Male,Protestant and Other Christian,61
N00001767,Male,Other religions and none,16
N00001767,Female,Catholic,71
N00001767,Female,Protestant and Other Christian,72
N00001767,Female,Other religions and none,10
N00001768,Male,Catholic,75
N00001768,Male,Protestant and Other Christian,56
N00001768,Male,Other religions and none,10
N00001768,Female,Catholic,90
N00001768,Female,Protestant and Other Christian,53
N00001768,Female,Other religions and none,12
N00001769,Male,Catholic,80
N00001769,Male,Protestant and Other Christian,86
N00001769,Male,Other religions and none,23
N00001769,Female,Catholic,86
N00001769,Female,Protestant and Other Christian,75
N00001769,Female,Other religions and none,24
N00001770,Male,Catholic,84
N00001770,Male,Protestant and Other Christian,60
N00001770,Male,Other religions and none,15
N00001770,Female,Catholic,109
N00001770,Female,Protestant and Other Christian,55
N00001770,Female,Other religions and none,10
N00001771,Male,Catholic,91
N00001771,Male,Protestant and Other Christian,102
N00001771,Male,Other religions and none,19
N00001771,Female,Catholic,124
N00001771,Female,Protestant and Other Christian,85
N00001771,Female,Other religions and none,16
N00001772,Male,Catholic,40
N00001772,Male,Protestant and Other Christian,76
N00001772,Male,Other religions and none,17
N00001772,Female,Catholic,58
N00001772,Female,Protestant and Other Christian,75
N00001772,Female,Other religions and none,12
N00001773,Male,Catholic,41
N00001773,Male,Protestant and Other Christian,76
N00001773,Male,Other religions and none,18
N00001773,Female,Catholic,38
N00001773,Female,Protestant and Other Christian,91
N00001773,Female,Other religions and none,14
N00001774,Male,Catholic,63
N00001774,Male,Protestant and Other Christian,59
N00001774,Male,Other religions and none,15
N00001774,Female,Catholic,63
N00001774,Female,Protestant and Other Christian,64
N00001774,Female,Other religions and none,17
N00001775,Male,Catholic,71
N00001775,Male,Protestant and Other Christian,63
N00001775,Male,Other religions and none,15
N00001775,Female,Catholic,78
N00001775,Female,Protestant and Other Christian,61
N00001775,Female,Other religions and none,13
N00001776,Male,Catholic,62
N00001776,Male,Protestant and Other Christian,64
N00001776,Male,Other religions and none,18
N00001776,Female,Catholic,81
N00001776,Female,Protestant and Other Christian,50
N00001776,Female,Other religions and none,19
N00001777,Male,Catholic,70
N00001777,Male,Protestant and Other Christian,72
N00001777,Male,Other religions and none,17
N00001777,Female,Catholic,90
N00001777,Female,Protestant and Other Christian,89
N00001777,Female,Other religions and none,14
N00001778,Male,Catholic,3
N00001778,Male,Protestant and Other Christian,130
N00001778,Male,Other religions and none,22
N00001778,Female,Catholic,6
N00001778,Female,Protestant and Other Christian,133
N00001778,Female,Other religions and none,13
N00001779,Male,Catholic,8
N00001779,Male,Protestant and Other Christian,120
N00001779,Male,Other religions and none,14
N00001779,Female,Catholic,7
N00001779,Female,Protestant and Other Christian,133
N00001779,Female,Other religions and none,11
N00001780,Male,Catholic,8
N00001780,Male,Protestant and Other Christian,255
N00001780,Male,Other religions and none,42
N00001780,Female,Catholic,25
N00001780,Female,Protestant and Other Christian,250
N00001780,Female,Other religions and none,41
N00001781,Male,Catholic,7
N00001781,Male,Protestant and Other Christian,179
N00001781,Male,Other religions and none,16
N00001781,Female,Catholic,13
N00001781,Female,Protestant and Other Christian,194
N00001781,Female,Other religions and none,20
N00001782,Male,Catholic,4
N00001782,Male,Protestant and Other Christian,154
N00001782,Male,Other religions and none,14
N00001782,Female,Catholic,6
N00001782,Female,Protestant and Other Christian,162
N00001782,Female,Other religions and none,14
N00001783,Male,Catholic,12
N00001783,Male,Protestant and Other Christian,148
N00001783,Male,Other religions and none,8
N00001783,Female,Catholic,15
N00001783,Female,Protestant and Other Christian,155
N00001783,Female,Other religions and none,10
N00001784,Male,Catholic,7
N00001784,Male,Protestant and Other Christian,94
N00001784,Male,Other religions and none,20
N00001784,Female,Catholic,4
N00001784,Female,Protestant and Other Christian,115
N00001784,Female,Other religions and none,17
N00001785,Male,Catholic,3
N00001785,Male,Protestant and Other Christian,127
N00001785,Male,Other religions and none,26
N00001785,Female,Catholic,2
N00001785,Female,Protestant and Other Christian,175
N00001785,Female,Other religions and none,15
N00001786,Male,Catholic,6
N00001786,Male,Protestant and Other Christian,127
N00001786,Male,Other religions and none,13
N00001786,Female,Catholic,9
N00001786,Female,Protestant and Other Christian,154
N00001786,Female,Other religions and none,10
N00001787,Male,Catholic,0
N00001787,Male,Protestant and Other Christian,112
N00001787,Male,Other religions and none,19
N00001787,Female,Catholic,2
N00001787,Female,Protestant and Other Christian,134
N00001787,Female,Other religions and none,14
N00001788,Male,Catholic,9
N00001788,Male,Protestant and Other Christian,119
N00001788,Male,Other religions and none,35
N00001788,Female,Catholic,7
N00001788,Female,Protestant and Other Christian,146
N00001788,Female,Other religions and none,19
N00001789,Male,Catholic,21
N00001789,Male,Protestant and Other Christian,166
N00001789,Male,Other religions and none,27
N00001789,Female,Catholic,12
N00001789,Female,Protestant and Other Christian,170
N00001789,Female,Other religions and none,29
N00001790,Male,Catholic,90
N00001790,Male,Protestant and Other Christian,76
N00001790,Male,Other religions and none,13
N00001790,Female,Catholic,91
N00001790,Female,Protestant and Other Christian,77
N00001790,Female,Other religions and none,12
N00001791,Male,Catholic,150
N00001791,Male,Protestant and Other Christian,60
N00001791,Male,Other religions and none,12
N00001791,Female,Catholic,177
N00001791,Female,Protestant and Other Christian,65
N00001791,Female,Other religions and none,10
N00001792,Male,Catholic,120
N00001792,Male,Protestant and Other Christian,42
N00001792,Male,Other religions and none,12
N00001792,Female,Catholic,113
N00001792,Female,Protestant and Other Christian,43
N00001792,Female,Other religions and none,15
N00001793,Male,Catholic,140
N00001793,Male,Protestant and Other Christian,72
N00001793,Male,Other religions and none,8
N00001793,Female,Catholic,155
N00001793,Female,Protestant and Other Christian,75
N00001793,Female,Other religions and none,6
N00001794,Male,Catholic,104
N00001794,Male,Protestant and Other Christian,263
N00001794,Male,Other religions and none,33
N00001794,Female,Catholic,129
N00001794,Female,Protestant and Other Christian,345
N00001794,Female,Other religions and none,41
N00001795,Male,Catholic,69
N00001795,Male,Protestant and Other Christian,58
N00001795,Male,Other religions and none,25
N00001795,Female,Catholic,89
N00001795,Female,Protestant and Other Christian,67
N00001795,Female,Other religions and none,12
N00001796,Male,Catholic,70
N00001796,Male,Protestant and Other Christian,84
N00001796,Male,Other religions and none,16
N00001796,Female,Catholic,81
N00001796,Female,Protestant and Other Christian,74
N00001796,Female,Other religions and none,11
N00001797,Male,Catholic,81
N00001797,Male,Protestant and Other Christian,67
N00001797,Male,Other religions and none,20
N00001797,Female,Catholic,73
N00001797,Female,Protestant and Other Christian,86
N00001797,Female,Other religions and none,14
N00001798,Male,Catholic,105
N00001798,Male,Protestant and Other Christian,70
N00001798,Male,Other religions and none,32
N00001798,Female,Catholic,120
N00001798,Female,Protestant and Other Christian,74
N00001798,Female,Other religions and none,22
N00001799,Male,Catholic,28
N00001799,Male,Protestant and Other Christian,113
N00001799,Male,Other religions and none,13
N00001799,Female,Catholic,45
N00001799,Female,Protestant and Other Christian,109
N00001799,Female,Other religions and none,6
N00001800,Male,Catholic,66
N00001800,Male,Protestant and Other Christian,79
N00001800,Male,Other religions and none,17
N00001800,Female,Catholic,83
N00001800,Female,Protestant and Other Christian,88
N00001800,Female,Other religions and none,10
N00001801,Male,Catholic,115
N00001801,Male,Protestant and Other Christian,81
N00001801,Male,Other religions and none,18
N00001801,Female,Catholic,143
N00001801,Female,Protestant and Other Christian,62
N00001801,Female,Other religions and none,20
N00001802,Male,Catholic,103
N00001802,Male,Protestant and Other Christian,44
N00001802,Male,Other religions and none,10
N00001802,Female,Catholic,111
N00001802,Female,Protestant and Other Christian,46
N00001802,Female,Other religions and none,17
N00001803,Male,Catholic,54
N00001803,Male,Protestant and Other Christian,78
N00001803,Male,Other religions and none,15
N00001803,Female,Catholic,51
N00001803,Female,Protestant and Other Christian,95
N00001803,Female,Other religions and none,9
N00001804,Male,Catholic,70
N00001804,Male,Protestant and Other Christian,78
N00001804,Male,Other religions and none,19
N00001804,Female,Catholic,87
N00001804,Female,Protestant and Other Christian,92
N00001804,Female,Other religions and none,7
N00001805,Male,Catholic,221
N00001805,Male,Protestant and Other Christian,156
N00001805,Male,Other religions and none,43
N00001805,Female,Catholic,237
N00001805,Female,Protestant and Other Christian,187
N00001805,Female,Other religions and none,49
N00001806,Male,Catholic,14
N00001806,Male,Protestant and Other Christian,110
N00001806,Male,Other religions and none,29
N00001806,Female,Catholic,9
N00001806,Female,Protestant and Other Christian,140
N00001806,Female,Other religions and none,22
N00001807,Male,Catholic,33
N00001807,Male,Protestant and Other Christian,56
N00001807,Male,Other religions and none,23
N00001807,Female,Catholic,37
N00001807,Female,Protestant and Other Christian,77
N00001807,Female,Other religions and none,23
N00001808,Male,Catholic,9
N00001808,Male,Protestant and Other Christian,92
N00001808,Male,Other religions and none,9
N00001808,Female,Catholic,8
N00001808,Female,Protestant and Other Christian,112
N00001808,Female,Other religions and none,19
N00001809,Male,Catholic,5
N00001809,Male,Protestant and Other Christian,90
N00001809,Male,Other religions and none,16
N00001809,Female,Catholic,5
N00001809,Female,Protestant and Other Christian,121
N00001809,Female,Other religions and none,18
N00001810,Male,Catholic,3
N00001810,Male,Protestant and Other Christian,89
N00001810,Male,Other religions and none,14
N00001810,Female,Catholic,9
N00001810,Female,Protestant and Other Christian,101
N00001810,Female,Other religions and none,15
N00001811,Male,Catholic,6
N00001811,Male,Protestant and Other Christian,102
N00001811,Male,Other religions and none,15
N00001811,Female,Catholic,2
N00001811,Female,Protestant and Other Christian,111
N00001811,Female,Other religions and none,13
N00001812,Male,Catholic,10
N00001812,Male,Protestant and Other Christian,156
N00001812,Male,Other religions and none,20
N00001812,Female,Catholic,11
N00001812,Female,Protestant and Other Christian,126
N00001812,Female,Other religions and none,17
N00001813,Male,Catholic,6
N00001813,Male,Protestant and Other Christian,75
N00001813,Male,Other religions and none,7
N00001813,Female,Catholic,10
N00001813,Female,Protestant and Other Christian,91
N00001813,Female,Other religions and none,4
N00001814,Male,Catholic,33
N00001814,Male,Protestant and Other Christian,229
N00001814,Male,Other religions and none,36
N00001814,Female,Catholic,44
N00001814,Female,Protestant and Other Christian,276
N00001814,Female,Other religions and none,26
N00001815,Male,Catholic,22
N00001815,Male,Protestant and Other Christian,125
N00001815,Male,Other religions and none,23
N00001815,Female,Catholic,14
N00001815,Female,Protestant and Other Christian,137
N00001815,Female,Other religions and none,26
N00001816,Male,Catholic,18
N00001816,Male,Protestant and Other Christian,187
N00001816,Male,Other religions and none,23
N00001816,Female,Catholic,20
N00001816,Female,Protestant and Other Christian,225
N00001816,Female,Other religions and none,13
N00001817,Male,Catholic,15
N00001817,Male,Protestant and Other Christian,104
N00001817,Male,Other religions and none,19
N00001817,Female,Catholic,16
N00001817,Female,Protestant and Other Christian,118
N00001817,Female,Other religions and none,15
N00001818,Male,Catholic,12
N00001818,Male,Protestant and Other Christian,105
N00001818,Male,Other religions and none,14
N00001818,Female,Catholic,19
N00001818,Female,Protestant and Other Christian,116
N00001818,Female,Other religions and none,8
N00001819,Male,Catholic,24
N00001819,Male,Protestant and Other Christian,128
N00001819,Male,Other religions and none,26
N00001819,Female,Catholic,25
N00001819,Female,Protestant and Other Christian,143
N00001819,Female,Other religions and none,33
N00001820,Male,Catholic,16
N00001820,Male,Protestant and Other Christian,125
N00001820,Male,Other religions and none,10
N00001820,Female,Catholic,16
N00001820,Female,Protestant and Other Christian,143
N00001820,Female,Other religions and none,4
N00001821,Male,Catholic,51
N00001821,Male,Protestant and Other Christian,194
N00001821,Male,Other religions and none,42
N00001821,Female,Catholic,54
N00001821,Female,Protestant and Other Christian,238
N00001821,Female,Other religions and none,39
N00001822,Male,Catholic,10
N00001822,Male,Protestant and Other Christian,105
N00001822,Male,Other religions and none,23
N00001822,Female,Catholic,11
N00001822,Female,Protestant and Other Christian,107
N00001822,Female,Other religions and none,14
N00001823,Male,Catholic,17
N00001823,Male,Protestant and Other Christian,148
N00001823,Male,Other religions and none,24
N00001823,Female,Catholic,19
N00001823,Female,Protestant and Other Christian,162
N00001823,Female,Other religions and none,13
N00001824,Male,Catholic,10
N00001824,Male,Protestant and Other Christian,150
N00001824,Male,Other religions and none,20
N00001824,Female,Catholic,10
N00001824,Female,Protestant and Other Christian,161
N00001824,Female,Other religions and none,14
N00001825,Male,Catholic,8
N00001825,Male,Protestant and Other Christian,89
N00001825,Male,Other religions and none,14
N00001825,Female,Catholic,5
N00001825,Female,Protestant and Other Christian,109
N00001825,Female,Other religions and none,15
N00001826,Male,Catholic,5
N00001826,Male,Protestant and Other Christian,138
N00001826,Male,Other religions and none,14
N00001826,Female,Catholic,4
N00001826,Female,Protestant and Other Christian,162
N00001826,Female,Other religions and none,21
N00001827,Male,Catholic,9
N00001827,Male,Protestant and Other Christian,138
N00001827,Male,Other religions and none,19
N00001827,Female,Catholic,14
N00001827,Female,Protestant and Other Christian,136
N00001827,Female,Other religions and none,18
N00001828,Male,Catholic,14
N00001828,Male,Protestant and Other Christian,95
N00001828,Male,Other religions and none,15
N00001828,Female,Catholic,10
N00001828,Female,Protestant and Other Christian,110
N00001828,Female,Other religions and none,13
N00001829,Male,Catholic,5
N00001829,Male,Protestant and Other Christian,85
N00001829,Male,Other religions and none,25
N00001829,Female,Catholic,5
N00001829,Female,Protestant and Other Christian,104
N00001829,Female,Other religions and none,14
N00001830,Male,Catholic,7
N00001830,Male,Protestant and Other Christian,138
N00001830,Male,Other religions and none,33
N00001830,Female,Catholic,6
N00001830,Female,Protestant and Other Christian,185
N00001830,Female,Other religions and none,24
N00001831,Male,Catholic,6
N00001831,Male,Protestant and Other Christian,133
N00001831,Male,Other religions and none,16
N00001831,Female,Catholic,7
N00001831,Female,Protestant and Other Christian,160
N00001831,Female,Other religions and none,15
N00001832,Male,Catholic,2
N00001832,Male,Protestant and Other Christian,111
N00001832,Male,Other religions and none,16
N00001832,Female,Catholic,3
N00001832,Female,Protestant and Other Christian,112
N00001832,Female,Other religions and none,7
N00001833,Male,Catholic,8
N00001833,Male,Protestant and Other Christian,141
N00001833,Male,Other religions and none,19
N00001833,Female,Catholic,5
N00001833,Female,Protestant and Other Christian,138
N00001833,Female,Other religions and none,16
N00001834,Male,Catholic,1
N00001834,Male,Protestant and Other Christian,89
N00001834,Male,Other religions and none,17
N00001834,Female,Catholic,0
N00001834,Female,Protestant and Other Christian,113
N00001834,Female,Other religions and none,15
N00001835,Male,Catholic,4
N00001835,Male,Protestant and Other Christian,120
N00001835,Male,Other religions and none,28
N00001835,Female,Catholic,1
N00001835,Female,Protestant and Other Christian,126
N00001835,Female,Other religions and none,16
N00001836,Male,Catholic,9
N00001836,Male,Protestant and Other Christian,104
N00001836,Male,Other religions and none,20
N00001836,Female,Catholic,13
N00001836,Female,Protestant and Other Christian,126
N00001836,Female,Other religions and none,12
N00001837,Male,Catholic,6
N00001837,Male,Protestant and Other Christian,91
N00001837,Male,Other religions and none,10
N00001837,Female,Catholic,7
N00001837,Female,Protestant and Other Christian,111
N00001837,Female,Other religions and none,11
N00001838,Male,Catholic,0
N00001838,Male,Protestant and Other Christian,95
N00001838,Male,Other religions and none,14
N00001838,Female,Catholic,3
N00001838,Female,Protestant and Other Christian,107
N00001838,Female,Other religions and none,15
N00001839,Male,Catholic,96
N00001839,Male,Protestant and Other Christian,74
N00001839,Male,Other religions and none,15
N00001839,Female,Catholic,104
N00001839,Female,Protestant and Other Christian,97
N00001839,Female,Other religions and none,10
N00001840,Male,Catholic,91
N00001840,Male,Protestant and Other Christian,84
N00001840,Male,Other religions and none,12
N00001840,Female,Catholic,101
N00001840,Female,Protestant and Other Christian,77
N00001840,Female,Other religions and none,9
N00001841,Male,Catholic,94
N00001841,Male,Protestant and Other Christian,48
N00001841,Male,Other religions and none,28
N00001841,Female,Catholic,93
N00001841,Female,Protestant and Other Christian,60
N00001841,Female,Other religions and none,22
N00001842,Male,Catholic,50
N00001842,Male,Protestant and Other Christian,62
N00001842,Male,Other religions and none,9
N00001842,Female,Catholic,61
N00001842,Female,Protestant and Other Christian,67
N00001842,Female,Other religions and none,9
N00001843,Male,Catholic,76
N00001843,Male,Protestant and Other Christian,71
N00001843,Male,Other religions and none,11
N00001843,Female,Catholic,80
N00001843,Female,Protestant and Other Christian,73
N00001843,Female,Other religions and none,15
N00001844,Male,Catholic,52
N00001844,Male,Protestant and Other Christian,68
N00001844,Male,Other religions and none,15
N00001844,Female,Catholic,78
N00001844,Female,Protestant and Other Christian,74
N00001844,Female,Other religions and none,10
N00001845,Male,Catholic,47
N00001845,Male,Protestant and Other Christian,55
N00001845,Male,Other religions and none,16
N00001845,Female,Catholic,78
N00001845,Female,Protestant and Other Christian,82
N00001845,Female,Other religions and none,14
N00001846,Male,Catholic,47
N00001846,Male,Protestant and Other Christian,73
N00001846,Male,Other religions and none,13
N00001846,Female,Catholic,55
N00001846,Female,Protestant and Other Christian,81
N00001846,Female,Other religions and none,10
N00001847,Male,Catholic,9
N00001847,Male,Protestant and Other Christian,121
N00001847,Male,Other religions and none,8
N00001847,Female,Catholic,12
N00001847,Female,Protestant and Other Christian,131
N00001847,Female,Other religions and none,6
N00001848,Male,Catholic,7
N00001848,Male,Protestant and Other Christian,135
N00001848,Male,Other religions and none,16
N00001848,Female,Catholic,13
N00001848,Female,Protestant and Other Christian,117
N00001848,Female,Other religions and none,10
N00001849,Male,Catholic,11
N00001849,Male,Protestant and Other Christian,116
N00001849,Male,Other religions and none,11
N00001849,Female,Catholic,15
N00001849,Female,Protestant and Other Christian,135
N00001849,Female,Other religions and none,15
N00001850,Male,Catholic,26
N00001850,Male,Protestant and Other Christian,238
N00001850,Male,Other religions and none,53
N00001850,Female,Catholic,24
N00001850,Female,Protestant and Other Christian,265
N00001850,Female,Other religions and none,30
N00001851,Male,Catholic,12
N00001851,Male,Protestant and Other Christian,110
N00001851,Male,Other religions and none,17
N00001851,Female,Catholic,15
N00001851,Female,Protestant and Other Christian,127
N00001851,Female,Other religions and none,14
N00001852,Male,Catholic,19
N00001852,Male,Protestant and Other Christian,135
N00001852,Male,Other religions and none,12
N00001852,Female,Catholic,21
N00001852,Female,Protestant and Other Christian,153
N00001852,Female,Other religions and none,9
N00001853,Male,Catholic,22
N00001853,Male,Protestant and Other Christian,121
N00001853,Male,Other religions and none,16
N00001853,Female,Catholic,27
N00001853,Female,Protestant and Other Christian,136
N00001853,Female,Other religions and none,22
N00001854,Male,Catholic,2
N00001854,Male,Protestant and Other Christian,94
N00001854,Male,Other religions and none,14
N00001854,Female,Catholic,0
N00001854,Female,Protestant and Other Christian,110
N00001854,Female,Other religions and none,12
N00001855,Male,Catholic,13
N00001855,Male,Protestant and Other Christian,104
N00001855,Male,Other religions and none,22
N00001855,Female,Catholic,13
N00001855,Female,Protestant and Other Christian,127
N00001855,Female,Other religions and none,13
N00001856,Male,Catholic,15
N00001856,Male,Protestant and Other Christian,96
N00001856,Male,Other religions and none,17
N00001856,Female,Catholic,18
N00001856,Female,Protestant and Other Christian,117
N00001856,Female,Other religions and none,9
N00001857,Male,Catholic,9
N00001857,Male,Protestant and Other Christian,110
N00001857,Male,Other religions and none,16
N00001857,Female,Catholic,14
N00001857,Female,Protestant and Other Christian,100
N00001857,Female,Other religions and none,19
N00001858,Male,Catholic,4
N00001858,Male,Protestant and Other Christian,87
N00001858,Male,Other religions and none,13
N00001858,Female,Catholic,4
N00001858,Female,Protestant and Other Christian,114
N00001858,Female,Other religions and none,10
N00001859,Male,Catholic,2
N00001859,Male,Protestant and Other Christian,110
N00001859,Male,Other religions and none,21
N00001859,Female,Catholic,3
N00001859,Female,Protestant and Other Christian,114
N00001859,Female,Other religions and none,16
N00001860,Male,Catholic,1
N00001860,Male,Protestant and Other Christian,78
N00001860,Male,Other religions and none,12
N00001860,Female,Catholic,1
N00001860,Female,Protestant and Other Christian,107
N00001860,Female,Other religions and none,11
N00001861,Male,Catholic,7
N00001861,Male,Protestant and Other Christian,94
N00001861,Male,Other religions and none,25
N00001861,Female,Catholic,4
N00001861,Female,Protestant and Other Christian,119
N00001861,Female,Other religions and none,22
N00001862,Male,Catholic,28
N00001862,Male,Protestant and Other Christian,134
N00001862,Male,Other religions and none,25
N00001862,Female,Catholic,19
N00001862,Female,Protestant and Other Christian,154
N00001862,Female,Other religions and none,27
N00001863,Male,Catholic,10
