SA2011,sex,religion_brought_up_in,count
N00000100,Female,Protestant and Other Christian,52
N00000100,Female,Other religions and none,22
N00000101,Male,Catholic,64
N00000101,Male,Protestant and Other Christian,47
N00000101,Male,Other religions and none,29
N00000101,Female,Catholic,71
N00000101,Female,Protestant and Other Christian,48
N00000101,Female,Other religions and none,23
N00000102,Male,Catholic,51
N00000102,Male,Protestant and Other Christian,80
N00000102,Male,Other religions and none,31
N00000102,Female,Catholic,70
N00000102,Female,Protestant and Other Christian,72
N00000102,Female,Other religions and none,14
N00000103,Male,Catholic,112
N00000103,Male,Protestant and Other Christian,140
N00000103,Male,Other religions and none,41
N00000103,Female,Catholic,121
N00000103,Female,Protestant and Other Christian,159
N00000103,Female,Other religions and none,50
N00000104,Male,Catholic,93
N00000104,Male,Protestant and Other Christian,50
N00000104,Male,Other religions and none,23
N00000104,Female,Catholic,83
N00000104,Female,Protestant and Other Christian,56
N00000104,Female,Other religions and none,17
N00000105,Male,Catholic,27
N00000105,Male,Protestant and Other Christian,113
N00000105,Male,Other religions and none,20
N00000105,Female,Catholic,38
N00000105,Female,Protestant and Other Christian,119
N00000105,Female,Other religions and none,10
N00000106,Male,Catholic,9
N00000106,Male,Protestant and Other Christian,69
N00000106,Male,Other religions and none,13
N00000106,Female,Catholic,12
N00000106,Female,Protestant and Other Christian,85
N00000106,Female,Other religions and none,10
N00000107,Male,Catholic,23
N00000107,Male,Protestant and Other Christian,92
N00000107,Male,Other religions and none,14
N00000107,Female,Catholic,20
N00000107,Female,Protestant and Other Christian,100
N00000107,Female,Other religions and none,20
N00000108,Male,Catholic,28
N00000108,Male,Protestant and Other Christian,89
N00000108,Male,Other religions and none,3
N00000108,Female,Catholic,19
N00000108,Female,Protestant and Other Christian,102
N00000108,Female,Other religions and none,2
N00000109,Male,Catholic,61
N00000109,Male,Protestant and Other Christian,155
N00000109,Male,Other religions and none,31
N00000109,Female,Catholic,60
N00000109,Female,Protestant and Other Christian,181
N00000109,Female,Other religions and none,24
N00000110,Male,Catholic,25
N00000110,Male,Protestant and Other Christian,79
N00000110,Male,Other religions and none,25
N00000110,Female,Catholic,22
N00000110,Female,Protestant and Other Christian,92
N00000110,Female,Other religions and none,15
N00000111,Male,Catholic,68
N00000111,Male,Protestant and Other Christian,86
N00000111,Male,Other religions and none,26
N00000111,Female,Catholic,69
N00000111,Female,Protestant and Other Christian,86
N00000111,Female,Other religions and none,21
N00000112,Male,Catholic,58
N00000112,Male,Protestant and Other Christian,106
N00000112,Male,Other religions and none,28
N00000112,Female,Catholic,75
N00000112,Female,Protestant and Other Christian,114
N00000112,Female,Other religions and none,21
N00000113,Male,Catholic,54
N00000113,Male,Protestant and Other Christian,75
N00000113,Male,Other religions and none,21
N00000113,Female,Catholic,66
N00000113,Female,Protestant and Other Christian,77
N00000113,Female,Other religions and none,16
N00000114,Male,Catholic,71
N00000114,Male,Protestant and Other Christian,73
N00000114,Male,Other religions and none,20
N00000114,Female,Catholic,73
N00000114,Female,Protestant and Other Christian,74
N00000114,Female,Other religions and none,7
N00000115,Male,Catholic,71
N00000115,Male,Protestant and Other Christian,55
N00000115,Male,Other religions and none,18
N00000115,Female,Catholic,69
N00000115,Female,Protestant and Other Christian,66
N00000115,Female,Other religions and none,23
N00000116,Male,Catholic,55
N00000116,Male,Protestant and Other Christian,67
N00000116,Male,Other religions and none,19
N00000116,Female,Catholic,38
N00000116,Female,Protestant and Other Christian,84
N00000116,Female,Other religions and none,24
N00000117,Male,Catholic,17
N00000117,Male,Protestant and Other Christian,53
N00000117,Male,Other religions and none,10
N00000117,Female,Catholic,29
N00000117,Female,Protestant and Other Christian,51
N00000117,Female,Other religions and none,8
N00000118,Male,Catholic,23
N00000118,Male,Protestant and Other Christian,118
N00000118,Male,Other religions and none,28
N00000118,Female,Catholic,20
N00000118,Female,Protestant and Other Christian,129
N00000118,Female,Other religions and none,15
N00000119,Male,Catholic,8
N00000119,Male,Protestant and Other Christian,113
N00000119,Male,Other religions and none,15
N00000119,Female,Catholic,9
N00000119,Female,Protestant and Other Christian,133
N00000119,Female,Other religions and none,11
N00000120,Male,Catholic,21
N00000120,Male,Protestant and Other Christian,123
N00000120,Male,Other religions and none,7
N00000120,Female,Catholic,34
N00000120,Female,Protestant and Other Christian,130
N00000120,Female,Other religions and none,8
N00000121,Male,Catholic,12
N00000121,Male,Protestant and Other Christian,103
N00000121,Male,Other religions and none,21
N00000121,Female,Catholic,17
N00000121,Female,Protestant and Other Christian,131
N00000121,Female,Other religions and none,9
N00000122,Male,Catholic,41
N00000122,Male,Protestant and Other Christian,163
N00000122,Male,Other religions and none,36
N00000122,Female,Catholic,48
N00000122,Female,Protestant and Other Christian,175
N00000122,Female,Other religions and none,18
N00000123,Male,Catholic,23
N00000123,Male,Protestant and Other Christian,140
N00000123,Male,Other religions and none,8
N00000123,Female,Catholic,27
N00000123,Female,Protestant and Other Christian,147
N00000123,Female,Other religions and none,6
N00000124,Male,Catholic,23
N00000124,Male,Protestant and Other Christian,133
