OA_CODE,ward_2001,lgd_2001,DZ2021_cd,SA2011,dea_1972,dea_1984,dea_1993,dea_2012
95NN070001,95NN07,95NN,N20003412,N00002673,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN040005,95NN04,95NN,N20003413,N00002657,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN040001,95NN04,95NN,N20003413,N00002653,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN040004,95NN04,95NN,N20003411,N00002656,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN040007,95NN04,95NN,N20003416,N00002659,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN040006,95NN04,95NN,N20003422,N00002658,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN040002,95NN04,95NN,N20003411,N00002654,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN020001,95NN02,95NN,N20003409,N00002640,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN020006,95NN02,95NN,N20003407,N00002645,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN020003,95NN02,95NN,N20003405,N00002642,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN020005,95NN02,95NN,N20003403,N00002644,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN180004,95NN18,95NN,N20003403,N00002750,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN020004,95NN02,95NN,N20003402,N00002643,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN180002,95NN18,95NN,N20003398,N00002753,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN180001,95NN18,95NN,N20003401,N00002749,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN180007,95NN18,95NN,N20003395,N00002752,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN180005,95NN18,95NN,N20003404,N00002751,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN040003,95NN04,95NN,N20003408,N00002655,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN070009,95NN07,95NN,N20003395,N00002673,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN200002,95NN20,95NN,N20003321,N00002765,DOWN AREA B,BALLYNAHINCH,BALLYNAHINCH,Slieve Croob
95NN140003,95NN14,95NN,N20003422,N00002722,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN140004,95NN14,95NN,N20003429,N00002725,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN140002,95NN14,95NN,N20003429,N00002721,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN010001,95NN01,95NN,N20003424,N00002632,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN010003,95NN01,95NN,N20003427,N00002633,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN010005,95NN01,95NN,N20003428,N00002635,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN010004,95NN01,95NN,N20003424,N00002634,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN140009,95NN14,95NN,N20003430,N00002724,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN140008,95NN14,95NN,N20003429,N00002723,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN100007,95NN10,95NN,N20003278,N00002693,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN100006,95NN10,95NN,N20003281,N00002692,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN100008,95NN10,95NN,N20003275,N00002694,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN100003,95NN10,95NN,N20003277,N00002691,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN230003,95NN23,95NN,N20003275,N00002788,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN210004,95NN21,95NN,N20003275,N00002774,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN170004,95NN17,95NN,N20003263,N00002745,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN170003,95NN17,95NN,N20003265,N00002744,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN170005,95NN17,95NN,N20003262,N00002746,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN210003,95NN21,95NN,N20003267,N00002773,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN210001,95NN21,95NN,N20003269,N00002771,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN210007,95NN21,95NN,N20003269,N00002777,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN210006,95NN21,95NN,N20003270,N00002776,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN210005,95NN21,95NN,N20003268,N00002775,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN100001,95NN10,95NN,N20003272,N00002695,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN210002,95NN21,95NN,N20003274,N00002772,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN100009,95NN10,95NN,N20003273,N00002698,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN100004,95NN10,95NN,N20003274,N00002696,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN100005,95NN10,95NN,N20003274,N00002697,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN100002,95NN10,95NN,N20003278,N00002690,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN210008,95NN21,95NN,N20003271,N00002778,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN170006,95NN17,95NN,N20003266,N00002747,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN170007,95NN17,95NN,N20003259,N00002748,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN170001,95NN17,95NN,N20003275,N00002742,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN230007,95NN23,95NN,N20003259,N00002791,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN230004,95NN23,95NN,N20003259,N00002789,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN230005,95NN23,95NN,N20003258,N00002790,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN060007,95NN06,95NN,N20003346,N00002668,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
95NN060008,95NN06,95NN,N20003342,N00002667,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
95NN060004,95NN06,95NN,N20003342,N00002667,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
95NN060006,95NN06,95NN,N20003336,N00002667,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
95NN060003,95NN06,95NN,N20003334,N00002670,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
95NN120004,95NN12,95NN,N20003337,N00002710,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
95NN120006,95NN12,95NN,N20003339,N00002711,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
95NN120005,95NN12,95NN,N20003337,N00002711,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
95NN170002,95NN17,95NN,N20003259,N00002743,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN140007,95NN14,95NN,N20003335,N00002726,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Slieve Croob
95NN140005,95NN14,95NN,N20003335,N00002726,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Slieve Croob
95NN140006,95NN14,95NN,N20003335,N00002726,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Slieve Croob
95NN120003,95NN12,95NN,N20003337,N00002709,DOWN AREA C,BALLYNAHINCH,NEWCASTLE,Slieve Croob
95NN200005,95NN20,95NN,N20003330,N00002768,DOWN AREA C,BALLYNAHINCH,BALLYNAHINCH,Slieve Croob
95NN200007,95NN20,95NN,N20003328,N00002770,DOWN AREA C,BALLYNAHINCH,BALLYNAHINCH,Slieve Croob
95NN200006,95NN20,95NN,N20003328,N00002769,DOWN AREA C,BALLYNAHINCH,BALLYNAHINCH,Slieve Croob
95NN200001,95NN20,95NN,N20003324,N00002764,DOWN AREA C,BALLYNAHINCH,BALLYNAHINCH,Slieve Croob
95NN200003,95NN20,95NN,N20003324,N00002766,DOWN AREA C,BALLYNAHINCH,BALLYNAHINCH,Slieve Croob
95NN130001,95NN13,95NN,N20003325,N00002713,DOWN AREA C,BALLYNAHINCH,BALLYNAHINCH,Slieve Croob
95NN130005,95NN13,95NN,N20003320,N00002717,DOWN AREA C,BALLYNAHINCH,BALLYNAHINCH,Slieve Croob
95NN060001,95NN06,95NN,N20003327,N00002669,DOWN AREA C,BALLYNAHINCH,NEWCASTLE,Slieve Croob
95NN200004,95NN20,95NN,N20003326,N00002767,DOWN AREA C,BALLYNAHINCH,BALLYNAHINCH,Slieve Croob
95NN120001,95NN12,95NN,N20003337,N00002707,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
95NN120002,95NN12,95NN,N20003333,N00002708,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
95NN120007,95NN12,95NN,N20003333,N00002712,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
95NN060002,95NN06,95NN,N20003336,N00002670,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
95FF020003,95FF02,95FF,N20003336,N00000723,BANBRIDGE AREA B,DROMORE,DROMORE,Slieve Croob
95FF020001,95FF02,95FF,N20003331,N00000721,BANBRIDGE AREA B,DROMORE,DROMORE,Slieve Croob
95FF020006,95FF02,95FF,N20003327,N00000726,BANBRIDGE AREA B,DROMORE,DROMORE,Slieve Croob
95FF020005,95FF02,95FF,N20003323,N00000725,BANBRIDGE AREA B,DROMORE,DROMORE,Slieve Croob
95FF110006,95FF11,95FF,N20000592,N00000788,BANBRIDGE AREA B,KNOCKIVEAGH,KNOCKIVEAGH,Lagan River
95FF110002,95FF11,95FF,N20000593,N00000784,BANBRIDGE AREA B,DROMORE,KNOCKIVEAGH,Lagan River
95FF020002,95FF02,95FF,N20000655,N00000722,BANBRIDGE AREA B,DROMORE,DROMORE,Banbridge
95FF110003,95FF11,95FF,N20000655,N00000785,BANBRIDGE AREA B,KNOCKIVEAGH,KNOCKIVEAGH,Banbridge
95FF110004,95FF11,95FF,N20000656,N00000786,BANBRIDGE AREA B,KNOCKIVEAGH,KNOCKIVEAGH,Banbridge
95NN230006,95NN23,95NN,N20003257,N00002787,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN060005,95NN06,95NN,N20003336,N00002670,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
95NN230002,95NN23,95NN,N20003257,N00002786,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95NN230001,95NN23,95NN,N20003276,N00002785,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
95VV260006,95VV26,95VV,N20003280,N00003861,NEWRY AND MOURNE AREA C,CROTLIEVE,CROTLIEVE,The Mournes
95VV260002,95VV26,95VV,N20003232,N00003858,NEWRY AND MOURNE AREA C,CROTLIEVE,CROTLIEVE,Crotlieve
95VV200001,95VV20,95VV,N20003291,N00003817,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV200004,95VV20,95VV,N20003282,N00003820,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV040002,95VV04,95VV,N20003288,N00003691,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV040007,95VV04,95VV,N20003282,N00003696,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV010008,95VV01,95VV,N20003281,N00003670,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV010005,95VV01,95VV,N20003287,N00003673,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV010004,95VV01,95VV,N20003285,N00003672,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV010001,95VV01,95VV,N20003281,N00003671,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV010009,95VV01,95VV,N20003281,N00003675,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV010007,95VV01,95VV,N20003281,N00003669,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV010002,95VV01,95VV,N20003282,N00003667,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV010003,95VV01,95VV,N20003283,N00003668,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV040003,95VV04,95VV,N20003289,N00003692,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV010006,95VV01,95VV,N20003287,N00003674,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV190005,95VV19,95VV,N20003309,N00003812,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV190001,95VV19,95VV,N20003309,N00003813,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV180008,95VV18,95VV,N20003304,N00003807,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV190003,95VV19,95VV,N20003305,N00003810,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV180009,95VV18,95VV,N20003306,N00003808,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV190004,95VV19,95VV,N20003307,N00003811,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV190002,95VV19,95VV,N20003308,N00003809,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV180010,95VV18,95VV,N20003300,N00003803,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV180003,95VV18,95VV,N20003300,N00003800,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV180002,95VV18,95VV,N20003297,N00003799,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV040006,95VV04,95VV,N20003296,N00003695,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV040004,95VV04,95VV,N20003294,N00003693,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV040001,95VV04,95VV,N20003288,N00003690,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV040005,95VV04,95VV,N20003292,N00003694,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV180001,95VV18,95VV,N20003293,N00003804,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV180004,95VV18,95VV,N20003300,N00003801,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV180006,95VV18,95VV,N20003300,N00003802,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV180007,95VV18,95VV,N20003301,N00003806,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV190007,95VV19,95VV,N20003299,N00003815,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV180005,95VV18,95VV,N20003304,N00003805,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV190006,95VV19,95VV,N20003309,N00003814,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV190008,95VV19,95VV,N20003302,N00003816,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV200005,95VV20,95VV,N20003290,N00003821,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV200006,95VV20,95VV,N20003310,N00003822,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV200002,95VV20,95VV,N20003291,N00003818,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV200003,95VV20,95VV,N20003310,N00003819,NEWRY AND MOURNE AREA A ,THE MOURNES,THE MOURNES,The Mournes
95VV240007,95VV24,95VV,N20003255,N00003843,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV070010,95VV07,95VV,N20003255,N00003717,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV240002,95VV24,95VV,N20003242,N00003846,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV240003,95VV24,95VV,N20003251,N00003846,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV240004,95VV24,95VV,N20003253,N00003841,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV240006,95VV24,95VV,N20003250,N00003842,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV230005,95VV23,95VV,N20003254,N00003838,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV230007,95VV23,95VV,N20003256,N00003835,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV230004,95VV23,95VV,N20003256,N00003837,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV230008,95VV23,95VV,N20003295,N00003840,NEWRY AND MOURNE AREA A ,THE MOURNES,CROTLIEVE,The Mournes
95VV230006,95VV23,95VV,N20003232,N00003839,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV230001,95VV23,95VV,N20003244,N00003834,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV230002,95VV23,95VV,N20003256,N00003835,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV050007,95VV05,95VV,N20003230,N00003699,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV050001,95VV05,95VV,N20003230,N00003697,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV260005,95VV26,95VV,N20003230,N00003860,NEWRY AND MOURNE AREA C,CROTLIEVE,CROTLIEVE,Crotlieve
95VV210002,95VV21,95VV,N20003225,N00003827,NEWRY AND MOURNE AREA C,CROTLIEVE,CROTLIEVE,Crotlieve
95VV210006,95VV21,95VV,N20003216,N00003825,NEWRY AND MOURNE AREA C,CROTLIEVE,CROTLIEVE,Crotlieve
95VV210007,95VV21,95VV,N20003226,N00003825,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV210001,95VV21,95VV,N20003226,N00003826,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV050002,95VV05,95VV,N20003231,N00003701,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV050006,95VV05,95VV,N20003233,N00003704,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV050005,95VV05,95VV,N20003234,N00003703,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV050003,95VV05,95VV,N20003235,N00003698,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV050008,95VV05,95VV,N20003235,N00003700,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV230003,95VV23,95VV,N20003230,N00003836,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV070001,95VV07,95VV,N20003237,N00003718,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV240008,95VV24,95VV,N20003240,N00003844,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV240001,95VV24,95VV,N20003240,N00003845,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV240005,95VV24,95VV,N20003253,N00003847,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV240009,95VV24,95VV,N20003246,N00003848,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV070007,95VV07,95VV,N20003248,N00003714,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV070005,95VV07,95VV,N20003247,N00003712,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV070008,95VV07,95VV,N20003248,N00003715,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV070009,95VV07,95VV,N20003242,N00003716,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV070006,95VV07,95VV,N20003241,N00003713,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV070002,95VV07,95VV,N20003242,N00003719,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV070004,95VV07,95VV,N20003238,N00003718,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV070003,95VV07,95VV,N20003237,N00003718,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV070011,95VV07,95VV,N20003236,N00003720,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV160006,95VV16,95VV,N20003204,N00003789,NEWRY AND MOURNE AREA D,SLIEVE GULLION,SLIEVE GULLION,Newry
95VV160001,95VV16,95VV,N20003202,N00003784,NEWRY AND MOURNE AREA D,SLIEVE GULLION,SLIEVE GULLION,Newry
95VV160002,95VV16,95VV,N20003205,N00003785,NEWRY AND MOURNE AREA D,SLIEVE GULLION,SLIEVE GULLION,Newry
95VV160007,95VV16,95VV,N20003201,N00003790,NEWRY AND MOURNE AREA D,SLIEVE GULLION,SLIEVE GULLION,Newry
95VV050004,95VV05,95VV,N20003233,N00003702,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV110006,95VV11,95VV,N20003233,N00003747,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV110005,95VV11,95VV,N20003197,N00003746,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Newry
95VV270007,95VV27,95VV,N20003190,N00003867,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
95VV270006,95VV27,95VV,N20003192,N00003868,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
95VV270005,95VV27,95VV,N20003189,N00003867,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
95VV110004,95VV11,95VV,N20003227,N00003745,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV110003,95VV11,95VV,N20003224,N00003744,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV110001,95VV11,95VV,N20003227,N00003743,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV110010,95VV11,95VV,N20003223,N00003752,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
95VV280010,95VV28,95VV,N20003169,N00003871,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
95VV300006,95VV30,95VV,N20003168,N00003883,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
95VV280001,95VV28,95VV,N20003175,N00003869,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
95VV280006,95VV28,95VV,N20003181,N00003870,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
95VV280005,95VV28,95VV,N20003181,N00003873,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
95VV280002,95VV28,95VV,N20003175,N00003869,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
95VV280004,95VV28,95VV,N20003180,N00003869,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
95VV280009,95VV28,95VV,N20003184,N00003873,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
95VV270002,95VV27,95VV,N20003187,N00003864,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
95VV280007,95VV28,95VV,N20003184,N00003873,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
95VV270004,95VV27,95VV,N20003189,N00003866,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
95VV270003,95VV27,95VV,N20003190,N00003865,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
