DZ2021_cd,DZ2021_nm,lgd1993
N20002692,Coast_Road_C2,LARNE
N20002740,Larne_Lough_C6,LARNE
N20002668,Braid_F3,BALLYMENA
N20002662,Braid_F1,BALLYMENA
N20002690,Coast_Road_B3,LARNE
N20002649,Braid_B3,BALLYMENA
N20002642,Braid_B1,BALLYMENA
N20002688,Coast_Road_A3,LARNE
N20002689,Coast_Road_B2,LARNE
N20002691,Coast_Road_C1,LARNE
N20002739,Larne_Lough_E1,LARNE
N20001667,The_Glens_E1,MOYLE
N20001680,The_Glens_G2,MOYLE
N20001679,The_Glens_G1,MOYLE
N20001677,The_Glens_E4,MOYLE
N20001673,The_Glens_E2,MOYLE
N20002687,Coast_Road_A2,LARNE
N20002686,Coast_Road_A1,LARNE
N20002685,Coast_Road_B1,LARNE
N20001682,The_Glens_G3,MOYLE
N20001684,The_Glens_G4,MOYLE
N20002640,Braid_A2,BALLYMENA
N20001683,The_Glens_F5,BALLYMONEY
N20002639,Braid_A1,BALLYMENA
N20001723,Ballymoney_J2,BALLYMONEY
N20001721,Ballymoney_J1,BALLYMONEY
N20001725,Ballymoney_H6,BALLYMONEY
N20001719,Ballymoney_H3,BALLYMONEY
N20001724,Ballymoney_H5,BALLYMONEY
N20001722,Ballymoney_H4,BALLYMONEY
N20001718,Ballymoney_H2,BALLYMONEY
N20001716,Ballymoney_G2,BALLYMONEY
N20001649,Causeway_L6,BALLYMONEY
N20001715,Ballymoney_G1,BALLYMONEY
N20001681,The_Glens_F4,BALLYMONEY
N20001676,The_Glens_F2,BALLYMONEY
N20001674,The_Glens_F1,BALLYMONEY
N20001672,The_Glens_D4,BALLYMONEY
N20001645,Causeway_L3,BALLYMONEY
N20001669,The_Glens_D1,MOYLE
N20001670,The_Glens_D2,BALLYMONEY
N20001671,The_Glens_D3,MOYLE
N20001678,The_Glens_F3,BALLYMONEY
N20001675,The_Glens_E3,MOYLE
N20001665,The_Glens_C3,MOYLE
N20001668,The_Glens_C5,MOYLE
N20001659,The_Glens_B3,MOYLE
N20001657,The_Glens_B2,MOYLE
N20001661,The_Glens_B4,MOYLE
N20001663,The_Glens_B6,MOYLE
N20001662,The_Glens_B5,MOYLE
N20001660,The_Glens_A5,MOYLE
N20001664,The_Glens_B7,MOYLE
N20001656,The_Glens_A4,MOYLE
N20001655,The_Glens_A3,MOYLE
N20001654,The_Glens_A2,MOYLE
N20001653,The_Glens_A1,MOYLE
N20001651,The_Glens_B1,MOYLE
N20001597,Causeway_A1,MOYLE
N20001652,The_Glens_C1,MOYLE
N20001658,The_Glens_C2,MOYLE
N20001666,The_Glens_C4,MOYLE
N20001619,Causeway_A3,MOYLE
N20001639,Causeway_L1,MOYLE
N20001636,Causeway_J3,MOYLE
N20001640,Causeway_K3,COLERAINE
N20001627,Causeway_K1,COLERAINE
N20001617,Causeway_J2,COLERAINE
N20001602,Causeway_J1,COLERAINE
N20001598,Causeway_A2,COLERAINE
N20001606,Causeway_C4,MOYLE
N20001605,Causeway_C3,MOYLE
N20001601,Causeway_C2,MOYLE
N20001600,Causeway_C1,MOYLE
N20001599,Causeway_B1,COLERAINE
N20001603,Causeway_B2,COLERAINE
N20001608,Causeway_D2,COLERAINE
N20001607,Causeway_D1,COLERAINE
N20001609,Causeway_E1,COLERAINE
N20001613,Causeway_E3,COLERAINE
N20001611,Causeway_E2,COLERAINE
N20001612,Causeway_D4,COLERAINE
N20001610,Causeway_D3,COLERAINE
N20001604,Causeway_B3,COLERAINE
N20001616,Causeway_F1,COLERAINE
N20001620,Causeway_F2,COLERAINE
N20001623,Causeway_F3,COLERAINE
N20001624,Causeway_F4,COLERAINE
N20001622,Causeway_G2,COLERAINE
N20001621,Causeway_G1,COLERAINE
N20001626,Causeway_G3,COLERAINE
N20001629,Causeway_G4,COLERAINE
N20001631,Causeway_H2,COLERAINE
N20001633,Causeway_G6,COLERAINE
N20001635,Causeway_H4,COLERAINE
N20001634,Causeway_K2,COLERAINE
N20001630,Causeway_G5,COLERAINE
N20001625,Causeway_F5,COLERAINE
N20001614,Causeway_E4,COLERAINE
N20001618,Causeway_E6,COLERAINE
N20001615,Causeway_E5,COLERAINE
N20001547,Coleraine_A1,COLERAINE
N20001638,Causeway_H6,COLERAINE
N20001637,Causeway_H5,COLERAINE
N20001516,Bann_B1,COLERAINE
N20001632,Causeway_H3,COLERAINE
N20001628,Causeway_H1,COLERAINE
N20001515,Bann_A2,COLERAINE
N20001514,Bann_A1,COLERAINE
N20001519,Bann_B4,COLERAINE
N20001522,Bann_C2,COLERAINE
N20001525,Bann_C5,COLERAINE
N20001523,Bann_C3,COLERAINE
N20001526,Bann_D1,COLERAINE
N20001524,Bann_C4,COLERAINE
N20001596,Coleraine_K4,COLERAINE
N20001591,Coleraine_H5,COLERAINE
N20001587,Coleraine_K2,COLERAINE
N20001586,Coleraine_H3,COLERAINE
N20001585,Coleraine_K1,COLERAINE
N20001582,Coleraine_H2,COLERAINE
N20001577,Coleraine_H1,COLERAINE
N20001572,Coleraine_E4,COLERAINE
N20001570,Coleraine_D3,COLERAINE
N20001576,Coleraine_G4,COLERAINE
N20001571,Coleraine_G1,COLERAINE
N20001578,Coleraine_G5,COLERAINE
N20001584,Coleraine_J2,COLERAINE
N20001590,Coleraine_H4,COLERAINE
N20001594,Coleraine_H6,COLERAINE
N20001592,Coleraine_J5,COLERAINE
N20001593,Coleraine_J6,COLERAINE
N20001588,Coleraine_J3,COLERAINE
N20001583,Coleraine_J1,COLERAINE
N20001589,Coleraine_J4,COLERAINE
N20001521,Bann_C1,COLERAINE
N20001580,Coleraine_F4,COLERAINE
N20001581,Coleraine_F5,COLERAINE
N20001579,Coleraine_G6,COLERAINE
N20001574,Coleraine_G2,COLERAINE
N20001575,Coleraine_G3,COLERAINE
N20001573,Coleraine_F3,COLERAINE
N20001568,Coleraine_F1,COLERAINE
N20001569,Coleraine_F2,COLERAINE
N20001558,Coleraine_B4,COLERAINE
N20001560,Coleraine_B5,COLERAINE
N20001518,Bann_B3,COLERAINE
N20001548,Coleraine_B1,COLERAINE
N20001549,Coleraine_B2,COLERAINE
N20001550,Coleraine_A2,COLERAINE
N20001551,Coleraine_A3,COLERAINE
N20001553,Coleraine_A4,COLERAINE
N20001554,Coleraine_A5,COLERAINE
N20001555,Coleraine_B3,COLERAINE
N20001567,Coleraine_D2,COLERAINE
N20001562,Coleraine_D1,COLERAINE
N20001565,Coleraine_E3,COLERAINE
N20001564,Coleraine_E2,COLERAINE
N20001561,Coleraine_E1,COLERAINE
N20001556,Coleraine_C2,COLERAINE
N20001557,Coleraine_C3,COLERAINE
N20001559,Coleraine_C4,COLERAINE
N20001563,Coleraine_C5,COLERAINE
N20001566,Coleraine_C6,COLERAINE
N20001552,Coleraine_C1,COLERAINE
N20001595,Coleraine_K3,COLERAINE
N20001644,Causeway_K4,COLERAINE
N20001641,Causeway_J4,COLERAINE
N20001642,Causeway_L2,BALLYMONEY
N20001643,Causeway_J5,BALLYMONEY
N20001685,Ballymoney_A1,BALLYMONEY
N20001646,Causeway_L4,BALLYMONEY
N20001648,Causeway_L5,BALLYMONEY
N20001692,Ballymoney_B4,BALLYMONEY
N20001696,Ballymoney_E1,BALLYMONEY
N20001697,Ballymoney_E2,BALLYMONEY
N20001695,Ballymoney_B5,BALLYMONEY
N20001693,Ballymoney_D1,BALLYMONEY
N20001694,Ballymoney_D2,BALLYMONEY
N20001691,Ballymoney_C3,BALLYMONEY
N20001689,Ballymoney_C2,BALLYMONEY
N20001687,Ballymoney_B1,BALLYMONEY
N20001690,Ballymoney_B3,BALLYMONEY
N20001688,Ballymoney_B2,BALLYMONEY
N20001686,Ballymoney_C1,BALLYMONEY
N20001647,Causeway_K5,COLERAINE
N20001528,Bann_D3,COLERAINE
N20001717,Ballymoney_K2,BALLYMONEY
N20001713,Ballymoney_A5,BALLYMONEY
N20001705,Ballymoney_A2,BALLYMONEY
N20001707,Ballymoney_A3,BALLYMONEY
N20001708,Ballymoney_A4,BALLYMONEY
N20001711,Ballymoney_F4,BALLYMONEY
N20001710,Ballymoney_F3,BALLYMONEY
N20001709,Ballymoney_F2,BALLYMONEY
N20001703,Ballymoney_D5,BALLYMONEY
N20001699,Ballymoney_C4,BALLYMONEY
N20001700,Ballymoney_D4,BALLYMONEY
N20001698,Ballymoney_D3,BALLYMONEY
N20001702,Ballymoney_F1,BALLYMONEY
N20001704,Ballymoney_E4,BALLYMONEY
N20001706,Ballymoney_E5,BALLYMONEY
N20001701,Ballymoney_E3,BALLYMONEY
N20001650,Causeway_L7,BALLYMONEY
N20001712,Ballymoney_H1,BALLYMONEY
N20001714,Ballymoney_K1,BALLYMONEY
N20001720,Ballymoney_K3,BALLYMONEY
N20001530,Bann_E1,COLERAINE
N20001533,Bann_E2,COLERAINE
N20001534,Bann_D7,COLERAINE
N20001531,Bann_D5,COLERAINE
N20001529,Bann_D4,COLERAINE
N20001527,Bann_D2,COLERAINE
N20001532,Bann_D6,COLERAINE
N20001538,Bann_G1,COLERAINE
N20001537,Bann_F3,COLERAINE
N20001536,Bann_F2,COLERAINE
N20001535,Bann_F1,COLERAINE
N20001542,Bann_G2,COLERAINE
N20001544,Bann_G3,COLERAINE
N20002837,Carntogher_B1,MAGHERAFELT
N20001546,Bann_G5,COLERAINE
N20002841,Carntogher_D1,MAGHERAFELT
N20002860,Carntogher_D3,MAGHERAFELT
N20002847,Carntogher_D2,MAGHERAFELT
N20002856,Carntogher_E4,MAGHERAFELT
N20002852,Carntogher_E3,MAGHERAFELT
N20002854,Carntogher_F1,MAGHERAFELT
N20002855,Carntogher_F2,MAGHERAFELT
N20002857,Carntogher_F3,MAGHERAFELT
N20002858,Carntogher_F4,MAGHERAFELT
N20002853,Carntogher_C3,MAGHERAFELT
N20002851,Carntogher_E2,MAGHERAFELT
N20002850,Carntogher_E1,MAGHERAFELT
N20002844,Carntogher_B4,MAGHERAFELT
N20002845,Carntogher_B5,MAGHERAFELT
N20002842,Carntogher_B3,MAGHERAFELT
N20002840,Carntogher_A2,MAGHERAFELT
N20002846,Carntogher_A4,MAGHERAFELT
N20002861,Carntogher_C5,MAGHERAFELT
N20002859,Carntogher_C4,MAGHERAFELT
N20002848,Carntogher_C1,MAGHERAFELT
N20002866,Moyola_A1,MAGHERAFELT
N20002865,Moyola_C1,MAGHERAFELT
N20002849,Carntogher_C2,MAGHERAFELT
N20002562,Bannside_D3,BALLYMENA
N20002561,Bannside_D2,BALLYMENA
N20002560,Bannside_D1,BALLYMENA
N20002843,Carntogher_A3,MAGHERAFELT
N20002552,Bannside_C2,BALLYMENA
N20001731,Ballymoney_K6,BALLYMONEY
N20002838,Carntogher_A1,MAGHERAFELT
N20002839,Carntogher_B2,MAGHERAFELT
N20001545,Bann_G4,COLERAINE
N20001543,Bann_H3,COLERAINE
N20001541,Bann_H2,COLERAINE
N20001540,Bann_H1,COLERAINE
N20001539,Bann_E3,COLERAINE
N20001726,Ballymoney_K4,BALLYMONEY
N20001729,Ballymoney_L2,BALLYMONEY
N20001728,Ballymoney_L1,BALLYMONEY
N20001727,Ballymoney_K5,BALLYMONEY
N20002548,Bannside_A1,BALLYMENA
N20001730,Ballymoney_L3,BALLYMONEY
N20002549,Bannside_A2,BALLYMENA
N20002647,Braid_C3,BALLYMENA
N20002645,Braid_A5,BALLYMENA
N20002644,Braid_A4,BALLYMENA
N20002643,Braid_C1,BALLYMENA
N20002641,Braid_A3,BALLYMENA
N20002648,Braid_B2,BALLYMENA
N20002646,Braid_C2,BALLYMENA
N20002650,Braid_C4,BALLYMENA
N20002658,Braid_H1,BALLYMENA
N20002587,Ballymena_A1,BALLYMENA
N20002588,Ballymena_A2,BALLYMENA
N20002589,Ballymena_A3,BALLYMENA
N20002591,Ballymena_B1,BALLYMENA
N20002597,Ballymena_B3,BALLYMENA
N20002599,Ballymena_B4,BALLYMENA
N20002606,Ballymena_E1,BALLYMENA
N20002601,Ballymena_C3,BALLYMENA
N20002608,Ballymena_C6,BALLYMENA
N20002605,Ballymena_C5,BALLYMENA
N20002594,Ballymena_A4,BALLYMENA
N20002596,Ballymena_C2,BALLYMENA
N20002593,Ballymena_D2,BALLYMENA
N20002598,Ballymena_D3,BALLYMENA
N20002602,Ballymena_C4,BALLYMENA
N20002604,Ballymena_D4,BALLYMENA
N20002590,Ballymena_D1,BALLYMENA
N20002592,Ballymena_C1,BALLYMENA
N20002661,Braid_E4,BALLYMENA
N20002660,Braid_E3,BALLYMENA
N20002656,Braid_D2,BALLYMENA
N20002654,Braid_E1,BALLYMENA
N20002657,Braid_E2,BALLYMENA
N20002652,Braid_D1,BALLYMENA
N20002659,Braid_D3,BALLYMENA
N20002651,Braid_B4,BALLYMENA
N20002663,Braid_H2,BALLYMENA
N20002664,Braid_F2,BALLYMENA
N20002675,Braid_H4,BALLYMENA
N20002629,Ballymena_J3,BALLYMENA
N20002627,Ballymena_J2,BALLYMENA
N20002631,Ballymena_H4,BALLYMENA
N20002632,Ballymena_H5,BALLYMENA
N20002622,Ballymena_H2,BALLYMENA
N20002619,Ballymena_H1,BALLYMENA
N20002612,Ballymena_D5,BALLYMENA
N20002626,Ballymena_H3,BALLYMENA
N20002625,Ballymena_J1,BALLYMENA
N20002620,Ballymena_G4,BALLYMENA
N20002616,Ballymena_G2,BALLYMENA
N20002614,Ballymena_G1,BALLYMENA
N20002611,Ballymena_E2,BALLYMENA
N20002615,Ballymena_E4,BALLYMENA
N20002613,Ballymena_E3,BALLYMENA
N20002617,Ballymena_G3,BALLYMENA
N20002624,Ballymena_F7,BALLYMENA
N20002630,Ballymena_K1,BALLYMENA
N20002628,Ballymena_G5,BALLYMENA
N20002665,Braid_G1,BALLYMENA
N20002666,Braid_G2,BALLYMENA
N20002670,Braid_J2,BALLYMENA
N20002669,Braid_G3,BALLYMENA
N20002667,Braid_J1,BALLYMENA
N20002672,Braid_J3,BALLYMENA
N20002673,Braid_G5,BALLYMENA
N20002671,Braid_G4,BALLYMENA
N20002674,Braid_H3,BALLYMENA
N20002637,Ballymena_K6,BALLYMENA
N20002638,Ballymena_K7,BALLYMENA
N20002581,Bannside_J1,BALLYMENA
N20002574,Bannside_F3,BALLYMENA
N20002575,Bannside_F4,BALLYMENA
N20002578,Bannside_G2,BALLYMENA
N20002579,Bannside_G3,BALLYMENA
N20002576,Bannside_G1,BALLYMENA
N20002571,Bannside_F1,BALLYMENA
N20002572,Bannside_F2,BALLYMENA
N20002566,Bannside_E2,BALLYMENA
N20002565,Bannside_E1,BALLYMENA
N20002569,Bannside_E5,BALLYMENA
N20002568,Bannside_E4,BALLYMENA
N20002567,Bannside_E3,BALLYMENA
N20002573,Bannside_E7,BALLYMENA
N20002570,Bannside_E6,BALLYMENA
N20002635,Ballymena_K4,BALLYMENA
N20002636,Ballymena_K5,BALLYMENA
N20002634,Ballymena_K3,BALLYMENA
N20002633,Ballymena_K2,BALLYMENA
N20002618,Ballymena_F4,BALLYMENA
N20002623,Ballymena_F6,BALLYMENA
N20002621,Ballymena_F5,BALLYMENA
N20002610,Ballymena_F3,BALLYMENA
N20002607,Ballymena_F1,BALLYMENA
N20002603,Ballymena_B6,BALLYMENA
N20002595,Ballymena_B2,BALLYMENA
N20002600,Ballymena_B5,BALLYMENA
N20002609,Ballymena_F2,BALLYMENA
N20002655,Braid_C6,BALLYMENA
N20002653,Braid_C5,BALLYMENA
N20002557,Bannside_B4,BALLYMENA
N20002556,Bannside_B3,BALLYMENA
N20002554,Bannside_B1,BALLYMENA
N20002555,Bannside_B2,BALLYMENA
N20002558,Bannside_B5,BALLYMENA
N20002559,Bannside_B6,BALLYMENA
N20002564,Bannside_A4,BALLYMENA
N20002551,Bannside_A3,BALLYMENA
N20002550,Bannside_C1,BALLYMENA
N20002553,Bannside_C3,BALLYMENA
N20002563,Bannside_C4,BALLYMENA
N20002577,Bannside_H1,BALLYMENA
N20002580,Bannside_H2,BALLYMENA
N20002583,Bannside_H3,BALLYMENA
N20002584,Bannside_J3,BALLYMENA
N20002586,Bannside_J4,BALLYMENA
N20002585,Bannside_H4,BALLYMENA
N20000007,Dunsilly_C1,ANTRIM
N20000015,Dunsilly_C2,ANTRIM
N20000022,Dunsilly_C3,ANTRIM
N20000003,Dunsilly_A2,ANTRIM
N20000009,Dunsilly_A6,ANTRIM
N20000008,Dunsilly_A5,ANTRIM
N20000012,Dunsilly_D2,ANTRIM
N20000014,Dunsilly_D3,ANTRIM
N20000019,Dunsilly_D4,ANTRIM
N20000016,Dunsilly_E1,ANTRIM
N20000011,Dunsilly_D1,ANTRIM
N20000017,Dunsilly_E2,ANTRIM
N20000018,Dunsilly_E3,ANTRIM
N20002582,Bannside_J2,BALLYMENA
N20002678,Braid_H6,BALLYMENA
N20002684,Braid_F6,BALLYMENA
N20002680,Braid_K1,BALLYMENA
N20002681,Braid_K2,BALLYMENA
N20002682,Braid_K3,BALLYMENA
N20002683,Braid_K4,BALLYMENA
N20002676,Braid_H5,BALLYMENA
N20002677,Braid_F4,BALLYMENA
N20000001,Dunsilly_A1,ANTRIM
N20000010,Dunsilly_B3,ANTRIM
N20000013,Dunsilly_F1,ANTRIM
N20000006,Dunsilly_A4,ANTRIM
N20000004,Dunsilly_A3,ANTRIM
N20000029,Dunsilly_F5,ANTRIM
N20000044,Antrim_C2,ANTRIM
N20000057,Antrim_G2,ANTRIM
N20000077,Antrim_N2,ANTRIM
N20000076,Antrim_N1,ANTRIM
N20000068,Antrim_G4,ANTRIM
N20000071,Antrim_G5,ANTRIM
N20000075,Antrim_L3,ANTRIM
N20000069,Antrim_L1,ANTRIM
N20000062,Antrim_H3,ANTRIM
N20000063,Antrim_G3,ANTRIM
N20000054,Antrim_D4,ANTRIM
N20000048,Antrim_C4,ANTRIM
N20000049,Antrim_G1,ANTRIM
N20000045,Antrim_C3,ANTRIM
N20000043,Antrim_D1,ANTRIM
N20000047,Antrim_D3,ANTRIM
N20000039,Antrim_B2,ANTRIM
N20000037,Antrim_A3,ANTRIM
N20000036,Antrim_A2,ANTRIM
N20000035,Antrim_A1,ANTRIM
N20000040,Antrim_A4,ANTRIM
N20000041,Antrim_C1,ANTRIM
N20000025,Dunsilly_F2,ANTRIM
N20000027,Dunsilly_F3,ANTRIM
N20000038,Antrim_B1,ANTRIM
N20000030,Dunsilly_B5,ANTRIM
N20000073,Antrim_F4,ANTRIM
N20000052,Antrim_F2,ANTRIM
N20000051,Antrim_F1,ANTRIM
N20000053,Antrim_E2,ANTRIM
N20000042,Antrim_B3,ANTRIM
N20000046,Antrim_D2,ANTRIM
N20000050,Antrim_E1,ANTRIM
N20000055,Antrim_E3,ANTRIM
N20000058,Antrim_H1,ANTRIM
N20000061,Antrim_H2,ANTRIM
N20000060,Antrim_J1,ANTRIM
N20000056,Antrim_E4,ANTRIM
N20000059,Antrim_F3,ANTRIM
N20000064,Antrim_J2,ANTRIM
N20000070,Antrim_J4,ANTRIM
N20000066,Antrim_K1,ANTRIM
N20000067,Antrim_K2,ANTRIM
N20000074,Antrim_K3,ANTRIM
N20000065,Antrim_J3,ANTRIM
N20000072,Antrim_L2,ANTRIM
N20000085,Antrim_L4,ANTRIM
N20000080,Antrim_J5,ANTRIM
N20000079,Antrim_K4,ANTRIM
N20000082,Antrim_K5,ANTRIM
N20000264,Airport_B3,ANTRIM
N20000078,Antrim_F5,ANTRIM
N20000258,Airport_B1,ANTRIM
N20000263,Airport_B2,ANTRIM
N20000274,Airport_G1,ANTRIM
N20000268,Airport_F1,ANTRIM
N20000083,Antrim_N4,ANTRIM
N20000081,Antrim_N3,ANTRIM
N20000084,Antrim_N5,ANTRIM
N20000032,Dunsilly_F6,ANTRIM
N20000021,Dunsilly_E4,ANTRIM
N20000023,Dunsilly_D6,ANTRIM
N20000020,Dunsilly_D5,ANTRIM
N20000028,Dunsilly_F4,ANTRIM
N20000034,Dunsilly_F8,ANTRIM
N20000024,Dunsilly_C4,ANTRIM
N20000033,Dunsilly_F7,ANTRIM
N20002925,Magherafelt_G3,COOKSTOWN
N20002927,Magherafelt_G4,COOKSTOWN
N20002928,Magherafelt_E4,COOKSTOWN
N20002919,Magherafelt_E3,COOKSTOWN
N20002917,Magherafelt_G2,COOKSTOWN
N20002914,Magherafelt_E2,MAGHERAFELT
N20002912,Magherafelt_C6,MAGHERAFELT
N20002910,Magherafelt_C5,MAGHERAFELT
N20002909,Magherafelt_C4,MAGHERAFELT
N20002908,Magherafelt_B5,MAGHERAFELT
N20002891,Moyola_H2,MAGHERAFELT
N20002892,Moyola_H3,MAGHERAFELT
N20002893,Moyola_H4,MAGHERAFELT
N20002916,Magherafelt_G1,COOKSTOWN
N20002887,Moyola_C4,MAGHERAFELT
N20002882,Moyola_C3,MAGHERAFELT
N20002868,Moyola_C2,MAGHERAFELT
N20002869,Moyola_A2,MAGHERAFELT
N20002870,Moyola_A3,MAGHERAFELT
N20002871,Moyola_E1,MAGHERAFELT
N20002879,Moyola_E4,MAGHERAFELT
N20002877,Moyola_E3,MAGHERAFELT
N20002881,Moyola_F2,MAGHERAFELT
N20002880,Moyola_F1,MAGHERAFELT
N20002883,Moyola_F3,MAGHERAFELT
N20002884,Moyola_F4,MAGHERAFELT
N20002889,Moyola_H1,MAGHERAFELT
N20002906,Magherafelt_B3,MAGHERAFELT
N20002907,Magherafelt_B4,MAGHERAFELT
N20002905,Magherafelt_A7,MAGHERAFELT
N20002904,Magherafelt_B2,MAGHERAFELT
N20002901,Magherafelt_A5,MAGHERAFELT
N20002899,Magherafelt_B1,MAGHERAFELT
N20002897,Magherafelt_A3,MAGHERAFELT
N20002895,Magherafelt_A2,MAGHERAFELT
N20002898,Magherafelt_A4,MAGHERAFELT
N20002896,Magherafelt_C1,MAGHERAFELT
N20002894,Magherafelt_A1,MAGHERAFELT
N20002900,Magherafelt_C2,MAGHERAFELT
N20002902,Magherafelt_A6,MAGHERAFELT
N20002903,Magherafelt_C3,MAGHERAFELT
N20002886,Moyola_G2,MAGHERAFELT
N20002867,Moyola_B1,MAGHERAFELT
N20002876,Moyola_E2,MAGHERAFELT
N20002872,Moyola_B2,MAGHERAFELT
N20002873,Moyola_D1,MAGHERAFELT
N20002875,Moyola_D3,MAGHERAFELT
N20002878,Moyola_D4,MAGHERAFELT
N20002874,Moyola_D2,MAGHERAFELT
N20002885,Moyola_G1,MAGHERAFELT
N20002888,Moyola_G3,MAGHERAFELT
N20002911,Magherafelt_D1,MAGHERAFELT
N20002913,Magherafelt_E1,MAGHERAFELT
N20002915,Magherafelt_D2,MAGHERAFELT
N20002922,Magherafelt_F2,COOKSTOWN
N20002923,Magherafelt_F3,COOKSTOWN
N20002921,Magherafelt_F1,COOKSTOWN
N20002924,Magherafelt_F4,COOKSTOWN
N20002926,Magherafelt_D5,COOKSTOWN
N20002918,Magherafelt_D3,COOKSTOWN
N20002931,Cookstown_A3,COOKSTOWN
N20002920,Magherafelt_D4,COOKSTOWN
N20002929,Cookstown_A1,COOKSTOWN
N20002930,Cookstown_A2,COOKSTOWN
N20002890,Moyola_G4,MAGHERAFELT
N20002863,Carntogher_D5,MAGHERAFELT
N20002864,Carntogher_D6,MAGHERAFELT
N20001981,Sperrin_F4,STRABANE
N20002223,Mid_Tyrone_A2,OMAGH
N20002221,Mid_Tyrone_A1,OMAGH
N20002224,Mid_Tyrone_A3,OMAGH
N20002225,Mid_Tyrone_B2,OMAGH
N20002222,Mid_Tyrone_B1,OMAGH
N20002226,Mid_Tyrone_B3,OMAGH
N20002227,Mid_Tyrone_B4,OMAGH
N20002150,West_Tyrone_A1,OMAGH
N20002024,Derg_G2,STRABANE
N20002017,Derg_G1,STRABANE
N20002007,Derg_D1,STRABANE
N20002010,Derg_E2,STRABANE
N20002011,Derg_E3,STRABANE
N20002009,Derg_E1,STRABANE
N20001991,Sperrin_K3,STRABANE
N20001992,Sperrin_K4,STRABANE
N20002004,Derg_B4,STRABANE
N20002000,Derg_B1,STRABANE
N20002002,Derg_B3,STRABANE
N20002001,Derg_B2,STRABANE
N20001988,Sperrin_K1,STRABANE
N20001997,Derg_A4,STRABANE
N20001982,Sperrin_G5,STRABANE
N20001983,Sperrin_G6,STRABANE
N20001986,Sperrin_J1,STRABANE
N20001987,Sperrin_J2,STRABANE
N20001985,Sperrin_H6,STRABANE
N20001996,Derg_A3,STRABANE
N20001995,Derg_A2,STRABANE
N20001984,Sperrin_H5,STRABANE
N20001980,Sperrin_H4,STRABANE
N20001974,Sperrin_H1,STRABANE
N20001977,Sperrin_H3,STRABANE
N20001994,Derg_A1,STRABANE
N20001970,Sperrin_E3,STRABANE
N20001965,Sperrin_E1,STRABANE
N20001969,Sperrin_E2,STRABANE
N20001972,Sperrin_E4,STRABANE
N20001976,Sperrin_H2,STRABANE
N20001979,Sperrin_G4,STRABANE
N20001978,Sperrin_G3,STRABANE
N20001975,Sperrin_G2,STRABANE
N20001973,Sperrin_G1,STRABANE
N20001966,Sperrin_D5,STRABANE
N20001967,Sperrin_D6,STRABANE
N20001968,Sperrin_C6,STRABANE
N20001971,Sperrin_F3,STRABANE
N20001990,Sperrin_K2,STRABANE
N20001993,Sperrin_K5,STRABANE
N20001989,Sperrin_F5,STRABANE
N20001954,Sperrin_F1,DERRY
N20001948,Sperrin_B2,DERRY
N20001952,Sperrin_C1,STRABANE
N20001959,Sperrin_C4,STRABANE
N20001955,Sperrin_B5,STRABANE
N20001958,Sperrin_C3,STRABANE
N20001960,Sperrin_D1,STRABANE
N20001961,Sperrin_C5,STRABANE
N20001964,Sperrin_D4,STRABANE
N20001962,Sperrin_D2,STRABANE
N20001963,Sperrin_D3,STRABANE
N20001957,Sperrin_C2,STRABANE
N20001951,Sperrin_B4,STRABANE
N20001945,Faughan_G7,STRABANE
N20001950,Sperrin_B3,STRABANE
N20001947,Sperrin_B1,STRABANE
N20001940,Faughan_G5,DERRY
N20001939,Faughan_G4,STRABANE
N20001941,Faughan_G6,STRABANE
N20001767,The_Moor_H3,DERRY
N20001928,Faughan_F1,DERRY
N20001930,Faughan_F2,DERRY
N20001933,Faughan_F5,DERRY
N20001932,Faughan_F4,DERRY
N20001934,Faughan_F6,DERRY
N20001931,Faughan_F3,DERRY
N20001904,Waterside_L4,DERRY
N20001925,Faughan_G1,DERRY
N20001926,Faughan_G2,DERRY
N20001763,The_Moor_D6,DERRY
N20001762,The_Moor_E2,DERRY
N20001765,The_Moor_F4,DERRY
N20001766,The_Moor_F5,DERRY
N20001889,Waterside_L3,DERRY
N20001764,The_Moor_G4,DERRY
N20001887,Waterside_N1,DERRY
N20001883,Waterside_L2,DERRY
N20001882,Waterside_G4,DERRY
N20001886,Waterside_J1,DERRY
N20001885,Waterside_G5,DERRY
N20001895,Waterside_J2,DERRY
N20001896,Waterside_J3,DERRY
N20001892,Waterside_N3,DERRY
N20001890,Waterside_N2,DERRY
N20001901,Waterside_N4,DERRY
N20001900,Waterside_J4,DERRY
N20001897,Waterside_K3,DERRY
N20001902,Waterside_P1,DERRY
N20001907,Waterside_P5,DERRY
N20001905,Waterside_P3,DERRY
N20001903,Waterside_P2,DERRY
N20001906,Waterside_P4,DERRY
N20001891,Waterside_H3,DERRY
N20001884,Waterside_H1,DERRY
N20001888,Waterside_H2,DERRY
N20001894,Waterside_K2,DERRY
N20001893,Waterside_K1,DERRY
N20001898,Waterside_K4,DERRY
N20001899,Waterside_K5,DERRY
N20001929,Faughan_E3,DERRY
N20001935,Faughan_G3,DERRY
N20001938,Faughan_E6,DERRY
N20001937,Faughan_E5,DERRY
N20001944,Faughan_H3,DERRY
N20001942,Faughan_H1,DERRY
N20001943,Faughan_H2,DERRY
N20001936,Faughan_E4,DERRY
N20001924,Faughan_D5,DERRY
N20001927,Faughan_E2,DERRY
N20001465,Benbradagh_D6,LIMAVADY
