DZ21,population,catholic_bg_pct
N20000570,434,24.6
N20000571,620,19.0
N20000572,733,5.9
N20000573,727,18.6
N20000574,726,15.5
N20000575,594,15.4
N20000577,488,12.1
N20000578,603,18.3
N20000579,608,10.9
N20000580,796,17.9
N20000581,421,6.7
N20000582,650,12.2
N20000583,517,13.3
N20000584,684,12.2
N20000585,479,18.2
N20000586,546,10.9
N20000587,746,11.0
N20000589,457,5.8
N20000590,454,26.7
N20000591,451,19.2
N20000592,654,41.4
N20000593,609,24.0
N20000594,410,24.8
N20000595,614,38.3
N20000597,336,60.8
N20000598,496,53.9
N20000599,491,22.8
N20000600,542,65.0
N20000601,446,39.2
N20000602,473,36.4
N20000603,605,18.5
N20000604,301,21.9
N20000605,391,64.3
N20000606,400,48.8
N20000608,449,29.2
N20000609,632,36.3
N20000610,543,29.1
N20000611,411,33.8
N20000612,456,36.7
N20000613,328,32.6
N20000614,782,24.2
N20000615,412,46.1
N20000616,343,38.4
N20000617,330,35.1
N20000618,420,39.6
N20000619,390,60.6
N20000620,613,39.1
N20000621,801,50.8
N20000622,460,50.5
N20000623,530,30.5
N20000624,298,45.2
N20000625,529,51.1
N20000627,526,41.0
N20000628,465,19.2
N20000629,474,23.9
N20000630,402,36.4
N20000631,377,37.5
N20000632,430,40.7
N20000633,406,22.9
N20000634,395,13.4
N20000635,646,36.9
N20000636,570,27.7
N20000637,574,25.8
N20000638,481,24.2
N20000639,530,27.8
N20000641,730,38.9
N20000642,420,52.0
N20000643,526,38.8
N20000645,657,45.3
N20000646,557,57.0
N20000647,523,54.7
N20000648,605,17.2
N20000649,777,35.7
N20000650,391,18.5
N20000651,762,64.6
N20000652,580,41.9
N20000653,688,33.7
N20000654,481,69.9
N20000655,436,6.1
N20000656,302,17.4
N20000657,668,22.9
N20000658,505,25.3
N20000659,418,49.2
N20000660,580,33.0
N20000661,564,43.5
N20000663,468,38.6
N20000664,611,5.9
N20000665,489,11.1
N20000666,432,4.5
N20000667,348,14.5
N20000668,224,10.6
N20000669,470,8.2
N20000670,484,7.8
N20000671,673,8.1
N20000672,328,9.2
N20000674,546,17.9
N20000675,578,4.3
N20000677,348,4.1
N20000678,607,8.6
N20000679,771,9.0
N20000680,454,9.9
N20000681,661,11.4
N20000682,494,13.1
N20000684,380,14.9
N20000685,775,16.0
N20000686,418,12.6
N20000687,506,9.2
N20000688,667,20.4
N20000689,704,12.1
N20000690,603,8.9
N20000691,534,6.8
N20000692,845,29.1
N20000693,476,12.4
N20000694,715,17.4
N20000695,704,12.4
N20000696,423,33.6
N20000697,635,10.9
N20000698,248,26.3
N20000699,562,34.0
N20000700,600,15.2
N20000701,748,76.3
N20000702,500,79.4
N20000703,614,10.3
N20000705,456,63.6
N20000706,767,92.5
N20000707,536,91.0
N20000708,565,32.0
N20000709,736,71.3
N20000710,874,79.0
N20000711,764,5.2
N20000712,475,78.7
N20000713,584,47.9
N20000714,248,7.8
N20000715,581,94.0
N20000716,626,12.3
N20000717,590,3.6
N20000718,447,7.8
N20000719,526,90.8
N20000720,389,4.8
N20000721,359,28.0
N20000722,412,16.3
N20000723,570,9.0
N20000725,372,84.6
N20000726,536,48.7
N20000727,390,9.3
N20000728,427,11.0
N20000729,359,8.1
N20000730,702,13.5
N20000731,728,70.8
N20000732,516,85.8
N20000733,590,73.6
N20000734,358,89.6
N20000735,518,91.2
N20000736,426,9.6
N20000737,491,12.3
N20000738,467,78.4
N20000739,309,9.4
N20000740,437,86.8
N20000741,448,87.5
N20000742,387,16.8
N20000743,448,76.2
N20000744,494,23.8
N20000745,401,75.5
N20000746,673,87.3
N20000747,389,81.4
N20000748,687,91.3
N20000749,648,80.4
N20000750,529,85.0
N20000751,427,90.9
N20000752,395,92.8
N20000753,487,93.1
N20000754,220,76.9
N20000755,502,92.2
N20000756,463,87.5
N20000757,441,71.6
N20000758,562,93.3
N20000759,429,62.8
N20000760,414,88.5
N20000761,529,92.2
N20000762,377,91.0
N20000763,374,64.7
N20000764,395,68.6
N20000765,370,88.3
N20000766,325,82.4
N20000767,563,80.0
N20000769,483,70.9
N20000770,579,72.8
N20000771,417,85.4
N20000772,221,68.5
N20000774,227,75.7
N20000775,441,78.6
N20000776,535,6.8
N20000779,345,85.7
N20000780,161,83.2
N20000781,419,93.0
N20000782,401,84.7
N20000783,581,85.9
N20000784,383,93.5
N20000785,470,92.4
N20000786,277,64.8
N20000787,517,88.0
N20000788,735,84.1
N20000789,450,71.0
N20000790,472,10.7
N20000791,504,57.2
N20000792,438,82.9
N20000793,525,78.2
N20000794,570,84.3
N20000795,649,25.0
N20000796,713,78.5
N20000797,531,56.7
N20000798,499,7.6
N20000799,562,82.1
N20000800,596,14.0
N20000801,500,10.0
N20000802,526,88.4
N20000804,344,64.8
N20000805,571,17.8
N20000806,478,7.0
N20000807,604,76.4
N20000808,521,83.5
N20000809,559,40.1
N20000810,428,81.1
N20000811,644,7.2
N20000812,318,87.8
N20000814,338,69.3
N20000815,371,86.3
N20000816,613,72.5
N20000817,749,60.3
N20000818,442,81.1
N20000819,356,46.8
N20000820,442,4.4
N20000821,318,29.7
N20000822,244,82.5
N20000823,501,34.6
N20000824,636,76.2
N20000825,320,51.3
N20000826,308,41.7
N20000827,516,77.1
N20000828,340,16.7
N20000829,327,11.5
N20000830,376,59.7
N20000831,523,86.3
N20000832,309,43.4
N20000833,521,76.2
N20000834,341,11.3
N20000835,722,13.0
N20000836,496,74.8
N20000837,574,7.0
N20000838,463,74.9
N20000840,380,80.2
N20000841,892,55.1
N20000842,320,26.5
N20000843,344,71.3
N20000844,520,5.9
N20000845,344,17.8
N20000846,413,86.1
N20000847,313,9.2
N20000848,477,64.3
N20000849,574,72.2
N20000850,282,13.0
N20000851,467,15.8
N20000852,440,10.2
N20000853,532,13.3
N20000854,329,34.3
N20000855,1498,46.5
N20000856,443,4.7
N20000857,568,33.8
N20000858,431,7.8
N20000859,376,17.4
N20000860,491,4.5
N20000861,412,10.7
N20000862,471,14.1
N20000863,319,11.5
N20000864,192,16.0
N20000865,395,9.2
N20000866,400,14.6
N20000867,393,11.4
N20000868,375,12.2
N20000869,388,11.6
N20000870,407,7.1
N20000871,399,11.9
N20000872,460,23.1
N20000873,327,8.2
N20000874,312,5.4
N20000875,458,23.4
N20000876,256,16.1
N20000877,528,6.5
N20000878,351,33.3
N20000879,265,17.3
N20000881,467,15.2
N20000882,499,26.6
N20000883,373,14.3
N20000884,304,15.9
N20000885,389,22.2
N20000886,455,68.0
N20000887,637,94.4
N20000888,523,19.5
N20000890,479,21.1
N20000891,371,17.6
N20000892,523,7.1
N20000893,519,16.5
N20000894,548,60.7
N20000895,232,18.8
N20000896,730,86.1
N20000897,411,21.6
N20000898,270,21.4
N20000899,444,22.7
N20000900,357,6.0
N20000901,356,41.7
N20000902,606,26.8
N20000903,429,8.2
N20000904,514,56.7
N20000905,407,22.8
N20000906,216,14.1
N20000907,403,19.1
N20000908,430,18.7
N20000909,693,15.2
N20000910,385,10.8
N20000911,277,3.4
N20000912,349,27.1
N20000913,319,25.2
N20000914,342,18.1
N20000915,280,15.0
N20000916,402,25.7
N20000917,435,19.7
N20000918,335,16.4
N20000919,421,9.2
N20000920,326,17.1
N20000921,309,7.4
N20000922,420,12.1
N20000923,372,12.4
N20000924,486,21.4
N20000925,238,24.1
N20000926,321,26.9
N20000927,586,12.3
N20000928,303,18.9
N20000929,320,17.3
N20000930,237,14.7
N20000931,508,21.0
N20000932,352,21.9
N20000933,398,22.1
N20000934,487,33.9
N20000935,449,6.3
N20000936,519,10.8
N20000937,470,21.5
N20000938,306,23.3
N20000939,348,32.9
N20000940,323,19.5
N20000941,629,23.3
N20000942,428,38.7
N20000943,367,27.3
N20000944,366,51.4
N20000945,385,14.5
N20000946,322,15.3
N20000947,374,7.7
N20000948,381,7.9
N20000949,579,4.7
N20000950,485,17.2
N20000952,439,13.5
N20000953,572,10.6
N20000954,336,10.2
N20000955,394,11.8
N20000956,828,10.3
N20000957,443,11.2
N20000958,666,10.6
N20000960,538,9.0
N20000961,454,11.1
N20000962,656,5.3
N20000963,332,19.2
N20000964,389,7.2
N20000965,529,13.5
N20000966,422,18.6
N20000967,495,16.3
N20000968,532,17.1
N20000969,595,13.6
N20000970,519,17.7
N20000971,536,15.0
N20000972,204,32.6
N20000973,329,18.5
N20000974,437,16.6
N20000975,597,21.2
N20000976,499,28.4
N20000977,425,14.7
N20000978,373,24.1
N20000979,536,15.8
N20000981,476,14.7
N20000982,621,17.7
N20000983,597,17.5
N20000984,557,24.3
N20000985,283,21.0
N20000986,330,9.7
N20000987,493,7.5
N20000988,700,12.9
N20000989,438,2.3
N20000990,381,6.9
N20000991,355,9.2
N20000992,395,12.0
N20000993,545,11.0
N20000994,570,3.9
N20000995,782,22.4
N20000996,431,4.4
N20000997,661,18.3
N20000998,370,15.1
N20001000,359,5.6
N20001001,466,15.7
N20001002,262,8.2
N20001003,337,6.8
N20001004,460,1.4
N20001005,537,16.7
N20001006,653,10.9
N20001007,769,10.9
N20001008,561,7.8
N20001009,430,8.2
N20001010,439,23.5
N20001013,548,7.4
N20001014,502,5.4
N20001015,615,11.1
N20001016,656,9.9
N20001017,320,17.4
N20001018,250,7.8
N20001019,509,21.4
N20001020,634,11.2
N20001021,455,35.4
N20001022,456,9.0
N20001023,448,17.4
N20001024,579,59.4
N20001025,264,15.7
N20001026,411,25.0
N20001027,364,39.5
N20001028,537,16.7
N20001029,337,34.9
N20001030,348,42.2
N20001031,326,11.9
N20001032,318,28.9
N20001033,544,10.0
N20001034,560,9.3
N20001035,567,60.0
N20001036,404,23.8
N20001037,466,35.8
N20001038,546,15.9
N20001039,561,10.7
N20001040,616,4.4
N20001041,562,11.1
N20001042,477,57.1
N20001043,265,9.2
N20001044,411,10.6
N20001045,386,10.5
N20001046,781,11.7
N20001048,304,9.2
N20001049,359,17.1
N20001050,584,13.5
N20001051,439,8.0
N20001052,429,19.6
N20001053,749,27.8
N20001054,483,12.4
N20001056,613,10.9
N20001057,333,58.3
N20001058,554,4.6
N20001059,450,40.7
N20001060,438,15.4
N20001061,577,62.3
N20001062,288,70.3
N20001063,633,50.7
N20001064,329,50.2
N20001065,546,9.5
N20001066,624,47.6
N20001067,363,13.8
N20001069,465,65.3
N20001070,668,61.6
N20001071,394,68.9
N20001072,529,65.5
N20001073,548,76.8
N20001074,445,38.9
N20001075,467,65.9
N20001076,611,70.7
N20001077,632,48.6
N20001078,287,45.5
N20001079,353,55.6
N20001080,1466,30.2
N20001081,374,57.5
N20001082,404,88.4
N20001083,449,91.0
N20001084,774,18.3
N20001085,555,29.2
N20001086,399,76.2
N20001087,901,24.2
N20001088,471,24.7
N20001089,226,5.3
N20001090,627,23.1
N20001091,381,14.1
N20001092,475,7.5
N20001093,401,4.9
N20001094,378,84.2
N20001095,541,13.1
N20001096,453,15.9
N20001097,315,11.9
N20001098,372,17.2
N20001099,332,33.7
N20001100,398,14.3
N20001101,502,40.3
N20001102,300,28.1
N20001103,504,44.9
N20001104,481,15.1
N20001105,332,55.7
N20001106,507,21.5
N20001108,218,27.9
N20001109,554,77.8
N20001110,285,48.3
N20001111,382,9.5
N20001112,513,45.2
N20001113,478,63.2
N20001114,427,66.8
N20001115,621,40.6
N20001116,338,11.1
N20001117,321,13.9
N20001118,484,72.3
N20001119,411,56.4
N20001120,593,64.4
N20001121,631,63.6
N20001122,252,44.0
N20001123,443,39.4
N20001124,617,45.3
N20001125,333,34.3
N20001126,653,32.5
N20001127,532,69.4
N20001128,254,23.7
N20001129,423,22.8
N20001130,538,81.4
N20001131,598,67.0
N20001132,507,43.7
N20001133,782,38.7
N20001134,580,59.9
N20001135,616,50.4
N20001136,487,45.7
N20001137,475,49.2
N20001138,465,53.0
N20001139,645,42.8
N20001140,556,39.1
N20001141,314,60.3
N20001142,621,42.2
N20001143,547,46.6
N20001144,524,47.6
N20001145,221,54.9
N20001147,416,21.5
N20001148,427,38.1
N20001149,642,38.4
N20001150,392,46.7
N20001151,543,47.5
N20001152,344,46.1
N20001153,638,46.2
N20001154,306,49.3
N20001155,436,53.7
N20001156,677,44.1
N20001157,408,48.6
N20001158,434,65.8
N20001159,437,57.1
N20001160,321,61.8
N20001161,411,54.4
N20001162,2149,44.4
N20001163,328,51.6
N20001164,524,63.9
N20001165,478,59.7
N20001166,551,68.7
N20001167,670,54.8
N20001168,499,50.3
N20001169,527,56.1
N20001170,464,53.0
N20001171,293,47.2
N20001172,1015,40.1
N20001173,418,47.7
N20001174,571,52.9
N20001175,344,46.7
N20001176,437,58.7
N20001177,484,57.2
N20001178,541,48.2
N20001179,268,60.0
N20001180,288,61.3
N20001181,280,56.9
N20001182,470,59.6
N20001183,453,64.5
N20001184,743,74.5
N20001185,508,55.7
N20001186,535,69.6
N20001187,254,57.2
N20001188,348,68.8
N20001189,435,71.0
N20001190,498,91.1
N20001191,431,69.8
N20001192,520,92.4
N20001193,352,74.1
N20001194,343,46.2
N20001195,682,74.5
N20001196,404,60.4
N20001197,436,92.6
N20001198,496,65.1
N20001199,542,57.5
N20001200,458,50.3
N20001201,471,37.8
N20001202,393,69.2
N20001203,466,19.1
N20001204,479,87.2
N20001205,366,30.2
N20001206,154,13.6
N20001207,324,5.1
N20001208,560,3.8
N20001209,396,43.2
N20001210,493,15.9
N20001211,464,14.1
N20001212,280,93.0
N20001213,344,22.8
N20001214,428,36.6
N20001215,657,13.1
N20001216,290,34.5
N20001217,563,31.2
N20001218,371,52.7
N20001219,424,35.5
N20001220,534,19.2
N20001221,443,44.1
N20001222,382,11.7
N20001223,623,13.9
N20001224,392,7.8
N20001225,238,9.5
N20001226,424,44.4
N20001227,271,9.8
N20001228,361,8.7
N20001229,418,9.6
N20001230,625,65.5
N20001231,553,48.0
N20001232,608,22.4
N20001233,492,51.1
N20001234,468,27.1
N20001235,320,90.6
N20001239,670,92.4
N20001240,532,89.0
N20001241,615,97.0
N20001242,729,91.3
N20001246,723,97.1
N20001247,481,88.5
N20001248,465,91.2
N20001249,648,22.4
N20001250,407,95.2
N20001251,695,94.7
N20001252,546,93.6
N20001253,737,94.2
N20001254,656,77.5
N20001255,753,91.8
N20001256,482,93.5
N20001257,597,96.3
N20001258,980,98.1
N20001259,721,96.4
N20001260,505,91.8
N20001261,856,93.4
N20001262,448,91.9
N20001263,598,93.8
N20001264,823,94.1
N20001265,514,95.1
N20001266,605,93.1
N20001267,575,87.3
N20001268,623,92.9
N20001269,516,90.0
N20001270,346,91.9
N20001271,446,82.8
N20001272,648,93.2
N20001273,388,93.5
N20001274,391,80.1
N20001275,394,65.7
N20001276,494,91.1
N20001277,738,93.2
N20001278,554,90.4
N20001279,605,92.3
N20001280,311,74.1
N20001281,313,78.9
N20001282,516,94.8
N20001283,359,90.8
N20001285,335,65.6
N20001286,308,89.5
N20001287,409,93.5
N20001288,517,95.9
N20001289,398,53.5
N20001290,1131,97.0
N20001291,576,94.0
N20001292,569,28.0
N20001294,231,24.7
N20001296,401,30.2
N20001297,481,91.7
N20001298,649,94.1
N20001300,634,90.4
N20001301,736,95.6
N20001303,488,86.1
N20001304,543,88.8
N20001305,541,95.8
N20001306,291,94.1
N20001307,586,73.3
N20001308,848,93.7
N20001309,896,93.6
N20001310,614,92.8
N20001311,395,85.6
N20001312,414,83.1
N20001313,535,94.2
N20001314,652,95.8
N20001315,468,81.5
N20001316,526,91.1
N20001318,475,92.5
N20001319,338,89.3
N20001320,468,93.6
N20001321,591,89.0
N20001322,453,88.8
N20001323,347,95.4
N20001324,516,87.2
N20001325,758,96.4
N20001326,669,96.8
N20001327,434,95.3
N20001328,609,88.3
N20001329,303,93.2
N20001330,410,90.9
N20001333,448,91.8
N20001334,703,95.0
N20001335,316,92.8
N20001336,251,89.5
N20001338,373,87.3
N20001339,683,95.6
N20001340,437,93.3
N20001342,579,94.7
N20001343,432,94.8
N20001345,483,92.3
N20001346,510,91.3
N20001347,314,91.2
N20001348,461,91.8
N20001351,631,93.3
N20001352,535,94.0
N20001354,430,92.1
N20001356,667,96.3
N20001358,585,92.2
N20001359,556,95.3
N20001360,427,94.9
N20001361,541,96.4
N20001362,499,95.0
N20001363,625,95.6
N20001365,484,86.4
N20001366,411,96.0
N20001368,252,91.8
N20001370,524,4.3
N20001371,462,31.8
N20001373,588,43.0
N20001375,583,2.0
N20001376,209,8.1
N20001377,386,14.9
N20001378,557,12.1
N20001379,490,6.3
N20001380,647,4.8
N20001381,743,3.7
N20001382,424,5.3
N20001383,587,9.0
