code,name,LGD,MDM_score,MDM_rank,MDM_decile,Income_score,Income_rank,Employment_score,Employment_rank,Health Depr. and Disability_score,Health Depr. and Disability_rank,Education Skills and Training_score,Education Skills and Training_rank,Proximity to Services_score,Proximity to Services_rank,Crime and Disorder_score,Crime and Disorder_rank,Living Environment_score,Living Environment_rank,IDAC and IDAOP_score,IDAC and IDAOP_rank
95BB09S2,Comber West_2,Ards,4.81,827,10,0.06,803,0.07,825,-0.72,740,5.44,721,-0.01,404,6.09,714,12.07,630,0.07,731
95BB10S1,Donaghadee North_1,Ards,13.46,564,7,0.16,506,0.12,600,-0.18,497,8.07,652,-0.08,440,56,67,15.57,546,0.14,557
95BB10S2,Donaghadee North_2,Ards,6.11,787,9,0.06,784,0.07,840,-0.65,707,2.93,799,0.74,189,6.11,711,7.3,771,0.07,735
95BB11S1,Donaghadee South_1,Ards,21.1,365,5,0.22,364,0.15,374,-0.28,543,41.24,144,0.32,292,12.35,527,10.2,694,0.23,394
95BB11S2,Donaghadee South_2,Ards,11.88,604,7,0.13,602,0.13,536,-0.28,547,16.67,435,0.19,330,6.93,683,7.04,780,0.09,694
95BB12S1,Glen_1,Ards,31.66,184,3,0.3,195,0.2,206,0.01,417,51.66,79,-0.85,770,32.07,209,41.26,95,0.41,163
95BB12S2,Glen_2,Ards,8.79,704,8,0.11,651,0.09,741,-0.66,716,5.66,715,-0.07,434,28.4,252,28.23,250,0.18,497
95BB13S1,Gregstown_1,Ards,11.33,619,7,0.17,484,0.12,596,-0.65,709,15.39,456,-0.06,429,7.83,652,15.49,550,0.19,474
95BB13S2,Gregstown_2,Ards,18.31,429,5,0.17,482,0.16,338,0.03,400,32.04,204,-0.51,649,7.95,648,16.47,514,0.22,415
95BB13S3,Gregstown_3,Ards,8.09,732,9,0.08,733,0.09,768,0.08,368,10.33,588,-0.3,550,6.64,693,11.6,650,0.1,662
95BB14S1,Killinchy_1,Ards,8.25,727,9,0.05,832,0.08,817,-0.62,695,3.29,784,1.13,80,6.94,682,14.34,572,0.06,783
95BB14S2,Killinchy_2,Ards,9.81,669,8,0.06,786,0.09,764,-0.67,722,3.87,764,1.28,60,17.28,418,10.1,698,0.06,784
