SA2011,lgd1993,catholic_pct_1971,lgd1971_pop
N00003738,NEWRY and MOURNE,71.4,72243
N00003772,NEWRY and MOURNE,71.4,72243
N00003773,NEWRY and MOURNE,71.4,72243
N00003863,NEWRY and MOURNE,71.4,72243
N00003741,NEWRY and MOURNE,71.4,72243
N00003872,NEWRY and MOURNE,71.4,72243
N00003779,NEWRY and MOURNE,71.4,72243
N00003681,NEWRY and MOURNE,71.4,72243
N00003778,NEWRY and MOURNE,71.4,72243
N00003682,NEWRY and MOURNE,71.4,72243
N00003679,NEWRY and MOURNE,71.4,72243
N00003678,NEWRY and MOURNE,71.4,72243
N00003739,NEWRY and MOURNE,71.4,72243
N00003742,NEWRY and MOURNE,71.4,72243
N00003737,NEWRY and MOURNE,71.4,72243
N00003740,NEWRY and MOURNE,71.4,72243
N00003756,NEWRY and MOURNE,71.4,72243
N00003754,NEWRY and MOURNE,71.4,72243
N00003755,NEWRY and MOURNE,71.4,72243
N00003786,NEWRY and MOURNE,71.4,72243
N00003775,NEWRY and MOURNE,71.4,72243
N00003770,NEWRY and MOURNE,71.4,72243
N00003771,NEWRY and MOURNE,71.4,72243
N00003768,NEWRY and MOURNE,71.4,72243
N00003788,NEWRY and MOURNE,71.4,72243
N00003787,NEWRY and MOURNE,71.4,72243
N00003710,NEWRY and MOURNE,71.4,72243
N00003708,NEWRY and MOURNE,71.4,72243
N00003707,NEWRY and MOURNE,71.4,72243
N00003853,NEWRY and MOURNE,71.4,72243
N00003711,NEWRY and MOURNE,71.4,72243
N00003792,NEWRY and MOURNE,71.4,72243
N00003791,NEWRY and MOURNE,71.4,72243
N00003798,NEWRY and MOURNE,71.4,72243
N00003795,NEWRY and MOURNE,71.4,72243
N00003796,NEWRY and MOURNE,71.4,72243
N00003797,NEWRY and MOURNE,71.4,72243
N00003794,NEWRY and MOURNE,71.4,72243
N00003793,NEWRY and MOURNE,71.4,72243
N00003849,NEWRY and MOURNE,71.4,72243
N00003850,NEWRY and MOURNE,71.4,72243
N00003723,NEWRY and MOURNE,71.4,72243
N00003726,NEWRY and MOURNE,71.4,72243
N00003725,NEWRY and MOURNE,71.4,72243
N00003721,NEWRY and MOURNE,71.4,72243
N00003722,NEWRY and MOURNE,71.4,72243
N00003731,NEWRY and MOURNE,71.4,72243
N00003732,NEWRY and MOURNE,71.4,72243
N00003733,NEWRY and MOURNE,71.4,72243
N00003729,NEWRY and MOURNE,71.4,72243
N00003730,NEWRY and MOURNE,71.4,72243
N00003728,NEWRY and MOURNE,71.4,72243
N00003828,NEWRY and MOURNE,71.4,72243
N00003830,NEWRY and MOURNE,71.4,72243
N00003724,NEWRY and MOURNE,71.4,72243
N00003727,NEWRY and MOURNE,71.4,72243
N00003854,NEWRY and MOURNE,71.4,72243
N00003851,NEWRY and MOURNE,71.4,72243
N00003855,NEWRY and MOURNE,71.4,72243
N00003852,NEWRY and MOURNE,71.4,72243
N00003856,NEWRY and MOURNE,71.4,72243
N00003706,NEWRY and MOURNE,71.4,72243
