SA2011,total_pop,total_households,adults18plus,rc_pct,protestant_pct,none_relig_pct,relig_notstated_pct,none_or_notstated_pct,cb_catholic_pct,cb_protestant_pct,irish_speak_pct,econ_active_pct,unemployment_pct,owner_occ_pct,social_rent_pct,private_rent_pct,no_car_pct,llti_pct,qualified_pct,degree_pct
N00002320,243.99994981588088,116.99997593630353,208.99995701442256,1.2345679012345678,86.00823045267491,,,12.757201646090536,2.4691358024691357,94.23868312757202,0.0,61.74863387978142,6.1946902654867255,71.79487179487178,11.11111111111111,17.094017094017094,31.896551724137932,28.688524590163933,49.72677595628415,8.743169398907103
N00002321,296.9998949137443,118.99995789473256,230.99991826624557,1.3468013468013469,87.20538720538721,,,11.447811447811446,2.356902356902357,94.27609427609427,1.0344827586206897,70.58823529411767,1.923076923076923,94.95798319327731,0.0,5.042016806722689,17.5,17.50841750841751,56.108597285067866,17.19457013574661
N00002322,369.99994289483135,121.99998117072818,279.9999567852778,1.3513513513513513,84.05405405405406,,,13.513513513513514,2.4324324324324325,94.05405405405408,1.6759776536312851,72.75985663082437,3.4482758620689657,94.26229508196722,2.4590163934426235,3.278688524590164,6.557377049180328,12.972972972972975,65.12455516014235,15.302491103202849
N00002323,317.99991722509503,117.99996928478369,247.99993544598604,2.5157232704402515,88.67924528301887,,,8.80503144654088,4.100946372239748,95.89905362776027,0.9771986970684038,71.42857142857142,1.7142857142857142,94.91525423728812,2.542372881355932,2.542372881355932,3.361344537815126,15.094339622641508,69.00826446280992,20.24793388429752
N00002324,328.99988411884755,119.99995773331825,236.99991652330357,1.5197568389057752,89.36170212765958,,,9.118541033434651,2.1341463414634148,97.8658536585366,0.0,74.24892703862662,1.7341040462427744,95.0,0.0,5.0,11.764705882352942,14.285714285714286,66.95278969957081,11.587982832618026
N00002325,369.999972240153,123.99999069669991,275.99997929265464,0.8108108108108106,78.91891891891892,,,18.648648648648646,3.2432432432432425,93.24324324324324,0.8264462809917353,67.25978647686833,1.5873015873015872,91.93548387096774,4.838709677419354,3.2258064516129035,5.737704918032787,15.135135135135133,67.61565836298932,18.861209964412815
N00002326,358.99992221031573,134.99997074761177,259.9999436620671,4.456824512534819,79.10863509749305,,,14.763231197771589,6.963788300835654,90.52924791086352,0.0,67.6,4.1420118343195265,73.33333333333334,24.444444444444443,2.2222222222222223,21.73913043478261,18.662952646239553,55.99999999999999,8.799999999999999
N00002327,728.9999417423527,260.99997888657526,539.9999565196997,3.159340702186968,80.35714284503412,,,15.796703276832543,4.520547994632586,91.78082188246377,0.0,74.6691871534433,2.7848101279194077,94.63601533783454,0.0,5.363984662165482,4.942965772500752,12.208504805211042,66.72967871388136,21.928166446255634
N00002328,424.9999239336367,134.99997583774342,271.99995131752746,4.470588235294118,75.99999999999999,,,17.41176470588235,5.176470588235294,88.47058823529412,0.0,77.89473684210525,2.2522522522522523,97.77777777777779,0.0,2.222222222222222,0.0,9.411764705882353,77.54385964912281,20.70175438596491
N00002329,307.9998874250849,136.99994992609297,244.9999104517721,0.9708737864077669,87.37864077669903,,,11.650485436893204,2.5974025974025974,93.18181818181819,0.0,65.75342465753425,2.083333333333333,72.99270072992701,24.087591240875916,2.9197080291970807,25.0,24.35064935064935,56.68202764976959,13.824884792626726
N00002330,370.9999784719937,124.99999274662859,275.99998398455597,25.53763440860215,61.82795698924732,,,11.827956989247312,27.493261455525605,68.19407008086253,6.442577030812325,74.25373134328358,1.5075376884422111,97.60000000000001,0.0,2.4,6.9767441860465125,15.63342318059299,67.16417910447761,17.16417910447761
N00002331,377.9999846980541,128.99999477790735,266.99998919148265,55.291005291005284,37.3015873015873,,,7.4074074074074066,58.46560846560846,39.682539682539684,11.559139784946236,63.11475409836065,1.948051948051948,81.3953488372093,10.077519379844961,8.527131782945736,10.236220472440944,20.105820105820104,60.49382716049383,21.39917695473251
N00002332,312.9999362000628,131.99997309395619,225.99995393359168,21.405750798722043,60.70287539936102,,,17.891373801916934,25.87859424920128,70.6070287539936,1.0033444816053512,70.23255813953489,3.311258278145695,69.6969696969697,23.484848484848488,6.818181818181818,23.66412213740458,18.849840255591054,49.06542056074766,11.682242990654204
N00002333,318.99996569667866,127.99998623565789,228.9999753747317,29.46708463949843,54.2319749216301,,,16.30094043887147,31.03448275862069,65.20376175548589,5.0,77.77777777777779,2.2857142857142856,97.65624999999999,0.0,2.34375,6.153846153846154,10.344827586206895,74.66666666666667,21.77777777777778
N00002334,357.9998987514523,125.99996436503628,262.9999256190837,32.9608938547486,52.23463687150838,,,14.804469273743019,36.871508379888276,62.29050279329609,0.872093023255814,63.83763837638377,5.202312138728323,76.98412698412699,19.047619047619047,3.968253968253969,19.68503937007874,16.4804469273743,60.14760147601476,13.284132841328413
N00002335,335.0004197220303,127.00015408118536,253.00032307548003,16.716410325834392,69.85075016032515,,,13.43283951384046,18.50745500259205,76.11941096713498,3.3232613052967874,68.2926844992086,3.5714260428862334,75.59057507127494,9.448807006323603,14.960617922401465,16.535417953226542,19.999985871863622,59.75612286031331,18.29270338618686
N00002336,338.9998977655776,121.999963207671,254.99992309800086,0.8823529411764707,86.17647058823529,,,12.941176470588236,2.9498525073746316,94.69026548672566,0.0,63.095238095238095,3.144654088050314,97.54098360655738,2.459016393442623,0.0,7.258064516129032,18.58407079646018,47.82608695652174,5.533596837944663
N00002337,358.9998786381252,122.99995841919052,254.9999137958828,94.15041782729804,0.0,,,5.8495821727019495,97.77158774373257,2.228412256267409,11.494252873563216,55.26315789473685,10.884353741496597,64.22764227642277,30.894308943089428,4.878048780487805,34.71074380165289,23.95543175487465,41.35338345864661,5.639097744360903
N00002338,286.9998884761334,115.99995492415147,207.99991917434056,0.0,89.89547038327525,,,10.104529616724738,0.0,98.60627177700347,0.0,60.301507537688444,5.833333333333334,55.172413793103445,39.6551724137931,5.172413793103448,37.5,23.693379790940767,39.0,4.0
