code,name,LGD,MDM_score,MDM_rank,MDM_decile,Income Deprivation_score,Income Deprivation_rank,Employment Deprivation_score,Employment Deprivation_rank,Proximity to Services_score,Proximity to Services_rank,Crime and Disorder_score,Crime and Disorder_rank
95AA030002,Ballycraigy,Antrim,13.99,3048,7,0.11,3809,0.09,3530,1.97,2518,22.66,1834
95AA030003,Ballycraigy,Antrim,30.07,1223,3,0.28,1918,0.18,1253,1.84,2713,31.56,1196
95AA030004,Ballycraigy,Antrim,36.01,852,2,0.43,976,0.17,1420,1.88,2657,15.75,2527
95AA030005,Ballycraigy,Antrim,35.06,900,2,0.32,1577,0.23,581,1.9,2631,32.17,1159
95AA030006,Ballycraigy,Antrim,24.96,1641,4,0.24,2281,0.11,2714,1.84,2707,27.05,1482
95AA030007,Ballycraigy,Antrim,34.95,908,2,0.32,1609,0.23,644,1.88,2663,35.66,995
95AA040001,Clady,Antrim,8.02,4103,9,0.06,4552,0.05,4680,6.89,340,10.6,3209
95AA040002,Clady,Antrim,12.61,3285,7,0.08,4195,0.09,3508,7.44,225,17.02,2385
95AA040003,Clady,Antrim,9.77,3806,8,0.07,4334,0.06,4312,5.75,598,29.21,1331
95AA040004,Clady,Antrim,11.2,3535,8,0.14,3318,0.07,3978,4.63,888,43.2,670
95AA040005,Clady,Antrim,8.24,4066,9,0.12,3584,0.06,4298,3.53,1223,9.89,3315
95AA040006,Clady,Antrim,6.38,4369,9,0.02,4905,0.06,4379,4.77,848,6.59,3897
95AA040007,Clady,Antrim,13.72,3088,7,0.1,3857,0.1,3128,7.01,312,30.75,1231
95AA050001,Cranfield,Antrim,11.09,3554,8,0.11,3776,0.08,3864,6.53,416,0.76,4945
95AA050002,Cranfield,Antrim,11.09,3557,8,0.13,3456,0.1,3003,3.24,1326,8.48,3553
95AA050003,Cranfield,Antrim,9.11,3920,8,0.11,3731,0.04,4700,5.7,609,2.12,4722
95AA050004,Cranfield,Antrim,8.72,3993,8,0.11,3730,0.08,3648,2.7,1632,3.94,4370
95AA050005,Cranfield,Antrim,22.86,1852,4,0.3,1748,0.16,1522,2.26,2074,16.37,2462
95AA050006,Cranfield,Antrim,10.4,3682,8,0.16,3077,0.08,3590,2.55,1750,6.53,3907
95AA060001,Crumlin 2 (Antrim),Antrim,22.67,1879,4,0.33,1537,0.13,2226,2.92,1487,29.34,1316
95AA060002,Crumlin 1 (Antrim),Antrim,18.87,2309,5,0.27,2006,0.15,1760,3.11,1394,8.41,3563
95AA060003,Crumlin 2 (Antrim),Antrim,11.05,3563,8,0.13,3555,0.11,2935,3.44,1256,4,4352
95AA060004,Crumlin 1 (Antrim),Antrim,10.77,3611,8,0.15,3186,0.08,3898,4.33,972,19.59,2109
95AA060005,Crumlin 2 (Antrim),Antrim,10.22,3715,8,0.1,3960,0.11,2673,3.1,1398,5.44,4087
95AA060006,Crumlin 1 (Antrim),Antrim,6.64,4326,9,0.09,4064,0.07,4171,3.68,1170,3.37,4488
95AA060007,Crumlin 1 (Antrim),Antrim,9.92,3776,8,0.14,3367,0.07,3953,3.25,1321,6.6,3895
95AA060008,Crumlin 2 (Antrim),Antrim,7.7,4153,9,0.08,4269,0.08,3863,3.3,1301,10.69,3203
95AA060009,Crumlin 2 (Antrim),Antrim,22.85,1854,4,0.33,1525,0.15,1783,3,1452,66.28,181
95AA060010,Crumlin 2 (Antrim),Antrim,22.17,1924,4,0.35,1435,0.13,2280,2.81,1555,57.98,299
95AA060011,Crumlin 1 (Antrim),Antrim,18.62,2325,5,0.28,1877,0.13,2240,2.85,1532,30.09,1272
95AA070001,Drumanaway,Antrim,9.58,3841,8,0.08,4255,0.06,4344,5.4,685,3.55,4448
95AA070002,Drumanaway,Antrim,12.38,3318,7,0.16,3117,0.09,3536,5.36,703,1.78,4792
95AA070003,Drumanaway,Antrim,11.4,3492,7,0.11,3835,0.12,2611,2.82,1552,2.67,4617
95AA070004,Drumanaway,Antrim,20.99,2063,5,0.29,1804,0.12,2547,2.1,2310,17.08,2376
95AA070005,Drumanaway,Antrim,21.64,1990,4,0.29,1807,0.12,2555,2.3,2012,23.11,1806
95AA070006,Drumanaway,Antrim,11.24,3524,8,0.17,2948,0.08,3755,2.11,2291,11.24,3109
95AA080001,Farranshane,Antrim,52.71,261,1,0.66,209,0.29,250,1.95,2549,42.6,698
95AA080002,Farranshane,Antrim,33.9,963,2,0.36,1347,0.23,648,2.52,1765,50.65,448
95AA080003,Farranshane,Antrim,31.46,1116,3,0.26,2045,0.2,898,1.81,2780,83.02,49
95AA080004,Farranshane,Antrim,29.63,1256,3,0.34,1469,0.18,1305,2.66,1660,56.38,321
95AA080005,Farranshane,Antrim,29.03,1310,3,0.27,1968,0.19,1056,2.16,2206,33.14,1104
95AA080006,Farranshane,Antrim,25.03,1632,4,0.28,1908,0.18,1314,1.95,2546,22.84,1820
95AA090001,Fountain Hill,Antrim,27.2,1444,3,0.41,1098,0.12,2548,1.16,4115,27.63,1435
95AA090002,Fountain Hill,Antrim,23.12,1819,4,0.28,1906,0.16,1541,1.28,3886,13.7,2771
95AA090003,Fountain Hill,Antrim,30.92,1157,3,0.41,1084,0.15,1736,1.14,4155,44.88,609
95AA090004,Fountain Hill,Antrim,46.3,410,1,0.65,237,0.26,416,1.36,3701,29.33,1318
95AA090005,Fountain Hill,Antrim,11.78,3415,7,0.11,3770,0.11,2689,1.55,3296,29.07,1335
95AA090006,Fountain Hill,Antrim,5.03,4623,10,0.06,4473,0.05,4540,1.75,2883,5.63,4047
95AA090007,Fountain Hill,Antrim,22.44,1897,4,0.34,1513,0.16,1673,1.15,4119,11.97,2993
95AA100001,Greystone (Antrim),Antrim,43.22,518,2,0.57,404,0.28,305,1.3,3849,62.74,228
95AA100002,Greystone (Antrim),Antrim,10.43,3677,8,0.09,3998,0.09,3470,1.73,2922,18.73,2196
95AA100003,Greystone (Antrim),Antrim,6.91,4290,9,0.09,4151,0.04,4689,1.72,2952,3.44,4467
95AA100004,Greystone (Antrim),Antrim,37.5,761,2,0.47,760,0.23,616,1.5,3390,63.75,211
95AA100005,Greystone (Antrim),Antrim,4.88,4648,10,0.06,4491,0.04,4738,2.01,2461,2.3,4690
95AA100006,Greystone (Antrim),Antrim,43.98,496,1,0.61,316,0.22,782,1.55,3303,66.94,177
95AA110001,Massereene 2,Antrim,9.99,3763,8,0.12,3637,0.09,3455,2,2464,35.86,986
95AA110002,Massereene 2,Antrim,11.64,3446,7,0.12,3650,0.15,1825,1.33,3767,16.81,2404
95AA110003,Massereene 2,Antrim,4.61,4694,10,0.06,4440,0.05,4599,1.27,3893,8.02,3630
95AA110004,Massereene 2,Antrim,4.52,4713,10,0.04,4785,0.07,4079,0.89,4580,26.09,1554
95AA110005,Massereene 1,Antrim,9.63,3828,8,0.08,4157,0.13,2298,1.07,4286,3.23,4512
95AA110006,Massereene 1,Antrim,16.33,2649,6,0.23,2342,0.16,1604,0.76,4744,39.41,830
95AA110007,Massereene 1,Antrim,7.09,4252,9,0.08,4243,0.08,3778,1.73,2937,10.25,3257
95AA110008,Massereene 1,Antrim,31.65,1098,3,0.45,874,0.22,667,0.77,4730,29.97,1279
95AA110009,Massereene 1,Antrim,12.8,3242,7,0.14,3438,0.1,3260,0.73,4790,51.36,428
95AA110010,Massereene 1,Antrim,12.72,3254,7,0.17,3024,0.08,3886,1.77,2853,20.96,1976
95AA110011,Massereene 2,Antrim,4.3,4748,10,0.06,4565,0.04,4808,2.11,2292,9.37,3396
95AA120001,Parkgate,Antrim,8,4109,9,0.06,4492,0.05,4597,7.1,285,3.91,4381
95AA120002,Parkgate,Antrim,6.17,4404,9,0.02,4925,0.08,3921,4.53,910,8.44,3559
95AA120003,Parkgate,Antrim,11.95,3390,7,0.17,2984,0.09,3394,4.16,1013,27.52,1443
95AA120004,Parkgate,Antrim,6.32,4380,9,0.03,4845,0.06,4459,5.52,645,9.25,3420
95AA120005,Parkgate,Antrim,12.98,3212,7,0.09,4021,0.09,3354,8.35,113,8.72,3505
95AA120006,Parkgate,Antrim,7.02,4264,9,0.06,4449,0.06,4400,5.97,545,0.76,4943
95AA130001,Randalstown 2,Antrim,33.65,980,2,0.47,767,0.25,477,1.66,3080,33.5,1090
95AA130002,Randalstown 2,Antrim,6.43,4358,9,0.14,3368,0.06,4267,1.78,2824,2.69,4611
95AA130003,Randalstown 2,Antrim,7.09,4253,9,0.13,3469,0.07,3950,1.83,2736,8.64,3518
95AA130004,Randalstown 1,Antrim,15.28,2823,6,0.19,2739,0.13,2246,1.98,2505,31.08,1208
95AA130005,Randalstown 2,Antrim,13.76,3082,7,0.23,2284,0.12,2489,1.8,2804,15.17,2609
95AA130006,Randalstown 1,Antrim,15.49,2797,6,0.24,2241,0.12,2465,1.9,2621,7.04,3815
95AA130007,Randalstown 1,Antrim,9.81,3799,8,0.09,4057,0.12,2581,2.12,2266,11.34,3091
95AA130008,Randalstown 1,Antrim,8.65,3997,8,0.06,4516,0.06,4399,4.18,1009,14.07,2722
95AA140001,Shilvodan,Antrim,9.59,3840,8,0.07,4311,0.09,3529,5.23,736,5.83,4016
95AA140002,Shilvodan,Antrim,12.99,3208,7,0.14,3432,0.1,3242,5.39,689,16.76,2411
95AA140003,Shilvodan,Antrim,10.39,3684,8,0.11,3816,0.1,3135,4.91,818,3.1,4535
95AA140004,Shilvodan,Antrim,11.6,3455,7,0.12,3670,0.1,3026,4.92,812,2.18,4713
95AA140005,Shilvodan,Antrim,12.95,3217,7,0.08,4172,0.13,2319,5.39,695,4.12,4333
95AA150001,Springfarm 2,Antrim,23.47,1774,4,0.25,2180,0.12,2541,2.1,2315,60.47,257
95AA150002,Springfarm 2,Antrim,11.58,3460,7,0.09,4149,0.08,3655,1.97,2517,28.04,1410
95AA150003,Springfarm 1,Antrim,9.61,3832,8,0.11,3837,0.08,3894,1.72,2947,12.24,2955
95AA150004,Springfarm 1,Antrim,11.71,3436,7,0.07,4327,0.09,3567,2.47,1811,27.76,1429
95AA150005,Springfarm 1,Antrim,26.69,1486,3,0.43,989,0.16,1625,1.37,3700,23.65,1764
95AA150006,Springfarm 1,Antrim,20.33,2150,5,0.27,1946,0.14,2097,1.01,4373,35.29,1012
95AA150007,Springfarm 2,Antrim,27.01,1466,3,0.31,1668,0.14,2105,3.37,1275,23.75,1751
95AA150008,Springfarm 2,Antrim,22.19,1922,4,0.24,2214,0.12,2466,2.2,2148,40.43,780
95AA160001,Steeple,Antrim,26.23,1527,4,0.27,1961,0.13,2133,1.38,3649,19.77,2095
95AA160002,Steeple,Antrim,42.28,559,2,0.52,572,0.23,582,1.23,3991,46.19,566
95AA160003,Steeple,Antrim,37.93,740,2,0.43,966,0.25,463,1.2,4045,33.29,1097
95AA160004,Steeple,Antrim,13.34,3141,7,0.14,3317,0.09,3396,1.67,3069,21.02,1968
95AA160005,Steeple,Antrim,21.62,1993,4,0.25,2199,0.13,2213,1.65,3092,20.21,2043
95AA160006,Steeple,Antrim,23.2,1811,4,0.3,1769,0.15,1815,1.42,3569,25.36,1607
95AA170001,Stiles,Antrim,7.13,4247,9,0.06,4532,0.07,4102,1.51,3373,11.4,3085
95AA170002,Stiles,Antrim,14.82,2904,6,0.2,2653,0.1,3239,1.41,3587,19.11,2163
95AA170003,Stiles,Antrim,19.62,2225,5,0.24,2238,0.11,2886,1.6,3199,52.5,396
95AA170004,Stiles,Antrim,11.52,3469,7,0.09,4075,0.08,3665,1.58,3238,23.53,1776
95AA170005,Stiles,Antrim,26.52,1492,3,0.35,1414,0.15,1846,1.72,2949,27.28,1459
95AA170006,Stiles,Antrim,34.89,912,2,0.37,1331,0.22,720,1.34,3757,55.09,340
95AA170007,Stiles,Antrim,47.41,378,1,0.6,335,0.24,535,1.5,3398,48.7,493
95AA180001,Templepatrick,Antrim,4.28,4754,10,0.03,4891,0.04,4769,2.39,1907,27.67,1433
95AA180002,Templepatrick,Antrim,4.54,4708,10,0.05,4639,0.05,4611,2.66,1657,7.8,3674
95AA180003,Templepatrick,Antrim,5.05,4614,10,0.07,4375,0.07,4141,2.37,1926,10.86,3178
95AA180004,Templepatrick,Antrim,20.66,2108,5,0.3,1749,0.2,990,1.79,2819,20.59,2010
95AA180005,Templepatrick,Antrim,4.2,4762,10,0.04,4802,0.03,4846,2.58,1727,14.68,2659
95AA180006,Templepatrick,Antrim,2.38,4998,10,0.02,4920,0.01,4997,2.22,2127,1.32,4863
95AA180007,Templepatrick,Antrim,6.23,4395,9,0.08,4223,0.06,4261,3.49,1237,12.21,2963
95AA190001,Toome,Antrim,13.23,3161,7,0.17,2944,0.09,3488,5.78,592,3.91,4380
95AA190002,Toome,Antrim,12.04,3377,7,0.18,2819,0.08,3636,5.52,646,3.51,4456
95AA190003,Toome,Antrim,22.27,1914,4,0.29,1829,0.17,1475,4.65,881,10.37,3237
95AA190004,Toome,Antrim,11.57,3462,7,0.11,3819,0.06,4330,7.65,194,7.72,3689
95AA190005,Toome,Antrim,23.04,1832,4,0.24,2240,0.2,987,4.99,796,11.57,3058
95AA190006,Toome,Antrim,35.22,888,2,0.57,411,0.16,1667,3.93,1083,18.46,2226
95BB010001,Ballygowan 1,Ards,4.72,4677,10,0.03,4823,0.04,4752,3.65,1179,5.46,4080
95BB010002,Ballygowan 1,Ards,5.96,4447,9,0.04,4712,0.07,4167,3.59,1204,13.85,2753
95BB010003,Ballygowan 1,Ards,7.59,4169,9,0.1,3887,0.03,4875,5.6,629,2.21,4708
95BB010004,Ballygowan 2,Ards,7.14,4246,9,0.09,4116,0.05,4517,3.17,1364,16.87,2399
95BB010005,Ballygowan 2,Ards,21.24,2033,5,0.25,2160,0.15,1742,3.3,1296,26.87,1493
95BB010006,Ballygowan 2,Ards,8.69,3996,8,0.06,4483,0.09,3533,3.04,1423,14.63,2663
95BB010007,Ballygowan 2,Ards,8.32,4048,9,0.07,4347,0.11,2938,2.98,1460,1.63,4812
95BB010008,Ballygowan 1,Ards,21.17,2040,5,0.29,1830,0.14,1907,3.8,1122,41.27,745
95BB010009,Ballygowan 2,Ards,4.88,4647,10,0.02,4900,0.04,4699,3.29,1304,9.64,3358
95BB020001,Ballyrainey,Ards,15.05,2865,6,0.13,3510,0.13,2258,1.8,2790,9.01,3464
95BB020002,Ballyrainey,Ards,18.28,2360,5,0.26,2033,0.11,2839,1.36,3705,35.62,998
95BB020003,Ballyrainey,Ards,25.25,1610,4,0.38,1233,0.13,2135,0.83,4650,9.85,3323
95BB020004,Ballyrainey,Ards,34.38,937,2,0.37,1337,0.22,703,1.09,4227,39.74,817
95BB020005,Ballyrainey,Ards,26,1547,4,0.29,1799,0.17,1471,1.18,4065,11.69,3036
95BB020006,Ballyrainey,Ards,33.25,1007,3,0.39,1216,0.19,1124,1.2,4037,49.03,485
95BB020007,Ballyrainey,Ards,31.4,1119,3,0.38,1258,0.19,1086,1.4,3613,46.74,550
95BB020008,Ballyrainey,Ards,41.13,614,2,0.49,697,0.27,327,1.53,3346,11.73,3033
95BB020009,Ballyrainey,Ards,7.57,4175,9,0.05,4674,0.04,4836,3.07,1413,20.11,2055
95BB020010,Ballyrainey,Ards,25.19,1619,4,0.31,1659,0.17,1505,0.89,4579,19.83,2085
95BB030001,Ballywalter 2,Ards,22.13,1926,4,0.3,1733,0.16,1703,4.56,903,9.28,3411
95BB030002,Ballywalter 2,Ards,11.38,3497,7,0.13,3559,0.09,3518,4.38,958,15.71,2531
95BB030003,Ballywalter 2,Ards,12.78,3246,7,0.16,3070,0.1,3189,4.55,906,8.48,3552
95BB030004,Ballywalter 2,Ards,6.79,4307,9,0.06,4436,0.04,4715,4.76,852,2.31,4689
95BB030005,Ballywalter 2,Ards,9.95,3771,8,0.09,4034,0.08,3829,6.44,446,5.09,4158
95BB030006,Ballywalter 2,Ards,12.17,3360,7,0.09,4099,0.11,2889,6.82,355,5.5,4074
95BB030007,Ballywalter 1,Ards,23.58,1766,4,0.27,1956,0.15,1840,5.06,777,17.36,2343
95BB030008,Ballywalter 1,Ards,14.59,2938,6,0.13,3461,0.11,2848,5.02,787,8.01,3633
95BB030009,Ballywalter 1,Ards,17.34,2492,5,0.16,3113,0.14,2115,5.19,745,3.65,4429
95BB030010,Ballywalter 1,Ards,21.09,2049,5,0.23,2345,0.13,2150,4.66,877,39.28,838
95BB030011,Ballywalter 1,Ards,32.99,1019,3,0.4,1153,0.2,980,4.89,823,23.1,1809
95BB040001,Bradshaw's Brae 1,Ards,15.53,2788,6,0.27,1988,0.12,2573,0.67,4877,26.76,1504
95BB040002,Bradshaw's Brae 1,Ards,10.95,3582,8,0.16,3104,0.09,3502,0.72,4809,26.07,1555
95BB040003,Bradshaw's Brae 2,Ards,7.05,4260,9,0.05,4622,0.08,3695,4.68,871,6.37,3934
95BB040004,Bradshaw's Brae 1,Ards,2.66,4982,10,0.01,5002,0.04,4819,1.13,4174,1.92,4757
95BB040005,Bradshaw's Brae 2,Ards,7.07,4257,9,0.06,4529,0.08,3643,2.75,1605,12.15,2969
95BB040006,Bradshaw's Brae 2,Ards,11.69,3440,7,0.12,3665,0.12,2534,1.78,2837,2.94,4562
95BB040007,Bradshaw's Brae 1,Ards,14.83,2902,6,0.15,3212,0.14,2124,1.24,3960,33.24,1099
95BB040008,Bradshaw's Brae 2,Ards,5.61,4516,9,0.07,4326,0.08,3851,1.54,3308,20.44,2024
95BB040009,Bradshaw's Brae 2,Ards,3.53,4874,10,0.03,4846,0.05,4666,1.09,4231,29.38,1312
95BB040010,Bradshaw's Brae 1,Ards,27.68,1410,3,0.35,1409,0.21,787,0.76,4754,24.79,1653
95BB050001,Carrowdore 2,Ards,9.11,3922,8,0.11,3769,0.04,4835,5.25,732,2.74,4603
95BB050002,Carrowdore 2,Ards,12.04,3380,7,0.1,3867,0.11,2928,5.27,729,4.79,4215
95BB050003,Carrowdore 1,Ards,11.61,3453,7,0.09,4130,0.1,3099,6.45,442,11.27,3104
95BB050004,Carrowdore 2,Ards,12.69,3261,7,0.06,4503,0.11,2808,6.86,348,15.16,2610
95BB050005,Carrowdore 2,Ards,38.08,733,2,0.42,1032,0.24,489,5.51,650,12.84,2886
95BB050006,Carrowdore 1,Ards,14.6,2935,6,0.19,2699,0.12,2517,5.5,658,6.4,3933
95BB050007,Carrowdore 1,Ards,18.02,2394,5,0.21,2505,0.12,2528,5.73,605,12.47,2923
95BB050008,Carrowdore 2,Ards,15.03,2869,6,0.08,4244,0.14,2117,5.89,562,1.73,4798
95BB050009,Carrowdore 1,Ards,10.96,3580,8,0.09,4083,0.09,3397,5.87,568,0.53,4965
95BB060001,Central (Ards),Ards,40.66,631,2,0.51,611,0.26,424,0.67,4880,46.95,542
95BB060002,Central (Ards),Ards,20.94,2072,5,0.22,2448,0.12,2495,1.35,3728,53.21,379
95BB060003,Central (Ards),Ards,9.95,3772,8,0.08,4241,0.08,3806,1.07,4277,6.12,3970
95BB060004,Central (Ards),Ards,54.09,230,1,0.66,200,0.36,80,0.97,4451,42.89,684
95BB060005,Central (Ards),Ards,31.24,1133,3,0.41,1121,0.21,852,1.09,4230,13.46,2794
95BB060006,Central (Ards),Ards,22.73,1869,4,0.31,1646,0.13,2137,0.85,4628,41.84,727
95BB060007,Central (Ards),Ards,15.44,2804,6,0.23,2298,0.1,3113,1.03,4348,24.64,1663
95BB060008,Central (Ards),Ards,37.68,751,2,0.49,684,0.18,1241,0.75,4770,50.61,449
95BB060009,Central (Ards),Ards,22.34,1909,4,0.37,1334,0.1,3223,1.1,4208,25.26,1617
95BB060010,Central (Ards),Ards,42.23,563,2,0.45,828,0.29,246,0.96,4460,53.64,371
95BB060011,Central (Ards),Ards,37.27,777,2,0.47,744,0.21,868,0.63,4917,80.18,63
95BB070001,Comber East 1,Ards,20.81,2085,5,0.26,2097,0.16,1588,1.38,3669,7.7,3692
95BB070002,Comber East 1,Ards,9.6,3838,8,0.09,4072,0.08,3757,1.08,4270,35.38,1009
95BB070003,Comber East 1,Ards,17.26,2499,5,0.23,2317,0.11,2980,0.96,4458,59.89,266
95BB070004,Comber East 2,Ards,21.26,2029,5,0.31,1711,0.16,1564,1.59,3208,7.76,3684
95BB070005,Comber East 1,Ards,14.84,2897,6,0.26,2041,0.11,2944,1.25,3954,5.08,4161
95BB070006,Comber East 2,Ards,3.51,4877,10,0.03,4835,0.04,4771,1.83,2729,13.55,2786
95BB070007,Comber East 1,Ards,14.58,2942,6,0.17,2963,0.1,3067,1.26,3923,51.53,420
95BB070008,Comber East 2,Ards,7.49,4189,9,0.06,4506,0.1,3076,2.04,2395,7.51,3727
95BB070009,Comber East 2,Ards,10,3760,8,0.1,3883,0.11,2702,1.79,2817,4.62,4248
95BB070010,Comber East 1,Ards,34.37,938,2,0.45,831,0.21,838,1.94,2565,25.29,1615
95BB080001,Comber North 1,Ards,16.21,2672,6,0.26,2027,0.11,2919,1.64,3117,8.17,3602
95BB080002,Comber North 1,Ards,23.34,1798,4,0.32,1594,0.14,2095,1.33,3774,39.32,833
95BB080003,Comber North 2,Ards,5.78,4477,9,0.07,4361,0.06,4293,1.99,2487,10.19,3271
95BB080004,Comber North 1,Ards,18.36,2353,5,0.22,2390,0.12,2473,1.47,3457,2.82,4587
95BB080005,Comber North 1,Ards,22.72,1871,4,0.32,1627,0.15,1752,1.22,4016,25.85,1562
95BB080006,Comber North 1,Ards,32.62,1040,3,0.55,466,0.17,1394,1.39,3639,15.94,2512
95BB080007,Comber North 2,Ards,3.8,4837,10,0.05,4626,0.05,4587,1.94,2564,1.56,4823
95BB080008,Comber North 2,Ards,4.39,4734,10,0.08,4169,0.05,4598,1.89,2638,1.18,4892
95BB080009,Comber North 2,Ards,5.71,4494,9,0.04,4762,0.09,3350,1.91,2605,1.35,4860
95BB090001,Comber West 2,Ards,8.09,4089,9,0.12,3717,0.07,4066,2.92,1486,10.24,3258
95BB090002,Comber West 1,Ards,5.74,4485,9,0.06,4479,0.07,3939,1.68,3046,21.43,1938
95BB090003,Comber West 2,Ards,12.99,3207,7,0.19,2675,0.12,2584,1.34,3751,16.91,2395
95BB090004,Comber West 1,Ards,5.4,4547,10,0.03,4826,0.08,3587,2.35,1940,5.27,4130
95BB090005,Comber West 2,Ards,6.37,4371,9,0.14,3431,0.05,4547,1.62,3159,12.57,2910
95BB090006,Comber West 2,Ards,3.69,4850,10,0.03,4889,0.04,4696,2.09,2327,1.81,4783
95BB090007,Comber West 2,Ards,3.03,4934,10,0.03,4850,0.04,4682,1.83,2749,2.9,4568
95BB090008,Comber West 1,Ards,8.03,4100,9,0.12,3615,0.08,3738,2.87,1513,2.38,4676
95BB090009,Comber West 1,Ards,8.2,4075,9,0.14,3404,0.11,2858,1.35,3736,5.9,3996
95BB100001,Donaghadee North 1,Ards,27.39,1432,3,0.38,1271,0.17,1433,2.36,1937,44.66,620
95BB100002,Donaghadee North 1,Ards,27.93,1381,3,0.38,1244,0.16,1700,2.21,2142,49.06,484
95BB100003,Donaghadee North 1,Ards,15.32,2818,6,0.18,2857,0.07,4081,2.05,2376,70.63,134
95BB100004,Donaghadee North 1,Ards,11.79,3413,7,0.14,3329,0.07,4220,2.21,2147,24.44,1688
95BB100005,Donaghadee North 2,Ards,6.41,4361,9,0.06,4530,0.07,4217,4.13,1025,3.99,4355
95BB100006,Donaghadee North 2,Ards,15.22,2829,6,0.23,2333,0.12,2455,4.46,935,7.94,3641
95BB100007,Donaghadee North 2,Ards,5.22,4580,10,0.07,4409,0.02,4956,4.33,971,3.25,4507
95BB100008,Donaghadee North 2,Ards,5.08,4606,10,0.02,4906,0.06,4245,3.62,1191,0.69,4949
95BB100009,Donaghadee North 1,Ards,14.48,2962,6,0.13,3477,0.13,2374,3.13,1386,13.74,2768
95BB100010,Donaghadee North 1,Ards,18.47,2335,5,0.2,2650,0.14,1962,2.32,1989,37.4,909
95BB100011,Donaghadee North 1,Ards,10.22,3716,8,0.13,3459,0.06,4365,2.46,1831,16.46,2449
95BB110001,Donaghadee South 2,Ards,14.13,3031,7,0.2,2642,0.1,3136,2.36,1934,24.65,1662
95BB110002,Donaghadee South 2,Ards,15.44,2805,6,0.15,3234,0.11,2896,2.66,1661,5.59,4051
95BB110003,Donaghadee South 1,Ards,35.97,857,2,0.42,1010,0.2,998,2.54,1752,38.25,873
95BB110004,Donaghadee South 1,Ards,35.88,860,2,0.44,902,0.17,1392,2.52,1764,40.72,765
95BB110005,Donaghadee South 2,Ards,10.52,3661,8,0.11,3724,0.08,3591,3.08,1404,5.5,4073
95BB110006,Donaghadee South 1,Ards,32.27,1057,3,0.4,1183,0.2,934,2.74,1609,12.86,2882
95BB110007,Donaghadee South 2,Ards,28.22,1363,3,0.34,1488,0.21,816,2.76,1588,8.24,3590
95BB110008,Donaghadee South 2,Ards,11.25,3523,8,0.09,4109,0.09,3540,2.76,1599,4.36,4286
95BB110009,Donaghadee South 2,Ards,15.2,2834,6,0.21,2548,0.1,3088,3.19,1354,3.93,4375
95BB110010,Donaghadee South 1,Ards,11.01,3570,8,0.14,3402,0.05,4536,3.22,1332,3.52,4452
95BB110011,Donaghadee South 1,Ards,13.18,3169,7,0.17,2997,0.07,3984,3.16,1374,6.99,3827
95BB120001,Glen 2,Ards,13.57,3110,7,0.21,2490,0.11,2758,1.89,2634,19.13,2158
95BB120002,Glen 2,Ards,23.85,1732,4,0.38,1239,0.16,1539,1.74,2903,44.76,611
95BB120003,Glen 1,Ards,23.86,1731,4,0.34,1465,0.11,2835,1.54,3314,31.63,1188
95BB120004,Glen 1,Ards,37.82,745,2,0.49,668,0.16,1523,1.46,3471,45.1,601
