OA_CODE,SA2011_dominant,SA2011_point
95BB030003,N00000155,N00000155
95BB030004,N00000156,N00000156
95BB030005,N00000157,N00000157
95BB030006,N00000158,N00000158
95BB030007,N00000148,N00000148
95BB030008,N00000149,N00000149
95BB030009,N00000150,N00000150
95BB030010,N00000151,N00000151
95BB030011,N00000152,N00000152
95BB040001,N00000159,N00000159
95BB040002,N00000160,N00000160
95BB040003,N00000164,N00000164
95BB040004,N00000161,N00000161
95BB040005,N00000165,N00000165
95BB040006,N00000166,N00000166
95BB040007,N00000162,N00000162
95BB040008,N00000167,N00000167
95BB040009,N00000168,N00000168
95BB040010,N00000163,N00000163
95BB050001,N00000172,N00000172
95BB050002,N00000172,N00000172
95BB050003,N00000169,N00000169
95BB050004,N00000173,N00000173
95BB050005,N00000174,N00000174
95BB050006,N00000169,N00000169
95BB050007,N00000170,N00000170
95BB050008,N00000175,N00000175
95BB050009,N00000171,N00000171
95BB060001,N00000176,N00000176
95BB060002,N00000177,N00000177
95BB060003,N00000176,N00000176
95BB060004,N00000178,N00000178
95BB060005,N00000178,N00000178
95BB060006,N00000179,N00000179
95BB060007,N00000178,N00000178
95BB060008,N00000179,N00000179
95BB060009,N00000180,N00000180
95BB060010,N00000181,N00000181
95BB060011,N00000179,N00000179
95BB070001,N00000182,N00000182
95BB070002,N00000183,N00000183
95BB070003,N00000184,N00000184
95BB070004,N00000188,N00000188
95BB070005,N00000185,N00000185
95BB070006,N00000189,N00000189
95BB070007,N00000186,N00000186
95BB070008,N00000190,N00000190
95BB070009,N00000191,N00000191
95BB070010,N00000187,N00000187
95BB080001,N00000192,N00000192
95BB080002,N00000193,N00000193
95BB080003,N00000197,N00000197
95BB080004,N00000194,N00000194
95BB080005,N00000195,N00000195
95BB080006,N00000196,N00000196
95BB080007,N00000198,N00000198
95BB080008,N00000199,N00000199
95BB080009,N00000200,N00000200
95BB090001,N00000205,N00000205
95BB090002,N00000201,N00000201
95BB090003,N00000206,N00000206
95BB090004,N00000202,N00000202
95BB090005,N00000207,N00000207
95BB090006,N00000208,N00000208
95BB090007,N00000209,N00000209
95BB090008,N00000203,N00000203
95BB090009,N00000204,N00000204
95BB100001,N00000210,N00000210
95BB100002,N00000211,N00000211
95BB100003,N00000212,N00000212
95BB100004,N00000210,N00000210
95BB100005,N00000215,N00000215
95BB100006,N00000216,N00000216
95BB100007,N00000217,N00000217
95BB100008,N00000218,N00000218
95BB100009,N00000211,N00000211
95BB100010,N00000213,N00000213
95BB100011,N00000214,N00000214
95BB110001,N00000224,N00000224
95BB110002,N00000225,N00000225
95BB110003,N00000219,N00000219
95BB110004,N00000220,N00000220
95BB110005,N00000226,N00000226
95BB110006,N00000221,N00000221
95BB110007,N00000227,N00000227
95BB110008,N00000228,N00000228
95BB110009,N00000229,N00000229
95BB110010,N00000222,N00000222
95BB110011,N00000223,N00000223
95BB120001,N00000235,N00000235
95BB120002,N00000236,N00000236
95BB120003,N00000230,N00000230
95BB120004,N00000231,N00000231
95BB120005,N00000232,N00000232
95BB120006,N00000233,N00000233
95BB120007,N00000234,N00000234
95BB120008,N00000237,N00000237
95BB120009,N00000238,N00000238
95BB130001,N00000248,N00000248
95BB130002,N00000243,N00000243
95BB130003,N00000249,N00000249
95BB130004,N00000244,N00000244
95BB130005,N00000239,N00000239
95BB130006,N00000250,N00000250
95BB130007,N00000245,N00000245
95BB130008,N00000246,N00000246
95BB130009,N00000247,N00000247
95BB130010,N00000240,N00000240
95BB130011,N00000241,N00000241
95BB130012,N00000242,N00000242
95BB130013,N00000251,N00000251
95BB140001,N00000252,N00000252
95BB140002,N00000253,N00000253
95BB140003,N00000254,N00000254
95BB140004,N00000256,N00000256
95BB140005,N00000256,N00000256
95BB140006,N00000257,N00000257
95BB140007,N00000258,N00000258
95BB140008,N00000255,N00000255
95BB150001,N00000259,N00000259
95BB150002,N00000260,N00000260
95BB150003,N00000261,N00000261
95BB150004,N00000263,N00000263
95BB150005,N00000264,N00000264
95BB150006,N00000265,N00000265
95BB150007,N00000266,N00000266
95BB150008,N00000262,N00000262
95BB160001,N00000267,N00000267
95BB160002,N00000271,N00000271
95BB160003,N00000272,N00000272
95BB160004,N00000273,N00000273
95BB160005,N00000268,N00000268
95BB160006,N00000274,N00000274
95BB160007,N00000269,N00000269
95BB160008,N00000270,N00000270
95BB170001,N00000281,N00000281
95BB170002,N00000282,N00000282
95BB170003,N00000275,N00000275
95BB170004,N00000276,N00000276
95BB170005,N00000277,N00000277
95BB170006,N00000278,N00000278
95BB170007,N00000283,N00000283
95BB170008,N00000279,N00000279
95BB170009,N00000284,N00000284
95BB170010,N00000280,N00000280
95BB170011,N00000285,N00000285
95BB180001,N00000291,N00000291
95BB180002,N00000286,N00000286
95BB180003,N00000292,N00000292
95BB180004,N00000287,N00000287
95BB180005,N00000288,N00000288
95BB180006,N00000289,N00000289
95BB180007,N00000290,N00000290
95BB180008,N00000293,N00000293
95BB180009,N00000294,N00000294
95BB180010,N00000295,N00000295
95BB190001,N00000301,N00000301
95BB190002,N00000302,N00000302
95BB190003,N00000303,N00000303
95BB190004,N00000296,N00000296
95BB190005,N00000304,N00000304
95BB190006,N00000306,N00000306
95BB190007,N00000297,N00000297
95BB190008,N00000307,N00000307
95BB190009,N00000298,N00000298
95BB190010,N00000308,N00000308
95BB190011,N00000299,N00000299
95BB190012,N00000309,N00000309
95BB190013,N00000300,N00000300
95BB190014,N00000305,N00000305
95BB200001,N00000310,N00000310
95BB200002,N00000311,N00000311
95BB200003,N00000312,N00000312
95BB200004,N00000313,N00000313
95BB200005,N00000314,N00000314
95BB200006,N00000315,N00000315
95BB200007,N00000316,N00000316
95BB200008,N00000317,N00000317
95BB200009,N00000317,N00000317
95BB210001,N00000318,N00000318
95BB210002,N00000319,N00000319
95BB210003,N00000323,N00000323
95BB210004,N00000319,N00000319
95BB210005,N00000320,N00000320
95BB210006,N00000321,N00000321
95BB210007,N00000324,N00000324
95BB210008,N00000325,N00000325
95BB210009,N00000326,N00000326
95BB210010,N00000326,N00000326
95BB210011,N00000322,N00000322
95BB220001,N00000331,N00000331
95BB220002,N00000331,N00000331
95BB220003,N00000332,N00000332
95BB220004,N00000333,N00000333
95BB220005,N00000334,N00000334
95BB220006,N00000327,N00000327
95BB220007,N00000328,N00000328
95BB220008,N00000329,N00000329
95BB220009,N00000330,N00000330
95BB230001,N00000335,N00000335
95BB230002,N00000340,N00000340
95BB230003,N00000341,N00000341
95BB230004,N00000342,N00000342
95BB230005,N00000343,N00000343
95BB230006,N00000336,N00000336
95BB230007,N00000337,N00000337
95BB230008,N00000338,N00000338
95BB230009,N00000339,N00000339
95CC010001,N00000344,N00000344
95CC010002,N00000345,N00000345
95CC010003,N00000346,N00000346
95CC010004,N00000347,N00000347
95CC010005,N00000348,N00000348
95CC010006,N00000349,N00000349
95CC020001,N00000350,N00000350
95CC020002,N00000351,N00000351
95CC020003,N00000352,N00000352
95CC020004,N00000353,N00000353
95CC020005,N00000354,N00000354
95CC020006,N00000355,N00000355
95CC030001,N00000356,N00000356
95CC030002,N00000357,N00000357
95CC030003,N00000358,N00000358
95CC030004,N00000359,N00000359
95CC030005,N00000359,N00000359
95CC030006,N00000357,N00000357
95CC030007,N00000359,N00000359
95CC040001,N00000360,N00000360
95CC040002,N00000361,N00000361
95CC040003,N00000362,N00000362
95CC040004,N00000363,N00000363
95CC040005,N00000364,N00000364
95CC040006,N00000365,N00000365
95CC050001,N00000366,N00000366
95CC050002,N00000367,N00000367
95CC050003,N00000368,N00000368
95CC050004,N00000369,N00000369
95CC050005,N00000370,N00000370
95CC050006,N00000371,N00000371
95CC060001,N00000372,N00000372
95CC060002,N00000373,N00000373
95CC060003,N00000374,N00000374
95CC060004,N00000376,N00000376
95CC060005,N00000375,N00000375
95CC060006,N00000377,N00000377
95CC060007,N00000378,N00000378
95CC060008,N00000379,N00000379
95CC070001,N00000380,N00000380
95CC070002,N00000381,N00000381
95CC070003,N00000382,N00000382
95CC070004,N00000383,N00000383
95CC070005,N00000384,N00000384
95CC070006,N00000385,N00000385
95CC070007,N00000381,N00000381
95CC080001,N00000386,N00000386
95CC080002,N00000387,N00000387
95CC080003,N00000388,N00000388
95CC080004,N00000388,N00000388
95CC080005,N00000388,N00000388
95CC080006,N00000388,N00000388
95CC080007,N00000389,N00000389
95CC090001,N00000392,N00000392
95CC090002,N00000390,N00000390
95CC090003,N00000393,N00000393
95CC090004,N00000392,N00000392
95CC090005,N00000391,N00000391
95CC090006,N00000390,N00000390
95CC090007,N00000392,N00000392
95CC100001,N00000394,N00000394
95CC100002,N00000395,N00000395
95CC100003,N00000396,N00000396
95CC100004,N00000397,N00000397
95CC100005,N00000398,N00000398
95CC100006,N00000399,N00000399
95CC110001,N00000400,N00000400
95CC110002,N00000401,N00000401
95CC110003,N00000402,N00000402
95CC110004,N00000403,N00000403
95CC110005,N00000404,N00000404
95CC110006,N00000405,N00000405
95CC120001,N00000406,N00000406
95CC120002,N00000407,N00000407
95CC120003,N00000407,N00000407
95CC120004,N00000408,N00000408
95CC120005,N00000407,N00000407
95CC120006,N00000409,N00000409
95CC120007,N00000410,N00000410
95CC130001,N00000411,N00000411
95CC130002,N00000412,N00000412
95CC130003,N00000413,N00000413
95CC130004,N00000414,N00000414
95CC130005,N00000415,N00000415
95CC130006,N00000416,N00000416
95CC140001,N00000417,N00000417
95CC140002,N00000418,N00000418
95CC140003,N00000419,N00000419
95CC140004,N00000420,N00000420
95CC140005,N00000421,N00000421
95CC140006,N00000418,N00000418
95CC140007,N00000422,N00000422
95CC150001,N00000423,N00000423
95CC150002,N00000424,N00000424
95CC150003,N00000425,N00000425
95CC150004,N00000426,N00000426
95CC150005,N00000427,N00000427
95CC150006,N00000428,N00000428
95CC150007,N00000429,N00000429
95CC160001,N00000430,N00000430
95CC160002,N00000431,N00000431
95CC160003,N00000432,N00000432
95CC160004,N00000433,N00000433
95CC160005,N00000434,N00000434
95CC160006,N00000435,N00000435
95CC160007,N00000436,N00000436
95CC170001,N00000437,N00000437
95CC170002,N00000438,N00000438
95CC170003,N00000439,N00000439
95CC170004,N00000440,N00000440
95CC170005,N00000441,N00000441
95CC170006,N00000442,N00000442
95CC180001,N00000443,N00000443
95CC180002,N00000444,N00000444
95CC180003,N00000445,N00000445
95CC180004,N00000446,N00000446
95CC180005,N00000447,N00000447
95CC180006,N00000444,N00000444
95CC180007,N00000448,N00000448
95CC190001,N00000449,N00000449
95CC190002,N00000450,N00000450
95CC190003,N00000451,N00000451
95CC190004,N00000452,N00000452
95CC190005,N00000453,N00000453
95CC190006,N00000454,N00000454
95CC200001,N00000455,N00000455
95CC200002,N00000459,N00000459
95CC200003,N00000460,N00000460
95CC200004,N00000459,N00000459
95CC200005,N00000456,N00000456
95CC200006,N00000457,N00000457
95CC200007,N00000458,N00000458
95CC200008,N00000461,N00000461
95CC200009,N00000462,N00000462
95CC210001,N00000463,N00000463
95CC210002,N00000464,N00000464
95CC210003,N00000463,N00000463
95CC210004,N00000465,N00000465
95CC210005,N00000466,N00000466
95CC210006,N00000467,N00000467
95CC210007,N00000468,N00000468
95CC210008,N00000469,N00000469
95CC220001,N00000470,N00000470
95CC220002,N00000471,N00000471
95CC220003,N00000472,N00000472
95CC220004,N00000473,N00000473
95CC220005,N00000474,N00000474
95CC220006,N00000475,N00000475
95CC220007,N00000476,N00000476
95DD010001,N00000477,N00000477
95DD010002,N00000478,N00000478
95DD010003,N00000479,N00000479
95DD010004,N00000477,N00000477
95DD010005,N00000480,N00000480
95DD010006,N00000481,N00000481
95DD020001,N00000487,N00000487
95DD020002,N00000488,N00000488
95DD020003,N00000482,N00000482
95DD020004,N00000483,N00000483
95DD020005,N00000489,N00000489
95DD020006,N00000490,N00000490
95DD020007,N00000484,N00000484
95DD020008,N00000485,N00000485
95DD020009,N00000491,N00000491
95DD020010,N00000492,N00000492
95DD020011,N00000486,N00000486
95DD030001,N00000493,N00000493
95DD030002,N00000494,N00000494
95DD030003,N00000494,N00000494
95DD030004,N00000495,N00000495
95DD030005,N00000496,N00000496
95DD030006,N00000497,N00000497
95DD030007,N00000498,N00000498
95DD040001,N00000499,N00000499
95DD040002,N00000500,N00000500
95DD040003,N00000501,N00000501
95DD040004,N00000502,N00000502
95DD040005,N00000503,N00000503
95DD040006,N00000504,N00000504
95DD040007,N00000500,N00000500
95DD050001,N00000505,N00000505
95DD050002,N00000506,N00000506
95DD050003,N00000507,N00000507
95DD050004,N00000508,N00000508
95DD050005,N00000509,N00000509
95DD050006,N00000510,N00000510
95DD060001,N00000511,N00000511
95DD060002,N00000512,N00000512
95DD060003,N00000513,N00000513
95DD060004,N00000514,N00000514
95DD060005,N00000515,N00000515
95DD060006,N00000516,N00000516
95DD060007,N00000517,N00000517
95DD070001,N00000522,N00000522
95DD070002,N00000523,N00000523
95DD070003,N00000524,N00000524
95DD070004,N00000525,N00000525
95DD070005,N00000518,N00000518
95DD070006,N00000519,N00000519
95DD070007,N00000520,N00000520
95DD070008,N00000520,N00000520
95DD070009,N00000521,N00000521
95DD080001,N00000526,N00000526
95DD080002,N00000527,N00000527
95DD080003,N00000528,N00000528
95DD080004,N00000529,N00000529
95DD080005,N00000530,N00000530
95DD080006,N00000531,N00000531
95DD080007,N00000532,N00000532
95DD080008,N00000533,N00000533
95DD090001,N00000534,N00000534
95DD090002,N00000535,N00000535
95DD090003,N00000536,N00000536
95DD090004,N00000537,N00000537
95DD090005,N00000538,N00000538
95DD090006,N00000539,N00000539
95DD100001,N00000540,N00000540
95DD100002,N00000541,N00000541
95DD100003,N00000542,N00000542
95DD100004,N00000543,N00000543
95DD100005,N00000544,N00000544
95DD100006,N00000545,N00000545
95DD100007,N00000546,N00000546
95DD100008,N00000547,N00000547
95DD100009,N00000548,N00000548
95DD110001,N00000549,N00000549
95DD110002,N00000550,N00000550
95DD110003,N00000551,N00000551
95DD110004,N00000552,N00000552
95DD110005,N00000553,N00000553
95DD110006,N00000554,N00000554
95DD110007,N00000555,N00000555
95DD110008,N00000556,N00000556
95DD120001,N00000557,N00000557
95DD120002,N00000558,N00000558
95DD120003,N00000559,N00000559
95DD120004,N00000560,N00000560
95DD120005,N00000561,N00000561
95DD120006,N00000562,N00000562
95DD130001,N00000563,N00000563
95DD130002,N00000564,N00000564
95DD130003,N00000563,N00000563
95DD130004,N00000563,N00000563
95DD130005,N00000565,N00000565
95DD130006,N00000566,N00000566
95DD140001,N00000567,N00000567
95DD140002,N00000571,N00000571
95DD140003,N00000568,N00000568
95DD140004,N00000572,N00000572
95DD140005,N00000569,N00000569
95DD140006,N00000573,N00000573
95DD140007,N00000574,N00000574
95DD140008,N00000570,N00000570
95DD150001,N00000575,N00000575
95DD150002,N00000576,N00000576
95DD150003,N00000577,N00000577
95DD150004,N00000578,N00000578
95DD150005,N00000579,N00000579
95DD150006,N00000580,N00000580
95DD150007,N00000581,N00000581
95DD160001,N00000582,N00000582
95DD160002,N00000583,N00000583
95DD160003,N00000584,N00000584
95DD160004,N00000585,N00000585
95DD160005,N00000586,N00000586
95DD160006,N00000587,N00000587
95DD160007,N00000588,N00000588
95DD170001,N00000589,N00000589
95DD170002,N00000590,N00000590
95DD170003,N00000591,N00000591
95DD170004,N00000592,N00000592
95DD170005,N00000593,N00000593
95DD170006,N00000594,N00000594
95DD170007,N00000595,N00000595
95DD180001,N00000596,N00000596
95DD180002,N00000597,N00000597
95DD180003,N00000598,N00000598
95DD180004,N00000599,N00000599
95DD180005,N00000600,N00000600
95DD180006,N00000601,N00000601
95DD180007,N00000602,N00000602
95DD190001,N00000603,N00000603
95DD190002,N00000604,N00000604
95DD190003,N00000608,N00000608
95DD190004,N00000609,N00000609
95DD190005,N00000610,N00000610
95DD190006,N00000611,N00000611
95DD190007,N00000605,N00000605
95DD190008,N00000606,N00000606
95DD190009,N00000607,N00000607
95DD200001,N00000612,N00000612
95DD200002,N00000613,N00000613
95DD200003,N00000614,N00000614
95DD200004,N00000615,N00000615
95DD200005,N00000616,N00000616
95DD200006,N00000617,N00000617
95DD200007,N00000612,N00000612
95DD210001,N00000618,N00000618
95DD210002,N00000618,N00000618
95DD210003,N00000619,N00000619
95DD210004,N00000620,N00000620
95DD210005,N00000621,N00000621
95DD210006,N00000622,N00000622
95DD220001,N00000627,N00000627
95DD220002,N00000628,N00000628
95DD220003,N00000623,N00000623
95DD220004,N00000629,N00000629
95DD220005,N00000624,N00000624
95DD220006,N00000630,N00000630
95DD220007,N00000625,N00000625
95DD220008,N00000626,N00000626
95DD230001,N00000631,N00000631
95DD230002,N00000632,N00000632
95DD230003,N00000633,N00000633
95DD230004,N00000634,N00000634
95DD230005,N00000635,N00000635
95DD230006,N00000636,N00000636
95DD240001,N00000637,N00000637
95DD240002,N00000638,N00000638
95DD240003,N00000639,N00000639
95DD240004,N00000640,N00000640
95DD240005,N00000637,N00000637
95DD240006,N00000641,N00000641
95DD240007,N00000642,N00000642
95EE010001,N00000643,N00000643
95EE010002,N00000644,N00000644
95EE010003,N00000645,N00000645
95EE010004,N00000646,N00000646
95EE020001,N00000647,N00000647
95EE020002,N00000648,N00000648
95EE020003,N00000647,N00000647
95EE020004,N00000649,N00000649
95EE020005,N00000650,N00000650
95EE030001,N00000651,N00000651
95EE030002,N00000652,N00000652
95EE030003,N00000653,N00000653
95EE030004,N00000654,N00000654
95EE030005,N00000655,N00000655
95EE030006,N00000656,N00000656
95EE040001,N00000657,N00000657
95EE040002,N00000658,N00000658
95EE040003,N00000659,N00000659
95EE040004,N00000660,N00000660
95EE040005,N00000657,N00000657
95EE050001,N00000661,N00000661
95EE050002,N00000662,N00000662
95EE050003,N00000663,N00000663
95EE050004,N00000664,N00000664
95EE060001,N00000665,N00000665
95EE060002,N00000666,N00000666
95EE060003,N00000667,N00000667
95EE060004,N00000668,N00000668
95EE060005,N00000669,N00000669
95EE070001,N00000670,N00000670
95EE070002,N00000671,N00000671
95EE070003,N00000672,N00000672
95EE070004,N00000673,N00000673
95EE070005,N00000673,N00000673
95EE080001,N00000674,N00000674
95EE080002,N00000675,N00000675
95EE080003,N00000676,N00000676
95EE080004,N00000676,N00000676
95EE080005,N00000677,N00000677
95EE090001,N00000678,N00000678
95EE090002,N00000679,N00000679
95EE090003,N00000680,N00000680
95EE090004,N00000681,N00000681
95EE100001,N00000682,N00000682
95EE100002,N00000683,N00000683
95EE100003,N00000684,N00000684
95EE100004,N00000685,N00000685
95EE110001,N00000686,N00000686
95EE110002,N00000687,N00000687
95EE110003,N00000688,N00000688
95EE110004,N00000689,N00000689
95EE120001,N00000690,N00000690
95EE120002,N00000691,N00000691
95EE120003,N00000692,N00000692
95EE120004,N00000693,N00000693
95EE120005,N00000694,N00000694
95EE120006,N00000695,N00000695
95EE130001,N00000696,N00000696
95EE130002,N00000697,N00000697
95EE130003,N00000698,N00000698
95EE130004,N00000699,N00000699
95EE130005,N00000700,N00000700
95EE140001,N00000701,N00000701
95EE140002,N00000702,N00000702
95EE140003,N00000703,N00000703
95EE140004,N00000704,N00000704
95EE140005,N00000704,N00000704
95EE140006,N00000705,N00000705
95EE150001,N00000706,N00000706
95EE150002,N00000707,N00000707
95EE150003,N00000708,N00000708
95EE150004,N00000709,N00000709
95EE160001,N00000710,N00000710
95EE160002,N00000711,N00000711
95EE160003,N00000712,N00000712
95EE160004,N00000713,N00000713
95EE160005,N00000714,N00000714
95FF010001,N00000715,N00000715
95FF010002,N00000716,N00000716
95FF010003,N00000717,N00000717
95FF010004,N00000716,N00000716
95FF010005,N00000718,N00000718
95FF010006,N00000716,N00000716
95FF010007,N00000718,N00000718
95FF010008,N00000718,N00000718
95FF010009,N00000719,N00000719
95FF010010,N00000720,N00000720
95FF020001,N00000721,N00000721
95FF020002,N00000722,N00000722
95FF020003,N00000723,N00000723
95FF020004,N00000724,N00000724
95FF020005,N00000725,N00000725
95FF020006,N00000726,N00000726
95FF030001,N00000727,N00000727
95FF030002,N00000728,N00000728
95FF030003,N00000729,N00000729
95FF030004,N00000730,N00000730
95FF030005,N00000731,N00000731
95FF030006,N00000732,N00000732
95FF030007,N00000733,N00000733
95FF030008,N00000734,N00000734
95FF040001,N00000735,N00000735
95FF040002,N00000736,N00000736
95FF040003,N00000737,N00000737
95FF040004,N00000738,N00000738
95FF040005,N00000739,N00000739
95FF040006,N00000740,N00000740
95FF050001,N00000741,N00000741
95FF050002,N00000742,N00000742
95FF050003,N00000743,N00000743
95FF050004,N00000744,N00000744
95FF050005,N00000745,N00000745
95FF050006,N00000746,N00000746
95FF050007,N00000746,N00000746
95FF050008,N00000747,N00000747
95FF060001,N00000753,N00000753
95FF060002,N00000754,N00000754
95FF060003,N00000748,N00000748
95FF060004,N00000755,N00000755
95FF060005,N00000749,N00000749
95FF060006,N00000750,N00000750
95FF060007,N00000751,N00000751
95FF060008,N00000752,N00000752
95FF060009,N00000756,N00000756
95FF060010,N00000757,N00000757
95FF070001,N00000758,N00000758
95FF070002,N00000759,N00000759
95FF070003,N00000760,N00000760
95FF070004,N00000761,N00000761
95FF070005,N00000762,N00000762
95FF070006,N00000763,N00000763
95FF070007,N00000764,N00000764
95FF070008,N00000765,N00000765
95FF080001,N00000766,N00000766
95FF080002,N00000766,N00000766
95FF080003,N00000767,N00000767
95FF080004,N00000768,N00000768
95FF080005,N00000769,N00000769
95FF080006,N00000770,N00000770
95FF080007,N00000766,N00000766
95FF080008,N00000771,N00000771
95FF090001,N00000772,N00000772
95FF090002,N00000773,N00000773
95FF090003,N00000774,N00000774
95FF090004,N00000775,N00000775
95FF090005,N00000774,N00000774
95FF090006,N00000774,N00000774
95FF090007,N00000776,N00000776
95FF100001,N00000777,N00000777
95FF100002,N00000778,N00000778
95FF100003,N00000779,N00000779
95FF100004,N00000780,N00000780
95FF100005,N00000777,N00000777
95FF100006,N00000781,N00000781
95FF100007,N00000782,N00000782
95FF110001,N00000783,N00000783
95FF110002,N00000784,N00000784
95FF110003,N00000785,N00000785
95FF110004,N00000786,N00000786
95FF110005,N00000787,N00000787
95FF110006,N00000788,N00000788
95FF120001,N00000789,N00000789
95FF120002,N00000790,N00000790
95FF120003,N00000791,N00000791
95FF120004,N00000792,N00000792
95FF120005,N00000793,N00000793
95FF120006,N00000789,N00000789
95FF130001,N00000794,N00000794
95FF130002,N00000795,N00000795
95FF130003,N00000796,N00000796
95FF130004,N00000797,N00000797
95FF130005,N00000798,N00000798
95FF130006,N00000799,N00000799
95FF140001,N00000800,N00000800
95FF140002,N00000801,N00000801
95FF140003,N00000802,N00000802
95FF140004,N00000803,N00000803
95FF140005,N00000804,N00000804
95FF140006,N00000805,N00000805
95FF150001,N00000806,N00000806
95FF150002,N00000807,N00000807
95FF150003,N00000808,N00000808
