SA2011,nimdm2005_Income_score,nimdm2005_Employment_score,nimdm2005_EDM_score,nimdm2005_dep_pct,nimdm2010_Income Deprivation_score,nimdm2010_Employment Deprivation_score,nimdm2010_MDM_score,nimdm2010_dep_pct,nimdm2017_dep_pct,nimdm2017_income_pct,nimdm2017_employ_pct
N00003450,0.06,0.13,10.47,28.679545907189805,0.11000000000000001,0.11000000000000001,13.08,36.546504680342565,33.686067019400355,27.248677248677243,30.467372134038804
N00003451,0.05,0.1,8.94,23.640709022107153,0.08,0.08,9.96,24.93527185819557,11.838624338624337,14.726631393298062,8.686067019400356
N00003452,0.04000000000000001,0.07,7.81,19.438358892650864,0.12,0.09,10.46,26.887074287990444,12.742504409171074,3.703703703703709,10.36155202821869
N00003453,0.01,0.02,2.5100000000000002,1.6928898625771738,0.01,0.02,3.91,4.122684724158532,8.92857142857143,37.72045855379189,4.783950617283949
N00003454,0.08,0.13,9.7,26.090420235012946,0.12,0.13,11.29,30.07369049990042,13.514109347442682,13.029100529100536,25.198412698412696
N00003455,0.05,0.11,6.37,14.060944035052783,0.060000000000000005,0.08,6.25,12.5273849830711,16.9973544973545,34.06084656084656,20.767195767195766
N00003456,0.01,0.030000000000000002,2.28,1.2348137821151184,0.0,0.04,3.82,3.724357697669789,14.92504409171076,35.912698412698404,13.381834215167554
N00003457,0.19,0.12,13.13,36.566421031667,0.18,0.11,11.31,30.21310495917148,46.80335097001763,77.99823633156966,42.08553791887125
N00003458,0.07,0.13,10.43,28.440549691296557,0.1,0.09,7.43,16.331408086038635,11.794532627865962,13.668430335097003,32.25308641975309
N00003459,0.07,0.1,7.87,19.65743875721968,0.17,0.07,8.0,18.203545110535746,10.626102292768957,5.731922398589062,13.690476190476186
N00003460,0.09,0.09,7.7,18.94045010953993,0.08,0.08,6.099999999999999,12.069308902609045,13.205467372134038,17.72486772486772,30.445326278659614
N00003461,0.01,0.08,4.11,5.915156343357896,0.13,0.12000000000000001,10.44,26.847241585341564,13.249559082892414,11.199294532627867,36.75044091710758
N00003462,0.03,0.07,4.71,8.026289583748259,0.02,0.04,2.79,1.1750647281418058,1.8738977072310425,3.9682539682539653,6.746031746031744
N00003463,0.05,0.05,7.17,16.928898625771758,0.05,0.05,5.94,11.412069308902606,15.49823633156967,38.13932980599647,2.0061728395061706
N00003464,0.02,0.07,5.68,11.631149173471423,0.029999999999999995,0.04,4.01,4.600677155945032,8.487654320987659,23.633156966490297,25.617283950617285
N00003465,0.23,0.21,26.75,70.24497112129058,0.26,0.16,18.93,54.27205735909182,44.1358024691358,34.413580246913575,68.16578483245151
N00003466,0.07,0.06,7.869999999999999,19.69727145986855,0.06,0.07,5.89,11.312487552280427,34.9647266313933,72.55291005291005,23.258377425044095
N00003467,0.060000000000000005,0.07,6.75,15.415255925114526,0.060000000000000005,0.030000000000000002,3.95,4.321848237402904,6.1067019400352756,14.021164021164022,6.327160493827155
N00003468,0.03,0.06,6.01,12.846046604262096,0.03,0.04,4.04,4.660426209918345,8.377425044091712,11.044973544973546,8.443562610229272
N00003469,0.14,0.12,14.75,40.7289384584744,0.16,0.08,14.039999999999997,39.47420832503485,45.54673721340387,30.57760141093474,38.403880070546734
N00003470,0.09,0.09,9.46,25.234017128062135,0.060000000000000005,0.04,7.0,14.977096195976902,14.616402116402117,14.50617283950617,6.79012345679012
N00003471,0.15,0.18,19.44,53.3559051981677,0.17,0.16,19.79,56.024696275642306,60.692239858906525,70.78924162257496,58.86243386243386
