DZ2021_cd,SA2011_dominant,SA2011_point
N20000104,N00003896,N00003897
N20000105,N00003896,N00003896
N20000106,N00003911,N00003911
N20000107,N00003909,N00003909
N20000108,N00003908,N00003907
N20000109,N00003898,N00003898
N20000110,N00003898,N00003898
N20000111,N00003944,N00003944
N20000112,N00003908,N00003910
N20000113,N00003943,N00003943
N20000114,N00003946,N00003947
N20000115,N00003947,N00003947
N20000116,N00003991,N00003991
N20000117,N00003990,N00003990
N20000118,N00003992,N00003992
N20000119,N00003993,N00003993
N20000120,N00003939,N00003940
N20000121,N00003934,N00003934
N20000122,N00003940,N00003940
N20000123,N00003940,N00003940
N20000124,N00003938,N00003938
N20000125,N00003932,N00003932
N20000126,N00004047,N00004047
N20000127,N00004076,N00004076
N20000128,N00004047,N00004047
N20000129,N00004079,N00004079
N20000130,N00004076,N00004081
N20000131,N00004082,N00004081
N20000132,N00004051,N00004051
N20000133,N00004049,N00004047
N20000134,N00004048,N00004048
N20000135,N00004075,N00004027
N20000136,N00004029,N00004026
N20000137,N00004045,N00004045
N20000138,N00004046,N00004046
N20000139,N00004028,N00004028
N20000140,N00001697,N00001697
N20000141,N00004079,N00004079
N20000142,N00004032,N00004027
N20000143,N00004051,N00004051
N20000144,N00004077,N00004077
N20000145,N00004033,N00004030
N20000146,N00004069,N00004067
N20000147,N00004033,N00004031
N20000148,N00003921,N00003921
N20000149,N00004050,N00004050
N20000150,N00004071,N00004071
N20000151,N00003922,N00003922
N20000152,N00004090,N00004090
N20000153,N00004066,N00004065
N20000154,N00003915,N00003915
N20000155,N00004068,N00004068
N20000156,N00003916,N00003916
N20000157,N00003962,N00003920
N20000158,N00004091,N00004089
N20000159,N00004072,N00004072
N20000160,N00004050,N00004050
N20000161,N00004066,N00004068
N20000162,N00004090,N00004088
N20000163,N00004073,N00004073
N20000164,N00003967,N00003967
N20000165,N00003965,N00003965
N20000166,N00004084,N00004084
N20000167,N00004085,N00004085
N20000168,N00003969,N00003969
N20000169,N00004085,N00004086
N20000170,N00003968,N00003970
N20000171,N00004074,N00004074
N20000172,N00004087,N00004087
N20000173,N00003964,N00003964
N20000174,N00003972,N00003972
N20000175,N00003892,N00003895
N20000176,N00003971,N00003971
N20000177,N00004085,N00004087
N20000178,N00003890,N00003889
N20000179,N00003894,N00003894
N20000180,N00003964,N00003964
N20000181,N00003981,N00003983
N20000182,N00004007,N00004007
N20000183,N00003984,N00003984
N20000184,N00003985,N00003985
N20000185,N00003894,N00003894
N20000186,N00003887,N00003887
N20000187,N00003986,N00003988
N20000188,N00003887,N00003887
N20000189,N00004001,N00004002
N20000190,N00004003,N00004003
N20000191,N00003887,N00003887
N20000192,N00004003,N00004003
N20000193,N00004105,N00004105
N20000194,N00004108,N00004108
N20000195,N00004005,N00004005
N20000196,N00004002,N00004002
N20000197,N00004106,N00004106
N20000198,N00003887,N00003887
N20000199,N00004098,N00004098
N20000200,N00004109,N00004109
N20000201,N00004097,N00004097
N20000202,N00004102,N00004102
N20000203,N00004099,N00004099
N20000204,N00004092,N00004092
N20000205,N00004093,N00004093
N20000206,N00003888,N00003888
N20000207,N00004100,N00004100
N20000208,N00003888,N00003888
N20000209,N00004094,N00004094
N20000210,N00004095,N00004095
N20000211,N00004058,N00004058
N20000212,N00003958,N00003958
N20000213,N00003961,N00003958
N20000214,N00003961,N00003919
N20000215,N00004064,N00004064
N20000216,N00003960,N00003960
N20000217,N00004063,N00004063
N20000218,N00003952,N00003952
N20000219,N00004063,N00004064
N20000220,N00003954,N00003954
N20000221,N00003951,N00003951
N20000222,N00003924,N00003924
N20000223,N00003953,N00003953
N20000224,N00003962,N00003962
N20000225,N00003931,N00003931
N20000226,N00003949,N00003949
N20000227,N00003926,N00003927
N20000228,N00003929,N00003931
N20000229,N00004022,N00004022
N20000230,N00004024,N00004024
N20000231,N00004016,N00004012
N20000232,N00003927,N00003927
N20000233,N00004021,N00004021
N20000234,N00003923,N00003923
N20000235,N00003929,N00003929
N20000236,N00003928,N00003928
N20000237,N00004034,N00004034
N20000238,N00004013,N00004013
N20000239,N00004040,N00004040
N20000240,N00004018,N00004018
N20000241,N00004035,N00004035
N20000242,N00004036,N00004034
N20000243,N00004019,N00004019
N20000244,N00004008,N00004008
N20000245,N00004020,N00004020
N20000246,N00003978,N00003978
N20000247,N00004037,N00004037
N20000248,N00004060,N00004060
N20000249,N00003979,N00003979
N20000250,N00004011,N00004011
N20000251,N00004060,N00004061
N20000252,N00003974,N00003976
N20000253,N00003980,N00003980
N20000254,N00003973,N00003973
N20000255,N00003974,N00003974
N20000256,N00003975,N00003975
N20000257,N00000118,N00000118
N20000258,N00000122,N00000124
N20000259,N00000118,N00000123
N20000260,N00000119,N00000119
N20000261,N00000029,N00000120
N20000262,N00004058,N00004058
N20000263,N00000009,N00000009
N20000264,N00000008,N00000008
N20000265,N00004054,N00004054
N20000266,N00004053,N00004053
N20000267,N00004058,N00004058
N20000268,N00000007,N00000007
N20000269,N00004054,N00004054
N20000270,N00004060,N00004060
N20000271,N00004059,N00004059
N20000272,N00004059,N00004059
N20000273,N00004060,N00004060
N20000274,N00000009,N00000024
N20000275,N00004059,N00004059
N20000276,N00004059,N00004059
N20000277,N00004060,N00004060
N20000278,N00000030,N00000030
N20000279,N00000001,N00000006
N20000280,N00000025,N00000024
N20000281,N00000003,N00000003
N20000282,N00000004,N00000004
N20000283,N00000002,N00000002
N20000284,N00000043,N00000043
N20000285,N00000030,N00000027
N20000286,N00000028,N00000028
N20000287,N00000043,N00000039
N20000288,N00000039,N00000037
N20000289,N00000040,N00000040
N20000290,N00000039,N00000039
N20000291,N00000042,N00000042
N20000292,N00000041,N00000041
N20000293,N00000038,N00000038
N20000294,N00000039,N00000039
N20000295,N00000369,N00000369
N20000296,N00000371,N00000371
N20000297,N00000366,N00000366
N20000298,N00000368,N00000368
N20000299,N00000354,N00000351
N20000300,N00000352,N00000352
N20000301,N00000350,N00000351
N20000302,N00000353,N00000353
N20000303,N00000344,N00000344
N20000304,N00000447,N00000447
N20000305,N00000354,N00000354
N20000306,N00000443,N00000446
N20000307,N00000445,N00000445
N20000308,N00000444,N00000444
N20000309,N00000347,N00000348
N20000310,N00000355,N00000355
N20000311,N00000446,N00000446
N20000312,N00000349,N00000349
N20000313,N00000444,N00000448
N20000314,N00000473,N00000473
N20000315,N00000474,N00000474
N20000316,N00000358,N00000358
N20000317,N00000357,N00000358
N20000318,N00000357,N00000357
N20000319,N00000359,N00000359
N20000320,N00000359,N00000359
N20000321,N00000359,N00000386
N20000322,N00000356,N00000356
N20000323,N00000387,N00000387
N20000324,N00000472,N00000472
N20000325,N00000376,N00000376
N20000326,N00000471,N00000471
N20000327,N00000388,N00000388
N20000328,N00000375,N00000377
N20000329,N00000388,N00000388
N20000330,N00000388,N00000388
N20000331,N00000375,N00000375
N20000332,N00000379,N00000379
N20000333,N00000378,N00000378
N20000334,N00000374,N00000374
N20000335,N00000437,N00000437
N20000336,N00000374,N00000374
N20000337,N00000373,N00000373
N20000338,N00000439,N00000439
N20000339,N00000437,N00000437
N20000340,N00000414,N00000412
N20000341,N00000439,N00000439
N20000342,N00000411,N00000411
N20000343,N00000438,N00000438
N20000344,N00000416,N00000416
N20000345,N00000440,N00000440
N20000346,N00000412,N00000413
N20000347,N00000413,N00000413
N20000348,N00000403,N00000403
N20000349,N00000404,N00000403
N20000350,N00000381,N00000381
N20000351,N00000385,N00000402
N20000352,N00000402,N00000402
N20000353,N00000382,N00000382
N20000354,N00000380,N00000380
N20000355,N00000384,N00000384
N20000356,N00002373,N00002373
N20000357,N00002882,N00002882
N20000358,N00002375,N00002375
N20000359,N00002375,N00002375
N20000360,N00002371,N00002371
N20000361,N00002892,N00002892
N20000362,N00002880,N00002880
N20000363,N00000427,N00002372
N20000364,N00002196,N00002368
N20000365,N00002368,N00002197
N20000366,N00002370,N00002370
N20000367,N00000423,N00000428
N20000368,N00002369,N00002369
N20000369,N00000370,N00000370
N20000370,N00002197,N00002197
N20000371,N00002199,N00002199
N20000372,N00002196,N00002202
N20000373,N00002197,N00002197
N20000374,N00002202,N00002202
N20000375,N00002231,N00002231
N20000376,N00002230,N00002230
N20000377,N00002291,N00002291
N20000378,N00002229,N00002229
N20000379,N00002233,N00002233
N20000380,N00002202,N00002202
N20000381,N00002229,N00002229
N20000382,N00002232,N00002232
N20000383,N00002370,N00002370
N20000384,N00002292,N00002292
N20000385,N00002188,N00002188
N20000386,N00002234,N00002234
N20000387,N00002232,N00002232
N20000388,N00002193,N00002193
N20000389,N00002190,N00002195
N20000390,N00002190,N00002190
N20000391,N00002363,N00002363
N20000392,N00002293,N00002293
N20000393,N00002183,N00002183
N20000394,N00002193,N00002193
N20000395,N00002183,N00002183
N20000396,N00002364,N00002364
N20000397,N00002290,N00002290
N20000398,N00002184,N00002184
N20000399,N00002363,N00002363
N20000400,N00002185,N00002185
N20000401,N00000424,N00000424
N20000402,N00002192,N00002192
N20000403,N00002180,N00002185
N20000404,N00002367,N00002361
N20000405,N00002367,N00002367
N20000406,N00002216,N00002216
N20000407,N00002212,N00002212
N20000408,N00000426,N00000426
N20000409,N00002217,N00002217
N20000410,N00002211,N00002211
N20000411,N00002179,N00002179
N20000412,N00002220,N00002219
N20000413,N00002213,N00002213
N20000414,N00002181,N00002213
N20000415,N00002181,N00002181
N20000416,N00000396,N00000396
N20000417,N00002213,N00002213
N20000418,N00000395,N00000395
N20000419,N00002213,N00002213
N20000420,N00002182,N00002182
N20000421,N00002255,N00002255
N20000422,N00002252,N00002252
N20000423,N00002253,N00002253
N20000424,N00002254,N00002247
N20000425,N00002249,N00002249
N20000426,N00002248,N00002248
N20000427,N00002248,N00002248
N20000428,N00002248,N00002248
N20000429,N00002353,N00002353
N20000430,N00002303,N00002303
N20000431,N00002270,N00002270
N20000432,N00002269,N00002271
N20000433,N00002273,N00002273
N20000434,N00002274,N00002274
N20000435,N00002277,N00002277
N20000436,N00002306,N00002306
N20000437,N00002279,N00002279
N20000438,N00002306,N00002306
N20000439,N00002266,N00002266
N20000440,N00002304,N00002304
N20000441,N00002300,N00002300
N20000442,N00002267,N00002267
N20000443,N00002306,N00002306
N20000444,N00002306,N00002306
N20000445,N00002267,N00002267
N20000446,N00002305,N00002305
N20000447,N00002306,N00002306
N20000448,N00002268,N00002268
N20000449,N00002264,N00002264
N20000450,N00002307,N00002307
N20000451,N00002301,N00002301
N20000452,N00002268,N00002268
N20000453,N00002265,N00002265
N20000454,N00002265,N00002265
N20000455,N00002306,N00002300
N20000456,N00002299,N00002299
N20000457,N00002300,N00002300
N20000458,N00002300,N00002300
N20000459,N00002298,N00002298
N20000460,N00002314,N00002314
N20000461,N00002300,N00002300
N20000462,N00002302,N00002302
N20000463,N00002314,N00002316
N20000464,N00002302,N00002300
N20000465,N00002206,N00002209
N20000466,N00002310,N00002310
N20000467,N00002206,N00002206
N20000468,N00002311,N00002311
N20000469,N00002300,N00002300
N20000470,N00002205,N00002205
N20000471,N00002205,N00002205
N20000472,N00002205,N00002296
N20000473,N00002210,N00002210
N20000474,N00002204,N00002210
N20000475,N00002203,N00002203
N20000476,N00002177,N00002177
N20000477,N00002178,N00002178
N20000478,N00002174,N00002174
N20000479,N00002170,N00002170
N20000480,N00002172,N00002172
N20000481,N00002171,N00002171
N20000482,N00002173,N00002173
N20000483,N00002175,N00002175
N20000484,N00002175,N00002176
N20000485,N00002175,N00002175
N20000486,N00002331,N00002331
N20000487,N00002392,N00002392
N20000488,N00002331,N00002331
N20000489,N00002286,N00002286
N20000490,N00002282,N00002281
N20000491,N00002288,N00002288
N20000492,N00002395,N00002395
N20000493,N00002391,N00002393
N20000494,N00002284,N00002283
N20000495,N00002351,N00002351
N20000496,N00002249,N00002249
N20000497,N00002249,N00002249
N20000498,N00002389,N00002389
N20000499,N00002351,N00002351
N20000500,N00002394,N00002394
N20000501,N00002332,N00002332
N20000502,N00002335,N00002335
N20000503,N00002351,N00002351
N20000504,N00002388,N00002388
N20000505,N00002387,N00002387
N20000506,N00002387,N00002387
N20000507,N00002335,N00002335
N20000508,N00002237,N00002239
N20000509,N00002236,N00002236
N20000510,N00002327,N00002327
N20000511,N00002242,N00002242
N20000512,N00002344,N00002344
N20000513,N00002335,N00002335
N20000514,N00002347,N00002347
N20000515,N00002345,N00002345
N20000516,N00002236,N00002243
N20000517,N00002329,N00002329
N20000518,N00002326,N00002326
N20000519,N00002347,N00002345
N20000520,N00002327,N00002327
N20000521,N00002335,N00002335
N20000522,N00002244,N00002244
N20000523,N00002347,N00002349
N20000524,N00002245,N00002240
N20000525,N00002236,N00002236
N20000526,N00002346,N00002346
N20000527,N00002225,N00002224
N20000528,N00002358,N00002358
N20000529,N00002348,N00002348
N20000530,N00002353,N00002353
N20000531,N00002327,N00002327
N20000532,N00002357,N00002343
N20000533,N00002350,N00002350
N20000534,N00002225,N00002225
N20000535,N00002353,N00002353
N20000536,N00002241,N00002343
N20000537,N00002320,N00002321
N20000538,N00002353,N00002353
N20000539,N00002227,N00002221
N20000540,N00002228,N00002228
N20000541,N00002342,N00002342
N20000542,N00002324,N00002324
N20000543,N00002269,N00002269
N20000544,N00002339,N00002339
N20000545,N00002322,N00002322
N20000546,N00002341,N00002341
N20000547,N00002318,N00002318
N20000548,N00002340,N00002340
N20000549,N00002319,N00002319
N20000550,N00002341,N00002341
N20000551,N00002262,N00002262
N20000552,N00002377,N00002377
N20000553,N00002376,N00002376
N20000554,N00002379,N00002378
N20000555,N00002383,N00002383
N20000556,N00002382,N00002382
N20000557,N00002384,N00002383
N20000558,N00002378,N00002384
N20000559,N00002263,N00002263
N20000560,N00000800,N00000800
N20000561,N00002381,N00002381
N20000562,N00002262,N00000801
N20000563,N00000800,N00000741
N20000564,N00002263,N00002263
N20000565,N00000745,N00000745
N20000566,N00000743,N00000743
N20000567,N00002260,N00002259
N20000568,N00000741,N00000745
N20000569,N00002256,N00002376
N20000570,N00000746,N00000746
N20000571,N00000747,N00000745
N20000572,N00002261,N00002261
N20000573,N00000746,N00000750
N20000574,N00000749,N00000749
N20000575,N00000755,N00000755
N20000576,N00000757,N00000757
N20000577,N00000754,N00000754
N20000578,N00000748,N00000748
N20000579,N00000801,N00000801
N20000580,N00002256,N00002261
N20000581,N00002260,N00002260
N20000582,N00000780,N00000780
N20000583,N00000753,N00000780
N20000584,N00000779,N00000779
N20000585,N00000805,N00000792
N20000586,N00000805,N00000804
N20000587,N00000777,N00000777
N20000588,N00000804,N00000804
N20000589,N00000782,N00000777
N20000590,N00000779,N00000782
N20000591,N00000778,N00000788
N20000592,N00000788,N00000788
N20000593,N00000784,N00000784
N20000594,N00002204,N00002204
N20000595,N00000774,N00000773
N20000596,N00000789,N00000789
N20000597,N00000789,N00000789
N20000598,N00000774,N00000774
N20000599,N00000792,N00000789
N20000600,N00000773,N00000776
N20000601,N00000775,N00000775
N20000602,N00000773,N00000773
N20000603,N00000813,N00000813
N20000604,N00000814,N00000816
N20000605,N00000790,N00000793
N20000606,N00000793,N00000793
N20000607,N00000816,N00000790
N20000608,N00000815,N00000815
N20000609,N00000720,N00000720
N20000610,N00000818,N00000818
N20000611,N00000760,N00000760
N20000612,N00000821,N00000821
N20000613,N00000715,N00000715
N20000614,N00000735,N00000735
N20000615,N00000790,N00000790
N20000616,N00000765,N00000761
N20000617,N00000715,N00000715
N20000618,N00000824,N00000824
N20000619,N00000758,N00000758
N20000620,N00000824,N00000822
N20000621,N00000764,N00000764
N20000622,N00000731,N00000731
N20000623,N00000717,N00000717
N20000624,N00000766,N00000766
N20000625,N00000732,N00000732
N20000626,N00000716,N00000716
N20000627,N00000733,N00000733
N20000628,N00000716,N00000716
N20000629,N00000772,N00000772
N20000630,N00000766,N00000766
N20000631,N00000819,N00000819
N20000632,N00000734,N00000734
N20000633,N00000718,N00000718
N20000634,N00000768,N00000768
N20000635,N00000718,N00000718
N20000636,N00000729,N00000729
N20000637,N00000718,N00000766
N20000638,N00000767,N00000767
N20000639,N00000730,N00000730
N20000640,N00000769,N00000769
N20000641,N00000718,N00000718
N20000642,N00000794,N00000794
N20000643,N00000718,N00000718
N20000644,N00000799,N00000799
N20000645,N00000736,N00000736
N20000646,N00000796,N00000796
N20000647,N00000795,N00000795
N20000648,N00000737,N00000737
N20000649,N00000798,N00000798
N20000650,N00000785,N00000725
N20000651,N00000784,N00000784
N20000652,N00000795,N00000795
N20000653,N00000739,N00000739
N20000654,N00000451,N00000451
N20000655,N00000785,N00000785
N20000656,N00000786,N00000786
N20000657,N00000787,N00000787
N20000658,N00000787,N00000786
N20000659,N00000807,N00000806
N20000660,N00000809,N00000808
N20000661,N00000810,N00000810
N20000662,N00000807,N00000812
N20000663,N00000812,N00000812
N20000664,N00000398,N00000399
N20000665,N00000398,N00000398
N20000666,N00000461,N00000461
N20000667,N00000420,N00000420
N20000668,N00000462,N00000462
N20000669,N00000458,N00000455
N20000670,N00000420,N00000420
N20000671,N00000459,N00000459
N20000672,N00000466,N00000466
N20000673,N00000459,N00000456
N20000674,N00000395,N00000395
N20000675,N00000418,N00000418
N20000676,N00000392,N00000392
N20000677,N00000456,N00000456
N20000678,N00000417,N00000467
N20000679,N00000468,N00000468
N20000680,N00000422,N00000422
N20000681,N00000390,N00000456
N20000682,N00000463,N00000463
N20000683,N00000464,N00000464
N20000684,N00000469,N00000469
N20000685,N00000418,N00000418
N20000686,N00000463,N00000463
N20000687,N00000392,N00000392
N20000688,N00000390,N00000410
N20000689,N00000390,N00000390
N20000690,N00000390,N00000390
N20000691,N00000391,N00000391
N20000692,N00000452,N00000450
N20000693,N00000408,N00000410
N20000694,N00000449,N00000449
N20000695,N00000436,N00000436
N20000696,N00000433,N00000433
N20000697,N00000434,N00000434
N20000698,N00000435,N00000432
N20000699,N00000406,N00000406
N20000700,N00000436,N00000436
N20000701,N00000362,N00000362
N20000702,N00000407,N00000407
N20000703,N00000430,N00000430
N20000704,N00000452,N00000452
N20000705,N00000361,N00000361
N20000706,N00000363,N00000363
N20000707,N00000360,N00000360
N20000708,N00000431,N00000431
N20000709,N00000364,N00000364
N20000710,N00000364,N00000364
N20000711,N00001308,N00001308
N20000712,N00001310,N00001310
N20000713,N00001308,N00001308
N20000714,N00000925,N00000925
N20000715,N00001310,N00001310
N20000716,N00000923,N00000923
N20000717,N00000913,N00000913
N20000718,N00000907,N00000907
N20000719,N00001312,N00001311
N20000720,N00000906,N00000906
N20000721,N00001314,N00001314
N20000722,N00000917,N00000917
N20000723,N00000910,N00000908
N20000724,N00001310,N00001310
N20000725,N00001312,N00001312
N20000726,N00001099,N00001099
N20000727,N00000918,N00000918
N20000728,N00001315,N00001315
N20000729,N00000911,N00000911
N20000730,N00000912,N00000912
N20000731,N00001313,N00001313
N20000732,N00001098,N00001098
N20000733,N00001101,N00001101
N20000734,N00001561,N00001561
N20000735,N00001098,N00001098
N20000736,N00001316,N00001316
N20000737,N00001322,N00001322
N20000738,N00001561,N00001561
N20000739,N00001102,N00001102
N20000740,N00001097,N00001097
N20000741,N00001091,N00001095
N20000742,N00001323,N00001323
N20000743,N00000850,N00001102
N20000744,N00001102,N00001102
N20000745,N00001559,N00001559
N20000746,N00001093,N00001093
N20000747,N00001559,N00001559
N20000748,N00000847,N00000847
N20000749,N00001093,N00001093
N20000750,N00001554,N00001554
N20000751,N00000852,N00000852
N20000752,N00000851,N00000851
N20000753,N00000842,N00000842
N20000754,N00001553,N00001554
N20000755,N00000853,N00000853
N20000756,N00001321,N00000842
N20000757,N00001546,N00001546
N20000758,N00000849,N00000849
N20000759,N00001547,N00001547
N20000760,N00000843,N00000844
N20000761,N00001555,N00001555
N20000762,N00000845,N00000845
N20000763,N00001126,N00001126
N20000764,N00001548,N00001548
N20000765,N00000852,N00000852
N20000766,N00001359,N00001359
N20000767,N00001127,N00001127
N20000768,N00000852,N00000852
N20000769,N00001358,N00001358
N20000770,N00001129,N00001129
N20000771,N00001355,N00001356
N20000772,N00001548,N00001548
N20000773,N00001362,N00001362
N20000774,N00001550,N00001550
N20000775,N00001551,N00001549
N20000776,N00001128,N00001128
N20000777,N00001356,N00001356
N20000778,N00001354,N00001354
N20000779,N00001354,N00001357
N20000780,N00001350,N00001354
N20000781,N00001350,N00001350
N20000782,N00001350,N00001350
N20000783,N00001551,N00001350
N20000784,N00001351,N00001351
N20000785,N00001353,N00001353
N20000786,N00001352,N00001352
N20000787,N00000942,N00000942
N20000788,N00000945,N00000945
N20000789,N00000945,N00000945
N20000790,N00000954,N00000952
N20000791,N00000955,N00000952
N20000792,N00000947,N00000947
N20000793,N00000948,N00000948
N20000794,N00000950,N00000949
N20000795,N00000946,N00000946
N20000796,N00001056,N00001056
N20000797,N00001042,N00001042
N20000798,N00001041,N00001041
N20000799,N00001039,N00001039
N20000800,N00001045,N00001045
N20000801,N00001032,N00001032
N20000802,N00001054,N00001054
N20000803,N00001037,N00001037
N20000804,N00001038,N00001038
N20000805,N00001060,N00001060
N20000806,N00001056,N00001056
N20000807,N00001055,N00001055
N20000808,N00001051,N00001051
N20000809,N00001047,N00001047
N20000810,N00001038,N00001038
N20000811,N00001034,N00001035
N20000812,N00001201,N00001201
N20000813,N00001036,N00001036
N20000814,N00001052,N00001052
N20000815,N00001088,N00001088
N20000816,N00001048,N00001048
N20000817,N00001200,N00001198
N20000818,N00001083,N00001083
N20000819,N00000922,N00000922
N20000820,N00000920,N00000924
N20000821,N00001197,N00001197
N20000822,N00001188,N00001188
N20000823,N00001198,N00001198
N20000824,N00001084,N00001084
N20000825,N00001133,N00001133
N20000826,N00001188,N00001190
N20000827,N00001050,N00001090
N20000828,N00001192,N00001192
N20000829,N00001193,N00001193
N20000830,N00001085,N00001085
N20000831,N00001188,N00001188
N20000832,N00001195,N00001190
N20000833,N00001079,N00001079
N20000834,N00001089,N00001089
N20000835,N00001133,N00001134
N20000836,N00001079,N00001079
N20000837,N00001196,N00001196
N20000838,N00001085,N00001085
N20000839,N00001081,N00001081
N20000840,N00001082,N00001082
N20000841,N00001139,N00001139
N20000842,N00001140,N00001140
N20000843,N00001562,N00001563
N20000844,N00001135,N00001133
N20000845,N00001141,N00001140
N20000846,N00001564,N00001564
N20000847,N00001142,N00001142
N20000848,N00001143,N00001143
N20000849,N00001545,N00001545
N20000850,N00001136,N00001131
N20000851,N00001137,N00001137
N20000852,N00001144,N00001138
N20000853,N00001132,N00001132
N20000854,N00001131,N00001131
N20000855,N00001131,N00001131
N20000856,N00001480,N00001480
N20000857,N00001265,N00001265
N20000858,N00001480,N00001480
N20000859,N00001482,N00001482
N20000860,N00001484,N00001484
N20000861,N00001489,N00001486
N20000862,N00001484,N00001488
N20000863,N00001486,N00001486
N20000864,N00001492,N00001492
N20000865,N00001490,N00001490
N20000866,N00001493,N00001493
N20000867,N00001263,N00001263
N20000868,N00001494,N00001494
N20000869,N00001491,N00001497
N20000870,N00001265,N00001265
N20000871,N00001263,N00001263
N20000872,N00001269,N00001269
N20000873,N00001265,N00000884
N20000874,N00001266,N00001266
N20000875,N00001271,N00001271
N20000876,N00001272,N00001272
N20000877,N00001268,N00001267
N20000878,N00001271,N00001271
N20000879,N00001270,N00001271
N20000880,N00001271,N00001271
N20000881,N00000869,N00000869
N20000882,N00001265,N00001265
N20000883,N00000868,N00000868
N20000884,N00000885,N00000885
N20000885,N00001265,N00000873
N20000886,N00000875,N00000875
N20000887,N00000873,N00000873
N20000888,N00001271,N00001271
N20000889,N00000870,N00000870
N20000890,N00000865,N00000865
N20000891,N00001271,N00000991
N20000892,N00000881,N00000882
N20000893,N00000885,N00000885
N20000894,N00000879,N00000879
N20000895,N00000992,N00000992
N20000896,N00000880,N00000880
N20000897,N00000997,N00000997
N20000898,N00000992,N00000992
N20000899,N00000994,N00000994
N20000900,N00001503,N00001503
N20000901,N00001505,N00001505
N20000902,N00000860,N00000860
N20000903,N00001504,N00001501
N20000904,N00000876,N00000876
N20000905,N00001505,N00001505
N20000906,N00000994,N00000994
N20000907,N00000994,N00000994
N20000908,N00001499,N00001500
N20000909,N00000996,N00001000
N20000910,N00001498,N00001498
N20000911,N00000994,N00000994
N20000912,N00001610,N00001610
N20000913,N00001613,N00001613
N20000914,N00001501,N00001501
N20000915,N00001506,N00001506
N20000916,N00001001,N00001005
N20000917,N00000994,N00001002
N20000918,N00001612,N00001611
N20000919,N00001507,N00001507
N20000920,N00001005,N00001005
N20000921,N00001502,N00001502
N20000922,N00001613,N00001613
N20000923,N00000995,N00000995
N20000924,N00001620,N00001620
N20000925,N00001502,N00001502
N20000926,N00001002,N00001002
N20000927,N00001508,N00001509
N20000928,N00001619,N00001619
N20000929,N00001002,N00001002
N20000930,N00001615,N00001615
