DZ2021_cd,DZ2021_nm,DEA2014_nm,dea_1972,dea_1984,dea_1993,dea_2012
N20003337,Slieve_Croob_G4,Slieve Croob,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
N20003339,Slieve_Croob_H2,Slieve Croob,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
N20003340,Slieve_Croob_H3,Slieve Croob,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
N20003338,Slieve_Croob_H1,Slieve Croob,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
N20003335,Slieve_Croob_F3,Slieve Croob,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Slieve Croob
N20003330,Slieve_Croob_F2,Slieve Croob,DOWN AREA C,BALLYNAHINCH,BALLYNAHINCH,Slieve Croob
N20003329,Slieve_Croob_F1,Slieve Croob,DOWN AREA C,BALLYNAHINCH,BALLYNAHINCH,Slieve Croob
N20003324,Slieve_Croob_C3,Slieve Croob,DOWN AREA C,BALLYNAHINCH,BALLYNAHINCH,Slieve Croob
N20003326,Slieve_Croob_C5,Slieve Croob,DOWN AREA C,BALLYNAHINCH,BALLYNAHINCH,Slieve Croob
N20003325,Slieve_Croob_C4,Slieve Croob,DOWN AREA C,BALLYNAHINCH,BALLYNAHINCH,Slieve Croob
N20003332,Slieve_Croob_G1,Slieve Croob,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
N20003333,Slieve_Croob_G2,Slieve Croob,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
N20003334,Slieve_Croob_G3,Slieve Croob,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
N20003336,Slieve_Croob_E4,Slieve Croob,BANBRIDGE AREA B,DROMORE,DROMORE,Slieve Croob
N20003327,Slieve_Croob_E2,Slieve Croob,BANBRIDGE AREA B,DROMORE,DROMORE,Slieve Croob
N20003323,Slieve_Croob_E1,Slieve Croob,BANBRIDGE AREA B,DROMORE,DROMORE,Slieve Croob
N20000591,Lagan_River_N3,Lagan River,BANBRIDGE AREA B,KNOCKIVEAGH,KNOCKIVEAGH,Lagan River
N20000593,Lagan_River_N5,Lagan River,BANBRIDGE AREA B,KNOCKIVEAGH,KNOCKIVEAGH,Lagan River
N20000650,Banbridge_P1,Banbridge,BANBRIDGE AREA B,DROMORE,DROMORE,Banbridge
N20003331,Slieve_Croob_E3,Slieve Croob,BANBRIDGE AREA B,DROMORE,DROMORE,Slieve Croob
N20000655,Banbridge_P3,Banbridge,BANBRIDGE AREA B,KNOCKIVEAGH,KNOCKIVEAGH,Banbridge
N20000656,Banbridge_P4,Banbridge,BANBRIDGE AREA B,KNOCKIVEAGH,KNOCKIVEAGH,Banbridge
N20003261,The_Mournes_F1,The Mournes,NEWRY AND MOURNE AREA C,CROTLIEVE,CROTLIEVE,The Mournes
N20003344,Slieve_Croob_J3,Slieve Croob,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
N20003346,Slieve_Croob_J5,Slieve Croob,DOWN AREA C,NEWCASTLE,NEWCASTLE,Slieve Croob
N20003257,The_Mournes_A1,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003260,The_Mournes_A4,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003276,The_Mournes_F3,The Mournes,DOWN AREA C,NEWCASTLE,NEWCASTLE,The Mournes
N20003280,The_Mournes_F4,The Mournes,NEWRY AND MOURNE AREA C,CROTLIEVE,CROTLIEVE,The Mournes
N20003282,The_Mournes_G2,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003281,The_Mournes_G1,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003287,The_Mournes_H4,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003285,The_Mournes_H2,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003284,The_Mournes_H1,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003283,The_Mournes_J1,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003286,The_Mournes_H3,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003289,The_Mournes_J2,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003309,The_Mournes_K4,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003304,The_Mournes_N3,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003303,The_Mournes_P2,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003305,The_Mournes_P3,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003308,The_Mournes_P6,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003307,The_Mournes_P5,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003306,The_Mournes_P4,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003296,The_Mournes_J4,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003297,The_Mournes_L1,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003294,The_Mournes_J3,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003288,The_Mournes_G3,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003292,The_Mournes_G4,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003293,The_Mournes_G5,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003298,The_Mournes_L2,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003300,The_Mournes_L3,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003301,The_Mournes_P1,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003299,The_Mournes_N1,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003302,The_Mournes_N2,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003290,The_Mournes_K1,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003291,The_Mournes_K2,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003310,The_Mournes_K5,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,THE MOURNES,The Mournes
N20003255,Crotlieve_K7,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003251,Crotlieve_K5,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003249,Crotlieve_K4,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003253,Crotlieve_K6,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003250,Crotlieve_J3,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003252,Crotlieve_L3,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003254,Crotlieve_L4,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003256,Crotlieve_L5,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003295,The_Mournes_K3,The Mournes,NEWRY AND MOURNE AREA A,THE MOURNES,CROTLIEVE,The Mournes
N20003244,Crotlieve_L2,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003239,Crotlieve_L1,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003230,Crotlieve_G2,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003232,Crotlieve_G3,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003225,Crotlieve_G1,Crotlieve,NEWRY AND MOURNE AREA C,CROTLIEVE,CROTLIEVE,Crotlieve
N20003226,Crotlieve_E2,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003221,Crotlieve_E1,Crotlieve,NEWRY AND MOURNE AREA C,CROTLIEVE,CROTLIEVE,Crotlieve
N20003222,Crotlieve_C3,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,THE FEWS,Crotlieve
N20003231,Crotlieve_E3,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003234,Crotlieve_G4,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003235,Crotlieve_G5,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003240,Crotlieve_J2,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003246,Crotlieve_K2,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003243,Crotlieve_H4,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003245,Crotlieve_H5,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003247,Crotlieve_H6,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003248,Crotlieve_K3,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003242,Crotlieve_K1,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003241,Crotlieve_H3,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003238,Crotlieve_H2,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003237,Crotlieve_J1,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003236,Crotlieve_H1,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003204,Newry_N3,Newry,NEWRY AND MOURNE AREA D,SLIEVE GULLION,SLIEVE GULLION,Newry
N20003205,Newry_P3,Newry,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Newry
N20003202,Newry_N2,Newry,NEWRY AND MOURNE AREA D,SLIEVE GULLION,SLIEVE GULLION,Newry
N20003201,Newry_P1,Newry,NEWRY AND MOURNE AREA D,SLIEVE GULLION,SLIEVE GULLION,Newry
N20003233,Crotlieve_F4,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003229,Crotlieve_F3,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003228,Crotlieve_F2,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003192,Newry_J2,Newry,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N20003197,Newry_J3,Newry,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N20003227,Crotlieve_F1,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003223,Crotlieve_C4,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003169,Newry_D4,Newry,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N20003168,Newry_D3,Newry,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N20003175,Newry_G1,Newry,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N20003178,Newry_E4,Newry,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N20003181,Newry_G3,Newry,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N20003180,Newry_G2,Newry,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N20003187,Newry_L1,Newry,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N20003184,Newry_G4,Newry,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N20003224,Crotlieve_C5,Crotlieve,NEWRY AND MOURNE AREA B,CROTLIEVE,CROTLIEVE,Crotlieve
N20003189,Newry_J1,Newry,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N20003190,Newry_L2,Newry,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N20003191,Newry_K2,Newry,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N20003186,Newry_H3,Newry,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N20003188,Newry_K1,Newry,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N20003183,Newry_H1,Newry,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N20003185,Newry_H2,Newry,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N20003179,Newry_E5,Newry,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N20003170,Newry_E1,Newry,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N20003172,Newry_E2,Newry,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N20003174,Newry_E3,Newry,NEWRY AND MOURNE AREA F,NEWRY TOWN,NEWRY TOWN,Newry
N20003167,Newry_C3,Newry,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N20003171,Newry_C4,Newry,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N20003176,Newry_F2,Newry,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N20003182,Newry_F4,Newry,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N20003177,Newry_F3,Newry,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N20003173,Newry_F1,Newry,NEWRY AND MOURNE AREA D,THE FEWS,THE FEWS,Newry
N20003194,Newry_K3,Newry,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N20003196,Newry_K4,Newry,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N20003193,Newry_L3,Newry,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N20003195,Newry_L4,Newry,NEWRY AND MOURNE AREA D,NEWRY TOWN,NEWRY TOWN,Newry
N20003198,Newry_L5,Newry,NEWRY AND MOURNE AREA D,SLIEVE GULLION,SLIEVE GULLION,Newry
N20003199,Newry_L6,Newry,NEWRY AND MOURNE AREA D,NEWRY TOWN,SLIEVE GULLION,Newry
N20003200,Newry_N1,Newry,NEWRY AND MOURNE AREA D,SLIEVE GULLION,THE FEWS,Newry
N20003129,Slieve_Gullion_F3,Slieve Gullion,NEWRY AND MOURNE AREA E,THE FEWS,THE FEWS,Slieve Gullion
N20003124,Slieve_Gullion_E5,Slieve Gullion,NEWRY AND MOURNE AREA E,THE FEWS,THE FEWS,Slieve Gullion
N20003130,Slieve_Gullion_F4,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003203,Newry_P2,Newry,NEWRY AND MOURNE AREA D,SLIEVE GULLION,SLIEVE GULLION,Newry
N20003206,Newry_P4,Newry,NEWRY AND MOURNE AREA D,SLIEVE GULLION,SLIEVE GULLION,Newry
N20003135,Slieve_Gullion_L1,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003138,Slieve_Gullion_F5,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003143,Slieve_Gullion_J4,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003149,Slieve_Gullion_L4,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003139,Slieve_Gullion_L2,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003145,Slieve_Gullion_L3,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003142,Slieve_Gullion_J3,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003141,Slieve_Gullion_G4,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003148,Slieve_Gullion_K4,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003151,Slieve_Gullion_K5,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003144,Slieve_Gullion_K3,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003140,Slieve_Gullion_H3,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003146,Slieve_Gullion_N1,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003147,Slieve_Gullion_N2,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003150,Slieve_Gullion_N3,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003153,Slieve_Gullion_H5,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003152,Slieve_Gullion_H4,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003125,Slieve_Gullion_H1,Slieve Gullion,NEWRY AND MOURNE AREA E,THE FEWS,THE FEWS,Slieve Gullion
N20003128,Slieve_Gullion_G2,Slieve Gullion,NEWRY AND MOURNE AREA E,THE FEWS,THE FEWS,Slieve Gullion
N20003131,Slieve_Gullion_H2,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003132,Slieve_Gullion_K1,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003137,Slieve_Gullion_K2,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003133,Slieve_Gullion_G3,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003134,Slieve_Gullion_J1,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003136,Slieve_Gullion_J2,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003127,Slieve_Gullion_G1,Slieve Gullion,NEWRY AND MOURNE AREA E,SLIEVE GULLION,SLIEVE GULLION,Slieve Gullion
N20003126,Slieve_Gullion_F2,Slieve Gullion,NEWRY AND MOURNE AREA E,THE FEWS,THE FEWS,Slieve Gullion
N20003107,Slieve_Gullion_B3,Slieve Gullion,NEWRY AND MOURNE AREA E,THE FEWS,THE FEWS,Slieve Gullion
N20003106,Slieve_Gullion_B2,Slieve Gullion,NEWRY AND MOURNE AREA E,THE FEWS,THE FEWS,Slieve Gullion
