DZ2021_cd,SA2011,weight
N20000093,N00003903,0.00156721775822936
N20000093,N00003913,1.2588635348257805e-05
N20000093,N00003912,6.282314130806075e-06
N20000093,N00003997,3.1592046845373478e-06
N20000094,N00003997,0.6273382889650269
N20000094,N00003902,0.17049710947939783
N20000094,N00003897,0.12471901642386529
N20000094,N00003904,0.07744558513170685
N20000095,N00003901,0.4424718425489696
N20000095,N00003913,0.29466264197545783
N20000095,N00003902,0.25130869082733304
N20000095,N00003904,0.008494562220573439
N20000095,N00003906,0.0016266295016214263
N20000095,N00003900,0.0014356329260216633
N20000096,N00003994,0.4861519365359393
N20000096,N00003996,0.4172323569240141
N20000096,N00003999,0.0962244902244758
N20000096,N00003997,0.0003912163155736735
N20000097,N00003902,0.4125090303719779
N20000097,N00003897,0.2796673320064735
N20000097,N00003896,0.1590822751803795
N20000097,N00003904,0.14874036387086045
N20000098,N00003912,0.6770075506147113
N20000098,N00003907,0.28204131265160604
N20000098,N00003906,0.03743150798446172
N20000098,N00003911,0.003519628749358666
N20000099,N00003997,0.27105597116284375
N20000099,N00003999,0.23306460251995137
N20000099,N00003994,0.20795116992412885
N20000099,N00003996,0.12950034438868924
N20000099,N00003995,0.05533253551104715
N20000099,N00003991,0.03925271679212417
N20000099,N00003993,0.026841262400730426
N20000099,N00003898,0.019955320549571033
N20000099,N00003998,0.016979904132102694
N20000099,N00000084,6.185203669813272e-05
N20000099,N00003990,4.370408808626825e-06
N20000100,N00003937,0.5127165100258174
N20000100,N00003935,0.13908150035721725
N20000100,N00003939,0.12948973487706844
N20000100,N00003943,0.08775351016435361
N20000100,N00003933,0.07297480015988285
N20000100,N00003936,0.040218924994912794
N20000100,N00003911,0.011061840264568867
N20000100,N00003912,0.00652838975869409
N20000100,N00003150,0.00014750545867094818
N20000100,N00003903,2.730637975472853e-05
N20000101,N00003911,0.9999722670353112
N20000101,N00003937,2.7732966088758865e-05
N20000102,N00003911,0.6418382569011294
N20000102,N00003912,0.23565755139596903
N20000102,N00003907,0.06470917171513679
N20000102,N00003909,0.057795019986564736
N20000103,N00003896,0.5771029055676355
N20000103,N00003906,0.2557960414170415
N20000103,N00003913,0.13904094336974337
N20000103,N00003902,0.017603545065890295
N20000103,N00003912,0.010399300497693657
N20000103,N00003907,5.1229193024872114e-05
N20000103,N00003908,6.0348886809465035e-06
N20000104,N00003896,0.4618511431881314
N20000104,N00003897,0.3549770216471089
N20000104,N00003902,0.10306936148497849
N20000104,N00003899,0.08010098390309944
N20000104,N00003944,1.4778960275971205e-06
N20000105,N00003896,0.9998445114745256
N20000105,N00003908,0.00015477672260222645
N20000106,N00003911,0.8562426032584604
N20000106,N00003909,0.140162594023135
N20000106,N00003943,0.0035850033410407376
N20000106,N00003937,9.79938052790565e-06
N20000107,N00003909,0.5695251669590354
N20000107,N00003907,0.3525095007823238
N20000107,N00003911,0.07642405521922835
N20000107,N00003943,0.0013248944843767495
N20000107,N00003908,0.00021638255568768065
N20000108,N00003908,0.4205819917893354
N20000108,N00003907,0.41825029358104354
N20000108,N00003905,0.12092772804852508
N20000108,N00003906,0.03898054918624374
N20000108,N00003896,0.0005213880532798202
N20000108,N00003944,0.00028246849678844086
N20000108,N00003909,0.0002197335413169736
N20000108,N00003910,0.0001948820129075495
N20000108,N00003912,4.096529090003478e-05
N20000109,N00003898,0.4814539736526225
N20000109,N00003899,0.453850417327423
N20000109,N00003897,0.06468512881337564
N20000109,N00003944,5.2160314552068065e-06
N20000109,N00003896,3.756543191499228e-06
N20000109,N00003947,1.5076319130618171e-06
N20000110,N00003898,0.5053310157419748
N20000110,N00003947,0.3114802752555393
N20000110,N00003997,0.13317297385818505
N20000110,N00003897,0.029895433377663275
N20000110,N00003946,0.012915639869750088
N20000110,N00003944,0.006882327150098375
N20000110,N00003899,0.00032233474679110554
N20000111,N00003944,0.4366071289783544
N20000111,N00003945,0.22865720822668162
N20000111,N00003946,0.16124380665144794
N20000111,N00003905,0.0810885676532441
N20000111,N00003947,0.05085118345643344
N20000111,N00003910,0.040738236176035364
N20000111,N00003899,0.0008138688577874671
N20000112,N00003908,0.45362300186959426
N20000112,N00003910,0.35340113323029054
N20000112,N00003905,0.16266468869212553
N20000112,N00003944,0.030311176207987362
N20000113,N00003943,0.7471044075191937
N20000113,N00003939,0.20576989157983108
N20000113,N00003908,0.03805237817752023
N20000113,N00003909,0.007166676767301825
N20000113,N00003907,0.001906640384531081
N20000114,N00003946,0.41552203950910904
N20000114,N00003945,0.26514942980002104
N20000114,N00003947,0.20879287055398463
N20000114,N00003944,0.11053562902488324
N20000115,N00003947,0.6324523545906661
N20000115,N00003910,0.1643959710869235
N20000115,N00003943,0.1623405451688954
N20000115,N00003945,0.029330832740834707
N20000115,N00003946,0.007105117782221984
N20000115,N00003908,0.00417819570458129
N20000115,N00003944,0.00014318008700640373
N20000115,N00003940,5.380283893261563e-05
N20000116,N00003991,0.5591162100418913
N20000116,N00003992,0.27879565431578046
N20000116,N00003990,0.15085458216263004
N20000116,N00003993,0.011233553479676448
N20000117,N00003990,0.7632587288023628
N20000117,N00003993,0.11883604444644079
N20000117,N00003991,0.06245820613231182
N20000117,N00003992,0.055447020618882036
N20000118,N00003992,0.6335566233180419
N20000118,N00003991,0.3663575657362041
N20000118,N00003993,8.58109457592852e-05
N20000119,N00003993,0.7665233295019326
N20000119,N00003992,0.2334749998028889
N20000119,N00003990,1.6706951891761311e-06
N20000120,N00003939,0.4261676054774192
N20000120,N00003940,0.3888420169059888
N20000120,N00003941,0.08788310667753457
N20000120,N00003947,0.06391561009474397
N20000120,N00003934,0.01533958526379895
N20000120,N00003943,0.013517808127549567
N20000120,N00003942,0.0043342674529100855
N20000121,N00003934,0.6598977946045653
N20000121,N00003933,0.23537711317894275
N20000121,N00003932,0.0723696967025421
N20000121,N00003939,0.03080384379664276
N20000121,N00003943,0.0014795573449686394
N20000121,N00001747,2.930283523100203e-05
N20000121,N00001749,2.2364797842908678e-05
N20000121,N00003938,1.5856138800626803e-05
N20000121,N00003937,1.85120958261826e-06
N20000121,N00001748,1.6679400586093424e-06
N20000122,N00003940,0.39423220974061746
N20000122,N00003941,0.26614542300772165
N20000122,N00003993,0.16948686436403665
N20000122,N00003992,0.052995333162401924
N20000122,N00003942,0.03134971415907372
N20000122,N00003991,0.029603818518844537
N20000122,N00003947,0.022110105055480455
N20000122,N00003994,0.015821001580865402
N20000122,N00003997,0.012549763048547906
N20000122,N00003990,0.005520062269351464
N20000122,N00000120,9.07740993210673e-05
N20000122,N00004058,4.6183630000987496e-05
N20000122,N00004057,3.405199829102641e-05
N20000122,N00004054,6.186702999606739e-06
N20000122,N00000084,4.377569354328964e-06
