OA_CODE,nimdm2005_Income_score,nimdm2005_Employment_score,nimdm2005_EDM_score,nimdm2005_dep_pct,nimdm2010_Income Deprivation_score,nimdm2010_Employment Deprivation_score,nimdm2010_MDM_score,nimdm2010_dep_pct,nimdm2017_dep_pct,nimdm2017_income_pct,nimdm2017_employ_pct
95LL160009,0.09,0.05,5.97,12.746464847639915,0.17,0.07,13.11,36.7257518422625,40.123456790123456,48.500881834215164,29.651675485008827
95LL160010,0.4,0.28,41.61,88.34893447520415,0.34,0.16,26.08,69.28898625771758,40.123456790123456,48.50088183421517,29.65167548500882
95LL160011,0.05,0.12,10.52,28.898625771758613,0.08,0.07,8.88,21.09141605257917,15.079365079365083,20.370370370370374,23.611111111111114
95LL170001,0.05,0.1,7.4,17.74546903007369,0.07,0.09,7.22,15.73391754630552,13.492063492063489,25.749559082892414,31.216931216931222
95LL170002,0.19,0.14,16.48,45.628360884286,0.43,0.23,35.04,82.05536745668194,93.69488536155202,97.8615520282187,88.8447971781305
95LL170003,0.32,0.18,25.6,67.73551085441147,0.35,0.23,28.93,73.84983071101374,79.32098765432099,85.3395061728395,79.27689594356261
95LL170004,0.12,0.13,13.11,36.46683927504482,0.23,0.12,16.61,48.11790479984067,50.02204585537919,60.405643738977076,54.80599647266313
95LL170005,0.19,0.19,21.23,57.83708424616611,0.53,0.25,35.97,82.97151961760605,75.04409171075838,73.76543209876543,83.06878306878306
95LL170006,0.05,0.07,5.77,12.069308902609045,0.1,0.09,9.28,22.545309699263093,36.92680776014109,66.66666666666667,45.48059964726632
95LL170007,0.05,0.09,6.74,15.315674168492333,0.05,0.07,5.45,9.65943039235212,15.035273368606706,20.348324514991177,39.63844797178131
95LL170008,0.06,0.11,8.82,23.361880103565024,0.2,0.1,14.17,39.79286994622585,10.49382716049383,36.948853615520285,5.70987654320988
95LL170009,0.13,0.13,12.96,36.00876319458275,0.18,0.14,15.83,45.628360884286,43.3641975308642,24.118165784832446,70.5246913580247
95LL180001,0.05,0.11,6.34,13.941445927106155,0.07,0.13,9.12,22.00756821350328,23.875661375661373,4.232804232804233,34.876543209876544
95LL180002,0.11,0.17,13.6,37.66182035451106,0.15,0.1,10.21,25.990838478390753,23.104056437389776,3.8580246913580196,43.518518518518526
95LL180003,0.06,0.15,11.11,30.71101374228241,0.1,0.09,7.42,16.311491734714203,20.01763668430335,42.39417989417989,21.957671957671955
95LL180004,0.06,0.08,5.91,12.507468631746665,0.06,0.08,6.35,12.905795658235409,8.840388007054678,4.739858906525574,22.045855379188716
95LL180005,0.04,0.13,8.7,23.04321848237403,0.05,0.11,6.57,13.68253335988847,24.911816578483247,44.00352733686067,25.044091710758373
95LL180006,0.08,0.1,7.48,18.044214299940254,0.16,0.12,11.3,30.093606851224852,11.397707231040567,2.9761904761904767,27.954144620811284
95LL180007,0.03,0.11,7.5,18.143796056562433,0.11,0.13,10.35,26.44891455885282,21.318342151675484,16.666666666666664,22.663139329805993
95LL180008,0.13,0.15,11.91,33.120892252539335,0.24,0.09,13.49,37.801234813782116,63.58024691358024,75.88183421516754,50.83774250440918
95LL180009,0.1,0.12,8.88,23.501294562836083,0.14,0.08,7.65,17.187811192989443,18.165784832451504,4.541446208112876,31.30511463844797
95LL190001,0.12,0.1,10.98,30.37243576976698,0.15,0.1,9.86,24.53694483170683,41.93121693121693,34.28130511463845,63.60229276895944
95LL190002,0.06,0.13,10.13,27.345150368452497,0.08,0.09,5.51,9.89842660824537,19.312169312169313,37.41181657848325,22.883597883597883
95LL190003,0.07,0.08,7.25,17.147978490340567,0.1,0.09,6.53,13.543118900617412,19.312169312169313,37.41181657848325,22.883597883597886
95LL190004,0.05,0.11,9.23,24.497112129057953,0.08,0.06,5.04,8.026289583748259,30.445326278659614,59.567901234567906,24.845679012345677
95LL190005,0.03,0.07,5.32,10.256920932085245,0.05,0.07,3.48,2.828121888070101,4.828042328042326,2.8439153439153486,11.155202821869493
95LL190006,0.13,0.12,12.67,35.29177454690301,0.24,0.09,11.32,30.27285401314479,34.523809523809526,10.515873015873012,53.26278659611993
95LL190007,0.11,0.12,12.42,34.694284007169884,0.17,0.11,11.17,29.516032662816173,33.17901234567901,70.08377425044092,22.332451499118168
95LL190008,0.14,0.09,11.19,30.950009958175663,0.2,0.1,12.57,34.49512049392551,25.022045855379194,41.13756613756614,28.395061728395067
95LL190009,0.06,0.08,7.92,19.95618402708623,0.13,0.07,6.7,14.120693089026092,35.449735449735456,75.13227513227514,17.129629629629626
95LL190010,0.17,0.11,14.13,38.97629954192392,0.15,0.09,9.99,25.094602668791076,55.18077601410935,27.99823633156967,62.03703703703704
95LL190011,0.04,0.09,7.29,17.34714200358495,0.09,0.07,6.12,12.14897430790679,11.57406929808279,22.023810187141642,8.421510254195292
95LL200001,0.15,0.18,16.86,46.6440948018323,0.27,0.2,23.26,64.07090221071499,61.529982363315696,64.24162257495591,62.52204585537919
95LL200002,0.37,0.29,38.72,85.85939055964947,0.45,0.27,37.94,85.30173272256522,77.9320987654321,57.20899470899471,79.25485008818343
95LL200003,0.21,0.2,21.78,59.05198167695678,0.38,0.16,25.82,68.93049193387772,83.86243386243386,89.96913580246914,74.55908289241621
95LL200004,0.1,0.1,7.45,17.82513443537144,0.15,0.14,14.74,41.96375224058953,55.37918871252205,67.70282186948855,56.944444444444436
95LL200005,0.22,0.16,18.27,50.109539932284406,0.25,0.15,20.01,56.52260505875324,61.57407407407407,21.64902998236331,67.28395061728395
95LL200006,0.2,0.18,20.31,55.467038438558056,0.41,0.19,30.92,76.95678151762597,83.66402116402116,75.57319223985891,67.74691358024691
95LL200007,0.35,0.22,29.39,74.70623381796455,0.46,0.21,33.67,80.58155745867357,70.72310405643739,3.791887125220461,85.22927689594356
95LL200008,0.19,0.14,13.83,38.31905994821748,0.19,0.12,16.35,47.32125074686317,26.807760141093475,18.408289241622576,42.592592592592595
95LL210001,0.45,0.26,38.99,86.11830312686716,0.63,0.29,47.57,92.61103365863373,95.43650793650794,98.67724867724867,83.48765432098766
95LL210002,0.32,0.26,32.47,79.2073292172874,0.35,0.1,21.06,59.1117307309301,56.238977072310405,23.324514991181655,68.62874779541445
95LL210003,0.23,0.2,21.15,57.6180043815973,0.18,0.12,13.89,39.036048595897235,51.697530864197525,77.79982363315696,41.688712522045854
95LL210004,0.13,0.17,14.63,40.5098585939056,0.19,0.13,15.01,42.80023899621589,39.682539682539684,53.61552028218696,36.06701940035273
95LL210005,0.07,0.13,9.38,25.0547699661422,0.15,0.07,11.5,30.810595498904604,39.682539682539684,53.61552028218694,36.06701940035273
95LL210006,0.32,0.35,42.97,89.38458474407489,0.43,0.27,36.01,83.03126867157937,80.20282186948855,88.33774250440916,75.79365079365078
95LL210007,0.17,0.1,10.17,27.44473212507469,0.31,0.08,14.96,42.6409081856204,60.956790123456784,79.98236331569665,40.36596119929453
95LL210008,0.11,0.09,8.03,20.37442740489942,0.27,0.11,17.68,51.20493925512846,48.126102292768955,41.20370370370371,61.463844797178126
95LL210009,0.21,0.2,22.22,60.06771559450308,0.19,0.1,12.81,35.49093806014738,29.541446208112877,50.02204585537919,32.01058201058201
95LL210010,0.22,0.27,28.63,73.11292571200956,0.38,0.17,24.15,66.02270464050986,25.595238095238095,4.320987654320985,52.42504409171076
95LL220001,0.32,0.23,30.85,76.93686516630154,0.36,0.17,27.48,71.61919936267675,47.773368606701936,46.67107583774251,48.30246913580247
95LL220002,0.28,0.32,39.68,86.73571001792472,0.32,0.24,32.91,79.50607448715395,67.68077601410934,54.67372134038801,74.86772486772486
95LL220003,0.34,0.28,36.93,84.46524596693885,0.39,0.26,35.58,82.59310894244175,68.01146384479718,16.049382716049386,77.77777777777779
95LL220004,0.17,0.16,16.37,45.28978291177056,0.19,0.14,18.23,52.87791276638119,47.06790123456789,20.392416225749553,57.60582010582011
95LL220005,0.12,0.14,10.67,29.535949014140606,0.24,0.14,17.72,51.324437363075084,47.773368606701936,46.67107583774251,48.30246913580247
95LL220006,0.38,0.3,40.12,86.95478988249351,0.46,0.26,38.61,85.83947420832503,88.60229276895943,92.52645502645503,87.08112874779542
95LL220007,0.3,0.25,30.11,75.84146584345748,0.58,0.24,40.55,87.39294961163115,70.83333333333333,42.81305114638448,71.8694885361552
95LL220008,0.31,0.21,26.5,69.6673969328819,0.5,0.18,31.64,78.11192989444334,80.0925925925926,67.92328042328042,81.61375661375662
95LL230001,0.17,0.17,16.76,46.4250149372635,0.16,0.16,20.64,57.956582354112726,33.79629629629629,13.844797178130507,59.21516754850088
95LL230002,0.28,0.2,25.51,67.43676558454491,0.44,0.16,32.63,79.32682732523402,73.0379188712522,66.9753086419753,73.98589065255732
95LL230003,0.28,0.23,28.26,72.51543517227643,0.46,0.23,40.73,87.49253136825334,92.83509700176367,94.9294532627866,83.75220458553791
95LL230004,0.5,0.34,52.74,94.50308703445529,0.42,0.22,42.06,88.6476797450707,82.58377425044092,79.2989417989418,84.63403880070547
95LL230005,0.35,0.34,43.77,89.90240987851026,0.39,0.24,35.35,82.47361083449512,96.14197530864197,94.1358024691358,91.15961199294532
95LL230006,0.31,0.22,27.85,71.89802828121887,0.38,0.2,31.92,78.53017327225652,81.12874779541445,89.61640211640211,70.59082892416227
95LL230007,0.26,0.19,22.4,60.426209918342956,0.32,0.17,24.73,66.8990240987851,83.5758377425044,93.18783068783068,62.58818342151676
95LL230008,0.12,0.17,14.05,38.7572196773551,0.19,0.1,15.11,43.25831507667795,21.538800705467377,38.337742504409164,34.21516754850088
95LL240001,0.14,0.1,17.41,47.85899223262299,0.13,0.1,11.56,31.049591714797852,34.28130511463845,46.36243386243386,26.34479717813051
95LL240002,0.13,0.15,22.19,59.9681338378809,0.18,0.1,16.49,47.60007966540529,40.38800705467372,56.547619047619044,37.85273368606702
95LL240003,0.06,0.09,9.57,25.652260505875326,0.2,0.09,14.48,41.06751643098985,52.05026455026456,77.20458553791887,25.881834215167554
95LL240004,0.08,0.11,13.25,36.904999004182436,0.08,0.1,10.05,25.253933479386582,48.08201754975982,64.70457884887962,35.758392303868604
95LL240005,0.27,0.13,28.16,72.41585341565425,0.28,0.1,20.93,58.733320055765795,51.014109347442684,50.529100529100525,53.72574955908289
95LL240006,0.26,0.16,26.84,70.50388368850827,0.35,0.16,25.65,68.67157936666003,44.29012345679012,2.865961199294531,55.974426807760146
95LL240007,0.11,0.13,22.17,59.88846843258315,0.1,0.11,15.81,45.52877912766381,32.826278659611994,30.22486772486772,23.082010582010582
95LL240008,0.06,0.11,16.95,46.86317466640112,0.11,0.09,11.78,31.925911173073096,31.746031746031743,57.23104056437389,20.127865961199298
95LL250001,0.08,0.11,11.11,30.691097390957978,0.07,0.06,4.62,6.55247958573989,18.055555555555557,28.593474426807763,17.06349206349206
95LL250002,0.04,0.09,7.8,19.41844254132643,0.06,0.08,6.39,13.065126468830911,18.761022927689595,22.530864197530864,17.945326278659614
95LL250003,0.12,0.11,12.18,34.05696076478789,0.17,0.08,10.67,27.564230233021313,44.70899470899471,79.85008818342152,15.78483245149912
