Geography,SA2011,LGD,MDM_rank,Income_rank,Employment_rank,MDM_decile
Ballywalter_1,N00000152,Ards and North Down,1063,2192,824,3
Ballywalter_2,N00000153,Ards and North Down,1996,2542,1661,5
Ballywalter_2,N00000154,Ards and North Down,1581,1411,1537,4
Ballywalter_2,N00000155,Ards and North Down,2058,1054,2847,5
Ballywalter_2,N00000156,Ards and North Down,3318,1932,3505,8
Ballywalter_2,N00000157,Ards and North Down,2504,1798,2486,6
Ballywalter_2,N00000158,Ards and North Down,1421,819,2154,4
Bradshaw's Brae_1,N00000159,Ards and North Down,1753,2805,1455,4
Bradshaw's Brae_1,N00000160,Ards and North Down,2651,2978,2218,6
Bradshaw's Brae_1,N00000161,Ards and North Down,4384,3845,4319,10
Bradshaw's Brae_1,N00000162,Ards and North Down,2054,2461,1605,5
Bradshaw's Brae_1,N00000163,Ards and North Down,1000,1506,1000,3
Bradshaw's Brae_2,N00000164,Ards and North Down,3464,3117,3960,8
Bradshaw's Brae_2,N00000165,Ards and North Down,3185,2280,2960,8
Bradshaw's Brae_2,N00000166,Ards and North Down,4179,3497,3957,10
Bradshaw's Brae_2,N00000167,Ards and North Down,4186,2897,4192,10
Bradshaw's Brae_2,N00000168,Ards and North Down,3615,2231,3816,8
Carrowdore_1,N00000169,Ards and North Down,2742,2321,3023,7
Carrowdore_1,N00000170,Ards and North Down,1777,902,1975,4
Carrowdore_1,N00000171,Ards and North Down,2580,1840,2928,6
Carrowdore_2,N00000172,Ards and North Down,2835,2378,3061,7
Carrowdore_2,N00000173,Ards and North Down,2992,2804,3082,7
Carrowdore_2,N00000174,Ards and North Down,1252,1700,725,3
Carrowdore_2,N00000175,Ards and North Down,3215,4187,2982,8
Central,N00000176,Ards and North Down,2103,2055,1533,5
Central,N00000177,Ards and North Down,468,215,951,2
Central,N00000178,Ards and North Down,1013,586,1125,3
Central,N00000179,Ards and North Down,647,724,808,2
Central,N00000180,Ards and North Down,1262,1537,1013,3
Central,N00000181,Ards and North Down,509,131,1059,2
Comber East_1,N00000182,Ards and North Down,2727,4155,1583,7
Comber East_1,N00000183,Ards and North Down,2767,1422,3486,7
Comber East_1,N00000184,Ards and North Down,1841,851,2320,5
Comber East_1,N00000185,Ards and North Down,3003,4182,1783,7
Comber East_1,N00000186,Ards and North Down,1012,521,1322,3
Comber East_1,N00000187,Ards and North Down,781,834,809,2
Comber East_2,N00000188,Ards and North Down,1134,670,1302,3
Comber East_2,N00000189,Ards and North Down,4045,3145,4418,9
Comber East_2,N00000190,Ards and North Down,4038,3620,3504,9
Comber East_2,N00000191,Ards and North Down,3910,3778,3584,9
Comber North_1,N00000192,Ards and North Down,2665,2933,3029,6
Comber North_1,N00000193,Ards and North Down,794,1933,757,2
Comber North_1,N00000194,Ards and North Down,2669,4354,2425,6
Comber North_1,N00000195,Ards and North Down,2437,4102,1369,6
Comber North_1,N00000196,Ards and North Down,1334,1983,680,3
Comber North_2,N00000197,Ards and North Down,3906,3471,3853,9
Comber North_2,N00000198,Ards and North Down,3580,3147,3649,8
Comber North_2,N00000199,Ards and North Down,3441,2424,3856,8
Comber North_2,N00000200,Ards and North Down,3440,2016,3967,8
Comber West_1,N00000201,Ards and North Down,3988,3656,3783,9
Comber West_1,N00000202,Ards and North Down,4074,2446,4145,9
Comber West_1,N00000203,Ards and North Down,2318,800,3779,6
Comber West_1,N00000204,Ards and North Down,3347,1949,3397,8
Comber West_2,N00000205,Ards and North Down,4183,4387,4338,10
Comber West_2,N00000206,Ards and North Down,2769,2554,2565,7
Comber West_2,N00000207,Ards and North Down,1833,332,3645,5
Comber West_2,N00000208,Ards and North Down,4375,3623,4302,10
Comber West_2,N00000209,Ards and North Down,4381,3420,4335,10
Donaghadee North_1,N00000210,Ards and North Down,1980,1670,1702,5
Donaghadee North_1,N00000211,Ards and North Down,2680,2134,1715,6
Donaghadee North_1,N00000212,Ards and North Down,1811,1460,1767,4
Donaghadee North_1,N00000213,Ards and North Down,2609,1533,2116,6
Donaghadee North_1,N00000214,Ards and North Down,3610,2829,2468,8
Donaghadee North_2,N00000215,Ards and North Down,3782,3361,4144,9
Donaghadee North_2,N00000216,Ards and North Down,2093,1288,2783,5
Donaghadee North_2,N00000217,Ards and North Down,4076,3006,4317,9
Donaghadee North_2,N00000218,Ards and North Down,4226,3452,3673,10
Donaghadee South_1,N00000219,Ards and North Down,374,139,468,1
Donaghadee South_1,N00000220,Ards and North Down,233,359,460,1
Donaghadee South_1,N00000221,Ards and North Down,1184,2361,940,3
Donaghadee South_1,N00000222,Ards and North Down,2036,1079,2063,5
Donaghadee South_1,N00000223,Ards and North Down,3674,4425,2504,9
Donaghadee South_2,N00000224,Ards and North Down,1443,605,2205,4
Donaghadee South_2,N00000225,Ards and North Down,1999,674,2381,5
Donaghadee South_2,N00000226,Ards and North Down,2926,2054,1857,7
Donaghadee South_2,N00000227,Ards and North Down,2367,2557,1925,6
Donaghadee South_2,N00000228,Ards and North Down,3879,4445,2941,9
Donaghadee South_2,N00000229,Ards and North Down,3408,3429,2521,8
Glen_1,N00000230,Ards and North Down,1636,1437,1707,4
Glen_1,N00000231,Ards and North Down,548,452,1045,2
Glen_1,N00000232,Ards and North Down,1026,771,1196,3
Glen_1,N00000233,Ards and North Down,1067,1690,1406,3
Glen_1,N00000234,Ards and North Down,238,184,455,1
Glen_2,N00000235,Ards and North Down,2305,1428,1929,6
Glen_2,N00000236,Ards and North Down,1910,1147,2500,5
Glen_2,N00000237,Ards and North Down,4084,3370,4042,9
Glen_2,N00000238,Ards and North Down,4119,3000,4255,10
Gregstown_1,N00000239,Ards and North Down,693,591,577,2
Gregstown_1,N00000240,Ards and North Down,189,134,519,1
Gregstown_1,N00000241,Ards and North Down,3708,1918,4092,9
Gregstown_1,N00000242,Ards and North Down,4096,3349,3992,10
Gregstown_2,N00000243,Ards and North Down,1973,2278,1392,5
Gregstown_2,N00000244,Ards and North Down,552,1448,670,2
Gregstown_2,N00000245,Ards and North Down,3207,3142,2840,8
Gregstown_2,N00000246,Ards and North Down,1101,1500,856,3
Gregstown_2,N00000247,Ards and North Down,3217,1069,3577,8
Gregstown_3,N00000248,Ards and North Down,3944,4209,3242,9
Gregstown_3,N00000249,Ards and North Down,3482,3285,3348,8
Gregstown_3,N00000250,Ards and North Down,3101,2156,2873,7
Gregstown_3,N00000251,Ards and North Down,3395,2324,3319,8
Killinchy_1,N00000252,Ards and North Down,3035,3634,4187,7
Killinchy_1,N00000253,Ards and North Down,2957,1980,3831,7
Killinchy_1,N00000254,Ards and North Down,3528,2728,4264,8
Killinchy_1,N00000255,Ards and North Down,2755,1345,3699,7
Killinchy_2,N00000256,Ards and North Down,3555,3136,4402,8
Killinchy_2,N00000257,Ards and North Down,3170,2879,2678,7
Killinchy_2,N00000258,Ards and North Down,3486,2002,4380,8
Kircubbin_1,N00000259,Ards and North Down,1828,1020,2370,5
Kircubbin_1,N00000260,Ards and North Down,2130,2275,1923,5
Kircubbin_1,N00000261,Ards and North Down,2030,729,2971,5
Kircubbin_1,N00000262,Ards and North Down,2849,3997,2958,7
Kircubbin_2,N00000263,Ards and North Down,1438,1388,1501,4
Kircubbin_2,N00000264,Ards and North Down,1409,754,2056,4
Kircubbin_2,N00000265,Ards and North Down,986,778,1183,3
Kircubbin_2,N00000266,Ards and North Down,3019,2936,2327,7
Lisbane_1,N00000267,Ards and North Down,4339,3926,4307,10
Lisbane_1,N00000268,Ards and North Down,3771,3294,3570,9
Lisbane_1,N00000269,Ards and North Down,3676,3419,3996,9
Lisbane_1,N00000270,Ards and North Down,3238,3114,4180,8
Lisbane_2,N00000271,Ards and North Down,3211,1360,4033,8
Lisbane_2,N00000272,Ards and North Down,3353,4139,3294,8
Lisbane_2,N00000273,Ards and North Down,3945,2384,4508,9
Lisbane_2,N00000274,Ards and North Down,3445,2008,4247,8
Loughries_1,N00000275,Ards and North Down,3100,2937,2145,7
Loughries_1,N00000276,Ards and North Down,3333,2939,3934,8
Loughries_1,N00000277,Ards and North Down,4191,4077,3988,10
Loughries_1,N00000278,Ards and North Down,2449,1120,2654,6
Loughries_1,N00000279,Ards and North Down,911,110,2083,3
Loughries_1,N00000280,Ards and North Down,1189,1616,1030,3
Loughries_2,N00000281,Ards and North Down,3710,3512,3828,9
Loughries_2,N00000282,Ards and North Down,3650,3234,3544,9
Loughries_2,N00000283,Ards and North Down,3819,3210,3894,9
Loughries_2,N00000284,Ards and North Down,1726,1112,1887,4
Loughries_2,N00000285,Ards and North Down,1086,1543,898,3
Millisle_1,N00000286,Ards and North Down,1769,2519,1492,4
Millisle_1,N00000287,Ards and North Down,386,260,473,1
Millisle_1,N00000288,Ards and North Down,2542,1860,2709,6
Millisle_1,N00000289,Ards and North Down,2608,2014,3097,6
Millisle_1,N00000290,Ards and North Down,897,1856,1082,2
Millisle_2,N00000291,Ards and North Down,1464,615,2403,4
Millisle_2,N00000292,Ards and North Down,2792,1279,3728,7
Millisle_2,N00000293,Ards and North Down,4098,3320,4166,10
Millisle_2,N00000294,Ards and North Down,3245,2405,4034,8
Millisle_2,N00000295,Ards and North Down,3593,2825,3138,8
Movilla_1,N00000296,Ards and North Down,3774,3324,3535,9
Movilla_1,N00000297,Ards and North Down,3429,3591,2588,8
Movilla_1,N00000298,Ards and North Down,3288,3518,2865,8
Movilla_1,N00000299,Ards and North Down,2632,1915,2421,6
Movilla_1,N00000300,Ards and North Down,908,528,917,2
Movilla_2,N00000301,Ards and North Down,4017,3363,4104,9
Movilla_2,N00000302,Ards and North Down,3001,891,3596,7
Movilla_2,N00000303,Ards and North Down,3866,3481,3733,9
Movilla_2,N00000304,Ards and North Down,3716,2067,4077,9
Movilla_2,N00000305,Ards and North Down,3839,2315,3661,9
Movilla_3,N00000306,Ards and North Down,4239,3636,4173,10
Movilla_3,N00000307,Ards and North Down,3933,3459,4128,9
Movilla_3,N00000308,Ards and North Down,4247,4300,3956,10
Movilla_3,N00000309,Ards and North Down,3908,2914,3906,9
Portaferry_1,N00000310,Ards and North Down,2991,4062,3095,7
Portaferry_1,N00000311,Ards and North Down,809,797,828,2
Portaferry_1,N00000312,Ards and North Down,1347,1285,1291,3
Portaferry_1,N00000313,Ards and North Down,2749,2217,2558,7
Portaferry_2,N00000314,Ards and North Down,1661,3583,963,4
Portaferry_2,N00000315,Ards and North Down,910,1465,596,3
Portaferry_2,N00000316,Ards and North Down,2619,3386,1850,6
Portaferry_2,N00000317,Ards and North Down,863,2224,346,2
Portavogie_1,N00000318,Ards and North Down,2066,3315,1508,5
Portavogie_1,N00000319,Ards and North Down,1322,949,1549,3
Portavogie_1,N00000320,Ards and North Down,802,186,1326,2
Portavogie_1,N00000321,Ards and North Down,1628,2017,1390,4
Portavogie_1,N00000322,Ards and North Down,1212,2555,885,3
Portavogie_2,N00000323,Ards and North Down,2248,1198,2775,5
Portavogie_2,N00000324,Ards and North Down,3276,3797,2959,8
Portavogie_2,N00000325,Ards and North Down,2884,2847,2832,7
Portavogie_2,N00000326,Ards and North Down,1582,1769,1484,4
Scrabo_1,N00000327,Ards and North Down,481,156,1420,2
Scrabo_1,N00000328,Ards and North Down,661,495,932,2
Scrabo_1,N00000329,Ards and North Down,1198,1649,1245,3
Scrabo_1,N00000330,Ards and North Down,3461,4072,3697,8
Scrabo_2,N00000331,Ards and North Down,1266,866,1018,3
Scrabo_2,N00000332,Ards and North Down,195,129,421,1
Scrabo_2,N00000333,Ards and North Down,309,1283,284,1
Scrabo_2,N00000334,Ards and North Down,493,276,842,2
Whitespots_1,N00000335,Ards and North Down,3920,3021,3866,9
Whitespots_1,N00000336,Ards and North Down,3038,2115,2119,7
Whitespots_1,N00000337,Ards and North Down,4110,2810,4249,10
Whitespots_1,N00000338,Ards and North Down,4269,4439,4113,10
Whitespots_1,N00000339,Ards and North Down,4048,3601,4100,9
Whitespots_2,N00000340,Ards and North Down,4003,4299,3954,9
Whitespots_2,N00000341,Ards and North Down,4418,4374,4382,10
Whitespots_2,N00000342,Ards and North Down,4075,3652,3446,9
Whitespots_2,N00000343,Ards and North Down,4173,3680,3653,10
Abbey Park,N00000344,"Armagh City, Banbridge and Craigavon",1482,1979,1197,4
Abbey Park,N00000345,"Armagh City, Banbridge and Craigavon",1217,939,1350,3
Abbey Park,N00000346,"Armagh City, Banbridge and Craigavon",3120,2165,2990,7
Abbey Park,N00000347,"Armagh City, Banbridge and Craigavon",1394,2317,1448,4
Abbey Park,N00000348,"Armagh City, Banbridge and Craigavon",2711,2328,2166,6
Abbey Park,N00000349,"Armagh City, Banbridge and Craigavon",2866,3799,1731,7
Ballymartim,N00000350,"Armagh City, Banbridge and Craigavon",2429,2574,1808,6
Ballymartim,N00000351,"Armagh City, Banbridge and Craigavon",1655,722,3115,4
Ballymartim,N00000352,"Armagh City, Banbridge and Craigavon",3033,2319,3222,7
Ballymartim,N00000353,"Armagh City, Banbridge and Craigavon",2999,2813,3122,7
Ballymartim,N00000354,"Armagh City, Banbridge and Craigavon",2417,1275,3340,6
Ballymartim,N00000355,"Armagh City, Banbridge and Craigavon",1852,770,2717,5
Callan Bridge,N00000356,"Armagh City, Banbridge and Craigavon",454,549,530,1
Callan Bridge,N00000357,"Armagh City, Banbridge and Craigavon",1239,1056,1413,3
Callan Bridge,N00000358,"Armagh City, Banbridge and Craigavon",371,175,568,1
Callan Bridge,N00000359,"Armagh City, Banbridge and Craigavon",205,180,357,1
Carrigatuke,N00000360,"Armagh City, Banbridge and Craigavon",2734,1469,3463,7
Carrigatuke,N00000361,"Armagh City, Banbridge and Craigavon",1563,1211,1720,4
Carrigatuke,N00000362,"Armagh City, Banbridge and Craigavon",2611,1847,3389,6
Carrigatuke,N00000363,"Armagh City, Banbridge and Craigavon",2256,1356,2264,5
Carrigatuke,N00000364,"Armagh City, Banbridge and Craigavon",1046,445,1847,3
Carrigatuke,N00000365,"Armagh City, Banbridge and Craigavon",365,44,1256,1
Charlemont,N00000366,"Armagh City, Banbridge and Craigavon",2244,1574,2469,5
Charlemont,N00000367,"Armagh City, Banbridge and Craigavon",1493,564,2472,4
Charlemont,N00000368,"Armagh City, Banbridge and Craigavon",1307,483,2319,3
Charlemont,N00000369,"Armagh City, Banbridge and Craigavon",2150,1504,2966,5
Charlemont,N00000370,"Armagh City, Banbridge and Craigavon",2623,2267,2651,6
Charlemont,N00000371,"Armagh City, Banbridge and Craigavon",3114,2394,3146,7
Demesne_1,N00000372,"Armagh City, Banbridge and Craigavon",2764,1956,3052,7
Demesne_1,N00000373,"Armagh City, Banbridge and Craigavon",3830,3482,3413,9
Demesne_1,N00000374,"Armagh City, Banbridge and Craigavon",4165,3819,4135,10
Demesne_1,N00000375,"Armagh City, Banbridge and Craigavon",3063,4181,1830,7
Demesne_2,N00000376,"Armagh City, Banbridge and Craigavon",3199,1985,3751,8
Demesne_2,N00000377,"Armagh City, Banbridge and Craigavon",3780,3665,2825,9
Demesne_2,N00000378,"Armagh City, Banbridge and Craigavon",618,1717,294,2
Demesne_2,N00000379,"Armagh City, Banbridge and Craigavon",3797,2282,3814,9
Derrynoose,N00000380,"Armagh City, Banbridge and Craigavon",1431,387,3007,4
Derrynoose,N00000381,"Armagh City, Banbridge and Craigavon",1130,487,1411,3
Derrynoose,N00000382,"Armagh City, Banbridge and Craigavon",1816,924,2193,5
Derrynoose,N00000383,"Armagh City, Banbridge and Craigavon",871,301,2035,2
Derrynoose,N00000384,"Armagh City, Banbridge and Craigavon",1435,467,2535,4
Derrynoose,N00000385,"Armagh City, Banbridge and Craigavon",2317,1412,2686,6
Downs,N00000386,"Armagh City, Banbridge and Craigavon",1258,1049,1262,3
Downs,N00000387,"Armagh City, Banbridge and Craigavon",1236,809,1362,3
Downs,N00000388,"Armagh City, Banbridge and Craigavon",1632,1342,1370,4
Downs,N00000389,"Armagh City, Banbridge and Craigavon",3098,1815,3381,7
Hamiltonsbawn_1,N00000390,"Armagh City, Banbridge and Craigavon",3469,2754,3642,8
Hamiltonsbawn_1,N00000391,"Armagh City, Banbridge and Craigavon",2987,1997,3568,7
Hamiltonsbawn_2,N00000392,"Armagh City, Banbridge and Craigavon",2997,2439,3239,7
Hamiltonsbawn_2,N00000393,"Armagh City, Banbridge and Craigavon",3237,3256,3250,8
Hockley,N00000394,"Armagh City, Banbridge and Craigavon",3345,3641,3173,8
Hockley,N00000395,"Armagh City, Banbridge and Craigavon",3381,4140,3526,8
Hockley,N00000396,"Armagh City, Banbridge and Craigavon",3027,1876,4023,7
Hockley,N00000397,"Armagh City, Banbridge and Craigavon",3291,3160,3141,8
Hockley,N00000398,"Armagh City, Banbridge and Craigavon",3287,2344,3764,8
Hockley,N00000399,"Armagh City, Banbridge and Craigavon",3028,2508,3211,7
Keady,N00000400,"Armagh City, Banbridge and Craigavon",783,678,615,2
Keady,N00000401,"Armagh City, Banbridge and Craigavon",1410,864,1215,4
Keady,N00000402,"Armagh City, Banbridge and Craigavon",651,124,2045,2
Keady,N00000403,"Armagh City, Banbridge and Craigavon",1668,500,2216,4
Keady,N00000404,"Armagh City, Banbridge and Craigavon",861,460,890,2
Keady,N00000405,"Armagh City, Banbridge and Craigavon",523,177,934,2
Killeen,N00000406,"Armagh City, Banbridge and Craigavon",1591,503,2473,4
