district,ward,pop_1971_persons,pop_1971_males,pop_1971_females,pop_1981_persons,pop_1981_males,pop_1981_females,corrected
Coleraine,Garvagh,2363,1183,1180,2214,1072,1142,
Coleraine,Kilrea,2229,1087,1142,2204,1070,1134,
Coleraine,Knockantern,2063,1050,1013,1906,954,952,
Coleraine,Macosquin,2337,1169,1168,2264,1155,1109,
Coleraine,Mount Sandel,2126,928,1198,2884,1456,1428,
Coleraine,Portrush,2458,1104,1354,1817,751,1066,
Coleraine,Portstewart,1967,888,1079,1676,759,917,
Coleraine,Ringsend,1937,988,949,1751,900,851,
Coleraine,Strand,2596,1087,1509,3152,1438,1714,
Coleraine,The Cuts,2353,1166,1187,2544,1251,1293,
Coleraine,University,2266,1136,1130,4712,2295,2417,
Coleraine,Waterside,2565,1324,1241,2909,1505,1404,
Cookstown,Ardboe,1752,911,841,1950,1008,942,
Cookstown,Coagh,1811,882,929,1769,838,931,
Cookstown,Dunnamore,1657,872,785,1465,748,717,
Cookstown,Gortalowry,1968,950,1018,3056,1527,1529,
Cookstown,Killycolpy,1713,875,838,1675,846,829,
Cookstown,Lissan,1680,882,798,1630,844,786,
Cookstown,Money more,1695,801,894,1728,820,908,
Cookstown,Newbuildings,1434,694,740,1356,638,718,
Cookstown,Oaklands,1556,827,729,1426,734,692,
Cookstown,Oldtown,1953,928,1025,1696,845,851,inferred 1981_males 1981_females
Cookstown,Pomeroy,1786,933,853,1512,793,719,
Cookstown,Sandholes,1892,978,914,1710,875,835,
Cookstown,Stewartstown,1759,853,906,1534,765,769,
Cookstown,The Loop,1787,921,866,1698,871,827,
Cookstown,Tullagh,1627,763,864,2118,1007,1111,
Craigavon,Aghagallon,2512,1223,1289,2525,1249,1276,
Craigavon,Annagh,2224,1038,1186,1550,724,826,
Craigavon,Bachelors Walk,2244,1051,1193,1899,863,1036,
Craigavon,Belle Vue,4028,2020,2008,3848,1920,1928,
Craigavon,Bleary,2373,1185,1188,2473,1207,1266,
Craigavon,Breagh,2213,1125,1088,1998,1018,980,
Craigavon,Brownlow,2720,1359,1361,9904,4862,5042,read p22
Craigavon,Brownstown,2901,1462,1439,2957,1456,1501,
Craigavon,Church,3158,1600,1558,1450,664,786,
Craigavon,Court,2809,1393,1416,1777,860,917,
Craigavon,Edgarstown,2805,1368,1437,2080,1043,1037,
Craigavon,Hartfield,3163,1518,1645,2814,1402,1412,
Craigavon,Kernan,1201,609,592,2428,1129,1299,
Craigavon,Killycomain,3364,1640,1724,3674,1791,1883,
Craigavon,Kinnegoe,2429,1243,1186,2238,1147,1091,
Craigavon,Knocknashane,2770,1340,1430,2781,1345,1436,
Craigavon,Magheralin,2546,1268,1278,2605,1277,1328,
Craigavon,Mourneview,3408,1708,1700,3226,1586,1640,
Craigavon,Parklake,2418,1142,1276,2175,1042,1133,
Craigavon,Taghnevan,3549,1653,1896,3318,1608,1710,
Craigavon,Tavanagh,2324,1096,1228,1878,886,992,
Craigavon,The Birches,2495,1225,1270,2279,1111,1168,
Craigavon,Waringstown,2483,1218,1265,2968,1452,1516,read p23
Craigavon,Woodside,3071,1514,1557,3747,1815,1932,read p23
Craigavon,Woodville,2510,1198,1312,2457,1182,1275,
Down,Ardglass,2433,1283,1150,2880,1547,1333,
Down,Audleys Acre,3628,1773,1855,3660,1725,1935,
Down,Ballymaglave,2472,1166,1306,2893,1409,1484,
Down,Castlewellan,2057,1052,1005,2321,1172,1149,
Down,Cathedral,2389,1196,1193,3940,1961,1979,
Down,Crossgar,2151,1079,1072,2288,1158,1130,
Down,Derryboy,1995,994,1001,1812,909,903,
Down,Donard,2165,983,1182,2115,976,1139,
Down,Dundrum,2245,1173,1072,2284,1170,1114,
Down,Dunmore,2230,1135,1095,2279,1177,1102,
Down,Kiilough,3295,1802,1493,3185,1795,1390,
Down,Killyleagh,2359,1192,1167,2365,1187,1178,
Down,Kilmore,2151,1085,1066,2455,1215,1240,
Down,Market,2179,1066,1113,2834,1405,1429,
Down,Quoile,2551,1250,1301,3233,1629,1604,
Down,Saintfield,2198,1084,1114,2646,1297,1349,
Down,Seaforde,1833,909,924,1881,942,939,
Down,Shimna,2709,1224,1485,3920,1846,2074,
Down,Strangford,1987,1008,979,2052,1040,1012,
Down,Tollymore,1924,996,928,1941,998,943,
Dungannon,Altmore,2147,1104,1043,1851,940,911,
Dungannon,Augher,1986,1032,954,1875,986,889,
Dungannon,Aughnacloy,1885,975,910,1654,830,824,
Dungannon,Ballygawley,2165,1153,1012,2094,1117,977,
Dungannon,Benburb,2072,1098,974,2110,1084,1026,
Dungannon,Caledon,1828,948,880,1641,845,796,
Dungannon,Castlecaulfield,2039,1037,1002,1842,927,915,
Dungannon,Ciogher,1888,1009,879,1790,912,878,
Dungannon,Coalisland North,2498,1221,1277,2090,1036,1054,
Dungannon,Coaiisland South,2481,1223,1258,2664,1334,1330,
Dungannon,Donaghmore,2450,1166,1284,2502,1265,1237,
Dungannon,Drumglass,2360,1137,1223,2216,1062,1154,
Dungannon,Fivemiletown,1649,866,783,1751,891,860,
Dungannon,KilJymaddy,1943,961,982,1331,639,692,
Dungannon,Killyman,2267,1150,1117,2310,1159,1151,
Dungannon,KiUymeal,2401,1194,1207,2698,1328,1370,
Dungannon,Lisnahull,2310,1139,1171,3071,1531,1540,
Dungannon,Moy,2349,1190,1159,2156,1082,1074,
Dungannon,Moygashel,1807,912,895,1626,793,833,
Dungannon,Washing Bay,2081,1076,1005,1815,899,916,
Fermanagh,Ballinamallard,2396,1217,1179,2853,1665,1188,
Fermanagh,Belcoo and Belmore,2455,1298,1157,2603,1329,1274,
Fermanagh,Belleek and Boa,2487,1300,1187,2153,1105,1048,
Fermanagh,Brookeborough,2534,1297,1237,2257,1154,1103,
Fermanagh,Castlecoole,2307,1108,1199,1667,848,819,
Fermanagh,Derrygonnelly,2539,1326,1213,2610,1333,1277,
Fermanagh,Derrylin,2358,1245,1113,2263,1200,1063,
Fermanagh,Devenish,3454,1686,1768,3268,1584,1684,
Fermanagh,Erne,2755,1376,1379,3416,1693,1723,
Fermanagh,Florence Court and Kinawley,2313,1263,1050,2116,1151,965,
Fermanagh,Garrison,2318,1262,1056,1968,1041,927,
Fermanagh,Irvinestown,2708,1381,1327,3062,1505,1557,
Fermanagh,"Kesh, Ederny and Lack",2497,1289,1208,2601,1344,1257,
Fermanagh,Lisbellaw,2265,1160,1105,2397,1211,1186,
Fermanagh,Lisnaskea,2850,1393,1457,3468,1723,1745,
Fermanagh,Maguires Bridge,2353,1170,1183,2315,1159,1156,
Fermanagh,Newtownbutler,2663,1364,1299,2650,1352,1298,
Fermanagh,Rosslea,2609,1386,1223,2452,1322,1130,
Fermanagh,Rossorry,2836,1516,1320,3698,1838,1860,
Fermanagh,Tempo,2282,1180,1102,2156,1088,1068,
Lame,Antiville,2646,1348,1298,2337,1158,1179,
Lame,Bally carry,1683,827,856,1650,826,824,
Lame,Ballyloran,2250,1133,1117,2038,1012,1026,
Lame,BJackcave,2284,1181,1103,3547,1726,1821,
Lame,Carncastle,1651,785,866,2245,1102,1143,
Lame,Carnlough,2104,1185,919,2280,1192,1088,
Lame,Central,1836,840,996,1398,665,733,
Lame,Craigy Hill,2402,1174,1228,2009,968,1041,
Lame,Gardenmore,2032,989,1043,2221,1051,1170,
Lame,Glenarm,1728,878,850,1524,759,765,
Lame,Glynn,1872,927,945,1690,846,844,
Lame,Harbour,1946,955,991,1789,914,875,
Lame,Island Magee,1581,745,836,1534,745,789,
Lame,Kiiwaughter,1775,934,841,1576,813,763,
Lame,Town Parks,2107,962,1145,1637,764,873,
Limavady,Aghanloo,1401,727,674,1294,645,649,
Limavady,Binevenagh,1520,784,736,1410,721,689,
Limavady,Coolessan,1615,790,825,2824,1375,1449,
Limavady,Dungiven,1785,889,896,2212,1123,1089,
Limavady,Feeny,1459,758,701,1415,731,684,
Limavady,Forest,1450,757,693,1579,808,771,
Limavady,Glack,1648,846,802,1548,779,769,
Limavady,Gresteel,1798,916,882,1932,985,947,
Limavady,Magilligan,1700,1099,601,1348,716,632,
Limavady,Myroe,1943,1045,898,1442,735,707,
Limavady,Rathbrady,1912,931,981,3627,1801,1826,
Limavady,Roeside,1230,587,643,955,479,476,
Limavady,The Highlands,1724,900,824,1658,859,799,
Limavady,Upper Glenshane,1287,668,619,1034,535,499,
Limavady,Walworth,1337,651,686,2173,1333,840,
Lisburn,Ballymacbrennan,2128,1073,1055,2204,1100,1104,
Lisburn,QXsins,2562,1228,1334,2448,1183,1265,
Lisburn,Collin,2970,1471,1499,8542,4194,4348,
Lisburn,Derryaghy,3308,1587,1721,2655,1254,1401,
Lisburn,Dromara,2159,1072,1087,2478,1227,1251,
Lisburn,Drumbo,2220,1125,1095,2566,1275,1291,
Lisburn,Dunmurry,3129,1480,1649,3061,1447,1614,inferred 1981_persons 1981_females
Lisburn,Glenavy,2360,1174,1186,2405,1174,1231,
Lisburn,Hilden,3546,1701,1845,2520,1245,1275,
Lisburn,Hillhall,2851,1340,1511,3752,1792,1960,
Lisburn,Hillsborough,2309,1159,1150,2536,1228,1308,
Lisburn,Knockmore,3948,1940,2008,3566,1761,1805,
Lisburn,Lagan Valley,3366,1588,1778,2429,1170,1259,
Lisburn,Lambeg,3008,1448,1560,3804,1820,1984,
Lisburn,Lisnagarvy,4574,2405,2169,7294,3515,3779,
Lisburn,Magheragall,2467,1214,1253,2499,1275,1224,
Lisburn,Magheralave,4619,2282,2337,7857,4612,3245,
Lisburn,Maze,3390,2078,1312,3436,2023,1413,
Lisburn,Moira,2334,1162,1172,2914,1452,1462,
Lisburn,Old Warren,3986,1977,2009,4230,2051,2179,
Lisburn,Seymour Hill,4097,1966,2131,3438,1644,1794,
Lisburn,Tonagh,3044,1422,1622,2682,1211,1471,
Lisburn,TuUyrusk,2319,1176,1143,3872,1922,1950,
Londonderry,Altnageivin,3618,1706,1912,6699,3160,3539,
Londonderry,Banagher,2614,1350,1264,2487,1290,1197,
Londonderry,Beechwood,3344,1644,1700,2546,1172,1374,
Londonderry,Brandywell,2978,1549,1429,1642,805,837,
Londonderry,Caw,4415,2376,2039,5778,2979,2799,
Londonderry,Claudy,2507,1266,1241,2512,1275,1237,
Londonderry,Clondermot,3213,1551,1662,2594,1285,1309,
Londonderry,Creggan Central,3163,1583,1580,2596,1320,1276,
Londonderry,Creggan South,3351,1632,1719,1951,992,959,
Londonderry,Crevagh,4648,2331,2317,2434,1242,1192,
Londonderry,Culmore,4580,2308,2272,4918,2489,2429,
Londonderry,Ebrington,2293,1044,1249,1025,471,554,
Londonderry,Eglinton,2748,1410,1338,2669,1367,1302,
