DZ2021_cd,DZ2021_nm,lgd1993,cath_1971,cath_1981,cath_1991,cath_2021,cath_growth_1971_2021
N20003428,Downpatrick_J4,DOWN,54.1,45.3,56.0,88.889,34.8
N20003430,Downpatrick_K2,DOWN,54.1,45.3,56.0,86.422,32.3
N20003431,Downpatrick_K3,DOWN,54.1,45.3,56.0,86.789,32.7
N20003279,The_Mournes_D5,DOWN,54.1,45.3,56.0,61.236,7.1
N20003277,The_Mournes_E4,DOWN,54.1,45.3,56.0,61.224,7.1
N20003272,The_Mournes_E1,DOWN,54.1,45.3,56.0,67.642,13.5
N20003275,The_Mournes_F2,DOWN,54.1,45.3,56.0,62.004,7.9
N20003264,The_Mournes_C1,DOWN,54.1,45.3,56.0,73.031,18.9
N20003263,The_Mournes_B1,DOWN,54.1,45.3,56.0,77.626,23.5
N20003265,The_Mournes_B2,DOWN,54.1,45.3,56.0,81.646,27.5
N20003267,The_Mournes_B3,DOWN,54.1,45.3,56.0,79.412,25.3
N20003269,The_Mournes_B4,DOWN,54.1,45.3,56.0,80.204,26.1
N20003270,The_Mournes_C3,DOWN,54.1,45.3,56.0,66.346,12.2
N20003268,The_Mournes_C2,DOWN,54.1,45.3,56.0,66.316,12.2
N20003274,The_Mournes_E3,DOWN,54.1,45.3,56.0,69.615,15.5
N20003273,The_Mournes_E2,DOWN,54.1,45.3,56.0,67.35,13.2
N20003278,The_Mournes_D4,DOWN,54.1,45.3,56.0,48.521,-5.6
N20003271,The_Mournes_D3,DOWN,54.1,45.3,56.0,66.667,12.6
N20003266,The_Mournes_D2,DOWN,54.1,45.3,56.0,68.932,14.8
N20003259,The_Mournes_A3,DOWN,54.1,45.3,56.0,63.956,9.9
N20003262,The_Mournes_D1,DOWN,54.1,45.3,56.0,69.231,15.1
N20003258,The_Mournes_A2,DOWN,54.1,45.3,56.0,88.413,34.3
N20003343,Slieve_Croob_G5,DOWN,54.1,45.3,56.0,75.24,21.1
N20003345,Slieve_Croob_J4,DOWN,54.1,45.3,56.0,94.514,40.4
N20003342,Slieve_Croob_J2,DOWN,54.1,45.3,56.0,93.741,39.6
N20003341,Slieve_Croob_J1,DOWN,54.1,45.3,56.0,79.381,25.3
N20003337,Slieve_Croob_G4,DOWN,54.1,45.3,56.0,59.67,5.6
N20003339,Slieve_Croob_H2,DOWN,54.1,45.3,56.0,68.328,14.2
N20003340,Slieve_Croob_H3,DOWN,54.1,45.3,56.0,51.368,-2.7
N20003338,Slieve_Croob_H1,DOWN,54.1,45.3,56.0,60.719,6.6
N20003335,Slieve_Croob_F3,DOWN,54.1,45.3,56.0,78.909,24.8
N20003330,Slieve_Croob_F2,DOWN,54.1,45.3,56.0,43.761,-10.3
N20003329,Slieve_Croob_F1,DOWN,54.1,45.3,56.0,44.624,-9.5
N20003324,Slieve_Croob_C3,DOWN,54.1,45.3,56.0,73.821,19.7
N20003326,Slieve_Croob_C5,DOWN,54.1,45.3,56.0,68.089,14.0
N20003325,Slieve_Croob_C4,DOWN,54.1,45.3,56.0,74.487,20.4
N20003332,Slieve_Croob_G1,DOWN,54.1,45.3,56.0,85.985,31.9
N20003333,Slieve_Croob_G2,DOWN,54.1,45.3,56.0,64.471,10.4
N20003334,Slieve_Croob_G3,DOWN,54.1,45.3,56.0,79.614,25.5
N20003336,Slieve_Croob_E4,BANBRIDGE,31.2,22.9,27.6,91.228,60.0
N20003327,Slieve_Croob_E2,BANBRIDGE,31.2,22.9,27.6,75.0,43.8
N20003323,Slieve_Croob_E1,BANBRIDGE,31.2,22.9,27.6,54.415,23.2
N20000591,Lagan_River_N3,BANBRIDGE,31.2,22.9,27.6,20.444,-10.8
N20000593,Lagan_River_N5,BANBRIDGE,31.2,22.9,27.6,25.123,-6.1
N20000650,Banbridge_P1,BANBRIDGE,31.2,22.9,27.6,18.878,-12.3
N20003331,Slieve_Croob_E3,BANBRIDGE,31.2,22.9,27.6,52.373,21.2
N20000655,Banbridge_P3,BANBRIDGE,31.2,22.9,27.6,8.028,-23.2
N20000656,Banbridge_P4,BANBRIDGE,31.2,22.9,27.6,18.874,-12.3
N20003261,The_Mournes_F1,NEWRY and MOURNE,71.4,54.7,71.8,67.489,-3.9
N20003344,Slieve_Croob_J3,DOWN,54.1,45.3,56.0,93.9,39.8
N20003346,Slieve_Croob_J5,DOWN,54.1,45.3,56.0,94.118,40.0
N20003257,The_Mournes_A1,DOWN,54.1,45.3,56.0,74.262,20.2
N20003260,The_Mournes_A4,DOWN,54.1,45.3,56.0,94.781,40.7
N20003276,The_Mournes_F3,DOWN,54.1,45.3,56.0,87.897,33.8
N20003280,The_Mournes_F4,NEWRY and MOURNE,71.4,54.7,71.8,93.124,21.7
N20003282,The_Mournes_G2,NEWRY and MOURNE,71.4,54.7,71.8,65.235,-6.2
N20003281,The_Mournes_G1,NEWRY and MOURNE,71.4,54.7,71.8,59.0,-12.4
N20003287,The_Mournes_H4,NEWRY and MOURNE,71.4,54.7,71.8,5.195,-66.2
N20003285,The_Mournes_H2,NEWRY and MOURNE,71.4,54.7,71.8,25.635,-45.8
N20003284,The_Mournes_H1,NEWRY and MOURNE,71.4,54.7,71.8,77.993,6.6
N20003283,The_Mournes_J1,NEWRY and MOURNE,71.4,54.7,71.8,71.591,0.2
N20003286,The_Mournes_H3,NEWRY and MOURNE,71.4,54.7,71.8,9.705,-61.7
N20003289,The_Mournes_J2,NEWRY and MOURNE,71.4,54.7,71.8,57.726,-13.7
N20003309,The_Mournes_K4,NEWRY and MOURNE,71.4,54.7,71.8,52.354,-19.0
N20003304,The_Mournes_N3,NEWRY and MOURNE,71.4,54.7,71.8,54.619,-16.8
N20003303,The_Mournes_P2,NEWRY and MOURNE,71.4,54.7,71.8,47.867,-23.5
N20003305,The_Mournes_P3,NEWRY and MOURNE,71.4,54.7,71.8,15.692,-55.7
N20003308,The_Mournes_P6,NEWRY and MOURNE,71.4,54.7,71.8,44.204,-27.2
N20003307,The_Mournes_P5,NEWRY and MOURNE,71.4,54.7,71.8,16.402,-55.0
N20003306,The_Mournes_P4,NEWRY and MOURNE,71.4,54.7,71.8,14.123,-57.3
N20003296,The_Mournes_J4,NEWRY and MOURNE,71.4,54.7,71.8,55.635,-15.8
N20003297,The_Mournes_L1,NEWRY and MOURNE,71.4,54.7,71.8,39.564,-31.8
N20003294,The_Mournes_J3,NEWRY and MOURNE,71.4,54.7,71.8,58.25,-13.2
N20003288,The_Mournes_G3,NEWRY and MOURNE,71.4,54.7,71.8,35.841,-35.6
N20003292,The_Mournes_G4,NEWRY and MOURNE,71.4,54.7,71.8,23.677,-47.7
N20003293,The_Mournes_G5,NEWRY and MOURNE,71.4,54.7,71.8,42.435,-29.0
N20003298,The_Mournes_L2,NEWRY and MOURNE,71.4,54.7,71.8,8.247,-63.2
N20003300,The_Mournes_L3,NEWRY and MOURNE,71.4,54.7,71.8,15.1,-56.3
N20003301,The_Mournes_P1,NEWRY and MOURNE,71.4,54.7,71.8,26.93,-44.5
N20003299,The_Mournes_N1,NEWRY and MOURNE,71.4,54.7,71.8,75.46,4.1
N20003302,The_Mournes_N2,NEWRY and MOURNE,71.4,54.7,71.8,89.606,18.2
N20003290,The_Mournes_K1,NEWRY and MOURNE,71.4,54.7,71.8,65.109,-6.3
N20003291,The_Mournes_K2,NEWRY and MOURNE,71.4,54.7,71.8,64.344,-7.1
N20003310,The_Mournes_K5,NEWRY and MOURNE,71.4,54.7,71.8,49.827,-21.6
N20003255,Crotlieve_K7,NEWRY and MOURNE,71.4,54.7,71.8,73.144,1.7
N20003251,Crotlieve_K5,NEWRY and MOURNE,71.4,54.7,71.8,83.898,12.5
N20003249,Crotlieve_K4,NEWRY and MOURNE,71.4,54.7,71.8,81.667,10.3
N20003253,Crotlieve_K6,NEWRY and MOURNE,71.4,54.7,71.8,80.932,9.5
N20003250,Crotlieve_J3,NEWRY and MOURNE,71.4,54.7,71.8,88.201,16.8
N20003252,Crotlieve_L3,NEWRY and MOURNE,71.4,54.7,71.8,89.048,17.6
N20003254,Crotlieve_L4,NEWRY and MOURNE,71.4,54.7,71.8,84.576,13.2
N20003256,Crotlieve_L5,NEWRY and MOURNE,71.4,54.7,71.8,76.923,5.5
N20003295,The_Mournes_K3,NEWRY and MOURNE,71.4,54.7,71.8,80.345,8.9
N20003244,Crotlieve_L2,NEWRY and MOURNE,71.4,54.7,71.8,93.279,21.9
N20003239,Crotlieve_L1,NEWRY and MOURNE,71.4,54.7,71.8,90.879,19.5
N20003230,Crotlieve_G2,NEWRY and MOURNE,71.4,54.7,71.8,94.049,22.6
N20003232,Crotlieve_G3,NEWRY and MOURNE,71.4,54.7,71.8,90.971,19.6
N20003225,Crotlieve_G1,NEWRY and MOURNE,71.4,54.7,71.8,95.125,23.7
N20003226,Crotlieve_E2,NEWRY and MOURNE,71.4,54.7,71.8,95.676,24.3
N20003221,Crotlieve_E1,NEWRY and MOURNE,71.4,54.7,71.8,88.731,17.3
N20003222,Crotlieve_C3,NEWRY and MOURNE,71.4,54.7,71.8,87.829,16.4
N20003231,Crotlieve_E3,NEWRY and MOURNE,71.4,54.7,71.8,94.993,23.6
N20003234,Crotlieve_G4,NEWRY and MOURNE,71.4,54.7,71.8,92.877,21.5
N20003235,Crotlieve_G5,NEWRY and MOURNE,71.4,54.7,71.8,85.35,13.9
N20003240,Crotlieve_J2,NEWRY and MOURNE,71.4,54.7,71.8,87.482,16.1
N20003246,Crotlieve_K2,NEWRY and MOURNE,71.4,54.7,71.8,87.041,15.6
N20003243,Crotlieve_H4,NEWRY and MOURNE,71.4,54.7,71.8,88.316,16.9
N20003245,Crotlieve_H5,NEWRY and MOURNE,71.4,54.7,71.8,94.427,23.0
N20003247,Crotlieve_H6,NEWRY and MOURNE,71.4,54.7,71.8,83.193,11.8
N20003248,Crotlieve_K3,NEWRY and MOURNE,71.4,54.7,71.8,84.382,13.0
N20003242,Crotlieve_K1,NEWRY and MOURNE,71.4,54.7,71.8,77.703,6.3
N20003241,Crotlieve_H3,NEWRY and MOURNE,71.4,54.7,71.8,83.562,12.2
N20003238,Crotlieve_H2,NEWRY and MOURNE,71.4,54.7,71.8,84.486,13.1
N20003237,Crotlieve_J1,NEWRY and MOURNE,71.4,54.7,71.8,88.036,16.6
N20003236,Crotlieve_H1,NEWRY and MOURNE,71.4,54.7,71.8,87.724,16.3
N20003204,Newry_N3,NEWRY and MOURNE,71.4,54.7,71.8,92.905,21.5
N20003205,Newry_P3,NEWRY and MOURNE,71.4,54.7,71.8,96.22,24.8
N20003202,Newry_N2,NEWRY and MOURNE,71.4,54.7,71.8,92.593,21.2
N20003201,Newry_P1,NEWRY and MOURNE,71.4,54.7,71.8,94.0,22.6
N20003233,Crotlieve_F4,NEWRY and MOURNE,71.4,54.7,71.8,89.919,18.5
N20003229,Crotlieve_F3,NEWRY and MOURNE,71.4,54.7,71.8,85.584,14.2
N20003228,Crotlieve_F2,NEWRY and MOURNE,71.4,54.7,71.8,88.79,17.4
N20003192,Newry_J2,NEWRY and MOURNE,71.4,54.7,71.8,92.111,20.7
N20003197,Newry_J3,NEWRY and MOURNE,71.4,54.7,71.8,91.551,20.2
N20003227,Crotlieve_F1,NEWRY and MOURNE,71.4,54.7,71.8,96.723,25.3
N20003223,Crotlieve_C4,NEWRY and MOURNE,71.4,54.7,71.8,91.286,19.9
N20003169,Newry_D4,NEWRY and MOURNE,71.4,54.7,71.8,90.695,19.3
N20003168,Newry_D3,NEWRY and MOURNE,71.4,54.7,71.8,85.814,14.4
N20003175,Newry_G1,NEWRY and MOURNE,71.4,54.7,71.8,88.14,16.7
N20003178,Newry_E4,NEWRY and MOURNE,71.4,54.7,71.8,79.959,8.6
N20003181,Newry_G3,NEWRY and MOURNE,71.4,54.7,71.8,85.333,13.9
N20003180,Newry_G2,NEWRY and MOURNE,71.4,54.7,71.8,86.018,14.6
N20003187,Newry_L1,NEWRY and MOURNE,71.4,54.7,71.8,87.607,16.2
N20003184,Newry_G4,NEWRY and MOURNE,71.4,54.7,71.8,95.357,24.0
N20003224,Crotlieve_C5,NEWRY and MOURNE,71.4,54.7,71.8,95.36,24.0
N20003189,Newry_J1,NEWRY and MOURNE,71.4,54.7,71.8,86.828,15.4
N20003190,Newry_L2,NEWRY and MOURNE,71.4,54.7,71.8,72.598,1.2
N20003191,Newry_K2,NEWRY and MOURNE,71.4,54.7,71.8,92.334,20.9
N20003186,Newry_H3,NEWRY and MOURNE,71.4,54.7,71.8,93.412,22.0
N20003188,Newry_K1,NEWRY and MOURNE,71.4,54.7,71.8,93.241,21.8
N20003183,Newry_H1,NEWRY and MOURNE,71.4,54.7,71.8,91.865,20.5
N20003185,Newry_H2,NEWRY and MOURNE,71.4,54.7,71.8,85.913,14.5
N20003179,Newry_E5,NEWRY and MOURNE,71.4,54.7,71.8,72.606,1.2
N20003170,Newry_E1,NEWRY and MOURNE,71.4,54.7,71.8,84.778,13.4
N20003172,Newry_E2,NEWRY and MOURNE,71.4,54.7,71.8,80.488,9.1
N20003174,Newry_E3,NEWRY and MOURNE,71.4,54.7,71.8,82.796,11.4
N20003167,Newry_C3,NEWRY and MOURNE,71.4,54.7,71.8,94.553,23.2
N20003171,Newry_C4,NEWRY and MOURNE,71.4,54.7,71.8,84.539,13.1
N20003176,Newry_F2,NEWRY and MOURNE,71.4,54.7,71.8,87.241,15.8
N20003182,Newry_F4,NEWRY and MOURNE,71.4,54.7,71.8,88.847,17.4
N20003177,Newry_F3,NEWRY and MOURNE,71.4,54.7,71.8,88.846,17.4
N20003173,Newry_F1,NEWRY and MOURNE,71.4,54.7,71.8,91.695,20.3
N20003194,Newry_K3,NEWRY and MOURNE,71.4,54.7,71.8,94.769,23.4
N20003196,Newry_K4,NEWRY and MOURNE,71.4,54.7,71.8,86.069,14.7
N20003193,Newry_L3,NEWRY and MOURNE,71.4,54.7,71.8,84.211,12.8
N20003195,Newry_L4,NEWRY and MOURNE,71.4,54.7,71.8,90.038,18.6
N20003198,Newry_L5,NEWRY and MOURNE,71.4,54.7,71.8,90.659,19.3
N20003199,Newry_L6,NEWRY and MOURNE,71.4,54.7,71.8,87.246,15.8
N20003200,Newry_N1,NEWRY and MOURNE,71.4,54.7,71.8,91.917,20.5
N20003129,Slieve_Gullion_F3,NEWRY and MOURNE,71.4,54.7,71.8,96.114,24.7
N20003124,Slieve_Gullion_E5,NEWRY and MOURNE,71.4,54.7,71.8,96.021,24.6
N20003130,Slieve_Gullion_F4,NEWRY and MOURNE,71.4,54.7,71.8,94.023,22.6
N20003203,Newry_P2,NEWRY and MOURNE,71.4,54.7,71.8,96.648,25.2
N20003206,Newry_P4,NEWRY and MOURNE,71.4,54.7,71.8,95.604,24.2
N20003135,Slieve_Gullion_L1,NEWRY and MOURNE,71.4,54.7,71.8,92.613,21.2
N20003138,Slieve_Gullion_F5,NEWRY and MOURNE,71.4,54.7,71.8,93.478,22.1
N20003143,Slieve_Gullion_J4,NEWRY and MOURNE,71.4,54.7,71.8,95.833,24.4
N20003149,Slieve_Gullion_L4,NEWRY and MOURNE,71.4,54.7,71.8,94.726,23.3
N20003139,Slieve_Gullion_L2,NEWRY and MOURNE,71.4,54.7,71.8,95.249,23.8
N20003145,Slieve_Gullion_L3,NEWRY and MOURNE,71.4,54.7,71.8,96.336,24.9
N20003142,Slieve_Gullion_J3,NEWRY and MOURNE,71.4,54.7,71.8,94.32,22.9
N20003141,Slieve_Gullion_G4,NEWRY and MOURNE,71.4,54.7,71.8,95.806,24.4
N20003148,Slieve_Gullion_K4,NEWRY and MOURNE,71.4,54.7,71.8,96.98,25.6
N20003151,Slieve_Gullion_K5,NEWRY and MOURNE,71.4,54.7,71.8,94.492,23.1
N20003144,Slieve_Gullion_K3,NEWRY and MOURNE,71.4,54.7,71.8,93.489,22.1
N20003140,Slieve_Gullion_H3,NEWRY and MOURNE,71.4,54.7,71.8,97.945,26.5
N20003146,Slieve_Gullion_N1,NEWRY and MOURNE,71.4,54.7,71.8,94.13,22.7
N20003147,Slieve_Gullion_N2,NEWRY and MOURNE,71.4,54.7,71.8,91.021,19.6
N20003150,Slieve_Gullion_N3,NEWRY and MOURNE,71.4,54.7,71.8,94.862,23.5
N20003153,Slieve_Gullion_H5,NEWRY and MOURNE,71.4,54.7,71.8,95.586,24.2
N20003152,Slieve_Gullion_H4,NEWRY and MOURNE,71.4,54.7,71.8,93.878,22.5
N20003125,Slieve_Gullion_H1,NEWRY and MOURNE,71.4,54.7,71.8,36.161,-35.2
N20003128,Slieve_Gullion_G2,NEWRY and MOURNE,71.4,54.7,71.8,79.506,8.1
N20003131,Slieve_Gullion_H2,NEWRY and MOURNE,71.4,54.7,71.8,91.356,20.0
N20003132,Slieve_Gullion_K1,NEWRY and MOURNE,71.4,54.7,71.8,88.889,17.5
N20003137,Slieve_Gullion_K2,NEWRY and MOURNE,71.4,54.7,71.8,94.032,22.6
N20003133,Slieve_Gullion_G3,NEWRY and MOURNE,71.4,54.7,71.8,95.587,24.2
N20003134,Slieve_Gullion_J1,NEWRY and MOURNE,71.4,54.7,71.8,91.304,19.9
N20003136,Slieve_Gullion_J2,NEWRY and MOURNE,71.4,54.7,71.8,90.891,19.5
N20003127,Slieve_Gullion_G1,NEWRY and MOURNE,71.4,54.7,71.8,89.185,17.8
N20003126,Slieve_Gullion_F2,NEWRY and MOURNE,71.4,54.7,71.8,92.264,20.9
N20003107,Slieve_Gullion_B3,NEWRY and MOURNE,71.4,54.7,71.8,78.492,7.1
N20003106,Slieve_Gullion_B2,NEWRY and MOURNE,71.4,54.7,71.8,91.437,20.0
N20000704,Cusher_H3,ARMAGH,44.5,33.6,45.4,30.326,-14.2
N20000708,Cusher_H4,ARMAGH,44.5,33.6,45.4,33.982,-10.5
N20000706,Cusher_L3,ARMAGH,44.5,33.6,45.4,92.839,48.3
N20000709,Cusher_K6,ARMAGH,44.5,33.6,45.4,72.418,27.9
N20003104,Slieve_Gullion_B1,NEWRY and MOURNE,71.4,54.7,71.8,49.634,-21.8
N20003119,Slieve_Gullion_B4,NEWRY and MOURNE,71.4,54.7,71.8,72.932,1.5
N20000710,Cusher_L5,ARMAGH,44.5,33.6,45.4,78.719,34.2
N20000355,Armagh_K6,ARMAGH,44.5,33.6,45.4,94.687,50.2
N20000354,Armagh_K5,ARMAGH,44.5,33.6,45.4,79.62,35.1
N20000705,Cusher_L2,ARMAGH,44.5,33.6,45.4,66.886,22.4
N20000350,Armagh_L3,ARMAGH,44.5,33.6,45.4,89.825,45.3
N20000352,Armagh_L5,ARMAGH,44.5,33.6,45.4,83.448,38.9
N20000349,Armagh_L2,ARMAGH,44.5,33.6,45.4,84.648,40.1
N20000348,Armagh_L1,ARMAGH,44.5,33.6,45.4,88.762,44.3
N20000351,Armagh_L4,ARMAGH,44.5,33.6,45.4,84.687,40.2
N20000353,Armagh_K4,ARMAGH,44.5,33.6,45.4,84.766,40.3
N20000707,Cusher_L4,ARMAGH,44.5,33.6,45.4,90.317,45.8
N20000701,Cusher_L1,ARMAGH,44.5,33.6,45.4,78.075,33.6
N20000343,Armagh_J5,ARMAGH,44.5,33.6,45.4,55.97,11.5
N20000346,Armagh_K2,ARMAGH,44.5,33.6,45.4,64.079,19.6
N20000344,Armagh_K1,ARMAGH,44.5,33.6,45.4,56.775,12.3
N20000345,Armagh_J6,ARMAGH,44.5,33.6,45.4,78.109,33.6
N20000338,Armagh_J2,ARMAGH,44.5,33.6,45.4,25.369,-19.1
N20000341,Armagh_J4,ARMAGH,44.5,33.6,45.4,70.649,26.1
N20000337,Armagh_H5,ARMAGH,44.5,33.6,45.4,68.607,24.1
N20000336,Armagh_H4,ARMAGH,44.5,33.6,45.4,69.677,25.2
N20000339,Armagh_J3,ARMAGH,44.5,33.6,45.4,65.062,20.6
N20000335,Armagh_G6,ARMAGH,44.5,33.6,45.4,83.548,39.0
N20000329,Armagh_G3,ARMAGH,44.5,33.6,45.4,87.995,43.5
N20000327,Armagh_F6,ARMAGH,44.5,33.6,45.4,92.976,48.5
N20000330,Armagh_G4,ARMAGH,44.5,33.6,45.4,82.918,38.4
N20000325,Armagh_G1,ARMAGH,44.5,33.6,45.4,48.537,4.0
N20000331,Armagh_G5,ARMAGH,44.5,33.6,45.4,83.944,39.4
N20000334,Armagh_H3,ARMAGH,44.5,33.6,45.4,52.105,7.6
N20000332,Armagh_H1,ARMAGH,44.5,33.6,45.4,60.563,16.1
N20000328,Armagh_G2,ARMAGH,44.5,33.6,45.4,49.538,5.0
N20000324,Armagh_C5,ARMAGH,44.5,33.6,45.4,47.383,2.9
N20000326,Armagh_C6,ARMAGH,44.5,33.6,45.4,10.189,-34.3
N20000333,Armagh_H2,ARMAGH,44.5,33.6,45.4,43.967,-0.5
N20000688,Cusher_E5,ARMAGH,44.5,33.6,45.4,20.659,-23.8
N20000693,Cusher_K1,ARMAGH,44.5,33.6,45.4,13.025,-31.5
N20000699,Cusher_K3,ARMAGH,44.5,33.6,45.4,35.242,-9.3
N20000702,Cusher_K4,ARMAGH,44.5,33.6,45.4,79.0,34.5
N20000697,Cusher_J2,ARMAGH,44.5,33.6,45.4,10.866,-33.6
N20000698,Cusher_J3,ARMAGH,44.5,33.6,45.4,24.194,-20.3
N20000696,Cusher_J1,ARMAGH,44.5,33.6,45.4,34.67,-9.8
N20000700,Cusher_J4,ARMAGH,44.5,33.6,45.4,13.5,-31.0
N20000703,Cusher_K5,ARMAGH,44.5,33.6,45.4,13.192,-31.3
N20000695,Cusher_K2,ARMAGH,44.5,33.6,45.4,11.932,-32.6
N20000691,Cusher_G4,ARMAGH,44.5,33.6,45.4,6.18,-38.3
N20000690,Cusher_G3,ARMAGH,44.5,33.6,45.4,8.013,-36.5
N20000689,Cusher_G2,ARMAGH,44.5,33.6,45.4,13.371,-31.1
N20000687,Cusher_G1,ARMAGH,44.5,33.6,45.4,8.696,-35.8
N20000692,Cusher_H1,ARMAGH,44.5,33.6,45.4,29.858,-14.6
N20000644,Banbridge_F5,BANBRIDGE,31.2,22.9,27.6,12.339,-18.9
N20000642,Banbridge_F4,BANBRIDGE,31.2,22.9,27.6,55.0,23.8
N20000646,Banbridge_N1,BANBRIDGE,31.2,22.9,27.6,55.893,24.7
N20000647,Banbridge_N2,BANBRIDGE,31.2,22.9,27.6,56.023,24.8
N20000649,Banbridge_N3,BANBRIDGE,31.2,22.9,27.6,38.867,7.7
N20000652,Banbridge_N4,BANBRIDGE,31.2,22.9,27.6,43.966,12.8
N20000654,Banbridge_N5,ARMAGH,44.5,33.6,45.4,70.894,26.4
N20000694,Cusher_H2,ARMAGH,44.5,33.6,45.4,18.156,-26.3
N20003101,Slieve_Gullion_A1,NEWRY and MOURNE,71.4,54.7,71.8,59.783,-11.6
N20003102,Slieve_Gullion_A2,NEWRY and MOURNE,71.4,54.7,71.8,33.273,-38.1
N20003103,Slieve_Gullion_A3,NEWRY and MOURNE,71.4,54.7,71.8,56.989,-14.4
N20003121,Slieve_Gullion_F1,NEWRY and MOURNE,71.4,54.7,71.8,90.331,18.9
N20003111,Slieve_Gullion_E1,NEWRY and MOURNE,71.4,54.7,71.8,85.665,14.3
N20003122,Slieve_Gullion_E3,NEWRY and MOURNE,71.4,54.7,71.8,97.885,26.5
N20003116,Slieve_Gullion_E2,NEWRY and MOURNE,71.4,54.7,71.8,89.737,18.3
N20003118,Slieve_Gullion_D4,NEWRY and MOURNE,71.4,54.7,71.8,86.567,15.2
N20003123,Slieve_Gullion_E4,NEWRY and MOURNE,71.4,54.7,71.8,91.434,20.0
N20003117,Slieve_Gullion_D3,NEWRY and MOURNE,71.4,54.7,71.8,88.533,17.1
N20003110,Slieve_Gullion_C2,NEWRY and MOURNE,71.4,54.7,71.8,74.1,2.7
N20003113,Slieve_Gullion_D2,NEWRY and MOURNE,71.4,54.7,71.8,76.582,5.2
N20003109,Slieve_Gullion_D1,NEWRY and MOURNE,71.4,54.7,71.8,57.639,-13.8
N20003105,Slieve_Gullion_A4,NEWRY and MOURNE,71.4,54.7,71.8,38.102,-33.3
N20003212,Crotlieve_C1,NEWRY and MOURNE,71.4,54.7,71.8,72.298,0.9
N20003108,Slieve_Gullion_C1,NEWRY and MOURNE,71.4,54.7,71.8,60.714,-10.7
N20003115,Slieve_Gullion_C5,NEWRY and MOURNE,71.4,54.7,71.8,92.274,20.9
N20003120,Slieve_Gullion_D5,NEWRY and MOURNE,71.4,54.7,71.8,88.769,17.4
N20003114,Slieve_Gullion_C4,NEWRY and MOURNE,71.4,54.7,71.8,88.11,16.7
N20003157,Newry_A2,NEWRY and MOURNE,71.4,54.7,71.8,91.216,19.8
N20003162,Newry_C1,NEWRY and MOURNE,71.4,54.7,71.8,89.414,18.0
N20003166,Newry_C2,NEWRY and MOURNE,71.4,54.7,71.8,93.808,22.4
N20003164,Newry_A5,NEWRY and MOURNE,71.4,54.7,71.8,90.042,18.6
N20003159,Newry_A3,NEWRY and MOURNE,71.4,54.7,71.8,90.441,19.0
