code,name,LGD,EDM_score,EDM_rank,EDM_decile,Income_score,Income_rank,Employment_score,Employment_rank,Proximity to Services_score,Proximity to Services_rank
95BB060010,Central_Ards,,28.47,1365,3,0.32,1259,0.23,953,-1.23,4866
95BB060011,Central_Ards,,15.99,2808,6,0.24,1904,0.15,2428,-1.4,4962
95BB070001,Comber East_1,,20.91,2164,5,0.22,2050,0.19,1581,-0.31,3221
95BB070002,Comber East_1,,7.25,4160,9,0.07,4056,0.12,3144,-0.63,4050
95BB070003,Comber East_1,,18.34,2495,5,0.31,1328,0.14,2740,-1.1,4765
95BB070004,Comber East_2,,20.06,2279,5,0.21,2158,0.18,1673,-0.27,3100
95BB070005,Comber East_1,,9.39,3763,8,0.13,3132,0.12,3282,-0.59,3942
95BB070006,Comber East_2,,5.11,4538,10,0.02,4854,0.07,4520,0.19,1823
95BB070007,Comber East_1,,18.83,2436,5,0.21,2127,0.18,1737,-0.64,4062
95BB070008,Comber East_2,,8.51,3910,8,0.05,4345,0.11,3419,0.12,1966
95BB070009,Comber East_2,,5.44,4486,9,0.05,4437,0.08,4396,0.01,2249
95BB070010,Comber East_1,,38.77,709,2,0.4,800,0.26,663,0.03,2182
95BB080001,Comber North_1,,9.24,3790,8,0.11,3452,0.1,3647,-0.06,2463
95BB080002,Comber North_1,,21.11,2133,5,0.33,1203,0.14,2659,-0.28,3122
95BB080003,Comber North_2,,5.43,4487,9,0.03,4679,0.08,4362,0.11,2008
95BB080004,Comber North_1,,14.21,3052,7,0.14,2961,0.15,2396,-0.16,2753
95BB080005,Comber North_1,,17.07,2654,6,0.19,2397,0.17,1991,-0.4,3449
95BB080006,Comber North_1,,39.64,669,2,0.5,452,0.23,923,-0.23,2961
95BB080007,Comber North_2,,4.89,4579,10,0.03,4765,0.07,4596,0.13,1941
95BB080008,Comber North_2,,6.43,4301,9,0.07,4015,0.07,4497,0.07,2099
95BB080009,Comber North_2,,4.9,4576,10,0.02,4963,0.08,4289,0.07,2083
95BB090001,Comber West_2,,7.19,4169,9,0.05,4324,0.08,4332,0.33,1555
95BB090002,Comber West_1,,5.64,4444,9,0.05,4415,0.09,4114,-0.1,2557
95BB090003,Comber West_2,,7.35,4141,9,0.1,3518,0.09,4019,-0.26,3048
95BB090004,Comber West_1,,6.68,4263,9,0.04,4617,0.09,4034,0.19,1813
95BB090005,Comber West_2,,8.58,3892,8,0.12,3281,0.09,4094,-0.07,2495
95BB090006,Comber West_2,,5,4560,10,0.03,4767,0.07,4526,0.12,1959
95BB090007,Comber West_2,,3.76,4784,10,0.02,4946,0.06,4731,0.02,2224
95BB090008,Comber West_1,,11.4,3442,7,0.14,2992,0.08,4208,0.45,1367
95BB090009,Comber West_1,,7.27,4155,9,0.07,3944,0.11,3356,-0.47,3669
95BB100001,Donaghadee North_1,,23.13,1908,4,0.23,1982,0.19,1460,-0.02,2356
95BB100002,Donaghadee North_1,,18.18,2513,6,0.25,1817,0.15,2466,-0.24,2994
95BB100003,Donaghadee North_1,,6.17,4350,9,0.1,3530,0.08,4331,-0.39,3424
95BB100004,Donaghadee North_1,,8.42,3928,8,0.17,2638,0.06,4694,-0.3,3183
95BB100005,Donaghadee North_2,,7.83,4038,9,0.05,4428,0.06,4813,0.73,929
