SA2011,lgd1993
N00002860,DUNGANNON
N00002884,DUNGANNON
N00002881,DUNGANNON
N00002896,DUNGANNON
N00002890,DUNGANNON
N00002892,DUNGANNON
N00002879,DUNGANNON
N00002882,DUNGANNON
N00002374,CRAIGAVON
N00002880,DUNGANNON
N00000428,ARMAGH
N00000370,ARMAGH
N00000423,ARMAGH
N00000429,ARMAGH
N00000427,ARMAGH
N00002369,CRAIGAVON
N00002370,CRAIGAVON
N00002195,CRAIGAVON
N00002189,CRAIGAVON
N00002202,CRAIGAVON
N00002196,CRAIGAVON
N00002368,CRAIGAVON
N00002371,CRAIGAVON
N00002372,CRAIGAVON
N00002255,CRAIGAVON
N00002252,CRAIGAVON
N00002375,CRAIGAVON
N00002112,COOKSTOWN
N00002911,DUNGANNON
N00002373,CRAIGAVON
N00002909,DUNGANNON
N00002910,DUNGANNON
N00002907,DUNGANNON
N00002846,DUNGANNON
N00002852,DUNGANNON
N00002842,DUNGANNON
N00002843,DUNGANNON
N00002844,DUNGANNON
N00002845,DUNGANNON
N00002850,DUNGANNON
N00002849,DUNGANNON
N00002853,DUNGANNON
N00002851,DUNGANNON
N00002848,DUNGANNON
N00002883,DUNGANNON
N00002887,DUNGANNON
N00002870,DUNGANNON
N00002871,DUNGANNON
N00002888,DUNGANNON
N00002889,DUNGANNON
N00002873,DUNGANNON
N00002874,DUNGANNON
N00002872,DUNGANNON
N00002906,DUNGANNON
N00002902,DUNGANNON
N00002818,DUNGANNON
N00002817,DUNGANNON
N00002905,DUNGANNON
N00002904,DUNGANNON
N00002869,DUNGANNON
N00002867,DUNGANNON
N00002854,DUNGANNON
N00002857,DUNGANNON
N00002855,DUNGANNON
N00002866,DUNGANNON
N00002865,DUNGANNON
N00002149,COOKSTOWN
N00002156,COOKSTOWN
N00002155,COOKSTOWN
N00002157,COOKSTOWN
N00002856,DUNGANNON
N00002841,DUNGANNON
N00002847,DUNGANNON
N00002908,DUNGANNON
N00002153,COOKSTOWN
N00002154,COOKSTOWN
N00002152,COOKSTOWN
N00002148,COOKSTOWN
N00002151,COOKSTOWN
N00002150,COOKSTOWN
N00002114,COOKSTOWN
N00002118,COOKSTOWN
N00002116,COOKSTOWN
N00002117,COOKSTOWN
N00002130,COOKSTOWN
N00002119,COOKSTOWN
N00002115,COOKSTOWN
N00002164,COOKSTOWN
N00002169,COOKSTOWN
N00002167,COOKSTOWN
N00002166,COOKSTOWN
N00002165,COOKSTOWN
N00002168,COOKSTOWN
N00002108,COOKSTOWN
N00002107,COOKSTOWN
N00002106,COOKSTOWN
N00002103,COOKSTOWN
N00002104,COOKSTOWN
N00002105,COOKSTOWN
N00002131,COOKSTOWN
N00002120,COOKSTOWN
N00002141,COOKSTOWN
N00002139,COOKSTOWN
N00002137,COOKSTOWN
N00002142,COOKSTOWN
N00002136,COOKSTOWN
N00002138,COOKSTOWN
N00002140,COOKSTOWN
N00002128,COOKSTOWN
N00002129,COOKSTOWN
N00002097,COOKSTOWN
N00002095,COOKSTOWN
N00002093,COOKSTOWN
N00002090,COOKSTOWN
N00002094,COOKSTOWN
