SA2011,OA_CODE_dominant,OA_CODE_point
N00000120,95AA180003,95AA180003
N00000121,95AA180004,95AA180004
N00000122,95AA180005,95AA180005
N00000123,95AA180006,95AA180006
N00000124,95AA180007,95AA180007
N00000125,95AA190001,95AA190001
N00000126,95AA190002,95AA190002
N00000127,95AA190003,95AA190003
N00000128,95AA190004,95AA190004
N00000129,95AA190006,95AA190006
N00000130,95BB010001,95BB010001
N00000131,95BB010002,95BB010002
N00000132,95BB010003,95BB010003
N00000133,95BB010008,95BB010008
N00000134,95BB010004,95BB010004
N00000135,95BB010005,95BB010005
N00000136,95BB010006,95BB010006
N00000137,95BB010007,95BB010007
N00000138,95BB010009,95BB010009
N00000139,95BB020001,95BB020001
N00000140,95BB020002,95BB020002
N00000141,95BB020003,95BB020003
N00000142,95BB020005,95BB020005
N00000143,95BB020006,95BB020006
N00000144,95BB020007,95BB020007
N00000145,95BB020008,95BB020008
N00000146,95BB020009,95BB020009
N00000147,95BB020010,95BB020010
N00000148,95BB030007,95BB030007
N00000149,95BB030008,95BB030008
N00000150,95BB030009,95BB030009
N00000151,95BB030010,95BB030010
N00000152,95BB030011,95BB030011
N00000153,95BB030001,95BB030001
N00000154,95BB030002,95BB030002
N00000155,95BB030003,95BB030003
N00000156,95BB030004,95BB030004
N00000157,95BB030005,95BB030005
N00000158,95BB030006,95BB030006
N00000159,95BB040001,95BB040001
N00000160,95BB040002,95BB040002
N00000161,95BB040004,95BB040004
N00000162,95BB040007,95BB040007
N00000163,95BB040010,95BB040010
N00000164,95BB040003,95BB040003
N00000165,95BB040005,95BB040005
N00000166,95BB040006,95BB040006
N00000167,95BB040008,95BB040008
N00000168,95BB040009,95BB040009
N00000169,95BB050003,95BB050003
N00000170,95BB050007,95BB050007
N00000171,95BB050009,95BB050009
N00000172,95BB050001,95BB050001
N00000173,95BB050004,95BB050004
N00000174,95BB050005,95BB050005
N00000175,95BB050008,95BB050008
N00000176,95BB060003,95BB060003
N00000177,95BB060002,95BB060002
N00000178,95BB060007,95BB060007
N00000179,95BB060008,95BB060008
N00000180,95BB060009,95BB060009
N00000181,95BB060010,95BB060010
N00000182,95BB070001,95BB070001
N00000183,95BB070002,95BB070002
N00000184,95BB070003,95BB070003
N00000185,95BB070005,95BB070005
N00000186,95BB070007,95BB070003
N00000187,95BB070010,95BB070010
N00000188,95BB070004,95BB070004
N00000189,95BB070006,95BB070006
N00000190,95BB070008,95BB070008
N00000191,95BB070009,95BB070009
N00000192,95BB080001,95BB080001
N00000193,95BB080002,95BB080002
N00000194,95BB080004,95BB080004
N00000195,95BB080005,95BB080005
N00000196,95BB080006,95BB080006
N00000197,95BB080003,95BB080003
N00000198,95BB080007,95BB080007
N00000199,95BB080008,95BB080008
N00000200,95BB080009,95BB080009
N00000201,95BB090002,95BB090008
N00000202,95BB090004,95BB090004
N00000203,95BB090008,95BB090008
N00000204,95BB090009,95BB090009
N00000205,95BB090001,95BB090001
N00000206,95BB090003,95BB090003
N00000207,95BB090005,95BB090005
N00000208,95BB090006,95BB090006
N00000209,95BB090007,95BB090007
N00000210,95BB100004,95BB100004
N00000211,95BB100009,95BB100009
N00000212,95BB100003,95BB100003
N00000213,95BB100010,95BB100011
N00000214,95BB100011,95BB100011
N00000215,95BB100005,95BB100005
N00000216,95BB100006,95BB100006
N00000217,95BB100007,
N00000218,95BB100008,95BB100008
N00000219,95BB110003,95BB110003
N00000220,95BB110004,95BB110004
N00000221,95BB110006,95BB110006
N00000222,95BB110010,95BB110010
N00000223,95BB110011,95BB110011
N00000224,95BB110001,95BB110001
N00000225,95BB110002,95BB110002
N00000226,95BB110005,95BB110005
N00000227,95BB110007,95BB110007
N00000228,95BB110008,95BB110008
N00000229,95BB110009,95BB110011
N00000230,95BB120003,95BB120003
N00000231,95BB120004,95BB120004
N00000232,95BB120005,95BB120005
N00000233,95BB120006,95BB120006
N00000234,95BB120007,95BB120007
N00000235,95BB120001,95BB120001
N00000236,95BB120002,95BB120002
N00000237,95BB120008,95BB120008
N00000238,95BB120009,95BB120009
N00000239,95BB130005,95BB130005
N00000240,95BB130010,95BB130010
N00000241,95BB130011,95BB130011
N00000242,95BB130012,95BB130012
N00000243,95BB130002,95BB130002
N00000244,95BB130004,95BB130004
N00000245,95BB130007,95BB130007
N00000246,95BB130008,95BB130008
N00000247,95BB130009,95BB130009
N00000248,95BB130001,95BB130001
N00000249,95BB130003,95BB130003
N00000250,95BB130006,95BB130006
N00000251,95BB130013,95BB130013
N00000252,95BB140001,
N00000253,95BB140002,95BB140002
N00000254,95BB140003,95BB140003
N00000255,95BB140008,95BB140008
N00000256,95BB140005,95BB140005
N00000257,95BB140006,95BB140005
N00000258,95BB140007,95BB140007
N00000259,95BB150001,95BB150001
N00000260,95BB150002,95BB150002
N00000261,95BB150003,95BB150003
N00000262,95BB150008,95BB150008
N00000263,95BB150004,95BB150004
N00000264,95BB150005,95BB150005
N00000265,95BB150006,95BB150006
N00000266,95BB150007,
N00000267,95BB160001,95BB160001
N00000268,95BB160005,95BB160005
N00000269,95BB160007,95BB160007
N00000270,95BB160008,95BB160008
N00000271,95BB160002,95BB160002
N00000272,95BB160003,95BB160006
N00000273,95BB160004,95BB160004
N00000274,95BB160006,95BB160006
N00000275,95BB170003,95BB170003
N00000276,95BB170004,95BB170004
N00000277,95BB170005,95BB170005
N00000278,95BB170006,95BB170006
N00000279,95BB170008,95BB170008
N00000280,95BB170010,95BB170010
N00000281,95BB170001,95BB170001
N00000282,95BB170002,95BB170002
N00000283,95BB170007,95BB170007
N00000284,95BB170009,95BB170009
N00000285,95BB170011,95BB170011
N00000286,95BB180002,95BB180002
N00000287,95BB180004,95BB180004
N00000288,95BB180005,95BB180005
N00000289,95BB180006,95BB180006
N00000290,95BB180007,95BB180007
N00000291,95BB180001,95BB180001
N00000292,95BB180003,95BB180003
N00000293,95BB180008,95BB180008
N00000294,95BB180009,95BB180009
N00000295,95BB180010,95BB180003
N00000296,95BB190004,95BB190003
N00000297,95BB190007,95BB190007
N00000298,95BB190009,95BB190009
N00000299,95BB190011,95BB190011
N00000300,95BB190013,95BB190013
N00000301,95BB190001,95BB190001
N00000302,95BB190002,95BB190002
N00000303,95BB190003,95BB190003
N00000304,95BB190005,95BB190005
N00000305,95BB190014,95BB190014
N00000306,95BB190006,95BB190006
N00000307,95BB190008,95BB190008
N00000308,95BB190010,95BB190010
N00000309,95BB190012,95BB190012
N00000310,95BB200001,95BB200001
N00000311,95BB200002,95BB200002
N00000312,95BB200003,95BB200003
N00000313,95BB200004,95BB200004
N00000314,95BB200005,95BB200005
N00000315,95BB200006,95BB200002
N00000316,95BB200007,95BB200007
N00000317,95BB200009,95BB200001
N00000318,95BB210001,95BB210001
N00000319,95BB210002,95BB210004
N00000320,95BB210005,95BB210005
N00000321,95BB210006,95BB210006
N00000322,95BB210011,95BB210011
N00000323,95BB210003,95BB210003
N00000324,95BB210007,95BB210007
N00000325,95BB210008,95BB210008
N00000326,95BB210010,95BB210010
N00000327,95BB220006,95BB220006
N00000328,95BB220007,95BB220007
N00000329,95BB220008,95BB220008
N00000330,95BB220009,95BB220009
N00000331,95BB220001,95BB220001
N00000332,95BB220003,95BB220003
N00000333,95BB220004,95BB220004
N00000334,95BB220005,95BB220005
N00000335,95BB230001,95BB230001
N00000336,95BB230006,95BB230006
N00000337,95BB230007,95BB230007
N00000338,95BB230008,95BB230008
N00000339,95BB230009,95BB230009
N00000340,95BB230002,95BB230002
N00000341,95BB230003,95BB230003
N00000342,95BB230004,95BB230004
N00000343,95BB230005,95BB230005
N00000344,95CC010001,95CC010001
N00000345,95CC010002,95CC010002
N00000346,95CC010003,95CC010003
N00000347,95CC010004,95CC010004
N00000348,95CC010005,95CC010005
N00000349,95CC010006,95CC010006
N00000350,95CC020001,95CC020001
N00000351,95CC020002,95CC020002
N00000352,95CC020003,95CC020003
N00000353,95CC020004,95CC020004
N00000354,95CC020005,95CC020005
N00000355,95CC020006,95CC020006
N00000356,95CC030001,95CC030001
N00000357,95CC030006,95CC030006
N00000358,95CC030003,95CC030003
N00000359,95CC030005,95CC030005
N00000360,95CC040001,95CC040001
N00000361,95CC040002,95CC040002
N00000362,95CC040003,95CC040003
N00000363,95CC040004,95CC040004
N00000364,95CC040005,95CC040005
N00000365,95CC040006,95CC040006
N00000366,95CC050001,95CC050001
N00000367,95CC050002,95CC050002
N00000368,95CC050003,95CC050003
N00000369,95CC050004,95CC050004
N00000370,95CC050005,95CC050005
N00000371,95CC050006,95CC050006
N00000372,95CC060001,95CC060001
N00000373,95CC060002,95CC060002
N00000374,95CC060003,95CC060003
N00000375,95CC060005,95CC060005
N00000376,95CC060004,95CC220001
N00000377,95CC060006,95CC060006
N00000378,95CC060007,95CC060007
N00000379,95CC060008,95CC060008
N00000380,95CC070001,95CC070001
N00000381,95CC070002,95CC070002
N00000382,95CC070003,95CC070003
N00000383,95CC070004,95CC070004
N00000384,95CC070005,95CC070005
N00000385,95CC070006,95CC070006
N00000386,95CC080001,95CC080001
N00000387,95CC080002,95CC080002
N00000388,95CC080003,95CC080005
N00000389,95CC080007,95CC170001
N00000390,95CC090002,95CC090002
N00000391,95CC090005,95CC090005
N00000392,95CC090007,95CC090007
N00000393,95CC090003,95CC090003
N00000394,95CC100001,95CC100001
N00000395,95CC100002,95CC100002
N00000396,95CC100003,95CC100003
N00000397,95CC100004,95CC100004
N00000398,95CC100005,95CC100005
N00000399,95CC100006,95CC100006
N00000400,95CC110001,95CC110001
N00000401,95CC110002,95CC110002
N00000402,95CC110003,95CC110003
N00000403,95CC110004,95CC110004
N00000404,95CC110005,95CC110005
N00000405,95CC110006,95CC110006
N00000406,95CC120001,95CC120001
N00000407,95CC120005,95CC120005
N00000408,95CC120004,95CC120004
N00000409,95CC120006,95CC120006
N00000410,95CC120007,95CC120007
N00000411,95CC130001,95CC130003
N00000412,95CC130002,95CC130002
N00000413,95CC130003,95CC130001
N00000414,95CC130004,95CC130004
N00000415,95CC130005,95CC130005
N00000416,95CC130006,95CC130006
N00000417,95CC140001,95CC140001
N00000418,95CC140002,95CC140002
N00000419,95CC140003,95CC140003
N00000420,95CC140004,95CC140004
N00000421,95CC140005,95CC140005
N00000422,95CC140007,95CC140007
N00000423,95CC150001,95CC150001
N00000424,95CC150002,95CC150002
N00000425,95CC150003,95CC150003
N00000426,95CC150004,95CC150004
N00000427,95CC150005,95CC150005
N00000428,95CC150006,95CC150006
N00000429,95CC150007,95CC150007
N00000430,95CC160001,95CC160001
N00000431,95CC160002,95CC160002
N00000432,95CC160003,95CC160003
N00000433,95CC160004,95CC160004
N00000434,95CC160005,95CC160005
N00000435,95CC160006,95CC160006
N00000436,95CC160007,95CC160007
N00000437,95CC170001,95CC170001
N00000438,95CC170002,95CC170002
N00000439,95CC170003,95CC170003
N00000440,95CC170004,95CC170004
N00000441,95CC170005,95CC170005
N00000442,95CC170006,95CC170006
N00000443,95CC180001,95CC180001
N00000444,95CC180002,95CC180002
N00000445,95CC180003,95CC180003
N00000446,95CC180004,95CC180004
N00000447,95CC180005,95CC180005
N00000448,95CC180007,95CC180007
N00000449,95CC190001,95CC190001
N00000450,95CC190002,95CC190002
N00000451,95CC190003,95CC190003
N00000452,95CC190004,95CC190004
N00000453,95CC190005,95CC190005
N00000454,95CC190006,95CC210003
N00000455,95CC200001,95CC200001
N00000456,95CC200005,95CC200005
N00000457,95CC200006,95CC200006
N00000458,95CC200007,95CC200007
N00000459,95CC200002,95CC200002
N00000460,95CC200003,95CC200003
N00000461,95CC200008,95CC200008
N00000462,95CC200009,95CC200009
N00000463,95CC210003,95CC210003
N00000464,95CC210002,95CC210002
N00000465,95CC210004,95CC210004
N00000466,95CC210005,95CC210005
N00000467,95CC210006,95CC210006
N00000468,95CC210007,95CC210007
N00000469,95CC210008,95CC210008
N00000470,95CC220001,95CC220001
N00000471,95CC220002,95CC220002
N00000472,95CC220003,95CC220003
N00000473,95CC220004,95CC220004
N00000474,95CC220005,95CC220005
N00000475,95CC220006,95CC220006
N00000476,95CC220007,95CC220007
N00000477,95DD010004,95DD010004
N00000478,95DD010002,95DD010002
N00000479,95DD010003,95DD010003
N00000480,95DD010005,95DD010005
N00000481,95DD010006,95DD010006
N00000482,95DD020003,95DD020003
N00000483,95DD020004,95DD020004
N00000484,95DD020007,95DD020007
N00000485,95DD020008,95DD020004
N00000486,95DD020011,95DD020011
N00000487,95DD020001,95DD020001
N00000488,95DD020002,95DD020002
N00000489,95DD020005,95DD020005
N00000490,95DD020006,95DD020006
N00000491,95DD020009,95DD020009
N00000492,95DD020010,95DD020010
N00000493,95DD030001,95DD030001
N00000494,95DD030002,95DD030004
N00000495,95DD030004,95DD030004
N00000496,95DD030005,95DD030005
N00000497,95DD030006,95DD030006
N00000498,95DD030007,95DD030007
N00000499,95DD040001,95DD040001
N00000500,95DD040002,95DD040002
N00000501,95DD040003,95DD040003
N00000502,95DD040004,95DD040004
N00000503,95DD040005,95DD040005
N00000504,95DD040006,95DD040006
N00000505,95DD050001,95DD050001
N00000506,95DD050002,95DD050002
N00000507,95DD050003,95DD050003
N00000508,95DD050004,95DD050004
N00000509,95DD050005,95DD050005
N00000510,95DD050006,95DD050006
N00000511,95DD060001,95DD060001
N00000512,95DD060002,95DD060002
N00000513,95DD060003,95DD060003
N00000514,95DD060004,95DD060004
N00000515,95DD060005,95DD060005
N00000516,95DD060006,95DD060006
N00000517,95DD060007,95DD060007
N00000518,95DD070005,95DD070005
N00000519,95DD070006,95DD070006
N00000520,95DD070008,95DD070008
N00000521,95DD070009,95DD070009
N00000522,95DD070001,95DD070001
N00000523,95DD070002,95DD070002
N00000524,95DD070003,95DD070003
N00000525,95DD070004,95DD070004
N00000526,95DD080001,95DD080001
N00000527,95DD080002,95DD080002
N00000528,95DD080003,95DD080003
N00000529,95DD080004,95DD080005
N00000530,95DD080005,95DD080005
N00000531,95DD080006,95DD080006
N00000532,95DD080007,95DD080007
N00000533,95DD080008,95DD080008
N00000534,95DD090001,95DD090001
N00000535,95DD090002,95DD090002
N00000536,95DD090003,95DD090003
N00000537,95DD090004,95DD090004
N00000538,95DD090005,95DD090005
N00000539,95DD090006,95DD090006
N00000540,95DD100001,95DD100001
N00000541,95DD100002,95DD100002
N00000542,95DD100003,95DD100003
N00000543,95DD100004,95DD100004
N00000544,95DD100005,95DD100005
N00000545,95DD100006,95DD100006
N00000546,95DD100007,95DD100007
N00000547,95DD100008,95DD100003
N00000548,95DD100009,95DD100009
N00000549,95DD110001,95DD110001
N00000550,95DD110002,95DD110002
N00000551,95DD110003,95DD110003
N00000552,95DD110004,95DD110004
N00000553,95DD110005,95DD110005
N00000554,95DD110006,95DD110006
N00000555,95DD110007,95DD110007
N00000556,95DD110008,95DD110008
N00000557,95DD120001,95DD120001
N00000558,95DD120002,95DD120002
N00000559,95DD120003,95DD100001
N00000560,95DD120004,95DD120004
N00000561,95DD120005,95DD120006
N00000562,95DD120006,95DD120006
N00000563,95DD130004,95DD130004
N00000564,95DD130002,95DD130002
N00000565,95DD130005,95DD130001
N00000566,95DD130006,95DD130006
N00000567,95DD140001,95DD140001
N00000568,95DD140003,95DD140003
N00000569,95DD140005,95DD140005
N00000570,95DD140008,95DD140008
N00000571,95DD140002,95DD140008
N00000572,95DD140004,95DD140004
N00000573,95DD140006,95DD140006
N00000574,95DD140007,95DD140007
N00000575,95DD150001,95DD150001
N00000576,95DD150002,95DD150002
N00000577,95DD150003,95DD150003
N00000578,95DD150004,95DD150004
N00000579,95DD150005,95DD150005
N00000580,95DD150006,95DD150006
N00000581,95DD150007,95DD150007
N00000582,95DD160001,95DD160001
N00000583,95DD160002,95DD160002
N00000584,95DD160003,95DD160003
N00000585,95DD160004,95DD160004
N00000586,95DD160005,95DD160005
N00000587,95DD160006,95DD160006
N00000588,95DD160007,95DD160007
N00000589,95DD170001,95DD170001
N00000590,95DD170002,95DD170002
N00000591,95DD170003,95DD170003
N00000592,95DD170004,95DD170001
N00000593,95DD170005,95DD170005
N00000594,95DD170006,95DD170006
N00000595,95DD170007,95DD170007
N00000596,95DD180001,95DD180001
N00000597,95DD180002,95DD180002
N00000598,95DD180003,95DD180003
N00000599,95DD180004,95DD180004
N00000600,95DD180005,95DD180006
N00000601,95DD180006,95DD180007
N00000602,95DD180007,95DD180007
N00000603,95DD190001,95DD190001
N00000604,95DD190002,95DD190002
N00000605,95DD190007,95DD190007
N00000606,95DD190008,95DD190008
N00000607,95DD190009,95DD190009
N00000608,95DD190003,95DD190003
N00000609,95DD190004,95DD190004
N00000610,95DD190005,95DD190005
N00000611,95DD190006,95DD190006
N00000612,95DD200007,95DD200007
N00000613,95DD200002,95DD200002
N00000614,95DD200003,95DD200003
N00000615,95DD200004,95DD200004
N00000616,95DD200005,95DD200005
N00000617,95DD200006,95DD200006
N00000618,95DD210001,95DD210001
N00000619,95DD210003,95DD210003
N00000620,95DD210004,95DD210004
N00000621,95DD210005,95DD210005
N00000622,95DD210006,95DD210005
N00000623,95DD220003,95DD220003
N00000624,95DD220005,95DD220005
N00000625,95DD220007,95DD220007
N00000626,95DD220008,95DD220008
N00000627,95DD220001,95DD220001
N00000628,95DD220002,95DD220002
N00000629,95DD220004,95DD220004
N00000630,95DD220006,95DD220006
N00000631,95DD230001,95DD230001
N00000632,95DD230002,95DD230002
N00000633,95DD230003,95DD230003
N00000634,95DD230004,95DD230004
N00000635,95DD230005,95DD230005
N00000636,95DD230006,95DD230006
N00000637,95DD240005,95DD240002
N00000638,95DD240002,95DD240007
N00000639,95DD240003,95DD240003
N00000640,95DD240004,95DD240004
N00000641,95DD240006,95DD240006
N00000642,95DD240007,95DD240007
N00000643,95EE010001,95EE010001
N00000644,95EE010002,95EE010002
N00000645,95EE010003,95EE010003
N00000646,95EE010004,95EE010004
N00000647,95EE020003,95EE020003
N00000648,95EE020002,95EE020002
N00000649,95EE020004,95EE020004
N00000650,95EE020005,95EE020005
N00000651,95EE030001,95EE030001
N00000652,95EE030002,95EE030002
N00000653,95EE030003,95EE030003
N00000654,95EE030004,95EE030004
N00000655,95EE030005,95EE030005
N00000656,95EE030006,95EE030006
N00000657,95EE040001,95EE040001
N00000658,95EE040002,95EE040002
N00000659,95EE040003,95EE040003
N00000660,95EE040004,95EE040004
N00000661,95EE050001,95EE050001
N00000662,95EE050002,95EE050003
N00000663,95EE050003,95EE050003
N00000664,95EE050004,95EE050004
N00000665,95EE060001,95EE060001
N00000666,95EE060002,95EE060002
N00000667,95EE060003,95EE060003
N00000668,95EE060004,95EE060004
N00000669,95EE060005,95EE060005
N00000670,95EE070001,95EE070001
N00000671,95EE070002,95EE070002
N00000672,95EE070003,95EE070005
N00000673,95EE070004,95EE070004
N00000674,95EE080001,95EE080001
N00000675,95EE080002,95EE080002
N00000676,95EE080004,95EE080004
N00000677,95EE080005,95EE080005
N00000678,95EE090001,95EE090001
N00000679,95EE090002,95EE090002
N00000680,95EE090003,95EE090003
N00000681,95EE090004,95EE090004
N00000682,95EE100001,95EE100001
N00000683,95EE100002,95EE100002
N00000684,95EE100003,95EE100003
N00000685,95EE100004,95EE100004
N00000686,95EE110001,95EE110001
N00000687,95EE110002,95EE110004
N00000688,95EE110003,95EE110003
N00000689,95EE110004,95EE110004
N00000690,95EE120001,95EE120001
N00000691,95EE120002,95EE120002
N00000692,95EE120003,95EE120003
N00000693,95EE120004,95EE120004
N00000694,95EE120005,95EE120005
N00000695,95EE120006,95EE120006
N00000696,95EE130001,95EE130001
N00000697,95EE130002,95EE130002
N00000698,95EE130003,95EE130003
N00000699,95EE130004,95EE130004
N00000700,95EE130005,95EE130005
N00000701,95EE140001,95EE140001
N00000702,95EE140002,95EE140002
N00000703,95EE140003,95EE140003
N00000704,95EE140004,95EE140004
N00000705,95EE140006,95EE140006
N00000706,95EE150001,95EE150001
N00000707,95EE150002,95EE150002
N00000708,95EE150003,95EE150003
N00000709,95EE150004,95EE150004
N00000710,95EE160001,95EE160001
N00000711,95EE160002,95EE160002
N00000712,95EE160003,95EE160003
N00000713,95EE160004,95EE160004
N00000714,95EE160005,95EE160005
N00000715,95FF010001,95FF010001
N00000716,95FF010002,95FF010004
N00000717,95FF010003,95FF010003
N00000718,95FF010007,95FF010007
N00000719,95FF010009,95FF010009
N00000720,95FF010010,95FF010010
N00000721,95FF020001,95FF020001
N00000722,95FF020002,95FF020002
N00000723,95FF020003,95FF020003
N00000724,95FF020004,95FF020004
N00000725,95FF020005,95FF020005
N00000726,95FF020006,95FF020006
N00000727,95FF030001,95FF030008
N00000728,95FF030002,95FF030002
N00000729,95FF030003,95FF030003
N00000730,95FF030004,95FF030004
N00000731,95FF030005,95FF030005
N00000732,95FF030006,95FF030006
N00000733,95FF030007,95FF030007
N00000734,95FF030008,95FF030008
N00000735,95FF040001,95FF040001
N00000736,95FF040002,95FF040002
N00000737,95FF040003,95FF040003
N00000738,95FF040004,95FF040004
N00000739,95FF040005,95FF040005
N00000740,95FF040006,95FF040006
N00000741,95FF050001,95FF050001
N00000742,95FF050002,95FF050002
N00000743,95FF050003,95FF050003
N00000744,95FF050004,95FF050004
N00000745,95FF050005,95FF050005
N00000746,95FF050006,95FF050006
N00000747,95FF050008,95FF050008
N00000748,95FF060003,95FF060003
N00000749,95FF060005,95FF060005
N00000750,95FF060006,95FF060006
N00000751,95FF060007,95FF060007
N00000752,95FF060008,95FF060008
N00000753,95FF060001,95FF060001
N00000754,95FF060002,95FF060002
N00000755,95FF060004,95FF060004
N00000756,95FF060009,95FF060009
N00000757,95FF060010,95FF060010
N00000758,95FF070001,95FF070001
N00000759,95FF070002,95FF070002
N00000760,95FF070003,95FF070003
N00000761,95FF070004,95FF070004
N00000762,95FF070005,95FF070005
N00000763,95FF070006,95FF070006
N00000764,95FF070007,95FF070007
N00000765,95FF070008,95FF070008
N00000766,95FF080007,95FF080002
N00000767,95FF080003,95FF080003
N00000768,95FF080004,95FF080004
N00000769,95FF080005,95FF080005
N00000770,95FF080006,95FF080006
N00000771,95FF080008,95FF030001
N00000772,95FF090001,95FF090001
N00000773,95FF090002,95FF090002
N00000774,95FF090003,95FF090003
N00000775,95FF090004,95FF090004
N00000776,95FF090007,95FF090007
N00000777,95FF100005,95FF100005
N00000778,95FF100002,95FF100002
N00000779,95FF100003,95FF100003
N00000780,95FF100004,95FF100004
N00000781,95FF100006,95FF100006
N00000782,95FF100007,95FF100007
N00000783,95FF110001,95FF110001
N00000784,95FF110002,95FF110002
N00000785,95FF110003,95FF110003
N00000786,95FF110004,95FF110004
N00000787,95FF110005,95FF110005
N00000788,95FF110006,95FF110006
N00000789,95FF120006,95FF120006
N00000790,95FF120002,95FF120002
N00000791,95FF120003,95FF120003
N00000792,95FF120004,95FF120004
N00000793,95FF120005,95FF120005
N00000794,95FF130001,95FF130001
N00000795,95FF130002,95FF130002
N00000796,95FF130003,95FF130003
N00000797,95FF130004,95FF130004
N00000798,95FF130005,95FF130005
N00000799,95FF130006,95FF130006
N00000800,95FF140001,95FF140001
N00000801,95FF140002,95FF140002
N00000802,95FF140003,95FF140003
N00000803,95FF140004,95FF140004
N00000804,95FF140005,95FF140004
N00000805,95FF140006,95FF140006
N00000806,95FF150001,95FF150001
N00000807,95FF150002,95FF150002
N00000808,95FF150003,95FF150001
N00000809,95FF150004,95FF150004
N00000810,95FF150005,95FF150005
N00000811,95FF150006,95FF150006
N00000812,95FF150007,95FF150007
N00000813,95FF160001,95FF160001
N00000814,95FF160002,95FF160002
N00000815,95FF160003,95FF160003
N00000816,95FF160004,95FF160005
N00000817,95FF160006,95FF160006
N00000818,95FF160007,95FF160007
N00000819,95FF170001,95FF170001
N00000820,95FF170002,95FF170002
N00000821,95FF170003,95FF170003
