OA_CODE,DZ2021_cd_dominant,DZ2021_cd_point
95DD020003,N20002578,N20002575
95DD020004,N20002572,N20002572
95DD020005,N20002564,N20002574
95DD020006,N20002581,N20002579
95DD020007,N20002580,N20002576
95DD020008,N20002571,N20002576
95DD020009,N20002581,N20002578
95DD020010,N20002581,N20002581
95DD020011,N20002572,N20002572
95DD030001,N20002633,N20002633
95DD030002,N20002634,N20002634
95DD030003,N20002624,N20002624
95DD030004,N20002634,N20002634
95DD030005,N20002635,N20002635
95DD030006,N20002638,N20002638
95DD030007,N20002624,N20002624
95DD040001,N20002669,N20002669
95DD040002,N20002671,N20002666
95DD040003,N20002671,N20002669
95DD040004,N20002671,N20002671
95DD040005,N20002671,N20002673
95DD040006,N20002673,N20002673
95DD040007,N20002666,N20002665
95DD050001,N20002632,N20002622
95DD050002,N20002632,N20002632
95DD050003,N20002622,N20002622
95DD050004,N20002631,N20002631
95DD050005,N20002612,N20002619
95DD050006,N20002632,N20002619
95DD060001,N20002606,N20002603
95DD060002,N20002595,N20002595
95DD060003,N20002600,N20002600
95DD060004,N20002599,N20002599
95DD060005,N20002603,N20002603
95DD060006,N20002600,N20002600
95DD060007,N20002603,N20002603
95DD070001,N20002648,N20002652
95DD070002,N20002648,N20002654
95DD070003,N20002646,N20002654
95DD070004,N20002659,N20002656
95DD070005,N20002658,N20002658
95DD070006,N20002661,N20002660
95DD070007,N20002656,N20002656
95DD070008,N20002663,N20002660
95DD070009,N20002663,N20002661
95DD080001,N20002613,N20002611
95DD080002,N20002617,N20002617
95DD080003,N20002620,N20002617
95DD080004,N20002612,N20002616
95DD080005,N20002612,N20002612
95DD080006,N20002604,N20002604
95DD080007,N20002611,N20002611
95DD080008,N20002616,N20002616
95DD090001,N20002645,N20002644
95DD090002,N20002647,N20002647
95DD090003,N20002650,N20002650
95DD090004,N20002653,N20002653
95DD090005,N20002650,N20002653
95DD090006,N20002658,N20002655
95DD100001,N20002564,N20002564
95DD100002,N20002564,N20002557
95DD100003,N20002555,N20002555
95DD100004,N20002557,N20002557
95DD100005,N20002554,N20002554
95DD100006,N20002554,N20002554
95DD100007,N20002556,N20002556
95DD100008,N20002558,N20002556
95DD100009,N20002559,N20002558
95DD110001,N20002594,N20002594
95DD110002,N20002655,N20002655
95DD110003,N20002587,N20002587
95DD110004,N20002658,N20002658
95DD110005,N20002587,N20002587
95DD110006,N20002588,N20002588
95DD110007,N20002594,N20002594
