SA2011,age_band,religion_brought_up_in,count
N00000030,25-44,Protestant and Other Christian,49
N00000030,25-44,Other religions and none,3
N00000030,45+,Catholic,27
N00000030,45+,Protestant and Other Christian,149
N00000030,45+,Other religions and none,7
N00000031,0-24,Catholic,258
N00000031,0-24,Protestant and Other Christian,20
N00000031,0-24,Other religions and none,4
N00000031,25-44,Catholic,147
N00000031,25-44,Protestant and Other Christian,20
N00000031,25-44,Other religions and none,2
N00000031,45+,Catholic,223
N00000031,45+,Protestant and Other Christian,32
N00000031,45+,Other religions and none,1
N00000032,0-24,Catholic,87
N00000032,0-24,Protestant and Other Christian,35
N00000032,0-24,Other religions and none,13
N00000032,25-44,Catholic,58
N00000032,25-44,Protestant and Other Christian,35
N00000032,25-44,Other religions and none,4
N00000032,45+,Catholic,81
N00000032,45+,Protestant and Other Christian,70
N00000032,45+,Other religions and none,3
N00000033,0-24,Catholic,116
N00000033,0-24,Protestant and Other Christian,47
N00000033,0-24,Other religions and none,8
N00000033,25-44,Catholic,80
N00000033,25-44,Protestant and Other Christian,46
N00000033,25-44,Other religions and none,5
N00000033,45+,Catholic,91
N00000033,45+,Protestant and Other Christian,99
N00000033,45+,Other religions and none,6
N00000034,0-24,Catholic,69
N00000034,0-24,Protestant and Other Christian,67
N00000034,0-24,Other religions and none,15
N00000034,25-44,Catholic,61
N00000034,25-44,Protestant and Other Christian,51
N00000034,25-44,Other religions and none,11
N00000034,45+,Catholic,56
N00000034,45+,Protestant and Other Christian,138
N00000034,45+,Other religions and none,6
N00000035,0-24,Catholic,47
N00000035,0-24,Protestant and Other Christian,38
N00000035,0-24,Other religions and none,6
N00000035,25-44,Catholic,55
N00000035,25-44,Protestant and Other Christian,35
N00000035,25-44,Other religions and none,3
N00000035,45+,Catholic,50
N00000035,45+,Protestant and Other Christian,52
N00000035,45+,Other religions and none,5
N00000036,0-24,Catholic,73
N00000036,0-24,Protestant and Other Christian,29
N00000036,0-24,Other religions and none,12
N00000036,25-44,Catholic,52
N00000036,25-44,Protestant and Other Christian,28
N00000036,25-44,Other religions and none,11
N00000036,45+,Catholic,79
N00000036,45+,Protestant and Other Christian,58
N00000036,45+,Other religions and none,3
N00000037,0-24,Catholic,69
N00000037,0-24,Protestant and Other Christian,3
N00000037,0-24,Other religions and none,3
N00000037,25-44,Catholic,59
N00000037,25-44,Protestant and Other Christian,11
N00000037,25-44,Other religions and none,2
N00000037,45+,Catholic,101
N00000037,45+,Protestant and Other Christian,35
N00000037,45+,Other religions and none,2
N00000038,0-24,Catholic,127
N00000038,0-24,Protestant and Other Christian,23
N00000038,0-24,Other religions and none,7
N00000038,25-44,Catholic,59
N00000038,25-44,Protestant and Other Christian,13
N00000038,25-44,Other religions and none,1
N00000038,45+,Catholic,126
N00000038,45+,Protestant and Other Christian,45
N00000038,45+,Other religions and none,5
N00000039,0-24,Catholic,464
N00000039,0-24,Protestant and Other Christian,53
N00000039,0-24,Other religions and none,11
N00000039,25-44,Catholic,331
N00000039,25-44,Protestant and Other Christian,46
N00000039,25-44,Other religions and none,12
N00000039,45+,Catholic,249
N00000039,45+,Protestant and Other Christian,90
N00000039,45+,Other religions and none,6
N00000040,0-24,Catholic,77
N00000040,0-24,Protestant and Other Christian,4
N00000040,0-24,Other religions and none,8
N00000040,25-44,Catholic,68
N00000040,25-44,Protestant and Other Christian,14
N00000040,25-44,Other religions and none,2
N00000040,45+,Catholic,54
N00000040,45+,Protestant and Other Christian,37
N00000040,45+,Other religions and none,1
N00000041,0-24,Catholic,191
N00000041,0-24,Protestant and Other Christian,5
N00000041,0-24,Other religions and none,3
N00000041,25-44,Catholic,126
N00000041,25-44,Protestant and Other Christian,12
N00000041,25-44,Other religions and none,1
N00000041,45+,Catholic,111
N00000041,45+,Protestant and Other Christian,13
N00000041,45+,Other religions and none,0
N00000042,0-24,Catholic,145
N00000042,0-24,Protestant and Other Christian,18
N00000042,0-24,Other religions and none,7
N00000042,25-44,Catholic,70
N00000042,25-44,Protestant and Other Christian,19
N00000042,25-44,Other religions and none,3
N00000042,45+,Catholic,106
N00000042,45+,Protestant and Other Christian,42
N00000042,45+,Other religions and none,0
N00000043,0-24,Catholic,464
N00000043,0-24,Protestant and Other Christian,76
N00000043,0-24,Other religions and none,13
N00000043,25-44,Catholic,312
N00000043,25-44,Protestant and Other Christian,57
N00000043,25-44,Other religions and none,4
N00000043,45+,Catholic,224
N00000043,45+,Protestant and Other Christian,87
N00000043,45+,Other religions and none,8
N00000044,0-24,Catholic,109
N00000044,0-24,Protestant and Other Christian,12
N00000044,0-24,Other religions and none,14
N00000044,25-44,Catholic,54
N00000044,25-44,Protestant and Other Christian,20
N00000044,25-44,Other religions and none,2
N00000044,45+,Catholic,59
N00000044,45+,Protestant and Other Christian,39
N00000044,45+,Other religions and none,3
N00000045,0-24,Catholic,19
N00000045,0-24,Protestant and Other Christian,143
N00000045,0-24,Other religions and none,13
N00000045,25-44,Catholic,24
N00000045,25-44,Protestant and Other Christian,128
N00000045,25-44,Other religions and none,6
N00000045,45+,Catholic,16
N00000045,45+,Protestant and Other Christian,161
N00000045,45+,Other religions and none,5
N00000046,0-24,Catholic,15
N00000046,0-24,Protestant and Other Christian,96
N00000046,0-24,Other religions and none,16
N00000046,25-44,Catholic,5
N00000046,25-44,Protestant and Other Christian,79
N00000046,25-44,Other religions and none,4
N00000046,45+,Catholic,11
N00000046,45+,Protestant and Other Christian,161
N00000046,45+,Other religions and none,7
N00000047,0-24,Catholic,17
N00000047,0-24,Protestant and Other Christian,58
N00000047,0-24,Other religions and none,13
N00000047,25-44,Catholic,12
N00000047,25-44,Protestant and Other Christian,58
N00000047,25-44,Other religions and none,3
N00000047,45+,Catholic,35
N00000047,45+,Protestant and Other Christian,172
N00000047,45+,Other religions and none,6
N00000048,0-24,Catholic,19
N00000048,0-24,Protestant and Other Christian,77
N00000048,0-24,Other religions and none,10
N00000048,25-44,Catholic,20
N00000048,25-44,Protestant and Other Christian,65
N00000048,25-44,Other religions and none,8
N00000048,45+,Catholic,14
N00000048,45+,Protestant and Other Christian,87
N00000048,45+,Other religions and none,4
N00000049,0-24,Catholic,18
N00000049,0-24,Protestant and Other Christian,45
N00000049,0-24,Other religions and none,10
N00000049,25-44,Catholic,27
N00000049,25-44,Protestant and Other Christian,50
N00000049,25-44,Other religions and none,7
N00000049,45+,Catholic,23
N00000049,45+,Protestant and Other Christian,74
N00000049,45+,Other religions and none,0
N00000050,0-24,Catholic,19
N00000050,0-24,Protestant and Other Christian,50
N00000050,0-24,Other religions and none,5
N00000050,25-44,Catholic,20
N00000050,25-44,Protestant and Other Christian,47
N00000050,25-44,Other religions and none,4
N00000050,45+,Catholic,22
N00000050,45+,Protestant and Other Christian,129
N00000050,45+,Other religions and none,3
N00000051,0-24,Catholic,90
N00000051,0-24,Protestant and Other Christian,12
N00000051,0-24,Other religions and none,16
N00000051,25-44,Catholic,61
N00000051,25-44,Protestant and Other Christian,17
N00000051,25-44,Other religions and none,6
N00000051,45+,Catholic,93
N00000051,45+,Protestant and Other Christian,15
N00000051,45+,Other religions and none,3
N00000052,0-24,Catholic,67
N00000052,0-24,Protestant and Other Christian,22
N00000052,0-24,Other religions and none,10
N00000052,25-44,Catholic,56
N00000052,25-44,Protestant and Other Christian,22
N00000052,25-44,Other religions and none,6
N00000052,45+,Catholic,68
N00000052,45+,Protestant and Other Christian,53
N00000052,45+,Other religions and none,5
N00000053,0-24,Catholic,57
N00000053,0-24,Protestant and Other Christian,17
N00000053,0-24,Other religions and none,19
N00000053,25-44,Catholic,48
N00000053,25-44,Protestant and Other Christian,19
N00000053,25-44,Other religions and none,13
N00000053,45+,Catholic,45
N00000053,45+,Protestant and Other Christian,38
N00000053,45+,Other religions and none,5
N00000054,0-24,Catholic,21
N00000054,0-24,Protestant and Other Christian,56
N00000054,0-24,Other religions and none,24
N00000054,25-44,Catholic,18
N00000054,25-44,Protestant and Other Christian,51
N00000054,25-44,Other religions and none,15
N00000054,45+,Catholic,11
N00000054,45+,Protestant and Other Christian,56
N00000054,45+,Other religions and none,14
N00000055,0-24,Catholic,12
N00000055,0-24,Protestant and Other Christian,54
N00000055,0-24,Other religions and none,6
N00000055,25-44,Catholic,14
N00000055,25-44,Protestant and Other Christian,38
N00000055,25-44,Other religions and none,8
N00000055,45+,Catholic,28
N00000055,45+,Protestant and Other Christian,106
N00000055,45+,Other religions and none,0
N00000056,0-24,Catholic,13
N00000056,0-24,Protestant and Other Christian,44
N00000056,0-24,Other religions and none,15
N00000056,25-44,Catholic,23
N00000056,25-44,Protestant and Other Christian,47
N00000056,25-44,Other religions and none,11
N00000056,45+,Catholic,32
N00000056,45+,Protestant and Other Christian,94
N00000056,45+,Other religions and none,4
N00000057,0-24,Catholic,19
N00000057,0-24,Protestant and Other Christian,68
N00000057,0-24,Other religions and none,27
N00000057,25-44,Catholic,23
N00000057,25-44,Protestant and Other Christian,55
N00000057,25-44,Other religions and none,13
N00000057,45+,Catholic,18
N00000057,45+,Protestant and Other Christian,54
N00000057,45+,Other religions and none,2
N00000058,0-24,Catholic,24
N00000058,0-24,Protestant and Other Christian,60
N00000058,0-24,Other religions and none,20
N00000058,25-44,Catholic,20
N00000058,25-44,Protestant and Other Christian,54
N00000058,25-44,Other religions and none,6
N00000058,45+,Catholic,9
N00000058,45+,Protestant and Other Christian,73
N00000058,45+,Other religions and none,0
N00000059,0-24,Catholic,14
N00000059,0-24,Protestant and Other Christian,38
N00000059,0-24,Other religions and none,23
N00000059,25-44,Catholic,13
N00000059,25-44,Protestant and Other Christian,52
N00000059,25-44,Other religions and none,10
N00000059,45+,Catholic,19
N00000059,45+,Protestant and Other Christian,47
N00000059,45+,Other religions and none,10
N00000060,0-24,Catholic,30
N00000060,0-24,Protestant and Other Christian,88
N00000060,0-24,Other religions and none,16
N00000060,25-44,Catholic,45
N00000060,25-44,Protestant and Other Christian,67
N00000060,25-44,Other religions and none,11
N00000060,45+,Catholic,31
N00000060,45+,Protestant and Other Christian,101
N00000060,45+,Other religions and none,5
N00000061,0-24,Catholic,14
N00000061,0-24,Protestant and Other Christian,34
N00000061,0-24,Other religions and none,5
N00000061,25-44,Catholic,16
N00000061,25-44,Protestant and Other Christian,30
N00000061,25-44,Other religions and none,9
N00000061,45+,Catholic,35
N00000061,45+,Protestant and Other Christian,120
N00000061,45+,Other religions and none,10
N00000062,0-24,Catholic,27
N00000062,0-24,Protestant and Other Christian,57
N00000062,0-24,Other religions and none,17
N00000062,25-44,Catholic,19
N00000062,25-44,Protestant and Other Christian,48
N00000062,25-44,Other religions and none,4
N00000062,45+,Catholic,37
N00000062,45+,Protestant and Other Christian,131
N00000062,45+,Other religions and none,11
N00000063,0-24,Catholic,21
N00000063,0-24,Protestant and Other Christian,71
N00000063,0-24,Other religions and none,28
N00000063,25-44,Catholic,20
N00000063,25-44,Protestant and Other Christian,66
N00000063,25-44,Other religions and none,27
N00000063,45+,Catholic,37
N00000063,45+,Protestant and Other Christian,152
N00000063,45+,Other religions and none,9
N00000064,0-24,Catholic,63
N00000064,0-24,Protestant and Other Christian,18
N00000064,0-24,Other religions and none,15
N00000064,25-44,Catholic,47
N00000064,25-44,Protestant and Other Christian,24
N00000064,25-44,Other religions and none,9
N00000064,45+,Catholic,50
N00000064,45+,Protestant and Other Christian,43
N00000064,45+,Other religions and none,10
N00000065,0-24,Catholic,42
N00000065,0-24,Protestant and Other Christian,51
N00000065,0-24,Other religions and none,17
N00000065,25-44,Catholic,29
N00000065,25-44,Protestant and Other Christian,43
N00000065,25-44,Other religions and none,4
N00000065,45+,Catholic,55
N00000065,45+,Protestant and Other Christian,140
N00000065,45+,Other religions and none,8
N00000066,0-24,Catholic,31
N00000066,0-24,Protestant and Other Christian,13
N00000066,0-24,Other religions and none,10
N00000066,25-44,Catholic,30
N00000066,25-44,Protestant and Other Christian,26
N00000066,25-44,Other religions and none,5
N00000066,45+,Catholic,53
N00000066,45+,Protestant and Other Christian,90
N00000066,45+,Other religions and none,6
N00000067,0-24,Catholic,53
N00000067,0-24,Protestant and Other Christian,37
N00000067,0-24,Other religions and none,23
N00000067,25-44,Catholic,39
N00000067,25-44,Protestant and Other Christian,37
N00000067,25-44,Other religions and none,17
N00000067,45+,Catholic,56
N00000067,45+,Protestant and Other Christian,50
N00000067,45+,Other religions and none,4
N00000068,0-24,Catholic,21
N00000068,0-24,Protestant and Other Christian,78
N00000068,0-24,Other religions and none,27
N00000068,25-44,Catholic,25
N00000068,25-44,Protestant and Other Christian,50
N00000068,25-44,Other religions and none,7
N00000068,45+,Catholic,45
N00000068,45+,Protestant and Other Christian,107
N00000068,45+,Other religions and none,11
N00000069,0-24,Catholic,79
N00000069,0-24,Protestant and Other Christian,50
N00000069,0-24,Other religions and none,27
N00000069,25-44,Catholic,45
N00000069,25-44,Protestant and Other Christian,33
N00000069,25-44,Other religions and none,3
N00000069,45+,Catholic,43
N00000069,45+,Protestant and Other Christian,49
N00000069,45+,Other religions and none,5
N00000070,0-24,Catholic,23
N00000070,0-24,Protestant and Other Christian,22
N00000070,0-24,Other religions and none,2
N00000070,25-44,Catholic,16
N00000070,25-44,Protestant and Other Christian,21
N00000070,25-44,Other religions and none,0
N00000070,45+,Catholic,64
N00000070,45+,Protestant and Other Christian,90
N00000070,45+,Other religions and none,5
N00000071,0-24,Catholic,22
N00000071,0-24,Protestant and Other Christian,14
N00000071,0-24,Other religions and none,9
N00000071,25-44,Catholic,39
N00000071,25-44,Protestant and Other Christian,22
N00000071,25-44,Other religions and none,10
N00000071,45+,Catholic,65
N00000071,45+,Protestant and Other Christian,97
N00000071,45+,Other religions and none,5
N00000072,0-24,Catholic,179
N00000072,0-24,Protestant and Other Christian,346
N00000072,0-24,Other religions and none,103
N00000072,25-44,Catholic,260
N00000072,25-44,Protestant and Other Christian,366
N00000072,25-44,Other religions and none,69
N00000072,45+,Catholic,119
N00000072,45+,Protestant and Other Christian,281
N00000072,45+,Other religions and none,30
N00000073,0-24,Catholic,31
N00000073,0-24,Protestant and Other Christian,44
N00000073,0-24,Other religions and none,19
N00000073,25-44,Catholic,65
N00000073,25-44,Protestant and Other Christian,61
N00000073,25-44,Other religions and none,32
N00000073,45+,Catholic,72
N00000073,45+,Protestant and Other Christian,184
N00000073,45+,Other religions and none,13
N00000074,0-24,Catholic,157
N00000074,0-24,Protestant and Other Christian,144
N00000074,0-24,Other religions and none,53
N00000074,25-44,Catholic,208
N00000074,25-44,Protestant and Other Christian,239
N00000074,25-44,Other religions and none,36
N00000074,45+,Catholic,77
N00000074,45+,Protestant and Other Christian,125
N00000074,45+,Other religions and none,8
N00000075,0-24,Catholic,63
N00000075,0-24,Protestant and Other Christian,64
N00000075,0-24,Other religions and none,36
N00000075,25-44,Catholic,46
N00000075,25-44,Protestant and Other Christian,54
N00000075,25-44,Other religions and none,13
N00000075,45+,Catholic,55
N00000075,45+,Protestant and Other Christian,76
N00000075,45+,Other religions and none,3
N00000076,0-24,Catholic,57
N00000076,0-24,Protestant and Other Christian,52
N00000076,0-24,Other religions and none,21
N00000076,25-44,Catholic,51
N00000076,25-44,Protestant and Other Christian,44
N00000076,25-44,Other religions and none,2
N00000076,45+,Catholic,42
N00000076,45+,Protestant and Other Christian,70
N00000076,45+,Other religions and none,5
N00000077,0-24,Catholic,52
N00000077,0-24,Protestant and Other Christian,33
N00000077,0-24,Other religions and none,5
N00000077,25-44,Catholic,30
N00000077,25-44,Protestant and Other Christian,30
N00000077,25-44,Other religions and none,2
N00000077,45+,Catholic,69
N00000077,45+,Protestant and Other Christian,52
N00000077,45+,Other religions and none,2
N00000078,0-24,Catholic,106
N00000078,0-24,Protestant and Other Christian,64
N00000078,0-24,Other religions and none,29
N00000078,25-44,Catholic,87
N00000078,25-44,Protestant and Other Christian,85
N00000078,25-44,Other religions and none,20
N00000078,45+,Catholic,30
N00000078,45+,Protestant and Other Christian,58
N00000078,45+,Other religions and none,9
N00000079,0-24,Catholic,22
N00000079,0-24,Protestant and Other Christian,166
N00000079,0-24,Other religions and none,19
N00000079,25-44,Catholic,22
N00000079,25-44,Protestant and Other Christian,112
N00000079,25-44,Other religions and none,3
N00000079,45+,Catholic,10
N00000079,45+,Protestant and Other Christian,203
N00000079,45+,Other religions and none,7
N00000080,0-24,Catholic,14
N00000080,0-24,Protestant and Other Christian,112
N00000080,0-24,Other religions and none,22
N00000080,25-44,Catholic,10
N00000080,25-44,Protestant and Other Christian,85
N00000080,25-44,Other religions and none,7
N00000080,45+,Catholic,4
N00000080,45+,Protestant and Other Christian,161
N00000080,45+,Other religions and none,9
N00000081,0-24,Catholic,3
N00000081,0-24,Protestant and Other Christian,73
N00000081,0-24,Other religions and none,15
N00000081,25-44,Catholic,7
N00000081,25-44,Protestant and Other Christian,66
N00000081,25-44,Other religions and none,5
N00000081,45+,Catholic,8
N00000081,45+,Protestant and Other Christian,161
N00000081,45+,Other religions and none,1
N00000082,0-24,Catholic,10
N00000082,0-24,Protestant and Other Christian,85
N00000082,0-24,Other religions and none,5
N00000082,25-44,Catholic,13
N00000082,25-44,Protestant and Other Christian,58
N00000082,25-44,Other religions and none,1
N00000082,45+,Catholic,8
N00000082,45+,Protestant and Other Christian,159
N00000082,45+,Other religions and none,3
N00000083,0-24,Catholic,19
N00000083,0-24,Protestant and Other Christian,185
N00000083,0-24,Other religions and none,27
N00000083,25-44,Catholic,18
N00000083,25-44,Protestant and Other Christian,142
N00000083,25-44,Other religions and none,11
N00000083,45+,Catholic,12
N00000083,45+,Protestant and Other Christian,222
N00000083,45+,Other religions and none,14
N00000084,0-24,Catholic,5
N00000084,0-24,Protestant and Other Christian,120
N00000084,0-24,Other religions and none,28
N00000084,25-44,Catholic,5
N00000084,25-44,Protestant and Other Christian,88
N00000084,25-44,Other religions and none,2
N00000084,45+,Catholic,7
N00000084,45+,Protestant and Other Christian,197
N00000084,45+,Other religions and none,4
N00000085,0-24,Catholic,82
N00000085,0-24,Protestant and Other Christian,36
N00000085,0-24,Other religions and none,16
N00000085,25-44,Catholic,69
N00000085,25-44,Protestant and Other Christian,29
